0	Index      	 *	Score 	Summary	Detail	
1	43252 61232	 * 	210.57	ACR|3DMG|2ASPD|1VULN|1AART	1RPLT|27AME|37ASPD|4RCR|5AART|67aDMG|7BPWR|8VULN|9LWND
17	43252 61333	   	190.41	ACR|3DMG|2ASPD|1AART	1RPLT|27AME|37ASPD|4RCR|5AART|67aDMG|7BPWR|8AAC|9DMSP
18	43252 61122	   	188.40	ACR|2ASPD|2DMG|1AART|1BEXP	1RPLT|27AME|37ASPD|4RCR|5AART|67DMG|7BPWR|8ERES|9BEXP|aCGEN
19	43252 61322	   	188.40	ACR|2ASPD|2DMG|1AART|1BEXP	1RPLT|27AME|37ASPD|4RCR|5AART|67DMG|7BPWR|8AAC|9BEXP|aCGEN
20	43252 61121	   	188.30	ACR|2ASPD|2DMG|1AART|1BEXP	1RPLT|27aAME|37ASPD|4RCR|5AART|67DMG|7BPWR|8ERES|9BEXP
21	43252 61123	   	188.30	ACR|2ASPD|2DMG|1AART|1BEXP	1RPLT|27AME|37ASPD|4RCR|5AART|67DMG|7BPWR|8ERES|9BEXP|aTLV
22	43252 61321	   	188.30	ACR|2ASPD|2DMG|1AART|1BEXP	1RPLT|27aAME|37ASPD|4RCR|5AART|67DMG|7BPWR|8AAC|9BEXP
23	43252 61323	   	188.30	ACR|2ASPD|2DMG|1AART|1BEXP	1RPLT|27AME|37ASPD|4RCR|5AART|67DMG|7BPWR|8AAC|9BEXP|aTLV
24	25312 55132	 * 	187.82	ACR|1BASARM|1VULN|1ASPD|1DMG	1LEGI|2MDPS|3VENTOX|4RCR|5RMIN|6ASPD|7DMG|8VULN|9ERES|aBASARM
25	64122 33243	 * 	187.38	3VULN|3ASPD|3BEXP|2DMG|1AAC|1SELL	1RMIN|289ASPD|39DMG|478BEXP|5SELL|689VULN|89BPWR|aAAC
26	66222 33243	 * 	187.38	3VULN|3DMG|3BEXP|2ASPD|1AAC|1SELL	1RMIN|289DMG|39ASPD|478BEXP|5SELL|689VULN|89BPWR|aAAC
27	63433 23323	 * 	185.98	ACR|2VULN|2BEXP|2AART|1CDMG	1RMIN|2CDMG|37VULN|4RCR|5AME|69BEXP|8aAART
28	63434 23123	   	185.95	ACR|2VULN|1ASPD|1BEXP|1AART|1CDMG|1AAC	1RMIN|2CDMG|37VULN|4RCR|5ASPD|6BEXP|8DUST|9AART|aAAC
29	63432 22316	 * 	183.10	ACR|2VULN|2BEXP|1DMG|2CDMG	1RMIN|28CDMG|38VULN|4RCR|5DUR|6LIT|78BEXP|8BPWR|9FEWX|aDMG
30	63432 22336	   	183.00	ACR|2VULN|2BEXP|1DMG|2CDMG	1RMIN|28CDMG|38VULN|4RCR|5DUR|6LIT|78BEXP|8BPWR|9DUST|aDMG
31	43252 32331	   	182.71	ACR|1BASARM|1VULN|1ASPD|1AART	1RPLT|2AME|3ASPD|4RCR|5AART|6SPLREG|7CGEN|8DUST|9VULN|aBASARM
32	45252 32331	   	182.71	ACR|1BASARM|1VULN|1ASPD|1AART	1RPLT|2ERES|3ASPD|4RCR|5AART|6SPLREG|7CGEN|8DUST|9VULN|aBASARM
33	46252 32331	   	182.71	ACR|1BASARM|1VULN|1ASPD|1AART	1RPLT|2TLV|3ASPD|4RCR|5AART|6SPLREG|7CGEN|8DUST|9VULN|aBASARM
34	43252 33141	   	182.61	ACR|1BASARM|1VULN|1ASPD|1AART	1RPLT|2aAME|3ASPD|4RCR|5AART|6SPLREG|7VULN|8MDPS|9BASARM
35	43252 33143	   	182.61	ACR|1BASARM|1VULN|1ASPD|1AART	1RPLT|2AME|3ASPD|4RCR|5AART|6SPLREG|7VULN|8MDPS|9BASARM|aTLV
36	46252 33131	   	182.61	ACR|1BASARM|1VULN|1ASPD|1AART	1RPLT|2TLV|3ASPD|4RCR|5AART|6SPLREG|7VULN|8MDPS|9BASARM|aAME
37	12532 33236	 * 	181.96	ACR|2ASPD|1VULN|2BEXP|1DMG	1CGEN|29BEXP|3DUST|4VULN|5RCR|6ZMB|78ASPD|aDMG
38	16431 52312	 * 	181.00	DCR|4VULN|2CDMG|1ASPD|1DMG|1BEXP	18CGEN|2458VULN|3BEXP|6ASPD|78CDMG|8BPWR|9DMG|aRCR
39	12532 33256	 * 	180.65	ACR|2VULN|2ASPD|1DMG|1BEXP	1CGEN|2BEXP|3DUST|49VULN|5RCR|6ZMB|78ASPD|aDMG
