0	Index      	 *	Score 	Summary	Detail	
1	23141 13562	 * 	230.14	ACR|1BASARM|2VULN|2AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|68AART|7BASARM|9aVULN
16	23141 13162	   	219.02	ACR|1BASARM|1ASPD|1AART|1VULN|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9ERES|aVULN
17	42141 13162	   	219.02	ACR|1BASARM|1ASPD|1AART|1VULN|1BEXP|1CDMG	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9ERES|aVULN
18	23141 13521	 * 	218.89	ACR|1BASARM|2AART|2BEXP|1CDMG|1AAC	1DMSP|2BELT|3CDMG|4RCR|59BEXP|68AART|7BASARM|aAAC
19	42141 13521	   	218.89	ACR|1BASARM|2AART|2BEXP|1CDMG|1AAC	12BELT|3CDMG|4RCR|59BEXP|68AART|7BASARM|aAAC
20	23141 13153	   	217.94	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8aASPD|9RMIN
21	42141 13153	   	217.94	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8aASPD|9RMIN
22	23141 13163	   	217.84	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8aASPD|9ERES
23	42141 13163	   	217.84	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8aASPD|9ERES
24	23141 13512	   	215.81	ACR|1BASARM|2AART|1DMG|1CDMG|1BEXP	1aDMSP|2BELT|3CDMG|4RCR|5BEXP|68AART|7BASARM|9DMG
25	23141 13513	   	215.81	ACR|1BASARM|2AART|1DMG|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|68AART|7BASARM|9DMG|aRMIN
26	23141 13514	   	215.81	ACR|1BASARM|2AART|1DMG|1CDMG|1BEXP	1DMSP|2BELT|3CDMG|4RCR|5BEXP|68AART|7BASARM|9DMG|aLWND
27	23141 13515	   	215.81	ACR|1BASARM|2AART|1DMG|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|68AART|7BASARM|9DMG|aCGEN
28	42141 13512	   	215.81	ACR|1BASARM|2AART|1DMG|1CDMG|1BEXP	12BELT|3CDMG|4RCR|5BEXP|68AART|7BASARM|9DMG|aDMSP
29	42141 13513	   	215.81	ACR|1BASARM|2AART|1DMG|1BEXP|1CDMG	12BELT|3CDMG|4RCR|5BEXP|68AART|7BASARM|9DMG|aRMIN
30	23141 13511	   	215.71	ACR|1BASARM|2AART|1DMG|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|68AART|7BASARM|9DMG|aAEMAG
31	42141 13511	   	215.71	ACR|1BASARM|2AART|1DMG|1BEXP|1CDMG	12BELT|3CDMG|4RCR|5BEXP|68AART|7BASARM|9DMG|aAEMAG
32	23141 13561	   	215.51	ACR|1BASARM|2AART|1VULN|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|68AART|7BASARM|9VULN|aMLV
33	23141 13563	   	215.51	ACR|1BASARM|2AART|1VULN|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|68AART|7BASARM|9VULN|aZMB
34	23141 13154	   	215.19	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5aBEXP|6AART|7BASARM|8ASPD|9RMIN
35	23141 13353	   	215.19	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1DMSP|2BELT|3CDMG|4RCR|59BEXP|6AART|7BASARM|8DUR|aASPD
36	42141 13353	   	215.19	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	12BELT|3CDMG|4RCR|59BEXP|6AART|7BASARM|8DUR|aASPD
37	23141 13164	   	215.09	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5aBEXP|6AART|7BASARM|8ASPD|9ERES
38	23141 13116	 * 	214.98	ACR|1BASARM|1ASPD|2CDMG|1AART|1BEXP|1AAC	1DMSP|2BELT|3aCDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9AAC
39	42141 13116	   	214.98	ACR|1BASARM|1ASPD|2CDMG|1AART|1BEXP|1AAC	12BELT|3aCDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9AAC
40	31311 65226	 * 	214.52	ACR|2VULN|2ASPD|1AART|1DMG|1CDMG	1aCGEN|2AART|3CDMG|4RCVC|5RCR|6aVULN|7DMG|8TLV|9aASPD|aBPWR
41	23141 13244	   	214.50	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5aBEXP|6AART|7BASARM|8VULN|9RCVC
42	23141 13616	   	213.81	ACR|1BASARM|2AART|1DMG|1CDMG|1BEXP	1DMSP|28BELT|3CDMG|4RCR|5BEXP|6aAART|7BASARM|9DMG
43	23143 33536	 * 	213.31	ACR|1BASARM|1VULN|2BEXP|1DMG|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5VULN|67BEXP|8CGEN|9BASARM|aDMG
44	23141 13352	   	212.90	ACR|1BASARM|2BEXP|1AART|1VULN|1CDMG	1DMSP|2BELT|3CDMG|4RCR|59BEXP|6AART|7BASARM|8DUR|aVULN
45	42141 13352	   	212.90	ACR|1BASARM|2BEXP|1AART|1VULN|1CDMG	12BELT|3CDMG|4RCR|59BEXP|6AART|7BASARM|8DUR|aVULN
46	23141 13214	   	212.90	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5aBEXP|6AART|7BASARM|8VULN|9CGEN
47	23141 13234	   	212.90	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5aBEXP|6AART|7BASARM|8VULN|9RMIN
48	23141 13251	   	212.90	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	1DMSP|2BELT|3CDMG|4RCR|59BEXP|6AART|7BASARM|8VULN|aMLV
49	23141 13253	   	212.90	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	1DMSP|2BELT|3CDMG|4RCR|59BEXP|6AART|7BASARM|8VULN|aZMB
50	42141 13214	   	212.90	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	12BELT|3CDMG|4RCR|5aBEXP|6AART|7BASARM|8VULN|9CGEN
51	42141 13234	   	212.90	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	12BELT|3CDMG|4RCR|5aBEXP|6AART|7BASARM|8VULN|9RMIN
52	42141 13251	   	212.90	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	12BELT|3CDMG|4RCR|59BEXP|6AART|7BASARM|8VULN|aMLV
53	42141 13253	   	212.90	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	12BELT|3CDMG|4RCR|59BEXP|6AART|7BASARM|8VULN|aZMB
54	23141 13255	   	212.80	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	1DMSP|2BELT|3CDMG|4RCR|59BEXP|6AART|7BASARM|8VULN|aTLV
55	23141 13242	   	212.30	ACR|1BASARM|2VULN|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8aVULN|9RCVC
56	42141 13242	   	212.30	ACR|1BASARM|2VULN|1AART|1BEXP|1CDMG	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8aVULN|9RCVC
57	23141 13662	   	210.69	ACR|1BASARM|2VULN|1AART|1BEXP|1CDMG	1DMSP|28BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|9aVULN
58	23141 13523	   	210.58	ACR|1BASARM|2AART|2BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|59BEXP|68AART|7BASARM|aZMB
59	23141 13524	   	210.58	ACR|1BASARM|2AART|2BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|59BEXP|68AART|7BASARM|aLHND
60	42141 13523	   	210.58	ACR|1BASARM|2AART|2BEXP|1CDMG	12BELT|3CDMG|4RCR|59BEXP|68AART|7BASARM|aZMB
61	23141 13522	   	210.48	ACR|1BASARM|2AART|2BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|59BEXP|68AART|7BASARM|aDUST
62	23141 13525	   	210.48	ACR|1BASARM|2AART|2BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|59BEXP|68AART|7BASARM|aTLV
63	42141 13522	   	210.48	ACR|1BASARM|2AART|2BEXP|1CDMG	12BELT|3CDMG|4RCR|59BEXP|68AART|7BASARM|aDUST
64	31311 33445	 * 	208.77	ACR|1BASARM|1AART|1ASPD|1DMG|1CDMG	1CGEN|2AART|3CDMG|4RCVC|5RCR|6SNIHEL|7FEWX|8DMG|9ASPD|aBASARM
65	31311 45335	   	208.77	ACR|1BASARM|1AART|1ASPD|1DMG|1CDMG	1CGEN|2AART|3CDMG|4RCVC|5RCR|6ASPD|7SNITOX|8DMG|9DUR|aBASARM
66	23141 13111	   	208.56	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG|1AAC	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9AAC|aAME
67	23141 13115	   	208.56	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG|1AAC	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9AAC|aTLV
68	42141 13111	   	208.56	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG|1AAC	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9AAC|aAME
69	42141 13115	   	208.56	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG|1AAC	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9AAC|aTLV
70	23141 12415	 * 	208.20	ACR|2AART|1VULN|1ASPD|1BASICY|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|68AART|7VULN|9ASPD|aBASICY
71	23141 13542	   	208.09	ACR|1BASARM|3AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|68aAART|7BASARM|9ERES
72	23141 13156	   	206.67	ACR|1BASARM|1ASPD|2CDMG|1AART|1BEXP	1DMSP|2BELT|3aCDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RMIN
73	23141 13166	   	206.57	ACR|1BASARM|1ASPD|2CDMG|1AART|1BEXP	1DMSP|2BELT|3aCDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9ERES
74	23141 13354	   	206.40	ACR|1BASARM|3BEXP|1AART|1CDMG	1DMSP|2BELT|3CDMG|4RCR|59aBEXP|6AART|7BASARM|8DUR
75	23141 64223	 * 	204.50	ACR|2VULN|2DMG|2BEXP|2CDMG	1DMSP|2BELT|3aCDMG|4RCR|5aBEXP|67VULN|8SNIHEL|9aDMG|aBPWR
76	23143 33223	   	204.50	ACR|2VULN|2DMG|2BEXP|2CDMG	1DMSP|2BELT|3aCDMG|4RCR|5aVULN|67BEXP|8SNIHEL|9aDMG|aBPWR
77	23143 33253	 * 	204.50	ACR|2VULN|2ASPD|2BEXP|2CDMG	1DMSP|2BELT|3aCDMG|4RCR|5aVULN|67BEXP|8SNIHEL|9aASPD|aBPWR
78	42143 33223	   	204.50	ACR|2VULN|2DMG|2BEXP|2CDMG	12BELT|3aCDMG|4RCR|5aVULN|67BEXP|8SNIHEL|9aDMG|aBPWR
79	42143 33253	   	204.50	ACR|2VULN|2ASPD|2BEXP|2CDMG	12BELT|3aCDMG|4RCR|5aVULN|67BEXP|8SNIHEL|9aASPD|aBPWR
80	23141 12615	 * 	204.37	ACR|2VULN|1ASPD|1BASICY|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|78VULN|9ASPD|aBASICY
81	23143 12115	   	204.37	ACR|2VULN|1ASPD|1BASICY|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|57VULN|6AART|8BEXP|9ASPD|aBASICY
82	42143 12115	   	204.37	ACR|2VULN|1ASPD|1BASICY|1AART|1BEXP|1CDMG	12BELT|3CDMG|4RCR|57VULN|6AART|8BEXP|9ASPD|aBASICY
83	31311 65322	 * 	203.96	ACR|2AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2aAART|3CDMG|4RCVC|5RCR|6VULN|7DMG|8AAC|9ASPD
84	23141 13621	   	203.44	ACR|1BASARM|2BEXP|1AART|1CDMG|1AAC	1DMSP|28BELT|3CDMG|4RCR|59BEXP|6AART|7BASARM|aAAC
85	23141 35223	 * 	202.13	ACR|3BEXP|2DMG|1VULN|2CDMG	1DMSP|2BELT|3aCDMG|4RCR|56aBEXP|7VULN|8SNIHEL|9aDMG|aBPWR
86	23141 35253	 * 	202.13	ACR|3BEXP|2ASPD|1VULN|2CDMG	1DMSP|2BELT|3aCDMG|4RCR|56aBEXP|7VULN|8SNIHEL|9aASPD|aBPWR
87	42141 35223	   	202.13	ACR|3BEXP|2DMG|1VULN|2CDMG	12BELT|3aCDMG|4RCR|56aBEXP|7VULN|8SNIHEL|9aDMG|aBPWR
88	23141 63223	   	202.13	ACR|3BEXP|2DMG|1VULN|2CDMG	1DMSP|2BELT|3aCDMG|4RCR|57aBEXP|6VULN|8SNIHEL|9aDMG|aBPWR
89	23141 63253	   	202.13	ACR|3BEXP|2ASPD|1VULN|2CDMG	1DMSP|2BELT|3aCDMG|4RCR|57aBEXP|6VULN|8SNIHEL|9aASPD|aBPWR
90	42141 63223	   	202.13	ACR|3BEXP|2DMG|1VULN|2CDMG	12BELT|3aCDMG|4RCR|57aBEXP|6VULN|8SNIHEL|9aDMG|aBPWR
91	23141 13343	   	201.96	ACR|1BASARM|1ASPD|1AART|1CDMG|1BEXP	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8DUR|9RCVC|aASPD
92	42141 13343	   	201.96	ACR|1BASARM|1ASPD|1AART|1CDMG|1BEXP	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8DUR|9RCVC|aASPD
93	23141 13443	   	201.86	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8DUST|9RCVC|aASPD
94	31351 65322	   	200.85	ACR|2AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	14CGEN|2aAART|3CDMG|5RCR|6VULN|7DMG|8AAC|9ASPD
95	23141 13122	   	200.36	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RPLT|aLHND
96	23141 13123	   	200.36	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RPLT|aCGEN
97	23141 13126	   	200.36	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RPLT|aLIT
98	23141 13612	   	200.36	ACR|1BASARM|1DMG|1AART|1CDMG|1BEXP	1aDMSP|28BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|9DMG
99	23141 13613	   	200.36	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1DMSP|28BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|9DMG|aRMIN
100	23141 13614	   	200.36	ACR|1BASARM|1DMG|1AART|1CDMG|1BEXP	1DMSP|28BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|9DMG|aLWND
101	23141 13615	   	200.36	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1DMSP|28BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|9DMG|aCGEN
102	42141 13122	   	200.36	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RPLT|aLHND
103	42141 13123	   	200.36	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RPLT|aCGEN
104	42141 13126	   	200.36	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RPLT|aLIT
105	23141 13124	   	200.26	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RPLT|aMBVNT
106	23141 13141	   	200.26	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9SPLREG|aDUR
107	23141 13144	   	200.26	ACR|1BASARM|1ASPD|1AART|1CDMG|1BEXP	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9SPLREG|aRMIN
108	23141 13151	   	200.26	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RMIN|aAME
109	23141 13155	   	200.26	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RMIN|aTLV
110	23141 13161	   	200.26	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9ERES|aMLV
111	23141 13611	   	200.26	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1DMSP|28BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|9DMG|aAEMAG
112	42141 13124	   	200.26	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RPLT|aMBVNT
113	42141 13141	   	200.26	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9SPLREG|aDUR
114	42141 13151	   	200.26	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RMIN|aAME
115	42141 13161	   	200.26	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9ERES|aMLV
116	23141 13142	   	200.16	ACR|1BASARM|1ASPD|1AART|1CDMG|1BEXP	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9SPLREG|aTLV
117	23141 13145	   	200.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9SPLREG|aDUST
118	23141 13165	   	200.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9ERES|aTLV
119	42141 13142	   	200.16	ACR|1BASARM|1ASPD|1AART|1CDMG|1BEXP	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9SPLREG|aTLV
