0	Index      	 *	Score 	Summary	Detail	
1	13132 26262	 * 	227.65	ACR|1BASARM|2VULN|2BEXP|1ASPD|1CDMG	16BEXP|2ZMB|3RCR|49VULN|5BELT|7BASARM|8CDMG|aASPD
17	15313 16333	   	212.08	ACR|3VULN|1BASARM|2BEXP|1ASPD	13BEXP|23FEWX|3BPWR|478VULN|5RCR|6AAC|9ASPD|aBASARM
18	15513 26333	   	212.08	ACR|3VULN|1BASARM|2BEXP|1ASPD	13BEXP|2FEWX|478VULN|5RCR|6ZMB|9ASPD|aBASARM
19	11313 52313	   	211.98	ACR|3VULN|1BASARM|2BEXP|1ASPD	13BEXP|23DUST|3BPWR|468VULN|5RCR|7ASPD|9RMIN|aBASARM
20	11513 52313	   	211.98	ACR|3VULN|1BASARM|2BEXP|1ASPD	13BEXP|2DUST|468VULN|5RCR|7ASPD|9RMIN|aBASARM
21	15513 16333	   	211.98	ACR|3VULN|1BASARM|2BEXP|1ASPD	13BEXP|2FEWX|478VULN|5RCR|6AAC|9ASPD|aBASARM
22	13132 26621	   	211.57	ACR|1BASARM|2VULN|2BEXP|1ASPD	16BEXP|2ZMB|3RCR|4aVULN|5BELT|7BASARM|8LHND|9ASPD
23	23145 34333	   	211.57	ACR|1BASARM|2VULN|2BEXP|1ASPD	14FEWX|2ZMB|3RCR|57BEXP|68VULN|9ASPD|aBASARM
24	13132 26452	 * 	211.49	ACR|1BASARM|3BEXP|1VULN|1ASPD	16aBEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8DMSP|9ASPD
25	13132 26626	   	211.49	ACR|1BASARM|3BEXP|1VULN|1ASPD	16aBEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8LHND|9ASPD
26	13132 26321	   	211.47	ACR|1BASARM|2VULN|2BEXP|1ASPD	16BEXP|2ZMB|3RCR|4aVULN|5BELT|7BASARM|8DUST|9ASPD
27	13132 26325	   	211.39	ACR|1BASARM|3BEXP|1VULN|1ASPD	16aBEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8DUST|9ASPD
28	13132 26242	   	210.09	ACR|1BASARM|1VULN|2BEXP|1AART|1CDMG	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8CDMG|9CGEN|aAART
29	23145 36333	   	207.24	ACR|3VULN|1BASARM|1ASPD|1BEXP	14FEWX|2ZMB|3RCR|5BEXP|678VULN|9ASPD|aBASARM
30	63133 26131	   	206.85	ACR|2VULN|2ASPD|1DMG|1BEXP|1CDMG	18ASPD|2DUR|3RCR|48VULN|5CDMG|6BEXP|78ZMB|8BPWR|9ERES|aDMG
31	51313 36215	 * 	206.35	ACR|1BASARM|2VULN|1ASPD|1BASICY|1AAC	1CGEN|2RMIN|3TLV|4RCR|5BASARM|67VULN|8ASPD|9AAC|aBASICY
32	13132 26261	   	205.16	ACR|1BASARM|2VULN|2BEXP|1CDMG	16BEXP|2ZMB|3RCR|49VULN|5BELT|7BASARM|8CDMG|aDUR
33	13132 26263	   	205.16	ACR|1BASARM|2VULN|2BEXP|1CDMG	16BEXP|2ZMB|3RCR|49VULN|5BELT|7BASARM|8CDMG|aFEWX
34	13132 26266	   	205.16	ACR|1BASARM|2VULN|2BEXP|1CDMG	16BEXP|2ZMB|3RCR|49VULN|5BELT|7BASARM|8CDMG|aRPLT
35	13132 26265	   	205.06	ACR|1BASARM|2VULN|2BEXP|1CDMG	16BEXP|2ZMB|3RCR|49VULN|5BELT|7BASARM|8CDMG|aNUKE
36	52215 31422	 * 	204.96	ACR|1BASARM|3BEXP|1VULN|1BASICY	1CGEN|2AEMAG|358BEXP|4RCR|6VULN|7BASICY|9TLV|aBASARM
37	13122 62146	 * 	204.72	ACR|3BEXP|2ASPD|1VULN|2CDMG	168BEXP|28ZMB|3RCR|4CGEN|5VULN|78ASPD|8BPWR|9aCDMG
38	61113 52143	 * 	204.45	ACR|3VULN|1BASARM|2ASPD	17ASPD|2RMIN|3FEWX|469VULN|5RCR|8MBVNT|aBASARM
39	61263 52143	   	204.45	ACR|3VULN|1BASARM|2ASPD	17ASPD|2RMIN|369VULN|4FEWX|5RCR|8MBVNT|aBASARM
40	61253 52143	   	204.35	ACR|3VULN|1BASARM|2ASPD	17ASPD|2RMIN|369VULN|4DUST|5RCR|8MBVNT|aBASARM
41	13153 22262	 * 	204.00	ACR|1BASARM|2BEXP|1DMG|1AART	18BEXP|2ZMB|3RCR|4LIT|5RCVC|6DMG|7RMIN|9AART|aBASARM
42	63133 55323	 * 	203.78	ACR|2VULN|2CDMG|1ASPD|1DMG|1BEXP|1AAC	1ASPD|2DUR|3RCR|46VULN|58CDMG|7DMG|9AAC|aBEXP
43	11313 63134	 * 	202.69	ACR|2VULN|3BEXP|2DMG|1AART	136BEXP|23DUST|3BPWR|47VULN|5RCR|8AART|9aDMG
44	11513 63134	   	202.69	ACR|2VULN|3BEXP|2DMG|1AART	136BEXP|2DUST|47VULN|5RCR|8AART|9aDMG
45	13136 52315	   	202.64	ACR|2VULN|2ASPD|1CDMG|1BEXP|1AART	1BEXP|2ZMB|3RCR|46VULN|5CGEN|79ASPD|8CDMG|aAART
46	13122 52315	   	202.64	ACR|2VULN|2ASPD|1CDMG|1BEXP|1AART	1BEXP|2ZMB|3RCR|4CGEN|56VULN|79ASPD|8CDMG|aAART
47	51313 41233	 * 	202.60	ACR|2BASARM|1ASPD|1DMG|1VULN	1CGEN|2RMIN|36TLV|4RCR|56BASARM|6BPWR|7LIT|8ASPD|9VULN|aDMG
48	13153 35162	   	202.57	ACR|1BASARM|1DMG|1BEXP|1AART|1CDMG|1SELL	1BEXP|2ZMB|3RCR|4LIT|5RCVC|6SELL|7DMG|8CDMG|9AART|aBASARM
49	13136 62315	   	201.87	ACR|2ASPD|1VULN|2BEXP|1CDMG|1AART	16BEXP|2ZMB|3RCR|4VULN|5CGEN|79ASPD|8CDMG|aAART
50	13122 62315	   	201.87	ACR|2ASPD|2BEXP|1VULN|1CDMG|1AART	16BEXP|2ZMB|3RCR|4CGEN|5VULN|79ASPD|8CDMG|aAART
51	13145 36131	   	201.75	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	18BEXP|2ZMB|3RCR|48FEWX|5CDMG|6ASPD|78VULN|8BPWR|9ERES|aDMG
52	15313 26433	   	201.67	ACR|2VULN|1BASARM|2BEXP|1ASPD	13BEXP|23FEWX|3BPWR|47VULN|5RCR|6ZMB|8DMSP|9ASPD|aBASARM
53	15313 52413	   	201.67	ACR|2VULN|1BASARM|2BEXP|1ASPD	13BEXP|23FEWX|3BPWR|46VULN|5RCR|7ASPD|8DMSP|9RMIN|aBASARM
54	63123 16135	   	201.62	ACR|2VULN|2ASPD|2BEXP|1AART	19ASPD|2DUR|3RCR|49CGEN|5TLV|6aBEXP|79VULN|8AART|9BPWR
55	15313 16433	   	201.57	ACR|2VULN|1BASARM|2BEXP|1ASPD	13BEXP|23FEWX|3BPWR|47VULN|5RCR|6AAC|8DMSP|9ASPD|aBASARM
56	12113 24333	   	201.57	ACR|2VULN|1BASARM|2BEXP|1ASPD	17BEXP|2DMSP|3FEWX|48VULN|5RCR|6ZMB|9ASPD|aBASARM
57	15113 24333	   	201.57	ACR|2VULN|1BASARM|2BEXP|1ASPD	17BEXP|2FEWX|3DMSP|48VULN|5RCR|6ZMB|9ASPD|aBASARM
58	22213 24333	   	201.57	ACR|2VULN|1BASARM|2BEXP|1ASPD	1FEWX|2DMSP|37BEXP|48VULN|5RCR|6ZMB|9ASPD|aBASARM
59	25213 24333	   	201.57	ACR|2VULN|1BASARM|2BEXP|1ASPD	12FEWX|37BEXP|48VULN|5RCR|6ZMB|9ASPD|aBASARM
60	51313 65334	   	201.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1CGEN|2RMIN|3TLV|4RCR|5BASARM|6MBVNT|7CDMG|8DMG|9BEXP|aASPD
61	52212 42124	   	201.57	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP	1CGEN|2AEMAG|3BEXP|4RCR|5DMG|6DUR|7ASPD|8MSLTOX|9BASARM|aVULN
62	52212 62124	   	201.57	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP	1CGEN|2AEMAG|3BEXP|4RCR|5DMG|6FEWX|7ASPD|8MSLTOX|9BASARM|aVULN
63	11113 62313	   	201.47	ACR|2VULN|1BASARM|2BEXP|1ASPD	16BEXP|2DUST|3DMSP|48VULN|5RCR|7ASPD|9RMIN|aBASARM
64	12263 62313	   	201.47	ACR|2VULN|1BASARM|2BEXP|1ASPD	16BEXP|2DMSP|38VULN|4DUST|5RCR|7ASPD|9RMIN|aBASARM
65	12413 62313	   	201.47	ACR|2VULN|1BASARM|2BEXP|1ASPD	16BEXP|2DMSP|3DUST|48VULN|5RCR|7ASPD|9RMIN|aBASARM
66	11313 52413	   	201.47	ACR|2VULN|1BASARM|2BEXP|1ASPD	13BEXP|23DUST|3BPWR|46VULN|5RCR|7ASPD|8DMSP|9RMIN|aBASARM
67	11513 52413	   	201.47	ACR|2VULN|1BASARM|2BEXP|1ASPD	13BEXP|2DUST|46VULN|5RCR|7ASPD|8DMSP|9RMIN|aBASARM
68	12113 14333	   	201.47	ACR|2VULN|1BASARM|2BEXP|1ASPD	17BEXP|2DMSP|3FEWX|48VULN|5RCR|6AAC|9ASPD|aBASARM
69	15113 14333	   	201.47	ACR|2VULN|1BASARM|2BEXP|1ASPD	17BEXP|2FEWX|3DMSP|48VULN|5RCR|6AAC|9ASPD|aBASARM
70	22213 14333	   	201.47	ACR|2VULN|1BASARM|2BEXP|1ASPD	1FEWX|2DMSP|37BEXP|48VULN|5RCR|6AAC|9ASPD|aBASARM
71	25213 14333	   	201.47	ACR|2VULN|1BASARM|2BEXP|1ASPD	12FEWX|37BEXP|48VULN|5RCR|6AAC|9ASPD|aBASARM
72	52212 12124	   	201.47	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP	1CGEN|2AEMAG|3BEXP|4RCR|5DMG|6DUST|7ASPD|8MSLTOX|9BASARM|aVULN
73	13132 26221	 * 	201.44	ACR|1BASARM|1VULN|2BEXP|2CDMG	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8aCDMG|9FEWX
74	13132 26231	   	201.44	ACR|1BASARM|1VULN|2BEXP|2CDMG	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8aCDMG|9LWND
75	13132 26246	   	201.44	ACR|1BASARM|1VULN|2BEXP|2CDMG	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8aCDMG|9CGEN
76	23133 46513	   	201.44	ACR|2VULN|1BASARM|1DMG|1AART	1FEWX|2ZMB|3RCR|46VULN|5LIT|7ERES|8BASARM|9DMG|aAART
77	13136 52133	   	201.38	ACR|2VULN|3ASPD|2BEXP	18BEXP|28aZMB|3RCR|46VULN|5CGEN|789ASPD|8BPWR
78	13136 52134	   	201.38	ACR|2VULN|3ASPD|2BEXP	18BEXP|28ZMB|3RCR|46VULN|5aCGEN|789ASPD|8BPWR
79	13136 52136	   	201.38	ACR|2VULN|3ASPD|2BEXP	18BEXP|28ZMB|3RCR|46VULN|5CGEN|789ASPD|8BPWR|aLWND
80	13122 52133	   	201.38	ACR|3ASPD|2VULN|2BEXP	18BEXP|28aZMB|3RCR|4CGEN|56VULN|789ASPD|8BPWR
81	13122 52134	   	201.38	ACR|3ASPD|2VULN|2BEXP	18BEXP|28ZMB|3RCR|4aCGEN|56VULN|789ASPD|8BPWR
82	13122 52136	   	201.38	ACR|3ASPD|2VULN|2BEXP	18BEXP|28ZMB|3RCR|4CGEN|56VULN|789ASPD|8BPWR|aLWND
83	13131 52133	   	201.28	ACR|2VULN|3ASPD|2BEXP	18BEXP|28aZMB|3RCR|46VULN|5ERES|789ASPD|8BPWR
84	13131 52134	   	201.28	ACR|2VULN|3ASPD|2BEXP	18BEXP|28ZMB|3RCR|46VULN|5ERES|789ASPD|8BPWR|aCGEN
85	13131 52135	   	201.28	ACR|2VULN|3ASPD|2BEXP	18BEXP|28ZMB|3RCR|46VULN|5ERES|789ASPD|8BPWR|aDMSP
86	13131 52136	   	201.28	ACR|2VULN|3ASPD|2BEXP	18BEXP|28ZMB|3RCR|46VULN|5ERES|789ASPD|8BPWR|aLWND
87	13136 52132	   	201.28	ACR|2VULN|3ASPD|2BEXP	18BEXP|28ZMB|3RCR|46VULN|5CGEN|789ASPD|8BPWR|aMSLFST
88	13136 52135	   	201.28	ACR|2VULN|3ASPD|2BEXP	18BEXP|28ZMB|3RCR|46VULN|5CGEN|789ASPD|8BPWR|aDUST
89	13162 52133	   	201.28	ACR|3ASPD|2VULN|2BEXP	18BEXP|28aZMB|3RCR|4ERES|56VULN|789ASPD|8BPWR
90	13162 52134	   	201.28	ACR|3ASPD|2VULN|2BEXP	18BEXP|28ZMB|3RCR|4ERES|56VULN|789ASPD|8BPWR|aCGEN
91	13162 52135	   	201.28	ACR|3ASPD|2VULN|2BEXP	18BEXP|28ZMB|3RCR|4ERES|56VULN|789ASPD|8BPWR|aDMSP
92	13162 52136	   	201.28	ACR|3ASPD|2VULN|2BEXP	18BEXP|28ZMB|3RCR|4ERES|56VULN|789ASPD|8BPWR|aLWND
93	13122 52132	   	201.28	ACR|3ASPD|2VULN|2BEXP	18BEXP|28ZMB|3RCR|4CGEN|56VULN|789ASPD|8BPWR|aMSLFST
94	13122 52135	   	201.28	ACR|3ASPD|2VULN|2BEXP	18BEXP|28ZMB|3RCR|4CGEN|56VULN|789ASPD|8BPWR|aDUST
95	13131 52132	   	201.18	ACR|2VULN|3ASPD|2BEXP	18BEXP|28ZMB|3RCR|46VULN|5ERES|789ASPD|8BPWR|aMSLFST
96	13131 52161	   	201.18	ACR|2VULN|3ASPD|2BEXP	18BEXP|28ZMB|3RCR|46VULN|5ERES|78aASPD|8BPWR|9MDPS
97	13162 52132	   	201.18	ACR|3ASPD|2VULN|2BEXP	18BEXP|28ZMB|3RCR|4ERES|56VULN|789ASPD|8BPWR|aMSLFST
98	13162 52161	   	201.18	ACR|3ASPD|2VULN|2BEXP	18BEXP|28ZMB|3RCR|4ERES|56VULN|78aASPD|8BPWR|9MDPS
99	51313 36253	 * 	200.47	ACR|1BASARM|2VULN|1ASPD|1DMG	1CGEN|2RMIN|3TLV|4RCR|5BASARM|67VULN|8ASPD|9LIT|aDMG
100	13132 26451	   	200.23	ACR|1BASARM|1VULN|2BEXP|1ASPD	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8DMSP|9ASPD|aRMIN
101	13132 26453	   	200.23	ACR|1BASARM|1VULN|2BEXP|1ASPD	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8DMSP|9ASPD|aLIT
102	13132 26622	   	200.23	ACR|1BASARM|1VULN|2BEXP|1ASPD	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8LHND|9ASPD|aLWND
103	13132 26623	   	200.23	ACR|1BASARM|1VULN|2BEXP|1ASPD	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8LHND|9ASPD|aFEWX
104	13132 26625	   	200.23	ACR|1BASARM|1VULN|2BEXP|1ASPD	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8LHND|9ASPD|aMLV
105	13132 26661	 * 	200.23	ACR|1BASARM|1VULN|2BEXP|1DMG	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8LHND|9LIT|aDMG
106	13132 26512	 * 	200.21	ACR|1BASARM|2VULN|3BEXP	16aBEXP|2ZMB|3RCR|49VULN|5BELT|7BASARM|8ERES
107	63133 24251	   	200.16	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1ASPD|2DUR|3RCR|4VULN|5CDMG|6BEXP|7AIRARM|8RMIN|9FLTARM|aBASARM
108	51313 43233	 * 	200.13	ACR|2BASARM|2DMG|1VULN	1CGEN|2RMIN|36TLV|4RCR|56BASARM|6BPWR|7aDMG|8LIT|9VULN
109	13132 26322	   	200.13	ACR|1BASARM|1VULN|2BEXP|1ASPD	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8DUST|9ASPD|aLWND
110	13132 26323	   	200.13	ACR|1BASARM|1VULN|2BEXP|1ASPD	16BEXP|2ZMB|3RCR|4VULN|5aBELT|7BASARM|8DUST|9ASPD
111	13132 26326	   	200.13	ACR|1BASARM|1VULN|2BEXP|1ASPD	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8DUST|9ASPD|aRMIN
112	13132 26355	   	200.13	ACR|1BASARM|1VULN|2BEXP|1ASPD	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8DUST|9DUR|aASPD
113	13132 26361	   	200.13	ACR|1BASARM|1VULN|2BEXP|1DMG	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8DUST|9LIT|aDMG
114	13132 26624	   	200.13	ACR|1BASARM|1VULN|2BEXP|1ASPD	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8LHND|9ASPD|aDUST
115	13132 26324	   	200.03	ACR|1BASARM|1VULN|2BEXP|1ASPD	16BEXP|2ZMB|3RCR|4VULN|5BELT|7BASARM|8aDUST|9ASPD
116	63132 33124	 * 	199.86	ACR|2ASPD|1VULN|1DMG|1BASICY|1AART	19ASPD|2DUR|3RCR|4VULN|5FEWX|6DMG|7CGEN|8AART|aBASICY
117	63134 33124	   	199.76	ACR|2ASPD|1VULN|1DMG|1BASICY|1AART	19ASPD|2DUR|3RCR|4VULN|5LEGI|6DMG|7CGEN|8AART|aBASICY
118	13143 42361	 * 	199.47	ACR|2VULN|2BEXP|1ASPD|1BASICY|1CDMG	17BEXP|27ZMB|3RCR|4FEWX|5LIT|67VULN|7BPWR|8CDMG|9ASPD|aBASICY
119	13136 52124	   	199.38	ACR|2VULN|2ASPD|2BEXP|1CDMG	18BEXP|28ZMB|3RCR|46VULN|5CGEN|78ASPD|8BPWR|9LHND|aCDMG
120	63133 26124	   	199.38	ACR|2VULN|2ASPD|2BEXP|1CDMG	18ASPD|2DUR|3RCR|48VULN|5CDMG|6aBEXP|78ZMB|8BPWR|9LHND
121	13122 52124	   	199.38	ACR|2VULN|2ASPD|2BEXP|1CDMG	18BEXP|28ZMB|3RCR|4CGEN|56VULN|78ASPD|8BPWR|9LHND|aCDMG
122	13134 42361	   	199.37	ACR|2VULN|2BEXP|1ASPD|1BASICY|1CDMG	17BEXP|2ZMB|3RCR|47VULN|5LEGI|67LIT|7BPWR|8CDMG|9ASPD|aBASICY
123	13131 52124	   	199.28	ACR|2VULN|2ASPD|2BEXP|1CDMG	18BEXP|28ZMB|3RCR|46VULN|5ERES|78ASPD|8BPWR|9LHND|aCDMG
124	13162 52124	   	199.28	ACR|2VULN|2ASPD|2BEXP|1CDMG	18BEXP|28ZMB|3RCR|4ERES|56VULN|78ASPD|8BPWR|9LHND|aCDMG
125	63133 26112	   	199.28	ACR|2VULN|2ASPD|2BEXP|1CDMG	18ASPD|2DUR|3RCR|48VULN|5CDMG|6aBEXP|78ZMB|8BPWR|9MDPS
126	63133 26132	   	199.28	ACR|2VULN|2ASPD|2BEXP|1CDMG	18ASPD|2DUR|3RCR|48VULN|5CDMG|6aBEXP|78ZMB|8BPWR|9ERES
127	13122 52164	   	199.28	ACR|2VULN|2ASPD|2BEXP|1CDMG	18BEXP|28ZMB|3RCR|4CGEN|56VULN|78ASPD|8BPWR|9DUST|aCDMG
128	13131 33132	   	199.18	ACR|2VULN|2DMG|2BEXP|1CDMG	19BEXP|2ZMB|3RCR|49VULN|5ERES|6RPLT|7TLV|89DMG|9BPWR|aCDMG
129	51313 65434	   	199.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1CGEN|2RMIN|3TLV|4RCR|5BASARM|6MBVNT|7CDMG|8aASPD|9BEXP
130	13131 62315	   	199.08	ACR|2VULN|2ASPD|2BEXP|1CDMG	16BEXP|2ZMB|3RCR|4aVULN|5ERES|79ASPD|8CDMG
131	13162 62315	   	199.08	ACR|2VULN|2ASPD|2BEXP|1CDMG	16BEXP|2ZMB|3RCR|4ERES|5aVULN|79ASPD|8CDMG
132	63133 51261	 * 	199.07	ACR|3VULN|1ASPD|1DMG|1CDMG|1BEXP	1ASPD|2DUR|3RCR|46aVULN|5CDMG|7MSLFST|8BEXP|9DMG
133	63133 41223	   	198.93	ACR|2VULN|2ASPD|2BEXP|1CDMG|1SELL	1aASPD|2DUR|3RCR|4aVULN|5CDMG|6TLV|7SELL|8aBEXP|9MDPS|aBPWR
134	63143 33242	   	198.85	ACR|1BASARM|2ASPD|1AART|1AAC	18ASPD|2DUR|3RCR|4FEWX|5LIT|6DUST|7AART|9AAC|aBASARM
135	11313 63132	 * 	198.66	ACR|2VULN|3BEXP|2AART|1DMG	136BEXP|23DUST|3BPWR|47VULN|5RCR|8aAART|9DMG
136	11513 63132	   	198.66	ACR|2VULN|3BEXP|2AART|1DMG	136BEXP|2DUST|47VULN|5RCR|8aAART|9DMG
137	13134 56313	   	198.46	ACR|3VULN|1BASARM|2BEXP	16BEXP|2ZMB|3RCR|478VULN|5LEGI|9RMIN|aBASARM
138	63123 34135	   	198.31	ACR|3BEXP|2ASPD|1VULN|1AART	19ASPD|2DUR|3RCR|49CGEN|5TLV|6VULN|79aBEXP|8AART|9BPWR
139	51313 24314	   	197.86	ACR|1BASARM|1DMG|1VULN|1AART|1CDMG	1CGEN|2RMIN|3TLV|4RCR|5BASARM|6LHND|7CDMG|8DMG|9VULN|aAART
140	51313 34324	   	197.86	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CGEN|2RMIN|3TLV|4RCR|5BASARM|6VULN|7CDMG|8DMG|9DUR|aAART
141	51313 34334	   	197.86	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CGEN|2RMIN|3TLV|4RCR|5BASARM|6VULN|7CDMG|8DMG|9LWND|aAART
142	51313 14314	   	197.76	ACR|1BASARM|1DMG|1VULN|1CDMG|1AART	1CGEN|2RMIN|3TLV|4RCR|5BASARM|6DUST|7CDMG|8DMG|9VULN|aAART
