0	Index      	 *	Score 	Summary	Detail	
1	55235 13311	 * 	205.35	ACR|2ASPD|3AART|1VULN|1DMG	159AART|2RMIN|3RCR|4LHND|6aASPD|7VULN|8DMG
19	55231 32135	   	192.85	ACR|2VULN|1BASARM|1AART|1BEXP	1AART|2RMIN|3RCR|46LHND|56VULN|6BPWR|7MLV|8BASARM|9BELT|aBEXP
20	21325 43263	 * 	191.80	ACR|1VULN|2BEXP|2AART|1ASPD|1CDMG	1LIT|2CGEN|3VULN|4RCR|5aAART|6ASPD|79BEXP|8CDMG
21	22225 43263	   	191.80	ACR|1VULN|2BEXP|2AART|1ASPD|1CDMG	1LIT|2VULN|3CGEN|4RCR|5aAART|6ASPD|79BEXP|8CDMG
22	55231 32151	 * 	190.64	ACR|3VULN|1BASARM|1AART	1AART|2RMIN|3RCR|46LHND|56aVULN|6BPWR|7MLV|8BASARM|9RPLT
23	55231 31214	 * 	190.41	ACR|3VULN|2AART|1BEXP|1CDMG	19AART|2RMIN|3RCR|46LHND|568VULN|6BPWR|7BEXP|aCDMG
24	21525 31324	 * 	189.97	ACR|2VULN|1BASARM|2AART	1LIT|2CGEN|3LHND|4RCR|59AART|67VULN|8DLOT|aBASARM
25	55231 34121	 * 	189.55	ACR|4VULN|2AART|1CDMG	19AART|2RMIN|3RCR|46LHND|5678VULN|6BPWR|aCDMG
26	55235 13333	   	189.54	ACR|1VULN|2AART|1ASPD|1DMG|1CDMG	15AART|2RMIN|3RCR|4LHND|6ASPD|7VULN|8DMG|9TLV|aCDMG
27	55253 22111	   	189.42	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART	1AART|2RMIN|3RCR|45RPLT|6VULN|7DMG|8ASPD|9aBEXP
28	13126 88232	 * 	189.33	ACR|1BASARM|1ASPD|1DMG|1BASICY	1MLV|2CGEN|3DUR|4MBVNT|5RCR|6BASARM|7MDPS|8BASICY|9DMG|aASPD
29	55212 23136	   	188.01	ACR|1BASARM|1VULN|1DMG|1AART	1AART|2RMIN|3RCR|45CGEN|6VULN|7LHND|8BASARM|9BELT|aDMG
30	55212 25133	 * 	188.01	ACR|1BASARM|1VULN|1ASPD|1AART	1AART|2RMIN|3RCR|45CGEN|6VULN|7DUR|8BASARM|9BELT|aASPD
31	55232 22136	   	188.01	ACR|1BASARM|1VULN|1DMG|1AART	1AART|2RMIN|3RCR|45LHND|6VULN|7MLV|8BASARM|9BELT|aDMG
32	55212 22136	   	187.91	ACR|1BASARM|1VULN|1DMG|1AART	1AART|2RMIN|3RCR|45CGEN|6VULN|7LEGI|8BASARM|9BELT|aDMG
33	55212 24312	   	187.40	ACR|2VULN|1BASARM|1AART|1AAC	1AART|2RMIN|3RCR|45CGEN|68VULN|7BASARM|9FEWX|aAAC
34	55212 24332	   	187.40	ACR|2VULN|1BASARM|1AART|1AAC	1AART|2RMIN|3RCR|45CGEN|68VULN|7BASARM|9LHND|aAAC
35	55231 32126	   	187.40	ACR|2VULN|1BASARM|1AART|1AAC	1AART|2RMIN|3RCR|46LHND|56VULN|6BPWR|7MLV|8BASARM|9TLV|aAAC
36	61311 21154	   	187.26	ACR|1BASARM|2DMG|1ASPD	18VENTOX|2ASPD|38DMG|4LWND|5RCR|6CGEN|78LIT|8BPWR|9ZMB|aBASARM
37	61311 34222	   	187.06	ACR|1BASARM|2DMG|1ASPD	1VENTOX|2ASPD|3aDMG|4LWND|5RCR|6DUR|7ZMB|8BASARM|9FEWX
38	61311 34231	   	187.06	ACR|1BASARM|2DMG|1ASPD	1VENTOX|2ASPD|39DMG|4LWND|5RCR|6DUR|7ZMB|8BASARM|aRPLT
39	61311 34233	   	187.06	ACR|1BASARM|2DMG|1ASPD	1VENTOX|2ASPD|39DMG|4LWND|5RCR|6aDUR|7ZMB|8BASARM
40	61311 34235	   	187.06	ACR|1BASARM|2DMG|1ASPD	1VENTOX|2ASPD|39DMG|4aLWND|5RCR|6DUR|7ZMB|8BASARM
41	61311 34236	   	187.06	ACR|1BASARM|2DMG|1ASPD	1VENTOX|2ASPD|39DMG|4LWND|5RCR|6DUR|7ZMB|8BASARM|aFEWX
42	61311 34241	   	187.06	ACR|1BASARM|2DMG|1ASPD	1VENTOX|2ASPD|3aDMG|4LWND|5RCR|6DUR|7ZMB|8BASARM|9LIT
43	61311 34262	   	187.06	ACR|1BASARM|2DMG|1ASPD	1VENTOX|2ASPD|3aDMG|4LWND|5RCR|6DUR|7ZMB|8BASARM|9LHND
44	63141 25414	 * 	186.96	ACR|2ASPD|2BEXP|1VULN|1DMG	1VENTOX|2LHND|3aBEXP|4RCR|5VULN|6MBVNT|79ASPD|8DMG
45	61311 34232	   	186.96	ACR|1BASARM|2DMG|1ASPD	1VENTOX|2ASPD|39DMG|4LWND|5RCR|6DUR|7ZMB|8BASARM|aAME
46	61341 34231	   	186.96	ACR|1BASARM|2DMG|1ASPD	1VENTOX|2ASPD|39DMG|4DUST|5RCR|6DUR|7ZMB|8BASARM|aRPLT
47	61341 34232	   	186.86	ACR|1BASARM|2DMG|1ASPD	1VENTOX|2ASPD|39DMG|4DUST|5RCR|6DUR|7ZMB|8BASARM|aAME
48	55231 31532	 * 	186.82	ACR|2VULN|1ASPD|1BASICY|1AART|1BEXP	1AART|2RMIN|3RCR|46LHND|56VULN|6BPWR|7BEXP|8ASPD|9ERES|aBASICY
49	33141 25414	   	186.76	ACR|2ASPD|2BEXP|1VULN|1DMG	1DUST|2SNIHEL|3aBEXP|4RCR|5VULN|6MBVNT|79ASPD|8DMG
50	31331 35234	   	186.76	ACR|1BASARM|2DMG|1ASPD	1DUST|2ZMB|3NUKE|4SNIFST|5RCR|6DUR|79DMG|8BASARM|aASPD
51	12566 44331	 * 	186.54	ACR|2VULN|1BASARM|1ASPD|1BEXP	1MLV|26VULN|3MBVNT|4TLV|5RCR|7RPLT|8BEXP|9ASPD|aBASARM
52	12586 44331	   	186.54	ACR|2VULN|1BASARM|1ASPD|1BEXP	1MLV|26VULN|3MBVNT|4AME|5RCR|7RPLT|8BEXP|9ASPD|aBASARM
53	55235 13312	   	186.52	ACR|3AART|1VULN|1ASPD|1DMG	159AART|2RMIN|3RCR|4LHND|6ASPD|7VULN|8DMG|aCGEN
54	21325 34281	 * 	186.37	ACR|2VULN|1ASPD|1DMG|1AART|1CDMG	1LIT|2CGEN|3aVULN|4RCR|5AART|6MBVNT|7DMG|8CDMG|9ASPD
55	22225 34281	   	186.37	ACR|2VULN|1ASPD|1DMG|1AART|1CDMG	1LIT|2aVULN|3CGEN|4RCR|5AART|6MBVNT|7DMG|8CDMG|9ASPD
56	21325 43211	   	186.05	ACR|2VULN|1ASPD|1BEXP|1AART|1CDMG|1AAC	1LIT|2CGEN|3aVULN|4RCR|5AART|6ASPD|7BEXP|8CDMG|9AAC
57	22225 43211	   	186.05	ACR|2VULN|1ASPD|1BEXP|1AART|1CDMG|1AAC	1LIT|2aVULN|3CGEN|4RCR|5AART|6ASPD|7BEXP|8CDMG|9AAC
58	55231 34123	   	185.71	ACR|4VULN|2AART|1BEXP	19AART|2RMIN|3RCR|46LHND|5678VULN|6BPWR|aBEXP
59	61165 31213	 * 	185.09	ACR|2VULN|2ASPD|1BEXP|1AART|1AAC	18VENTOX|28ASPD|38VULN|4AART|5RCR|6RPLT|7DLOT|8BPWR|9AAC|aBEXP
60	61164 12223	   	184.98	DCR|2VULN|2ASPD|1DMG|1BEXP|1CDMG|1AART	1VENTOX|28ASPD|35VULN|4AART|6DMG|7CDMG|9BEXP|aRCR
61	61164 12333	   	184.98	DCR|2VULN|2ASPD|1DMG|1BEXP|1CDMG|1AART	1VENTOX|29ASPD|35VULN|4AART|6DMG|7CDMG|8BEXP|aRCR
62	51625 12222	   	184.52	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG	1AART|2AEFBLL|3SPLREG|48ASPD|5RCR|6DMG|7CDMG|9DMSP|aVULN
63	21325 43631	   	184.42	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LIT|2CGEN|3VULN|4RCR|5AART|6ASPD|78BEXP|9DMG|aLHND
64	21325 43633	   	184.42	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LIT|2CGEN|3VULN|4RCR|5AART|6ASPD|78BEXP|9DMG|aZMB
65	22225 43631	   	184.42	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LIT|2VULN|3CGEN|4RCR|5AART|6ASPD|78BEXP|9DMG|aLHND
66	22225 43633	   	184.42	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1LIT|2VULN|3CGEN|4RCR|5AART|6ASPD|78BEXP|9DMG|aZMB
67	21325 34284	   	184.41	ACR|1VULN|1ASPD|1DMG|1BEXP|1AART|1CDMG	1LIT|2CGEN|3VULN|4RCR|5AART|6MBVNT|7DMG|8CDMG|9ASPD|aBEXP
68	22225 34284	   	184.41	ACR|1VULN|1ASPD|1DMG|1BEXP|1AART|1CDMG	1LIT|2VULN|3CGEN|4RCR|5AART|6MBVNT|7DMG|8CDMG|9ASPD|aBEXP
69	13126 82533	 * 	184.15	ACR|2BASARM|1ASPD|1DMG	18MLV|27CGEN|38DUR|4MBVNT|5RCR|68BASARM|8BPWR|9DMG|aASPD
70	55235 13111	   	184.05	ACR|2ASPD|3AART|1VULN	159AART|2RMIN|3RCR|4LHND|6aASPD|7VULN|8MLV
71	55236 22122	   	183.96	ACR|1BASARM|1VULN|1CDMG|1AART	1AART|2RMIN|3RCR|4LHND|5RCVC|6VULN|7MLV|8BASARM|9TLV|aCDMG
72	55235 13211	   	183.95	ACR|2ASPD|3AART|1VULN	159AART|2RMIN|3RCR|4LHND|6aASPD|7VULN|8AAC
73	61165 23222	 * 	183.94	ACR|3VULN|2BEXP|1ASPD|1AART	1VENTOX|2ASPD|389VULN|4AART|5RCR|6LIT|7aBEXP
74	61311 34225	 * 	183.12	ACR|1BASARM|1ASPD|1DMG|1VULN	1VENTOX|2ASPD|3DMG|4LWND|5RCR|6DUR|7ZMB|8BASARM|9FEWX|aVULN
75	63141 25424	   	183.02	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG	1VENTOX|2LHND|3aBEXP|4RCR|5VULN|6MBVNT|7ASPD|8DMG|9CDMG
76	61311 61235	   	183.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1VENTOX|2ASPD|3DMG|4LWND|5RCR|6VULN|78DUR|9ERES|aBASARM
77	61311 61335	   	183.02	ACR|1BASARM|1VULN|1ASPD|1DMG	1VENTOX|2ASPD|3DMG|48LWND|5RCR|6VULN|7DUR|9ERES|aBASARM
78	55211 41231	   	183.00	ACR|2BEXP|1VULN|1ASPD|1CDMG|1AART	1AART|2RMIN|3RCR|4CGEN|5LHND|6ASPD|7aBEXP|8VULN|9CDMG
79	55233 41231	   	183.00	ACR|2BEXP|1VULN|1ASPD|1AART|1CDMG	1AART|2RMIN|3RCR|4LHND|5MLV|6ASPD|7aBEXP|8VULN|9CDMG
80	61311 61115	   	182.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1VENTOX|2ASPD|3DMG|4LWND|5RCR|6VULN|7DUR|89ERES|aBASARM
81	13126 88231	   	182.92	ACR|1BASARM|1DMG|1BASICY|1BEXP	1MLV|2CGEN|3DUR|4MBVNT|5RCR|6BASARM|7MDPS|8BASICY|9DMG|aBEXP
82	21325 12223	   	182.91	ACR|1BASARM|1VULN|1ASPD|1AART	1LIT|2CGEN|3VULN|4RCR|5AART|6LWND|7LSRREG|8MLV|9BASARM|aASPD
83	21325 22223	   	182.91	ACR|1BASARM|1VULN|1ASPD|1AART	1LIT|2CGEN|3VULN|4RCR|5AART|6DUR|7LSRREG|8MLV|9BASARM|aASPD
84	22225 12223	   	182.91	ACR|1BASARM|1VULN|1ASPD|1AART	1LIT|2VULN|3CGEN|4RCR|5AART|6LWND|7LSRREG|8MLV|9BASARM|aASPD
85	22225 22223	   	182.91	ACR|1BASARM|1VULN|1ASPD|1AART	1LIT|2VULN|3CGEN|4RCR|5AART|6DUR|7LSRREG|8MLV|9BASARM|aASPD
86	21525 32223	   	182.91	ACR|1BASARM|1VULN|1ASPD|1AART	1LIT|2CGEN|3LHND|4RCR|5AART|6VULN|7LSRREG|8MLV|9BASARM|aASPD
87	55231 41231	   	182.90	ACR|1VULN|2BEXP|1DMG|1CDMG|1AART	1AART|2RMIN|3RCR|4LHND|5VULN|6aBEXP|7DMG|8AAC|9CDMG
88	55231 35311	   	182.90	ACR|2VULN|3AART|1ASPD	189AART|2RMIN|3RCR|46LHND|56VULN|6BPWR|7FEWX|aASPD
89	55253 22113	   	182.88	ACR|1VULN|1ASPD|1DMG|1BEXP|1AART|1AAC	1AART|2RMIN|3RCR|45RPLT|6VULN|7DMG|8ASPD|9BEXP|aAAC
90	61165 23122	 * 	182.86	ACR|2VULN|3BEXP|1ASPD|1AART	1VENTOX|2ASPD|39VULN|4AART|5RCR|6LIT|78aBEXP
91	33141 25424	   	182.82	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG	1DUST|2SNIHEL|3aBEXP|4RCR|5VULN|6MBVNT|7ASPD|8DMG|9CDMG
92	21325 32223	   	182.81	ACR|1BASARM|1VULN|1ASPD|1AART	1LIT|2CGEN|3VULN|4RCR|5AART|6MBVNT|7LSRREG|8MLV|9BASARM|aASPD
93	21325 32228	   	182.81	ACR|1BASARM|1VULN|1DMG|1AART	1LIT|2CGEN|3VULN|4RCR|5AART|6MBVNT|7LSRREG|8MLV|9BASARM|aDMG
94	22225 32223	   	182.81	ACR|1BASARM|1VULN|1ASPD|1AART	1LIT|2VULN|3CGEN|4RCR|5AART|6MBVNT|7LSRREG|8MLV|9BASARM|aASPD
95	22225 32228	   	182.81	ACR|1BASARM|1VULN|1DMG|1AART	1LIT|2VULN|3CGEN|4RCR|5AART|6MBVNT|7LSRREG|8MLV|9BASARM|aDMG
96	55231 31361	 * 	182.75	ACR|2VULN|2AART|1DMG|1BEXP	18AART|2RMIN|3RCR|46LHND|56VULN|6BPWR|7BEXP|9DMG|aBELT
97	21325 32423	   	182.71	ACR|1BASARM|1VULN|1ASPD|1AART	1LIT|2CGEN|3VULN|4RCR|5AART|6MBVNT|7LSRREG|8TLV|9BASARM|aASPD
98	22225 32423	   	182.71	ACR|1BASARM|1VULN|1ASPD|1AART	1LIT|2VULN|3CGEN|4RCR|5AART|6MBVNT|7LSRREG|8TLV|9BASARM|aASPD
99	55231 31362	   	182.65	ACR|2VULN|2AART|1DMG|1BEXP	18AART|2RMIN|3RCR|46LHND|56VULN|6BPWR|7BEXP|9DMG|aERES
100	21525 43131	   	182.46	ACR|1BASARM|1ASPD|1BEXP|1AART	1LIT|2CGEN|3LHND|4RCR|5AART|6ASPD|7BEXP|8DUR|9RCVC|aBASARM
101	21325 34243	 * 	182.06	ACR|2DMG|1VULN|2AART|1CDMG	1LIT|2CGEN|3VULN|4RCR|5aAART|6MBVNT|79DMG|8CDMG
102	22225 34243	   	182.06	ACR|2DMG|1VULN|2AART|1CDMG	1LIT|2VULN|3CGEN|4RCR|5aAART|6MBVNT|79DMG|8CDMG
103	63141 25122	   	181.93	ACR|2ASPD|1VULN|1BEXP|1AART|1CDMG	1VENTOX|2LHND|3BEXP|4RCR|5VULN|6MBVNT|78ASPD|9AART|aCDMG
104	13126 82534	 * 	181.88	ACR|2BASARM|2DMG	18aMLV|27aCGEN|38DUR|4MBVNT|5RCR|68BASARM|8aBPWR|9aDMG
105	33141 44122	   	181.83	ACR|2ASPD|1VULN|1AART|1BEXP|1CDMG	1DUST|2SNIHEL|3BEXP|4RCR|5VULN|6LWND|78ASPD|9AART|aCDMG
106	61311 51152	   	181.81	ACR|2ASPD|2BEXP|1VULN|1DMG|1SELL	1VENTOX|2aASPD|3DMG|4LWND|5RCR|6SELL|7aBEXP|8VULN|9aAME|aBPWR
107	21522 21441	   	181.71	ACR|1BASARM|1ASPD|1BEXP|1AART	1LIT|25CGEN|3LHND|4RCR|6DUR|7BEXP|8ASPD|9AART|aBASARM
108	21622 21441	   	181.71	ACR|1BASARM|1ASPD|1AART|1BEXP	1LIT|25CGEN|3LWND|4RCR|6DUR|7BEXP|8ASPD|9AART|aBASARM
109	21522 35421	   	181.71	ACR|1BASARM|1ASPD|1BEXP|1AART	1LIT|25CGEN|3LHND|4RCR|6BEXP|7FEWX|8ASPD|9AART|aBASARM
110	21622 35421	   	181.71	ACR|1BASARM|1ASPD|1AART|1BEXP	1LIT|25CGEN|3LWND|4RCR|6BEXP|7FEWX|8ASPD|9AART|aBASARM
111	33141 33154	   	181.52	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG	1DUST|2SNIHEL|3BEXP|4RCR|57VULN|6MSLTOX|8CDMG|9ASPD|aDMG
112	21462 25223	   	181.51	ACR|1BASARM|1VULN|1DMG|1CDMG	1LIT|2CGEN|3MDPS|4RCR|5VULN|6LWND|7BASARM|8ERES|9DMG|aCDMG
113	21462 35223	   	181.51	ACR|1BASARM|1VULN|1DMG|1CDMG	1LIT|2CGEN|3MDPS|4RCR|5VULN|6DUR|7BASARM|8ERES|9DMG|aCDMG
114	55212 21122	   	181.50	ACR|1BASARM|1VULN|1CDMG|1AART	1AART|2RMIN|3RCR|45CGEN|6VULN|7FEWX|8BASARM|9TLV|aCDMG
115	55212 23122	   	181.50	ACR|1BASARM|1VULN|1AART|1CDMG	1AART|2RMIN|3RCR|45CGEN|6VULN|7LHND|8BASARM|9TLV|aCDMG
116	55212 24222	   	181.50	ACR|1BASARM|1VULN|1AART|1CDMG	1AART|2RMIN|3RCR|45CGEN|6VULN|7BASARM|8LHND|9TLV|aCDMG
117	55212 25122	   	181.50	ACR|1BASARM|1VULN|1CDMG|1AART	1AART|2RMIN|3RCR|45CGEN|6VULN|7DUR|8BASARM|9TLV|aCDMG
118	55212 32122	   	181.50	ACR|1BASARM|1VULN|1CDMG|1AART	1AART|2RMIN|3RCR|45CGEN|6FEWX|7VULN|8BASARM|9TLV|aCDMG
119	55232 22122	   	181.50	ACR|1BASARM|1VULN|1CDMG|1AART	1AART|2RMIN|3RCR|45LHND|6VULN|7MLV|8BASARM|9TLV|aCDMG
120	55261 12122	   	181.50	ACR|1BASARM|1VULN|1CDMG|1AART	1AART|2RMIN|3RCR|46FEWX|5VULN|7MLV|8BASARM|9TLV|aCDMG
121	21462 25311	   	181.42	ACR|2BASARM|1VULN|1DMG	18LIT|28CGEN|3MDPS|4RCR|5VULN|6LWND|78BASARM|8BPWR|9DMG|aZMB
122	21462 35311	   	181.42	ACR|2BASARM|1VULN|1DMG	18LIT|28CGEN|3MDPS|4RCR|5VULN|6DUR|78BASARM|8BPWR|9DMG|aZMB
123	21462 35312	   	181.42	ACR|2BASARM|1VULN|1DMG	18LIT|28CGEN|3MDPS|4RCR|5VULN|6DUR|78BASARM|8BPWR|9DMG|aDMSP
124	55212 22122	   	181.40	ACR|1BASARM|1VULN|1CDMG|1AART	1AART|2RMIN|3RCR|45CGEN|6VULN|7LEGI|8BASARM|9TLV|aCDMG
125	55231 23326	   	181.40	ACR|1BASARM|1VULN|1AART|1CDMG	1AART|2RMIN|3RCR|4LHND|5VULN|6TLV|7CGEN|8ERES|9CDMG|aBASARM
126	55263 22122	   	181.40	ACR|1BASARM|1VULN|1CDMG|1AART	1AART|2RMIN|3RCR|4FEWX|5AEMAG|6VULN|7MLV|8BASARM|9TLV|aCDMG
127	61341 13152	 * 	181.37	ACR|3ASPD|1DMG|1BEXP|1CDMG	1VENTOX|29aASPD|3DMG|4DUST|5RCR|6MSLREG|7BEXP|8CDMG
128	21462 25313	   	181.32	ACR|2BASARM|1VULN|1DMG	18LIT|28CGEN|3MDPS|4RCR|5VULN|6LWND|78BASARM|8BPWR|9DMG|aTLV
129	21462 25322	 * 	181.32	ACR|2BASARM|1VULN|1ASPD	18LIT|28CGEN|3MDPS|4RCR|5VULN|6LWND|78BASARM|8BPWR|9FLTARM|aASPD
130	21462 35313	   	181.32	ACR|2BASARM|1VULN|1DMG	18LIT|28CGEN|3MDPS|4RCR|5VULN|6DUR|78BASARM|8BPWR|9DMG|aLEGI
131	21462 35322	   	181.32	ACR|2BASARM|1VULN|1ASPD	18LIT|28CGEN|3MDPS|4RCR|5VULN|6DUR|78BASARM|8BPWR|9FLTARM|aASPD
132	55236 21311	   	181.32	ACR|3AART|1VULN|1ASPD|1BEXP	189AART|2RMIN|3RCR|4LHND|5RCVC|6VULN|7BEXP|aASPD
133	55213 24323	 * 	180.56	ACR|2VULN|3AART|1BASICY	189AART|2RMIN|3RCR|4CGEN|5MLV|67VULN|aBASICY
134	55235 22131	   	180.49	ACR|1BASARM|1VULN|2AART	15AART|2RMIN|3RCR|4LHND|6VULN|7MLV|8BASARM|9BELT|aDUR
135	55235 22133	   	180.49	ACR|1BASARM|1VULN|2AART	15AART|2RMIN|3RCR|4aLHND|6VULN|7MLV|8BASARM|9BELT
136	55235 22121	   	180.39	ACR|1BASARM|1VULN|2AART	15AART|2RMIN|3RCR|4LHND|6VULN|7MLV|8BASARM|9TLV|aLWND
137	55235 22132	   	180.39	ACR|1BASARM|1VULN|2AART	15AART|2RMIN|3RCR|4LHND|6VULN|7MLV|8BASARM|9BELT|aAEFBLL
138	31331 35233	   	180.34	ACR|1BASARM|2DMG|1AART	1DUST|2ZMB|3NUKE|4SNIFST|5RCR|6DUR|79DMG|8BASARM|aAART
139	31331 35235	   	180.34	ACR|1BASARM|2DMG|1BEXP	1DUST|2ZMB|3NUKE|4SNIFST|5RCR|6DUR|79DMG|8BASARM|aBEXP
140	31331 35236	   	180.34	ACR|1BASARM|2DMG|1CDMG	1DUST|2ZMB|3NUKE|4SNIFST|5RCR|6DUR|79DMG|8BASARM|aCDMG
141	21322 14131	 * 	180.31	ACR|2VULN|1BASARM|2CDMG	1LIT|25CGEN|36VULN|4RCR|78CDMG|9ERES|aBASARM
142	21324 14131	   	180.31	ACR|2VULN|1BASARM|2CDMG	1LIT|2CGEN|36VULN|4RCR|5DMSP|78CDMG|9ERES|aBASARM
143	22222 14131	   	180.31	ACR|2VULN|1BASARM|2CDMG	1LIT|26VULN|35CGEN|4RCR|78CDMG|9ERES|aBASARM
144	22224 14131	   	180.31	ACR|2VULN|1BASARM|2CDMG	1LIT|26VULN|3CGEN|4RCR|5DMSP|78CDMG|9ERES|aBASARM
145	55212 23135	   	180.29	ACR|1BASARM|1VULN|1AART|1BEXP	1AART|2RMIN|3RCR|45CGEN|6VULN|7LHND|8BASARM|9BELT|aBEXP
146	55232 22135	   	180.29	ACR|1BASARM|1VULN|1BEXP|1AART	1AART|2RMIN|3RCR|45LHND|6VULN|7MLV|8BASARM|9BELT|aBEXP
147	63141 24732	   	180.29	ACR|1BASARM|1VULN|1ASPD|1BEXP	1VENTOX|2LHND|3BEXP|4RCR|5VULN|6MBVNT|7MLV|8LWND|9BASARM|aASPD
148	55235 22123	   	180.29	ACR|1BASARM|1VULN|2AART	15AART|2RMIN|3RCR|4LHND|6VULN|7MLV|8BASARM|9TLV|aMDPS
149	32126 21633	   	180.24	ACR|1BASARM|2ASPD|1CDMG	128DUST|28BPWR|3DUR|4MBVNT|5RCR|68ERES|78ASPD|9BASARM|aCDMG
150	32126 21635	 * 	180.24	ACR|1BASARM|2ASPD|1VULN	128DUST|28BPWR|3DUR|4MBVNT|5RCR|68ERES|78ASPD|9BASARM|aVULN
151	32126 21637	   	180.24	ACR|1BASARM|2ASPD|1BEXP	128DUST|28BPWR|3DUR|4MBVNT|5RCR|68ERES|78ASPD|9BASARM|aBEXP
152	55212 22135	   	180.19	ACR|1BASARM|1VULN|1AART|1BEXP	1AART|2RMIN|3RCR|45CGEN|6VULN|7LEGI|8BASARM|9BELT|aBEXP
153	55212 24112	   	180.19	ACR|1BASARM|1VULN|1BEXP|1AART	1AART|2RMIN|3RCR|45CGEN|6VULN|7BASARM|8ERES|9LIT|aBEXP
154	63141 21732	   	180.19	ACR|1BASARM|1VULN|1ASPD|1BEXP	1VENTOX|2LHND|3BEXP|4RCR|5VULN|6MBVNT|7ERES|8LWND|9BASARM|aASPD
155	63141 41232	   	180.19	ACR|1BASARM|1VULN|1ASPD|1BEXP	1VENTOX|2LHND|3BEXP|4RCR|5VULN|6LWND|7ERES|8DUST|9BASARM|aASPD
156	63141 51232	   	180.19	ACR|1BASARM|1VULN|1ASPD|1BEXP	1VENTOX|2LHND|3BEXP|4RCR|5VULN|6FEWX|7ERES|8DUST|9BASARM|aASPD
157	55232 13362	   	180.12	ACR|2DMG|1VULN|1ASPD|1AART	1AART|2RMIN|3RCR|45LHND|6ASPD|7VULN|89DMG|aRCVC
