0	Index      	 *	Score 	Summary	Detail	
1	12142 24332	 * 	315.53	ACR|4VULN|2TLV|1AEFBLL|1DMG	18TLV|239aVULN|4RCR|5AEFBLL|6RPLT|7DMG
38	12142 53333	   	294.38	ACR|3VULN|2TLV|1AEFBLL|1DMG	19TLV|238VULN|4RCR|5AEFBLL|6LIT|7DMG|aAETHUN
39	12145 35111	 * 	293.95	ACR|DCR|2VULN|1TLV|2DUR	1TLV|23VULN|49RCR|58DUR|6LWND|7BASFIG|aFEWX
40	12145 35112	   	293.95	ACR|DCR|2VULN|1TLV|2DUR	1TLV|23VULN|49RCR|58DUR|6LWND|7BASFIG|aDMSP
41	12145 35113	   	293.85	ACR|DCR|2VULN|1TLV|2DUR	1TLV|23VULN|49RCR|58DUR|6LWND|7BASFIG|aSPLJET
42	12145 22413	   	293.10	ACR|2TLV|2VULN|1DMG|1AEBURN|1CDMG	19TLV|23VULN|4RCR|5DUR|6CDMG|7DMSP|8AEBURN|aDMG
43	12145 23413	   	293.00	ACR|2TLV|2VULN|1DMG|1AEBURN|1CDMG	19TLV|23VULN|4RCR|5DUR|6CDMG|7AEWIND|8AEBURN|aDMG
44	11153 42311	 * 	292.73	ACR|2TLV|2VULN|3DMG	19TLV|2FEWX|39VULN|4DUR|5RCR|6LEGI|7LWND|89aDMG|9BPWR
45	11366 34114	 * 	292.63	DCR|2TLV|2VULN|3DMG	19TLV|2FEWX|369DMG|4MDPS|5MBVNT|7RCR|89VULN|9BPWR|aDUR
46	12165 22333	   	292.57	DCR|4VULN|1TLV|1AEPOI|1CDMG	1TLV|2357VULN|4CDMG|6RPLT|8DUR|9RCR|aAEPOI
47	12166 12333	   	292.57	DCR|4VULN|1TLV|1AEPOI|1CDMG	1TLV|2367VULN|4CDMG|5RPLT|8DUR|9RCR|aAEPOI
48	11153 24353	   	292.36	ACR|DCR|2TLV|1VULN|1AART	16TLV|289FEWX|3VULN|4DUR|5aRCR|7AART
49	32114 32441	   	292.10	DCR|3VULN|2TLV|2DMG	1BEXP|289VULN|3LWND|4BLASTR|58DMG|6LIT|78TLV|8BPWR|aRCR
50	32314 32441	   	292.10	DCR|3VULN|2TLV|2DMG	1BEXP|289VULN|3FEWX|4BLASTR|58DMG|6LIT|78TLV|8BPWR|aRCR
51	14126 32318	   	291.90	DCR|3VULN|2TLV|2DMG	1aTLV|2DUST|39aVULN|4MBVNT|5RMIN|6RCR|7LEGI|8aDMG|aBPWR
52	11153 42312	 * 	290.72	ACR|3TLV|2VULN|2DMG	19aTLV|2FEWX|39VULN|4DUR|5RCR|6LEGI|7LWND|89DMG|9BPWR
53	11153 25111	   	290.30	ACR|DCR|2TLV|1VULN|2DUR	16TLV|2FEWX|3VULN|48DUR|59RCR|7BASFIG|aBELT
54	11153 25113	   	290.30	ACR|DCR|2TLV|1VULN|2DUR	16TLV|2FEWX|3VULN|48DUR|59RCR|7BASFIG|aAAC
55	11153 25114	   	290.30	ACR|DCR|2TLV|1VULN|2DUR	16TLV|2FEWX|3VULN|48DUR|59RCR|7BASFIG|aBEXP
56	11153 35115	   	290.30	ACR|DCR|2TLV|1VULN|2DUR	1aTLV|2FEWX|3VULN|48DUR|59RCR|6RCVC|7BASFIG
57	16153 22433	   	289.95	ACR|2TLV|2VULN|1DMG|1AEBURN|2CDMG	17TLV|29LHND|37VULN|4RCVC|5RCR|67CDMG|7BPWR|8AEBURN|aDMG
58	16423 22433	   	289.95	ACR|2TLV|2VULN|1DMG|1AEBURN|2CDMG	17TLV|29LHND|3RCVC|47VULN|5RCR|67CDMG|7BPWR|8AEBURN|aDMG
59	11366 34115	   	289.90	DCR|2TLV|2VULN|3DMG	19TLV|2FEWX|369DMG|4MDPS|5MBVNT|7RCR|89VULN|9BPWR|aRAT
60	12142 24432	   	289.23	ACR|4VULN|1TLV|1AEFBLL|1DMG	1TLV|239aVULN|4RCR|5AEFBLL|6RPLT|7DMG|8AEWIND
61	12111 44135	   	289.05	DCR|4VULN|2TLV|2BLAICY	18TLV|2378VULN|4MDPS|5BELT|68BLAICY|8BPWR|9AAC|aRCR
62	12165 22131	   	289.05	DCR|4VULN|2TLV|1CDMG	1aTLV|2357VULN|4CDMG|6RPLT|8LHND|9RCR
63	12165 22231	   	289.05	DCR|4VULN|2TLV|1CDMG	1aTLV|2357VULN|4CDMG|6RPLT|8LWND|9RCR
64	12165 22531	   	289.05	DCR|4VULN|2TLV|1CDMG	1aTLV|2357VULN|4CDMG|6RPLT|8FEWX|9RCR
65	12165 23631	   	289.05	DCR|4VULN|2TLV|1CDMG	1aTLV|2358VULN|4CDMG|6RPLT|7BEXP|9RCR
66	12166 12131	   	289.05	DCR|4VULN|2TLV|1CDMG	1aTLV|2367VULN|4CDMG|5RPLT|8LHND|9RCR
67	12166 12231	   	289.05	DCR|4VULN|2TLV|1CDMG	1aTLV|2367VULN|4CDMG|5RPLT|8LWND|9RCR
68	12166 12531	   	289.05	DCR|4VULN|2TLV|1CDMG	1aTLV|2367VULN|4CDMG|5RPLT|8FEWX|9RCR
69	12166 13631	   	289.05	DCR|4VULN|2TLV|1CDMG	1aTLV|2368VULN|4CDMG|5RPLT|7BEXP|9RCR
70	12111 66153	   	289.05	DCR|4VULN|3TLV	178TLV|2378VULN|4MDPS|5BELT|678BASICY|78BPWR|9AME|aRCR
71	12165 21631	   	288.95	DCR|4VULN|2TLV|1CDMG	1aTLV|2358VULN|4CDMG|6RPLT|7DUST|9RCR
72	12166 11631	   	288.95	DCR|4VULN|2TLV|1CDMG	1aTLV|2368VULN|4CDMG|5RPLT|7DUST|9RCR
73	12142 32513	   	288.87	ACR|3VULN|1TLV|1AEFBLL|1DMG|1ASPD	1TLV|239VULN|4RCR|5AEFBLL|6CGEN|7RAT|8ASPD|aDMG
74	12331 62515	   	288.67	DCR|3VULN|2TLV|1CDMG|1AART	15TLV|25aVULN|3RPLT|4AART|5BPWR|6DUR|7RCR|8CDMG|9LEGI
75	12151 53621	   	288.17	DCR|3VULN|2TLV|1AEPOI|1CDMG	16TLV|239VULN|4CGEN|56FLTFST|6BPWR|7CDMG|8AEPOI|aRCR
76	12211 46153	   	288.17	DCR|3TLV|3VULN|3BLAICY	178TLV|278VULN|3BEXP|4DUST|5BELT|678BLAICY|78BPWR|9AME|aRCR
77	11336 16151	   	288.10	DCR|2TLV|2VULN|2DMG|1CDMG	18TLV|2FEWX|38DMG|4MLV|5FLTARM|6BELT|78VULN|8BPWR|9CDMG|aRCR
78	12161 22131	   	288.07	DCR|3VULN|2TLV|1AEBURN|1CDMG	1aTLV|237VULN|4CDMG|5AEBURN|6RPLT|8LHND|9RCR
79	12161 22231	   	288.07	DCR|3VULN|2TLV|1AEBURN|1CDMG	1aTLV|237VULN|4CDMG|5AEBURN|6RPLT|8LWND|9RCR
80	12161 22531	   	288.07	DCR|3VULN|2TLV|1AEBURN|1CDMG	1aTLV|237VULN|4CDMG|5AEBURN|6RPLT|8FEWX|9RCR
81	12161 23631	   	288.07	DCR|3VULN|2TLV|1AEBURN|1CDMG	1aTLV|238VULN|4CDMG|5AEBURN|6RPLT|7BEXP|9RCR
82	12166 42131	   	288.07	DCR|3VULN|2TLV|1AEFBLL|1CDMG	1aTLV|237VULN|4CDMG|5RPLT|6AEFBLL|8LHND|9RCR
83	12166 42231	   	288.07	DCR|3VULN|2TLV|1AEFBLL|1CDMG	1aTLV|237VULN|4CDMG|5RPLT|6AEFBLL|8LWND|9RCR
84	12141 24321	   	288.07	ACR|3VULN|2TLV|1DMG|1CDMG	18TLV|23aVULN|4RCR|5FEWX|6CDMG|7DMG|9RPLT
85	12142 31361	   	288.07	ACR|3VULN|2TLV|1AEFBLL|1ASPD	17TLV|239VULN|4RCR|5AEFBLL|6CGEN|8ASPD|aBEXP
86	12142 31365	   	288.07	ACR|3VULN|2TLV|1AEFBLL|1ASPD	17TLV|239VULN|4RCR|5AEFBLL|6CGEN|8ASPD|aAAC
87	12142 32364	   	288.07	ACR|3VULN|1TLV|2ASPD|1AEFBLL|2RAT	1TLV|23aVULN|4RCR|5AEFBLL|6CGEN|7aRAT|8LWND|9aASPD|aBPWR
88	12142 41351	   	288.07	ACR|3VULN|2TLV|1AEFBLL|1AEBURN|1ASPD	1aTLV|239VULN|4RCR|5AEFBLL|6ASPD|7AEBURN|8RCVC
89	12142 42331	   	288.07	ACR|3VULN|2TLV|1AEFBLL|1ASPD	19TLV|238VULN|4RCR|5AEFBLL|6ASPD|7LIT|aLHND
90	12142 42334	   	288.07	ACR|3VULN|2TLV|1AEFBLL|1ASPD	19TLV|238VULN|4RCR|5AEFBLL|6ASPD|7LIT|aCGEN
91	12142 42335	   	288.07	ACR|3VULN|2TLV|1AEFBLL|1ASPD	19TLV|238VULN|4RCR|5AEFBLL|6ASPD|7LIT|aAME
92	12142 43511	   	288.07	ACR|3VULN|2TLV|1AEFBLL|1ASPD	1aTLV|238VULN|4RCR|5AEFBLL|6ASPD|7LHND|9LWND
93	12161 21631	   	287.97	DCR|3VULN|2TLV|1AEBURN|1CDMG	1aTLV|238VULN|4CDMG|5AEBURN|6RPLT|7DUST|9RCR
94	12141 25422	   	287.97	ACR|3VULN|2TLV|1AEFBLL|1CDMG	18TLV|238VULN|4RCR|5FEWX|6CDMG|78BASFIG|8BPWR|9DUST|aAEFBLL
95	12142 31362	   	287.97	ACR|3VULN|2TLV|1AEFBLL|1ASPD|1MSE	17TLV|239VULN|4RCR|5AEFBLL|6CGEN|8ASPD|aMSE
96	12142 31363	   	287.97	ACR|3VULN|2TLV|1AEFBLL|1ASPD	17TLV|239VULN|4RCR|5AEFBLL|6CGEN|8ASPD|aLEGI
97	12142 42332	   	287.97	ACR|3VULN|2TLV|1AEFBLL|1ASPD	19TLV|238VULN|4RCR|5AEFBLL|6ASPD|7LIT|aERES
98	12142 42333	   	287.97	ACR|3VULN|2TLV|1AEFBLL|1ASPD	19TLV|238VULN|4RCR|5AEFBLL|6ASPD|7LIT|aAETHUN
99	12143 24321	   	287.97	ACR|3VULN|2TLV|1DMG|1CDMG	18TLV|23aVULN|4RCR|5DUST|6CDMG|7DMG|9RPLT
100	14121 55131	   	287.97	DCR|3VULN|2TLV|1AEPOI|2BLAICY	18TLV|2DUST|378VULN|4MBVNT|5BELT|68BLAICY|8BPWR|9RCR|aAEPOI
101	12143 25422	   	287.87	ACR|3VULN|2TLV|1AEFBLL|1CDMG|1MSE	18TLV|238VULN|4RCR|5DUST|6CDMG|78BASFIG|8BPWR|9MSE|aAEFBLL
102	16153 22326	   	287.83	ACR|2TLV|2VULN|1AEFBLL|2CDMG|1AART	17TLV|2LHND|37VULN|4RCVC|5RCR|67CDMG|7BPWR|8RAT|9AEFBLL|aAART
103	16423 22326	   	287.83	ACR|2TLV|2VULN|1AEFBLL|2CDMG|1AART	17TLV|2LHND|3RCVC|47VULN|5RCR|67CDMG|7BPWR|8RAT|9AEFBLL|aAART
104	12161 31336	   	287.73	DCR|2TLV|2VULN|2AEBURN|2CDMG|1AART	18TLV|23VULN|48CDMG|58AEBURN|6AART|7RPLT|8BPWR|9ZMB|aRCR
105	12122 25126	 * 	287.61	DCR|5VULN|1TLV|1AEFBLL	1TLV|23679VULN|4AEFBLL|5RMIN|8LIT|aRCR
106	12132 25126	   	287.61	DCR|5VULN|1TLV|1AEPOI	1TLV|23679VULN|4AEPOI|5RMIN|8LIT|aRCR
107	12142 61126	   	287.48	ACR|2VULN|1TLV|1AEFBLL|1DMG|1ASPD|1CDMG	1TLV|23VULN|4RCR|5AEFBLL|6DUR|7ASPD|8RAT|9CDMG|aDMG
108	12142 53342	   	286.98	ACR|3VULN|1TLV|1AEFBLL|1DMG|2DUR	1TLV|238VULN|4RCR|5AEFBLL|6LIT|7DMG|9aDUR
109	12145 22411	   	286.69	ACR|3TLV|2VULN|1AEBURN|1CDMG	19aTLV|23VULN|4RCR|5DUR|6CDMG|7DMSP|8AEBURN
110	12145 23411	   	286.59	ACR|3TLV|2VULN|1AEBURN|1CDMG	19aTLV|23VULN|4RCR|5DUR|6CDMG|7AEWIND|8AEBURN
111	12331 53362	   	286.51	DCR|4VULN|2TLV|1AART	15TLV|2579VULN|3RPLT|4AART|5BPWR|6CGEN|8LHND|aRCR
112	12331 23615	   	286.41	DCR|4VULN|2TLV|1AART	15TLV|257aVULN|3RPLT|4AART|5BPWR|6AAC|8AEWIND|9RCR
113	12141 34353	   	286.35	ACR|DCR|2VULN|1TLV|1AART	1TLV|23VULN|4aRCR|589FEWX|6LWND|7AART
114	12142 61162	   	286.29	ACR|2VULN|1TLV|2ASPD|1AEFBLL|1DMG	1TLV|23VULN|4RCR|5AEFBLL|6DUR|7aASPD|8RAT|9DMG
