0	Index      	 *	Score 	Summary	Detail	
1	13413 41154	 * 	295.31	ACR|DCR|2VULN|1TLV|1AEFBLL	1MLV|2LHND|39VULN|4MBVNT|57RCR|6CGEN|8TLV|aAEFBLL
18	42123 42334	   	283.39	DCR|2TLV|2VULN|2ASPD|1CDMG	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|89VULN|aCDMG
19	63462 11221	 * 	283.26	DCR|3TLV|2VULN|2ASPD|1CDMG	14aTLV|2LHND|3aVULN|5CDMG|67ASPD|8RCR|9aCGEN|aBPWR
20	45423 23331	 * 	282.91	DCR|4VULN|1TLV|1AEPOI|1ASPD	1ASPD|2LWND|3458VULN|6TLV|7AEPOI|9RCR|aCGEN
21	45423 23333	   	282.91	DCR|4VULN|1TLV|1AEPOI|1ASPD	1ASPD|2LWND|3458VULN|6TLV|7AEPOI|9RCR|aLIT
22	42122 32311	   	282.87	DCR|2TLV|2VULN|2ASPD|1DMG	14ASPD|24TLV|3RMIN|4BPWR|5FRZARM|6AAC|7RCR|8aVULN|9DMG
23	42122 32326	   	282.87	DCR|2TLV|2VULN|2ASPD|1AEFBLL	14ASPD|24TLV|3RMIN|4BPWR|5FRZARM|6AAC|7RCR|8aVULN|9AEFBLL
24	42122 32335	   	282.87	DCR|2TLV|2VULN|2ASPD|1DMG	14ASPD|24TLV|3RMIN|4BPWR|5FRZARM|6AAC|7RCR|89VULN|aDMG
25	42123 32311	   	282.87	DCR|2TLV|2VULN|2ASPD|1DMG	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6TSLHEL|7RCR|8aVULN|9DMG
26	42123 32326	   	282.87	DCR|2TLV|2VULN|2ASPD|1AEFBLL	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6TSLHEL|7RCR|8aVULN|9AEFBLL
27	42123 32335	   	282.87	DCR|2TLV|2VULN|2ASPD|1DMG	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6TSLHEL|7RCR|89VULN|aDMG
28	45423 23332	   	282.81	DCR|4VULN|1TLV|1AEPOI|1ASPD	1ASPD|2LWND|3458VULN|6TLV|7AEPOI|9RCR|aDUST
29	54336 22122	 * 	282.17	ACR|1TLV|1VULN|2DMG|2ASPD|1AEBURN|2RAT|1AART	1AART|2RCR|37DMG|4LIT|57RAT|67ASPD|7BPWR|8AEBURN|9VULN|aTLV
30	62225 24132	 * 	282.05	DCR|3TLV|3VULN|1ASPD	189TLV|2AME|389CGEN|4LWND|5AAC|6ASPD|789VULN|89BPWR|aRCR
31	61514 13331	   	281.36	DCR|3VULN|2TLV|1AEBURN	16TLV|2DMSP|3AEBURN|4CANTOX|568VULN|6BPWR|7RAT|9RCR|aLWND
32	61514 13333	   	281.36	DCR|3VULN|2TLV|1AEBURN	16TLV|2DMSP|3AEBURN|4CANTOX|568VULN|6BPWR|7RAT|9RCR|aAAC
33	61524 13331	   	281.36	DCR|3VULN|2TLV|1AEBURN	16TLV|2DMSP|3AEBURN|4MSLTOX|568VULN|6BPWR|7RAT|9RCR|aLWND
34	61524 13333	   	281.36	DCR|3VULN|2TLV|1AEBURN	16TLV|2DMSP|3AEBURN|4MSLTOX|568VULN|6BPWR|7RAT|9RCR|aAAC
35	61324 13335	 * 	281.26	DCR|3VULN|2TLV|1DMG	16TLV|2DMSP|3AIRARM|4AEFRZ|568VULN|6BPWR|7RAT|9RCR|aDMG
36	61514 13311	   	281.26	DCR|3VULN|2TLV|1AEBURN	16TLV|2DMSP|3AEBURN|4CANTOX|568VULN|6BPWR|7RAT|9ERES|aRCR
37	61524 13311	   	281.26	DCR|3VULN|2TLV|1AEBURN	16TLV|2DMSP|3AEBURN|4MSLTOX|568VULN|6BPWR|7RAT|9ERES|aRCR
38	36113 34263	 * 	281.26	DCR|3VULN|2TLV|2CDMG	1MDPS|26TLV|39CDMG|4RAT|56aVULN|6BPWR|7RCR|8CGEN
39	53152 31342	 * 	280.99	DCR|2TLV|2VULN|1DMG|1AEBURN|1AART	1AART|2aLIT|39RCVC|4aTLV|5AEBURN|6DMG|7aVULN|8RCR|aBPWR
40	53352 31342	   	280.99	DCR|2TLV|2VULN|1DMG|1AEBURN|1AART	1AART|23aLIT|3aBPWR|4aTLV|5AEBURN|6DMG|7aVULN|8RCR|9RCVC
41	42123 42314	 * 	280.01	DCR|2TLV|1VULN|2ASPD|1DMG|1AEBURN	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|8VULN|9DMG|aAEBURN
42	42123 42325	 * 	280.01	DCR|2TLV|1VULN|2ASPD|1AEFBLL|1DMG	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|8VULN|9AEFBLL|aDMG
43	36113 34131	   	279.97	DCR|2TLV|2VULN|1AEPOI|1CDMG|1DUR	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8DUR|9AEPOI|aBEXP
44	36113 34132	   	279.97	DCR|2TLV|2VULN|1AEPOI|1CDMG|1DUR	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8DUR|9AEPOI|aMLV
45	36113 34134	   	279.97	DCR|2TLV|2VULN|1AEPOI|1CDMG|1DUR	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8DUR|9AEPOI|aDMSP
46	36113 34433	   	279.97	DCR|2TLV|2VULN|1AEPOI|1CDMG|1DUR	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8FEWX|9AEPOI|aDUR
47	36113 34633	   	279.97	DCR|2TLV|2VULN|1AEPOI|1CDMG|1DUR	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8LWND|9AEPOI|aDUR
48	36113 34136	   	279.87	DCR|2TLV|2VULN|1AEPOI|1CDMG|1DUR	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8DUR|9AEPOI|aDUST
49	53151 31342	 * 	278.61	DCR|2TLV|2VULN|2DMG|1AART	1AART|25aLIT|39RCVC|45TLV|5aBPWR|6aDMG|7aVULN|8RCR
50	63223 11552	 * 	278.21	DCR|3TLV|1VULN|2DMG|3AEBURN	189TLV|24LHND|348AEBURN|48BPWR|5ZMB|6VULN|78DMG|aRCR
51	42123 42316	   	277.54	DCR|2TLV|1VULN|2DMG|2ASPD	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|8VULN|9aDMG
52	42234 12232	   	277.31	DCR|2TLV|1VULN|2DMG|2ASPD|1CDMG	17ASPD|27TLV|3CGEN|4AETHUN|5CDMG|67DMG|7BPWR|8RCR|9VULN|aBELT
53	42234 12233	   	277.31	DCR|2TLV|1VULN|2DMG|2ASPD|1CDMG	17ASPD|27TLV|3aCGEN|4AETHUN|5CDMG|67DMG|7BPWR|8RCR|9VULN
54	42234 12234	   	277.31	DCR|2TLV|1VULN|2DMG|2ASPD|1CDMG	17ASPD|27TLV|3CGEN|4AETHUN|5CDMG|67DMG|7BPWR|8RCR|9VULN|aAME
55	42234 12236	   	277.31	DCR|2TLV|1VULN|2DMG|2ASPD|1CDMG	17ASPD|27TLV|3CGEN|4AETHUN|5CDMG|67DMG|7BPWR|8RCR|9VULN|aLHND
56	42234 12235	   	277.21	DCR|2TLV|1VULN|2DMG|2ASPD|1CDMG	17ASPD|27TLV|3CGEN|4AETHUN|5CDMG|67DMG|7BPWR|8RCR|9VULN|aLEGI
57	32163 52621	 * 	276.94	DCR|DCR|2VULN|1DMG|2AEBURN|2CDMG	1MDPS|2aVULN|3aCDMG|4BASICY|5BELT|6DMG|79RCR|8aAEBURN|aBPWR
58	36113 34352	   	276.92	DCR|2TLV|2VULN|1DMG|1CDMG|2RAT	1MDPS|26TLV|3CDMG|4aRAT|56VULN|6BPWR|7RCR|8RPLT|9DMG
59	61226 13631	 * 	276.92	DCR|3TLV|2VULN|2AEPOI|1ASPD	148TLV|2DMSP|34DUST|48BPWR|5MBVNT|68VULN|78AEPOI|9ASPD|aRCR
60	61514 13211	   	276.73	DCR|2TLV|2VULN|1DMG|1AEBURN	16TLV|2DMSP|3AEBURN|4CANTOX|56VULN|6BPWR|7RAT|8DMG|9BELT|aRCR
61	61524 13211	   	276.73	DCR|2TLV|2VULN|1DMG|1AEBURN	16TLV|2DMSP|3AEBURN|4MSLTOX|56VULN|6BPWR|7RAT|8DMG|9BELT|aRCR
62	42121 15413	   	276.53	DCR|2TLV|2VULN|2ASPD|1AART|1DUR	14ASPD|24TLV|3RMIN|4BPWR|5LWND|69VULN|7AART|8DUR|aRCR
63	42122 32334	   	276.45	DCR|2TLV|2VULN|2ASPD|1CDMG	14ASPD|24TLV|3RMIN|4BPWR|5FRZARM|6AAC|7RCR|89VULN|aCDMG
64	42123 32334	   	276.45	DCR|2TLV|2VULN|2ASPD|1CDMG	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6TSLHEL|7RCR|89VULN|aCDMG
65	36113 33222	   	276.35	DCR|2TLV|2VULN|2ASPD|1CDMG	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7aASPD|8LHND|9RCR
66	36113 33622	   	276.35	DCR|2TLV|2VULN|2ASPD|1CDMG	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7aASPD|8BEXP|9RCR
67	42333 36362	 * 	275.83	DCR|2TLV|2VULN|2ASPD|2AEFBLL	17ASPD|27TLV|3LHND|4MLV|57VULN|6MDPS|7BPWR|89AEFBLL|aRCR
68	63426 11221	 * 	275.78	DCR|2TLV|2VULN|2ASPD|1AEBURN|1SELL	1aTLV|2LHND|3aVULN|4SELL|5AEBURN|67ASPD|8RCR|9aCGEN|aBPWR
69	13413 41143	   	275.25	ACR|DCR|2VULN|1TLV	1MLV|2LHND|3aVULN|4MBVNT|57RCR|6CGEN|8TLV|9LIT
70	13413 41151	   	275.25	ACR|DCR|2VULN|1TLV	1MLV|2LHND|39VULN|4MBVNT|57RCR|6CGEN|8TLV|aFEWX
71	13413 41153	   	275.25	ACR|DCR|2VULN|1TLV	1MLV|2LHND|39VULN|4MBVNT|57RCR|6CGEN|8TLV|aFLTFST
72	13413 41684	   	275.15	ACR|DCR|2VULN|1TLV	1MLV|2LHND|39VULN|4MBVNT|57RCR|6CGEN|8AETHUN|aTLV
73	13413 41152	   	275.15	ACR|DCR|2VULN|1TLV	1MLV|2LHND|39VULN|4MBVNT|57RCR|6CGEN|8TLV|aERES
74	13413 41156	   	275.15	ACR|DCR|2VULN|1TLV	1MLV|2LHND|39VULN|4MBVNT|57RCR|6CGEN|8TLV|aAEFRZ
75	13413 41157	   	275.15	ACR|DCR|2VULN|1TLV	1MLV|2LHND|39VULN|4MBVNT|57RCR|6CGEN|8TLV|aVENFST
76	36113 34233	   	274.94	DCR|3VULN|2TLV|1CDMG	1MDPS|26TLV|3CDMG|4RAT|56aVULN|6BPWR|7RCR|89CGEN
77	36113 34331	   	274.94	DCR|3VULN|2TLV|1CDMG	1MDPS|26TLV|3CDMG|4RAT|56aVULN|6BPWR|7RCR|8RPLT|9DMSP
78	36113 34361	   	274.94	DCR|3VULN|2TLV|1CDMG	1MDPS|26TLV|3CDMG|4RAT|56aVULN|6BPWR|7RCR|8RPLT|9RCVC
79	36113 31133	   	274.84	DCR|3VULN|2TLV|1CDMG	1MDPS|26TLV|3CDMG|4RAT|567VULN|6BPWR|8CGEN|9MBVNT|aRCR
80	36113 31355	   	274.84	DCR|3VULN|2TLV|1CDMG	1MDPS|26TLV|3CDMG|4RAT|567VULN|6BPWR|8LWND|9DUST|aRCR
81	36113 31532	   	274.84	DCR|3VULN|2TLV|1CDMG	1MDPS|26TLV|3CDMG|4RAT|567VULN|6BPWR|8SNITOX|9AME|aRCR
82	36113 31552	   	274.84	DCR|3VULN|2TLV|1CDMG	1MDPS|26TLV|3CDMG|4RAT|567VULN|6BPWR|8SNITOX|9AAC|aRCR
83	61324 13336	   	274.84	DCR|3TLV|3VULN	16aTLV|2DMSP|3AIRARM|4AEFRZ|568VULN|6BPWR|7RAT|9RCR
84	36113 31233	   	274.74	DCR|3VULN|2TLV|1CDMG	1MDPS|26TLV|3CDMG|4RAT|567VULN|6BPWR|8ERES|9MBVNT|aRCR
85	45423 23231	 * 	274.32	DCR|3VULN|1TLV|2ASPD|1AEPOI	18ASPD|2LWND|345VULN|6TLV|7AEPOI|9RCR|aCGEN
86	45423 23233	   	274.32	DCR|3VULN|1TLV|2ASPD|1AEPOI	18ASPD|2LWND|345VULN|6TLV|7AEPOI|9RCR|aLIT
87	45423 23232	   	274.22	DCR|3VULN|1TLV|2ASPD|1AEPOI	18ASPD|2LWND|345VULN|6TLV|7AEPOI|9RCR|aDUST
88	41363 42311	   	273.83	DCR|2VULN|1TLV|1DMG|1AEBURN|1ASPD|1DUR	1ASPD|2DMSP|3TLV|4DUR|5AEBURN|6FLTARM|7RCR|8aVULN|9DMG
89	42123 42312	   	273.60	DCR|2TLV|1VULN|2ASPD|1DMG|1CDMG	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|8VULN|9DMG|aCDMG
90	42123 42324	   	273.60	DCR|2TLV|1VULN|2ASPD|1AEFBLL|1CDMG	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|8VULN|9AEFBLL|aCDMG
91	36113 33123	   	273.56	DCR|2TLV|2VULN|1ASPD|1CDMG|1DUR	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7ASPD|8DUR|9RCR|aBEXP
92	36113 33125	   	273.56	DCR|2TLV|2VULN|1ASPD|1CDMG|1DUR	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7ASPD|8DUR|9RCR|aLHND
93	36113 33226	   	273.56	DCR|2TLV|2VULN|1ASPD|1CDMG|1DUR	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7ASPD|8LHND|9RCR|aDUR
94	36113 34113	   	273.56	DCR|2TLV|2VULN|1ASPD|1CDMG|1DUR	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8DUR|9RPLT|aASPD
95	36113 34222	   	273.56	DCR|2TLV|2VULN|1ASPD|1CDMG|1DUR	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8CGEN|9DUR|aASPD
96	36113 34522	   	273.56	DCR|2TLV|2VULN|1ASPD|1CDMG|1DUR	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8MLV|9DUR|aASPD
97	36113 33121	   	273.46	DCR|2TLV|2VULN|1ASPD|1CDMG|1DUR	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7ASPD|8DUR|9RCR|aAETHUN
98	36113 33124	   	273.46	DCR|2TLV|2VULN|1ASPD|1CDMG|1DUR|1SELL	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7ASPD|8DUR|9RCR|aSELL
99	42122 32314	   	273.07	DCR|2TLV|1VULN|2ASPD|1DMG|1AEBURN	14ASPD|24TLV|3RMIN|4BPWR|5FRZARM|6AAC|7RCR|8VULN|9DMG|aAEBURN
100	42122 32325	   	273.07	DCR|2TLV|1VULN|2ASPD|1AEFBLL|1DMG	14ASPD|24TLV|3RMIN|4BPWR|5FRZARM|6AAC|7RCR|8VULN|9AEFBLL|aDMG
101	42123 32314	   	273.07	DCR|2TLV|1VULN|2ASPD|1DMG|1AEBURN	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6TSLHEL|7RCR|8VULN|9DMG|aAEBURN
102	42123 32325	   	273.07	DCR|2TLV|1VULN|2ASPD|1AEFBLL|1DMG	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6TSLHEL|7RCR|8VULN|9AEFBLL|aDMG
103	42341 23314	   	272.87	DCR|3VULN|1TLV|1DMG|1ASPD|1AART	1ASPD|2TLV|3LHND|479VULN|5DMG|6AART|8FEWX|aRCR
104	42341 21214	   	272.77	DCR|3VULN|1TLV|1DMG|1ASPD|1AART	1ASPD|2TLV|3LHND|489VULN|5DMG|6AART|7DUST|aRCR
105	63623 11531	   	272.00	DCR|3TLV|1VULN|2DMG|1ASPD	148TLV|2348LHND|48BPWR|5ZMB|6VULN|78DMG|9ASPD|aRCR
106	13413 41145	   	271.59	ACR|DCR|2TLV|1VULN	1MLV|2LHND|3VULN|4MBVNT|57RCR|6CGEN|8aTLV|9LIT
107	13413 41164	   	271.59	ACR|DCR|2TLV|1VULN	1MLV|2LHND|3VULN|4MBVNT|57RCR|6CGEN|8aTLV|9AME
108	41363 32336	   	271.52	DCR|3VULN|1TLV|1AEBURN|1ASPD|1DUR	1ASPD|2DMSP|3TLV|4DUR|5AEBURN|6TSLHEL|7RCR|89aVULN
109	13413 41124	   	271.49	ACR|DCR|2TLV|1VULN	1MLV|2LHND|3VULN|4MBVNT|57RCR|6CGEN|8aTLV|9ERES
110	36336 62332	   	271.05	DCR|3VULN|2TLV|1DUR	1MDPS|27TLV|3LWND|47LIT|579VULN|6RCR|7BPWR|8DUR|aRAT
111	42125 34113	   	270.62	DCR|2TLV|1VULN|2ASPD|1AEPOI|2RAT|1AART	14ASPD|24TLV|3RMIN|4BPWR|5aRAT|6AEPOI|7AART|8RCR|9VULN
112	42122 32316	   	270.60	DCR|2TLV|1VULN|2DMG|2ASPD	14ASPD|24TLV|3RMIN|4BPWR|5FRZARM|6AAC|7RCR|8VULN|9aDMG
113	42123 32316	   	270.60	DCR|2TLV|1VULN|2DMG|2ASPD	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6TSLHEL|7RCR|8VULN|9aDMG
114	32263 52621	   	270.53	DCR|DCR|2VULN|1DMG|2AEBURN|1CDMG	1MDPS|2aVULN|3aAIRHEL|4CDMG|5BELT|6DMG|79RCR|8aAEBURN|aBPWR
115	36113 34236	   	270.31	DCR|2TLV|2VULN|1AEBURN|1CDMG	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|89CGEN|aAEBURN
116	36113 34351	   	270.31	DCR|2TLV|2VULN|1DMG|1CDMG	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8RPLT|9DMG|aBEXP
117	36113 34353	   	270.31	DCR|2TLV|2VULN|1DMG|1CDMG	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8aRPLT|9DMG
118	36113 34431	   	270.31	DCR|2TLV|2VULN|1AEPOI|1CDMG	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8FEWX|9AEPOI|aBEXP
119	36113 34432	   	270.31	DCR|2TLV|2VULN|1AEPOI|1CDMG	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8FEWX|9AEPOI|aMLV
120	36113 34631	   	270.31	DCR|2TLV|2VULN|1AEPOI|1CDMG	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8LWND|9AEPOI|aBEXP
121	36113 34632	   	270.31	DCR|2TLV|2VULN|1AEPOI|1CDMG	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8LWND|9AEPOI|aMLV
122	36113 32633	   	270.11	DCR|2TLV|2VULN|2CDMG|1ASPD	1MDPS|26TLV|37CDMG|4RAT|56VULN|6BPWR|8ASPD|9MBVNT|aRCR
123	42122 32341	   	269.74	DCR|2TLV|2VULN|2ASPD	14ASPD|24TLV|3RMIN|4BPWR|5FRZARM|6AAC|7RCR|8aVULN|9ZMB
124	42123 42331	   	269.74	DCR|2TLV|2VULN|2ASPD	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|89VULN|aBEXP
125	42123 42353	   	269.74	DCR|2TLV|2VULN|2ASPD	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|8aVULN|9BEXP
126	42123 42223	   	269.64	DCR|2TLV|2VULN|2ASPD	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|8DUST|9aVULN
127	42123 42332	   	269.64	DCR|2TLV|2VULN|2ASPD	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|89VULN|aMDPS
128	42123 42333	   	269.64	DCR|2TLV|2VULN|2ASPD|1MSE	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|89VULN|aMSE
129	63432 11221	   	269.61	DCR|2TLV|2VULN|2ASPD|1CDMG	1aTLV|2LHND|3aVULN|4DMSP|5CDMG|67ASPD|8RCR|9aCGEN|aBPWR
130	63432 11261	   	269.61	DCR|2TLV|2VULN|2ASPD|1CDMG	1aTLV|2LHND|3aVULN|4DMSP|5CDMG|67ASPD|8RCR|9aAME|aBPWR
131	65432 11221	   	269.61	DCR|2TLV|2VULN|2ASPD|1CDMG	1aTLV|2LWND|3aVULN|4DMSP|5CDMG|67ASPD|8RCR|9aCGEN|aBPWR
132	42123 42313	   	269.61	DCR|2TLV|1VULN|2ASPD|1DMG|1DUR	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|8VULN|9DMG|aDUR
133	36113 34111	   	269.57	DCR|2TLV|2VULN|1CDMG|1DUR|1NUKE	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8DUR|9RPLT|aNUKE
134	64116 24331	   	269.31	DCR|3TLV|2VULN|2ASPD	169TLV|24ERES|3RMIN|5MBVNT|79ASPD|89VULN|9BPWR|aRCR
135	54351 22223	 * 	269.18	ACR|1TLV|1VULN|2AART|1DMG|1AEBURN|1ASPD|1CDMG	16AART|2RCR|3DMG|4RAT|5ASPD|7VULN|8AEBURN|9CDMG|aTLV
136	32131 64215	 * 	269.10	DCR|3VULN|1TLV|3DUR|1CDMG	1MDPS|267VULN|3CDMG|47BEXP|567DUR|67BPWR|8DUST|9RCR|aTLV
137	54333 21142	 * 	268.88	ACR|3VULN|1TLV|1DMG|1AART|1DUR	1AART|2RCR|3DMG|4LIT|5DUR|6TLV|79aVULN|8BEXP
138	12145 14133	   	268.40	DCR|3TLV|3VULN	189MLV|289TLV|3RMIN|4FEWX|5AAC|6CGEN|789VULN|89BPWR|aRCR
139	12165 14133	   	268.30	DCR|3TLV|3VULN	189MLV|289TLV|3RMIN|4DUST|5AAC|6CGEN|789VULN|89BPWR|aRCR
140	36336 62211	   	268.30	DCR|3TLV|3VULN	1MDPS|27aTLV|3LWND|47aLIT|57aVULN|6RCR|7aBPWR|8RMIN|9DMSP
141	61324 13332	   	268.13	DCR|3VULN|2TLV	16TLV|2DMSP|3AIRARM|4AEFRZ|568VULN|6BPWR|7RAT|9RCR|aZMB
142	61624 13332	   	268.13	DCR|3VULN|2TLV	16TLV|2DMSP|3MSLTOX|4AEFRZ|568VULN|6BPWR|7RAT|9RCR|aZMB
143	36223 42521	 * 	267.36	DCR|DCR|2TLV|1DMG|1CDMG	1MDPS|2aTLV|3aMULHEA|4BELT|5CDMG|69RCR|7DMG|8aERES|aBPWR
144	42121 12536	 * 	267.25	3TLV|3VULN|3ASPD|2DMG	148ASPD|24aTLV|3RMIN|48aBPWR|58LWND|68aVULN|7RCVC|9aDMG
145	41363 32335	   	266.90	DCR|2VULN|1TLV|1DMG|1AEBURN|1ASPD|1DUR	1ASPD|2DMSP|3TLV|4DUR|5AEBURN|6TSLHEL|7RCR|89VULN|aDMG
146	41363 32311	   	266.90	DCR|2VULN|1TLV|1DMG|1AEBURN|1ASPD|1DUR	1ASPD|2DMSP|3TLV|4DUR|5AEBURN|6TSLHEL|7RCR|8aVULN|9DMG
147	42121 15113	   	266.87	DCR|2TLV|2VULN|2ASPD|1AART	14ASPD|24TLV|3RMIN|4BPWR|5LWND|69VULN|7AART|8LHND|aRCR
148	42233 22413	   	266.87	DCR|2TLV|2VULN|2ASPD|1AART	18ASPD|28TLV|3CGEN|4AETHUN|59VULN|6AART|78FEWX|8BPWR|aRCR
149	42563 32311	   	266.80	DCR|2VULN|1TLV|1DMG|1AEBURN|1ASPD|1DUR	1ASPD|2TLV|3DUR|4AEWIND|5AEBURN|6TSLHEL|7RCR|8aVULN|9DMG
150	42233 21413	   	266.67	DCR|2TLV|2VULN|2ASPD|1AART	18ASPD|28TLV|3CGEN|4AETHUN|59VULN|6AART|78DUST|8BPWR|aRCR
151	42122 32312	   	266.66	DCR|2TLV|1VULN|2ASPD|1DMG|1CDMG	14ASPD|24TLV|3RMIN|4BPWR|5FRZARM|6AAC|7RCR|8VULN|9DMG|aCDMG
152	42122 32324	   	266.66	DCR|2TLV|1VULN|2ASPD|1AEFBLL|1CDMG	14ASPD|24TLV|3RMIN|4BPWR|5FRZARM|6AAC|7RCR|8VULN|9AEFBLL|aCDMG
