0	Index      	 *	Score 	Summary	Detail	
1	23231 53366	 * 	295.21	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2AAC|3AEWIND|47VULN|5ERES|69RCR|8RMIN|aTLV
22	14123 51321	   	279.60	DCR|DCR|1TLV|1VULN|1ASPD|1AART|1DUR	1DUST|2TLV|3ERES|4BEXP|5AART|6DUR|79RCR|8VULN|aASPD
23	14163 51321	   	279.60	DCR|DCR|1TLV|1VULN|1ASPD|1AART|1DUR	1DUST|2TLV|3ERES|4FEWX|5AART|6DUR|79RCR|8VULN|aASPD
24	23632 12366	 * 	278.41	DCR|2VULN|1TLV|2DMG|2ASPD|1AART	1aDMG|2AAC|3aVULN|4BELT|5AART|6TLV|7FEWX|8aASPD|9RCR|aBPWR
25	14221 13462	   	277.66	DCR|3VULN|2TLV|1CDMG|1DUR	19DUST|29TLV|3RCVC|4CDMG|5LIT|6RCR|789VULN|9BPWR|aDUR
26	23145 35122	   	276.97	DCR|2TLV|2VULN|2DMG|1DUR	1aDMG|2AAC|3DUR|4aERES|58TLV|6RCR|7MLV|9aVULN|aBPWR
27	14321 13264	 * 	276.92	DCR|3TLV|2VULN|1AEFBLL|1CDMG	139DUST|289TLV|4CDMG|5LIT|6RCR|79VULN|9BPWR|aAEFBLL
28	42411 51322	 * 	276.36	DCR|DCR|1TLV|1VULN|2AART|1DUR	1FEWX|2aAART|3TLV|4LHND|5CGEN|6DUR|79RCR|8VULN
29	42431 41322	   	276.36	DCR|DCR|1TLV|1VULN|2AART|1DUR	1FEWX|2aAART|3TLV|4DUR|5CGEN|6LWND|79RCR|8VULN
30	12411 51322	   	276.26	DCR|DCR|1TLV|1VULN|2AART|1DUR	1DUST|2aAART|3TLV|4LHND|5CGEN|6DUR|79RCR|8VULN
31	12431 41322	   	276.26	DCR|DCR|1TLV|1VULN|2AART|1DUR	1DUST|2aAART|3TLV|4DUR|5CGEN|6LWND|79RCR|8VULN
32	62235 21322	   	276.26	DCR|DCR|1TLV|1VULN|2AART|1DUR	1LWND|2aAART|3DUR|4DUST|5TLV|6CGEN|79RCR|8VULN
33	12416 51322	   	276.16	DCR|DCR|1TLV|1VULN|2AART|1DUR	1DUST|2aAART|3TLV|4LHND|5ERES|6DUR|79RCR|8VULN
34	12436 41322	   	276.16	DCR|DCR|1TLV|1VULN|2AART|1DUR	1DUST|2aAART|3TLV|4DUR|5ERES|6LWND|79RCR|8VULN
35	44432 33121	   	275.25	DCR|DCR|2VULN|1TLV	1FEWX|2TLV|3aVULN|4MDPS|5BELT|68RCR|7LWND|9BEXP
36	62411 51322	   	275.20	DCR|DCR|1TLV|1VULN|2DUR|1AART	1LWND|2AART|3TLV|4LHND|5CGEN|69RCR|7aDUR|8VULN
37	44432 33111	   	275.15	DCR|DCR|2VULN|1TLV	1FEWX|2TLV|3aVULN|4MDPS|5BELT|68RCR|7LWND|9DUST
38	14321 13461	   	274.84	DCR|3VULN|2TLV|1CDMG	139DUST|29TLV|4CDMG|5LIT|6RCR|789VULN|9BPWR|aRAT
39	23614 31241	   	274.42	DCR|3VULN|2TLV|1DMG	1DMG|2AAC|356VULN|4RMIN|78TLV|9RCR|aTSLFST
40	23614 31243	   	274.42	DCR|3VULN|2TLV|1DMG	1DMG|2AAC|356VULN|4RMIN|78TLV|9RCR|aLWND
41	23614 31252	   	274.42	DCR|3VULN|2TLV|1DMG	1DMG|2AAC|356VULN|4RMIN|78TLV|9MLV|aRCR
42	23614 31612	   	274.42	DCR|3VULN|2TLV|1DMG	1DMG|28AAC|356VULN|4RMIN|79TLV|aRCR
43	23644 31232	   	274.32	DCR|3VULN|2TLV|1DMG	1DMG|2AAC|356VULN|4ERES|78TLV|9CGEN|aRCR
44	23614 31222	   	274.32	DCR|3VULN|2TLV|1DMG	1DMG|2AAC|356VULN|4RMIN|78TLV|9ERES|aRCR
45	23614 31242	   	274.32	DCR|3VULN|2TLV|1DMG	1DMG|2AAC|356VULN|4RMIN|78TLV|9RCR|aERES
46	23644 31222	   	274.22	DCR|3VULN|2TLV|1DMG	1DMG|2AAC|356VULN|49ERES|78TLV|aRCR
47	22254 33612	 * 	273.83	DCR|2VULN|1TLV|1DMG|1AEPOI|1CDMG|1DUR	1DMG|2BEXP|3DUR|4AEPOI|56VULN|7TLV|8RAT|9CDMG|aRCR
48	22462 36212	   	273.83	DCR|2VULN|1TLV|1AEFBLL|1DMG|1CDMG|1DUR	1DMG|2BEXP|35VULN|4RAT|6DUR|7TLV|8CDMG|9AEFBLL|aRCR
49	23233 36632	   	272.94	DCR|2TLV|2VULN|1DMG|1CDMG|1DUR	1DMG|2AAC|3AEWIND|49VULN|5DUR|6RCR|7CDMG|8aTLV
50	44432 33123	 * 	271.59	DCR|DCR|2TLV|1VULN	1FEWX|2aTLV|3VULN|4MDPS|5BELT|68RCR|7LWND|9BEXP
51	44432 33113	   	271.49	DCR|DCR|2TLV|1VULN	1FEWX|2aTLV|3VULN|4MDPS|5BELT|68RCR|7LWND|9DUST
52	22462 36112	   	271.36	DCR|2VULN|1TLV|2DMG|1CDMG|1DUR	18DMG|2BEXP|35VULN|4RAT|6DUR|7TLV|9CDMG|aRCR
53	24635 21312	 * 	271.07	DCR|2TLV|1VULN|2DMG|1AEFBLL|1CDMG	15DMG|2ERES|3AEFBLL|4VULN|6CDMG|7RCR|8FEWX|9aTLV
54	34123 51323	   	270.82	DCR|DCR|1TLV|1VULN|1DMG|1AART|1DUR|1MSE	1MSE|2TLV|3ERES|4BEXP|5AART|6DUR|79RCR|8VULN|aDMG
55	34163 51323	   	270.82	DCR|DCR|1TLV|1VULN|1DMG|1AART|1DUR|1MSE	1MSE|2TLV|3ERES|4FEWX|5AART|6DUR|79RCR|8VULN|aDMG
56	44123 51323	   	270.82	DCR|DCR|1TLV|1VULN|1DMG|1AART|1DUR|1MSE	1FEWX|2TLV|3ERES|4MSE|5AART|6DUR|79RCR|8VULN|aDMG
57	24635 32212	 * 	270.73	DCR|2VULN|1TLV|2DMG|1AEFBLL|1DUR	15DMG|2ERES|3AEFBLL|46VULN|7DUR|8TLV|9CGEN|aRCR
58	13211 43156	 * 	270.19	DCR|2TLV|2VULN|1AEPOI|1AART|1DUR	15DUST|2CANSTR|3aVULN|45TLV|5BPWR|6DUR|7AEPOI|8AART|9RCR
59	42411 41321	   	270.14	DCR|DCR|1TLV|1VULN|1ASPD|1AART	1FEWX|2AART|3TLV|4LHND|5CGEN|6LWND|79RCR|8VULN|aASPD
60	12411 41321	   	270.04	DCR|DCR|1TLV|1VULN|1ASPD|1AART	1DUST|2AART|3TLV|4LHND|5CGEN|6LWND|79RCR|8VULN|aASPD
61	42335 21321	   	270.04	DCR|DCR|1TLV|1VULN|1ASPD|1AART	1FEWX|2AART|3LWND|4DUST|5TLV|6CGEN|79RCR|8VULN|aASPD
62	62325 21321	   	270.04	DCR|DCR|1TLV|1VULN|1ASPD|1AART	13LWND|2AART|4MDPS|5TLV|6CGEN|79RCR|8VULN|aASPD
63	12416 41321	   	269.94	DCR|DCR|1TLV|1VULN|1ASPD|1AART	1DUST|2AART|3TLV|4LHND|5ERES|6LWND|79RCR|8VULN|aASPD
64	14123 41321	   	269.94	DCR|DCR|1TLV|1VULN|1ASPD|1AART	1DUST|2TLV|3ERES|4BEXP|5AART|6LWND|79RCR|8VULN|aASPD
65	14163 41321	   	269.94	DCR|DCR|1TLV|1VULN|1ASPD|1AART	1DUST|2TLV|3ERES|4FEWX|5AART|6LWND|79RCR|8VULN|aASPD
66	23614 11312	   	269.79	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DMG|26AAC|35VULN|4RMIN|79TLV|8AEFBLL|aRCR
67	23234 31312	   	269.69	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DMG|2AAC|3AEWIND|46VULN|5RMIN|79TLV|8AEFBLL|aRCR
68	23644 11312	   	269.69	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DMG|26AAC|35VULN|4ERES|79TLV|8AEFBLL|aRCR
69	23231 31312	   	269.59	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DMG|2AAC|3AEWIND|46VULN|5ERES|79TLV|8AEFBLL|aRCR
70	23645 31312	   	269.59	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DMG|2AAC|36VULN|45ERES|79TLV|8AEFBLL|aRCR
71	22432 22266	   	268.41	DCR|2VULN|1TLV|2DMG|2FRZICY|1ASPD	17DMG|2BEXP|37VULN|4MDPS|5RCVC|67FRZICY|7BPWR|8TLV|9RCR|aASPD
72	23614 31341	   	268.28	DCR|3VULN|1TLV|1AEFBLL|1DMG	1DMG|2AAC|356VULN|4RMIN|7TLV|8AEFBLL|9RCR|aTSLFST
73	23614 31343	   	268.28	DCR|3VULN|1TLV|1AEFBLL|1DMG	1DMG|2AAC|356VULN|4RMIN|7TLV|8AEFBLL|9RCR|aLWND
74	23614 31352	   	268.28	DCR|3VULN|1TLV|1AEFBLL|1DMG	1DMG|2AAC|356VULN|4RMIN|7TLV|8AEFBLL|9MLV|aRCR
75	23644 31332	   	268.18	DCR|3VULN|1TLV|1AEFBLL|1DMG	1DMG|2AAC|356VULN|4ERES|7TLV|8AEFBLL|9CGEN|aRCR
76	23614 31322	   	268.18	DCR|3VULN|1TLV|1AEFBLL|1DMG	1DMG|2AAC|356VULN|4RMIN|7TLV|8AEFBLL|9ERES|aRCR
77	23614 31342	   	268.18	DCR|3VULN|1TLV|1AEFBLL|1DMG	1DMG|2AAC|356VULN|4RMIN|7TLV|8AEFBLL|9RCR|aERES
78	23644 31322	   	268.08	DCR|3VULN|1TLV|1AEFBLL|1DMG	1DMG|2AAC|356VULN|49ERES|7TLV|8AEFBLL|aRCR
79	14221 13461	   	268.00	DCR|3VULN|2TLV|1CDMG	19DUST|29TLV|3RCVC|4CDMG|5LIT|6RCR|789VULN|9BPWR|aCGEN
80	14221 13463	   	268.00	DCR|3VULN|2TLV|1CDMG	19DUST|29TLV|3RCVC|4CDMG|5LIT|6RCR|789VULN|9BPWR|aLWND
81	14321 13462	   	267.90	DCR|3VULN|2TLV|1CDMG	139DUST|29TLV|4CDMG|5LIT|6RCR|789VULN|9BPWR|aFEWX
82	14321 13463	   	267.90	DCR|3VULN|2TLV|1CDMG	139DUST|29TLV|4CDMG|5LIT|6RCR|789VULN|9BPWR|aLHND
83	22426 33226	   	267.21	DCR|2TLV|2VULN|2DMG	15DMG|2BEXP|36VULN|45DUST|5BPWR|78TLV|9AME|aRCR
84	44221 13263	   	266.82	DCR|3TLV|2VULN|1CDMG|1DUR	19FEWX|289TLV|3RCVC|4CDMG|5LIT|6RCR|79VULN|9BPWR|aDUR
85	62124 52323	   	266.72	DCR|DCR|2VULN|1DMG|2DUR|1AART	14LWND|2AART|34VULN|4BPWR|58DUR|69RCR|7MDPS|aDMG
86	14221 13263	   	266.62	DCR|3TLV|2VULN|1CDMG|1DUR	19DUST|289TLV|3RCVC|4CDMG|5LIT|6RCR|79VULN|9BPWR|aDUR
87	42335 21322	   	266.60	DCR|DCR|1TLV|1VULN|2AART	1FEWX|2aAART|3LWND|4DUST|5TLV|6CGEN|79RCR|8VULN
88	62325 21322	   	266.60	DCR|DCR|1TLV|1VULN|2AART	13LWND|2aAART|4MDPS|5TLV|6CGEN|79RCR|8VULN
89	14321 13263	   	266.52	DCR|3TLV|2VULN|1CDMG|1DUR	139DUST|289TLV|4CDMG|5LIT|6RCR|79VULN|9BPWR|aDUR
90	14123 41322	   	266.50	DCR|DCR|1TLV|1VULN|2AART	1DUST|2TLV|3ERES|4BEXP|5aAART|6LWND|79RCR|8VULN
91	14163 41322	   	266.50	DCR|DCR|1TLV|1VULN|2AART	1DUST|2TLV|3ERES|4FEWX|5aAART|6LWND|79RCR|8VULN
92	42411 41322	   	266.15	DCR|DCR|1TLV|1VULN|1AART|1DUR	1FEWX|2AART|3TLV|4LHND|5CGEN|6LWND|79RCR|8VULN|aDUR
93	12411 41322	   	266.05	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUST|2AART|3TLV|4LHND|5CGEN|6LWND|79RCR|8VULN|aDUR
94	12411 51325	   	266.05	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUST|2AART|3TLV|4LHND|5CGEN|6DUR|79RCR|8VULN|aBEXP
95	12411 51326	   	266.05	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUST|2AART|3TLV|4LHND|5CGEN|6DUR|79RCR|8VULN|aLIT
96	12431 41325	   	266.05	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUST|2AART|3TLV|4DUR|5CGEN|6LWND|79RCR|8VULN|aBEXP
97	12431 41326	   	266.05	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUST|2AART|3TLV|4DUR|5CGEN|6LWND|79RCR|8VULN|aLIT
98	42235 21322	   	266.05	DCR|DCR|1TLV|1VULN|1AART|1DUR	1FEWX|2AART|3DUR|4DUST|5TLV|6CGEN|79RCR|8VULN|aDMSP
99	42235 21325	   	266.05	DCR|DCR|1TLV|1VULN|1AART|1DUR	1FEWX|2AART|3DUR|4DUST|5TLV|6CGEN|79RCR|8VULN|aBEXP
100	42235 21326	   	266.05	DCR|DCR|1TLV|1VULN|1AART|1DUR	1FEWX|2AART|3DUR|4DUST|5TLV|6CGEN|79RCR|8VULN|aLIT
101	42411 51323	   	266.05	DCR|DCR|1TLV|1VULN|1AART|1DUR	1FEWX|2AART|3TLV|4LHND|5CGEN|6DUR|79RCR|8VULN|aMSLREG
102	42431 41323	   	266.05	DCR|DCR|1TLV|1VULN|1AART|1DUR	1FEWX|2AART|3TLV|4DUR|5CGEN|6LWND|79RCR|8VULN|aMSLREG
103	62235 21325	   	266.05	DCR|DCR|1TLV|1VULN|1AART|1DUR	1LWND|2AART|3DUR|4DUST|5TLV|6CGEN|79RCR|8VULN|aBEXP
104	62235 21326	   	266.05	DCR|DCR|1TLV|1VULN|1AART|1DUR	1LWND|2AART|3DUR|4DUST|5TLV|6CGEN|79RCR|8VULN|aLIT
105	62411 51323	   	266.05	DCR|DCR|1TLV|1VULN|1AART|1DUR	1LWND|2AART|3TLV|4LHND|5CGEN|69RCR|7DUR|8VULN|aMBVNT
106	33211 54112	   	265.96	DCR|3VULN|2TLV|1DMG|2MSE	15MSE|2CANSTR|368VULN|45TLV|5BPWR|7RAT|9DMG|aRCR
107	12416 41322	   	265.95	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUST|2AART|3TLV|4LHND|5ERES|6LWND|79RCR|8VULN|aDUR
108	12411 51323	   	265.95	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUST|2AART|3TLV|4LHND|5CGEN|6DUR|79RCR|8VULN|aMSLREG
109	12411 51324	   	265.95	DCR|DCR|1TLV|1VULN|1AART|1DUR|1MSE	1DUST|2AART|3TLV|4LHND|5CGEN|6DUR|79RCR|8VULN|aMSE
110	12431 41323	   	265.95	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUST|2AART|3TLV|4DUR|5CGEN|6LWND|79RCR|8VULN|aMSLREG
111	12431 41324	   	265.95	DCR|DCR|1TLV|1VULN|1AART|1DUR|1MSE	1DUST|2AART|3TLV|4DUR|5CGEN|6LWND|79RCR|8VULN|aMSE
112	14123 51322	   	265.95	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUST|2TLV|3ERES|4BEXP|5AART|6DUR|79RCR|8VULN|aDMSP
113	14123 51325	   	265.95	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUST|2TLV|3ERES|4BEXP|5AART|6DUR|79RCR|8VULN|aFEWX
114	14123 51326	   	265.95	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUST|2TLV|3ERES|4BEXP|5AART|6DUR|79RCR|8VULN|aLIT
115	14163 51322	   	265.95	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUST|2TLV|3ERES|4FEWX|5AART|6DUR|79RCR|8VULN|aDMSP
116	42235 21324	   	265.95	DCR|DCR|1TLV|1VULN|1AART|1DUR|1MSE	1FEWX|2AART|3DUR|4DUST|5TLV|6CGEN|79RCR|8VULN|aMSE
117	62235 21323	   	265.95	DCR|DCR|1TLV|1VULN|1AART|1DUR	1LWND|2AART|3DUR|4DUST|5TLV|6CGEN|79RCR|8VULN|aMSLREG
118	62235 21324	   	265.95	DCR|DCR|1TLV|1VULN|1AART|1DUR|1MSE	1LWND|2AART|3DUR|4DUST|5TLV|6CGEN|79RCR|8VULN|aMSE
119	12416 51323	   	265.85	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUST|2AART|3TLV|4LHND|5ERES|6DUR|79RCR|8VULN|aMSLREG
120	12436 41323	   	265.85	DCR|DCR|1TLV|1VULN|1AART|1DUR	1DUST|2AART|3TLV|4DUR|5ERES|6LWND|79RCR|8VULN|aMSLREG
121	14123 51324	   	265.85	DCR|DCR|1TLV|1VULN|1AART|1DUR|1MSE	1DUST|2TLV|3ERES|4BEXP|5AART|6DUR|79RCR|8VULN|aMSE
122	52123 61224	   	265.81	DCR|3VULN|1TLV|1DMG|1AART|1SELL	1ZMB|25SNITOX|358VULN|4AART|5BPWR|6DMG|7RCR|9SELL|aTLV
123	26421 35332	   	265.70	DCR|3VULN|1TLV|2DMG	14DMG|2AME|3MSLREG|56aVULN|7TLV|8RCR|9RPLT
124	26521 35332	   	265.70	DCR|3VULN|1TLV|2DMG	14DMG|2AME|3CANSTR|56aVULN|7TLV|8RCR|9RPLT
125	24421 35332	   	265.60	DCR|3VULN|1TLV|2DMG	14DMG|2ERES|3MSLREG|56aVULN|7TLV|8RCR|9RPLT
126	24521 35332	   	265.60	DCR|3VULN|1TLV|2DMG	14DMG|2ERES|3CANSTR|56aVULN|7TLV|8RCR|9RPLT
