0	Index      	 *	Score 	Summary	Detail	
1	21414 14213	 * 	315.20	ACR|DCR|2TLV|2VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6aVULN|8RCVC|9AME
58	23521 71314	   	288.90	ACR|DCR|2VULN|1TLV|1ASPD	1CGEN|2TLV|3MLV|4MBVNT|58RCR|69VULN|7RPLT|aASPD
59	21415 14123	   	288.87	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CGEN|27RCR|3TLV|4CDMG|5AEBURN|6VULN|8LHND|9RPLT|aDUR
60	21415 14323	   	288.77	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CGEN|27RCR|3TLV|4CDMG|5AEBURN|6VULN|8LEGI|9RPLT|aDUR
61	21344 23131	   	288.17	ACR|3VULN|2TLV|1AEFBLL|1CDMG	145CGEN|2RCR|345VULN|45BPWR|6LSRREG|7AEFBLL|8aTLV|9CDMG
62	21334 23131	   	288.07	ACR|3VULN|2TLV|1AEFBLL|1CDMG	15CGEN|2RCR|345VULN|5BPWR|6LSRREG|7AEFBLL|8aTLV|9CDMG
63	21362 61116	   	288.07	ACR|3VULN|2TLV|1AEPOI|1ASPD	1CGEN|2RCR|369VULN|4aTLV|5RMIN|7ASPD|8AEPOI
64	21365 13362	   	288.07	ACR|3VULN|2TLV|1DMG|1ASPD	16CGEN|2RCR|389VULN|47TLV|5ASPD|aDMG
65	21365 33362	   	287.97	ACR|3VULN|2TLV|1DMG|1ASPD	1CGEN|2RCR|389VULN|47TLV|5ASPD|6AEWIND|aDMG
66	21344 32362	   	287.81	ACR|5VULN|1TLV|1DMG	145CGEN|2RCR|34589VULN|45BPWR|6DMG|7MLV|aTLV
67	21334 32362	   	287.71	ACR|5VULN|1TLV|1DMG	15CGEN|2RCR|34589VULN|5BPWR|6DMG|7MLV|aTLV
68	21334 33354	   	287.71	ACR|5VULN|1TLV|1DMG	15CGEN|2RCR|3458aVULN|5BPWR|6DMG|7TLV|9RCVC
69	21334 33365	   	287.71	ACR|5VULN|1TLV|1DMG	15CGEN|2RCR|34589VULN|5BPWR|6DMG|7TLV|aLHND
70	21334 55322	   	287.71	ACR|5VULN|1TLV|1DMG	15CGEN|2RCR|34568VULN|5BPWR|7DMG|9MLV|aTLV
71	21344 33334	   	287.71	ACR|5VULN|1TLV|1DMG	145CGEN|2RCR|3458aVULN|45BPWR|6DMG|7TLV|9AEWIND
72	21344 33363	   	287.71	ACR|5VULN|1TLV|1DMG	145CGEN|2RCR|34589VULN|45BPWR|6DMG|7TLV|aMDPS
73	21334 33334	   	287.61	ACR|5VULN|1TLV|1DMG	15CGEN|2RCR|3458aVULN|5BPWR|6DMG|7TLV|9AEWIND
74	21334 33363	   	287.61	ACR|5VULN|1TLV|1DMG	15CGEN|2RCR|34589VULN|5BPWR|6DMG|7TLV|aMDPS
75	21334 33364	   	287.61	ACR|5VULN|1TLV|1DMG|1MSE	15CGEN|2RCR|34589VULN|5BPWR|6DMG|7TLV|aMSE
76	21334 33366	   	287.61	ACR|5VULN|1TLV|1DMG	15CGEN|2RCR|34589VULN|5BPWR|6DMG|7TLV|aMULHEA
77	21334 35362	   	287.61	ACR|5VULN|1TLV|1DMG	15CGEN|2RCR|34589VULN|5BPWR|6DMG|7ERES|aTLV
78	21334 55313	   	287.61	ACR|5VULN|1TLV|1DMG	15CGEN|2RCR|34568VULN|5BPWR|7DMG|9TLV|aMDPS
79	21334 31636	   	287.15	ACR|4VULN|1TLV|2DMG	158CGEN|2RCR|3458VULN|58BPWR|68DMG|7RCVC|9LWND|aTLV
80	21344 33352	   	287.05	ACR|4VULN|1TLV|2DMG	145CGEN|2RCR|3458VULN|45BPWR|6aDMG|7TLV|9RCVC
81	21334 33352	   	286.95	ACR|4VULN|1TLV|2DMG	15CGEN|2RCR|3458VULN|5BPWR|6aDMG|7TLV|9RCVC
82	21344 33332	   	286.95	ACR|4VULN|1TLV|2DMG	145CGEN|2RCR|3458VULN|45BPWR|6aDMG|7TLV|9AEWIND
83	21334 33332	   	286.85	ACR|4VULN|1TLV|2DMG	15CGEN|2RCR|3458VULN|5BPWR|6aDMG|7TLV|9AEWIND
84	21415 14113	   	286.14	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CGEN|27RCR|3TLV|4CDMG|5AEBURN|6VULN|8LHND|9LIT|aRAT
85	21344 33152	   	286.06	ACR|3VULN|1TLV|2DMG|1AEPOI	145CGEN|2RCR|345VULN|45BPWR|6aDMG|7TLV|8AEPOI|9RCVC
86	21344 33251	   	286.06	ACR|4VULN|1TLV|1DMG	145CGEN|2RCR|3459VULN|45BPWR|6DMG|7TLV|8DUR|aRAT
87	21344 33311	   	286.06	ACR|4VULN|1TLV|1DMG	145CGEN|2RCR|3458VULN|45BPWR|6DMG|7TLV|9DUR|aRAT
88	11121 78412	   	286.02	ACR|DCR|1TLV|1VULN|1DMG|1AART	1DUR|2DMSP|3TLV|4MBVNT|58RCR|6VULN|7MDPS|9DMG|aAART
89	21334 33152	   	285.96	ACR|3VULN|1TLV|2DMG|1AEPOI	15CGEN|2RCR|345VULN|5BPWR|6aDMG|7TLV|8AEPOI|9RCVC
90	21344 33132	   	285.96	ACR|3VULN|1TLV|2DMG|1AEPOI	145CGEN|2RCR|345VULN|45BPWR|6aDMG|7TLV|8AEPOI|9AEWIND
91	21334 33251	   	285.96	ACR|4VULN|1TLV|1DMG	15CGEN|2RCR|3459VULN|5BPWR|6DMG|7TLV|8DUR|aRAT
92	21334 33311	   	285.96	ACR|4VULN|1TLV|1DMG	15CGEN|2RCR|3458VULN|5BPWR|6DMG|7TLV|9DUR|aRAT
93	21334 33132	   	285.86	ACR|3VULN|1TLV|2DMG|1AEPOI	15CGEN|2RCR|345VULN|5BPWR|6aDMG|7TLV|8AEPOI|9AEWIND
94	21414 14111	   	285.34	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8aLHND|9LIT
95	21414 14112	   	285.34	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8LHND|9aLIT
96	21414 14122	   	285.34	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8LHND|9RPLT|aMLV
97	21414 14132	   	285.34	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8LHND|9RCVC|aLIT
98	21414 14133	   	285.34	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8LHND|9RCVC|aLWND
99	21414 14211	   	285.34	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8RCVC|9aAME
100	21414 14233	   	285.34	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8RCVC|9BELT|aBEXP
101	21414 34313	   	285.34	ACR|DCR|2TLV|1VULN|1CDMG	18CGEN|27RCR|35TLV|4CDMG|6BEXP|9AME|aVULN
102	21414 34333	   	285.34	ACR|DCR|2TLV|1VULN|1CDMG	18CGEN|27RCR|35TLV|4CDMG|6BEXP|9RCVC|aVULN
103	21414 14121	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG|1MSE	1CGEN|27RCR|35TLV|4CDMG|6VULN|8LHND|9RPLT|aMSE
104	21414 14131	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG|1MSE	1CGEN|27RCR|35TLV|4CDMG|6VULN|8LHND|9RCVC|aMSE
105	21414 14212	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG|1MSE	1CGEN|27RCR|35TLV|4CDMG|6VULN|8RCVC|9AME|aMSE
106	21414 14232	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8RCVC|9BELT|aERES
107	21414 14311	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8LEGI|9LIT|aLHND
108	21414 14312	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8LEGI|9LIT|aFEWX
109	21414 14322	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8LEGI|9RPLT|aMLV
110	21414 14332	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8LEGI|9RCVC|aLIT
111	21414 14333	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8LEGI|9RCVC|aLWND
