0	Index      	 *	Score 	Summary	Detail	
1	31432 32615	 * 	319.23	ACR|3TLV|3VULN|1AEPOI|2CDMG|1AART	1RCVC|2aCDMG|3AEPOI|46aTLV|5RCR|79aVULN|8AART|aBPWR
15	26214 26223	 * 	294.41	DCR|2TLV|2VULN|2DMG|1AEPOI	1AEPOI|2FEWX|3aDMG|4aVULN|5LIT|6aTLV|7CANHEL|8ZMB|9RCR|aBPWR
16	15214 26223	   	294.31	DCR|2TLV|2VULN|2DMG|1AEFBLL	1DUST|2AEFBLL|3aDMG|4aVULN|5LIT|6aTLV|7CANHEL|8ZMB|9RCR|aBPWR
17	31432 32336	   	293.20	ACR|3TLV|2VULN|1AEPOI|2CDMG	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9LHND|aDUR
18	31432 32326	   	293.10	ACR|3TLV|2VULN|1AEPOI|2CDMG	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9AETHUN|aDUR
19	41151 16232	   	291.56	ACR|DCR|2TLV|1VULN|1AEBURN	1FEWX|2ERES|37RCR|4DUST|5LWND|6AEBURN|8aTLV|9VULN
20	53151 16232	   	291.56	ACR|DCR|2TLV|1VULN|1AEBURN	1ERES|2FEWX|37RCR|4DUST|5LWND|6AEBURN|8aTLV|9VULN
21	16163 23412	 * 	290.52	ACR|2TLV|2VULN|2DMG|1ASPD	1DUST|29DMG|3RCR|45TLV|6DUR|7aVULN|8ASPD
22	31432 32312	   	290.48	ACR|3TLV|2VULN|1AEPOI|2CDMG	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9AAC|aZMB
23	31432 32316	   	290.48	ACR|3TLV|2VULN|1AEPOI|2CDMG	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9AAC|aRAT
24	31432 32332	   	290.48	ACR|3TLV|2VULN|1AEPOI|2CDMG	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9LHND|aRAT
25	31432 32342	   	290.48	ACR|3TLV|2VULN|1AEPOI|2CDMG	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9FRZICY|aLWND
26	31432 32343	   	290.48	ACR|3TLV|2VULN|1AEPOI|2CDMG	1aRCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9FRZICY
27	31432 32345	   	290.48	ACR|3TLV|2VULN|1AEPOI|1AEBURN|2CDMG	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9FRZICY|aAEBURN
28	31432 32362	   	290.48	ACR|3TLV|2VULN|2CDMG|1AEPOI	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9LIT|aRAT
29	31432 32322	   	290.38	ACR|3TLV|2VULN|1AEPOI|2CDMG	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9AETHUN|aRAT
30	31432 32341	   	290.38	ACR|3TLV|2VULN|1AEPOI|2CDMG	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9FRZICY|aDUST
31	23131 52562	 * 	290.21	DCR|DCR|1TLV|1VULN|1AEPOI|1CDMG|1AART	1AEPOI|2RMIN|3TLV|4CDMG|5AART|6aRCR|7LWND|8FEWX|9VULN
32	24131 52362	   	290.21	DCR|DCR|1TLV|1VULN|1AEPOI|1CDMG|1AART	1AEPOI|2AME|3TLV|4CDMG|5AART|6aRCR|7LWND|8BEXP|9VULN
33	46122 12241	 * 	290.08	ACR|DCR|1TLV|1VULN|2DMG	1FEWX|2aDMG|36RCR|4RAT|5LWND|7VULN|8TLV|9MLV
34	66122 12225	   	290.08	ACR|DCR|1TLV|1VULN|2DMG	1BEXP|2aDMG|36RCR|4RAT|5LWND|7VULN|8TLV|9LHND
35	66122 12241	   	290.08	ACR|DCR|1TLV|1VULN|2DMG	1BEXP|2aDMG|36RCR|4RAT|5LWND|7VULN|8TLV|9MLV
36	16122 12241	   	289.98	ACR|DCR|1TLV|1VULN|2DMG	1DUST|2aDMG|36RCR|4RAT|5LWND|7VULN|8TLV|9MLV
37	66122 12315	   	289.98	ACR|DCR|1TLV|1VULN|2DMG	1BEXP|2aDMG|36RCR|4RAT|5LWND|7VULN|8LEGI|9TLV
