0	Index      	 *	Score 	Summary	Detail	
1	21523 21125	 * 	188.86	ACR|1BASARM|3BEXP|1ASPD	14TLV|2AIRHEL|378BEXP|5RCR|6RPLT|9BASARM|aASPD
13	13313 41244	   	182.06	ACR|2ASPD|1VULN|2BEXP|1DMG	14LHND|2VULN|3aASPD|5RCR|6DUR|79BEXP|8DMG
14	13313 21244	   	181.96	ACR|2ASPD|1VULN|2BEXP|1DMG	14LHND|2VULN|3aASPD|5RCR|6LEGI|79BEXP|8DMG
15	13313 61244	   	181.96	ACR|2ASPD|1VULN|2BEXP|1DMG	14LHND|2VULN|3aASPD|5RCR|6DUST|79BEXP|8DMG
16	13313 36653	 * 	181.57	ACR|2VULN|1ASPD|2CDMG|1BEXP|1AART	149LHND|29VULN|3ASPD|5RCR|6LWND|79CDMG|8AART|9BPWR|aBEXP
17	12633 53261	 * 	181.00	ACR|3DMG|2VULN|1AART	1aLHND|2TLV|38aDMG|4ERES|5RCR|6CGEN|7aVULN|9AART|aBPWR
18	13313 21263	 * 	180.85	ACR|2VULN|2DMG|1ASPD|1BEXP	14aLHND|2aVULN|3ASPD|5RCR|6LEGI|7BEXP|8aDMG|9BELT|aBPWR
19	13313 31234	 * 	180.75	ACR|2VULN|2ASPD|1DMG|1BEXP	14LHND|29VULN|3aASPD|5RCR|6LWND|7BEXP|8DMG
20	13313 21234	   	180.65	ACR|2VULN|2ASPD|1DMG|1BEXP	14LHND|29VULN|3aASPD|5RCR|6LEGI|7BEXP|8DMG
21	55133 11433	   	179.49	ACR|1BASARM|2BEXP|1CDMG|1AAC	1ZMB|2CDMG|3AME|4DUST|5RCR|6aBEXP|7MDPS|8BASARM|9AAC
22	13313 41213	 * 	179.42	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	14LHND|2VULN|3ASPD|5RCR|6DUR|7aBEXP|8DMG|9AART
23	13313 13632	 * 	178.64	ACR|3VULN|1ASPD|1DMG|1AART	14LHND|279VULN|3ASPD|5RCR|6ERES|8AART|aDMG
24	13313 26651	 * 	178.37	ACR|2ASPD|1VULN|3CDMG|1AART	149LHND|2VULN|39ASPD|5RCR|6LEGI|79aCDMG|8AART|9BPWR
25	12633 16621	 * 	178.27	ACR|2DMG|1VULN|3CDMG|1AART	19LHND|2TLV|39DMG|4ERES|5RCR|6VULN|79aCDMG|8AART|9BPWR
26	52233 11243	 * 	177.92	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG	1ZMB|2AME|37BEXP|4ERES|5RCR|6VULN|8DMG|9ASPD|aCDMG
27	13313 36663	   	177.03	ACR|2ASPD|1VULN|1AART|1CDMG|1BEXP	14LHND|2VULN|39ASPD|5RCR|6LWND|7CDMG|8AART|aBEXP
28	13313 26663	   	176.93	ACR|2ASPD|1VULN|1AART|1CDMG|1BEXP	14LHND|2VULN|39ASPD|5RCR|6LEGI|7CDMG|8AART|aBEXP
29	55241 21433	 * 	176.73	ACR|2DMG|1ASPD|1VULN|1CDMG	1ZMB|2CDMG|3RCVC|4RCR|58DMG|6MBVNT|7ASPD|9LIT|aVULN
30	55241 11321	 * 	176.60	ACR|1ASPD|1DMG|2CDMG|1BEXP|1AART	1ZMB|2aCDMG|3RCVC|4RCR|5DMG|6BEXP|7ASPD|8FEWX|9AART
31	21133 62366	 * 	176.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1TLV|2AIRHEL|3DMG|46CGEN|5RCR|7RMIN|8CDMG|9BASARM|aBEXP
32	21133 66326	   	176.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1TLV|2AIRHEL|3DMG|46CGEN|5RCR|7MLV|8CDMG|9BASARM|aBEXP
33	55241 21121	   	176.50	ACR|1ASPD|1DMG|2CDMG|1BEXP|1AART	1ZMB|2aCDMG|3RCVC|4RCR|5DMG|6MBVNT|7ASPD|8BEXP|9AART
34	21133 44326	   	176.41	ACR|1BASARM|1DMG|1BEXP|1CDMG	1TLV|2AIRHEL|3DMG|4CGEN|5RCR|6ERES|7DMSP|8CDMG|9BASARM|aBEXP
35	55133 11423	   	176.41	ACR|1BASARM|1DMG|1BEXP|1CDMG	1ZMB|2CDMG|3AME|4DUST|5RCR|6BEXP|7MDPS|8BASARM|9FEWX|aDMG
36	21133 41326	   	176.31	ACR|1BASARM|1DMG|1BEXP|1CDMG	1TLV|2AIRHEL|3DMG|4CGEN|5RCR|67ERES|8CDMG|9BASARM|aBEXP
37	13313 36651	 * 	176.23	ACR|2VULN|3CDMG|1ASPD|1AART	149LHND|29VULN|3ASPD|5RCR|6LWND|79aCDMG|8AART|9BPWR
38	55241 21442	 * 	176.13	ACR|3DMG|1ASPD|1CDMG	1ZMB|2CDMG|3RCVC|4RCR|58aDMG|6MBVNT|7ASPD|9BELT
39	22321 14626	 * 	176.06	2BASARM|3DMG|1VULN|1ASPD|2CDMG	1aTLV|2AME|346DMG|5aCDMG|7VULN|8ASPD|9aBASARM|aBPWR
40	13313 31242	 * 	175.62	ACR|2VULN|2BEXP|1ASPD|1DMG	14LHND|2aVULN|3ASPD|5RCR|6LWND|79BEXP|8DMG
41	13313 41242	   	175.62	ACR|2VULN|2BEXP|1ASPD|1DMG	14LHND|2aVULN|3ASPD|5RCR|6DUR|79BEXP|8DMG
42	13313 21242	   	175.52	ACR|2VULN|2BEXP|1ASPD|1DMG	14LHND|2aVULN|3ASPD|5RCR|6LEGI|79BEXP|8DMG
43	13313 61242	   	175.52	ACR|2VULN|2BEXP|1ASPD|1DMG	14LHND|2aVULN|3ASPD|5RCR|6DUST|79BEXP|8DMG
44	53133 11245	   	175.52	ACR|2VULN|2BEXP|1ASPD|1DMG	1ZMB|27BEXP|3MLV|4ERES|5RCR|6aVULN|8DMG|9ASPD
45	52233 11245	   	175.42	ACR|2VULN|2BEXP|1ASPD|1DMG	1ZMB|2AME|37BEXP|4ERES|5RCR|6aVULN|8DMG|9ASPD
46	53133 11246	 * 	174.33	ACR|3BEXP|1VULN|1ASPD|1DMG	1ZMB|27aBEXP|3MLV|4ERES|5RCR|6VULN|8DMG|9ASPD
47	55241 21132	 * 	174.33	ACR|2DMG|1ASPD|1BEXP|1CDMG	1aZMB|2CDMG|3RCVC|4RCR|5aDMG|6MBVNT|7ASPD|8BEXP|9aLIT|aBPWR
48	52233 11246	   	174.23	ACR|3BEXP|1VULN|1ASPD|1DMG	1ZMB|2AME|37aBEXP|4ERES|5RCR|6VULN|8DMG|9ASPD
49	55241 21431	   	174.13	ACR|2DMG|1ASPD|1BEXP|1CDMG	1ZMB|2CDMG|3RCVC|4RCR|58DMG|6MBVNT|7ASPD|9LIT|aBEXP
50	14133 53241	 * 	173.53	ACR|2DMG|1VULN|1ASPD|1BASICY	1LHND|28DMG|3MLV|4ERES|5RCR|6CGEN|7VULN|9ASPD|aBASICY
51	12633 53241	   	173.43	ACR|2DMG|1VULN|1BASICY|1ASPD	1LHND|2TLV|38DMG|4ERES|5RCR|6CGEN|7VULN|9ASPD|aBASICY
52	53133 12245	 * 	173.24	ACR|2VULN|2DMG|2BEXP	1ZMB|2aBEXP|3MLV|4ERES|5RCR|6aVULN|7CGEN|8aDMG|9BELT|aBPWR
53	41351 61313	 * 	173.14	DCR|3BEXP|2DMG|1VULN|1AART|1CDMG	1AEMAG|24DMG|347BEXP|4BPWR|5CDMG|6AART|8RMIN|9VULN|aRCR
54	53133 11255	   	173.04	ACR|2VULN|2DMG|2BEXP	1ZMB|27BEXP|3MLV|4ERES|5RCR|69VULN|8aDMG
55	52233 11255	   	172.94	ACR|2VULN|2DMG|2BEXP	1ZMB|2AME|37BEXP|4ERES|5RCR|69VULN|8aDMG
56	34331 32146	 * 	172.61	DCR|1BASARM|3BEXP|1DMG|1CDMG	1RPLT|2MDPS|345BEXP|6SNIFST|7DMG|8BASARM|9CDMG|aRCR
57	12633 36314	 * 	172.23	ACR|2DMG|2CDMG|1BASICY|1BEXP	18LHND|2TLV|38DMG|4ERES|5RCR|6LWND|78CDMG|8BPWR|9BASICY|aBEXP
58	13313 31232	 * 	172.23	ACR|3VULN|1ASPD|1DMG|1BEXP	14LHND|29aVULN|3ASPD|5RCR|6LWND|7BEXP|8DMG
59	14133 26314	   	172.23	ACR|2DMG|2CDMG|1BASICY|1BEXP	18LHND|28DMG|3MLV|4ERES|5RCR|6LEGI|78CDMG|8BPWR|9BASICY|aBEXP
60	13313 21232	   	172.13	ACR|3VULN|1ASPD|1DMG|1BEXP	14LHND|29aVULN|3ASPD|5RCR|6LEGI|7BEXP|8DMG
61	13313 11644	   	171.69	ACR|2VULN|2BEXP|1ASPD|1AART	14aLHND|2aVULN|3ASPD|5RCR|6ERES|7DMSP|8AART|9aBEXP|aBPWR
62	13313 12644	   	171.59	ACR|2VULN|2BEXP|1ASPD|1AART	14aLHND|2aVULN|3ASPD|5RCR|67ERES|8AART|9aBEXP|aBPWR
63	14511 42211	 * 	171.53	DCR|2VULN|2DMG|1ASPD|1AART|1CDMG	148LHND|28DMG|3BELT|5ASPD|6CDMG|78VULN|8BPWR|9AART|aRCR
64	13313 13643	   	171.49	ACR|2VULN|2BEXP|1ASPD|1AART	14LHND|27VULN|3ASPD|5RCR|6ERES|8AART|9aBEXP
65	55241 11111	   	171.48	ACR|2BEXP|1ASPD|1DMG|1CDMG	1ZMB|2CDMG|3RCVC|4RCR|5DMG|68BEXP|7ASPD|9FEWX|aLHND
66	55241 11112	   	171.48	ACR|2BEXP|1ASPD|1DMG|1CDMG	1aZMB|2CDMG|3RCVC|4RCR|5DMG|68BEXP|7ASPD|9FEWX
67	55241 11123	   	171.48	ACR|2BEXP|1ASPD|1DMG|1CDMG	1ZMB|2CDMG|3RCVC|4RCR|5DMG|68BEXP|7ASPD|9aCGEN
68	55241 11332	   	171.48	ACR|2BEXP|1ASPD|1DMG|1CDMG	1ZMB|2CDMG|3RCVC|4RCR|5DMG|6aBEXP|7ASPD|8FEWX|9LIT
69	55241 22332	 * 	171.48	ACR|2VULN|1DMG|2CDMG|1BEXP	1aZMB|2aCDMG|3RCVC|4RCR|5DMG|6MBVNT|7BEXP|8RPLT|9aVULN|aBPWR
70	55241 11113	   	171.38	ACR|2BEXP|1DMG|1ASPD|1CDMG	1ZMB|2CDMG|3RCVC|4RCR|5DMG|68BEXP|7ASPD|9FEWX|aAEFBLL
71	55241 11121	   	171.38	ACR|2BEXP|1ASPD|1DMG|1CDMG	1ZMB|2CDMG|3RCVC|4RCR|5DMG|68BEXP|7ASPD|9CGEN|aAEFBLL
72	55241 11133	   	171.38	ACR|2BEXP|1ASPD|1DMG|1CDMG	1ZMB|2CDMG|3RCVC|4RCR|5DMG|68BEXP|7ASPD|9LIT|aDUST
73	55241 11132	   	171.23	ACR|2BEXP|1ASPD|1DMG|1CDMG|1SELL	1ZMB|2CDMG|3RCVC|4RCR|5DMG|68BEXP|7ASPD|9LIT|aSELL
74	55133 11412	   	171.18	ACR|1BASARM|2BEXP|1CDMG	1ZMB|2CDMG|3AME|4DUST|5RCR|69BEXP|7MDPS|8BASARM|aLWND
75	55241 24122	   	171.16	ACR|1ASPD|1DMG|2CDMG|1BEXP|1AAC	1ZMB|27CDMG|3RCVC|4RCR|5DMG|6MBVNT|8BEXP|9ASPD|aAAC
76	13222 63352	 * 	171.06	DCR|1BASARM|1VULN|1DMG|1AART|1CDMG|1AAC	1LHND|2VULN|3CDMG|4AART|5DMG|6BASARM|7DLOT|8AME|9AAC|aRCR
77	13313 36661	   	170.97	ACR|2ASPD|1VULN|2CDMG|1AART	14LHND|2VULN|39ASPD|5RCR|6LWND|7aCDMG|8AART
78	13313 26661	   	170.87	ACR|2ASPD|1VULN|2CDMG|1AART	14LHND|2VULN|39ASPD|5RCR|6LEGI|7aCDMG|8AART
79	13313 14245	 * 	170.42	ACR|3DMG|1VULN|1ASPD	14LHND|2VULN|3ASPD|5RCR|6ERES|7CGEN|89aDMG
80	13313 15245	   	170.42	ACR|3DMG|1VULN|1ASPD	14LHND|2VULN|3ASPD|5RCR|6ERES|7RMIN|89aDMG
81	13313 52245	   	170.42	ACR|3DMG|1VULN|1ASPD	14LHND|2VULN|3ASPD|5RCR|6CGEN|7ERES|89aDMG
82	14133 14235	   	170.32	ACR|3DMG|1VULN|1ASPD	1LHND|28aDMG|3MLV|47ERES|5RCR|6VULN|9ASPD
83	55241 11323	   	170.29	ACR|1ASPD|1DMG|1BEXP|1CDMG|1AART	1ZMB|2CDMG|3RCVC|4RCR|5DMG|6BEXP|7ASPD|8aFEWX|9AART
84	12633 14235	   	170.22	ACR|3DMG|1VULN|1ASPD	1LHND|2TLV|38aDMG|47ERES|5RCR|6VULN|9ASPD
85	13222 65623	 * 	170.20	2VULN|1BASARM|2DMG|1ASPD|1CDMG|1AART	1LHND|27VULN|3CDMG|4AART|59DMG|6BASARM|8ASPD|aRCVC
86	55241 21123	   	170.19	ACR|1ASPD|1DMG|1BEXP|1CDMG|1AART	1ZMB|2CDMG|3RCVC|4RCR|5DMG|6MBVNT|7ASPD|8BEXP|9AART|aFEWX
87	55241 21124	   	170.09	ACR|1ASPD|1DMG|1BEXP|1CDMG|1AART	1ZMB|2CDMG|3RCVC|4RCR|5DMG|6MBVNT|7ASPD|8BEXP|9AART|aDUST
88	13222 52236	 * 	169.97	2VULN|1BASARM|2ASPD|1DMG|1AART|1CDMG	1LHND|2aVULN|3CDMG|4AART|5DMG|6MDPS|7aZMB|8BASARM|9aASPD|aBPWR
89	13222 65621	   	169.87	2VULN|1BASARM|2DMG|1ASPD|1CDMG|1AART	1aLHND|27VULN|3CDMG|4AART|59DMG|6BASARM|8ASPD
90	13222 65226	   	169.77	2VULN|1BASARM|2DMG|1ASPD|1AART|1CDMG	1LHND|27VULN|3CDMG|4AART|59DMG|6BASARM|8ERES|aASPD
91	13222 65622	   	169.77	2VULN|1BASARM|2DMG|1ASPD|1AART|1CDMG	1LHND|27VULN|3CDMG|4AART|59DMG|6BASARM|8ASPD|aVENFST
92	13313 36512	 * 	169.60	ACR|1VULN|1ASPD|2CDMG|1BASICY|1BEXP	14LHND|2VULN|3ASPD|5RCR|6LWND|78CDMG|9BASICY|aBEXP
93	13313 46512	   	169.60	ACR|1VULN|1ASPD|1BASICY|2CDMG|1BEXP	14LHND|2VULN|3ASPD|5RCR|6DUR|78CDMG|9BASICY|aBEXP
94	13313 26512	   	169.50	ACR|1VULN|1ASPD|1BASICY|2CDMG|1BEXP	14LHND|2VULN|3ASPD|5RCR|6LEGI|78CDMG|9BASICY|aBEXP
95	13313 66512	   	169.50	ACR|1VULN|1ASPD|2CDMG|1BASICY|1BEXP	14LHND|2VULN|3ASPD|5RCR|6DUST|78CDMG|9BASICY|aBEXP
96	53133 11235	 * 	169.22	ACR|3BEXP|1VULN|1DMG|1AART	1ZMB|279BEXP|3MLV|4ERES|5RCR|6VULN|8DMG|aAART
97	52233 11235	   	169.12	ACR|3BEXP|1VULN|1DMG|1AART	1ZMB|2AME|379BEXP|4ERES|5RCR|6VULN|8DMG|aAART
98	53133 11251	 * 	169.11	ACR|2VULN|2BEXP|1DMG|1CDMG	1ZMB|27BEXP|3MLV|4ERES|5RCR|69VULN|8DMG|aCDMG
99	41351 32212	 * 	169.04	DCR|2DMG|2BEXP|1VULN|1ASPD|1CDMG	1AEMAG|24DMG|34BEXP|4BPWR|5CDMG|6RCVC|7VULN|8ASPD|9RPLT|aRCR
100	52233 11251	   	169.01	ACR|2VULN|2BEXP|1DMG|1CDMG	1ZMB|2AME|37BEXP|4ERES|5RCR|69VULN|8DMG|aCDMG
101	21523 21121	   	168.80	ACR|1BASARM|3BEXP	14TLV|2AIRHEL|378BEXP|5RCR|6RPLT|9BASARM|aCGEN
102	21523 21123	   	168.80	ACR|1BASARM|3BEXP	14TLV|2AIRHEL|378BEXP|5RCR|6RPLT|9BASARM|aZMB
103	21523 21126	   	168.80	ACR|1BASARM|3BEXP	14TLV|2AIRHEL|378BEXP|5RCR|6RPLT|9BASARM|aLWND
104	55241 21412	   	168.78	ACR|2DMG|1ASPD|1CDMG|1AAC	1ZMB|2CDMG|3RCVC|4RCR|58DMG|6MBVNT|7ASPD|9FEWX|aAAC
105	21523 21122	   	168.70	ACR|1BASARM|3BEXP	14aTLV|2AIRHEL|378BEXP|5RCR|6RPLT|9BASARM
106	21523 21124	   	168.70	ACR|1BASARM|3BEXP	14TLV|2AIRHEL|378BEXP|5RCR|6RPLT|9BASARM|aDUST
107	13313 14241	   	168.41	ACR|2DMG|1VULN|1ASPD|1CDMG	14LHND|2VULN|3ASPD|5RCR|6ERES|7CGEN|89DMG|aCDMG
108	13313 15241	   	168.41	ACR|2DMG|1VULN|1ASPD|1CDMG	14LHND|2VULN|3ASPD|5RCR|6ERES|7RMIN|89DMG|aCDMG
109	13313 52241	   	168.41	ACR|2DMG|1VULN|1ASPD|1CDMG	14LHND|2VULN|3ASPD|5RCR|6CGEN|7ERES|89DMG|aCDMG
110	13313 56241	   	168.41	ACR|2DMG|1VULN|1ASPD|1CDMG	14LHND|2VULN|3ASPD|5RCR|6CGEN|7AAC|89DMG|aCDMG
111	31225 34623	 * 	168.39	ACR|1ASPD|1DMG|1BASICY|1AART|1BEXP	1RPLT|23LIT|4BEXP|5RCR|6AART|7BASICY|8DMG|9RMIN|aASPD
112	31225 34633	   	168.39	ACR|1ASPD|1DMG|1BASICY|1BEXP|1AART	1RPLT|23LIT|4BEXP|5RCR|6AART|7BASICY|8DMG|9DUR|aASPD
113	14133 14231	   	168.31	ACR|2DMG|1VULN|1ASPD|1CDMG	1LHND|28DMG|3MLV|47ERES|5RCR|6VULN|9ASPD|aCDMG
114	12633 14231	   	168.21	ACR|2DMG|1VULN|1ASPD|1CDMG	1LHND|2TLV|38DMG|47ERES|5RCR|6VULN|9ASPD|aCDMG
115	13222 62623	 * 	167.34	1BASARM|2DMG|1VULN|2AART|1ASPD|1CDMG	1LHND|2VULN|3CDMG|47AART|59DMG|6BASARM|8ASPD|aRCVC
116	13313 13661	   	167.30	ACR|2VULN|1ASPD|1AART|1CDMG|1AAC	14LHND|27VULN|3ASPD|5RCR|6ERES|8AART|9AAC|aCDMG
117	31225 54221	   	167.12	ACR|2ASPD|1VULN|1DMG|1BEXP	1RPLT|23LIT|4BEXP|5RCR|6VULN|7DUST|89ASPD|aDMG
118	13313 14234	   	167.12	ACR|2ASPD|1VULN|1DMG|1BEXP	14LHND|2VULN|3aASPD|5RCR|6ERES|7CGEN|8DMG|9BEXP
119	13313 14246	   	167.12	ACR|2DMG|1VULN|1ASPD|1BEXP	14LHND|2VULN|3ASPD|5RCR|6ERES|7CGEN|89DMG|aBEXP
120	13313 15234	   	167.12	ACR|2ASPD|1VULN|1DMG|1BEXP	14LHND|2VULN|3aASPD|5RCR|6ERES|7RMIN|8DMG|9BEXP
121	13313 15246	   	167.12	ACR|2DMG|1VULN|1ASPD|1BEXP	14LHND|2VULN|3ASPD|5RCR|6ERES|7RMIN|89DMG|aBEXP
122	13313 52234	   	167.12	ACR|2ASPD|1VULN|1DMG|1BEXP	14LHND|2VULN|3aASPD|5RCR|6CGEN|7ERES|8DMG|9BEXP
123	13313 52246	   	167.12	ACR|2DMG|1VULN|1ASPD|1BEXP	14LHND|2VULN|3ASPD|5RCR|6CGEN|7ERES|89DMG|aBEXP
124	13313 56234	   	167.12	ACR|2ASPD|1VULN|1DMG|1BEXP	14LHND|2VULN|3aASPD|5RCR|6CGEN|7AAC|8DMG|9BEXP
125	14133 53234	   	167.12	ACR|2DMG|1VULN|1ASPD|1BEXP	1LHND|28DMG|3MLV|4ERES|5RCR|6CGEN|7VULN|9BEXP|aASPD
126	13313 32234	   	167.10	ACR|2VULN|2ASPD|1DMG	14LHND|29VULN|3aASPD|5RCR|6LWND|7FEWX|8DMG
127	14133 14236	   	167.02	ACR|2DMG|1VULN|1ASPD|1BEXP	1LHND|28DMG|3MLV|47ERES|5RCR|6VULN|9ASPD|aBEXP
128	12633 53234	   	167.02	ACR|2DMG|1VULN|1ASPD|1BEXP	1LHND|2TLV|38DMG|4ERES|5RCR|6CGEN|7VULN|9BEXP|aASPD
129	13222 62621	   	167.02	1BASARM|2DMG|1VULN|2AART|1ASPD|1CDMG	1aLHND|2VULN|3CDMG|47AART|59DMG|6BASARM|8ASPD
130	13222 62624	   	167.02	1BASARM|2DMG|1VULN|2AART|1ASPD|1CDMG	1LHND|2VULN|3CDMG|47AART|59DMG|6BASARM|8ASPD|aRPLT
131	13313 22234	   	167.00	ACR|2VULN|2ASPD|1DMG	14LHND|29VULN|3aASPD|5RCR|6LEGI|7FEWX|8DMG
132	13313 33234	   	167.00	ACR|2VULN|2ASPD|1DMG	14LHND|29VULN|3aASPD|5RCR|6LWND|7DUST|8DMG
133	13313 13355	   	167.00	ACR|2VULN|2DMG|1ASPD	14LHND|27VULN|3ASPD|5RCR|6ERES|8ZMB|9aDMG
134	13313 13455	   	167.00	ACR|2VULN|2DMG|1ASPD	14LHND|27VULN|3ASPD|5RCR|6ERES|8CGEN|9aDMG
135	12633 36342	 * 	167.00	ACR|2DMG|2BEXP|2CDMG	18LHND|2TLV|38DMG|4ERES|5RCR|6LWND|78CDMG|8BPWR|9aBEXP
136	14133 26342	   	167.00	ACR|2DMG|2BEXP|2CDMG	18LHND|28DMG|3MLV|4ERES|5RCR|6LEGI|78CDMG|8BPWR|9aBEXP
137	12633 14236	   	166.92	ACR|2DMG|1VULN|1ASPD|1BEXP	1LHND|2TLV|38DMG|47ERES|5RCR|6VULN|9ASPD|aBEXP
138	13222 62226	   	166.92	1BASARM|2DMG|1VULN|2AART|1ASPD|1CDMG	1LHND|2VULN|3CDMG|47AART|59DMG|6BASARM|8ERES|aASPD
139	13222 62622	   	166.92	1BASARM|2DMG|1VULN|2AART|1ASPD|1CDMG	1LHND|2VULN|3CDMG|47AART|59DMG|6BASARM|8ASPD|aVENFST
140	13222 62625	   	166.92	1BASARM|2DMG|1VULN|2AART|1ASPD|1CDMG	1LHND|2VULN|3CDMG|47AART|59DMG|6BASARM|8ASPD|aERES
141	13222 62626	   	166.92	1BASARM|2DMG|1VULN|2AART|1ASPD|1CDMG	1LHND|2VULN|3CDMG|47AART|59DMG|6BASARM|8ASPD|aMDPS
142	13313 23234	   	166.90	ACR|2VULN|2ASPD|1DMG	14LHND|29VULN|3aASPD|5RCR|6LEGI|7DUST|8DMG
143	13313 13555	   	166.90	ACR|2VULN|2DMG|1ASPD	14LHND|27VULN|3ASPD|5RCR|6ERES|8AAC|9aDMG
144	55241 21443	 * 	166.79	ACR|2DMG|1ASPD|2CDMG	1ZMB|2aCDMG|3RCVC|4RCR|58DMG|6MBVNT|7ASPD|9BELT
145	14133 16623	   	165.86	ACR|1VULN|2CDMG|1DMG|1AART|1BEXP	19LHND|2DMG|39MLV|4ERES|5RCR|6VULN|79CDMG|8AART|9BPWR|aBEXP
146	13222 62634	 * 	165.67	2VULN|1BASARM|2AART|1ASPD|1DMG|1CDMG	1LHND|2aVULN|3CDMG|47AART|5DMG|6BASARM|8ASPD|9ERES
147	13222 65612	   	165.67	2VULN|1BASARM|2AART|1ASPD|1DMG|1CDMG	1LHND|27VULN|3CDMG|4aAART|5DMG|6BASARM|8ASPD|9DUST
148	13313 16352	 * 	165.52	ACR|1VULN|1ASPD|1DMG|1AART|1CDMG|1SELL	14LHND|2VULN|3ASPD|5RCR|6ERES|7CDMG|8SELL|9DMG|aAART
149	13313 51632	   	165.51	ACR|2VULN|1ASPD|1DMG|1AART	14LHND|29VULN|3ASPD|5RCR|6CGEN|7DMSP|8AART|aDMG
150	13313 54632	   	165.51	ACR|2VULN|1ASPD|1DMG|1AART	14LHND|29VULN|3ASPD|5RCR|67CGEN|8AART|aDMG
151	13313 11632	   	165.41	ACR|2VULN|1ASPD|1DMG|1AART	14LHND|29VULN|3ASPD|5RCR|6ERES|7DMSP|8AART|aDMG
152	13313 13652	   	165.41	ACR|2VULN|1ASPD|1DMG|1AART	149LHND|27VULN|3ASPD|5RCR|6ERES|8AART|aDMG
153	13313 12632	   	165.31	ACR|2VULN|1ASPD|1DMG|1AART	14LHND|29VULN|3ASPD|5RCR|67ERES|8AART|aDMG
154	14133 14251	   	165.19	ACR|3DMG|1VULN|1AART	1LHND|289DMG|3MLV|47ERES|5RCR|6VULN|aAART
155	12633 14251	   	165.09	ACR|3DMG|1VULN|1AART	1LHND|2TLV|389DMG|47ERES|5RCR|6VULN|aAART
156	13222 63243	 * 	165.01	3VULN|2BASARM|1DMG|2CDMG|1AART	1aLHND|28aVULN|39CDMG|4AART|5DMG|6aBASARM|7DLOT|aBPWR
157	55241 11233	   	164.95	ACR|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1ZMB|2CDMG|3RCVC|4RCR|5DMG|6BEXP|7ASPD|8LWND|9FEWX|aAAC
158	55241 21131	   	164.85	ACR|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1ZMB|2CDMG|3RCVC|4RCR|5DMG|6MBVNT|7ASPD|8BEXP|9LIT|aAAC
159	13313 61216	   	164.80	ACR|1VULN|1ASPD|1DMG|1BEXP|1AART	14LHND|2VULN|3ASPD|5RCR|6DUST|7BEXP|8DMG|9AART|aRCVC
160	55133 11431	   	164.65	ACR|1BASARM|1BEXP|1CDMG|1AAC	1ZMB|2CDMG|3AME|4DUST|5RCR|6BEXP|7MDPS|8BASARM|9AAC|aLWND
161	13313 31216	   	164.58	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP	14LHND|2VULN|3ASPD|5RCR|6LWND|7BEXP|8DMG|9DUR|aAART
