0	Index      	 *	Score 	Summary	Detail	
1	42351 32631	 * 	261.33	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART|1CDMG	1ERES|2RCR|3AAC|4aDMG|5CDMG|6VULN|7BASARM|8AART|9ASPD
13	42351 32633	   	242.64	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1ERES|2RCR|3AAC|4DMG|5CDMG|6VULN|7BASARM|8AART|9ASPD|aAME
14	42351 32611	   	240.27	ACR|1BASARM|2DMG|1VULN|1AART|1CDMG	1ERES|2RCR|3AAC|4aDMG|5CDMG|6VULN|7BASARM|8AART|9CGEN
15	42351 32621	   	240.27	ACR|1BASARM|2DMG|1VULN|1AART|1CDMG	1ERES|2RCR|3AAC|4aDMG|5CDMG|6VULN|7BASARM|8AART|9ZMB
16	42351 32161	   	239.27	ACR|1BASARM|2DMG|1VULN|1AART|1CDMG	1ERES|2RCR|3AAC|4aDMG|5CDMG|6VULN|7BASARM|8CGEN|9AART
17	42352 52212	   	238.20	ACR|2BASARM|2DMG|1VULN|1AART	17ERES|2RCR|3AAC|47DMG|5MDPS|67BASARM|7BPWR|8VULN|9DUR|aAART
18	42231 32631	   	237.84	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1ERES|2RCR|3RCVC|4FEWX|5CDMG|6VULN|7BASARM|8AART|9ASPD|aDMG
19	12663 32631	   	237.64	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1MLV|2RCR|3CDMG|4RCVC|5DUR|6VULN|7BASARM|8AART|9ASPD|aDMG
20	12633 32631	   	237.34	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1MLV|2RCR|3CDMG|4FEWX|5RCVC|6VULN|7BASARM|8AART|9ASPD|aDMG
21	42122 26211	 * 	237.29	ACR|2BASARM|2ASPD|1AART|1DMG	1aERES|2RCR|3BELT|4AART|5aASPD|6DMG|7MLV|8RMIN|9aBASARM|aBPWR
22	42633 32631	   	237.24	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1ERES|2RCR|3CDMG|4FEWX|5RCVC|6VULN|7BASARM|8AART|9ASPD|aDMG
23	42224 22631	   	236.82	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	1ERES|2RCR|3RCVC|4RPLT|56VULN|7BASARM|8AART|9ASPD|aDMG
24	12122 41111	   	234.78	ACR|2BASARM|2AART|2ASPD	1aMLV|2RCR|3BELT|46AART|5aASPD|7DUST|8CGEN|9aBASARM|aBPWR
25	42122 41111	   	234.58	ACR|2BASARM|2AART|2ASPD	1aERES|2RCR|3BELT|46AART|5aASPD|7DUST|8CGEN|9aBASARM|aBPWR
26	12634 32631	   	234.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1MLV|2RCR|3CDMG|4FEWX|5VULN|6AEFBLL|7BASARM|8AART|9ASPD|aDMG
27	12614 32531	   	234.34	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1MLV|2RCR|3CDMG|4DUST|5VULN|6AEFBLL|7BASARM|8AART|9ASPD|aDMG
28	12122 21111	   	233.78	ACR|2BASARM|2ASPD|2AART	1aMLV|2RCR|3BELT|47AART|5aASPD|6TLV|8FEWX|9aBASARM|aBPWR
29	42122 11111	   	233.68	ACR|2BASARM|2ASPD|2AART	1aERES|2RCR|3BELT|47AART|5aASPD|6MLV|8FEWX|9aBASARM|aBPWR
30	12122 31111	   	233.28	ACR|2BASARM|2ASPD|1AART|1BEXP	1aMLV|2RCR|3BELT|4AART|5aASPD|6BEXP|7RCVC|8CGEN|9aBASARM|aBPWR
31	42352 52231	   	233.18	ACR|2BASARM|2DMG|2VULN	17ERES|2RCR|3AAC|47DMG|5MDPS|67BASARM|7BPWR|8aVULN|9CGEN
32	42352 52332	   	233.09	ACR|2BASARM|2DMG|1AART|1CDMG	17ERES|2RCR|3AAC|47DMG|5MDPS|67BASARM|7BPWR|8CDMG|9DUR|aAART
33	12122 51111	   	232.98	ACR|2BASARM|3ASPD|1AART	1aMLV|2RCR|3BELT|4AART|56aASPD|7DUST|8CGEN|9aBASARM|aBPWR
34	12122 25111	   	232.88	ACR|2BASARM|2ASPD|1AART|1BEXP	1aMLV|2RCR|3BELT|4AART|5aASPD|6TLV|7BEXP|8RCVC|9aBASARM|aBPWR
35	42122 15111	   	232.78	ACR|2BASARM|2ASPD|1AART|1BEXP	1aERES|2RCR|3BELT|4AART|5aASPD|6MLV|7BEXP|8RCVC|9aBASARM|aBPWR
36	42122 51111	   	232.78	ACR|2BASARM|3ASPD|1AART	1aERES|2RCR|3BELT|4AART|56aASPD|7DUST|8CGEN|9aBASARM|aBPWR
