0	Index      	 *	Score 	Summary	Detail	
1	62412 15331	 * 	211.90	ACR|1BASARM|2VULN|1ASPD|1AART|1CDMG	19VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7ASPD|8AART|aCDMG
74	62412 21113	   	185.84	ACR|1BASARM|1VULN|1ASPD|1DMG	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6CGEN|7TLV|8ASPD|9MSLFST|aDMG
75	62412 25113	   	185.84	ACR|1BASARM|1VULN|1ASPD|1DMG	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6CGEN|7AME|8ASPD|9MSLFST|aDMG
76	62462 23113	   	185.84	ACR|1BASARM|1VULN|1ASPD|1DMG	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6MLV|7DUST|8ASPD|9MSLFST|aDMG
77	62462 11111	   	185.62	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7LHND|8LWND|9ASPD|aCGEN
78	62462 11122	   	185.62	ACR|1BASARM|1VULN|1DMG|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7LHND|89LWND|aDMG
79	62462 11231	   	185.62	ACR|1BASARM|1VULN|1DMG|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7LHND|8ZMB|9DMSP|aDMG
80	62462 12132	   	185.62	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8LHND|9DMSP|aLWND
81	62462 12133	   	185.62	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8LHND|9DMSP|aLIT
82	62462 11112	   	185.52	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7LHND|8LWND|9ASPD|aERES
83	62462 11113	   	185.52	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7LHND|8LWND|9ASPD|aDUST
84	62462 11222	   	185.52	ACR|1BASARM|1VULN|1DMG|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7LHND|8ZMB|9ERES|aDMG
85	62462 12123	   	185.52	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8LHND|9ERES|aFEWX
86	62462 12131	   	185.52	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8LHND|9DMSP|aNUKE
87	62462 12211	   	185.52	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8DUST|9FEWX|aCGEN
88	62462 12212	   	185.42	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8DUST|9FEWX|aERES
89	62462 12221	   	185.42	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8DUST|9ERES|aFEWX
90	62462 12231	   	185.42	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8DUST|9LEGI|aCGEN
91	62462 13212	   	185.42	ACR|1BASARM|1VULN|1DMG|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ERES|8DLOT|9DMG|aRMIN
92	62462 13213	   	185.42	ACR|1BASARM|1VULN|1DMG|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ERES|8DLOT|9DMG|aDUR
93	62462 13321	   	185.42	ACR|1BASARM|1VULN|1DMG|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|79ERES|8DUR|aDMG
94	62462 12232	   	185.32	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8DUST|9LEGI|aERES
95	62462 13121	   	185.32	ACR|1BASARM|1VULN|1DMG|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|79ERES|8LEGI|aDMG
96	53121 63142	   	185.01	DCR|2VULN|3DMG|2AART|1AAC	1MDPS|247DMG|34VULN|4BPWR|5AAC|68AART|9CGEN|aRCR
97	53121 63125	   	184.91	DCR|2VULN|3DMG|2AART|1AAC	1MDPS|247DMG|34VULN|4BPWR|5AAC|68AART|9DUST|aRCR
98	32432 61225	 * 	184.81	ACR|2VULN|2ASPD|1AART|1BEXP|1SELL	1BELT|2RCVC|3RPLT|49ASPD|5RCR|69VULN|7SELL|8AART|9BPWR|aBEXP
99	62661 12133	 * 	184.76	ACR|2DMG|1VULN|2BEXP|1AART	1VULN|2SNIFST|34DMG|5RCR|6RCVC|7aBEXP|8AART|9SNITOX
100	61516 32113	   	184.40	ACR|3VULN|2BEXP|1DMG|1CDMG	16aVULN|2AEMAG|3DMSP|4RCR|5DMG|78BEXP|9CDMG
101	34533 12327	 * 	184.35	DCR|2VULN|2ASPD|2DMG|1AART	1BELT|2MBVNT|3AART|49DMG|56ASPD|79VULN|89LHND|9BPWR|aRCR
102	61616 32111	   	184.30	ACR|3VULN|2BEXP|1DMG|1CDMG	136VULN|2AEMAG|4RCR|5DMG|78BEXP|9CDMG|aAME
103	21321 46135	 * 	183.76	ACR|1BASARM|2ASPD|1VULN	17CGEN|26ZMB|3MDPS|46ASPD|5RCR|6BPWR|8MLV|9BASARM|aVULN
104	62412 13333	   	183.62	ACR|1BASARM|1VULN|1DMG|1AART	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7CGEN|8AART|9LWND|aDMG
105	62412 13363	   	183.62	ACR|1BASARM|1VULN|1DMG|1AART	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7CGEN|8AART|9LHND|aDMG
106	62412 15323	   	183.62	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7ASPD|8AART|9CGEN|aLHND
107	62412 15312	   	183.52	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|49DUST|5RCR|6RPLT|7ASPD|8AART|aCGEN
108	62412 15313	   	183.52	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|49DUST|5RCR|6RPLT|7ASPD|8AART|aLHND
109	62412 15321	   	183.52	ACR|1BASARM|1VULN|1ASPD|1AART	1VULN|2SNIFST|3BASARM|4aDUST|5RCR|6RPLT|7ASPD|8AART|9CGEN
110	62412 16211	   	183.46	ACR|1BASARM|2ASPD|1VULN	1VULN|2SNIFST|3BASARM|4DUST|5RCR|69RPLT|7MULARM|8aASPD
111	62412 21152	   	183.46	ACR|1BASARM|2ASPD|1VULN	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6CGEN|7TLV|89ASPD|aLIT
112	62412 22152	   	183.46	ACR|1BASARM|2ASPD|1VULN	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6CGEN|7ERES|89ASPD|aLIT
113	62412 21151	   	183.36	ACR|1BASARM|2ASPD|1VULN	1VULN|2SNIFST|3BASARM|4aDUST|5RCR|6CGEN|7TLV|89ASPD
114	62412 21153	   	183.36	ACR|1BASARM|2ASPD|1VULN	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6CGEN|7TLV|89ASPD|aAME
115	62412 21613	   	183.36	ACR|1BASARM|2DMG|1VULN	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6CGEN|7TLV|8aDMG|9MSLFST
116	62412 22151	   	183.36	ACR|1BASARM|2ASPD|1VULN	1VULN|2SNIFST|3BASARM|4aDUST|5RCR|6CGEN|7ERES|89ASPD
117	62412 22153	   	183.36	ACR|1BASARM|2ASPD|1VULN	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6CGEN|7ERES|89ASPD|aAME
118	62661 12211	 * 	182.86	ACR|3DMG|1VULN|2BEXP	1VULN|2SNIFST|34aDMG|5RCR|6RCVC|78BEXP|9RMIN
119	62412 63133	   	182.84	ACR|1BASARM|2VULN|1BEXP|1CDMG	1aVULN|2SNIFST|3BASARM|4DUST|5RCR|6CDMG|7LWND|8BEXP|9CGEN
120	53521 13622	   	182.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MDPS|2DMG|37TLV|4ASPD|5RCR|6LWND|8CDMG|9BASARM|aDUR
121	53521 52321	   	182.72	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2DMG|36TLV|4ASPD|5RCR|7RPLT|8AEFBLL|9BASARM|aBEXP
122	53521 13623	   	182.58	ACR|1BASARM|1ASPD|1DMG|1CDMG|1SELL	1MDPS|2DMG|37TLV|4ASPD|5RCR|6LWND|8CDMG|9BASARM|aSELL
123	62412 14242	   	182.28	ACR|1BASARM|1VULN|1DMG|1AART|1SELL	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7SELL|8MBVNT|9AART|aDMG
124	61616 12211	   	182.21	ACR|2VULN|1DMG|1AART|1BEXP|1CDMG	13VULN|2AEMAG|4RCR|5DMG|6LHND|7CDMG|8AART|9LWND|aBEXP
125	61616 22211	   	182.11	ACR|2VULN|1DMG|1AART|1BEXP|1CDMG	13VULN|26AEMAG|4RCR|5DMG|7CDMG|8AART|9LWND|aBEXP
126	55431 32322	   	182.01	ACR|2VULN|2DMG|1CDMG|1AAC	12MDPS|3RCR|48DMG|5AAC|69VULN|7CDMG|aRCVC
