0	Index      	 *	Score 	Summary	Detail	
1	11661 13522	 * 	219.16	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1BEXP|2DUST|3ASPD|4RCR|5VENFST|6RPLT|78DMG|9CDMG|aBASARM
29	13362 22233	   	191.44	ACR|1BASARM|2BEXP|1ASPD|1AART	12BEXP|3RMIN|4AART|5RCR|6RPLT|7ASPD|8MDPS|9BASARM|aCGEN
30	13362 22235	   	191.44	ACR|1BASARM|2BEXP|1ASPD|1AART	12BEXP|3RMIN|4AART|5RCR|6aRPLT|7ASPD|8MDPS|9BASARM
31	13362 22236	   	191.44	ACR|1BASARM|2BEXP|1ASPD|1AART	12BEXP|3RMIN|4AART|5RCR|6RPLT|7ASPD|8MDPS|9BASARM|aFEWX
32	13362 22232	   	191.34	ACR|1BASARM|2BEXP|1ASPD|1AART	12BEXP|3RMIN|4AART|5RCR|6RPLT|7ASPD|8MDPS|9BASARM|aERES
33	13362 22234	   	191.34	ACR|1BASARM|2BEXP|1ASPD|1AART	12BEXP|3RMIN|4AART|5RCR|6RPLT|7ASPD|8MDPS|9BASARM|aDUST
34	32363 41223	 * 	190.79	ACR|1BASARM|4VULN|1AART	1589VULN|2NUKE|35FEWX|4RCR|5BPWR|6ERES|7AART|aBASARM
35	12232 31132	   	190.03	ACR|1BASARM|2BEXP|1AART|1CDMG	18BEXP|2NUKE|3LIT|4RCR|5RPLT|6AART|7LWND|9CDMG|aBASARM
36	12232 34132	   	190.03	ACR|1BASARM|2BEXP|1AART|1CDMG	18BEXP|2NUKE|3LIT|4RCR|5RPLT|6AART|7LHND|9CDMG|aBASARM
37	53661 11132	   	189.91	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	19DUR|2BEXP|3ASPD|4RCR|5VENFST|6RPLT|7AAC|8CDMG|aBASARM
38	25563 32232	   	189.81	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC	1LHND|2CDMG|3MBVNT|4RCR|5ZMB|6AART|7ASPD|8MDPS|9BASARM|aAAC
39	12232 24336	   	189.73	ACR|1BASARM|2BEXP|1ASPD	1aBEXP|2NUKE|3LIT|4RCR|5RPLT|6CGEN|7BASARM|8ASPD|9VULN
40	16661 32312	 * 	189.69	ACR|2ASPD|2DMG|2BEXP	1aBEXP|2FEWX|3aASPD|4RCR|5VENFST|6BELT|7LWND|8NUKE|9aDMG|aBPWR
41	16663 32312	   	189.69	ACR|2ASPD|2DMG|2BEXP	1aBEXP|2FEWX|3aASPD|4RCR|5LSRICY|6BELT|7LWND|8NUKE|9aDMG|aBPWR
42	35335 21163	 * 	189.64	ACR|2BASICY|2VULN|1ASPD|1DMG|2CDMG	18VULN|27CDMG|3RCVC|48ZMB|5RCR|68BASICY|8BPWR|9ASPD|aDMG
43	11661 32312	   	189.59	ACR|2ASPD|2DMG|2BEXP	1aBEXP|2DUST|3aASPD|4RCR|5VENFST|6BELT|7LWND|8NUKE|9aDMG|aBPWR
44	11666 32312	   	189.59	ACR|2ASPD|2DMG|2BEXP	1aBEXP|2DUST|3aASPD|4RCR|5SNIHEL|6BELT|7LWND|8NUKE|9aDMG|aBPWR
45	11662 62211	   	189.53	ACR|1BASARM|2BEXP|1ASPD	19BEXP|2DUST|3ASPD|4RCR|5FEWX|6BASARM|7MULARM|8TLV|aVULN
46	44223 16231	 * 	189.26	ACR|2ASPD|3VULN|1BASICY|1CDMG	1MDPS|289VULN|39LIT|4RCR|5CDMG|6LWND|79ASPD|9BPWR|aBASICY
