0	Index      	 *	Score 	Summary	Detail	
1	12151 52323	 * 	310.56	DCR|3LIT|2MLV|2DMG|1VULN	19aLIT|2RPLT|39MLV|4ZMB|5VULN|6RCR|7RCVC|89DMG|9BPWR
22	16361 31313	   	287.37	DCR|2LIT|3VULN|1MLV|1DMG	12LIT|2BPWR|3MLV|45CGEN|6RCR|79aVULN|8DMG
23	16436 31313	   	287.37	DCR|2LIT|3VULN|1MLV|1DMG	12LIT|2BPWR|3RMIN|4DMSP|5MLV|6RCR|79aVULN|8DMG
24	12151 52321	   	284.62	DCR|2LIT|2MLV|2DMG|1VULN	19LIT|2RPLT|39MLV|4ZMB|5VULN|6RCR|7RCVC|89DMG|9BPWR|aLHND
25	12151 52322	   	284.62	DCR|2LIT|2MLV|2DMG|1VULN	19LIT|2RPLT|39MLV|4ZMB|5VULN|6RCR|7RCVC|89DMG|9BPWR|aCGEN
26	12151 52324	   	284.62	DCR|2LIT|2MLV|2DMG|1VULN	19LIT|2RPLT|39MLV|4ZMB|5VULN|6RCR|7RCVC|89DMG|9BPWR|aBEXP
27	12151 52325	   	284.47	DCR|2LIT|2MLV|2DMG|1VULN	19LIT|2RPLT|39MLV|4ZMB|5VULN|6RCR|7RCVC|89DMG|9BPWR|aLSRHEA
28	12151 52326	   	284.47	DCR|2LIT|2MLV|2DMG|1VULN	19LIT|2RPLT|39MLV|4ZMB|5VULN|6RCR|7RCVC|89DMG|9BPWR|aERES
29	16313 55122	   	282.83	DCR|3LIT|2MLV|2VULN	127LIT|279BPWR|39MLV|47LWND|579BASHEA|6RCR|89VULN|aLHND
30	16313 55123	   	282.83	DCR|3LIT|2MLV|2VULN	127LIT|279BPWR|39MLV|47LWND|579BASHEA|6RCR|89VULN|aRCVC
31	16335 31314	   	282.52	DCR|3LIT|2VULN|1MLV|1DMG	12aLIT|2BPWR|3MLV|4DMSP|5CGEN|6RCR|79VULN|8DMG
32	16361 31314	   	282.52	DCR|3LIT|2VULN|1MLV|1DMG	12aLIT|2BPWR|3MLV|45CGEN|6RCR|79VULN|8DMG
33	16335 31323	   	282.52	DCR|3LIT|2VULN|1MLV|1DMG	129LIT|2BPWR|3MLV|4DMSP|5CGEN|6RCR|7aVULN|8DMG
34	16361 31323	   	282.52	DCR|3LIT|2VULN|1MLV|1DMG	129LIT|2BPWR|3MLV|45CGEN|6RCR|7aVULN|8DMG
35	21613 21321	   	282.46	DCR|3LIT|3DMG|1VULN|1MLV	1LWND|248DMG|349LIT|4BPWR|5MLV|6RCVC|7VULN|aRCR
36	41613 16321	   	282.46	DCR|3LIT|3DMG|1VULN|1MLV	17LHND|248DMG|349LIT|4BPWR|5MLV|6VULN|aRCR
37	41613 21321	   	282.46	DCR|3LIT|3DMG|1VULN|1MLV	1LHND|248DMG|349LIT|4BPWR|5MLV|6RCVC|7VULN|aRCR
38	41613 52221	   	282.46	DCR|3LIT|3DMG|1VULN|1MLV	17LHND|246DMG|349LIT|4BPWR|5MLV|8VULN|aRCR
39	21633 51321	   	282.36	DCR|3LIT|3DMG|1VULN|1MLV	1LWND|268DMG|349LIT|5MLV|7VULN|aRCR
40	41633 51321	   	282.36	DCR|3LIT|3DMG|1VULN|1MLV	1LHND|268DMG|349LIT|5MLV|7VULN|aRCR
