0	Index      	 *	Score 	Summary	Detail	
1	12112 11542	 * 	282.12	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1DUST|27LIT|36VULN|4ASPD|5DMG|8RCR|9ZMB|aMLV
31	32522 52532	   	267.76	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1LEGI|2BELT|38VULN|4LIT|5ASPD|6CDMG|7RCR|9DMG|aMLV
32	45523 11211	   	267.66	DCR|2LIT|3VULN|2DMG|1DUR	157MGNSTR|27DMG|3LHND|458VULN|57BPWR|67LIT|9RCR|aDUR
33	12112 12546	   	267.61	DCR|2LIT|2VULN|2DMG|1ASPD	1DUST|2aLIT|36VULN|4ASPD|57DMG|8RCR|9ZMB
34	12112 32543	   	267.61	DCR|2LIT|2VULN|2DMG|1ASPD	1DUST|26LIT|3aVULN|4ASPD|57DMG|8RCR|9ZMB
35	21441 51323	   	267.52	DCR|3LIT|2VULN|2ASPD|1AART	18TLV|2FEWX|367LIT|48VULN|58ASPD|8BPWR|9RCR|aAART
36	12112 11546	   	267.32	DCR|3LIT|2VULN|1DMG|1ASPD	1DUST|27aLIT|36VULN|4ASPD|5DMG|8RCR|9ZMB
37	53532 12141	   	267.07	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1DMSP|26VULN|38LIT|4LHND|5ASPD|7CDMG|9RCR|aMLV
38	12612 12141	   	266.96	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1DUST|28LIT|3RCVC|46VULN|5ASPD|7CDMG|9RCR|aMLV
39	12612 32541	   	266.96	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1DUST|26LIT|3RCVC|48VULN|5ASPD|7CDMG|9RCR|aMLV
40	53162 12141	   	266.96	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1DMSP|26VULN|3DUST|48LIT|5ASPD|7CDMG|9RCR|aMLV
41	12112 12543	   	266.88	DCR|3VULN|1LIT|2DMG|1ASPD	1DUST|2LIT|36aVULN|4ASPD|57DMG|8RCR|9ZMB
42	12115 12141	   	266.87	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	15DUST|28LIT|36VULN|4ASPD|7CDMG|9RCR|aMLV
43	12115 32541	   	266.86	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	15DUST|26LIT|38VULN|4ASPD|7CDMG|9RCR|aMLV
44	12245 12315	   	266.84	ACR|3LIT|3VULN|1MLV	14DUST|248LIT|3RCR|4BPWR|5MLV|679VULN|aZMB
45	12612 12541	   	266.23	DCR|3VULN|1LIT|1MLV|1CDMG|1ASPD	1DUST|2LIT|3RCVC|468VULN|5ASPD|7CDMG|9RCR|aMLV
46	12161 11156	 * 	266.17	DCR|3LIT|4VULN	1DUST|257LIT|356aVULN|4LEGI|5BPWR|8RCVC|9RCR
47	12161 11652	   	266.17	DCR|3LIT|4VULN	1DUST|257LIT|3568VULN|4LEGI|5BPWR|9RCR|aRMIN
48	12161 11653	   	266.17	DCR|3LIT|4VULN	1DUST|257LIT|3568VULN|4LEGI|5BPWR|9RCR|aRCVC
49	12115 12541	   	266.13	DCR|3VULN|1LIT|1MLV|1CDMG|1ASPD	15DUST|2LIT|368VULN|4ASPD|7CDMG|9RCR|aMLV
50	12161 11651	   	266.07	DCR|3LIT|4VULN|1DUR	1DUST|257LIT|3568VULN|4LEGI|5BPWR|9RCR|aDUR
51	53512 22111	   	265.75	DCR|2LIT|2VULN|1MLV|1CDMG	1DMSP|24VULN|38LIT|5ZMB|6RCR|7CDMG|9LHND|aMLV
52	31223 11162	   	265.66	DCR|2LIT|3VULN|2DMG	1LEGI|27DMG|35CANSTR|457VULN|57BPWR|67LIT|8LHND|9LWND|aRCR
53	31223 11152	   	265.56	DCR|2LIT|3VULN|2DMG|1DUR	1LEGI|27DMG|35CANSTR|457VULN|57BPWR|67LIT|8LHND|9DUR|aRCR
54	31125 52423	   	265.44	DCR|3VULN|1LIT|3DMG|1DUR	1LEGI|258DMG|3DUR|4LIT|6RCR|79aVULN
55	53123 62336	   	265.40	DCR|2LIT|3VULN|1MLV	1DMSP|256VULN|3DUST|4MLV|7RCR|8BEXP|9aLIT
56	12112 11521	   	265.22	DCR|2LIT|3VULN|1DMG|1ASPD	1DUST|27LIT|369VULN|4ASPD|5DMG|8RCR|aCGEN
57	12112 11524	   	265.22	DCR|2LIT|3VULN|1DMG|1ASPD	1DUST|27LIT|369VULN|4ASPD|5DMG|8RCR|aBEXP
58	12112 11525	   	265.22	DCR|2LIT|3VULN|1DMG|1ASPD	1DUST|27LIT|369VULN|4ASPD|5DMG|8RCR|aFRZICY
59	12112 11566	   	265.22	DCR|2LIT|3VULN|1DMG|1ASPD	1DUST|27LIT|36aVULN|4ASPD|5DMG|8RCR|9LHND
60	31441 11521	   	265.22	DCR|2LIT|3VULN|1DMG|1ASPD	1LEGI|2DMG|37LIT|469VULN|5ASPD|8RCR|aCGEN
61	31443 21522	   	265.22	DCR|2LIT|3VULN|1DMG|1ASPD	1LEGI|2DMG|37LIT|469VULN|5CGEN|8RCR|aASPD
62	33442 11521	   	265.22	DCR|2LIT|3VULN|1DMG|1ASPD	1LEGI|2ASPD|37LIT|469VULN|5DMG|8RCR|aCGEN
63	12112 11516	   	265.12	DCR|2LIT|3VULN|1DMG|1ASPD|1DUR	1DUST|27LIT|36aVULN|4ASPD|5DMG|8RCR|9DUR
64	12112 11522	   	265.12	DCR|2LIT|3VULN|1DMG|1ASPD	1DUST|27LIT|369VULN|4ASPD|5DMG|8RCR|aERES
65	12112 11523	   	265.12	DCR|2LIT|3VULN|1DMG|1ASPD	1DUST|27LIT|369VULN|4ASPD|5DMG|8RCR|aLSRHEA
66	12112 11526	   	265.12	DCR|2LIT|3VULN|1DMG|1ASPD	1DUST|27LIT|369VULN|4ASPD|5DMG|8RCR|aTSLARM
67	31441 11522	   	265.12	DCR|2LIT|3VULN|1DMG|1ASPD	1LEGI|2DMG|37LIT|469VULN|5ASPD|8RCR|aERES
68	31441 11523	   	265.12	DCR|2LIT|3VULN|1DMG|1ASPD	1LEGI|2DMG|37LIT|469VULN|5ASPD|8RCR|aLSRHEA
69	33442 11522	   	265.12	DCR|2LIT|3VULN|1DMG|1ASPD	1LEGI|2ASPD|37LIT|469VULN|5DMG|8RCR|aERES
70	33442 11523	   	265.12	DCR|2LIT|3VULN|1DMG|1ASPD	1LEGI|2ASPD|37LIT|469VULN|5DMG|8RCR|aLSRHEA
71	53512 22511	   	265.02	DCR|3VULN|1LIT|1MLV|1CDMG	1DMSP|248VULN|3LIT|5ZMB|6RCR|7CDMG|9LHND|aMLV
72	31446 13212	 * 	264.76	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	1LEGI|2DMG|3LIT|46VULN|5MLV|7RPLT|8RCR|9aASPD
73	12111 12144	   	264.62	DCR|3LIT|2VULN|2ASPD|1CDMG	1DUST|28aLIT|36VULN|45ASPD|7CDMG|9RCR
74	12111 32544	   	264.62	DCR|3LIT|2VULN|2ASPD|1CDMG	1DUST|26aLIT|38VULN|45ASPD|7CDMG|9RCR
75	12123 22346	   	263.91	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD|1SELL	1DUST|2LIT|3aVULN|4SELL|5ASPD|6MLV|7DMG|8CDMG|9RCR
76	12116 31415	   	263.72	DCR|3LIT|2VULN|1DMG|1ASPD	1DUST|267LIT|39VULN|4ASPD|5ZMB|8DMG|aRCR
77	12116 32615	   	263.72	DCR|3LIT|2VULN|1DMG|1ASPD	1DUST|268LIT|39VULN|4ASPD|5ZMB|7DMG|aRCR
78	12111 12146	   	263.58	DCR|2LIT|2VULN|2ASPD|1AART|1CDMG	1DUST|28LIT|36VULN|45ASPD|7CDMG|9RCR|aAART
79	12111 32546	   	263.58	DCR|2LIT|2VULN|2ASPD|1AART|1CDMG	1DUST|26LIT|38VULN|45ASPD|7CDMG|9RCR|aAART
80	33441 32134	   	262.82	DCR|3LIT|2VULN|2ASPD|1CDMG	1LEGI|25ASPD|368LIT|49VULN|7CDMG|aRCR
81	33523 51413	 * 	262.67	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD	1LEGI|2ASPD|3BEXP|467LIT|5MLV|8DMG|9VULN|aRCR
82	33523 52613	   	262.67	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD	1LEGI|2ASPD|3BEXP|468LIT|5MLV|7DMG|9VULN|aRCR
83	31443 31351	   	262.62	DCR|3LIT|2VULN|2DMG|1DUR	1LEGI|28DMG|367LIT|48VULN|58CGEN|8BPWR|9RCR|aDUR
84	31443 31352	   	262.62	DCR|3LIT|2VULN|2DMG	1LEGI|28DMG|367LIT|48VULN|58CGEN|8BPWR|9RCR|aDUST
85	33123 51413	   	262.57	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1LEGI|2ASPD|3DUR|467LIT|5MLV|8DMG|9VULN|aRCR
86	33123 52613	   	262.57	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1LEGI|2ASPD|3DUR|468LIT|5MLV|7DMG|9VULN|aRCR
87	33421 51413	   	262.57	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1LEGI|2ASPD|367LIT|4MLV|5DUR|8DMG|9VULN|aRCR
88	33421 52613	   	262.57	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1LEGI|2ASPD|368LIT|4MLV|5DUR|7DMG|9VULN|aRCR
89	33424 21413	   	262.57	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1LEGI|2ASPD|357LIT|4MLV|6DUR|8DMG|9VULN|aRCR
90	33424 22613	   	262.57	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1LEGI|2ASPD|358LIT|4MLV|6DUR|7DMG|9VULN|aRCR
91	12121 12113	 * 	262.35	DCR|3VULN|1LIT|1MLV|1DMG|1SELL	1DUST|2LIT|38aVULN|4SELL|5DMG|6VENTOX|7RCR|9MLV
92	53552 21221	   	262.31	DCR|2LIT|3VULN|1DMG	1DMSP|249VULN|34LIT|4BPWR|5ZMB|6RCR|7BEXP|8DMG|aCGEN
93	53552 21233	   	262.31	DCR|2LIT|3VULN|1DMG	1DMSP|24aVULN|34LIT|4BPWR|5ZMB|6RCR|7BEXP|8DMG|9TLV
94	53552 23224	   	262.21	DCR|2LIT|3VULN|1DMG	1DMSP|248VULN|34LIT|4BPWR|5ZMB|6RCR|7BELT|9MBVNT|aDMG
95	53552 21222	   	262.21	DCR|2LIT|3VULN|1DMG	1DMSP|249VULN|34LIT|4BPWR|5ZMB|6RCR|7BEXP|8DMG|aERES
96	53552 21223	   	262.21	DCR|2LIT|3VULN|1DMG	1DMSP|249VULN|34LIT|4BPWR|5ZMB|6RCR|7BEXP|8DMG|aLSRHEA
97	12116 11532	   	262.05	DCR|2LIT|2VULN|1MLV|1ASPD	1DUST|27LIT|36VULN|4ASPD|5ZMB|8RCR|9TLV|aMLV
98	12151 21542	   	262.05	DCR|2LIT|2VULN|1MLV|1ASPD	1DUST|27LIT|36VULN|4CGEN|5ASPD|8RCR|9ZMB|aMLV
99	12341 21542	   	262.05	DCR|2LIT|2VULN|1MLV|1ASPD	1DUST|27LIT|3CGEN|46VULN|5ASPD|8RCR|9ZMB|aMLV
100	12245 11253	 * 	261.91	ACR|2LIT|1FLTARM|1VULN|1MLV|1AART|1CDMG	14DUST|24LIT|3RCR|4BPWR|5MLV|6VULN|7CGEN|8FLTARM|9CDMG|aAART
101	53123 62226	 * 	261.60	DCR|4VULN|1LIT|1MLV	1DMSP|2568VULN|3DUST|4MLV|7RCR|9BLASTR|aLIT
102	12621 31521	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1DUST|27LIT|3RCVC|4DMG|5MLV|69VULN|8RCR|aCGEN
103	12621 31523	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1DUST|27LIT|3RCVC|4DMG|5MLV|69VULN|8RCR|aGSSTOX
104	12621 31524	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1DUST|27LIT|3RCVC|4DMG|5MLV|69VULN|8RCR|aBEXP
105	12213 51415	   	261.52	ACR|3LIT|1VULN|1MLV|1DMG|1AART|1ASPD	1DUST|267LIT|3RCR|4ASPD|5MLV|8DMG|9VULN|aAART
106	12213 52615	   	261.52	ACR|3LIT|1VULN|1MLV|1DMG|1AART|1ASPD	1DUST|268LIT|3RCR|4ASPD|5MLV|7DMG|9VULN|aAART
107	12242 31415	   	261.52	ACR|3LIT|1VULN|1MLV|1DMG|1AART|1ASPD	14DUST|247LIT|3RCR|4BPWR|5ASPD|6MLV|8DMG|9VULN|aAART
108	12242 32615	   	261.52	ACR|3LIT|1VULN|1MLV|1DMG|1AART|1ASPD	14DUST|248LIT|3RCR|4BPWR|5ASPD|6MLV|7DMG|9VULN|aAART
109	12621 31522	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1DUST|27LIT|3RCVC|4DMG|5MLV|69VULN|8RCR|aERES
110	12621 31525	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1DUST|27LIT|3RCVC|4DMG|5MLV|69VULN|8RCR|aSPLARM
111	12621 31526	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1DUST|27LIT|3RCVC|4DMG|5MLV|69VULN|8RCR|aLSRHEA
112	33422 11526	 * 	261.33	DCR|2LIT|1VULN|1MLV|2ASPD|1NUKE	1LEGI|25ASPD|37LIT|4MLV|6DUST|8RCR|9VULN|aNUKE
113	33422 21536	   	261.33	DCR|2LIT|1VULN|1MLV|2ASPD|1NUKE|1DUR	1LEGI|25ASPD|37LIT|4MLV|6DUR|8RCR|9VULN|aNUKE
114	12111 22616	   	261.21	DCR|2LIT|3VULN|2ASPD	1DUST|28LIT|37aVULN|45ASPD|6RCR|9BELT
115	31221 11462	   	260.88	DCR|2LIT|2VULN|3DMG	1LEGI|257DMG|3CANSTR|47VULN|67LIT|7BPWR|8SNITOX|9RCR|aBEXP
116	31221 11466	   	260.88	DCR|2LIT|2VULN|3DMG	1LEGI|257DMG|3CANSTR|47VULN|67LIT|7BPWR|8SNITOX|9RCR|aFEWX
117	31526 12116	 * 	260.80	DCR|3VULN|1LIT|1MLV|1DMG	1LEGI|2DMG|3BEXP|4LIT|5MLV|69aVULN|7LWND|8RCR
118	31221 11465	   	260.78	DCR|2LIT|2VULN|3DMG	1LEGI|257DMG|3CANSTR|47VULN|67LIT|7BPWR|8SNITOX|9RCR|aERES
119	31421 12116	   	260.70	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1LEGI|2DMG|3LIT|4MLV|5DUR|69aVULN|7LWND|8RCR
120	31423 12116	   	260.70	DCR|3VULN|1LIT|1MLV|1DMG	1LEGI|2DMG|3LIT|4MLV|5DUST|69aVULN|7LWND|8RCR
121	12112 12536	   	260.67	DCR|2LIT|2VULN|2DMG|1ASPD	1DUST|2aLIT|36VULN|4ASPD|57DMG|8RCR|9TLV
122	12112 32521	   	260.67	DCR|2LIT|2VULN|2DMG|1ASPD	1DUST|26LIT|39VULN|4ASPD|57DMG|8RCR|aCGEN
123	12112 32524	   	260.67	DCR|2LIT|2VULN|2DMG|1ASPD	1DUST|26LIT|39VULN|4ASPD|57DMG|8RCR|aBEXP
124	12112 32525	   	260.67	DCR|2LIT|2VULN|2DMG|1ASPD	1DUST|26LIT|39VULN|4ASPD|57DMG|8RCR|aFRZICY
125	12112 32566	   	260.67	DCR|2LIT|2VULN|2DMG|1ASPD	1DUST|26LIT|3aVULN|4ASPD|57DMG|8RCR|9LHND
126	31443 32522	   	260.67	DCR|2LIT|2VULN|2DMG|1ASPD	1LEGI|27DMG|36LIT|49VULN|5CGEN|8RCR|aASPD
127	12112 32516	   	260.57	DCR|2LIT|2VULN|2DMG|1ASPD|1DUR	1DUST|26LIT|3aVULN|4ASPD|57DMG|8RCR|9DUR
128	12112 32522	   	260.57	DCR|2LIT|2VULN|2DMG|1ASPD	1DUST|26LIT|39VULN|4ASPD|57DMG|8RCR|aERES
129	12112 32523	   	260.57	DCR|2LIT|2VULN|2DMG|1ASPD	1DUST|26LIT|39VULN|4ASPD|57DMG|8RCR|aLSRHEA
130	12112 32526	   	260.57	DCR|2LIT|2VULN|2DMG|1ASPD	1DUST|26LIT|39VULN|4ASPD|57DMG|8RCR|aTSLARM
131	31121 52536	   	260.57	DCR|2LIT|2VULN|2DMG|1ASPD|1DUR	1LEGI|27DMG|3DUR|46LIT|5ASPD|8RCR|9aVULN
132	33122 52536	   	260.57	DCR|2LIT|2VULN|2DMG|1ASPD|1DUR	1LEGI|2ASPD|3DUR|46LIT|57DMG|8RCR|9aVULN
133	12112 11536	   	260.38	DCR|3LIT|2VULN|1DMG|1ASPD	1DUST|27aLIT|36VULN|4ASPD|5DMG|8RCR|9TLV
134	53512 12141	   	260.35	DCR|2LIT|2VULN|1MLV|1CDMG	1DMSP|24VULN|38LIT|5ZMB|6FEWX|7CDMG|9RCR|aMLV
135	53134 12141	   	260.25	DCR|2LIT|2VULN|1MLV|1CDMG	1DMSP|26VULN|3DUST|4ZMB|58LIT|7CDMG|9RCR|aMLV
136	13453 13342	   	260.10	DCR|2LIT|3VULN|1MLV	17DUST|2RMIN|37LIT|4LWND|5MLV|679VULN|7BPWR|8BEXP|aRCR
137	13421 13222	   	260.00	DCR|2LIT|3VULN|1MLV|1DUR	17DUST|2RMIN|37LIT|4MLV|5DUR|679VULN|7BPWR|8FEWX|aRCR
138	13453 13142	   	260.00	DCR|2LIT|3VULN|1MLV|1DUR	17DUST|2RMIN|37LIT|4LWND|5MLV|679VULN|7BPWR|8DUR|aRCR
139	12245 12233	   	260.00	ACR|3LIT|3VULN|1MLV	14aDUST|24aLIT|3RCR|4aBPWR|5MLV|678VULN|9aTLV
140	12112 12521	   	259.94	DCR|3VULN|1LIT|2DMG|1ASPD	1DUST|2LIT|369VULN|4ASPD|57DMG|8RCR|aCGEN
141	12112 12524	   	259.94	DCR|3VULN|1LIT|2DMG|1ASPD	1DUST|2LIT|369VULN|4ASPD|57DMG|8RCR|aBEXP
142	12112 12525	   	259.94	DCR|3VULN|1LIT|2DMG|1ASPD	1DUST|2LIT|369VULN|4ASPD|57DMG|8RCR|aFRZICY
143	12112 12566	   	259.94	DCR|3VULN|1LIT|2DMG|1ASPD	1DUST|2LIT|36aVULN|4ASPD|57DMG|8RCR|9LHND
144	31441 12521	   	259.94	DCR|3VULN|1LIT|2DMG|1ASPD	1LEGI|27DMG|3LIT|469VULN|5ASPD|8RCR|aCGEN
145	31443 22522	   	259.94	DCR|3VULN|1LIT|2DMG|1ASPD	1LEGI|27DMG|3LIT|469VULN|5CGEN|8RCR|aASPD
146	33442 12521	   	259.94	DCR|3VULN|1LIT|2DMG|1ASPD	1LEGI|2ASPD|3LIT|469VULN|57DMG|8RCR|aCGEN
147	12245 12216	   	259.90	ACR|3LIT|3VULN|1MLV	14DUST|24aLIT|3RCR|4BPWR|5MLV|678VULN|9FEWX
148	12245 12226	   	259.90	ACR|3LIT|3VULN|1MLV	14DUST|24aLIT|3RCR|4BPWR|5MLV|678VULN|9BEXP
149	12245 12311	   	259.90	ACR|3LIT|3VULN|1MLV	14DUST|248LIT|3RCR|4BPWR|5MLV|679VULN|aDMSP
150	12245 12316	   	259.90	ACR|3LIT|3VULN|1MLV	14DUST|248LIT|3RCR|4BPWR|5MLV|679VULN|aLWND
151	12112 12516	   	259.84	DCR|3VULN|1LIT|2DMG|1ASPD|1DUR	1DUST|2LIT|36aVULN|4ASPD|57DMG|8RCR|9DUR
152	12112 12522	   	259.84	DCR|3VULN|1LIT|2DMG|1ASPD	1DUST|2LIT|369VULN|4ASPD|57DMG|8RCR|aERES
153	12112 12523	   	259.84	DCR|3VULN|1LIT|2DMG|1ASPD	1DUST|2LIT|369VULN|4ASPD|57DMG|8RCR|aLSRHEA
154	12112 12526	   	259.84	DCR|3VULN|1LIT|2DMG|1ASPD	1DUST|2LIT|369VULN|4ASPD|57DMG|8RCR|aTSLARM
155	31441 12522	   	259.84	DCR|3VULN|1LIT|2DMG|1ASPD	1LEGI|27DMG|3LIT|469VULN|5ASPD|8RCR|aERES
156	31441 12523	   	259.84	DCR|3VULN|1LIT|2DMG|1ASPD	1LEGI|27DMG|3LIT|469VULN|5ASPD|8RCR|aLSRHEA
157	33442 12522	   	259.84	DCR|3VULN|1LIT|2DMG|1ASPD	1LEGI|2ASPD|3LIT|469VULN|57DMG|8RCR|aERES
158	33442 12523	   	259.84	DCR|3VULN|1LIT|2DMG|1ASPD	1LEGI|2ASPD|3LIT|469VULN|57DMG|8RCR|aLSRHEA
159	12245 12312	   	259.80	ACR|3LIT|3VULN|1MLV	14DUST|248LIT|3RCR|4BPWR|5MLV|679VULN|aSPLARM
160	12245 12314	   	259.80	ACR|3LIT|3VULN|1MLV	14aDUST|248LIT|3RCR|4BPWR|5MLV|679VULN
161	31125 52161	   	259.74	DCR|1LIT|2VULN|2DMG|1MLV|1DUR	1LEGI|25DMG|3DUR|4LIT|6RCR|79VULN|8FEWX|aMLV
162	31125 52361	   	259.74	DCR|1LIT|2VULN|2DMG|1MLV|1DUR	1LEGI|25DMG|3DUR|4LIT|6RCR|79VULN|8BEXP|aMLV
163	12161 13423	   	259.66	DCR|2LIT|3VULN|1MLV|1DUR|1SELL	1DUST|25LIT|356VULN|4LEGI|5BPWR|7DUR|8MLV|9SELL|aRCR
164	53512 21226	 * 	259.40	DCR|3VULN|1LIT|1DMG|1NUKE	1DMSP|249VULN|3LIT|5ZMB|6RCR|7BEXP|8DMG|aNUKE
165	45521 11232	   	259.38	DCR|2LIT|2VULN|3DMG	17MGNSTR|257DMG|3LHND|48VULN|67LIT|7BPWR|9LWND|aRCR
166	31221 11362	   	259.18	DCR|2LIT|2VULN|3DMG	1LEGI|257DMG|3CANSTR|47VULN|67LIT|7BPWR|8TLV|9CGEN|aRCR
167	32522 52332	   	259.14	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG|1ASPD	1LEGI|2BELT|3VULN|4LIT|5ASPD|6CDMG|7RCR|89DMG|aMLV
168	31221 11512	   	259.08	DCR|2LIT|2VULN|3DMG	1LEGI|257DMG|3CANSTR|47VULN|67LIT|7BPWR|8ERES|9TLV|aRCR
169	31221 11562	   	259.08	DCR|2LIT|2VULN|3DMG	1LEGI|257DMG|3CANSTR|47VULN|67LIT|7BPWR|8ERES|9CGEN|aRCR
170	31221 11632	   	259.08	DCR|2LIT|2VULN|3DMG	1LEGI|257DMG|3CANSTR|47VULN|67LIT|7BPWR|8FEWX|9DUST|aRCR
