0	Index      	 *	Score 	Summary	Detail	
1	33387 45222	 * 	287.50	DCR|2LIT|3VULN|1MLV|1ASPD|1CDMG	18TLV|2MBVNT|3MLV|489VULN|5ASPD|6CDMG|78LIT|8BPWR|aRCR
14	53383 64222	   	270.75	DCR|3VULN|1LIT|1MLV|2CDMG|1ASPD	18ERES|2MBVNT|3MLV|489VULN|5LIT|6ASPD|78CDMG|8BPWR|aRCR
15	33617 43482	 * 	270.16	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG	1TLV|2MBVNT|3CDMG|45LIT|6RCR|7aDMG|8VULN|9MLV
16	23214 16136	   	269.95	DCR|2LIT|2FLTARM|2VULN	13LWND|2aLIT|4FEWX|5LHND|6RCR|7aVULN|8TLV|9aFLTARM|aBPWR
17	22413 16136	   	269.85	DCR|2LIT|2FLTARM|2VULN	1LWND|2aBEXP|3DUST|45LIT|6RCR|7aVULN|8TLV|9aFLTARM|aBPWR
18	23143 16136	   	269.85	DCR|2LIT|2FLTARM|2VULN	1LWND|2aLIT|3DUST|4DMSP|5FEWX|6RCR|7aVULN|8TLV|9aFLTARM|aBPWR
19	23233 16136	   	269.85	DCR|2LIT|2FLTARM|2VULN	13LWND|2aLIT|4DUST|5FEWX|6RCR|7aVULN|8TLV|9aFLTARM|aBPWR
20	23234 16136	   	269.85	DCR|2LIT|2FLTARM|2VULN	13LWND|2aLIT|4DUST|5LHND|6RCR|7aVULN|8TLV|9aFLTARM|aBPWR
21	23113 16136	   	269.75	DCR|2LIT|2FLTARM|2VULN	1LWND|2aLIT|34DUST|5FEWX|6RCR|7aVULN|8TLV|9aFLTARM|aBPWR
22	23114 16136	   	269.75	DCR|2LIT|2FLTARM|2VULN	1LWND|2aLIT|34DUST|5LHND|6RCR|7aVULN|8TLV|9aFLTARM|aBPWR
23	23211 16426	   	267.40	DCR|2LIT|3VULN|1MLV|1DUR	138LWND|28LIT|4FEWX|5DUR|6RCR|78aVULN|8BPWR|9MLV
24	23233 16426	   	267.40	DCR|2LIT|3VULN|1MLV	138LWND|28LIT|4DUST|5FEWX|6RCR|78aVULN|8BPWR|9MLV
25	34113 13336	   	267.40	DCR|2LIT|3VULN|1MLV	1TLV|29LIT|3MLV|4FEWX|59LWND|6RCR|7ERES|89aVULN|9BPWR
26	34133 13336	   	267.30	DCR|2LIT|3VULN|1MLV	1TLV|29LIT|3MLV|4DUST|59LWND|6RCR|7ERES|89aVULN|9BPWR
27	23231 16426	   	267.30	DCR|2LIT|3VULN|1MLV|1DUR	138LWND|28LIT|4DUST|5DUR|6RCR|78aVULN|8BPWR|9MLV
28	33386 47222	   	266.41	DCR|2LIT|2MLV|2VULN|1CDMG	18TLV|2MBVNT|38MLV|49VULN|5CDMG|68LIT|7NUKE|8BPWR|aRCR
29	23211 16424	 * 	265.33	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	138LWND|28LIT|4FEWX|5DUR|6RCR|78VULN|8BPWR|9MLV|aDMG
30	23233 16424	   	265.33	DCR|2LIT|2VULN|1MLV|1DMG	138LWND|28LIT|4DUST|5FEWX|6RCR|78VULN|8BPWR|9MLV|aDMG
31	34113 13334	   	265.33	DCR|2LIT|2VULN|1MLV|1DMG	1TLV|29LIT|3MLV|4FEWX|59LWND|6RCR|7ERES|89VULN|9BPWR|aDMG
32	34133 13334	   	265.23	DCR|2LIT|2VULN|1MLV|1DMG	1TLV|29LIT|3MLV|4DUST|59LWND|6RCR|7ERES|89VULN|9BPWR|aDMG
33	23231 16424	   	265.23	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	138LWND|28LIT|4DUST|5DUR|6RCR|78VULN|8BPWR|9MLV|aDMG
34	34164 22332	   	265.23	DCR|2LIT|2VULN|1MLV|1DMG	1TLV|25LIT|3MLV|4CGEN|6RCR|7FEWX|8aVULN|9DMG
35	41214 23311	   	265.23	DCR|2LIT|2VULN|1MLV|1DMG	1CGEN|2LHND|3FEWX|47VULN|5aLIT|6RCR|8MLV|9DMG
36	33617 31422	   	265.17	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1TLV|2MBVNT|3CDMG|45LIT|6ASPD|78VULN|9MLV|aRCR
37	34124 22332	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1TLV|25LIT|3MLV|4ERES|6RCR|7FEWX|8aVULN|9DMG
38	34124 26232	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1TLV|25LIT|3MLV|4ERES|6RCR|7aVULN|8FEWX|9DMG
39	44124 22332	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1CGEN|25LIT|3MLV|4ERES|6RCR|7FEWX|8aVULN|9DMG
40	45214 23311	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1CGEN|2DUR|3FEWX|47VULN|5aLIT|6RCR|8MLV|9DMG
41	62141 13511	 * 	264.42	DCR|3LIT|2VULN|2DMG|2DUR	1AART|29DUR|39aLIT|4FEWX|56DMG|79VULN|8RCR|9BPWR
42	33617 43428	   	263.98	DCR|3LIT|2VULN|1DMG|1CDMG	1TLV|2MBVNT|3CDMG|459LIT|6RCR|7DMG|8aVULN
43	33617 41434	 * 	263.85	DCR|3LIT|2MLV|1VULN|1CDMG	1aTLV|2MBVNT|3CDMG|45aLIT|6RCR|7ERES|8VULN|9aMLV|aBPWR
44	22211 52362	   	263.60	DCR|2LIT|3VULN|1MLV	1LWND|2BEXP|379VULN|46LIT|5LSRREG|8RCR|aMLV
45	26211 52362	   	263.50	DCR|2LIT|3VULN|1MLV	1LWND|2DUST|379VULN|46LIT|5LSRREG|8RCR|aMLV
46	34511 13223	 * 	262.66	DCR|3LIT|2VULN|1MLV	17TLV|237LIT|4BELT|57FEWX|6RCR|7BPWR|8aVULN|9MLV
47	44511 13223	   	262.66	DCR|3LIT|2VULN|1MLV	17CGEN|237LIT|4BELT|57FEWX|6RCR|7BPWR|8aVULN|9MLV
48	34113 13331	   	262.56	DCR|3LIT|2VULN|1MLV	1TLV|29aLIT|3MLV|4FEWX|59LWND|6RCR|7ERES|89VULN|9BPWR
49	34133 13331	   	262.46	DCR|3LIT|2VULN|1MLV	1TLV|29aLIT|3MLV|4DUST|59LWND|6RCR|7ERES|89VULN|9BPWR
50	34512 13223	   	262.46	DCR|3LIT|2VULN|1MLV	17TLV|237LIT|4BELT|57DUST|6RCR|7BPWR|8aVULN|9MLV
51	44512 13223	   	262.46	DCR|3LIT|2VULN|1MLV	17CGEN|237LIT|4BELT|57DUST|6RCR|7BPWR|8aVULN|9MLV
52	41214 23314	 * 	262.42	DCR|1LIT|2VULN|1MLV|1DMG|1NUKE	1CGEN|2LHND|3FEWX|47VULN|5LIT|6RCR|8MLV|9DMG|aNUKE
53	43612 42282	 * 	262.42	DCR|1LIT|2VULN|1MLV|1DMG|2CDMG	18CGEN|2MBVNT|38CDMG|4LIT|5TLV|6RCR|78VULN|8BPWR|9MLV|aDMG
54	34124 26112	   	262.36	DCR|3LIT|2VULN|1MLV	1TLV|258LIT|3MLV|4ERES|6RCR|79VULN|aLHND
55	34124 26111	   	262.26	DCR|3LIT|2VULN|1MLV	1TLV|258LIT|3MLV|4ERES|6RCR|79VULN|aDUST
56	23212 45337	   	262.00	DCR|2LIT|3VULN|1MLV	137LWND|27LIT|4FEWX|5MLV|67aVULN|7BPWR|8MBVNT|9RCR
57	33383 64232	 * 	261.26	DCR|1LIT|2VULN|1MLV|2ASPD|2CDMG	18TLV|2MBVNT|3MLV|48VULN|5LIT|69ASPD|78CDMG|8BPWR|aRCR
58	43383 64232	   	261.26	DCR|1LIT|2VULN|1MLV|2ASPD|2CDMG	18CGEN|2MBVNT|3MLV|48VULN|5LIT|69ASPD|78CDMG|8BPWR|aRCR
59	53383 64232	   	261.06	DCR|1LIT|2VULN|1MLV|2ASPD|2CDMG	18ERES|2MBVNT|3MLV|48VULN|5LIT|69ASPD|78CDMG|8BPWR|aRCR
60	22243 56112	   	260.76	DCR|3LIT|2VULN|1MLV	18LWND|2BEXP|38VULN|4DUST|5CGEN|689LIT|7RCR|8BPWR|aMLV
61	23212 45335	   	259.93	DCR|2LIT|2VULN|1MLV|1DMG	137LWND|27LIT|4FEWX|5MLV|67VULN|7BPWR|8MBVNT|9RCR|aDMG
62	33382 47222	   	259.86	DCR|2LIT|3VULN|1MLV|1SELL	18TLV|2MBVNT|3MLV|489VULN|5SELL|68LIT|7NUKE|8BPWR|aRCR
63	61341 33121	   	259.83	DCR|2LIT|2VULN|1MLV|1DMG	1AART|2CGEN|37VULN|4DMG|5MLV|6aLIT|8FEWX|9RCR
64	53382 47222	   	259.66	DCR|2LIT|3VULN|1MLV|1SELL	18ERES|2MBVNT|3MLV|489VULN|5SELL|68LIT|7NUKE|8BPWR|aRCR
65	53386 14444	 * 	259.58	DCR|1LIT|2VULN|2DMG|1MLV	17ERES|2MBVNT|3MLV|47VULN|5AART|67DMG|7BPWR|8LIT|9ZMB|aRCR
66	33387 15222	   	259.32	DCR|2LIT|2MLV|2VULN|1ASPD|1SELL	18TLV|2MBVNT|38MLV|49VULN|5ASPD|6SELL|78LIT|8BPWR|aRCR
67	22212 12436	 * 	259.24	DCR|2LIT|2VULN|2ASPD|1DMG	1LWND|2BEXP|35VULN|48LIT|6RCR|7aASPD|9DMG
68	34124 26322	 * 	258.99	DCR|2LIT|1VULN|1MLV|1DMG|1NUKE	1TLV|25LIT|3MLV|4ERES|6RCR|7VULN|8CGEN|9DMG|aNUKE
69	22412 22443	   	258.71	DCR|2LIT|2VULN|1MLV|1CDMG	1LWND|2BEXP|3DUST|48LIT|59VULN|6RCR|7CDMG|aMLV
70	26213 22443	   	258.71	DCR|2LIT|2VULN|1MLV|1CDMG	1LWND|2DUST|39VULN|48LIT|5LHND|6RCR|7CDMG|aMLV
71	26212 12311	   	258.61	DCR|2LIT|2VULN|1MLV|1ASPD	1LWND|2DUST|35VULN|4aLIT|6RCR|7ASPD|8MLV|9NUKE
72	23661 42112	 * 	258.42	ACR|2LIT|2VULN|2DMG|1MLV	17LWND|28LIT|3RCR|47DMG|5aRCVC|67VULN|7BPWR|9MLV
73	23661 42111	   	258.32	ACR|2LIT|2VULN|2DMG|1MLV	17LWND|28LIT|3RCR|47DMG|5RCVC|67VULN|7BPWR|9MLV|aDUST
74	23661 42113	   	258.32	ACR|2LIT|2VULN|2DMG|1MLV	17LWND|28LIT|3RCR|47DMG|5RCVC|67VULN|7BPWR|9MLV|aERES
75	22412 22343	   	257.98	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|2BEXP|3DUST|4LIT|589VULN|6RCR|7CDMG|aMLV
76	26214 22343	   	257.98	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|2DUST|389VULN|4LIT|5BEXP|6RCR|7CDMG|aMLV
77	26212 12352	   	257.88	DCR|3VULN|1LIT|1MLV|1ASPD	1LWND|29DUST|35aVULN|4LIT|6RCR|7ASPD|8MLV
