0	Index      	 *	Score 	Summary	Detail	
1	11635 34333	 * 	301.25	DCR|2LIT|3VULN|2DMG|1MLV	145VULN|2NUKE|37LIT|6MLV|8RCR|9aDMG
32	33366 13353	   	280.95	DCR|2LIT|3VULN|1MLV|1CDMG	18LIT|28LHND|3ERES|4CDMG|578VULN|6RCR|8BPWR|9MLV|aMBVNT
33	11635 34323	   	280.90	DCR|3LIT|3VULN|1MLV	145VULN|2NUKE|37aLIT|6MLV|8RCR|9CGEN
34	11666 12332	   	280.85	DCR|2LIT|3VULN|1MLV|1CDMG	15aVULN|2NUKE|37LIT|4CDMG|6RCR|8MLV|9LHND
35	34263 21351	   	280.08	DCR|3VULN|1LIT|2DMG|1MLV	1LIT|2ERES|3MLV|48DMG|5MBVNT|69aVULN|7RCR
36	62623 21831	 * 	279.97	DCR|3LIT|2DMG|1VULN|2ASPD|1CDMG	1aASPD|24LWND|34aLIT|4aBPWR|5MBVNT|6VULN|7RCR|8CDMG|9aDMG
37	11635 33331	   	279.96	DCR|4VULN|1LIT|1MLV|1DMG	1457VULN|2NUKE|3LIT|6MLV|8RCR|9DMG|aFEWX
38	11635 33332	   	279.96	DCR|4VULN|1LIT|1MLV|1DMG	1457VULN|2NUKE|3LIT|6MLV|8RCR|9DMG|aCGEN
39	11635 33335	   	279.96	DCR|4VULN|1LIT|1MLV|1DMG	1457VULN|2NUKE|3LIT|6MLV|8RCR|9DMG|aRPLT
40	11635 33334	   	279.86	DCR|4VULN|1LIT|1MLV|1DMG	1457VULN|2NUKE|3LIT|6MLV|8RCR|9DMG|aDUST
41	34263 23451	   	279.86	DCR|4VULN|1LIT|1MLV|1DMG	1LIT|2ERES|3MLV|4DMG|5MBVNT|679aVULN|8RCR
42	56123 53221	   	279.40	DCR|2LIT|2VULN|2ASPD|1DMG|2CDMG	1FEWX|2aVULN|39CDMG|4LWND|5aASPD|6RCR|7DMG|8aLIT|aBPWR
43	34263 13453	   	279.02	DCR|2LIT|2VULN|2DMG|1MLV	16LIT|2ERES|3MLV|4aDMG|5MBVNT|79VULN|8RCR
44	34263 23453	   	278.28	DCR|3VULN|1LIT|2DMG|1MLV	1LIT|2ERES|3MLV|4aDMG|5MBVNT|679VULN|8RCR
45	13561 52233	 * 	277.88	DCR|2LIT|3VULN|2ASPD|1DMG	179VULN|2LWND|37LIT|47ASPD|5LEGI|6AART|7BPWR|8RCR|aDMG
46	62623 21326	   	277.08	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|24LWND|34LIT|4BPWR|5MBVNT|6aVULN|7RCR|8DMG|9MLV
47	11666 12321	   	277.06	DCR|2LIT|2MLV|2VULN|1CDMG	15VULN|2NUKE|37LIT|4CDMG|6RCR|89MLV|aRPLT
48	11666 12322	   	277.06	DCR|2LIT|2MLV|2VULN|1CDMG	15VULN|2NUKE|37LIT|4CDMG|6RCR|89MLV|aLWND
49	14216 34113	   	277.00	DCR|4VULN|1LIT|1MLV|1ASPD|1SELL	125aVULN|2BPWR|3ASPD|4SELL|6RCR|7MLV|8LIT|9BEXP
50	14216 34132	   	277.00	DCR|4VULN|1LIT|1MLV|1ASPD|1SELL	125aVULN|2BPWR|3ASPD|4SELL|6RCR|7MLV|8LIT|9LHND
51	14216 34322	   	277.00	DCR|4VULN|1LIT|1MLV|1ASPD|1SELL	125aVULN|2BPWR|3ASPD|4SELL|6RCR|7MLV|8LHND|9LIT
52	11666 12323	   	276.91	DCR|2LIT|2MLV|2VULN|1CDMG	15VULN|2NUKE|37LIT|4CDMG|6RCR|89MLV|aERES
53	11635 33314	 * 	276.79	DCR|5VULN|1LIT|1MLV	1457aVULN|2NUKE|3LIT|6MLV|8RCR|9LHND
54	35623 12441	 * 	275.87	DCR|3LIT|3ASPD|2DMG|1VULN	169LIT|2FEWX|349ASPD|5MBVNT|79DMG|8RCR|9BPWR|aVULN
55	65623 12441	   	275.87	DCR|3LIT|3ASPD|2DMG|1VULN	149ASPD|2FEWX|369LIT|5MBVNT|79DMG|8RCR|9BPWR|aVULN
56	64623 12441	   	275.77	DCR|3LIT|3ASPD|2DMG|1VULN	149ASPD|2DUR|369LIT|5MBVNT|79DMG|8RCR|9BPWR|aVULN
57	26512 23421	   	275.69	DCR|3VULN|1LIT|2DMG|1ASPD|1CDMG	1LHND|29aVULN|3LIT|4CDMG|5aDMG|6ASPD|7RCR|8aLWND|aBPWR
58	26512 23126	   	275.49	DCR|1LIT|2DMG|1VULN|1MLV|1AART|1CDMG|1ASPD	1LHND|2VULN|3LIT|4CDMG|58DMG|6ASPD|7RCR|9MLV|aAART
59	33612 11245	   	275.13	DCR|2LIT|2VULN|2DMG|2ASPD	18LIT|2LHND|38ASPD|4LEGI|5RMIN|68DMG|7RCR|8BPWR|9aVULN
60	62362 21333	 * 	274.90	DCR|1LIT|3DMG|1VULN|1MLV|1CDMG|1ASPD	1ASPD|2LWND|389DMG|4MLV|5LIT|6VULN|7RCR|aCDMG
61	12565 11233	   	274.90	DCR|1LIT|3DMG|1VULN|1MLV|1CDMG|1ASPD	1VULN|2FEWX|3LIT|4ASPD|5MLV|689DMG|7RCR|aCDMG
62	13565 11333	   	274.90	DCR|1LIT|3DMG|1VULN|1MLV|1CDMG|1ASPD	1VULN|2LWND|3LIT|4ASPD|5MLV|689DMG|7RCR|aCDMG
63	35635 11233	   	274.90	DCR|1LIT|3DMG|1VULN|1MLV|1CDMG|1ASPD	1LIT|2FEWX|3ASPD|4VULN|5MLV|689DMG|7RCR|aCDMG
64	12353 21413	   	274.81	DCR|2LIT|2MLV|2VULN|1CDMG	19VULN|235FEWX|4LHND|69MLV|7RCR|89LIT|9BPWR|aCDMG
65	13313 21413	   	274.81	DCR|2LIT|2MLV|2VULN|1CDMG	19VULN|2LWND|345FEWX|69MLV|7RCR|89LIT|9BPWR|aCDMG
66	64362 21233	   	274.80	DCR|1LIT|3DMG|1VULN|1MLV|1CDMG|1ASPD	1ASPD|2DUR|389DMG|4MLV|5LIT|6VULN|7RCR|aCDMG
67	12333 21413	   	274.66	DCR|2LIT|2MLV|2VULN|1CDMG	19VULN|235FEWX|4DUR|69MLV|7RCR|89LIT|9BPWR|aCDMG
68	56333 21413	   	274.66	DCR|2LIT|2MLV|2VULN|1CDMG	135FEWX|29VULN|4DUR|69MLV|7RCR|89LIT|9BPWR|aCDMG
69	62362 21332	 * 	273.98	DCR|2MLV|1LIT|3DMG|1VULN|1ASPD	1ASPD|2LWND|389DMG|4aMLV|5LIT|6VULN|7RCR
70	12565 11232	   	273.98	DCR|2MLV|1LIT|3DMG|1VULN|1ASPD	1VULN|2FEWX|3LIT|4ASPD|5aMLV|689DMG|7RCR
71	13565 11332	   	273.98	DCR|2MLV|1LIT|3DMG|1VULN|1ASPD	1VULN|2LWND|3LIT|4ASPD|5aMLV|689DMG|7RCR
72	35635 11232	   	273.98	DCR|2MLV|1LIT|3DMG|1VULN|1ASPD	1LIT|2FEWX|3ASPD|4VULN|5aMLV|689DMG|7RCR
73	64362 21232	   	273.83	DCR|2MLV|1LIT|3DMG|1VULN|1ASPD	1ASPD|2DUR|389DMG|4aMLV|5LIT|6VULN|7RCR
74	34263 21353	 * 	273.60	DCR|1LIT|2VULN|3DMG|1MLV	1LIT|2ERES|3MLV|48aDMG|5MBVNT|69VULN|7RCR
75	11635 33326	   	273.55	DCR|4VULN|1LIT|1MLV|1CDMG	1457VULN|2NUKE|3LIT|6MLV|8RCR|9CGEN|aCDMG
76	33625 26231	   	273.53	DCR|2LIT|2VULN|2DMG|2ASPD	1aLIT|24aLHND|34ASPD|4aBPWR|56VULN|7RPLT|8RCR|9aDMG
77	32365 63333	   	273.51	DCR|2MLV|1LIT|2VULN|2DMG	1LIT|2RCVC|39DMG|46MLV|57VULN|8RCR|aLWND
78	26511 12125	   	273.49	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	1LHND|2aVULN|3LIT|4CDMG|5ERES|6RCR|78DMG|9MLV
79	33366 12125	   	273.49	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	1LIT|2LHND|3ERES|4CDMG|5aVULN|6RCR|78DMG|9MLV
80	11633 51271	   	273.44	DCR|2LIT|3VULN|1DMG|2CDMG	14aVULN|2NUKE|3aLIT|5MBVNT|6BEXP|7RCR|8DMG|9aCDMG|aBPWR
81	13512 22242	   	273.00	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1aVULN|2LWND|3LIT|4CDMG|5DMG|6ASPD|7ZMB|8RCR|9MLV
82	11635 22333	   	272.39	DCR|4VULN|1LIT|2DMG	1456VULN|2NUKE|3LIT|7ZMB|8RCR|9aDMG
83	11666 12223	   	272.37	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	15VULN|2NUKE|37LIT|4CDMG|6RCR|8ASPD|9MLV|aLHND
84	11666 12312	   	272.37	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	15VULN|2NUKE|37LIT|4CDMG|6RCR|8MLV|9BEXP|aASPD
85	11666 12333	   	272.37	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	15VULN|2NUKE|37LIT|4CDMG|6RCR|8MLV|9LHND|aASPD
86	26511 13224	   	272.36	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1LHND|27VULN|3aLIT|4CDMG|5ERES|6RCR|8ASPD|9MLV
87	33366 13224	   	272.36	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1aLIT|2LHND|3ERES|4CDMG|57VULN|6RCR|8ASPD|9MLV
88	11666 12222	   	272.27	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	15VULN|2NUKE|37LIT|4CDMG|6RCR|8ASPD|9MLV|aCANARM
89	11666 12221	   	272.12	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD|1SELL	15VULN|2NUKE|37LIT|4CDMG|6RCR|8ASPD|9MLV|aSELL
90	33212 52352	 * 	271.87	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG	17LIT|2LHND|3RCR|4CDMG|56DMG|8aVULN|9MLV
91	62362 21342	   	271.79	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	1ASPD|2LWND|38DMG|4MLV|5LIT|69VULN|7RCR|aBELT
92	62362 21343	   	271.79	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	1ASPD|2LWND|38DMG|4MLV|5LIT|69VULN|7RCR|aTLV
93	12511 13353	   	271.73	DCR|3VULN|1LIT|1MLV|1ASPD|1CDMG	178VULN|28FEWX|3LIT|4CDMG|58ERES|6RCR|8BPWR|9MLV|aASPD
94	62362 21341	   	271.69	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	1ASPD|2LWND|38DMG|4MLV|5LIT|69VULN|7RCR|aERES
95	12511 13153	   	271.63	DCR|3VULN|1LIT|1MLV|1ASPD|1CDMG	178VULN|2FEWX|3LIT|4CDMG|5ERES|6RCR|9MLV|aASPD
96	26511 13225	   	271.63	DCR|3VULN|1LIT|1MLV|1ASPD|1CDMG	1LHND|27aVULN|3LIT|4CDMG|5ERES|6RCR|8ASPD|9MLV
97	33366 13225	   	271.63	DCR|3VULN|1LIT|1MLV|1ASPD|1CDMG	1LIT|2LHND|3ERES|4CDMG|57aVULN|6RCR|8ASPD|9MLV
98	11615 11335	   	271.59	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	1aVULN|2NUKE|3LIT|4LEGI|5MLV|69DMG|7RCR|8CDMG
99	11653 11335	   	271.59	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	1aVULN|2NUKE|3LIT|4MLV|5DUR|69DMG|7RCR|8CDMG
100	14216 33124	   	271.49	DCR|3VULN|1LIT|1MLV|1CDMG|1ASPD|1SELL	125VULN|2BPWR|3ASPD|4SELL|6RCR|7CGEN|8LIT|9MLV|aCDMG
