0	Index      	 *	Score 	Summary	Detail	
1	35215 53211	 * 	310.06	橙5易伤3伤害2等级	16789易伤29等级379敌人爆炸467伤害5立即金币679序列升级a核
25	31633 43252	   	287.07	橙橙2易伤1等级	14易伤2立即金币3多重对愈5随机技能68核7时间9等级a技能点
26	31633 43253	   	286.97	橙橙2易伤1等级	14易伤2立即金币3多重对愈5随机技能68核7时间9等级a基地爆炸
27	53313 43236	   	285.65	橙橙1等级1易伤3随机技能1伤害	1等级23a随机技能4技能点5赏金邻近6伤害79核8易伤
28	35221 35221	   	285.18	橙3易伤2矿等1等级1攻速	159易伤2等级39敌人爆炸4时间6核7攻速89矿等9序列升级a低血量敌人
29	35221 35224	   	285.18	橙3易伤2矿等1等级1攻速	159易伤2等级39敌人爆炸4时间6核7攻速89矿等9序列升级a赏金塔
30	35221 35225	   	285.18	橙3易伤2矿等1等级1攻速	159易伤2等级39敌人爆炸4时间6核7攻速89矿等9序列升级a双倍矿
31	35221 35222	   	285.08	橙3易伤2矿等1等级1攻速1挖怪	159易伤2等级39敌人爆炸4时间6核7攻速89矿等9序列升级a挖怪
32	35221 35223	   	285.08	橙3易伤2矿等1等级1攻速	159易伤2等级39敌人爆炸4时间6核7攻速89矿等9序列升级a双倍秒伤
33	31633 42242	   	285.06	橙橙3易伤1攻速	149易伤2立即金币3多重对愈5随机技能68核7敌人爆炸a攻速
34	53632 23134	   	284.70	橙2易伤2矿等2等级1技能	17等级2随机技能3赏金邻近4双倍秒伤57矿等67易伤7序列升级8时间9核a技能
35	32636 13232	   	284.42	橙橙2易伤2伤害	15易伤23伤害4最后敌人6随机技能79核8赏金塔a雷电
36	32636 13233	   	284.42	橙橙2易伤2伤害	15易伤23伤害4最后敌人6随机技能79核8赏金塔a策反
37	32666 13232	   	284.42	橙橙2易伤2伤害	15易伤23伤害4低血量敌人6随机技能79核8赏金塔a雷电
38	32666 13233	   	284.42	橙橙2易伤2伤害	15易伤23伤害4低血量敌人6随机技能79核8赏金塔a策反
39	32636 13231	   	284.32	橙橙2易伤2伤害	15易伤23伤害4最后敌人6随机技能79核8赏金塔a基地爆炸
40	32636 13234	   	284.32	橙橙2易伤2伤害	15易伤23伤害4最后敌人6随机技能79核8赏金塔a火球减费
41	32636 13235	   	284.32	橙橙2易伤2伤害	15易伤23伤害4最后敌人6随机技能79核8赏金塔a掉矿
42	32666 13231	   	284.32	橙橙2易伤2伤害	15易伤23伤害4低血量敌人6随机技能79核8赏金塔a基地爆炸
43	31633 43216	 * 	283.57	橙橙2易伤1矿等	14易伤2立即金币3多重对愈5随机技能68核7时间9技能点a矿等
44	35221 33264	   	283.55	橙2易伤2矿等1等级1伤害1技能	15易伤2等级3敌人爆炸4时间6核7伤害8a矿等9技能
45	35121 33264	   	283.45	橙2易伤2矿等1等级1伤害1技能	15易伤2等级3基地爆炸4时间6核7伤害8a矿等9技能
46	51233 41252	 * 	282.98	橙橙2等级1易伤1攻速	19等级2爆破对壮3立即金币4随机矿5随机技能68核7易伤a攻速
47	35221 33254	   	282.91	橙2易伤2矿等1等级1伤害1攻速	15易伤2等级3敌人爆炸4时间6核7伤害8a矿等9攻速
48	35121 33254	   	282.81	橙2易伤2矿等1等级1伤害1攻速	15易伤2等级3基地爆炸4时间6核7伤害8a矿等9攻速
49	53313 53236	   	281.83	橙橙1等级1易伤3随机技能1攻速	1等级23a随机技能4技能点5赏金邻近6攻速79核8易伤
50	53632 23235	   	281.64	橙3易伤2矿等2等级	17等级2随机技能3赏金邻近4双倍秒伤57矿等67a易伤7序列升级8低血量敌人9核
51	51233 41216	   	281.15	橙橙1易伤1等级1矿等	1等级2爆破对壮3立即金币4随机矿5随机技能68核7易伤9技能点a矿等
52	51243 41212	   	281.15	橙橙1易伤1等级1矿等	1等级2爆破对壮3立即金币4技能点5随机技能68核7易伤9矿等a低血量敌人
53	51243 41213	   	281.05	橙橙1易伤1等级1矿等	1等级2爆破对壮3立即金币4技能点5随机技能68核7易伤9矿等a掉矿
54	53132 33232	   	280.93	橙橙1等级1易伤1伤害	1等级2随机技能3伤害4双倍秒伤5技能点6时间79核8易伤a雷电
55	53132 33233	   	280.93	橙橙1等级1易伤1伤害	1等级2随机技能3伤害4双倍秒伤5技能点6时间79核8易伤a策反
56	53132 33231	   	280.83	橙橙1等级1易伤1伤害	1等级2随机技能3伤害4双倍秒伤5技能点6时间79核8易伤a基地爆炸
57	53132 33234	   	280.83	橙橙1等级1易伤1伤害	1等级2随机技能3伤害4双倍秒伤5技能点6时间79核8易伤a火球减费
58	53132 33235	   	280.83	橙橙1易伤1等级1伤害	1等级2随机技能3伤害4双倍秒伤5技能点6时间79核8易伤a掉矿
59	53132 33236	   	280.83	橙橙1等级1易伤1伤害	1等级2随机技能3伤害4双倍秒伤5技能点6时间79核8易伤a挖尘
60	53132 15133	   	280.83	橙橙1等级1易伤1伤害	1等级2随机技能3伤害4双倍秒伤5技能点69核7易伤8基地爆炸a全技能
