0	Index      	 *	Score 	Summary	Detail	
1	52353 31511	 * 	236.97	DCR|4VULN|2DMG|2CDMG|1ASPD	1268VULN|3AME|48DMG|58CDMG|7RCR|8BPWR|9MBVNT|aASPD
15	52353 31252	   	213.59	DCR|3VULN|2DMG|1ASPD|1CDMG	126VULN|3AME|48DMG|5CDMG|7RCR|9RCVC|aASPD
16	52353 31211	   	213.49	DCR|3VULN|2DMG|1ASPD|1CDMG	126VULN|3AME|48DMG|5CDMG|7RCR|9MBVNT|aASPD
17	52353 31221	   	212.26	DCR|3VULN|1MDPS|2DMG|1CDMG	126VULN|3AME|48DMG|5CDMG|7RCR|9MDPS|aLIT
18	52353 31222	   	212.26	DCR|3VULN|1MDPS|2DMG|1CDMG	126VULN|3AME|48DMG|5CDMG|7RCR|9MDPS|aMLV
19	52353 31223	   	212.26	DCR|3VULN|2DMG|1MDPS|1CDMG	126VULN|3aAME|48DMG|5CDMG|7RCR|9MDPS
20	52353 31224	   	212.26	DCR|3VULN|1MDPS|2DMG|1CDMG	126VULN|3AME|48DMG|5CDMG|7RCR|9MDPS|aCGEN
21	52353 31226	   	212.26	DCR|3VULN|1MDPS|2DMG|1CDMG	126VULN|3AME|48DMG|5CDMG|7RCR|9MDPS|aLWND
22	52353 31352	   	211.85	DCR|4VULN|1ASPD|1DMG|1CDMG	1268VULN|3AME|4DMG|5CDMG|7RCR|9RCVC|aASPD
23	52353 31311	   	211.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1268VULN|3AME|4DMG|5CDMG|7RCR|9MBVNT|aASPD
24	11123 25641	 * 	210.85	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB|1DUR	1RMIN|2BEXP|3AART|46ASPD|56VULN|6BPWR|7CDMG|8ZMB|9RCR|aDUR
25	52353 31321	   	210.52	DCR|4VULN|1MDPS|1DMG|1CDMG	1268VULN|3AME|4DMG|5CDMG|7RCR|9MDPS|aLIT
26	52353 31322	   	210.52	DCR|4VULN|1MDPS|1DMG|1CDMG	1268VULN|3AME|4DMG|5CDMG|7RCR|9MDPS|aMLV
27	52353 31323	   	210.52	DCR|4VULN|1MDPS|1DMG|1CDMG	1268VULN|3aAME|4DMG|5CDMG|7RCR|9MDPS
28	52353 31324	   	210.52	DCR|4VULN|1MDPS|1DMG|1CDMG	1268VULN|3AME|4DMG|5CDMG|7RCR|9MDPS|aCGEN
29	52353 31326	   	210.52	DCR|4VULN|1MDPS|1DMG|1CDMG	1268VULN|3AME|4DMG|5CDMG|7RCR|9MDPS|aLWND
30	52345 33123	 * 	210.00	DCR|2VULN|2AART|2ASPD|1DMG	12VULN|3AME|49AART|58ASPD|6FEWX|7DMG|aRCR
31	35232 54831	   	209.60	DCR|2VULN|2DMG|2CDMG|1ASPD|1DUR	19CDMG|29VULN|3RCVC|4LHND|5MBVNT|6DUR|79DMG|8RCR|9BPWR|aASPD
32	45263 12213	 * 	209.38	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG|1DUR	1RPLT|23AART|45CDMG|5BPWR|6DUR|7ASPD|8DMG|9RCR|aVULN
33	52353 31243	   	209.38	DCR|4VULN|2DMG|1CDMG	126aVULN|3aAME|48DMG|5CDMG|7RCR|9aBASFIG|aBPWR
34	52353 31251	   	209.38	DCR|4VULN|2DMG|1CDMG	126aVULN|3AME|48DMG|5CDMG|7RCR|9RCVC
35	35134 23844	 * 	207.95	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|26aVULN|3LWND|4AART|5ZMB|7MBVNT|8RCR|9ASPD
36	52352 23226	 * 	207.03	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	12VULN|3AME|48DMG|56DUR|7AART|9CDMG|aRCR
37	52352 33126	   	207.03	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	12VULN|3AME|46DMG|58DUR|7AART|9CDMG|aRCR
