0	Index      	 *	Score 	Summary	Detail	
1	16223 22433	 * 	235.84	DCR|3VULN|2AART|2DMG|3DUR	18aDUR|29AART|3aDMG|46aVULN|5LEGI|7RCR|aBPWR
42	16221 22526	   	210.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2AART|3DMG|46VULN|58LHND|7RCR|9CDMG|aASPD
43	16421 22316	   	210.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2AART|3AME|46VULN|5LHND|7RCR|8CDMG|9DMG|aASPD
44	16221 22314	   	210.11	DCR|2VULN|1MDPS|2DMG|1AART|1DUR|1SELL	1DUR|2AART|39DMG|46VULN|5LHND|7RCR|8SELL|aMDPS
45	16223 22314	   	210.01	DCR|2VULN|1MDPS|2DMG|1AART|1DUR|1SELL	1DUR|2AART|39DMG|46VULN|5LEGI|7RCR|8SELL|aMDPS
46	16224 22314	   	210.01	DCR|2VULN|2DMG|1MDPS|1AART|1DUR|1SELL	1DUR|2AART|39DMG|46VULN|5DUST|7RCR|8SELL|aMDPS
47	16221 42124	   	209.96	DCR|2AART|1MDPS|1VULN|1DMG|1CDMG|2DUR	16DUR|28AART|3DMG|4VULN|5LHND|7RCR|9CDMG|aMDPS
48	16223 42124	   	209.86	DCR|2AART|1MDPS|1VULN|1DMG|1CDMG|2DUR	16DUR|28AART|3DMG|4VULN|5LEGI|7RCR|9CDMG|aMDPS
49	16221 22262	   	209.36	DCR|3VULN|2DMG|1AART|1DUR	1DUR|2AART|39DMG|46aVULN|5LHND|7RCR|8LWND
50	26221 22162	   	209.36	DCR|3VULN|2DMG|1AART|1DUR	1LWND|2AART|39DMG|46aVULN|5LHND|7RCR|8DUR
51	16221 22524	   	209.02	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	1DUR|2AART|3DMG|46VULN|58LHND|7RCR|9CDMG|aMDPS
52	16221 22153	   	208.85	DCR|2VULN|2AART|1MDPS|1DMG|1DUR	1DUR|28AART|3DMG|46VULN|5LHND|7RCR|9FEWX|aMDPS
53	16221 22112	   	208.75	DCR|2VULN|2AART|1MDPS|1DMG|1DUR	1DUR|28AART|3DMG|46VULN|5LHND|7RCR|9TSLARM|aMDPS
54	16223 22153	   	208.75	DCR|2VULN|2AART|1MDPS|1DMG|1DUR	1DUR|28AART|3DMG|46VULN|5LEGI|7RCR|9FEWX|aMDPS
55	16224 22153	   	208.75	DCR|2VULN|2AART|1MDPS|1DMG|1DUR	1DUR|28AART|3DMG|46VULN|5DUST|7RCR|9FEWX|aMDPS
56	16223 22112	   	208.65	DCR|2VULN|2AART|1MDPS|1DMG|1DUR	1DUR|28AART|3DMG|46VULN|5LEGI|7RCR|9TSLARM|aMDPS
57	16224 22112	   	208.65	DCR|2VULN|2AART|1MDPS|1DMG|1DUR	1DUR|28AART|3DMG|46VULN|5DUST|7RCR|9TSLARM|aMDPS
58	16421 22313	   	208.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2AART|3AME|46aVULN|5LHND|7RCR|8CDMG|9DMG
59	16221 22532	   	207.85	DCR|3VULN|2AART|1DMG|1DUR	1DUR|29AART|3DMG|46aVULN|58LHND|7RCR
60	26221 22211	   	207.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LWND|2AART|39DMG|46VULN|5LHND|7RCR|8CDMG|aDUR
61	16221 22111	   	207.75	DCR|3VULN|2AART|1DMG|1DUR	1DUR|28AART|3DMG|46aVULN|5LHND|7RCR|9TSLARM
62	16224 22132	   	207.75	DCR|3VULN|2AART|1DMG|1DUR	1DUR|28AART|3DMG|46aVULN|5DUST|7RCR|9DMSP
63	42231 53125	 * 	207.71	DCR|3ASPD|2VULN|1DMG|1ZMB|1DUR	1FEWX|2DUR|3ZMB|45VULN|68aASPD|7RCR|9DMG
64	16223 22111	   	207.65	DCR|3VULN|2AART|1DMG|1DUR	1DUR|28AART|3DMG|46aVULN|5LEGI|7RCR|9TSLARM
65	16224 22111	   	207.65	DCR|3VULN|2AART|1DMG|1DUR	1DUR|28AART|3DMG|46aVULN|5DUST|7RCR|9TSLARM
66	51236 21333	   	207.36	DCR|3VULN|2DMG|1AART|1DUR	19CANARM|2DUR|36RPLT|49DMG|579VULN|8RCR|9BPWR|aAART
67	26423 12323	 * 	207.29	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1LWND|25AART|3AME|4VULN|6DUR|7RCR|89DMG|aASPD
68	16221 34633	   	206.55	DCR|2VULN|1MDPS|1AART|1DMG|2DUR|1ZMB	19DUR|2AART|3DMG|49VULN|5LHND|6ZMB|79CGEN|8RCR|9BPWR|aMDPS
69	16221 22122	   	206.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|46VULN|5LHND|7RCR|9CDMG|aDMSP
70	16221 22123	   	206.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|46VULN|5LHND|7RCR|9CDMG|aMLV
71	16221 22125	   	206.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|46VULN|5LHND|7RCR|9CDMG|aERES
72	16223 22122	   	206.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|46VULN|5LEGI|7RCR|9CDMG|aDMSP
73	16223 22123	   	206.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|46VULN|5LEGI|7RCR|9CDMG|aMLV
74	16224 22123	   	206.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|46VULN|5DUST|7RCR|9CDMG|aRMIN
75	26224 22121	   	206.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1LWND|28AART|3DMG|46VULN|5DUST|7RCR|9CDMG|aDUR
76	16223 22125	   	206.07	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|46VULN|5LEGI|7RCR|9CDMG|aERES
77	16224 22122	   	206.07	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|46VULN|5DUST|7RCR|9CDMG|aLEGI
78	16224 22125	   	206.07	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|46VULN|5DUST|7RCR|9CDMG|aERES
79	16225 22126	   	205.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|4VULN|5RCVC|6LWND|7RCR|9CDMG|aASPD
80	26223 12126	   	205.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|28AART|3DMG|4VULN|5DMSP|6DUR|7RCR|9CDMG|aASPD
81	26225 12126	   	205.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|28AART|3DMG|4VULN|5RCVC|6DUR|7RCR|9CDMG|aASPD
82	26235 12126	   	205.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	14LWND|28AART|3DMG|5VULN|6DUR|7RCR|9CDMG|aASPD
