0	Index      	 *	Score 	Summary	Detail	
1	62543 32123	 * 	229.72	3VULN|1SPLARM|2DMG|1MDPS|1ASPD|1CDMG	17DMG|27DUST|3CDMG|4ASPD|5RMIN|678VULN|7BPWR|9SPLARM|aMDPS
39	62323 52216	   	210.58	DCR|2DMG|2ASPD|1VULN|1AART|2DUR	19DMG|2DUST|38DUR|4VULN|5aASPD|6AART|7RCR
40	64323 43332	   	210.51	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2BEXP|3DUR|4aVULN|5ASPD|6RCR|7ZMB|8RMIN|9AART
41	61433 43213	   	210.44	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	17DMG|27LHND|3DUR|4FEWX|57ASPD|6RCR|7BPWR|8ZMB|9VULN|aCDMG
42	61433 43222	   	210.44	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	17DMG|27LHND|3DUR|4FEWX|57ASPD|6RCR|7BPWR|8ZMB|9CDMG|aVULN
43	64213 43222	   	210.44	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	17DMG|27BEXP|3LHND|4DUR|57ASPD|6RCR|7BPWR|8ZMB|9CDMG|aVULN
44	62323 43332	   	210.41	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2DUST|3DUR|4aVULN|5ASPD|6RCR|7ZMB|8RMIN|9AART
45	62213 43213	   	210.24	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	17DMG|27DUST|3LHND|4DUR|57ASPD|6RCR|7BPWR|8ZMB|9VULN|aCDMG
46	62213 43222	   	210.24	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	17DMG|27DUST|3LHND|4DUR|57ASPD|6RCR|7BPWR|8ZMB|9CDMG|aVULN
47	62213 43224	 * 	210.24	DCR|2DMG|2ASPD|1AART|1CDMG|1ZMB|1DUR	17DMG|27DUST|3LHND|4DUR|57ASPD|6RCR|7BPWR|8ZMB|9CDMG|aAART
48	62323 52136	   	210.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2DUST|3DUR|49VULN|5ASPD|6AART|7RCR|8TLV|aCDMG
49	13362 12281	 * 	209.95	DCR|3ASPD|2DMG|1AART|1VULN	19TLV|29DMG|3AART|4MBVNT|5VULN|6LHND|7RCR|89aASPD|9BPWR
50	13362 32281	   	209.95	DCR|3ASPD|2DMG|1VULN|1AART	19TLV|29DMG|3AART|4MBVNT|5VULN|6FEWX|7RCR|89aASPD|9BPWR
51	13362 42281	   	209.95	DCR|3ASPD|2DMG|1AART|1VULN	19TLV|29DMG|3AART|4MBVNT|5VULN|6LWND|7RCR|89aASPD|9BPWR
52	13362 22281	   	209.85	DCR|3ASPD|2DMG|1VULN|1AART	19TLV|29DMG|3AART|4MBVNT|5VULN|6DUST|7RCR|89aASPD|9BPWR
53	13342 25161	   	209.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1TLV|2DMG|3AART|459VULN|6DUR|7DMSP|8RCR|aASPD
54	13342 33126	   	209.64	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1TLV|2DMG|3AART|456VULN|7LEGI|8RCR|9DUR|aASPD
55	62323 52252	   	209.49	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1ZMB	1DMG|2DUST|38DUR|49VULN|5ASPD|6AART|7RCR|aZMB
56	66321 12342	   	208.76	DCR|3ASPD|2VULN|2DMG	19DMG|24LIT|39aASPD|5BEXP|6RCR|7ERES|89VULN|9BPWR
57	66322 12342	   	208.66	DCR|3ASPD|2VULN|2DMG	19DMG|24LIT|39aASPD|5DUST|6RCR|7ERES|89VULN|9BPWR
58	61423 52131	   	208.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DMG|2LHND|3DUR|49VULN|5aASPD|6AART|7RCR|8TLV
59	62323 52131	   	208.03	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DMG|2DUST|3DUR|49VULN|5aASPD|6AART|7RCR|8TLV
60	13342 25121	   	207.98	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1TLV|2DMG|39AART|45VULN|6DUR|7DMSP|8RCR|aASPD
61	13342 13126	   	207.88	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1TLV|2DMG|36AART|45VULN|7LEGI|8RCR|9DUR|aASPD
62	62323 42633	   	207.84	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR	1DMG|2DUST|37DUR|49VULN|58ASPD|6RCR|aCDMG
63	13342 36823	   	207.68	DCR|3VULN|2AART|1DMG|1ZMB	1TLV|2DMG|39AART|456VULN|7MBVNT|8RCR|aZMB
64	63221 15233	   	207.65	DCR|3VULN|2DMG|1ASPD|1DUR	12DMG|3DUR|4LIT|5ASPD|6RCR|78aVULN|9AME
65	63221 15252	   	207.65	DCR|3VULN|2DMG|1ASPD|1DUR	12DMG|3DUR|4LIT|5ASPD|6RCR|78aVULN|9RPLT
66	13342 33536	   	207.64	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1TLV|2DMG|3AART|456VULN|7LEGI|8DUR|9RCR|aASPD
67	63321 12346	   	207.60	DCR|3DMG|2VULN|1ASPD|1ZMB	129DMG|3BEXP|49LIT|5ASPD|6RCR|7ERES|89VULN|9BPWR|aZMB
68	63221 15213	   	207.55	DCR|3VULN|2DMG|1ASPD|1DUR	12DMG|3DUR|4LIT|5ASPD|6RCR|78aVULN|9ERES
69	62213 43132	   	207.43	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	17DMG|27DUST|3LHND|4DUR|57ASPD|6RCR|7BPWR|8FEWX|9AART|aVULN
70	62213 43532	   	207.43	DCR|2DMG|2ASPD|1AART|1VULN|1DUR	17DMG|27DUST|3LHND|4DUR|57ASPD|6RCR|7BPWR|8LWND|9AART|aVULN
71	61423 52212	   	206.79	DCR|2DMG|1AART|1VULN|1ASPD|2DUR|1ZMB	19DMG|2LHND|38DUR|4VULN|5ASPD|6AART|7RCR|aZMB
72	64323 52212	   	206.79	DCR|2DMG|1VULN|1AART|1ASPD|2DUR|1ZMB	19DMG|2BEXP|38DUR|4VULN|5ASPD|6AART|7RCR|aZMB
73	62323 52212	   	206.69	DCR|2DMG|1VULN|1AART|1ASPD|2DUR|1ZMB	19DMG|2DUST|38DUR|4VULN|5ASPD|6AART|7RCR|aZMB
74	64323 53233	   	206.58	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2BEXP|3DUR|47VULN|5ASPD|6AART|8CDMG|9RCR|aRCVC
75	62323 53233	   	206.48	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2DUST|3DUR|47VULN|5ASPD|6AART|8CDMG|9RCR|aRCVC
76	61423 41132	   	206.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2LHND|3DUR|47VULN|5ASPD|6RCR|8BEXP|9AART|aZMB
77	61423 43133	   	206.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2LHND|3DUR|49VULN|5ASPD|6RCR|7ZMB|8AART|aFEWX
78	64323 41132	   	206.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2BEXP|3DUR|47VULN|5ASPD|6RCR|8FEWX|9AART|aZMB
79	64323 41212	   	206.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2BEXP|3DUR|47VULN|5ASPD|6RCR|8ZMB|9AELBLL|aAART
80	26323 41136	   	206.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3DUR|47VULN|5ASPD|6RCR|8FEWX|9AART|aDMG
81	64323 53232	   	206.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2BEXP|3DUR|47VULN|5ASPD|6AART|8CDMG|9RCR|aSNIFST
82	61423 43132	   	206.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2LHND|3DUR|49VULN|5ASPD|6RCR|7ZMB|8AART|aDUST
83	61423 43332	   	206.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2LHND|3DUR|4aVULN|5ASPD|6RCR|7ZMB|8ERES|9AART
84	62323 41212	   	206.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2DUST|3DUR|47VULN|5ASPD|6RCR|8ZMB|9AELBLL|aAART
85	62323 53232	   	206.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2DUST|3DUR|47VULN|5ASPD|6AART|8CDMG|9RCR|aSNIFST
86	62323 53234	   	206.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2DUST|3DUR|47VULN|5ASPD|6AART|8CDMG|9RCR|aAME
87	62323 51235	   	206.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2DUST|3DUR|4aVULN|5ASPD|6AART|7AELBLL|8CDMG|9RCR
88	64323 53231	   	206.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR|1MSE	1DMG|2BEXP|3DUR|47VULN|5ASPD|6AART|8CDMG|9RCR|aMSE
89	62323 43232	   	206.14	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2DUST|3DUR|4aVULN|5ASPD|6RCR|7ZMB|8TLV|9AART
90	64142 21333	   	206.08	DCR|2VULN|2DMG|1MDPS|2ASPD|1CDMG	18DMG|28BEXP|3MDPS|4CDMG|56ASPD|78VULN|8BPWR|9RCR|aCGEN
91	62323 53231	   	206.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR|1MSE	1DMG|2DUST|3DUR|47VULN|5ASPD|6AART|8CDMG|9RCR|aMSE
92	62323 41224	   	206.00	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR|1SELL	1DMG|2DUST|3DUR|47VULN|5ASPD|6RCR|8ZMB|9SELL|aAART
93	36613 16333	   	205.99	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	168DUST|2ZMB|38DMG|4RPLT|58VULN|7RCR|8BPWR|9CDMG|aASPD
94	64142 21331	   	205.98	DCR|2VULN|1MDPS|2DMG|2ASPD|1CDMG	18DMG|28BEXP|3MDPS|4CDMG|56ASPD|78VULN|8BPWR|9RCR|aERES
95	63221 11412	 * 	205.92	DCR|2AART|2DMG|1ASPD|1CDMG|1DUR	12DMG|3DUR|4LIT|5ASPD|6RCR|7aAART|8RMIN|9CDMG
96	13342 13536	   	205.88	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1TLV|2DMG|36AART|45VULN|7LEGI|8DUR|9RCR|aASPD
97	63221 12341	   	205.57	DCR|3DMG|2VULN|1ASPD|1DUR	129DMG|3DUR|49LIT|5ASPD|6RCR|7ERES|89VULN|9BPWR|aBELT
98	63221 12342	   	205.57	DCR|3DMG|2VULN|1ASPD|1DUR	129DMG|3DUR|49LIT|5ASPD|6RCR|7ERES|89VULN|9BPWR|aLHND
99	63221 12343	   	205.57	DCR|3DMG|2VULN|1ASPD|1DUR	129DMG|3DUR|49LIT|5ASPD|6RCR|7ERES|89VULN|9BPWR|aMLV
100	63221 12344	   	205.57	DCR|3DMG|2VULN|1ASPD|1DUR	129DMG|3DUR|49aLIT|5ASPD|6RCR|7ERES|89VULN|9BPWR
101	63321 12343	   	205.57	DCR|3DMG|2VULN|1ASPD|1DUR	129DMG|3BEXP|49LIT|5ASPD|6RCR|7ERES|89VULN|9BPWR|aDUR
102	63621 12343	   	205.57	DCR|3DMG|2VULN|1ASPD|1DUR	129DMG|3FEWX|49LIT|5ASPD|6RCR|7ERES|89VULN|9BPWR|aDUR
103	63221 12345	   	205.47	DCR|3DMG|2VULN|1ASPD|1DUR	129DMG|3DUR|49LIT|5ASPD|6RCR|7ERES|89VULN|9BPWR|aDUST
104	62621 12343	   	205.47	DCR|3DMG|2VULN|1ASPD|1DUR	139DMG|2DUST|49LIT|5ASPD|6RCR|7ERES|89VULN|9BPWR|aDUR
105	61423 43111	   	205.42	DCR|2ASPD|1AART|1VULN|1DMG|2DUR|1ZMB	1DMG|2LHND|39DUR|4VULN|5aASPD|6RCR|7ZMB|8AART
106	13362 84732	   	205.33	DCR|3VULN|1AART|1ASPD|1DMG	1TLV|2DMG|3AART|4MBVNT|579VULN|6RCR|8ASPD|aCGEN
107	13362 84733	   	205.33	DCR|3VULN|1AART|1ASPD|1DMG	1TLV|2DMG|3AART|4MBVNT|579VULN|6RCR|8ASPD|aLHND
108	13362 12286	   	205.33	DCR|2DMG|2ASPD|1AART|1VULN|1DUR	19TLV|29DMG|3AART|4MBVNT|5VULN|6LHND|7RCR|89ASPD|9BPWR|aDUR
109	13362 32286	   	205.33	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	19TLV|29DMG|3AART|4MBVNT|5VULN|6FEWX|7RCR|89ASPD|9BPWR|aDUR
110	13362 42286	   	205.33	DCR|2DMG|2ASPD|1AART|1VULN|1DUR	19TLV|29DMG|3AART|4MBVNT|5VULN|6LWND|7RCR|89ASPD|9BPWR|aDUR
111	63321 11163	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	12DMG|3BEXP|4LIT|5ASPD|6RCR|7AART|8LWND|9aVULN
112	63321 11663	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	12DMG|3BEXP|4LIT|5ASPD|6RCR|7AART|8FEWX|9aVULN
113	63321 15261	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	12DMG|3BEXP|4LIT|5ASPD|6RCR|78VULN|9AART|aAME
114	63321 15262	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	12DMG|3BEXP|4LIT|5ASPD|6RCR|78VULN|9AART|aLHND
115	63621 11363	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	12DMG|3FEWX|4LIT|5ASPD|6RCR|7AART|8BEXP|9aVULN
116	26323 52215	   	205.28	DCR|2AART|1VULN|1ASPD|1DMG|2DUR|1ZMB	1BEXP|2ZMB|38DUR|4VULN|5ASPD|6aAART|7RCR|9DMG
117	13362 84437	   	205.23	DCR|3VULN|1AART|1ASPD|1DMG	1TLV|2DMG|3AART|4MBVNT|579VULN|6RCR|8ERES|aASPD
118	13362 84734	   	205.23	DCR|3VULN|1AART|1ASPD|1DMG	1TLV|2DMG|3AART|4MBVNT|579VULN|6RCR|8ASPD|aERES
119	13362 22286	   	205.23	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	19TLV|29DMG|3AART|4MBVNT|5VULN|6DUST|7RCR|89ASPD|9BPWR|aDUR
120	65321 63332	 * 	205.21	DCR|2VULN|2DMG|1MDPS|2AAC|1ASPD|1CDMG|2DUR	18DMG|25AAC|3MDPS|4CDMG|68VULN|78DUR|8BPWR|9RCR|aASPD
121	36323 52215	   	205.18	DCR|2AART|1VULN|1ASPD|1DMG|2DUR|1ZMB	1DUST|2ZMB|38DUR|4VULN|5ASPD|6aAART|7RCR|9DMG
122	63222 13154	 * 	204.95	DCR|3DMG|1VULN|1AART|1CDMG|1DUR	12aDMG|3DUR|4LIT|5ERES|6RCR|7CDMG|8VULN|9AART
123	62213 52334	   	204.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2DUST|3LHND|4DUR|5ASPD|6AART|7RCR|8ZMB|9aVULN
124	62323 41632	   	204.18	DCR|3VULN|2ASPD|1DMG|1DUR	1DMG|2DUST|3DUR|479VULN|58ASPD|6RCR|aFEWX
125	62325 52131	   	204.14	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2DUST|3DUR|49VULN|5ZMB|6AART|7RCR|8TLV|aASPD
126	62323 41631	   	204.08	DCR|3VULN|2ASPD|1DMG|1DUR	1DMG|2aDUST|3DUR|479VULN|58ASPD|6RCR
127	63221 15232	   	204.04	DCR|2VULN|2DMG|2ASPD|1DUR	12DMG|3DUR|4LIT|5aASPD|6RCR|78VULN|9AME
128	36323 41132	   	204.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1DUST|2ZMB|3DUR|47aVULN|5ASPD|6RCR|8FEWX|9AART
129	36323 41532	   	204.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1DUST|2ZMB|3DUR|47aVULN|5ASPD|6RCR|8LWND|9AART
130	62325 41132	   	204.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2DUST|3DUR|47aVULN|5ZMB|6RCR|8FEWX|9AART
131	63221 15212	   	203.94	DCR|2VULN|2DMG|2ASPD|1DUR	12DMG|3DUR|4LIT|5aASPD|6RCR|78VULN|9ERES
132	13341 51632	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1TLV|2DMG|3AART|49VULN|5AME|6RCR|7AAC|8ASPD|aCDMG
133	13362 84831	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1TLV|2DMG|3AART|4MBVNT|57VULN|6RCR|8RPLT|9CDMG|aASPD
134	13343 51632	   	203.65	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1TLV|2DMG|3AART|49VULN|5ERES|6RCR|7AAC|8ASPD|aCDMG
135	63221 11365	   	203.55	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB|1DUR	12DMG|3DUR|4LIT|5ASPD|6RCR|7AART|8BEXP|9VULN|aZMB
136	63221 11265	   	203.45	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB|1DUR	12DMG|3DUR|4LIT|5ASPD|6RCR|7AART|8DUST|9VULN|aZMB
137	26323 52211	   	203.42	DCR|2ASPD|1VULN|1AART|1DMG|2DUR|1ZMB	1BEXP|2ZMB|38DUR|4VULN|5aASPD|6AART|7RCR|9DMG
138	36323 52211	   	203.32	DCR|2ASPD|1VULN|1AART|1DMG|2DUR|1ZMB	1DUST|2ZMB|38DUR|4VULN|5aASPD|6AART|7RCR|9DMG
139	13516 11124	   	203.22	DCR|3VULN|2DMG|1AART	1TLV|25DMG|357VULN|4RPLT|5BPWR|6LWND|8RCR|9RMIN|aAART
140	13516 21124	   	203.22	DCR|3VULN|2DMG|1AART	1TLV|25DMG|357VULN|4RPLT|5BPWR|6FEWX|8RCR|9RMIN|aAART
141	64113 35232	   	202.86	DCR|3VULN|2DMG|1MDPS|1AART	15DMG|2BEXP|3MDPS|47aVULN|6RCR|8TLV|9AART
142	13342 16824	 * 	202.61	DCR|3VULN|3AART|1DMG	1TLV|2DMG|369AART|45aVULN|7MBVNT|8RCR
143	62323 41613	   	202.60	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|2DUST|3DUR|47VULN|58ASPD|6RCR|9DMSP|aCDMG
144	62323 41623	   	202.60	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|2DUST|3DUR|47VULN|58ASPD|6RCR|9FEWX|aCDMG
145	26323 41262	 * 	202.03	DCR|2VULN|1ASPD|1NUKE|1CDMG|2ZMB|1DUR	1BEXP|28ZMB|3DUR|47VULN|5ASPD|6RCR|9CDMG|aNUKE
146	62511 53332	   	201.94	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR	1DMG|28DUST|3CDMG|4FEWX|58VULN|6aASPD|78DUR|8BPWR|9RCR
147	62531 53332	   	201.94	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR	1DMG|28DUST|3CDMG|4LWND|58VULN|6aASPD|78DUR|8BPWR|9RCR
148	36323 41262	   	201.93	DCR|2VULN|1ASPD|1NUKE|1CDMG|2ZMB|1DUR	1DUST|28ZMB|3DUR|47VULN|5ASPD|6RCR|9CDMG|aNUKE
149	13362 12266	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1TLV|2DMG|3AART|4MBVNT|5aVULN|6LHND|7RCR|8ASPD|9CDMG
150	13362 32266	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1TLV|2DMG|3AART|4MBVNT|5aVULN|6FEWX|7RCR|8ASPD|9CDMG
151	13362 42266	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1TLV|2DMG|3AART|4MBVNT|5aVULN|6LWND|7RCR|8ASPD|9CDMG
152	13362 84721	   	201.72	DCR|2VULN|2ASPD|1AART|1DMG	1TLV|2DMG|3AART|4MBVNT|57VULN|6RCR|8aASPD|9FEWX
153	13362 22266	   	201.65	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1TLV|2DMG|3AART|4MBVNT|5aVULN|6DUST|7RCR|8ASPD|9CDMG
154	13362 84741	   	201.62	DCR|2VULN|2ASPD|1AART|1DMG	1TLV|2DMG|3AART|4MBVNT|57VULN|6RCR|8aASPD|9DUST
155	36613 32126	 * 	201.58	DCR|3VULN|2DMG|1MDPS|1ASPD|1ZMB	17DUST|2ZMB|37DMG|4RPLT|579VULN|6MDPS|7BPWR|8ASPD|aRCR
156	64323 52312	   	201.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	19DMG|28BEXP|3DUR|4VULN|5ASPD|6AART|7RCR|aZMB
157	13362 84136	   	201.52	DCR|3VULN|1AART|1DMG|1CDMG	1TLV|2DMG|3AART|4MBVNT|579VULN|6RCR|8CGEN|aCDMG
