0	Index      	 *	Score 	Summary	Detail	
1	22626 21634	 * 	318.62	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1CDMG|2DUR|38VULN|47RCR|5MBVNT|6TLV|9LIT|aDMG
14	33544 63242	   	307.56	DCR|3VULN|2TLV|2ASPD|1AEPOI	1aASPD|2RCVC|3MBVNT|4aTLV|5ZMB|6AEPOI|79aVULN|8RCR|aBPWR
15	22626 21621	   	307.50	ACR|DCR|2VULN|1TLV|2DUR|1CDMG	1CDMG|29DUR|38VULN|47RCR|5MBVNT|6TLV|aDUST
16	22626 21623	   	307.50	ACR|DCR|2VULN|1TLV|2DUR|1CDMG	1CDMG|29DUR|38VULN|47RCR|5MBVNT|6TLV|aERES
17	22326 21642	 * 	306.35	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8VULN|9aDMG
18	22626 21142	   	306.35	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8LHND|9aDMG
19	22626 21322	 * 	306.30	ACR|DCR|1TLV|1VULN|3DUR|1DMG|1CDMG	1CDMG|289DUR|3VULN|47RCR|5MBVNT|6TLV|aDMG
20	22626 21323	   	306.30	ACR|DCR|1TLV|1VULN|3DUR|1AEPOI|1CDMG	1CDMG|289DUR|3VULN|47RCR|5MBVNT|6TLV|aAEPOI
21	22626 21612	   	305.50	ACR|DCR|2VULN|1TLV|1CDMG	1CDMG|2DUR|38VULN|47RCR|5MBVNT|6TLV|9LHND|aRAT
22	22626 21631	   	305.50	ACR|DCR|2VULN|1TLV|1CDMG	1CDMG|2DUR|38VULN|47RCR|5MBVNT|6TLV|9LIT|aRAT
23	33541 12263	   	305.31	DCR|DCR|2TLV|1VULN|1AEFBLL|1ASPD	1ASPD|25RCVC|3MBVNT|48TLV|6AEFBLL|79RCR|aVULN
24	22626 21214	   	304.97	ACR|DCR|2VULN|1TLV|2CDMG	1aCDMG|2DUR|3aVULN|47RCR|5MBVNT|6TLV|8BASHEA|9aLHND|aBPWR
25	22626 21254	   	304.97	ACR|DCR|2VULN|1TLV|2CDMG	1aCDMG|2DUR|3aVULN|47RCR|5MBVNT|6TLV|8BASHEA|9aBEXP|aBPWR
26	22626 21814	   	304.97	ACR|DCR|2VULN|1TLV|2CDMG	1aCDMG|2DUR|3aVULN|47RCR|5MBVNT|6TLV|8SNITOX|9aLHND|aBPWR
27	22626 21642	   	304.87	ACR|DCR|2VULN|1TLV|2CDMG	19CDMG|2DUR|38VULN|47RCR|5MBVNT|6TLV|aRPLT
28	22626 21644	   	304.87	ACR|DCR|2VULN|1TLV|2CDMG	19CDMG|2DUR|38VULN|47RCR|5MBVNT|6TLV|aBELT
29	22626 21641	   	304.77	ACR|DCR|2VULN|1TLV|2CDMG	19CDMG|2DUR|38VULN|47RCR|5MBVNT|6TLV|aDUST
30	22626 21643	   	304.77	ACR|DCR|2VULN|1TLV|2CDMG	19CDMG|2DUR|38VULN|47RCR|5MBVNT|6TLV|aERES
31	22626 21384	   	304.75	ACR|DCR|1TLV|1VULN|1DMG|2DUR|1CDMG	1CDMG|28DUR|3VULN|47RCR|5MBVNT|6TLV|9DMG|aRAT
32	22626 26214	 * 	304.04	ACR|3VULN|2TLV|1AEFBLL|2CDMG	17CDMG|2DUR|378VULN|4RCR|5MBVNT|67TLV|7BPWR|9AEFRZ|aAEFBLL
33	22623 22222	 * 	303.82	ACR|3TLV|3VULN|3CDMG|1SELL	17aCDMG|2DUR|37aVULN|4RCR|5SELL|67aTLV|7aBPWR|8RMIN|9RCVC
34	22623 22622	 * 	303.82	ACR|3TLV|3VULN|3CDMG|1SELL	17aCDMG|2DUR|37aVULN|4RCR|5SELL|67aTLV|7aBPWR|8AAC|9RCVC
35	22626 21246	   	302.32	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8BASHEA|9ASPD|aAEBURN
36	22623 22562	   	301.88	ACR|3VULN|2TLV|2CDMG|1AART|1SELL	17CDMG|2DUR|37aVULN|4RCR|5SELL|67TLV|7BPWR|8AART|9FLTHEA
37	22626 21514	 * 	301.84	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|69TLV|8RMIN|aRAT
38	12224 25224	 * 	301.31	ACR|DCR|2TLV|2VULN|1SELL	17FEWX|28VULN|3SELL|4aRCR|57DUST|67TLV|7BPWR|9CGEN
39	22323 14641	   	299.87	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|1AART	1CDMG|2DUR|3LHND|48RCR|5AART|6DMG|7BEXP|9VULN|aTLV
40	22326 21648	   	299.77	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|1AART	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8VULN|9DMG|aAART
41	22626 21148	   	299.77	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|1AART	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8LHND|9DMG|aAART
42	12223 21516	 * 	299.55	ACR|DCR|3VULN|1TLV|2SELL	1FEWX|28aVULN|35SELL|47RCR|6TLV|9LHND
43	12223 21553	 * 	299.55	ACR|DCR|3VULN|1TLV|2SELL	1FEWX|28aVULN|35SELL|47RCR|6TLV|9BELT
44	12223 21562	 * 	299.55	ACR|DCR|3VULN|1TLV|2SELL	1FEWX|289VULN|35SELL|47RCR|6TLV|aRPLT
45	12223 21565	 * 	299.55	ACR|DCR|3VULN|1TLV|2SELL	1FEWX|289VULN|35SELL|47RCR|6TLV|aLHND
46	12223 21566	 * 	299.55	ACR|DCR|3VULN|1TLV|2SELL	1FEWX|289VULN|35SELL|47RCR|6TLV|aCGEN
47	12223 21561	 * 	299.45	ACR|DCR|3VULN|1TLV|2SELL	1FEWX|289VULN|35SELL|47RCR|6TLV|aDUST
48	12223 21563	 * 	299.45	ACR|DCR|3VULN|1TLV|2SELL	1FEWX|289VULN|35SELL|47RCR|6TLV|aERES
49	22623 22251	   	299.37	ACR|2TLV|2VULN|1AEFBLL|2CDMG|1DMG|1SELL	17CDMG|2DUR|37VULN|4RCR|5SELL|67TLV|7BPWR|8RMIN|9AEFBLL|aDMG
50	22623 22651	   	299.37	ACR|2TLV|2VULN|1AEFBLL|1DMG|2CDMG|1SELL	17CDMG|2DUR|37VULN|4RCR|5SELL|67TLV|7BPWR|8AAC|9AEFBLL|aDMG
51	33225 22155	 * 	298.92	DCR|2VULN|1TLV|3ASPD|2DMG|1AEBURN	149ASPD|2RCVC|39DMG|5AEBURN|6BEXP|7RCR|89VULN|9BPWR|aTLV
52	33226 12155	   	298.92	DCR|2VULN|1TLV|3ASPD|2DMG|1AEFBLL	149ASPD|2RCVC|39DMG|5FEWX|6AEFBLL|7RCR|89VULN|9BPWR|aTLV
53	22326 21627	   	298.56	ACR|DCR|2VULN|1TLV|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8aVULN|9DMSP
54	22626 21127	   	298.56	ACR|DCR|2VULN|1TLV|1CDMG	1CDMG|2DUR|3aVULN|47RCR|5MBVNT|6TLV|8LHND|9DMSP
55	22626 21417	   	298.56	ACR|DCR|2VULN|1TLV|1CDMG	1CDMG|2DUR|3aVULN|47RCR|5MBVNT|6TLV|8DMSP|9LHND
56	22626 21437	   	298.56	ACR|DCR|2VULN|1TLV|1CDMG	1CDMG|2DUR|3aVULN|47RCR|5MBVNT|6TLV|8DMSP|9LIT
57	22626 21613	   	298.56	ACR|DCR|2VULN|1TLV|1CDMG	1CDMG|2DUR|38VULN|47RCR|5MBVNT|6TLV|9LHND|aCGEN
58	22626 21632	   	298.56	ACR|DCR|2VULN|1TLV|1CDMG	1CDMG|2DUR|38VULN|47RCR|5MBVNT|6TLV|9LIT|aMLV
59	22626 21633	   	298.56	ACR|DCR|2VULN|1TLV|1CDMG	1CDMG|2DUR|38VULN|47RCR|5MBVNT|6TLV|9LIT|aRMIN
60	22621 24422	   	298.53	ACR|3VULN|1TLV|1DMG|1AEPOI|1CDMG	1CDMG|2DUR|369VULN|4RCR|5DMG|7AEPOI|8TLV|aZMB
61	22624 23224	   	298.46	ACR|DCR|2VULN|1TLV|1CDMG	1CDMG|2DUR|38VULN|4aRCR|5DUST|6TLV|7AEFRZ|9CGEN
62	22626 21611	   	298.46	ACR|DCR|2VULN|1TLV|1CDMG	1CDMG|2DUR|38VULN|47RCR|5MBVNT|6TLV|9LHND|aDUST
63	22626 21614	   	298.46	ACR|DCR|2VULN|1TLV|1CDMG|1MSE	1CDMG|2DUR|38VULN|47RCR|5MBVNT|6TLV|9LHND|aMSE
64	22626 21721	   	298.46	ACR|DCR|2VULN|1TLV|1CDMG	1CDMG|2DUR|3aVULN|47RCR|5MBVNT|6TLV|8ERES|9LHND
65	22626 21264	   	298.36	ACR|DCR|2VULN|1TLV|1CDMG	1CDMG|2DUR|3aVULN|47RCR|5MBVNT|6TLV|8BASHEA|9MDPS
66	22621 24423	   	297.90	ACR|3VULN|1TLV|1DMG|1AEPOI|2CDMG	1aCDMG|2DUR|369VULN|4RCR|5DMG|7AEPOI|8TLV
67	22326 21643	   	297.81	ACR|DCR|1TLV|1VULN|1DMG|2DUR|1CDMG	1CDMG|2aDUR|3LHND|47RCR|5MBVNT|6TLV|8VULN|9DMG
68	22626 21143	   	297.81	ACR|DCR|1TLV|1VULN|1DMG|2DUR|1CDMG	1CDMG|2aDUR|3VULN|47RCR|5MBVNT|6TLV|8LHND|9DMG
69	22626 21334	   	297.81	ACR|DCR|1TLV|1VULN|1DMG|2DUR|1CDMG	1CDMG|28DUR|3VULN|47RCR|5MBVNT|6TLV|9LIT|aDMG
70	22626 21381	   	297.81	ACR|DCR|1TLV|1VULN|1DMG|2DUR|1CDMG	1CDMG|28DUR|3VULN|47RCR|5MBVNT|6TLV|9DMG|aLHND
71	22626 21382	   	297.81	ACR|DCR|1TLV|1VULN|1DMG|2DUR|1CDMG	1CDMG|28DUR|3VULN|47RCR|5MBVNT|6TLV|9DMG|aLIT
72	22626 26442	   	297.73	ACR|3VULN|2TLV|2CDMG|1ASPD	17CDMG|2DUR|37aVULN|4RCR|5MBVNT|67TLV|7BPWR|8FLTFST|9ASPD
73	22626 21383	   	297.71	ACR|DCR|1TLV|1VULN|1DMG|2DUR|1CDMG	1CDMG|28DUR|3VULN|47RCR|5MBVNT|6TLV|9DMG|aDUST
74	22626 26212	 * 	297.63	ACR|3TLV|3VULN|2CDMG	17CDMG|2DUR|378VULN|4RCR|5MBVNT|67aTLV|7BPWR|9AEFRZ
75	22326 21283	   	297.28	ACR|DCR|2TLV|1AEFBLL|1DMG|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6aTLV|8AEFBLL|9DMG
76	22626 21484	   	295.70	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8DMSP|9DMG|aRAT
77	22326 21384	   	295.08	ACR|DCR|1TLV|1VULN|1DMG|2CDMG	18CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|9DMG|aVULN
78	22623 22511	   	294.94	ACR|3VULN|2TLV|2CDMG|1AART|1SELL	17CDMG|2DUR|37aVULN|4RCR|5SELL|67TLV|7BPWR|8AART|9FEWX
79	12223 21554	   	294.92	ACR|DCR|2VULN|1TLV|1DMG|2SELL	1FEWX|28VULN|35SELL|47RCR|6TLV|9BELT|aDMG
80	22326 21514	   	294.91	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|69TLV|8RMIN|aVULN
81	22326 21814	   	294.91	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|69TLV|8AME|aVULN
82	22626 21511	   	294.91	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|69TLV|8RMIN|aLHND
83	22626 21512	   	294.91	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|69TLV|8RMIN|aLIT
84	22626 21513	   	294.81	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|69TLV|8RMIN|aDUST
85	22626 21226	   	294.71	ACR|DCR|2TLV|1VULN|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6aTLV|8BASHEA|9ERES
86	22623 22252	 * 	294.49	ACR|2TLV|2VULN|3CDMG|2AEFBLL|2DUR|1SELL	17aCDMG|2aDUR|37VULN|4RCR|5SELL|67TLV|7aBPWR|8RMIN|9aAEFBLL
87	22623 22652	 * 	294.49	ACR|2TLV|2VULN|3CDMG|2AEFBLL|2DUR|1SELL	17aCDMG|2aDUR|37VULN|4RCR|5SELL|67TLV|7aBPWR|8AAC|9aAEFBLL
88	23442 42331	   	294.38	ACR|3VULN|2TLV|1AEPOI|2CDMG	19CDMG|29TLV|3AEPOI|4RCVC|5RCR|6LEGI|7AEWIND|89aVULN|9BPWR
89	12223 21316	   	293.56	ACR|DCR|2VULN|1TLV|2DUR|2SELL	1FEWX|2aVULN|35SELL|47RCR|6TLV|89DUR
90	22323 23641	   	293.46	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG|1AART	1CDMG|2DUR|3LHND|48RCR|5AART|6FEWX|7ASPD|9VULN|aTLV
91	22323 63641	   	293.46	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG|1AART	1CDMG|2DUR|3LHND|48RCR|5AART|6BEXP|7ASPD|9VULN|aTLV
92	22324 13641	   	293.36	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG|1AART	1CDMG|2DUR|3LHND|48RCR|5DUST|6AART|7ASPD|9VULN|aTLV
93	22621 24133	   	293.10	ACR|2TLV|2VULN|1DMG|1AEPOI|1CDMG	1CDMG|2DUR|36VULN|4RCR|5DMG|7AEPOI|8LIT|9aTLV
94	22621 24135	   	291.59	ACR|3VULN|1TLV|1DMG|1AEPOI|1CDMG	1CDMG|2DUR|36aVULN|4RCR|5DMG|7AEPOI|8LIT|9TLV
95	22621 25352	   	291.59	ACR|3VULN|1TLV|1DMG|1AEPOI|1CDMG	1CDMG|2DUR|368VULN|4RCR|5DMG|7LHND|9AEPOI|aTLV
96	22621 24421	   	291.49	ACR|3VULN|1TLV|1DMG|1AEPOI|1CDMG	1CDMG|2DUR|369VULN|4RCR|5DMG|7AEPOI|8TLV|aERES
97	12223 21522	   	291.46	ACR|DCR|2VULN|1TLV|2SELL	1FEWX|28VULN|35SELL|47RCR|6TLV|9DUR|aRAT
98	32574 34233	 * 	290.76	DCR|2TLV|3DMG|1VULN|3ASPD	179ASPD|2LWND|3MBVNT|49TLV|569DMG|8RCR|9BPWR|aVULN
99	22623 22541	   	290.31	ACR|2TLV|2VULN|1AEBURN|2CDMG|1AART|1SELL	17CDMG|2DUR|37VULN|4RCR|5SELL|67TLV|7BPWR|8AART|9AEBURN|aLHND
100	22623 22542	   	290.31	ACR|2TLV|2VULN|1AEBURN|2CDMG|1AART|1SELL	17CDMG|2DUR|37VULN|4RCR|5SELL|67TLV|7BPWR|8AART|9AEBURN|aCGEN
101	22623 22543	   	290.31	ACR|2TLV|2VULN|2CDMG|1AEBURN|1AART|1SELL	17CDMG|2DUR|37VULN|4RCR|5SELL|67TLV|7BPWR|8AART|9AEBURN|aLIT
102	22626 26213	 * 	290.02	ACR|3VULN|2TLV|3CDMG	17aCDMG|2DUR|378VULN|4RCR|5MBVNT|67TLV|7BPWR|9AEFRZ
103	33535 12264	   	289.67	DCR|DCR|2TLV|2ASPD|1AEFBLL	14ASPD|2RCVC|3MBVNT|58TLV|6AEFBLL|79RCR|aDUR
104	22626 21247	   	289.19	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8BASHEA|9ASPD|aRAT
105	22621 22512	 * 	289.01	ACR|3VULN|1TLV|2DMG|1CDMG	1CDMG|2DUR|36aVULN|4RCR|59DMG|7AIRHEL|8TLV
106	22326 21184	   	288.77	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|38LHND|47RCR|5MBVNT|6TLV|9DMG|aVULN
107	22326 21247	   	288.77	ACR|DCR|1TLV|1VULN|1AEFBLL|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8AEFBLL|9LWND|aVULN
108	22326 21267	   	288.77	ACR|DCR|1TLV|1VULN|1AEFBLL|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8AEFBLL|9FEWX|aVULN
109	22326 21276	   	288.77	ACR|DCR|1TLV|1VULN|1AEFBLL|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8AEFBLL|9LIT|aVULN
110	22326 21484	   	288.77	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8RCVC|9DMG|aVULN
111	22326 21524	   	288.77	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8RMIN|9AEBURN|aVULN
112	22326 21644	   	288.77	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8VULN|9DMG|aFEWX
113	22326 21645	   	288.77	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8VULN|9DMG|aLWND
114	22326 21824	   	288.77	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8AME|9AEBURN|aVULN
115	22626 21144	   	288.77	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8LHND|9DMG|aFEWX
116	22626 21145	   	288.77	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8LHND|9DMG|aLWND
117	22626 21434	   	288.77	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8DMSP|9LIT|aDMG
118	22626 21481	   	288.77	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8DMSP|9DMG|aLHND
119	22626 21482	   	288.77	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8DMSP|9DMG|aLIT
120	22326 21237	   	288.67	ACR|DCR|1TLV|1VULN|1AEFBLL|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8AEFBLL|9DUST|aVULN
121	22326 21641	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8VULN|9DMG|aERES
122	22326 21646	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8VULN|9DMG|aMDPS
123	22326 21647	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|1MSE	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8VULN|9DMG|aMSE
124	22626 21141	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8LHND|9DMG|aERES
125	22626 21146	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8LHND|9DMG|aMDPS
126	22626 21147	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|1MSE	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8LHND|9DMG|aMSE
127	22626 21282	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8BASHEA|9RCVC|aDMG
128	22626 21483	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8DMSP|9DMG|aDUST
129	22626 21733	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2DUR|3VULN|47RCR|5MBVNT|6TLV|8ERES|9BELT|aDMG
