0	Index      	 *	Score 	Summary	Detail	
1	26524 32132	 * 	305.31	DCR|3TLV|3VULN|3CDMG|1AART	1AART|289TLV|389VULN|4LIT|5ERES|6RPLT|789CDMG|89BPWR|aRCR
23	13145 13521	   	276.73	DCR|2TLV|2VULN|1DMG|2AEPOI	18VULN|2LIT|38AEPOI|4ZMB|5DMG|6MDPS|78TLV|8BPWR|9RCR|aDMSP
24	13145 13523	   	276.73	DCR|2TLV|2VULN|1DMG|2AEPOI	18VULN|2LIT|38AEPOI|4ZMB|5DMG|6MDPS|78TLV|8BPWR|9RCR|aFEWX
25	13145 13522	   	276.63	DCR|2TLV|2VULN|1DMG|2AEPOI	18VULN|2LIT|38AEPOI|4ZMB|5DMG|6MDPS|78TLV|8BPWR|9RCR|aDUST
26	22123 36523	   	276.26	ACR|DCR|1TLV|1VULN|1AEFBLL|1AART	1AART|2FEWX|35DUST|46RCR|7TLV|8MDPS|9VULN|aAEFBLL
27	22123 36525	   	276.26	ACR|DCR|1TLV|1VULN|1DMG|1AART	1AART|2FEWX|35DUST|46RCR|7TLV|8MDPS|9VULN|aDMG
28	23423 36523	   	276.26	ACR|DCR|1TLV|1VULN|1AEFBLL|1AART	1AART|25DUST|3FEWX|46RCR|7TLV|8MDPS|9VULN|aAEFBLL
29	23523 43143	 * 	276.06	ACR|DCR|1TLV|1VULN|2AART	19AART|25DUST|3DUR|4aRCR|6TLV|7VULN|8ERES
30	16653 33211	 * 	275.60	DCR|4VULN|2TLV	124aVULN|3aTLV|5BEXP|6FEWX|7RCR|8aLHND|9RCVC|aBPWR
31	16623 33261	   	275.60	DCR|4VULN|2TLV	129aVULN|3aTLV|4DMSP|5BEXP|6FEWX|7RCR|8aLHND|aBPWR
32	16632 13421	   	275.60	DCR|4VULN|2TLV	128aVULN|3aTLV|45FEWX|6LHND|7RCR|9aBEXP|aBPWR
33	16632 13432	   	275.60	DCR|4VULN|2TLV	128aVULN|3aTLV|45FEWX|6LHND|7RCR|9aAME|aBPWR
34	11523 22226	   	275.51	DCR|3VULN|1TLV|1DMG|1ASPD|1CDMG	149VULN|2BEXP|3CDMG|5TLV|6ASPD|7RMIN|8RCR|aDMG
35	16121 16126	 * 	275.50	DCR|4VULN|1TLV|2ASPD	1278VULN|379BEXP|4LIT|5TLV|67ASPD|7BPWR|aRCR
36	16623 23261	   	275.50	DCR|4VULN|2TLV	129aVULN|3aTLV|4DMSP|5BEXP|6DUST|7RCR|8aLHND|aBPWR
37	16632 23261	   	275.50	DCR|4VULN|2TLV	129aVULN|3aTLV|45FEWX|6DUST|7RCR|8aLHND|aBPWR
38	16632 23421	   	275.50	DCR|4VULN|2TLV	128aVULN|3aTLV|45FEWX|6DUST|7RCR|9aBEXP|aBPWR
39	16632 23432	   	275.50	DCR|4VULN|2TLV	128aVULN|3aTLV|45FEWX|6DUST|7RCR|9aAME|aBPWR
40	16653 23211	   	275.50	DCR|4VULN|2TLV	124aVULN|3aTLV|5BEXP|6DUST|7RCR|8aLHND|9RCVC|aBPWR
41	16121 16336	   	275.50	DCR|4VULN|1TLV|2ASPD	127aVULN|378BEXP|4LIT|5TLV|67ASPD|7BPWR|9RCR
42	16653 13232	   	275.40	DCR|4VULN|2TLV	124aVULN|3aTLV|5BEXP|68LHND|7RCR|9aERES|aBPWR
43	16623 13432	   	275.40	DCR|4VULN|2TLV	128aVULN|3aTLV|4DMSP|5BEXP|6LHND|7RCR|9aERES|aBPWR
44	16623 33432	   	275.40	DCR|4VULN|2TLV	128aVULN|3aTLV|4DMSP|5BEXP|6FEWX|7RCR|9aERES|aBPWR
