0	Index      	 *	Score 	Summary	Detail	
1	25531 31336	 * 	192.73	ACR|3DMG|2VULN|2AART	1LEGI|27VULN|3RCR|47aDMG|5BELT|68AART|7BPWR|9CGEN
28	25531 31125	   	181.29	ACR|3VULN|2DMG|1AART	1LEGI|27aVULN|3RCR|47DMG|5BELT|6AART|7BPWR|8LIT|9RPLT
29	25531 31162	   	181.29	ACR|3DMG|2VULN|1AART	1LEGI|27VULN|3RCR|47aDMG|5BELT|6AART|7BPWR|8LIT|9CGEN
30	25531 31421	   	181.29	ACR|3DMG|2VULN|1AART	1LEGI|27VULN|3RCR|47aDMG|5BELT|6AART|7BPWR|8BEXP|9FEWX
31	25531 31521	   	181.29	ACR|3DMG|2VULN|1AART	1LEGI|27VULN|3RCR|47aDMG|5BELT|6AART|7BPWR|8LWND|9FEWX
32	25531 31632	   	181.29	ACR|3VULN|2DMG|1AART	1LEGI|278VULN|3RCR|47DMG|5BELT|6AART|7BPWR|9CGEN|aFEWX
33	25531 31633	   	181.29	ACR|3VULN|2DMG|1AART	1LEGI|278VULN|3RCR|47DMG|5BELT|6AART|7BPWR|9CGEN|aLIT
34	25531 31112	   	181.19	ACR|3DMG|2VULN|1AART	1LEGI|27VULN|3RCR|47aDMG|5BELT|6AART|7BPWR|8LIT|9ERES
35	25531 31431	   	181.19	ACR|3DMG|2VULN|1AART	1LEGI|27VULN|3RCR|47aDMG|5BELT|6AART|7BPWR|8BEXP|9DUST
36	25531 31531	   	181.19	ACR|3DMG|2VULN|1AART	1LEGI|27VULN|3RCR|47aDMG|5BELT|6AART|7BPWR|8LWND|9DUST
37	25531 31621	   	181.19	ACR|3VULN|2DMG|1AART	1LEGI|278VULN|3RCR|47DMG|5BELT|6AART|7BPWR|9DUST|aRMIN
38	25531 31622	   	181.19	ACR|3VULN|2DMG|1AART	1LEGI|278VULN|3RCR|47DMG|5BELT|6AART|7BPWR|9DUST|aFEWX
39	25531 31623	   	181.19	ACR|3VULN|2DMG|1AART	1LEGI|278VULN|3RCR|47DMG|5BELT|6AART|7BPWR|9DUST|aLWND
40	12424 26331	 * 	180.77	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	1DUST|247VULN|3DMG|5AART|69ZMB|8RCR|aDUR
41	12532 31151	 * 	180.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DUST|26VULN|3RCR|4DMG|5AART|7BEXP|8DUR|9FLTHEA|aZMB
42	12532 33151	   	180.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DUST|26VULN|3RCR|4DMG|5AART|7LHND|8DUR|9FLTHEA|aZMB
43	13532 31151	   	180.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|67VULN|8DUR|9FLTHEA|aZMB
44	16532 31151	   	180.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DUST|2LWND|3RCR|4DMG|5AART|67VULN|8DUR|9FLTHEA|aZMB
45	13532 33351	   	180.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|68VULN|7DUR|9FLTHEA|aZMB
46	13532 51351	   	180.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|6DUR|78VULN|9FLTHEA|aZMB
47	16532 33351	   	180.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DUST|2LWND|3RCR|4DMG|5AART|68VULN|7DUR|9FLTHEA|aZMB
48	21532 31351	   	180.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1LEGI|2LHND|3RCR|4DMG|5AART|6DUR|78VULN|9FLTHEA|aZMB
49	25532 31251	   	180.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1LEGI|27VULN|3RCR|4DMG|5AART|6DUR|8FEWX|9FLTHEA|aZMB
50	25532 11151	   	180.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1LEGI|27VULN|3RCR|4DMG|5AART|6DUST|8DUR|9FLTHEA|aZMB
51	25532 13351	   	180.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1LEGI|28VULN|3RCR|4DMG|5AART|6DUST|7DUR|9FLTHEA|aZMB
52	25532 31351	   	180.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1LEGI|27VULN|3RCR|4DMG|5AART|6DUR|8DUST|9FLTHEA|aZMB
53	25531 31234	   	179.41	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1LEGI|27VULN|3RCR|47DMG|5BELT|6AART|7BPWR|8ERES|9ASPD|aDUR
54	16512 32335	   	179.39	ACR|3VULN|2DMG|1AART	18aDUST|2LWND|3RCR|4RPLT|56aVULN|7aDMG|9AART|aBPWR
55	14363 22135	   	179.25	DCR|2VULN|2DMG|1AART|2DUR	1aDUST|2RPLT|3AART|49VULN|5aDMG|6RCR|7aDUR|8RCVC|aBPWR
56	13534 11335	   	179.10	ACR|3DMG|2VULN|1AART|2SELL	1aDUST|25LHND|3RCR|45aDMG|5aBPWR|68SELL|7aVULN|9AART
57	42623 31633	 * 	179.08	ACR|4VULN|2DMG|1DUR|1SELL	1RCVC|2RCR|3489VULN|59LWND|6SELL|79DMG|9BPWR|aDUR
58	15234 25113	   	178.66	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD|1DUR	18DUST|2AART|38VULN|4BASHEA|5ASPD|6RCR|78ZMB|8BPWR|9DUR|aDMG
59	15232 23263	   	178.52	DCR|2VULN|2DMG|1AART|1ZMB	18DUST|2AART|38VULN|4BASHEA|5ZMB|6RCR|78FEWX|8BPWR|9aDMG
60	14313 21525	   	178.46	DCR|2AART|2VULN|2DMG	1aDUST|2RPLT|38AART|47FEWX|5aDMG|6RCR|9aVULN|aBPWR
61	15232 25411	   	178.42	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|2AART|38VULN|4BASHEA|5ZMB|6RCR|7RPLT|9aDMG
62	14313 22525	   	178.36	DCR|2AART|2VULN|2DMG	17aDUST|2RPLT|38AART|4FEWX|5aDMG|6RCR|9aVULN|aBPWR
63	15232 21563	   	178.32	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|2AART|37VULN|4BASHEA|5ZMB|6RCR|8LEGI|9aDMG
64	12532 31561	 * 	178.30	ACR|4VULN|1AART|1DMG	1DUST|2689VULN|3RCR|4DMG|5AART|7BEXP|aLHND
65	12532 31562	   	178.30	ACR|4VULN|1AART|1DMG	1DUST|2689VULN|3RCR|4DMG|5AART|7aBEXP
66	12532 31563	   	178.30	ACR|4VULN|1AART|1DMG	1DUST|2689VULN|3RCR|4DMG|5AART|7BEXP|aFEWX
67	12532 33512	   	178.30	ACR|4VULN|1AART|1DMG	1DUST|268aVULN|3RCR|4DMG|5AART|79LHND
68	13532 31512	   	178.30	ACR|4VULN|1AART|1DMG	1DUST|29LHND|3RCR|4DMG|5AART|678aVULN
69	12532 23261	   	178.27	ACR|2VULN|2DMG|1AART|2DUR	1DUST|29VULN|3RCR|48DMG|5AART|6ERES|7aDUR
70	25532 33125	 * 	178.24	ACR|2VULN|1AART|1DMG|3DUR|1CDMG	1LEGI|29VULN|3RCR|4DMG|5AART|678DUR|aCDMG
71	13421 31641	   	178.21	DCR|3VULN|2DMG|1AART|1DUR	17DUST|2LHND|37DMG|478VULN|5BELT|6AART|7BPWR|9DUR|aRCR
72	12532 33522	   	178.20	ACR|4VULN|1AART|1DMG	19DUST|268aVULN|3RCR|4DMG|5AART|7LHND
73	13532 31522	   	178.20	ACR|4VULN|1AART|1DMG	19DUST|2LHND|3RCR|4DMG|5AART|678aVULN
74	41363 24333	   	178.15	DCR|2VULN|3ZMB|1AART|1DMG|1ASPD	1RCVC|249ZMB|34VULN|4BPWR|5DUST|6AART|7DMG|8RCR|aASPD
75	12431 31641	   	178.11	DCR|3VULN|2DMG|1AART|1DUR	17DUST|278VULN|37DMG|4LEGI|5BELT|6AART|7BPWR|9DUR|aRCR
76	25532 31533	   	178.08	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1LEGI|278VULN|3RCR|4DMG|5AART|6DUR|9ASPD|aLWND
77	25532 31532	   	177.98	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1LEGI|278VULN|3RCR|4DMG|5AART|6DUR|9ASPD|aERES
78	25163 23125	   	177.96	DCR|2AART|2DMG|2VULN	1LEGI|2aVULN|3RPLT|49AART|5aDMG|6RCR|7aBEXP|8RCVC|aBPWR
79	14363 26121	   	177.92	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|2RPLT|3AART|49VULN|58DMG|6RCR|7ZMB|aRMIN
80	14363 26122	   	177.92	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|2RPLT|3AART|49VULN|58DMG|6RCR|7ZMB|aMLV
81	25632 23261	   	177.81	DCR|2VULN|3ZMB|1AART|1DMG	1LEGI|28VULN|3AART|4BASHEA|58aZMB|6RCR|78BEXP|8BPWR|9DMG
82	62622 21261	   	177.71	DCR|2VULN|3ZMB|1AART|1DMG	18AIRHEL|2LEGI|3AART|4FEWX|58aZMB|6RCR|78VULN|8BPWR|9DMG
83	14363 26123	   	177.67	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1DUST|2RPLT|3AART|49VULN|58DMG|6RCR|7ZMB|aSELL
84	12342 66322	 * 	177.33	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|29aVULN|3BASHEA|4CDMG|5AART|6RCR|7DMG|8RCVC
85	25163 26121	   	177.32	DCR|2VULN|2DMG|1AART|1ZMB	1LEGI|29VULN|3RPLT|4AART|58DMG|6RCR|7ZMB|aRMIN
86	25163 26122	   	177.32	DCR|2VULN|2DMG|1AART|1ZMB	1LEGI|29VULN|3RPLT|4AART|58DMG|6RCR|7ZMB|aMLV
87	25531 31332	   	177.08	ACR|2VULN|2DMG|2AART	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9CGEN|aFEWX
88	25531 31333	   	177.08	ACR|2VULN|2DMG|2AART	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9CGEN|aLIT
89	25531 31334	   	177.08	ACR|2VULN|2DMG|2AART	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9CGEN|aLWND
90	25531 31335	   	177.08	ACR|2VULN|2DMG|2AART	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9CGEN|aMLV
91	25531 31361	   	177.08	ACR|2VULN|2DMG|2AART	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9BEXP|aRMIN
92	25531 31362	   	177.08	ACR|2VULN|2DMG|2AART	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9BEXP|aFEWX
93	25531 31363	   	177.08	ACR|2VULN|2DMG|2AART	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9BEXP|aLWND
94	25163 26123	   	177.07	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1LEGI|29VULN|3RPLT|4AART|58DMG|6RCR|7ZMB|aSELL
95	12532 34163	   	177.04	ACR|2VULN|2DMG|1AART|1ZMB	1DUST|26VULN|3RCR|4aDMG|5AART|7LSRHEA|8LHND|9ZMB
96	25531 31252	   	176.98	ACR|2DMG|2VULN|2AART	1LEGI|27VULN|3RCR|47DMG|5BELT|69AART|7BPWR|8ERES|aFEWX
97	25531 31253	   	176.98	ACR|2VULN|2DMG|2AART	1LEGI|27VULN|3RCR|47DMG|5BELT|69AART|7BPWR|8ERES|aLIT
98	25531 31321	   	176.98	ACR|2VULN|2DMG|2AART	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9DUST|aRMIN
99	25531 31322	   	176.98	ACR|2VULN|2DMG|2AART	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9DUST|aFEWX
100	25531 31323	   	176.98	ACR|2VULN|2DMG|2AART	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9DUST|aLWND
101	25531 31325	   	176.98	ACR|2VULN|2DMG|2AART	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9DUST|aCGEN
102	25531 31326	   	176.98	ACR|2VULN|2DMG|2AART	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9DUST|aRPLT
103	12424 26311	   	176.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUST|247VULN|3DMG|5AART|6ZMB|8RCR|9MBVNT|aDUR
104	14313 25132	 * 	176.53	DCR|3DMG|2AART|1VULN	17DUST|2RPLT|39AART|47FEWX|578DMG|6RCR|7BPWR|aVULN
105	15232 25412	   	176.48	DCR|3VULN|1AART|1DMG|1ZMB	1DUST|2AART|38aVULN|4BASHEA|5ZMB|6RCR|7RPLT|9DMG
106	12532 23461	   	176.33	ACR|3VULN|1AART|1DMG|2DUR	1DUST|289VULN|3RCR|4DMG|5AART|6ERES|7aDUR
107	42651 13311	 * 	176.15	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1RCVC|2RCR|39VULN|46CDMG|5DMG|7LIT|8AART|aASPD
108	25423 31123	   	176.10	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1LEGI|24VULN|37DMG|5ASPD|6CDMG|8LHND|9RCR|aAART
109	14313 25161	   	176.08	DCR|3DMG|1AART|1VULN|1ZMB	17DUST|2RPLT|3AART|47FEWX|578DMG|6RCR|7BPWR|9ZMB|aVULN
110	14333 25161	   	176.08	DCR|3DMG|1AART|1VULN|1ZMB	17DUST|2RPLT|3AART|47LHND|578DMG|6RCR|7BPWR|9ZMB|aVULN
111	12532 31153	   	176.07	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1DUST|26VULN|3RCR|4DMG|5AART|7BEXP|8DUR|9FLTHEA|aASPD
112	12532 33153	   	176.07	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1DUST|26VULN|3RCR|4DMG|5AART|7LHND|8DUR|9FLTHEA|aASPD
113	13532 31153	   	176.07	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|67VULN|8DUR|9FLTHEA|aASPD
114	16532 31153	   	176.07	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1DUST|2LWND|3RCR|4DMG|5AART|67VULN|8DUR|9FLTHEA|aASPD
115	13532 33353	   	176.07	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|68VULN|7DUR|9FLTHEA|aASPD
116	13532 51353	   	176.07	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|6DUR|78VULN|9FLTHEA|aASPD
117	16532 33353	   	176.07	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1DUST|2LWND|3RCR|4DMG|5AART|68VULN|7DUR|9FLTHEA|aASPD
118	21532 31353	   	176.07	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1LEGI|2LHND|3RCR|4DMG|5AART|6DUR|78VULN|9FLTHEA|aASPD
119	25532 31253	   	176.07	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1LEGI|27VULN|3RCR|4DMG|5AART|6DUR|8FEWX|9FLTHEA|aASPD
120	25423 31324	   	176.00	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1LEGI|24VULN|37DMG|5ASPD|6CDMG|8DUST|9RCR|aAART
121	14363 26111	   	175.98	DCR|3DMG|1AART|1VULN|1ZMB	1DUST|2RPLT|3AART|4VULN|58aDMG|6RCR|7ZMB|9LWND
122	25532 11153	   	175.97	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1LEGI|27VULN|3RCR|4DMG|5AART|6DUST|8DUR|9FLTHEA|aASPD
123	25532 13353	   	175.97	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1LEGI|28VULN|3RCR|4DMG|5AART|6DUST|7DUR|9FLTHEA|aASPD
124	25532 31353	   	175.97	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1LEGI|27VULN|3RCR|4DMG|5AART|6DUR|8DUST|9FLTHEA|aASPD
125	14363 26131	   	175.88	DCR|3DMG|1AART|1VULN|1ZMB	1DUST|2RPLT|3AART|4VULN|58aDMG|6RCR|7ZMB|9LEGI
126	42533 25132	 * 	175.80	ACR|2AART|1VULN|1DMG|3DUR|1CDMG	1RCVC|2RCR|39AART|456DUR|7CDMG|8DMG|aVULN
127	42651 21122	 * 	175.54	ACR|2VULN|2AART|1DMG|1CDMG	1RCVC|2RCR|39VULN|4CDMG|5DMG|6aAART|7FEWX|8MLV
128	42651 23122	   	175.54	ACR|2VULN|2AART|1DMG|1CDMG	1RCVC|2RCR|39VULN|4CDMG|5DMG|6aAART|7BEXP|8MLV
129	25163 26111	   	175.38	DCR|3DMG|1AART|1VULN|1ZMB	1LEGI|2VULN|3RPLT|4AART|58aDMG|6RCR|7ZMB|9LWND
130	12342 54322	   	174.93	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|29aVULN|3BASHEA|4CDMG|5AART|6DMG|7RCR|8RCVC
131	42554 44244	 * 	174.80	ACR|3AART|2VULN|1DMG|1DUR	1RCVC|2RCR|367AART|4MBVNT|5DUR|89VULN|aDMG
132	42521 14233	   	174.74	ACR|3VULN|1AART|1DMG|1DUR	1RCVC|2RCR|3AART|4ERES|5DMSP|68aVULN|7DMG|9DUR
133	15234 21361	   	174.71	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUST|2AART|37VULN|4BASHEA|5ASPD|6RCR|8DUR|9DMG|aZMB
134	42523 14233	   	174.64	ACR|3VULN|1AART|1DMG|1DUR	1RCVC|2RCR|3AART|45ERES|5BPWR|68aVULN|7DMG|9DUR
135	15232 23236	   	174.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	18DUST|2AART|38VULN|4BASHEA|5ZMB|6RCR|78FEWX|8BPWR|9CDMG|aDMG
136	25423 33123	   	174.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1LEGI|247VULN|3DMG|5ASPD|6CDMG|8LHND|9RCR|aAART
137	25424 22231	   	174.17	DCR|3VULN|2DMG|1AART	1LEGI|246VULN|38DMG|5AART|7FEWX|9RCR|aLHND
138	25424 22233	   	174.17	DCR|3VULN|2DMG|1AART	1LEGI|246VULN|38DMG|5AART|7FEWX|9RCR|aBEXP
139	15243 14314	   	174.09	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1DUST|2AART|35aVULN|4SELL|6CDMG|7DMG|8RCR|9MBVNT
140	25423 33324	   	174.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1LEGI|247VULN|3DMG|5ASPD|6CDMG|8DUST|9RCR|aAART
141	25262 11123	 * 	174.04	DCR|3VULN|1AART|1DMG|2CDMG	1LEGI|249VULN|36CDMG|5AART|7SNIHEL|8DMG|aRCR
142	13421 31341	   	174.00	DCR|2VULN|2DMG|2AART|1DUR	17DUST|2LHND|37DMG|47VULN|5BELT|68AART|7BPWR|9DUR|aRCR
143	16421 31341	   	174.00	DCR|2VULN|2DMG|2AART|1DUR	17DUST|2LWND|37DMG|47VULN|5BELT|68AART|7BPWR|9DUR|aRCR
144	14363 23621	   	173.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2RPLT|3AART|4VULN|5aDMG|6RCR|7BELT|8ZMB|9CDMG
145	12431 31341	   	173.90	DCR|2VULN|2DMG|2AART|1DUR	17DUST|27VULN|37DMG|4LEGI|5BELT|68AART|7BPWR|9DUR|aRCR
146	62624 21223	 * 	173.88	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	18AIRHEL|2LEGI|3AART|4FEWX|58ASPD|6RCR|78VULN|8BPWR|9ZMB|aDMG
147	12424 26333	   	173.84	DCR|3VULN|1AART|1DMG|2ZMB	1DUST|247VULN|3DMG|5AART|69ZMB|8RCR|aLWND
148	12424 26332	   	173.74	DCR|3VULN|1AART|1DMG|2ZMB	1DUST|247VULN|3DMG|5AART|69ZMB|8RCR|aERES
149	25516 21231	 * 	173.72	ACR|2VULN|1AART|1CDMG|1FLTHEA|1ZMB|1DUR	1LEGI|29VULN|3RCR|4RPLT|5AART|6FLTHEA|7DUR|8CDMG|aZMB
150	42331 23334	   	173.42	ACR|2VULN|2AART|1CDMG|1ZMB|1DUR	1RCVC|2RCR|3MLV|4CDMG|59VULN|67AART|8ZMB|aDUR
151	12222 31634	 * 	173.32	DCR|4VULN|2DMG|1CDMG	169DUST|2589VULN|3CDMG|4LWND|79DMG|9BPWR|aRCR
152	41363 24314	   	173.24	DCR|3VULN|1AART|1DMG|2ZMB	1RCVC|24ZMB|34aVULN|4BPWR|5DUST|6AART|7DMG|8RCR|9MBVNT
153	12532 31351	   	173.20	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1DUST|26VULN|3RCR|4DMG|5AART|7BEXP|8LWND|9FLTHEA|aZMB
154	12532 33351	   	173.20	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1DUST|26VULN|3RCR|4DMG|5AART|7LHND|8LWND|9FLTHEA|aZMB
155	13532 31351	   	173.20	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1DUST|2LHND|3RCR|4DMG|5AART|67VULN|8LWND|9FLTHEA|aZMB
156	13532 26521	   	173.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2LHND|3RCR|4DMG|5AART|6ERES|7CDMG|89VULN|aZMB
157	13532 36361	   	173.10	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1DUST|2LHND|3RCR|4DMG|5AART|68VULN|7MBVNT|9FLTHEA|aZMB
158	21532 11351	   	173.10	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1LEGI|2LHND|3RCR|4DMG|5AART|6DUST|78VULN|9FLTHEA|aZMB
159	25532 11351	   	173.10	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1LEGI|27VULN|3RCR|4DMG|5AART|6DUST|8LWND|9FLTHEA|aZMB
160	12532 32641	   	173.07	ACR|2VULN|2DMG|1AART|1DUR	19DUST|26VULN|3RCR|49DMG|5AART|79CGEN|8MBVNT|9BPWR|aDUR
161	12532 43641	   	173.07	ACR|2VULN|2DMG|1AART|1DUR	19DUST|27VULN|3RCR|49DMG|5AART|69CGEN|8MBVNT|9BPWR|aDUR
162	13532 33661	   	173.07	ACR|2VULN|2DMG|1AART|1DUR	1DUST|2LHND|3RCR|4aDMG|5AART|69VULN|7DUR|8BELT
163	25532 32351	   	173.07	ACR|2VULN|2DMG|1AART|1DUR	1LEGI|29VULN|3RCR|49DMG|5AART|6DUR|7CGEN|89ERES|9BPWR|aLIT
164	25532 32353	   	173.07	ACR|2VULN|2DMG|1AART|1DUR	1LEGI|29VULN|3RCR|49DMG|5AART|6DUR|7CGEN|89ERES|9BPWR|aFEWX
