0	Index      	 *	Score 	Summary	Detail	
1	52553 12123	 * 	207.57	ACR|3VULN|3DMG|1AART|2DUR	18aVULN|2RCVC|3LWND|4RCR|5AART|68DUR|789DMG|8BPWR
30	56513 32133	   	181.67	DCR|3VULN|2DMG|1AART	128VULN|3LWND|48FEWX|5AART|6RCR|78DMG|8BPWR|9aLHND
31	52513 32124	   	181.57	DCR|3DMG|2VULN|1AART	18VULN|2RCVC|3LWND|48FEWX|5AART|6RCR|789DMG|8BPWR|aERES
32	52513 32161	   	181.57	DCR|3VULN|2DMG|1AART	18aVULN|2RCVC|3LWND|48FEWX|5AART|6RCR|78DMG|8BPWR|9CANHEL
33	56513 32132	   	181.57	DCR|3VULN|2DMG|1AART	128VULN|3LWND|48FEWX|5AART|6RCR|78DMG|8BPWR|9LHND|aDUST
34	51541 33312	 * 	181.53	DCR|3DMG|2VULN|2CDMG|1ZMB	16VULN|2BELT|3ZMB|49CDMG|567DMG|6BPWR|8RCR|aRPLT
35	56513 32112	   	181.47	DCR|3VULN|2DMG|1AART	128VULN|3LWND|48FEWX|5AART|6RCR|78DMG|8BPWR|9aDUST
36	56513 32113	   	181.47	DCR|3VULN|2DMG|1AART	128VULN|3LWND|48FEWX|5AART|6RCR|78DMG|8BPWR|9DUST|aMBVNT
37	51541 33311	   	181.43	DCR|3DMG|2VULN|2CDMG|1ZMB	16VULN|2BELT|3ZMB|49CDMG|567DMG|6BPWR|8RCR|aDUST
38	51541 33313	   	181.43	DCR|3DMG|2VULN|2CDMG|1ZMB	16VULN|2BELT|3ZMB|49CDMG|567DMG|6BPWR|8RCR|aMBVNT
39	56523 32113	   	181.37	DCR|3VULN|2DMG|1AART	128VULN|3LWND|489DUST|5AART|6RCR|78DMG|8BPWR|aRMIN
40	56523 32122	   	181.37	DCR|3VULN|2DMG|1AART	128VULN|3LWND|48aDUST|5AART|6RCR|78DMG|8BPWR|9LHND
41	56523 32123	   	181.37	DCR|3VULN|2DMG|1AART	128VULN|3LWND|48DUST|5AART|6RCR|78DMG|8BPWR|9LHND|aMBVNT
42	56523 32132	   	181.37	DCR|3VULN|2DMG|1AART	128VULN|3LWND|48aDUST|5AART|6RCR|78DMG|8BPWR|9FEWX
43	56523 32133	   	181.37	DCR|3VULN|2DMG|1AART	128VULN|3LWND|48DUST|5AART|6RCR|78DMG|8BPWR|9FEWX|aMBVNT
44	54261 21323	   	180.65	ACR|3VULN|2AART|2CDMG|1ZMB	134VULN|2aCDMG|5RCR|6CGEN|79AART|8ZMB
45	54361 21223	 * 	180.10	ACR|2VULN|2AART|3CDMG|1DMG	14VULN|23aCDMG|5RCR|6CGEN|79AART|8DMG
46	16142 52321	   	179.88	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|28VULN|3RCR|4CGEN|5AART|6CDMG|79DMG|aFEWX
47	16142 52322	   	179.88	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|28VULN|3RCR|4CGEN|5AART|6CDMG|79DMG|aLWND
48	16142 52323	   	179.88	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|28VULN|3RCR|4CGEN|5AART|6CDMG|79DMG|aLHND
49	16142 52332	   	179.88	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|28VULN|3RCR|4CGEN|5AART|6CDMG|7aDMG|9LHND
50	56513 32231	   	179.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	12VULN|3LWND|4FEWX|5AART|6RCR|7DMG|8ASPD|9ZMB|aCDMG
51	16153 52321	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|28VULN|3RCR|4ERES|5AART|6CDMG|79DMG|aFEWX
52	16153 52322	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|28VULN|3RCR|4ERES|5AART|6CDMG|79DMG|aLWND
53	16153 52323	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|28VULN|3RCR|4ERES|5AART|6CDMG|79DMG|aLHND
54	16153 52332	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|28VULN|3RCR|4ERES|5AART|6CDMG|7aDMG|9LHND
55	16142 52312	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|28VULN|3RCR|4CGEN|5AART|6CDMG|7aDMG|9DUST
56	56523 32231	   	179.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	12VULN|3LWND|4DUST|5AART|6RCR|7DMG|8ASPD|9ZMB|aCDMG
57	16153 52312	   	179.68	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|28VULN|3RCR|4ERES|5AART|6CDMG|7aDMG|9DUST
58	52513 32131	   	179.66	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2RCVC|3LWND|48FEWX|5AART|6RCR|78DMG|8BPWR|9LHND|aCDMG
59	52513 32142	   	179.66	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2RCVC|3LWND|489FEWX|5AART|6RCR|78DMG|8BPWR|aCDMG
60	52513 32111	   	179.56	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2RCVC|3LWND|48FEWX|5AART|6RCR|78DMG|8BPWR|9DUST|aCDMG
61	52523 32121	   	179.46	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2RCVC|3LWND|48DUST|5AART|6RCR|78DMG|8BPWR|9LHND|aCDMG
62	52523 32131	   	179.46	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2RCVC|3LWND|48DUST|5AART|6RCR|78DMG|8BPWR|9FEWX|aCDMG
63	52132 35342	 * 	179.42	DCR|4VULN|1AART|1DMG|1DUR	1379VULN|2RCVC|3BPWR|4DUR|5DUST|6AART|8RCR|aDMG
64	52523 32112	   	179.36	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2RCVC|3LWND|489DUST|5AART|6RCR|78DMG|8BPWR|aCDMG
65	53261 62313	 * 	179.10	ACR|4VULN|1AART|1DMG|1ASPD|1SELL	1348VULN|2SELL|5RCR|6LIT|7AART|9ASPD|aDMG
66	52351 42121	   	179.09	ACR|3DMG|2VULN|1AART	18VULN|2RCVC|3LHND|4RCR|58LWND|6AART|789DMG|8BPWR|aFEWX
67	52351 42122	   	179.09	ACR|3DMG|2VULN|1AART	18VULN|2RCVC|3LHND|4RCR|58LWND|6AART|789DMG|8BPWR|aDMSP
68	51541 33332	 * 	179.07	DCR|3DMG|2VULN|2ZMB|1CDMG	16VULN|2BELT|3aZMB|4CDMG|567DMG|6BPWR|8RCR|9LIT
69	52513 12126	   	179.01	DCR|3DMG|2VULN|1AART|1DUR	18VULN|2RCVC|38LWND|4FEWX|5AART|6DUR|789DMG|8BPWR|aRCR
70	54261 21132	 * 	178.92	ACR|5VULN|1AART|1CDMG	1349aVULN|2CDMG|5RCR|69aCGEN|7AART|89aTLV|9aBPWR
71	16121 52235	   	178.68	ACR|2VULN|2DMG|1AART|1FLTHEA	1RPLT|25VULN|3RCR|4LIT|69DMG|7AART|8BEXP|aFLTHEA
72	53261 31622	   	178.64	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	134VULN|2SELL|5RCR|6RMIN|7AART|8CDMG|9DUR|aDMG
73	16121 51151	   	178.48	ACR|3VULN|3DMG|1DUR	1RPLT|259VULN|3RCR|4LIT|689DMG|79BEXP|9BPWR|aDUR
74	16121 53151	   	178.48	ACR|3VULN|3DMG|1DUR	1RPLT|259VULN|3RCR|4LIT|689DMG|79LWND|9BPWR|aDUR
75	52331 42126	   	178.41	DCR|3DMG|2VULN|1AART|1DUR	18VULN|2RCVC|38LHND|4DUR|5LWND|6AART|789DMG|8BPWR|aRCR
76	54261 21233	   	178.26	ACR|3VULN|1AART|1DMG|2CDMG	134VULN|2aCDMG|5RCR|6CGEN|7AART|8DMG|9RCVC
77	54261 31223	   	178.26	ACR|3VULN|1AART|1DMG|2CDMG	134VULN|2aCDMG|5RCR|6RMIN|7AART|8DMG|9DMSP
78	54261 31233	   	178.26	ACR|3VULN|1AART|1DMG|2CDMG	134VULN|2aCDMG|5RCR|69RMIN|7AART|8DMG
79	16121 51235	   	178.08	ACR|2VULN|2DMG|1AART|1FLTHEA	1RPLT|25VULN|3RCR|4LIT|69DMG|7BEXP|8AART|aFLTHEA
80	53261 23612	   	178.04	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	134VULN|2SELL|5RCR|6CGEN|7DUR|8AART|9CDMG|aDMG
81	53261 33612	   	178.04	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	134VULN|2SELL|5RCR|6RMIN|7DUR|8AART|9CDMG|aDMG
82	54362 31231	 * 	177.73	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	14VULN|23CDMG|5DUR|6RMIN|7AART|8DMG|9RCR|aZMB
83	56121 61333	   	177.62	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	123VULN|3BPWR|4AART|5LHND|6DUR|7FEWX|8RCR|9ZMB|aDMG
84	26211 42134	 * 	177.61	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD	18ZMB|29LHND|38VULN|4ASPD|5LWND|6AART|78DMG|8BPWR|aRCR
