0	Index      	 *	Score 	Summary	Detail	
1	32421 61336	 * 	181.27	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	12ZMB|3FEWX|47VULN|5CDMG|6RCR|8ASPD|9AART|aDMG
81	14252 14315	   	166.57	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|2MBVNT|38VULN|4AART|5DUR|6RCR|7ZMB|9ERES|aDMG
82	14252 14335	   	166.57	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|2MBVNT|38VULN|4AART|5DUR|6RCR|7ZMB|9NUKE|aDMG
83	14252 14421	   	166.57	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|2MBVNT|3aVULN|4AART|5DUR|6RCR|7ZMB|8SNIHEL|9DMG
84	14252 14426	   	166.57	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2MBVNT|3VULN|4AART|5DUR|6RCR|7ZMB|8SNIHEL|9aDMG
85	22161 36412	 * 	166.41	DCR|3DMG|2VULN|2ASPD	1aLIT|25VULN|3aASPD|4TLV|6DUST|7RCR|89aDMG|aBPWR
86	21531 61126	 * 	166.41	DCR|2VULN|2DMG|2CDMG|1DUR	1LIT|2LSRHEA|3DUR|49VULN|57CDMG|6RCR|8aDMG
87	12325 13512	   	166.39	DCR|2VULN|1AART|1DMG|2CDMG	12LHND|37VULN|4BEXP|5DMG|6RCR|8AART|9aCDMG
88	12365 13512	   	166.39	DCR|2VULN|1AART|1DMG|2CDMG	12LHND|37VULN|4FEWX|5DMG|6RCR|8AART|9aCDMG
89	52225 13512	   	166.39	DCR|2VULN|1AART|1DMG|2CDMG	1FEWX|24LHND|37VULN|5DMG|6RCR|8AART|9aCDMG
90	15225 13512	   	166.29	DCR|2VULN|1AART|1DMG|2CDMG	14LHND|2DUST|37VULN|5DMG|6RCR|8AART|9aCDMG
91	32111 61361	   	166.18	DCR|3VULN|1DMG|2ZMB|1CDMG	12ZMB|3LWND|4BEXP|5CDMG|6RCR|78aVULN|9DMG
92	32121 61461	   	166.18	DCR|3VULN|1DMG|2ZMB|1CDMG	12ZMB|3LWND|47aVULN|5CDMG|6RCR|8BEXP|9DMG
93	32121 61661	   	166.18	DCR|3VULN|1DMG|2ZMB|1CDMG	12ZMB|3LWND|47aVULN|5CDMG|6RCR|8LHND|9DMG
94	32421 61161	   	166.18	DCR|3VULN|1DMG|2ZMB|1CDMG	12ZMB|3FEWX|47aVULN|5CDMG|6RCR|8LWND|9DMG
95	32511 61361	   	166.18	DCR|3VULN|1DMG|2ZMB|1CDMG	12ZMB|3LHND|4BEXP|5CDMG|6RCR|78aVULN|9DMG
96	32521 61161	   	166.18	DCR|3VULN|1DMG|2ZMB|1CDMG	12ZMB|3LHND|47aVULN|5CDMG|6RCR|8LWND|9DMG
97	32521 63361	   	166.18	DCR|3VULN|1DMG|2ZMB|1CDMG	12ZMB|3LHND|48aVULN|5CDMG|6RCR|7LWND|9DMG
98	12621 61533	   	166.07	DCR|3VULN|1AART|1CDMG|1ZMB	12LHND|3ZMB|47aVULN|5CDMG|6RCR|8RMIN|9AART
99	35121 61533	   	166.07	DCR|3VULN|1AART|1CDMG|1ZMB	1ZMB|2RCVC|3LWND|47aVULN|5CDMG|6RCR|8RMIN|9AART
100	32121 66113	   	166.06	DCR|3VULN|3ZMB|2CDMG	128ZMB|3LWND|48aVULN|58CDMG|6RCR|7NUKE|8BPWR|9RMIN
101	32121 66126	   	166.06	DCR|3VULN|3ZMB|2CDMG	128ZMB|3LWND|48aVULN|58CDMG|6RCR|7NUKE|8BPWR|9CGEN
102	32421 66113	   	166.06	DCR|3VULN|3ZMB|2CDMG	128ZMB|3FEWX|48aVULN|58CDMG|6RCR|7NUKE|8BPWR|9RMIN
103	32521 66113	   	166.06	DCR|3VULN|3ZMB|2CDMG	128ZMB|3LHND|48aVULN|58CDMG|6RCR|7NUKE|8BPWR|9RMIN
104	13213 45823	   	165.97	DCR|3VULN|1AART|1CDMG|1ZMB	1LHND|2LWND|37aVULN|4MBVNT|5CDMG|6RCR|8ZMB|9AART
105	31312 21452	   	165.94	ACR|3VULN|2DMG|2ZMB	1aZMB|2CGEN|39aVULN|4DMSP|5RCR|6BEXP|7LIT|8aDMG|aBPWR
106	31362 21452	   	165.94	ACR|3VULN|2DMG|2ZMB	1aZMB|24CGEN|39aVULN|5RCR|6BEXP|7LIT|8aDMG|aBPWR
107	36312 21452	   	165.84	ACR|3VULN|2DMG|2ZMB	1aZMB|2TLV|39aVULN|4DMSP|5RCR|6BEXP|7LIT|8aDMG|aBPWR
108	32121 53342	   	165.72	DCR|2VULN|2DMG|2ZMB|1CDMG	12ZMB|3LWND|49VULN|5CDMG|6LIT|7RCR|8aDMG
109	32335 63361	   	165.60	DCR|2DMG|3ZMB|1AART|1CDMG	129ZMB|3CGEN|49DMG|5AART|6RPLT|79MGNSTR|8RCR|9BPWR|aCDMG
110	22535 22523	 * 	165.53	DCR|4VULN|1DMG|1CDMG	1LIT|2579VULN|345CGEN|5BPWR|6RCR|8DMG|aCDMG
111	22536 22523	   	165.43	DCR|4VULN|1DMG|1CDMG	1LIT|2579VULN|34CGEN|6RCR|8DMG|aCDMG
112	13235 36523	 * 	165.08	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	15LHND|2LWND|3VULN|45ASPD|5BPWR|6AART|78DMG|9RCR|aZMB
113	31215 33624	   	165.07	DCR|4VULN|1AART|2ZMB	17ZMB|2CGEN|37BEXP|4LEGI|578aVULN|6AART|7BPWR|9RCR
114	22143 62331	 * 	165.04	DCR|3DMG|2VULN|2DUR|1ASPD	156LIT|28VULN|3ASPD|48DUR|789DMG|8BPWR|aRCR
115	53262 12311	 * 	165.03	DCR|5VULN|1CDMG|1DUR	1FEWX|2DUR|3489aVULN|5ERES|6RCR|7CDMG
116	35341 11214	   	165.02	DCR|2DMG|3CDMG|1AART|2ZMB	19ZMB|26RCVC|3CGEN|49aCDMG|59DMG|7RCR|8AART|9BPWR
117	31326 33623	   	164.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2CGEN|37VULN|4BEXP|5TLV|6AART|8DMG|9RCR|aCDMG
118	31352 36623	   	164.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2CGEN|38VULN|4LWND|5ERES|6AART|7DMG|9RCR|aCDMG
119	13232 36524	   	164.95	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|25LWND|3aVULN|4ASPD|6AART|78DMG|9RCR
120	14252 15124	   	164.91	DCR|3VULN|1AART|1CDMG|1DUR	1LHND|2MBVNT|39aVULN|4AART|5DUR|6RCR|7FEWX|8CDMG
121	22413 51325	 * 	164.73	ACR|3VULN|2DMG|1CDMG	13aLIT|26aVULN|4RMIN|5RCR|7CGEN|8CDMG|9aDMG|aBPWR
122	31425 33623	   	164.72	DCR|3VULN|1AART|2ZMB|1CDMG	17ZMB|27CGEN|3LWND|4BEXP|578VULN|6AART|7BPWR|9RCR|aCDMG
123	22413 53325	   	164.63	ACR|3VULN|2DMG|1CDMG	13aLIT|26aVULN|4RMIN|5RCR|7ERES|8CDMG|9aDMG|aBPWR
124	31215 33623	   	164.62	DCR|3VULN|1AART|2ZMB|1CDMG	17ZMB|2CGEN|37BEXP|4LEGI|578VULN|6AART|7BPWR|9RCR|aCDMG
125	53213 21545	   	164.61	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1FEWX|2DUR|36VULN|4MBVNT|5ZMB|7AART|8ASPD|9RCR|aDMG
126	31322 56623	   	164.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2CGEN|38VULN|4BEXP|5RMIN|6DMG|7AART|9RCR|aCDMG
127	21531 61124	 * 	164.48	DCR|3VULN|1DMG|2CDMG|1DUR	1LIT|2LSRHEA|3DUR|49aVULN|57CDMG|6RCR|8DMG
128	32121 61363	   	164.41	DCR|2VULN|1DMG|2ZMB|1CDMG|1DUR|1ASPD	12ZMB|3LWND|47VULN|5CDMG|6RCR|8DUR|9DMG|aASPD
129	32421 61263	   	164.41	DCR|2VULN|1DMG|2ZMB|1CDMG|1ASPD|1DUR	12ZMB|3FEWX|47VULN|5CDMG|6RCR|8DUR|9DMG|aASPD
130	32421 61353	   	164.41	DCR|2VULN|1DMG|2ZMB|1CDMG|1ASPD|1DUR	12ZMB|3FEWX|47VULN|5CDMG|6RCR|8ASPD|9DUR|aDMG
131	32521 61363	   	164.41	DCR|2VULN|1DMG|2ZMB|1CDMG|1ASPD|1DUR	12ZMB|3LHND|47VULN|5CDMG|6RCR|8DUR|9DMG|aASPD
132	62352 11325	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1MLV|2ZMB|39VULN|4LWND|5ERES|6RCR|7DUR|8AART|aDMG
133	63333 13325	   	164.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1MLV|2DUR|3LWND|4ERES|5ZMB|6RCR|79VULN|8AART|aDMG
134	33412 13325	   	164.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2DUR|3MLV|4LEGI|5ERES|6RCR|79VULN|8AART|aDMG
135	36352 11325	   	164.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2TLV|39VULN|4LWND|5ERES|6RCR|7DUR|8AART|aDMG
136	13213 45435	   	164.16	DCR|2VULN|2DMG|1CDMG|1ZMB	1LHND|2LWND|37VULN|4MBVNT|5CDMG|6RCR|8aDMG|9ZMB
137	52265 11132	 * 	164.01	DCR|4VULN|1DMG|2DUR	1FEWX|2LHND|349aVULN|5DMG|6RCR|78DUR
138	35421 61331	   	163.97	DCR|2VULN|1AART|2ASPD|1CDMG|1ZMB	1ZMB|2RCVC|3FEWX|47VULN|5CDMG|6RCR|8aASPD|9AART
139	15265 11132	   	163.91	DCR|4VULN|1DMG|2DUR	1LHND|2DUST|349aVULN|5DMG|6RCR|78DUR
140	34714 44426	   	163.88	DCR|2VULN|1DMG|2CDMG|2ZMB|1DUR	1aZMB|2MBVNT|3RMIN|4LHND|5aCDMG|6RCR|7DUR|8DMG|9aVULN|aBPWR
141	32362 52632	   	163.82	ACR|2VULN|2DMG|3ZMB	129ZMB|3aCGEN|4LHND|5RCR|6RPLT|7aDMG|8aVULN|aBPWR
142	32121 53343	   	163.78	DCR|3VULN|1DMG|2ZMB|1CDMG	12ZMB|3LWND|49aVULN|5CDMG|6LIT|7RCR|8DMG
143	13223 11624	   	163.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	14LHND|2LWND|3VULN|5ZMB|6RCR|7DUR|8aDMG|9AART
144	12621 66131	   	163.77	DCR|2VULN|1AART|2CDMG|1ZMB|1ASPD	128LHND|3ZMB|48VULN|58CDMG|6RCR|7NUKE|8BPWR|9AART|aASPD
145	32421 62336	   	163.68	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1ASPD	12ZMB|37FEWX|4VULN|5CDMG|6RCR|8ASPD|9AART|aDMG
146	33351 36324	   	163.66	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1ZMB|25DUR|3LWND|4LHND|6AART|78DMG|9RCR|aVULN
147	14412 41734	   	163.51	DCR|2VULN|2DMG|1AART	1aLHND|2MBVNT|3FEWX|4RPLT|5AART|6RMIN|7RCR|8aDMG|9aVULN|aBPWR
148	32121 66134	   	163.39	DCR|2VULN|3ZMB|3CDMG|1DUR	128ZMB|3LWND|48VULN|589CDMG|6RCR|7NUKE|8BPWR|aDUR
149	32341 32561	   	163.32	DCR|2VULN|2DMG|2ZMB|1CDMG	12ZMB|3CGEN|4CDMG|59DMG|6aVULN|7FEWX|8RCR
150	32341 33561	   	163.32	DCR|2VULN|2DMG|2ZMB|1CDMG	12ZMB|3CGEN|4CDMG|59DMG|6aVULN|7LWND|8RCR
151	32342 13561	   	163.32	DCR|2VULN|2DMG|2ZMB|1CDMG	12ZMB|3CGEN|4CDMG|5aVULN|6FEWX|79DMG|8RCR
152	52262 12224	   	163.31	DCR|2VULN|2DMG|1AART	1FEWX|2LHND|34VULN|5ERES|6RCR|7BEXP|8aDMG|9AART
153	12621 61311	   	163.31	DCR|4VULN|1CDMG|1ZMB|1DUR	12LHND|3ZMB|479aVULN|5CDMG|6RCR|8DUR
154	33421 61311	   	163.31	DCR|4VULN|1CDMG|1ZMB|1DUR	1ZMB|2DUR|3MLV|4CGEN|5CDMG|6RCR|789aVULN
155	35121 61311	   	163.31	DCR|4VULN|1CDMG|1ZMB|1DUR	1ZMB|2RCVC|3LWND|479aVULN|5CDMG|6RCR|8DUR
156	35421 61211	   	163.31	DCR|4VULN|1CDMG|1ZMB|1DUR	1ZMB|2RCVC|3FEWX|479aVULN|5CDMG|6RCR|8DUR
157	35521 61311	   	163.31	DCR|4VULN|1CDMG|1ZMB|1DUR	1ZMB|2RCVC|3LHND|479aVULN|5CDMG|6RCR|8DUR
158	61621 61311	   	163.31	DCR|4VULN|1CDMG|1ZMB|1DUR	1MLV|2CGEN|3ZMB|479aVULN|5CDMG|6RCR|8DUR
159	62361 61311	   	163.31	DCR|4VULN|1CDMG|1ZMB|1DUR	1MLV|2ZMB|379aVULN|4CGEN|5CDMG|6RCR|8DUR
160	34764 44244	 * 	163.30	ACR|2VULN|3ZMB|1AART|2DUR	14aZMB|2MBVNT|3RMIN|4aBPWR|5RCR|6aDUR|7AART|8aVULN|9BELT
161	32121 64226	   	163.24	DCR|2VULN|3ZMB|3CDMG|1ASPD|1SELL	128ZMB|3LWND|48VULN|589CDMG|6RCR|7SELL|8BPWR|aASPD
162	32421 64223	   	163.24	DCR|2VULN|3ZMB|3CDMG|1ASPD|1SELL	128ZMB|3FEWX|48VULN|589CDMG|6RCR|7SELL|8BPWR|aASPD
163	32342 23561	   	163.22	DCR|2VULN|2DMG|2ZMB|1CDMG	12ZMB|3CGEN|4CDMG|5aVULN|6DUST|79DMG|8RCR
164	15262 12224	   	163.21	DCR|2VULN|2DMG|1AART	1LHND|2DUST|34VULN|5ERES|6RCR|7BEXP|8aDMG|9AART
