0	Index      	 *	Score 	Summary	Detail	
1	51312 61362	 * 	190.11	DCR|3VULN|2DMG|1AART|1DUR	1RPLT|2AART|348VULN|5DUR|6RCR|7TLV|9aDMG
77	11653 24312	   	170.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2LHND|3CDMG|48VULN|5AART|6LWND|7RCR|9ZMB|aDMG
78	35512 11253	   	170.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	19BEXP|2CDMG|359VULN|4ZMB|6DUR|7RCR|89LHND|9BPWR|aAART
79	51311 13411	 * 	170.08	DCR|4VULN|1AART|2CDMG	19RPLT|2AART|3468VULN|56CDMG|6BPWR|7ERES|aRCR
80	51311 13461	   	170.08	DCR|4VULN|1AART|2CDMG	1RPLT|2AART|3468VULN|56CDMG|6BPWR|7ERES|9DMSP|aRCR
81	23165 64343	   	169.91	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1ASPD|2AART|3TLV|46DMG|5MBVNT|7DUR|8RCR|9VULN|aZMB
82	21232 34132	   	169.88	DCR|3VULN|1AART|3ASPD|1ZMB	158ASPD|2LHND|3DUST|456VULN|5BPWR|7RCR|9AART|aZMB
83	25232 34132	   	169.88	DCR|3VULN|1AART|3ASPD|1ZMB	158ASPD|2LWND|3DUST|456VULN|5BPWR|7RCR|9AART|aZMB
84	51311 26511	   	169.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2AART|34VULN|5CDMG|6LIT|7ZMB|8RCR|9CGEN|aDMG
85	51312 61112	   	169.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|2AART|34VULN|5DUR|6RCR|7TLV|8RCVC|9ZMB|aDMG
86	35246 11333	 * 	169.73	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1BEXP|29CDMG|3LHND|4VULN|56DMG|7RCR|8DUR|aAART
87	23165 31341	   	169.55	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2AART|3TLV|47DMG|5MBVNT|6LWND|8RCR|9aVULN
88	23165 41381	   	169.55	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2AART|3TLV|47DMG|5MBVNT|6FEWX|8RCR|9aVULN
89	51314 53212	   	169.48	DCR|3VULN|1AART|1DMG|1ZMB	1RPLT|2AART|34aVULN|5RMIN|6DMG|7ZMB|8LWND|9RCR
90	51323 43212	   	169.48	DCR|3VULN|1AART|1DMG|1ZMB	1RPLT|2AART|36aVULN|4DMG|5MLV|7ZMB|8LWND|9RCR
91	23441 64122	   	169.40	DCR|2VULN|1AART|2ASPD|1CDMG|2DUR	19ASPD|2AART|3BASHEA|4MBVNT|59VULN|6RCR|7BELT|89DUR|9BPWR|aCDMG
92	51314 53312	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	1RPLT|2AART|34aVULN|5RMIN|6DMG|7ZMB|8DUST|9RCR
93	51323 43312	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	1RPLT|2AART|36aVULN|4DMG|5MLV|7ZMB|8DUST|9RCR
94	51321 43212	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	1RPLT|2AART|36aVULN|4DMG|5ERES|7ZMB|8LWND|9RCR
95	51322 21312	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	1RPLT|2AART|38aVULN|4DMG|5LWND|6ZMB|7TLV|9RCR
96	51321 43312	   	169.28	DCR|3VULN|1AART|1DMG|1ZMB	1RPLT|2AART|36aVULN|4DMG|5ERES|7ZMB|8DUST|9RCR
97	51311 11636	 * 	169.06	DCR|3VULN|1AART|3CDMG|1DUR	1RPLT|2AART|346VULN|569CDMG|6BPWR|7LIT|8DUR|aRCR
98	23352 31252	   	168.77	DCR|2AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1ASPD|28AART|3DUR|4MLV|5LIT|6RCR|7ZMB|9VULN|aDMG
99	22122 33558	   	168.75	DCR|3VULN|2DMG|2ASPD|1DUR	18ASPD|25BEXP|3DMSP|458VULN|58BPWR|68DMG|7MBVNT|9RCR|aDUR
100	51312 63342	   	168.75	DCR|3VULN|1AART|2DUR|1ZMB	1RPLT|2AART|34aVULN|59DUR|6RCR|7DUST|8ZMB
101	23334 61335	   	168.57	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ASPD|2AART|3DUR|4LWND|5DMG|6LIT|7RCR|8ZMB|9VULN|aCDMG
102	61333 12322	   	168.46	DCR|3VULN|3DMG|1DUR	18CGEN|28LHND|347VULN|5DUR|689DMG|8BPWR|aRCR
103	23162 26234	   	168.31	DCR|2AART|2VULN|1DMG|1ASPD	1ASPD|2aAART|3TLV|4DMG|5LHND|6RCR|79VULN|8LIT
104	23166 21326	   	168.31	DCR|2AART|2DMG|1VULN|1ASPD	1ASPD|2aAART|3TLV|47DMG|5BEXP|6RCR|8VULN|9LHND
105	23315 26436	   	168.26	DCR|2DMG|1AART|3ASPD|2DUR|1ZMB	17aASPD|2AART|3aDUR|4DUST|5MBVNT|6ZMB|8RCR|9aDMG|aBPWR
106	11333 12322	   	168.26	DCR|3VULN|3DMG|1DUR	18ERES|28LHND|347VULN|5DUR|689DMG|8BPWR|aRCR
107	51332 41132	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RPLT|2AART|39VULN|4LIT|5MLV|6CDMG|7RCR|8ASPD|aDMG
108	23122 36634	   	168.21	DCR|2AART|2DMG|1VULN|1ASPD	1ASPD|2aAART|3TLV|4DUST|5LIT|6RCR|78DMG|9VULN
109	23451 34322	 * 	168.19	DCR|2AART|1VULN|3ASPD|1DMG|1DUR	189ASPD|24AART|3BASHEA|5VULN|6DMG|7RCR|aDUR
110	13626 41132	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2AART|3RPLT|49VULN|5LIT|6CDMG|7RCR|8ASPD|aDMG
111	13621 13163	   	168.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	15ERES|2AART|3RPLT|46VULN|7RCR|8DUR|9DMG|aCDMG
112	51361 13163	   	168.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|2AART|36VULN|45ERES|7RCR|8DUR|9DMG|aCDMG
113	35512 41112	   	167.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2CDMG|35VULN|4ZMB|6LHND|7RCR|8TLV|9AART|aDMG
114	23162 26512	   	167.87	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1ASPD|2AART|3TLV|4aDMG|5LHND|6RCR|7VULN|8ZMB|9BELT
115	23162 21321	   	167.87	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1ASPD|2AART|3TLV|47DMG|59LHND|6RCR|8ZMB|aVULN
116	23166 21251	   	167.87	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1ASPD|2AART|3TLV|47DMG|58BEXP|6RCR|9ZMB|aVULN
117	23162 21651	   	167.77	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1ASPD|2AART|38TLV|47DMG|5LHND|6RCR|9ZMB|aVULN
118	35212 16353	   	167.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	19BEXP|2CDMG|39LHND|4ZMB|5VULN|69DMG|7RCR|8RMIN|9BPWR|aAART
119	31622 25334	   	167.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1BEXP|2RMIN|3AART|4aDMG|5LIT|6ASPD|7RCR|8CDMG|9VULN
120	23114 61332	 * 	167.43	DCR|2DMG|1AART|3ASPD|1CDMG|1FLTHEA	178ASPD|2AART|37TLV|4FLTHEA|5DUST|67DMG|7BPWR|9CDMG|aRCR
121	42363 34233	   	167.28	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1RCVC|2LIT|3MLV|48AART|5VULN|6RCR|7DUR|9CDMG|aDMG
122	51112 41612	   	167.25	DCR|2VULN|2DMG|1AART|1DUR	1RPLT|2AART|3RMIN|48DMG|5DUR|6aVULN|7TLV|9RCR
123	51123 42612	   	167.25	DCR|2VULN|2DMG|1AART|1DUR	1RPLT|2AART|3RMIN|4DUR|5TLV|6aVULN|78DMG|9RCR
124	51311 14214	   	166.98	DCR|3VULN|1AART|2CDMG|1ZMB	1RPLT|2AART|346VULN|56CDMG|6BPWR|7MLV|8MBVNT|9ZMB|aRCR
125	51311 13214	   	166.88	DCR|3VULN|1AART|2CDMG|1ZMB	1RPLT|2AART|346VULN|56CDMG|6BPWR|7ERES|8MBVNT|9ZMB|aRCR
126	51312 61322	   	166.56	DCR|4VULN|1AART|1DUR	1RPLT|2AART|348aVULN|5DUR|6RCR|7TLV|9LWND
127	51312 61332	   	166.56	DCR|4VULN|1AART|1DUR	1RPLT|2AART|348aVULN|5DUR|6RCR|7TLV|9BEXP
128	51112 63342	   	166.55	DCR|3DMG|1AART|2DUR|1ZMB	1RPLT|2AART|3RMIN|46aDMG|56DUR|6BPWR|7RCR|8ZMB|9CGEN
129	51112 63322	   	166.45	DCR|3DMG|1AART|2DUR|1ZMB	1RPLT|2AART|3RMIN|46aDMG|56DUR|6BPWR|7RCR|8ZMB|9NUKE
130	23116 26511	 * 	166.41	DCR|2AART|1VULN|1DMG|1FLTHEA|1DUR|1ASPD	1ASPD|29AART|3TLV|4FLTHEA|5DMG|6LEGI|7DUR|8RCR|aVULN
131	51325 61112	   	166.41	DCR|2AART|2VULN|1DMG|2DUR	1RPLT|27AART|3aVULN|4DMG|5DUST|68DUR|9RCR
132	51111 13311	 * 	166.39	DCR|2AART|1VULN|1DMG|1CDMG|1FLTHEA	1RPLT|29AART|3RMIN|4DMG|5CDMG|6FLTHEA|7LWND|8RCR|aVULN
133	23226 34512	   	166.33	DCR|2VULN|1AART|3CDMG|3ASPD	168ASPD|2AART|3FEWX|4NUKE|58VULN|789CDMG|8BPWR|aRCR
134	51312 64311	 * 	166.21	DCR|3VULN|1AART|1FLTHEA|1DUR	1RPLT|2AART|34aVULN|5DUR|6RCR|7FLTHEA|8BEXP|9LHND
135	51312 64331	   	166.21	DCR|3VULN|1AART|1FLTHEA|1DUR	1RPLT|2AART|34aVULN|5DUR|6RCR|7FLTHEA|8BEXP|9MLV
136	23622 64322	   	166.17	DCR|1AART|1DMG|1VULN|1FLTHEA|1ZMB|1ASPD|1DUR	1ASPD|2AART|3RPLT|4VULN|5LWND|6DMG|7FLTHEA|8RCR|9DUR|aZMB
137	51322 54322	   	166.17	DCR|1AART|1DMG|1VULN|1FLTHEA|1ZMB|1ASPD|1DUR	1RPLT|2AART|3VULN|4DMG|5LWND|6ASPD|7FLTHEA|8RCR|9DUR|aZMB
138	52313 35253	 * 	166.12	ACR|2VULN|2DMG|3ZMB	1RPLT|29aZMB|3NUKE|4RCR|58LWND|69VULN|79DMG|9BPWR
139	21332 64613	   	166.04	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	1ASPD|25LHND|345VULN|5BPWR|6DUR|7RCR|8CDMG|9FEWX|aAART
140	21331 34633	   	165.94	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	1ASPD|2LHND|346VULN|5FEWX|7RCR|8CDMG|9DUR|aAART
141	51111 14321	   	165.94	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1RPLT|2AART|3RMIN|4DMG|5CDMG|6FLTHEA|7FEWX|8RCR|9ZMB|aVULN
142	51111 15321	   	165.94	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1RPLT|2AART|3RMIN|4DMG|5CDMG|6FLTHEA|7BEXP|8RCR|9ZMB|aVULN
143	23451 34111	   	165.91	DCR|2AART|2VULN|1DMG|1ASPD	1ASPD|24AART|3BASHEA|5aVULN|6DMG|7RCR|8CGEN|9FEWX
144	23451 34131	   	165.91	DCR|2AART|2DMG|1VULN|1ASPD	1ASPD|24AART|3BASHEA|5VULN|69DMG|7RCR|8CGEN|aLHND
145	23451 34133	   	165.91	DCR|2AART|2DMG|1VULN|1ASPD	1ASPD|24AART|3BASHEA|5VULN|69DMG|7RCR|8aCGEN
146	23451 34211	   	165.91	DCR|2AART|2VULN|1DMG|1ASPD	1ASPD|24AART|3BASHEA|5aVULN|6DMG|7RCR|8RMIN|9FEWX
147	21232 26335	   	165.82	DCR|3VULN|1AART|3ASPD|1DUR	156ASPD|2LHND|3DUST|45aVULN|5BPWR|7RCR|8DUR|9AART
148	23622 64311	   	165.81	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|2AART|3RPLT|4aVULN|5LWND|6DMG|7FLTHEA|8RCR|9LHND
149	51311 53342	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RPLT|2AART|34VULN|5CDMG|6ASPD|7CGEN|8RCR|9LIT|aDMG
150	51322 54311	   	165.81	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1RPLT|2AART|3aVULN|4DMG|5LWND|6ASPD|7FLTHEA|8RCR|9LHND
151	23326 62116	   	165.81	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	17ASPD|2AART|3DUR|4NUKE|57VULN|67LIT|7BPWR|8RCR|9CGEN|aDMG
152	13621 33162	   	165.81	DCR|2AART|2DMG|1VULN|1DUR	15ERES|26AART|3RPLT|4VULN|7RCR|8DUR|9aDMG
153	23451 34132	   	165.81	DCR|2AART|2DMG|1VULN|1ASPD	1ASPD|24AART|3BASHEA|5VULN|69DMG|7RCR|8CGEN|aDUST
154	23451 34231	   	165.81	DCR|2AART|2VULN|1DMG|1ASPD	1ASPD|24AART|3BASHEA|5aVULN|6DMG|7RCR|8RMIN|9LEGI
155	51361 33162	   	165.81	DCR|2AART|2DMG|1VULN|1DUR	1RPLT|26AART|3VULN|45ERES|7RCR|8DUR|9aDMG
156	13332 62326	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2AART|3DUR|4LHND|56VULN|7BEXP|8RCR|9CDMG|aDMG
157	23113 66361	   	165.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|2AART|3TLV|4FLTHEA|5BEXP|6DMG|7RPLT|8RCR|9aVULN
158	23116 16361	   	165.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|2AART|3TLV|4FLTHEA|5DMG|6BEXP|7RPLT|8RCR|9aVULN
159	23622 64331	   	165.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|2AART|3RPLT|4aVULN|5LWND|6DMG|7FLTHEA|8RCR|9MBVNT
160	51322 54331	   	165.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1RPLT|2AART|3aVULN|4DMG|5LWND|6ASPD|7FLTHEA|8RCR|9MBVNT
