0	Index      	 *	Score 	Summary	Detail	
1	13223 21613	 * 	229.41	ACR|4VULN|3DMG|1AART|2FLTHEA	189DMG|278aVULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR
16	13144 62233	   	211.85	ACR|3VULN|2DMG|1AART|3ASPD|1ZMB	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8FEWX|9ZMB|aLWND
17	13144 62331	   	211.85	ACR|3VULN|2DMG|1AART|3ASPD|1ZMB	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8LWND|9ZMB|aLHND
18	13144 62333	   	211.85	ACR|3VULN|2DMG|1AART|3ASPD|1ZMB	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8aLWND|9ZMB
19	13223 65243	   	211.08	ACR|3DMG|2VULN|1AART|1FLTHEA|1ZMB	179DMG|29VULN|3FLTHEA|4RCR|5AART|6ZMB|89TLV|9BPWR|aDUR
20	13223 26635	 * 	211.00	ACR|3DMG|2AART|2VULN|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5aAART|6RPLT|8BPWR|9DUST
21	15323 16262	   	210.98	ACR|3DMG|2VULN|1AART|2ZMB|2DUR	149DMG|2AART|3RCR|5aDUR|69VULN|79ZMB|8RPLT|9BPWR
22	15323 13353	 * 	210.79	ACR|3DMG|2VULN|1AART|2CDMG	14aDMG|2AART|3RCR|5DUR|6aVULN|7BEXP|8CGEN|9aCDMG|aBPWR
23	15323 13153	   	210.69	ACR|3DMG|2VULN|1AART|2CDMG	14aDMG|2AART|3RCR|5DUR|6aVULN|7BEXP|8ERES|9aCDMG|aBPWR
24	13223 26624	   	210.65	ACR|3DMG|2VULN|1AART|2FLTHEA|1ZMB	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9CGEN|aZMB
25	13144 12422	   	210.09	ACR|3VULN|3DMG|1AART|2ASPD	178DMG|279VULN|3AART|4RCR|57ASPD|6DMSP|7BPWR|aLIT
26	13144 12423	   	210.09	ACR|3VULN|3DMG|1AART|2ASPD	178DMG|279VULN|3AART|4RCR|57ASPD|6DMSP|7BPWR|aLHND
27	13144 12421	   	209.99	ACR|3VULN|3DMG|1AART|2ASPD	178DMG|279VULN|3AART|4RCR|57ASPD|6DMSP|7BPWR|aDUST
28	15315 11343	   	208.98	ACR|3DMG|2AART|2VULN|1CDMG	15aDMG|24AART|3RCR|6aCGEN|7BEXP|8CDMG|9aVULN|aBPWR
29	15315 21133	   	208.88	ACR|3DMG|2AART|2VULN|2ASPD	15aDMG|24AART|3RCR|6LHND|7aVULN|8aASPD|9RCVC|aBPWR
30	15315 21223	   	208.88	ACR|3DMG|2AART|2VULN|2ASPD	15aDMG|24AART|3RCR|6LHND|7aVULN|8RCVC|9aASPD|aBPWR
31	15315 23343	   	208.88	ACR|3DMG|2AART|2VULN|1CDMG	15aDMG|24AART|3RCR|6aLHND|7TLV|8CDMG|9aVULN|aBPWR
32	15315 41133	   	208.88	ACR|3DMG|2AART|2VULN|2ASPD	15aDMG|24AART|3RCR|6LWND|7aVULN|8aASPD|9RCVC|aBPWR
33	15315 41223	   	208.88	ACR|3DMG|2AART|2VULN|2ASPD	15aDMG|24AART|3RCR|6LWND|7aVULN|8RCVC|9aASPD|aBPWR
34	15322 35343	   	208.54	ACR|3DMG|2VULN|1AART|1CDMG|1ZMB	14aDMG|2AART|3RCR|5aCGEN|6RMIN|7ZMB|8CDMG|9aVULN|aBPWR
35	13144 62221	   	207.79	ACR|3VULN|2DMG|1AART|3ASPD	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8FEWX|9DUR|aLWND
36	13144 62222	   	207.79	ACR|3VULN|2DMG|1AART|3ASPD	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8FEWX|9DUR|aRPLT
37	13144 62321	   	207.79	ACR|3VULN|2DMG|1AART|3ASPD	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8aLWND|9DUR
38	13144 62322	   	207.79	ACR|3VULN|2DMG|1AART|3ASPD	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8LWND|9DUR|aMLV
39	13133 32156	 * 	207.77	DCR|3DMG|2VULN|1AART|3DUR|1CDMG	147DMG|27VULN|3AART|57aDUR|6RMIN|7BPWR|8RCR|9CDMG
40	13144 62223	   	207.69	ACR|3VULN|2DMG|1AART|3ASPD	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8FEWX|9DUR|aERES
41	13144 62313	   	207.69	ACR|3VULN|2DMG|1AART|3ASPD	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8LWND|9DUST|aDUR
42	15313 12435	 * 	207.57	ACR|3VULN|2AART|2DMG|2DUR	19DMG|24AART|3RCR|58DUR|69aVULN|79MLV|9BPWR
43	15323 12435	   	207.57	ACR|3DMG|2AART|2VULN|2DUR	149DMG|2aAART|3RCR|58DUR|69VULN|79MLV|9BPWR
44	13223 21222	   	206.99	ACR|3VULN|2DMG|1AART|1CDMG|1FLTHEA	1aDMG|27aVULN|3FLTHEA|4RCR|5AART|6RPLT|8CDMG|9aCGEN|aBPWR
45	13223 26222	   	206.99	ACR|3DMG|2VULN|1AART|1CDMG|1FLTHEA	17aDMG|2aVULN|3FLTHEA|4RCR|5AART|6RPLT|8CDMG|9aCGEN|aBPWR
46	15353 53332	   	206.68	ACR|3VULN|3DMG|1AART	179DMG|2AART|3RCR|48CGEN|579VULN|679LHND|79BPWR|aASPD
47	13223 21633	   	206.59	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9ASPD|aFEWX
48	13223 21636	   	206.59	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9ASPD|aCGEN
49	13223 21642	   	206.59	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9LIT|aDUR
50	13223 26612	   	206.59	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9ASPD|aLHND
51	13223 26613	   	206.59	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9ASPD|aLWND
52	15313 13353	 * 	206.58	ACR|2AART|2DMG|2VULN|2CDMG	1aDMG|24AART|3RCR|5DUR|6aVULN|7BEXP|8CGEN|9aCDMG|aBPWR
53	15353 63332	   	206.58	ACR|3VULN|3DMG|1AART	179DMG|2AART|3RCR|4789CGEN|579VULN|6LEGI|79BPWR|aASPD
54	13223 21652	   	206.49	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9ERES|aDUR
55	13223 26611	   	206.49	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9ASPD|aDUST
56	13223 26636	   	206.49	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9DUST|aDUR
57	15313 13153	   	206.48	ACR|2AART|2VULN|2DMG|2CDMG	1aDMG|24AART|3RCR|5DUR|6aVULN|7BEXP|8ERES|9aCDMG|aBPWR
58	15353 23331	   	206.38	ACR|3VULN|3DMG|1AART	179DMG|2AART|3RCR|48CGEN|579VULN|679DUST|79BPWR|aDUR
59	13133 32134	 * 	205.95	DCR|3VULN|3DMG|1AART|2DUR	147DMG|27aVULN|3AART|57DUR|6RMIN|7BPWR|8RCR|9BELT
60	13133 32146	   	205.95	DCR|3VULN|3DMG|1AART|2DUR	147DMG|27aVULN|3AART|57DUR|6RMIN|7BPWR|8RCR|9LIT
61	12415 36323	 * 	205.87	ACR|3DMG|2VULN|3ZMB|1AART	138DMG|2RPLT|38aBPWR|4RCR|5aVULN|68aZMB|78aLIT|9AART
62	12415 43323	   	205.87	ACR|3DMG|2VULN|3ZMB|1AART	138DMG|2RPLT|38aBPWR|4RCR|5aVULN|68aLIT|78aZMB|9AART
63	12515 36323	   	205.87	ACR|3DMG|2VULN|3ZMB|1AART	138DMG|2RPLT|4RCR|5aVULN|68aZMB|78aLIT|8aBPWR|9AART
64	12515 43323	   	205.87	ACR|3DMG|2VULN|3ZMB|1AART	138DMG|2RPLT|4RCR|5aVULN|68aLIT|78aZMB|8aBPWR|9AART
65	15322 43532	   	205.73	ACR|3DMG|1AART|1VULN|2ASPD|1FLTHEA|2DUR	14aDMG|2AART|3RCR|5CGEN|6aDUR|7FLTHEA|8VULN|9aASPD|aBPWR
66	15323 16261	   	205.68	ACR|3DMG|2VULN|1AART|2ZMB	149DMG|2AART|3RCR|5DUR|69VULN|79ZMB|8RPLT|9BPWR|aLHND
67	15323 16263	   	205.58	ACR|3DMG|2VULN|1AART|2ZMB	149DMG|2AART|3RCR|5DUR|69VULN|79ZMB|8RPLT|9BPWR|aTLV
68	15323 11326	   	204.63	ACR|4VULN|2DMG|1AART	14DMG|2AART|3RCR|5DUR|689aVULN|7LSRREG
69	15322 43512	   	204.48	ACR|3DMG|2VULN|1AART|1FLTHEA	14aDMG|2AART|3RCR|5aCGEN|6DUR|7FLTHEA|8aVULN|9RMIN|aBPWR
70	15323 15133	   	204.38	ACR|3DMG|2VULN|1AART|2ASPD	14aDMG|2AART|3RCR|5DUR|6aVULN|79RCVC|8aASPD|aBPWR
71	15323 15223	   	204.38	ACR|3DMG|2VULN|1AART|2ASPD	14aDMG|2AART|3RCR|5DUR|6aVULN|78RCVC|9aASPD|aBPWR
72	15322 43522	   	204.38	ACR|3DMG|2VULN|1AART|1FLTHEA	14aDMG|2AART|3RCR|5aCGEN|6DUR|7FLTHEA|8aVULN|9NUKE|aBPWR
73	15312 35343	   	204.33	ACR|2AART|2VULN|2DMG|1CDMG|1ZMB	1aDMG|24AART|3RCR|5aCGEN|6RMIN|7ZMB|8CDMG|9aVULN|aBPWR
74	13223 61322	   	204.24	ACR|3VULN|2DMG|1AART|1FLTHEA|1ZMB	1aDMG|28aVULN|3FLTHEA|4RCR|5AART|6ZMB|7LEGI|9aCGEN|aBPWR
75	13223 61522	   	204.24	ACR|3DMG|2VULN|1AART|1FLTHEA|1ZMB	18aDMG|2aVULN|3FLTHEA|4RCR|5AART|6ZMB|7LEGI|9aCGEN|aBPWR
76	13223 61642	   	204.24	ACR|3VULN|2DMG|1AART|1FLTHEA|1ZMB	1aDMG|29aVULN|3FLTHEA|4RCR|5AART|6ZMB|7LEGI|8aMLV|aBPWR
77	15323 11346	   	204.18	ACR|3VULN|2DMG|1AART|1FLTHEA	14DMG|2AART|3RCR|5DUR|68aVULN|7LSRREG|9FLTHEA
78	13223 65242	   	204.14	ACR|3DMG|2VULN|1AART|1FLTHEA|1ZMB	179DMG|29VULN|3FLTHEA|4RCR|5AART|6ZMB|89TLV|9BPWR|aFEWX
79	13223 61142	   	204.04	ACR|3VULN|2DMG|1AART|1FLTHEA|1ZMB	1aDMG|29aVULN|3FLTHEA|4RCR|5AART|6ZMB|7LEGI|8aERES|aBPWR
80	13133 32151	   	203.95	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	147DMG|27VULN|3AART|57DUR|6RMIN|7BPWR|8RCR|9CDMG|aBEXP
81	13133 32155	   	203.95	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	147DMG|27VULN|3AART|57DUR|6RMIN|7BPWR|8RCR|9CDMG|aLHND
82	13133 32152	   	203.85	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	147DMG|27VULN|3AART|57DUR|6RMIN|7BPWR|8RCR|9CDMG|aDUST
83	13133 32153	   	203.85	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	147DMG|27VULN|3AART|57DUR|6RMIN|7BPWR|8RCR|9CDMG|aTLV
84	13133 32154	   	203.85	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	147DMG|27VULN|3AART|57DUR|6RMIN|7BPWR|8RCR|9CDMG|aBASICY
85	15326 13353	   	203.85	ACR|3DMG|2VULN|1AART|2CDMG	14aDMG|2AART|3RCR|5FEWX|6aVULN|7BEXP|8CGEN|9aCDMG|aBPWR
86	15326 13153	   	203.75	ACR|3DMG|2VULN|1AART|2CDMG	14aDMG|2AART|3RCR|5FEWX|6aVULN|7BEXP|8ERES|9aCDMG|aBPWR
87	32113 51143	   	203.65	ACR|3DMG|2VULN|1AART|3ASPD	1MBVNT|2RCR|359ASPD|4LIT|6AART|79aDMG|89VULN|9BPWR
88	32113 51147	   	203.65	ACR|3VULN|2DMG|1AART|3ASPD	1MBVNT|2RCR|359ASPD|4LIT|6AART|79DMG|89aVULN|9BPWR
89	13141 63332	   	203.58	ACR|3VULN|3DMG|1AART	179DMG|279VULN|3AART|4RCR|5789CGEN|6LEGI|79BPWR|aASPD
90	13141 63334	   	203.58	ACR|3VULN|3DMG|1AART	179DMG|279VULN|3AART|4RCR|5789CGEN|6LEGI|79BPWR|aDUR
91	13143 63423	   	203.18	ACR|3VULN|3DMG|1AART	17aDMG|279VULN|3AART|4RCR|57TLV|6LEGI|7BPWR|8DUR
92	15323 12432	   	203.06	ACR|3DMG|2VULN|1AART|2DUR	149DMG|2AART|3RCR|58DUR|69VULN|79MLV|9BPWR|aASPD
93	13115 32451	   	202.97	DCR|3DMG|2VULN|1AART|3DUR|1CDMG	179DMG|27VULN|3AART|457DUR|6RMIN|7BPWR|8CDMG|aRCR
94	15315 21532	   	202.27	ACR|3DMG|2AART|2VULN	159DMG|24AART|3RCR|6LHND|79VULN|89MLV|9BPWR|aASPD
95	13223 65532	   	202.14	ACR|2VULN|2DMG|1AART|1FLTHEA|1CDMG|1ZMB	17DMG|28VULN|3FLTHEA|4RCR|5AART|6ZMB|9DMSP|aCDMG
96	15363 32631	   	201.75	ACR|2VULN|2DMG|1AART|2CDMG|2ASPD	19DMG|2AART|3RCR|49CDMG|57ASPD|6LIT|89VULN|9BPWR|aRMIN
97	15363 35331	   	201.75	ACR|2VULN|2DMG|1AART|2CDMG|2ASPD	19DMG|2AART|3RCR|49CDMG|58ASPD|6LIT|79VULN|9BPWR|aRMIN
98	15363 32632	   	201.65	ACR|2VULN|2DMG|1AART|2CDMG|2ASPD	19DMG|2AART|3RCR|49CDMG|57ASPD|6LIT|89VULN|9BPWR|aDUST
99	15363 32633	   	201.65	ACR|2VULN|2DMG|1AART|2CDMG|2ASPD	19DMG|2AART|3RCR|49CDMG|57ASPD|6LIT|89VULN|9BPWR|aERES
100	15363 35332	   	201.65	ACR|2VULN|2DMG|1AART|2CDMG|2ASPD	19DMG|2AART|3RCR|49CDMG|58ASPD|6LIT|79VULN|9BPWR|aDUST
101	15363 35333	   	201.65	ACR|2VULN|2DMG|1AART|2CDMG|2ASPD	19DMG|2AART|3RCR|49CDMG|58ASPD|6LIT|79VULN|9BPWR|aERES
102	15312 43532	   	201.53	ACR|2AART|2DMG|1VULN|2ASPD|1FLTHEA|2DUR	1aDMG|24AART|3RCR|5CGEN|6aDUR|7FLTHEA|8VULN|9aASPD|aBPWR
103	15313 16261	   	201.47	ACR|2AART|2VULN|2DMG|2ZMB	19DMG|24AART|3RCR|5DUR|69VULN|79ZMB|8RPLT|9BPWR|aBEXP
104	15313 16263	   	201.47	ACR|2AART|2VULN|2DMG|2ZMB	19DMG|24AART|3RCR|5DUR|69VULN|79ZMB|8RPLT|9BPWR|aLIT
105	13111 53436	   	201.35	DCR|3VULN|3DMG|1AART|2DUR	179DMG|279VULN|3AART|48DUR|5CGEN|679LHND|79BPWR|aRCR
106	13113 53436	   	201.25	DCR|3VULN|3DMG|1AART|2DUR	179DMG|279VULN|3AART|48DUR|5TLV|679LHND|79BPWR|aRCR
107	15313 16262	   	201.23	ACR|2AART|2VULN|2DMG|2ZMB|1SELL	19DMG|24AART|3RCR|5DUR|69VULN|79ZMB|8RPLT|9BPWR|aSELL
108	13144 12333	   	200.95	ACR|3DMG|2VULN|1AART|3ASPD	17aDMG|27VULN|3AART|4RCR|57aASPD|6DMSP|7aBPWR|8aLHND|9RCVC
109	13144 62111	   	200.75	ACR|3VULN|2DMG|1AART|3ASPD	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8RMIN|9TLV|aMLV
110	13144 62113	   	200.75	ACR|3VULN|2DMG|1AART|3ASPD	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8RMIN|9TLV|aLWND
111	13144 62131	   	200.75	ACR|3VULN|2DMG|1AART|3ASPD	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8RMIN|9DUST|aLHND
112	13144 62133	   	200.75	ACR|3VULN|2DMG|1AART|3ASPD	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8RMIN|9DUST|aLWND
113	13144 62211	   	200.75	ACR|3VULN|2DMG|1AART|3ASPD	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8FEWX|9DUST|aLWND
114	13144 62212	   	200.75	ACR|3VULN|2DMG|1AART|3ASPD	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8FEWX|9DUST|aRPLT
115	13144 62311	   	200.75	ACR|3VULN|2DMG|1AART|3ASPD	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8aLWND|9DUST
116	13144 62312	   	200.75	ACR|3VULN|2DMG|1AART|3ASPD	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8LWND|9DUST|aMLV
117	13141 32146	   	200.75	ACR|3VULN|2DMG|1AART|2FLTHEA	19DMG|29aVULN|3AART|4RCR|5CGEN|6ERES|79FLTHEA|8DMSP|9BPWR
118	13144 12352	   	200.75	ACR|3DMG|2VULN|1AART|3ASPD	179DMG|27VULN|3AART|4RCR|57aASPD|6DMSP|7BPWR|8LHND
119	13144 12432	   	200.75	ACR|3DMG|2VULN|1AART|3ASPD	178DMG|27VULN|3AART|4RCR|57aASPD|6DMSP|7BPWR|9FEWX
120	13212 13655	   	200.72	DCR|3DMG|2VULN|1AART|1FLTHEA|1ZMB	179DMG|25VULN|3FLTHEA|4RCVC|6AART|8RCR|aZMB
121	13212 16652	   	200.72	DCR|3VULN|2DMG|1AART|1FLTHEA|1ZMB	19DMG|257VULN|3FLTHEA|4RCVC|6AART|8RCR|aZMB
122	13144 62213	   	200.65	ACR|3VULN|2DMG|1AART|3ASPD	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8FEWX|9DUST|aERES
123	13143 32146	   	200.65	ACR|3VULN|2DMG|1AART|2FLTHEA	19DMG|29aVULN|3AART|4RCR|5TLV|6ERES|79FLTHEA|8DMSP|9BPWR
124	15312 43512	   	200.27	ACR|2AART|2VULN|2DMG|1FLTHEA	1aDMG|24AART|3RCR|5aCGEN|6DUR|7FLTHEA|8aVULN|9RMIN|aBPWR
125	13223 63213	   	200.20	ACR|3DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB	19aDMG|2VULN|3FLTHEA|4RCR|5AART|6ZMB|7MLV|8CDMG
126	15312 43522	   	200.17	ACR|2AART|2DMG|2VULN|1FLTHEA	1aDMG|24AART|3RCR|5aCGEN|6DUR|7FLTHEA|8aVULN|9NUKE|aBPWR
127	15313 15133	   	200.17	ACR|2AART|2VULN|2DMG|2ASPD	1aDMG|24AART|3RCR|5DUR|6aVULN|79RCVC|8aASPD|aBPWR
128	15313 15223	   	200.17	ACR|2AART|2VULN|2DMG|2ASPD	1aDMG|24AART|3RCR|5DUR|6aVULN|78RCVC|9aASPD|aBPWR
129	15323 12434	 * 	199.94	ACR|3DMG|2VULN|1AART|3DUR	149DMG|2AART|3RCR|58aDUR|69VULN|79MLV|9BPWR
130	13223 65531	   	199.93	ACR|2AART|2VULN|2DMG|1FLTHEA|1ZMB	17DMG|28VULN|3FLTHEA|4RCR|5aAART|6ZMB|9DMSP
131	15353 43331	   	199.74	ACR|3VULN|3DMG|1AART	179DMG|2AART|3RCR|48CGEN|579VULN|679LWND|79BPWR|aRCVC
132	15353 53331	   	199.74	ACR|3VULN|3DMG|1AART	179DMG|2AART|3RCR|48CGEN|579VULN|679LHND|79BPWR|aMLV
133	15353 53333	   	199.74	ACR|3VULN|3DMG|1AART	179DMG|2AART|3RCR|48CGEN|579VULN|679LHND|79BPWR|aLIT
134	13223 21621	   	199.65	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9DMSP|aMLV
135	13223 21623	   	199.65	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9DMSP|aLHND
136	13223 21624	   	199.65	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9DMSP|aRMIN
137	13223 21625	   	199.65	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9DMSP|aMGNLIT
138	13223 21626	   	199.65	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9DMSP|aBEXP
139	13223 21641	   	199.65	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9LIT|aLHND
140	13223 21643	   	199.65	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9aLIT
141	13223 21646	   	199.65	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9LIT|aCGEN
142	13223 21661	   	199.65	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9LHND|aLWND
143	13223 21664	   	199.65	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9aLHND
144	13223 21665	   	199.65	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9LHND|aFEWX
145	13223 26622	   	199.65	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9CGEN|aLHND
146	13223 26623	   	199.65	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9CGEN|aLWND
147	13223 26625	   	199.65	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9CGEN|aRCVC
148	13223 26643	   	199.65	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6aRPLT|8BPWR|9MGNLIT
149	13223 26652	   	199.65	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9RCVC|aRMIN
150	13223 26661	   	199.65	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9BELT|aLWND
151	13223 26662	   	199.65	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9BELT|aMLV
152	13223 26663	   	199.65	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9aBELT
153	15316 13353	   	199.64	ACR|2AART|2DMG|2VULN|2CDMG	1aDMG|24AART|3RCR|5FEWX|6aVULN|7BEXP|8CGEN|9aCDMG|aBPWR
154	15353 43333	   	199.64	ACR|3VULN|3DMG|1AART	179DMG|2AART|3RCR|48CGEN|579VULN|679LWND|79BPWR|aDUST
155	15353 63331	   	199.64	ACR|3VULN|3DMG|1AART	179DMG|2AART|3RCR|4789CGEN|579VULN|6LEGI|79BPWR|aMLV
156	15353 63333	   	199.64	ACR|3VULN|3DMG|1AART	179DMG|2AART|3RCR|4789CGEN|579VULN|6LEGI|79BPWR|aLIT
157	13223 21651	   	199.55	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6aRPLT|8BPWR|9ERES
158	13223 21653	   	199.55	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9ERES|aLWND
159	13223 21655	   	199.55	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9ERES|aFEWX
160	13223 21656	   	199.55	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9ERES|aCGEN
