0	Index      	 *	Score 	Summary	Detail	
1	31453 11232	 * 	193.22	ACR|3DMG|2VULN|3ZMB|1FLTHEA	1LEGI|279LIT|38VULN|479ZMB|5RCR|679DMG|79BPWR|aFLTHEA
57	66223 62212	   	179.04	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	146VULN|2ERES|3RCR|5DMG|7ZMB|8TLV|9ASPD|aAART
58	22333 24632	   	178.26	ACR|2VULN|2AART|1DMG|2CDMG	1RMIN|29CDMG|3RCR|45VULN|6LWND|7DMG|8aAART
59	65223 13632	   	178.26	ACR|2VULN|2AART|1DMG|2CDMG	14VULN|2CGEN|3RCR|5DMG|69CDMG|7LHND|8aAART
60	66223 13632	   	178.16	ACR|2VULN|2AART|2CDMG|1DMG	14VULN|2ERES|3RCR|5DMG|69CDMG|7LHND|8aAART
61	25221 63221	   	177.95	ACR|3VULN|1AART|1DMG|1CDMG	1RMIN|2LWND|3RCR|47aVULN|5AART|6DMG|8CDMG|9FEWX
62	25221 63261	   	177.95	ACR|3VULN|1AART|1DMG|1CDMG	1RMIN|2LWND|3RCR|47aVULN|5AART|6DMG|8CDMG|9BEXP
63	25221 63211	   	177.85	ACR|3VULN|1AART|1DMG|1CDMG	1RMIN|2LWND|3RCR|47aVULN|5AART|6DMG|8CDMG|9DUST
64	36221 66221	   	177.85	ACR|3VULN|1AART|1DMG|1CDMG	1LEGI|2CGEN|3RCR|47aVULN|5AART|6DMG|8CDMG|9FEWX
65	36221 66211	   	177.75	ACR|3VULN|1AART|1DMG|1CDMG	1LEGI|2CGEN|3RCR|47aVULN|5AART|6DMG|8CDMG|9DUST
66	22333 35543	   	177.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RMIN|2CDMG|3RCR|45VULN|6MBVNT|7DMG|8ZMB|9AART|aDUR
67	32222 65263	   	177.70	ACR|4VULN|1AART|1DMG	1LEGI|27MLV|3RCR|459aVULN|6AART|8DMG
68	25221 61121	 * 	177.68	ACR|2AART|2DMG|2VULN	1RMIN|29LWND|3RCR|4aVULN|58AART|69DMG|79DUST|9BPWR
69	32222 66241	   	177.60	ACR|4VULN|1AART|1DMG	1LEGI|2MLV|3RCR|459aVULN|6AART|7DUST|8DMG
70	25221 16421	 * 	177.58	ACR|3VULN|1AART|3CDMG|1DUR	1RMIN|289LWND|3RCR|489VULN|5AART|689CDMG|7RPLT|89BPWR|aDUR
71	36222 61263	   	177.25	ACR|3VULN|1AART|1DMG|1CDMG	1LEGI|27CGEN|3RCR|459VULN|6AART|8DMG|aCDMG
72	25222 45312	   	177.20	ACR|4VULN|1AART|1DMG	1RMIN|2LWND|3RCR|4568VULN|7AART|9RPLT|aDMG
73	12222 45231	   	177.10	ACR|4VULN|1AART|1DMG	1ERES|2FEWX|3RCR|456aVULN|7AART|8DMG|9RMIN
74	12222 45251	   	177.10	ACR|4VULN|1AART|1DMG	1ERES|2FEWX|3RCR|4569VULN|7AART|8DMG|aMLV
75	12222 45312	   	177.10	ACR|4VULN|1AART|1DMG	1ERES|2FEWX|3RCR|4568VULN|7AART|9RPLT|aDMG
76	12222 45326	   	177.10	ACR|4VULN|1AART|1DMG	1ERES|2FEWX|3RCR|4568VULN|7AART|9CGEN|aDMG
77	12222 45336	   	177.10	ACR|4VULN|1AART|1DMG	1ERES|2FEWX|3RCR|4568VULN|7AART|9MLV|aDMG
78	16222 45231	   	177.10	ACR|4VULN|1AART|1DMG	1ERES|2LHND|3RCR|456aVULN|7AART|8DMG|9RMIN
79	16222 45312	   	177.10	ACR|4VULN|1AART|1DMG	1ERES|2LHND|3RCR|4568VULN|7AART|9RPLT|aDMG
80	32222 45231	   	177.10	ACR|4VULN|1AART|1DMG	1LEGI|2MLV|3RCR|456aVULN|7AART|8DMG|9RMIN
81	32222 45241	   	177.10	ACR|4VULN|1AART|1DMG	1LEGI|2MLV|3RCR|456aVULN|7AART|8DMG|9FEWX
82	32222 45251	   	177.10	ACR|4VULN|1AART|1DMG	1LEGI|2MLV|3RCR|456aVULN|7AART|8DMG|9LWND
83	32222 45261	   	177.10	ACR|4VULN|1AART|1DMG	1LEGI|2aMLV|3RCR|4569VULN|7AART|8DMG
84	32222 45262	   	177.10	ACR|4VULN|1AART|1DMG	1LEGI|2MLV|3RCR|4569VULN|7AART|8DMG|aLHND
85	32222 45312	   	177.10	ACR|4VULN|1AART|1DMG	1LEGI|2MLV|3RCR|4568VULN|7AART|9RPLT|aDMG
86	36222 45231	   	177.10	ACR|4VULN|1AART|1DMG	1LEGI|2CGEN|3RCR|456aVULN|7AART|8DMG|9RMIN
87	36222 45312	   	177.10	ACR|4VULN|1AART|1DMG	1LEGI|2CGEN|3RCR|4568VULN|7AART|9RPLT|aDMG
88	24222 15241	   	177.10	ACR|4VULN|1AART|1DMG	1RMIN|2DUST|3RCR|459aVULN|6LWND|7AART|8DMG
89	32231 45263	   	177.10	ACR|4VULN|1AART|1DMG	1LEGI|2MLV|3RCR|4RCVC|569aVULN|7AART|8DMG
90	12222 45226	   	177.00	ACR|4VULN|1AART|1DMG	1ERES|2FEWX|3RCR|456aVULN|7AART|8DMG|9DLOT
91	32222 45226	   	177.00	ACR|4VULN|1AART|1DMG	1LEGI|2MLV|3RCR|456aVULN|7AART|8DMG|9DLOT
92	25222 45213	   	176.98	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1RMIN|2LWND|3RCR|456VULN|7AART|8DMG|9DUR|aASPD
93	12222 45213	   	176.88	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2FEWX|3RCR|456VULN|7AART|8DMG|9DUR|aASPD
94	32222 45213	   	176.88	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1LEGI|2MLV|3RCR|456VULN|7AART|8DMG|9DUR|aASPD
95	36222 45213	   	176.88	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1LEGI|2CGEN|3RCR|456VULN|7AART|8DMG|9DUR|aASPD
96	25222 45233	   	176.75	ACR|3VULN|1AART|1DMG|1CDMG	19RMIN|2LWND|3RCR|456VULN|7AART|8DMG|aCDMG
97	31452 11542	 * 	176.65	DCR|3DMG|2VULN|3ZMB	1LEGI|278LIT|3aVULN|47aZMB|5MBVNT|67aDMG|7aBPWR|9RCR
98	12222 45243	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1ERES|29FEWX|3RCR|456VULN|7AART|8DMG|aCDMG
99	12231 45253	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1ERES|2FEWX|3RCR|4RCVC|569VULN|7AART|8DMG|aCDMG
100	66221 41221	   	176.20	ACR|5VULN|1AART|1DUR	14567VULN|267ERES|3RCR|67BPWR|8AART|9BEXP|aDUR
101	32222 42266	 * 	176.17	ACR|3VULN|2DMG|1CDMG|1DUR	1LEGI|2MLV|3RCR|456VULN|7CDMG|8aDMG|9DUR
102	22333 24621	   	176.15	ACR|3VULN|1AART|1DMG|1CDMG	1RMIN|2CDMG|3RCR|45aVULN|6LWND|7DMG|8AART|9FEWX
103	22333 24661	   	176.15	ACR|3VULN|1AART|1DMG|1CDMG	1RMIN|2CDMG|3RCR|45aVULN|6LWND|7DMG|8AART|9BEXP
104	65223 13621	   	176.15	ACR|3VULN|1AART|1DMG|1CDMG	14aVULN|2CGEN|3RCR|5DMG|6CDMG|7LHND|8AART|9FEWX
105	66236 14142	   	176.07	ACR|3VULN|2DMG|1CDMG|1DUR	17aVULN|2ERES|3RCR|4aBASHEA|5MBVNT|6CDMG|8DUR|9aDMG|aBPWR
106	66223 13621	   	176.05	ACR|3VULN|1AART|1DMG|1CDMG	14aVULN|2ERES|3RCR|5DMG|6CDMG|7LHND|8AART|9FEWX
107	22333 24611	   	176.05	ACR|3VULN|1AART|1DMG|1CDMG	1RMIN|2CDMG|3RCR|45aVULN|6LWND|7DMG|8AART|9DUST
108	65223 13611	   	176.05	ACR|3VULN|1AART|1DMG|1CDMG	14aVULN|2CGEN|3RCR|5DMG|6CDMG|7LHND|8AART|9DUST
109	24222 15225	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	1RMIN|29DUST|3RCR|45VULN|69LWND|7AART|89DMG|9BPWR|aZMB
110	65223 62123	   	176.03	ACR|5VULN|1DMG|1ZMB	1468aVULN|2CGEN|3RCR|5DMG|7ZMB|9FEWX
111	65223 62133	   	176.03	ACR|5VULN|1DMG|1ZMB	1468aVULN|2CGEN|3RCR|5DMG|7ZMB|9BEXP
112	66221 41232	   	175.96	ACR|5VULN|1AART|1DUR|1SELL	14567VULN|267ERES|3RCR|67BPWR|8AART|9SELL|aDUR
113	66223 13611	   	175.95	ACR|3VULN|1AART|1DMG|1CDMG	14aVULN|2ERES|3RCR|5DMG|6CDMG|7LHND|8AART|9DUST
114	25221 63226	   	175.95	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RMIN|2LWND|3RCR|47VULN|5AART|6DMG|8CDMG|9FEWX|aFLTHEA
115	25221 16121	 * 	175.85	ACR|3VULN|2AART|2CDMG	1RMIN|29LWND|3RCR|49aVULN|58AART|69CDMG|7RPLT|9BPWR
116	26221 16121	   	175.85	ACR|3VULN|2AART|2CDMG	1RMIN|29FEWX|3RCR|49aVULN|58AART|69CDMG|7RPLT|9BPWR
117	25221 63216	   	175.85	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RMIN|2LWND|3RCR|47VULN|5AART|6DMG|8CDMG|9DUST|aFLTHEA
118	25221 61141	 * 	175.65	ACR|3VULN|2AART|1DMG	1RMIN|2LWND|3RCR|49aVULN|58AART|6DMG|7DUST
119	24221 16121	   	175.65	ACR|3VULN|2AART|2CDMG	1RMIN|29DUST|3RCR|49aVULN|58AART|69CDMG|7RPLT|9BPWR
120	65223 63233	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	146VULN|2CGEN|3RCR|5DMG|7RMIN|8TLV|9AART|aCDMG
121	22333 24531	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	1RMIN|2CDMG|3RCR|45aVULN|6LWND|7DMG|8LEGI|9AART
122	12133 53536	   	175.43	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1ERES|2FEWX|3DMG|4FLTHEA|5AART|6RCR|7aVULN|8CDMG|9MLV
123	12133 53552	   	175.43	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1ERES|2FEWX|3DMG|4FLTHEA|5AART|6RCR|79VULN|8CDMG|aCGEN
124	32222 45531	   	175.42	ACR|4VULN|2AART|1DUR	1LEGI|2MLV|3RCR|456aVULN|79AART|8DUR
125	66223 13531	   	175.35	ACR|3VULN|1AART|1DMG|1CDMG	14aVULN|2ERES|3RCR|5DMG|6CDMG|7LHND|8LEGI|9AART
126	66223 32233	   	175.35	ACR|3VULN|1AART|1DMG|1CDMG	147VULN|28ERES|3RCR|5DMG|6LWND|9AART|aCDMG
127	66223 63233	   	175.35	ACR|3VULN|1AART|1DMG|1CDMG	146VULN|2ERES|3RCR|5DMG|7RMIN|8TLV|9AART|aCDMG
128	66221 42122	   	175.30	ACR|4VULN|1AART|1DMG	1456VULN|26ERES|3RCR|6BPWR|7CGEN|8LHND|9DMG|aAART
129	66221 42322	   	175.30	ACR|4VULN|1AART|1DMG	1456VULN|26ERES|3RCR|6BPWR|7CGEN|8DMG|9FEWX|aAART
130	66221 42332	   	175.30	ACR|4VULN|1AART|1DMG	1456VULN|26ERES|3RCR|6BPWR|7CGEN|8DMG|9BEXP|aAART
131	66221 43222	   	175.20	ACR|4VULN|1AART|1DMG	1456VULN|26ERES|3RCR|6BPWR|7BEXP|8TLV|9DMG|aAART
132	32222 45611	   	174.98	ACR|4VULN|1AART|1ZMB|1DUR	1LEGI|2MLV|3RCR|456aVULN|7AART|8ZMB|9DUR
133	32222 66334	   	174.95	ACR|3VULN|2AART|1DMG	1LEGI|2MLV|3RCR|458VULN|69AART|7DUST|aDMG
134	35321 41336	 * 	174.87	DCR|5VULN|3ASPD|1DMG	1LEGI|267ASPD|34567VULN|67BPWR|8DMG|9ERES|aRCR
135	65223 16234	   	174.85	ACR|3VULN|1AART|1DMG|1CDMG	147VULN|2CGEN|3RCR|5DMG|6CDMG|8MLV|9MBVNT|aAART
136	65223 61234	   	174.85	ACR|3VULN|1AART|1DMG|1CDMG	146VULN|2CGEN|3RCR|5DMG|7CDMG|8MLV|9MBVNT|aAART
137	22333 35542	 * 	174.65	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1RMIN|2CDMG|3RCR|45VULN|6MBVNT|7DMG|8aZMB|9AART
138	32222 45134	   	174.35	ACR|3VULN|2AART|1DMG	1LEGI|2MLV|3RCR|456VULN|79AART|8DUST|aDMG
139	31452 11233	   	174.25	DCR|3DMG|2VULN|3ZMB	1LEGI|279LIT|38VULN|479ZMB|5MBVNT|679DMG|79BPWR|aRCR
140	22336 43631	   	174.25	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1RMIN|29CDMG|3RCR|4aVULN|5DUST|6DUR|7AART|8DMG
141	22333 24626	   	174.15	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RMIN|2CDMG|3RCR|45VULN|6LWND|7DMG|8AART|9FEWX|aFLTHEA
142	22333 24616	   	174.05	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RMIN|2CDMG|3RCR|45VULN|6LWND|7DMG|8AART|9DUST|aFLTHEA
143	12222 45236	   	174.00	ACR|3VULN|1AART|1DMG|1ZMB	1ERES|2FEWX|3RCR|456VULN|7AART|8DMG|9RMIN|aZMB
144	12222 45262	   	173.90	ACR|3VULN|1AART|1DMG|1ZMB	1ERES|2FEWX|3RCR|456VULN|7AART|8DMG|9LSRHEA|aZMB
145	22333 24536	   	173.45	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RMIN|2CDMG|3RCR|45VULN|6LWND|7DMG|8LEGI|9AART|aFLTHEA
146	31453 11224	 * 	173.39	ACR|2VULN|2DMG|1AART|2ZMB	1LEGI|27LIT|38VULN|47ZMB|5RCR|67DMG|7BPWR|9CGEN|aAART
147	65211 34133	   	173.37	ACR|2VULN|2DMG|1AART|1ASPD	1aVULN|2CGEN|3RCR|4aBEXP|5AART|6ASPD|7MGNSTR|8RMIN|9aDMG|aBPWR
148	26221 12252	   	173.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RMIN|2FEWX|3RCR|49VULN|5AART|6CDMG|7ERES|8ZMB|aDMG
149	25221 63162	   	173.17	ACR|2VULN|2DMG|1AART|1DUR	1RMIN|2LWND|3RCR|47VULN|5AART|69DMG|8RPLT|aDUR
150	24221 36222	   	173.17	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ASPD|7CGEN|89DMG|9BPWR|aLHND
151	24221 36225	   	173.17	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ASPD|7CGEN|89DMG|9BPWR|aFEWX
152	24221 36226	   	173.17	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ASPD|7CGEN|89DMG|9BPWR|aLIT
153	24221 23222	   	173.07	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ERES|7ASPD|89DMG|9BPWR|aLHND
154	24221 23225	   	173.07	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ERES|7ASPD|89DMG|9BPWR|aFEWX
155	24221 23226	   	173.07	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ERES|7ASPD|89DMG|9BPWR|aLIT
156	24221 32222	   	173.07	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ASPD|7TLV|89DMG|9BPWR|aLHND
157	24221 32225	   	173.07	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ASPD|7TLV|89DMG|9BPWR|aFEWX
158	24221 32226	   	173.07	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ASPD|7TLV|89DMG|9BPWR|aLIT
159	24221 35222	   	173.07	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ASPD|7ERES|89DMG|9BPWR|aLHND
160	24221 35225	   	173.07	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ASPD|7ERES|89DMG|9BPWR|aFEWX
161	24221 35226	   	173.07	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ASPD|7ERES|89DMG|9BPWR|aLIT
162	24221 36224	   	173.07	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ASPD|7CGEN|89DMG|9BPWR|aBASICY
163	24221 63231	   	173.07	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|2DUST|3RCR|4aVULN|5AART|68DMG|7ASPD|9DMSP
164	24221 63251	   	173.07	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|2DUST|3RCR|4aVULN|5AART|68DMG|7ASPD|9MLV
165	24221 23224	   	172.97	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ERES|7ASPD|89DMG|9BPWR|aBASICY
166	24221 32224	   	172.97	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ASPD|7TLV|89DMG|9BPWR|aBASICY
167	24221 35224	   	172.97	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ASPD|7ERES|89DMG|9BPWR|aBASICY
168	24221 63261	   	172.97	ACR|2VULN|2DMG|1AART|1ASPD	1RMIN|2DUST|3RCR|4aVULN|5AART|68DMG|7ASPD|9TLV
169	65223 13362	   	172.95	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	14VULN|2CGEN|3RCR|5DMG|6CDMG|7LHND|8BELT|9FLTHEA|aAART
170	66223 13362	   	172.85	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	14VULN|2ERES|3RCR|5DMG|6CDMG|7LHND|8BELT|9FLTHEA|aAART
171	65223 62231	   	172.80	ACR|3VULN|1AART|1DMG|1ZMB	146VULN|2CGEN|3RCR|5DMG|7ZMB|8TLV|9AART|aMLV
172	25222 42212	   	172.79	ACR|4VULN|1DMG|1CDMG|1ASPD	1RMIN|2LWND|3RCR|456aVULN|7CDMG|8DMG|9ASPD
