0	Index      	 *	Score 	Summary	Detail	
1	31551 12331	 * 	203.48	ACR|3VULN|3DMG|1AART|1DUR	1RPLT|28LHND|3RCR|4DUR|58aDMG|689VULN|7AART|8BPWR
121	32263 16111	   	175.05	ACR|3DMG|1AART|1VULN|2ZMB	1RPLT|25ZMB|35aDMG|4RCR|5BPWR|6CGEN|7VULN|8AART|9LHND
122	33515 42333	   	175.01	DCR|3VULN|1AART|1DMG|2DUR	1RPLT|28DUR|3DMG|48LWND|589VULN|6RCR|7AART|8BPWR|aERES
123	32263 16121	   	174.95	ACR|3DMG|1AART|1VULN|2ZMB	1RPLT|25ZMB|35aDMG|4RCR|5BPWR|6CGEN|7VULN|8AART|9LEGI
124	32263 36111	   	174.95	ACR|3DMG|1AART|1VULN|2ZMB	1RPLT|25ZMB|35aDMG|4RCR|5BPWR|6ERES|7VULN|8AART|9LHND
125	11416 13153	 * 	174.93	DCR|3VULN|1AART|1DMG|1CDMG	1RMIN|2TLV|345VULN|6RCR|7DMG|8ERES|9AART|aCDMG
126	32263 36121	   	174.85	ACR|3DMG|1AART|1VULN|2ZMB	1RPLT|25ZMB|35aDMG|4RCR|5BPWR|6ERES|7VULN|8AART|9LEGI
127	36313 25342	   	174.52	ACR|4VULN|2DMG|1DUR	1RPLT|2aDMG|3DMSP|4RCR|5DUR|678aVULN|9aFEWX|aBPWR
128	36313 25352	   	174.52	ACR|4VULN|2DMG|1DUR	1RPLT|2aDMG|3DMSP|4RCR|5DUR|678aVULN|9aLWND|aBPWR
129	33532 12634	   	174.51	DCR|3DMG|1AART|1VULN|2DUR	1RPLT|2aDUR|38aDMG|4AART|5VULN|6CGEN|7RCR|9aMLV|aBPWR
130	54161 22123	   	174.43	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|2CDMG|3DMG|45aVULN|6AART|7RCR|8LWND|9DMSP
131	54161 22223	   	174.33	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|2CDMG|3DMG|45aVULN|6AART|7RCR|8RMIN|9ERES
132	36211 24262	   	174.32	ACR|4VULN|2DMG|1ASPD	1RPLT|23DMG|4RCR|569aVULN|7DMSP|8ASPD
133	36213 25313	   	174.32	ACR|4VULN|2DMG|1DUR	1RPLT|23DMG|4RCR|5DUR|678aVULN|9LIT
134	36313 25322	   	174.32	ACR|4VULN|2DMG|1DUR	1RPLT|2aDMG|3DMSP|4RCR|5DUR|678aVULN|9aDUST|aBPWR
135	36211 25261	   	174.32	ACR|4VULN|2DMG|1ASPD	1RPLT|23DMG|4RCR|5679VULN|8ASPD|aCGEN
136	36211 25422	   	174.32	ACR|4VULN|2DMG|1ASPD	1RPLT|23DMG|4RCR|5678VULN|9FEWX|aASPD
137	36211 25432	   	174.32	ACR|4VULN|2DMG|1ASPD	1RPLT|23DMG|4RCR|5678VULN|9BEXP|aASPD
138	34332 12624	   	174.31	DCR|3DMG|1AART|1VULN|2DUR	1RPLT|2aTLV|3aDUR|4AART|5VULN|6CGEN|7RCR|89aDMG|aBPWR
139	35332 12624	   	174.31	DCR|3DMG|1AART|1VULN|2DUR	1RPLT|2aERES|3aDUR|4AART|5VULN|6CGEN|7RCR|89aDMG|aBPWR
140	36211 25263	   	174.22	ACR|4VULN|2DMG|1ASPD	1RPLT|23DMG|4RCR|5679VULN|8ASPD|aVENICY
141	36211 25382	   	174.22	ACR|4VULN|2DMG|1DUR	1RPLT|23DMG|4RCR|567aVULN|8MBVNT|9DUR
142	54161 22333	   	174.19	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1DUST|2CDMG|3DMG|45aVULN|6AART|7RCR|8BEXP|9SELL
143	32333 33641	 * 	174.12	DCR|2DMG|3ZMB|1AART|2DUR|1ASPD	1RPLT|29aZMB|39DUR|4AART|5ASPD|6MLV|7RCR|89DMG|9BPWR
144	32333 53641	   	174.02	DCR|2DMG|3ZMB|1AART|2DUR|1ASPD	1RPLT|29aZMB|39DUR|4AART|5ASPD|6ERES|7RCR|89DMG|9BPWR
145	13136 41223	   	173.98	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RMIN|2DUR|35aVULN|4RCR|6CGEN|7DMG|8AART|9ASPD
146	13136 46223	   	173.98	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RMIN|2DUR|35aVULN|4RCR|6CGEN|7ASPD|8AART|9DMG
147	13136 11223	   	173.88	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1RMIN|2DUR|35aVULN|4RCR|6ERES|7DMG|8AART|9ASPD
148	13136 16223	   	173.88	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1RMIN|2DUR|35aVULN|4RCR|6ERES|7ASPD|8AART|9DMG
149	36211 25141	   	173.87	ACR|3VULN|2DMG|1CDMG|1ASPD	1RPLT|23DMG|4RCR|567VULN|8CGEN|9CDMG|aASPD
150	36211 25143	   	173.87	ACR|3VULN|2DMG|1CDMG|1DUR	1RPLT|23DMG|4RCR|567VULN|8CGEN|9CDMG|aDUR
151	36213 25326	   	173.77	ACR|3VULN|2DMG|1CDMG|1DUR	1RPLT|23DMG|4RCR|5DUR|678VULN|9DUST|aCDMG
152	36211 22641	   	173.77	ACR|3VULN|2DMG|1CDMG|1ASPD	1RPLT|23DMG|4RCR|568VULN|7ERES|9CDMG|aASPD
153	36211 22643	   	173.77	ACR|3VULN|2DMG|1CDMG|1DUR	1RPLT|23DMG|4RCR|568VULN|7ERES|9CDMG|aDUR
154	36211 25242	   	173.77	ACR|3VULN|2DMG|1CDMG|1ASPD	1RPLT|23DMG|4RCR|567VULN|8ASPD|9CDMG|aERES
155	36212 63151	 * 	173.65	ACR|3DMG|1AART|1VULN|1CDMG	1RPLT|237DMG|4RCR|57ERES|6BELT|7BPWR|8AART|9VULN|aCDMG
