0	Index      	 *	Score 	Summary	Detail	
1	62342 13115	 * 	191.88	DCR|2VULN|2DMG|1AART|2FLTHEA|1ZMB	1AART|29FLTHEA|3BELT|4ZMB|59VULN|69DMG|7RCVC|8DLOT|9BPWR|aRCR
42	22341 61621	 * 	178.00	DCR|5VULN|1DMG|1CDMG|1ASPD	1256aVULN|3ASPD|4CGEN|7CDMG|8DMG|9RCR
43	22313 21621	   	177.90	DCR|5VULN|1DMG|1CDMG|1ASPD	1245aVULN|3ASPD|6ERES|7CDMG|8DMG|9RCR
44	22315 61621	   	177.90	DCR|5VULN|1DMG|1CDMG|1ASPD	1246aVULN|3ASPD|5ERES|7CDMG|8DMG|9RCR
45	22632 21621	   	177.90	DCR|5VULN|1DMG|1CDMG|1ASPD	1234aVULN|5ASPD|6ERES|7CDMG|8DMG|9RCR
46	23134 51335	 * 	177.86	DCR|3VULN|2AART|2ASPD|1CDMG	148VULN|28LWND|3MLV|5CDMG|68ASPD|7RCR|8BPWR|9aAART
47	62113 53153	 * 	177.83	DCR|2DMG|1AART|2FLTHEA|2ASPD|1CDMG	1AART|2aFLTHEA|3CDMG|4aCGEN|58ASPD|6RCR|7ERES|9aDMG|aBPWR
48	22312 21145	 * 	177.76	DCR|3VULN|3DMG|1ASPD	124VULN|3ASPD|5CANSTR|6RCR|7BEXP|89aDMG
49	22312 22145	   	177.76	DCR|3VULN|3DMG|1ASPD	124VULN|3ASPD|5CANSTR|6RCR|7LWND|89aDMG
50	62222 32365	 * 	177.73	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG	1AART|2FLTHEA|3LWND|4ERES|59DMG|6RCR|7VULN|8DUST|aCDMG
51	62133 52153	   	177.73	DCR|2DMG|1AART|2FLTHEA|2ASPD|1CDMG	1AART|2aFLTHEA|3CDMG|4aTLV|58ASPD|6RCR|7CGEN|9aDMG|aBPWR
52	22312 25145	   	177.66	DCR|3VULN|3DMG|1ASPD	124VULN|3ASPD|5CANSTR|6RCR|7DUST|89aDMG
53	62113 56132	 * 	177.53	DCR|2VULN|1AART|2CDMG|2FLTHEA|1ASPD	1AART|2aFLTHEA|3aCDMG|4CGEN|5ASPD|6RCR|7LEGI|8RPLT|9aVULN|aBPWR
54	61375 33232	   	177.53	DCR|3VULN|2AART|1DMG	19AART|2LIT|3MBVNT|4DMG|578VULN|6RCR|aDUST
55	61375 33233	   	177.53	DCR|3VULN|2AART|1DMG	19AART|2LIT|3MBVNT|4DMG|578VULN|6RCR|aERES
56	22452 24213	   	177.37	DCR|3VULN|2DMG|1AART	12aVULN|3MLV|4AART|5LEGI|6RPLT|7aLIT|8RCR|9aDMG|aBPWR
57	22252 24213	   	177.27	DCR|3VULN|2DMG|1AART	12aVULN|3ERES|4AART|5LEGI|6RPLT|7aLIT|8RCR|9aDMG|aBPWR
58	61375 33223	   	177.18	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2LIT|3MBVNT|4DMG|578VULN|6RCR|9CGEN|aZMB
59	61375 33243	   	177.08	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2LIT|3MBVNT|4DMG|578VULN|6RCR|9ERES|aZMB
60	62261 35313	   	176.74	ACR|2AART|1DMG|1VULN|1CDMG|1FLTHEA|1DUR	18AART|2FLTHEA|3LWND|4RCR|5DUR|6CDMG|7VULN|9DMSP|aDMG
61	61374 32183	   	176.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|2aLIT|3MBVNT|4DMG|5aDUR|6RCR|7CDMG|8CGEN|9aVULN|aBPWR
62	61374 33136	   	176.46	DCR|2VULN|2DMG|1AART|1DUR	1AART|29LIT|3MBVNT|49DMG|5DUR|6RCR|7TLV|89VULN|9BPWR|aRCVC
63	22312 21155	 * 	176.20	DCR|4VULN|2DMG|1ASPD	1249VULN|3ASPD|5CANSTR|6RCR|7BEXP|8aDMG
64	22312 22155	   	176.20	DCR|4VULN|2DMG|1ASPD	1249VULN|3ASPD|5CANSTR|6RCR|7LWND|8aDMG
65	22312 25155	   	176.10	DCR|4VULN|2DMG|1ASPD	1249VULN|3ASPD|5CANSTR|6RCR|7DUST|8aDMG
66	62222 35433	 * 	175.96	DCR|3AART|1VULN|1DMG|1FLTHEA|1CDMG	178AART|2FLTHEA|3LWND|4ERES|5DMG|6RCR|9CDMG|aVULN
67	22312 21142	 * 	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	124VULN|3ASPD|5CANSTR|6RCR|7BEXP|89DMG|aCDMG
68	62342 13116	 * 	175.73	3VULN|3DMG|1AART|3FLTHEA|1ZMB	1AART|29aFLTHEA|3BELT|4ZMB|59aVULN|69aDMG|7RCVC|8DLOT|9aBPWR
69	22312 23216	 * 	175.41	DCR|4VULN|1AART|1CDMG|1ASPD	1247VULN|3ASPD|5CANSTR|6RCR|8CDMG|9LWND|aAART
70	62342 52111	   	175.28	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3BELT|4ZMB|5aVULN|6RCR|7DMG|8LHND|9LWND
71	61344 43278	 * 	175.18	ACR|2AART|2VULN|2DMG	1aAART|2LIT|3MBVNT|4FEWX|5RCR|68DMG|79VULN
72	62342 51121	   	175.18	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|2FLTHEA|39BELT|4ZMB|57VULN|6RCR|8TLV|aDMG
73	62342 52121	   	175.18	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3BELT|4ZMB|5aVULN|6RCR|7DMG|8LHND|9DUST
74	61374 33131	   	175.15	DCR|2VULN|2DMG|1AART|1DUR	1AART|29aLIT|3MBVNT|49DMG|5DUR|6RCR|7TLV|89VULN|9BPWR
75	61374 33133	   	175.15	DCR|2VULN|2DMG|1AART|1DUR	1AART|29LIT|3MBVNT|49DMG|5DUR|6RCR|7TLV|89VULN|9BPWR|aRPLT
76	61374 33134	   	175.15	DCR|2VULN|2DMG|1AART|1DUR	1AART|29LIT|3MBVNT|49DMG|5DUR|6RCR|7TLV|89VULN|9BPWR|aLWND
77	61374 33138	   	175.15	DCR|2VULN|2DMG|1AART|1DUR	1AART|29LIT|3MBVNT|49DMG|5DUR|6RCR|7TLV|89VULN|9BPWR|aFEWX
78	61374 33143	   	175.15	DCR|2VULN|2DMG|1AART|1DUR	1AART|2aLIT|3MBVNT|4aDMG|5DUR|6RCR|7TLV|8aVULN|9RPLT|aBPWR
79	64312 31133	   	175.15	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2ASPD|3aVULN|4TLV|5CANHEL|6RCR|7aMLV|8LWND|9aDMG|aBPWR
80	64312 31333	   	175.15	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2ASPD|3aVULN|4TLV|5CANHEL|6RCR|7aMLV|8LHND|9aDMG|aBPWR
81	62512 15113	   	175.14	DCR|2VULN|1AART|1FLTHEA|1CDMG|1DUR|1ASPD	1AART|2FLTHEA|3RCVC|4LIT|5CDMG|6RCR|7ASPD|89VULN|aDUR
82	62113 65122	   	175.13	DCR|2VULN|1AART|2CDMG|2FLTHEA|1ASPD	1AART|2aFLTHEA|3aCDMG|4CGEN|5ASPD|6aVULN|7RCR|8RPLT|9LEGI|aBPWR
83	62342 53231	   	175.08	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3BELT|4ZMB|59VULN|6RCR|78ERES|aDMG
84	61373 33271	   	175.05	DCR|2VULN|2DMG|1AART|1DUR	1AART|2LIT|3MBVNT|48DMG|5FEWX|6RCR|79VULN|aDUR
85	61315 37443	   	175.05	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2LIT|3MBVNT|4ASPD|5aVULN|6RCR|78DMG|9MLV
86	61373 31273	   	175.05	DCR|2VULN|2DMG|1AART|1DUR	1AART|2LIT|3MBVNT|48DMG|5FEWX|6RCR|7DUR|9aVULN
87	61373 33233	   	175.05	DCR|2VULN|2DMG|1AART|1DUR	1AART|2LIT|3MBVNT|48DMG|5FEWX|6RCR|7aVULN|9DUR
88	61375 31243	   	175.05	DCR|2VULN|2DMG|1AART|1DUR	1AART|2LIT|3MBVNT|48DMG|5aVULN|6RCR|7DUR|9LHND
89	64312 33362	   	175.05	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2ASPD|3aVULN|4TLV|5CANHEL|6RCR|7aLWND|8DUST|9aDMG|aBPWR
90	64342 31133	   	175.05	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2ASPD|3aVULN|4MLV|5CANHEL|6RCR|7aTLV|8LWND|9aDMG|aBPWR
91	64342 31333	   	175.05	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2ASPD|3aVULN|4MLV|5CANHEL|6RCR|7aTLV|8LHND|9aDMG|aBPWR
92	62133 65122	   	175.03	DCR|2VULN|1AART|2CDMG|2FLTHEA|1ASPD	1AART|2aFLTHEA|3aCDMG|4TLV|5ASPD|6aVULN|7RCR|8RPLT|9LEGI|aBPWR
93	61371 33273	   	174.95	DCR|2VULN|2DMG|1AART|1DUR	1AART|2LIT|3MBVNT|48DMG|5LEGI|6RCR|79VULN|aDUR
94	61371 31273	   	174.95	DCR|2VULN|2DMG|1AART|1DUR	1AART|2LIT|3MBVNT|48DMG|5LEGI|6RCR|7DUR|9aVULN
95	62133 53523	   	174.12	DCR|1AART|1VULN|1DMG|1CDMG|1FLTHEA|1DUR|1ASPD	1AART|2FLTHEA|3CDMG|4TLV|5ASPD|6RCR|7DUR|8VULN|9BEXP|aDMG
96	22634 21621	   	173.86	DCR|5VULN|1DMG|1CDMG	1234aVULN|5RCVC|6LHND|7CDMG|8DMG|9RCR
97	22613 33874	   	173.68	DCR|4VULN|1AART|1DMG	1236VULN|4LIT|5MBVNT|7RCR|8AART|9BELT|aDMG
98	21661 21326	   	173.67	DCR|3DMG|2VULN|1AART	13VULN|2RPLT|459DMG|6FEWX|7LWND|8RCR|aAART
99	22561 21326	   	173.67	DCR|3DMG|2VULN|1AART	12VULN|3RPLT|459DMG|6FEWX|7LWND|8RCR|aAART
100	62342 51332	   	173.60	DCR|2AART|2VULN|1FLTHEA|1ZMB|1DUR	19AART|2FLTHEA|3BELT|4ZMB|57VULN|6RCR|8DUR|aLWND
101	62342 51333	   	173.60	DCR|2AART|2VULN|1FLTHEA|1ZMB|1DUR	19AART|2FLTHEA|3BELT|4ZMB|57VULN|6RCR|8DUR|aRPLT
102	62312 52633	 * 	173.60	DCR|2AART|2DMG|1FLTHEA|1ZMB|1DUR	18AART|2FLTHEA|3BELT|4DUR|5ZMB|6RCR|7MGNLIT|9aDMG
103	21661 22322	   	173.57	DCR|3DMG|2VULN|1AART	13VULN|2RPLT|459DMG|6FEWX|7DUST|8RCR|aAART
104	22561 22322	   	173.57	DCR|3DMG|2VULN|1AART	12VULN|3RPLT|459DMG|6FEWX|7DUST|8RCR|aAART
105	61313 31278	 * 	173.32	DCR|3DMG|1AART|3ASPD|1DUR	1AART|29aLIT|3MBVNT|49aASPD|5FEWX|6RCR|7DUR|89aDMG|9aBPWR
106	61344 45273	 * 	173.25	ACR|3VULN|2AART|1DMG	17AART|2LIT|3MBVNT|4FEWX|5RCR|6DMG|89aVULN
107	61375 33333	   	173.12	DCR|3VULN|1AART|1DMG|1DUR	1AART|2LIT|3MBVNT|4DMG|57aVULN|6RCR|8BEXP|9DUR
108	61315 32413	   	173.12	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2LIT|3MBVNT|4ASPD|59aVULN|6RCR|7CGEN|8DMG
109	61315 33643	   	173.12	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2LIT|3MBVNT|4ASPD|57aVULN|6RCR|8DMG|9MLV
110	61315 37143	   	173.12	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2LIT|3MBVNT|4ASPD|58aVULN|6RCR|7DMG|9MLV
111	62223 32542	   	173.05	DCR|2VULN|1AART|2ZMB|1FLTHEA|1DUR|1ASPD	1AART|2FLTHEA|3aLWND|4ERES|5ASPD|6RCR|7aVULN|8DUR|9aZMB|aBPWR
112	61376 33233	   	173.02	DCR|3VULN|1AART|1DMG|1DUR	1AART|2LIT|3MBVNT|4DMG|5DUST|6RCR|78aVULN|9DUR
113	22363 52413	 * 	173.01	DCR|4VULN|1AART|2ASPD|1DUR	125aVULN|39ASPD|4BEXP|6AART|7DUR|8RCR
114	23134 51332	 * 	172.73	DCR|3VULN|1AART|2CDMG|2ASPD	148VULN|28LWND|3MLV|5aCDMG|68ASPD|7RCR|8BPWR|9AART
115	23634 51332	   	172.73	DCR|3VULN|1AART|2CDMG|2ASPD	138VULN|28LWND|4CGEN|5aCDMG|68ASPD|7RCR|8BPWR|9AART
116	22312 21152	   	172.27	DCR|4VULN|1DMG|1CDMG|1ASPD	1249VULN|3ASPD|5CANSTR|6RCR|7BEXP|8DMG|aCDMG
117	63326 21336	   	172.26	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2LWND|3BEXP|4CGEN|59VULN|6CDMG|78DMG|aRCR
118	64312 32612	   	172.22	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD	1AART|2ASPD|37VULN|4TLV|5CANHEL|6RCR|8aZMB|9DMG
119	62512 12111	   	172.17	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB	1AART|2FLTHEA|3RCVC|4LIT|5CDMG|6RCR|7MBVNT|8ZMB|9aVULN
120	45362 31212	 * 	172.09	DCR|2AART|1VULN|1DMG|2CDMG|1ASPD	1ASPD|2aCDMG|39AART|4BEXP|5VULN|6RCR|7DMG|8RCVC
121	22363 53412	   	172.03	DCR|3VULN|1AART|1DMG|2ASPD	125VULN|39ASPD|4BEXP|6AART|7LWND|8RCR|aDMG
122	45332 31136	   	171.86	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|38AART|4FEWX|59VULN|6LWND|7DMG|aRCR
123	22341 61623	 * 	171.78	DCR|4VULN|1DMG|2ASPD|1CDMG	1256VULN|3aASPD|4CGEN|7CDMG|8DMG|9RCR
124	22341 11621	   	171.78	DCR|4VULN|1DMG|2ASPD|1CDMG	125aVULN|36ASPD|4CGEN|7CDMG|8DMG|9RCR
125	61374 21336	   	171.76	DCR|2VULN|2DMG|1AART|1DUR	1AART|29LIT|3MBVNT|49DMG|5DUR|6CGEN|79VULN|8RCR|9BPWR|aRCVC
126	62222 32235	   	171.69	DCR|2AART|1VULN|1DMG|1FLTHEA|1CDMG	19AART|2FLTHEA|3LWND|4ERES|5DMG|6RCR|7VULN|8FEWX|aCDMG
127	62222 33535	   	171.69	DCR|2AART|1VULN|1DMG|1FLTHEA|1CDMG	19AART|2FLTHEA|3LWND|4ERES|5DMG|6RCR|7FEWX|8VULN|aCDMG
128	62222 35135	   	171.69	DCR|2AART|1VULN|1DMG|1FLTHEA|1CDMG	17AART|2FLTHEA|3LWND|4ERES|5DMG|6RCR|8FEWX|9VULN|aCDMG
129	22313 21623	   	171.68	DCR|4VULN|1DMG|2ASPD|1CDMG	1245VULN|3aASPD|6ERES|7CDMG|8DMG|9RCR
130	22315 61623	   	171.68	DCR|4VULN|1DMG|2ASPD|1CDMG	1246VULN|3aASPD|5ERES|7CDMG|8DMG|9RCR
131	22632 21623	   	171.68	DCR|4VULN|1DMG|2ASPD|1CDMG	1234VULN|5aASPD|6ERES|7CDMG|8DMG|9RCR
132	22315 11621	   	171.68	DCR|4VULN|1DMG|2ASPD|1CDMG	124aVULN|36ASPD|5ERES|7CDMG|8DMG|9RCR
133	62222 32335	   	171.59	DCR|2AART|1VULN|1DMG|1FLTHEA|1CDMG	19AART|2FLTHEA|3LWND|4ERES|5DMG|6RCR|7VULN|8DUST|aCDMG
134	62222 35335	   	171.59	DCR|2AART|1VULN|1DMG|1FLTHEA|1CDMG	17AART|2FLTHEA|3LWND|4ERES|5DMG|6RCR|8DUST|9VULN|aCDMG
135	22316 14412	   	171.43	DCR|3VULN|1AART|1DMG|2ASPD	124VULN|39ASPD|5LWND|6LHND|7AART|8RCR|aDMG
136	22363 14412	   	171.43	DCR|3VULN|1AART|1DMG|2ASPD	125VULN|39ASPD|4BEXP|6LHND|7AART|8RCR|aDMG
137	61375 31432	   	171.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1AART|29LIT|3MBVNT|49DMG|5VULN|6RCR|7DUR|89MLV|9BPWR|aCDMG
138	62113 55132	   	171.31	DCR|2VULN|1AART|2FLTHEA|1CDMG|1ASPD	1AART|2aFLTHEA|3CDMG|4aCGEN|5ASPD|6RCR|7FEWX|8RPLT|9aVULN|aBPWR
139	62222 32533	 * 	171.29	DCR|2AART|1VULN|2FLTHEA|1DMG|1DUR	19AART|2aFLTHEA|3LWND|4ERES|5DMG|6RCR|7VULN|8DUR
140	23255 21136	   	171.26	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	19VULN|2LWND|3ASPD|48AART|5FEWX|6CDMG|7DMG|aRCR
141	23256 21136	   	171.26	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	19VULN|2LWND|3ASPD|48AART|5BEXP|6CDMG|7DMG|aRCR
142	23441 21136	   	171.26	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	19VULN|2LWND|3FEWX|48AART|5ASPD|6CDMG|7DMG|aRCR
143	23541 21136	   	171.26	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	19VULN|2LWND|3BEXP|48AART|5ASPD|6CDMG|7DMG|aRCR
144	62222 32245	   	171.24	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1AART|2FLTHEA|3LWND|4ERES|5DMG|6RCR|7VULN|8FEWX|9ZMB|aCDMG
145	61313 31277	 * 	171.21	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	1AART|29LIT|3MBVNT|49ASPD|5FEWX|6RCR|7DUR|89DMG|9BPWR|aVULN
146	23641 21621	   	171.16	DCR|5VULN|1DMG|1CDMG	1356aVULN|26LWND|4DMSP|6BPWR|7CDMG|8DMG|9RCR
147	61315 33623	   	171.11	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2LIT|3MBVNT|4ASPD|57VULN|6RCR|8DMG|9BEXP|aCDMG
148	61315 33633	   	171.11	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2LIT|3MBVNT|4ASPD|57VULN|6RCR|8DMG|9LHND|aCDMG
149	61315 37123	   	171.11	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2LIT|3MBVNT|4ASPD|58VULN|6RCR|7DMG|9BEXP|aCDMG
150	61315 37133	   	171.11	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2LIT|3MBVNT|4ASPD|58VULN|6RCR|7DMG|9LHND|aCDMG
151	61315 37423	   	171.11	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1AART|2LIT|3MBVNT|4ASPD|5VULN|6RCR|78DMG|9BEXP|aCDMG
152	61315 37433	   	171.11	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1AART|2LIT|3MBVNT|4ASPD|5VULN|6RCR|78DMG|9LHND|aCDMG
153	61374 32328	   	171.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1AART|2LIT|3MBVNT|4aDMG|5DUR|6RCR|7CDMG|8FEWX|9VULN
154	61554 34232	   	171.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1AART|29LIT|39ERES|4MBVNT|5DUR|6RCR|7VULN|89DMG|9BPWR|aCDMG
155	61315 33234	   	171.11	DCR|3VULN|2AART|2ASPD	19AART|2LIT|3MBVNT|4aASPD|578VULN|6RCR
156	22133 11621	   	171.06	DCR|5VULN|1DMG|1CDMG	1245aVULN|34CGEN|4BPWR|6NUKE|7CDMG|8DMG|9RCR
157	21662 36321	   	171.05	DCR|3VULN|2DMG|1CDMG|1DUR	136VULN|2RPLT|49DMG|5BEXP|7DUR|8RCR|aCDMG
158	22562 36321	   	171.05	DCR|3VULN|2DMG|1CDMG|1DUR	126VULN|3RPLT|49DMG|5BEXP|7DUR|8RCR|aCDMG
