0	Index      	 *	Score 	Summary	Detail	
1	22353 51152	 * 	221.45	DCR|5VULN|2DMG|1AART|2ASPD	1359aVULN|2AART|35BPWR|45DMG|68ASPD|7RCR
38	22353 51512	   	194.74	DCR|3VULN|2DMG|1AART	135VULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8DUR|9LEGI|aMLV
39	22353 51513	   	194.74	DCR|3VULN|2DMG|1AART	135VULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8DUR|9LEGI|aLHND
40	22353 51521	   	194.74	DCR|3VULN|2DMG|1AART	135VULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8DUR|9BEXP|aDUST
41	22353 51531	   	194.74	DCR|3VULN|2DMG|1AART	135VULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8DUR|9LHND|aDUST
42	22353 51533	   	194.74	DCR|3VULN|2DMG|1AART	135VULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8DUR|9LHND|aLEGI
43	22353 51511	   	194.64	DCR|3VULN|2DMG|1AART	135VULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8DUR|9LEGI|aDUST
44	22244 13523	 * 	194.62	DCR|2VULN|2DMG|1AART|2CDMG	1aVULN|2AART|3LSRICY|4aCDMG|5RPLT|6RCR|7DUR|8ERES|9aDMG|aBPWR
45	22353 51113	   	194.52	DCR|3VULN|2DMG|1AART|2ASPD	135VULN|2AART|35BPWR|45DMG|68ASPD|7RCR|9CGEN|aRMIN
46	22353 51114	   	194.52	DCR|3VULN|2DMG|1AART|2ASPD	135VULN|2AART|35BPWR|45DMG|68ASPD|7RCR|9CGEN|aLWND
47	22353 51115	   	194.52	DCR|3VULN|2DMG|1AART|2ASPD	135VULN|2AART|35BPWR|45DMG|68ASPD|7RCR|9CGEN|aLHND
48	22353 51141	   	194.52	DCR|3VULN|2DMG|1AART|2ASPD	135VULN|2AART|35BPWR|45DMG|68ASPD|7RCR|9LIT|aCGEN
49	22353 51111	   	194.42	DCR|3VULN|2DMG|1AART|2ASPD	135VULN|2AART|35BPWR|45DMG|68ASPD|7RCR|9CGEN|aERES
50	22353 51131	   	194.42	DCR|3VULN|2DMG|1AART|2ASPD	135VULN|2AART|35BPWR|45DMG|68ASPD|7RCR|9AIRHEL|aCGEN
51	22312 55322	   	194.26	DCR|3DMG|2VULN|1AART|1CDMG	13VULN|2AART|3BPWR|4CDMG|569DMG|7RMIN|8ASPD|aRCR
52	24221 25523	 * 	192.82	DCR|4VULN|1AART|2CDMG|1ZMB	158aVULN|2DUR|38CDMG|48ERES|6AART|7RCR|8BPWR|9ZMB
53	22122 51235	   	192.71	DCR|2AART|2VULN|2DMG|2ASPD	1aVULN|29AART|3aDMG|4LIT|5DUST|6RCR|7aASPD|8RPLT|aBPWR
54	22353 21313	   	192.15	DCR|3VULN|2AART|2DMG	135VULN|27AART|35BPWR|45DMG|6BEXP|8ASPD|9CGEN|aRCR
55	22353 23143	   	192.15	DCR|3VULN|2AART|2DMG	135VULN|29AART|35BPWR|45DMG|6BEXP|7MLV|8ASPD|aRCR
56	22353 11313	   	192.05	DCR|3VULN|2AART|2DMG	135VULN|27AART|35BPWR|45DMG|6DUST|8ASPD|9CGEN|aRCR
57	22353 13143	   	192.05	DCR|3VULN|2AART|2DMG	135VULN|29AART|35BPWR|45DMG|6DUST|7MLV|8ASPD|aRCR
58	22353 24143	   	192.05	DCR|3VULN|2AART|2DMG	135VULN|29AART|35BPWR|45DMG|6BEXP|7TLV|8ASPD|aRCR
59	22355 22223	   	192.05	DCR|3VULN|2AART|2DMG	135VULN|28AART|3BPWR|49DMG|6BEXP|7DUR|aRCR
60	22615 21223	   	192.05	DCR|3VULN|2AART|2DMG	157VULN|28AART|3DUR|49DMG|6BEXP|aRCR
61	22112 42663	   	192.02	DCR|3VULN|2DMG|1AART|1CDMG	167VULN|2AART|39DMG|4TLV|5LIT|8RCR|aCDMG
62	22352 32663	   	192.02	DCR|3VULN|2DMG|1AART|1CDMG	137VULN|2AART|3BPWR|49DMG|5TLV|6LIT|8RCR|aCDMG
63	22353 14143	   	191.95	DCR|3VULN|2AART|2DMG	135VULN|29AART|35BPWR|45DMG|6DUST|7TLV|8ASPD|aRCR
64	22615 11223	   	191.95	DCR|3VULN|2AART|2DMG	157VULN|28AART|3DUR|49DMG|6DUST|aRCR
65	22355 11523	   	191.95	DCR|3VULN|2AART|2DMG	135VULN|27AART|3BPWR|49DMG|6DUST|8DUR|aRCR
66	22355 12223	   	191.95	DCR|3VULN|2AART|2DMG	135VULN|28AART|3BPWR|49DMG|6DUST|7DUR|aRCR
67	22345 61322	 * 	191.65	DCR|4VULN|2AART|2ASPD	1349VULN|27AART|34BPWR|58ASPD|6RCR|aDUR
