0	Index      	 *	Score 	Summary	Detail	
1	23415 33532	 * 	278.11	DCR|DCR|2VULN|1DMG|1MLV|1DUR|1SELL	1SELL|2LHND|3MLV|45VULN|6aRCR|7DUR|8AME|9DMG
24	26416 33312	 * 	254.80	DCR|DCR|2VULN|2DUR|1SELL	1SELL|2ZMB|37DUR|48VULN|5AEFBLL|6aRCR|9DUST
25	41256 31232	   	252.01	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1SELL	1MLV|2DMG|3SELL|4LHND|5FEWX|6VULN|7CGEN|8DUR|9aRCR
26	11626 52211	   	251.95	DCR|DCR|1VULN|1DMG|1MLV|1AART	1AETHUN|2BELT|3VULN|4ERES|5DMG|6BASHEA|7MLV|8aRCR|9AART
27	23416 33532	   	251.81	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1SELL	1SELL|2LHND|3MLV|4VULN|5AEFBLL|6aRCR|7DUR|8AME|9DMG
28	11611 52236	   	251.48	DCR|DCR|1VULN|1TLV|1MLV	1AETHUN|2BELT|3VULN|4ASPD|5TLV|6BASHEA|7MLV|8aRCR|9BOSS
29	23411 21312	   	251.44	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1SELL|27LHND|3MLV|4VULN|5ASPD|6TLV|8aRCR|9LWND
30	23411 23312	   	251.44	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1SELL|2LHND|3MLV|4VULN|5ASPD|6TLV|7RCVC|8aRCR|9LWND
31	23415 34222	 * 	251.34	DCR|DCR|2VULN|1MLV|1SELL	1SELL|2LHND|3MLV|45VULN|6aRCR|7BEXP|8ASPD|9ERES
32	41212 13352	 * 	250.45	DCR|DCR|1VULN|2MLV|1DMG|1SELL	18MLV|2DMG|3SELL|4AME|5BEXP|6VULN|7AEPOI|9aRCR
33	41243 32132	 * 	249.96	DCR|DCR|2DMG|1TLV|1MLV|1SELL	1MLV|29DMG|3SELL|48FEWX|5TBNT|6TLV|7aRCR
34	11611 51211	   	249.53	DCR|DCR|1VULN|1TLV|1AART	1AETHUN|2BELT|3VULN|4ASPD|5TLV|6BASHEA|7CGEN|8aRCR|9AART
35	11611 56111	   	249.53	DCR|DCR|1VULN|1TLV|1AART	1AETHUN|2BELT|3VULN|4ASPD|5TLV|6BASHEA|7aRCR|8CGEN|9AART
36	25411 12632	   	249.49	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2CGEN|3DUR|4VULN|5ASPD|6TLV|7LWND|8LHND|9aRCR
37	25411 14232	   	249.49	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2CGEN|3DUR|4VULN|5ASPD|6TLV|7FEWX|8BEXP|9aRCR
38	25411 14332	   	249.49	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2CGEN|3DUR|4VULN|5ASPD|6TLV|7FEWX|8LWND|9aRCR
39	25511 14232	   	249.49	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2CGEN|3LHND|4VULN|5ASPD|6TLV|7FEWX|8DUR|9aRCR
40	25515 33222	 * 	249.39	DCR|DCR|2VULN|1DUR|1SELL	1SELL|2CGEN|3LHND|45VULN|6aRCR|7DUR|8ASPD|9ERES
41	25411 14132	   	249.39	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1SELL|2CGEN|3DUR|4VULN|5ASPD|6TLV|7FEWX|8LEGI|9aRCR
42	31251 11312	   	248.86	DCR|DCR|1VULN|1TLV|1DMG|1SELL	1AME|2DMG|3SELL|47LHND|5TLV|6VULN|8aRCR|9LWND
43	31251 13312	   	248.86	DCR|DCR|1VULN|1TLV|1DMG|1SELL	1AME|2DMG|3SELL|4LHND|5TLV|6VULN|7RCVC|8aRCR|9LWND
44	31251 11322	   	248.76	DCR|DCR|1VULN|1TLV|1DMG|1SELL	19AME|2DMG|3SELL|47LHND|5TLV|6VULN|8aRCR
45	31251 13322	   	248.76	DCR|DCR|1VULN|1TLV|1DMG|1SELL	19AME|2DMG|3SELL|4LHND|5TLV|6VULN|7RCVC|8aRCR
