0	Index      	 *	Score 	Summary	Detail	
1	23522 12365	 * 	290.83	ACR|DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	16RCR|2DUR|389VULN|4TLV|5ERES|7CDMG|aDMG
34	23536 23234	   	270.50	ACR|DCR|2VULN|2DUR|1DMG|1MLV|1AART|1SELL	19RCR|24DUR|34VULN|4BPWR|5BEXP|6DMG|7MLV|8SELL|aAART
35	23533 12363	   	270.47	ACR|DCR|3VULN|2DUR|2CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|79CDMG|aASPD
36	23536 13123	   	269.57	ACR|DCR|3VULN|2DUR|1TLV	16RCR|24DUR|34aVULN|4BPWR|5BEXP|7AETHUN|8FLTFST|9TLV
37	23525 12315	   	268.79	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	16RCR|2DUR|38VULN|4TLV|5CGEN|7CDMG|9FEWX|aDMG
38	23533 12621	   	268.76	ACR|DCR|3VULN|3DUR|1CDMG	16RCR|24aDUR|34aVULN|4aBPWR|5LHND|7CDMG|8aCGEN|9TBNT
39	23536 12621	   	268.76	ACR|DCR|3VULN|3DUR|1CDMG	16RCR|24aDUR|34aVULN|4aBPWR|5BEXP|7CDMG|8aCGEN|9TBNT
40	23322 12335	   	268.69	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	16RCR|2DUR|3LHND|4TLV|5AME|7CDMG|89VULN|aDMG
41	23422 12335	   	268.69	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	16RCR|2DUR|3FEWX|4TLV|5AME|7CDMG|89VULN|aDMG
42	23522 12135	   	268.69	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	16RCR|2DUR|39VULN|4TLV|5ERES|7CDMG|8BEXP|aDMG
43	23522 12315	   	268.69	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	16RCR|2DUR|38VULN|4TLV|5ERES|7CDMG|9FEWX|aDMG
44	23522 12435	   	268.69	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	16RCR|2DUR|39VULN|4TLV|5ERES|7CDMG|8FEWX|aDMG
45	23523 55132	 * 	268.69	ACR|DCR|1VULN|2DUR|1TLV|1DMG|1CDMG|1AAC	19RCR|28DUR|3VULN|4TLV|5DMG|6CDMG|7BEXP|aAAC
46	23533 12134	   	268.66	ACR|DCR|3VULN|3DUR|1CDMG	16RCR|24aDUR|349VULN|4BPWR|5LHND|7CDMG|8BEXP
47	23533 12224	   	268.66	ACR|DCR|3VULN|3DUR|1CDMG	16RCR|249DUR|34aVULN|4BPWR|5LHND|7CDMG|8RAT
48	23533 12314	   	268.66	ACR|DCR|3VULN|3DUR|1CDMG	16RCR|24aDUR|348VULN|4BPWR|5LHND|7CDMG|9FEWX
49	23533 12434	   	268.66	ACR|DCR|3VULN|3DUR|1CDMG	16RCR|24aDUR|349VULN|4BPWR|5LHND|7CDMG|8FEWX
50	23536 12234	   	268.66	ACR|DCR|3VULN|3DUR|1CDMG	16RCR|24aDUR|349VULN|4BPWR|5BEXP|7CDMG|8LWND
51	23522 12345	   	268.59	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	16RCR|2DUR|38VULN|4TLV|59ERES|7CDMG|aDMG
52	23522 13235	   	268.59	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	16RCR|2DUR|39VULN|4TLV|5ERES|7AETHUN|8CDMG|aDMG
53	23533 15613	   	268.12	ACR|DCR|2VULN|2DUR|1TLV|1AART	16RCR|24DUR|34VULN|4BPWR|5LHND|7AART|8TLV|9BBNT|aASPD
54	23536 12161	   	267.59	ACR|DCR|2VULN|2DUR|1TLV|2CDMG	16RCR|24DUR|34VULN|4BPWR|58BEXP|79CDMG|aTLV
55	23533 13124	 * 	267.49	ACR|DCR|2VULN|2DUR|1TLV|1DMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7AETHUN|8FLTFST|9TLV|aDMG
56	23536 13124	   	267.49	ACR|DCR|2VULN|2DUR|1TLV|1DMG	16RCR|24DUR|34VULN|4BPWR|5BEXP|7AETHUN|8FLTFST|9TLV|aDMG
57	23525 13151	 * 	267.43	ACR|DCR|2TLV|1VULN|2DUR|1DMG|1MLV	16RCR|28DUR|3VULN|48TLV|58CGEN|7AETHUN|8BPWR|9MLV|aDMG
58	23522 13151	   	267.23	ACR|DCR|2TLV|1VULN|2DUR|1DMG|1MLV	16RCR|28DUR|3VULN|48TLV|58ERES|7AETHUN|8BPWR|9MLV|aDMG
59	31616 84332	 * 	264.73	DCR|DCR|3VULN|1DUR	1LIT|2RMIN|369VULN|4DUR|5MBVNT|7aRCR|8ERES
60	13332 12344	   	264.33	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1CDMG	1CGEN|2FEWX|3MLV|46RCR|5DUR|7CDMG|8aVULN|9TLV
61	23525 12351	   	264.33	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1CDMG	16RCR|2DUR|38VULN|4TLV|5CGEN|7CDMG|9MLV|aLIT
62	23525 12352	   	264.33	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1CDMG	16RCR|2DUR|38VULN|4TLV|5CGEN|7CDMG|9MLV|aRCVC
63	23533 15241	   	264.33	ACR|DCR|2VULN|2DUR|1MLV|1AART|1CDMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7AART|8MLV|9CDMG|aRAT
64	23533 15242	   	264.33	ACR|DCR|2VULN|2DUR|1MLV|1AART|1CDMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7AART|8MLV|9CDMG|aCGEN
65	23533 15243	   	264.33	ACR|DCR|2VULN|2DUR|1MLV|1AART|1CDMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7AART|8MLV|9CDMG|aLWND
66	23522 15221	   	264.23	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1AART	16RCR|2DUR|3aVULN|4TLV|5ERES|7AART|8MLV|9BOSS
67	23522 15233	   	264.23	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1AART	16RCR|2DUR|3aVULN|4TLV|5ERES|7AART|8MLV|9RAT
68	23525 12353	   	264.23	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1CDMG	16RCR|2DUR|38VULN|4TLV|5CGEN|7CDMG|9MLV|aBBNT
69	23533 12331	   	264.15	ACR|DCR|3VULN|2DUR|1CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|7CDMG|9ASPD|aLIT
70	23533 12332	   	264.15	ACR|DCR|3VULN|2DUR|1CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|7CDMG|9ASPD|aRCVC
71	23536 12531	   	264.15	ACR|DCR|3VULN|2DUR|1CDMG	16RCR|24DUR|348VULN|4BPWR|5BEXP|7CDMG|9ASPD|aLIT
72	23536 12533	   	264.15	ACR|DCR|3VULN|2DUR|1CDMG	16RCR|24DUR|348VULN|4BPWR|5BEXP|7CDMG|9ASPD|aFEWX
73	23533 12333	   	264.05	ACR|DCR|3VULN|2DUR|1CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|7CDMG|9ASPD|aBBNT
74	23533 12334	   	264.05	ACR|DCR|3VULN|2DUR|1CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|7CDMG|9ASPD|aAME
75	23533 12335	   	264.05	ACR|DCR|3VULN|2DUR|1CDMG|1MSE	16RCR|24DUR|348VULN|4BPWR|5LHND|7CDMG|9ASPD|aMSE
76	23533 12336	   	264.05	ACR|DCR|3VULN|2DUR|1CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|7CDMG|9ASPD|aAETHUN
77	23533 14421	   	263.63	ACR|DCR|3VULN|2DUR|1DMG	16RCR|24DUR|348VULN|4BPWR|5LHND|7CGEN|9FEWX|aDMG
78	23533 12362	   	263.53	ACR|DCR|3VULN|2DUR|2CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|79CDMG|aDMSP
79	23533 12364	   	263.53	ACR|DCR|3VULN|2DUR|2CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|79CDMG|aCGEN
80	23533 12366	   	263.43	ACR|DCR|3VULN|2DUR|2CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|79CDMG|aDUST
81	23525 13132	 * 	263.27	ACR|DCR|3DUR|2TLV|1VULN|1DMG	16RCR|289DUR|3VULN|48TLV|58CGEN|7AETHUN|8BPWR|aDMG
82	22432 17853	 * 	263.22	ACR|3VULN|3FLTARM|3MLV|1TLV|1AAC	1RCR|2MBVNT|3AAC|489FLTARM|5RPLT|689MLV|789VULN|89BPWR|aTLV
83	23536 13136	   	263.03	ACR|DCR|2VULN|2DUR|1TLV|1MLV	16RCR|24DUR|34VULN|4BPWR|5BEXP|7AETHUN|8FLTFST|9MLV|aTLV
84	23536 16133	   	262.73	ACR|DCR|4VULN|2DUR	16RCR|24DUR|3489VULN|4BPWR|5BEXP|7RPLT|aFEWX
85	23536 16131	   	262.63	ACR|DCR|4VULN|2DUR	16RCR|24DUR|3489VULN|4BPWR|5BEXP|7RPLT|aDUST
86	23525 12312	   	262.37	ACR|DCR|2VULN|1TLV|1DUR|1CDMG|1AAC	16RCR|2DUR|38VULN|4TLV|5CGEN|7CDMG|9FEWX|aAAC
87	23322 12332	   	262.27	ACR|DCR|2VULN|1TLV|1DUR|1CDMG|1AAC	16RCR|2DUR|3LHND|4TLV|5AME|7CDMG|89VULN|aAAC
88	23422 12332	   	262.27	ACR|DCR|2VULN|1TLV|1DUR|1CDMG|1AAC	16RCR|2DUR|3FEWX|4TLV|5AME|7CDMG|89VULN|aAAC
89	23522 12132	   	262.27	ACR|DCR|2VULN|1TLV|1DUR|1CDMG|1AAC	16RCR|2DUR|39VULN|4TLV|5ERES|7CDMG|8BEXP|aAAC
90	23522 12312	   	262.27	ACR|DCR|2VULN|1TLV|1DUR|1CDMG|1AAC	16RCR|2DUR|38VULN|4TLV|5ERES|7CDMG|9FEWX|aAAC
91	23522 12432	   	262.27	ACR|DCR|2VULN|1TLV|1DUR|1CDMG|1AAC	16RCR|2DUR|39VULN|4TLV|5ERES|7CDMG|8FEWX|aAAC
92	31611 11336	 * 	262.18	DCR|DCR|2VULN|2DUR	16LIT|2RMIN|35VULN|45DUR|5BPWR|7AME|8aRCR|9ASPD
93	31611 41336	   	262.18	DCR|DCR|2VULN|2DUR	1LIT|2RMIN|35VULN|45DUR|5BPWR|6RCVC|7AME|8aRCR|9ASPD
94	23522 13232	   	262.17	ACR|DCR|2VULN|1TLV|1DUR|1CDMG|1AAC	16RCR|2DUR|39VULN|4TLV|5ERES|7AETHUN|8CDMG|aAAC
95	14335 42331	   	262.13	ACR|DCR|2VULN|2DMG|1MLV|1CDMG	16CGEN|27RCR|3CDMG|4MLV|59DMG|8aVULN
96	14335 22363	 * 	262.13	ACR|DCR|2DMG|1VULN|1TLV|1MLV|1CDMG	1CGEN|27RCR|3CDMG|4MLV|56DMG|8VULN|9BELT|aTLV
97	31611 31336	   	262.08	DCR|DCR|2VULN|2DUR	1LIT|2RMIN|35VULN|45DUR|5BPWR|6AME|7AEBURN|8aRCR|9ASPD
98	31611 51336	   	262.08	DCR|DCR|2VULN|2DUR	1LIT|2RMIN|35VULN|45DUR|5BPWR|6AEFBLL|7AME|8aRCR|9ASPD
99	26423 12243	 * 	262.08	ACR|DCR|3DMG|1VULN|1TLV|1DUR	1aRCR|256DMG|3DUR|4VULN|7TLV|8FEWX|9MDPS
100	14335 32331	   	262.03	ACR|DCR|2VULN|2DMG|1MLV|1CDMG	1CGEN|27RCR|3CDMG|4MLV|59DMG|6AEWIND|8aVULN
101	23525 12363	   	261.98	ACR|DCR|2VULN|1TLV|2CDMG|1DUR	16RCR|2DUR|38VULN|4TLV|5CGEN|79CDMG|aASPD
102	26622 12321	 * 	261.95	ACR|DCR|3VULN|2DMG	1aRCR|27DMG|34RAT|568VULN|9ASPD
103	23533 12125	   	261.28	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7CDMG|8BEXP|9FEWX|aTLV
104	23533 12141	   	261.28	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7CDMG|8BEXP|9TLV|aFEWX
105	23533 12143	   	261.28	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7CDMG|8BEXP|9TLV|aCGEN
106	23533 12145	   	261.28	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7CDMG|8BEXP|9TLV|aRMIN
107	23533 12243	   	261.28	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7CDMG|8RAT|9LWND|aTLV
108	23533 12263	   	261.28	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7CDMG|8RAT|9FEWX|aTLV
109	23533 12425	   	261.28	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7CDMG|8FEWX|9BEXP|aTLV
110	23533 12441	   	261.28	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7CDMG|8aFEWX|9TLV
111	23533 15622	   	261.28	ACR|DCR|2VULN|2DUR|1TLV|1AART	16RCR|24DUR|34VULN|4BPWR|5LHND|7AART|8TLV|9BOSS|aRMIN
112	23533 15631	   	261.28	ACR|DCR|2VULN|2DUR|1TLV|1AART	16RCR|24DUR|34VULN|4BPWR|5LHND|7AART|8TLV|9RAT|aBOSS
113	23533 15632	   	261.28	ACR|DCR|2VULN|2DUR|1TLV|1AART	16RCR|24DUR|34VULN|4BPWR|5LHND|7AART|8TLV|9RAT|aFEWX
114	23536 12225	   	261.28	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5BEXP|7CDMG|8LWND|9FEWX|aTLV
115	23536 12241	   	261.28	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5BEXP|7CDMG|8LWND|9TLV|aFEWX
116	23536 12243	   	261.28	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5BEXP|7CDMG|8LWND|9TLV|aCGEN
117	23536 12341	   	261.28	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5BEXP|7CDMG|8aFEWX|9TLV
118	23525 12314	   	261.18	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|2aDUR|38VULN|4TLV|5CGEN|7CDMG|9FEWX
119	23532 31234	 * 	261.18	ACR|DCR|2VULN|2DUR|2AART|1CDMG	1aRCR|24DUR|34VULN|4BPWR|5RCVC|6CDMG|7RPLT|89AART
120	23533 12142	   	261.18	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7CDMG|8BEXP|9TLV|aMDPS
121	23533 12146	   	261.18	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7CDMG|8BEXP|9TLV|aBBNT
122	23533 12442	   	261.18	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7CDMG|8FEWX|9TLV|aDUST
123	23533 12443	   	261.18	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5LHND|7CDMG|8FEWX|9TLV|aTBNT
124	23533 14115	   	261.18	ACR|DCR|2VULN|2DUR|1TLV|1AART	16RCR|24DUR|34VULN|4BPWR|5LHND|7CGEN|8AART|9TBNT|aTLV
125	23533 15621	   	261.18	ACR|DCR|2VULN|2DUR|1TLV|1AART	16RCR|24DUR|34VULN|4BPWR|5LHND|7AART|8TLV|9BOSS|aERES
126	23533 15623	   	261.18	ACR|DCR|2VULN|2DUR|1TLV|1AART	16RCR|24DUR|34VULN|4BPWR|5LHND|7AART|8TLV|9BOSS|aMBVNT
127	23536 12242	   	261.18	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5BEXP|7CDMG|8LWND|9TLV|aMDPS
128	23536 12342	   	261.18	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5BEXP|7CDMG|8FEWX|9TLV|aDUST
129	23536 12343	   	261.18	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34VULN|4BPWR|5BEXP|7CDMG|8FEWX|9TLV|aTBNT
130	23213 12344	   	261.18	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|23DUR|4LWND|5LHND|7CDMG|8aVULN|9TLV
131	23322 12334	   	261.08	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|2aDUR|3LHND|4TLV|5AME|7CDMG|89VULN
132	23422 12334	   	261.08	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|2aDUR|3FEWX|4TLV|5AME|7CDMG|89VULN
133	23522 12134	   	261.08	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|2aDUR|39VULN|4TLV|5ERES|7CDMG|8BEXP
134	23522 12314	   	261.08	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|2aDUR|38VULN|4TLV|5ERES|7CDMG|9FEWX
135	23522 12434	   	261.08	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|2aDUR|39VULN|4TLV|5ERES|7CDMG|8FEWX
136	23533 15611	   	261.08	ACR|DCR|2VULN|2DUR|1TLV|1AART	16RCR|24DUR|34VULN|4BPWR|5LHND|7AART|8TLV|9BBNT|aDUST
137	23533 15612	   	261.08	ACR|DCR|2VULN|2DUR|1TLV|1AART	16RCR|24DUR|34VULN|4BPWR|5LHND|7AART|8TLV|9BBNT|aAEWIND
138	23533 16115	   	261.08	ACR|DCR|2VULN|2DUR|1TLV|1AART	16RCR|24DUR|34VULN|4BPWR|5LHND|7ERES|8AART|9TBNT|aTLV
139	23522 13234	   	260.98	ACR|DCR|2VULN|2DUR|1TLV|1CDMG	16RCR|2aDUR|39VULN|4TLV|5ERES|7AETHUN|8CDMG
