0	Index      	 *	Score 	Summary	Detail	
1	33172 25452	 * 	259.92	DCR|DCR|1TLV|1DMG|1MLV|1DUR|1AART	1DMSP|2MBVNT|3FEWX|4AART|5DUR|6MLV|7TLV|8DMG|9aRCR
39	32156 33212	   	232.19	DCR|DCR|1VULN|1MLV|1CDMG	1DMSP|2CDMG|3RPLT|4RCVC|5MLV|6VULN|7LIT|8RAT|9aRCR
40	32522 22535	 * 	231.39	DCR|2VULN|2TLV|3CDMG|1AART|1NUKE	1DMSP|239CDMG|49TLV|59VULN|6RCVC|7AART|8RCR|9BPWR|aNUKE
41	36324 12222	   	230.73	DCR|DCR|1VULN|2MLV	1DMSP|23MLV|4RAT|5AEPOI|6aRCR|7LIT|8VULN|9RPLT
42	51511 32263	   	230.66	DCR|DCR|1TLV|1DMG|1DUR	134FEWX|2BBNT|5CGEN|6aRCR|7TLV|8DMG|9DUR
43	51531 32263	   	230.66	DCR|DCR|1TLV|1DMG|1DUR	134FEWX|2BBNT|4BPWR|5CGEN|6aRCR|7TLV|8DMG|9DUR
44	45334 12222	   	230.63	DCR|DCR|1VULN|2MLV	1RAT|25AEPOI|34MLV|6aRCR|7LIT|8VULN|9RPLT
45	13116 36136	   	230.59	DCR|DCR|1VULN|2MLV|1SELL	1LWND|2SELL|39MLV|4VULN|5DMSP|6RPLT|7CGEN|8aRCR
46	13111 36136	   	230.49	DCR|DCR|1VULN|2MLV|1SELL	1LWND|2SELL|39MLV|4VULN|5AEPOI|6RPLT|7CGEN|8aRCR
47	32121 15342	   	230.14	DCR|DCR|1VULN|1AART|1CDMG	1DMSP|2CDMG|3RPLT|4FEWX|5DUST|6RCVC|7AART|8VULN|9aRCR
48	32121 45342	   	230.04	DCR|DCR|1VULN|1AART|1CDMG	1DMSP|2CDMG|3RPLT|4FEWX|5DUST|6AEFRZ|7AART|8VULN|9aRCR
