0	Index      	 *	Score 	Summary	Detail	
1	14211 11362	 * 	279.01	DCR|3VULN|2FLTARM|2TLV|2MLV	1RPLT|28FLTARM|38TLV|4DUST|56MLV|789VULN|8BPWR|aRCR
23	14241 11311	   	256.97	DCR|2VULN|2FLTARM|2TLV|2MLV	1RPLT|28FLTARM|38TLV|4FEWX|56MLV|78VULN|8BPWR|9BELT|aRCR
24	14211 11311	   	256.87	DCR|2VULN|2FLTARM|2TLV|2MLV	1RPLT|28FLTARM|38TLV|4DUST|56MLV|78VULN|8BPWR|9BELT|aRCR
25	14221 11332	   	256.87	DCR|2VULN|2FLTARM|2TLV|2MLV	1RPLT|28FLTARM|38TLV|4BEXP|56MLV|78VULN|8BPWR|9AEPOI|aRCR
26	14241 11332	   	256.87	DCR|2VULN|2FLTARM|2TLV|2MLV	1RPLT|28FLTARM|38TLV|4FEWX|56MLV|78VULN|8BPWR|9AEPOI|aRCR
27	14211 11332	   	256.77	DCR|2VULN|2FLTARM|2TLV|2MLV	1RPLT|28FLTARM|38TLV|4DUST|56MLV|78VULN|8BPWR|9AEPOI|aRCR
28	14211 11342	   	256.77	DCR|2VULN|2FLTARM|2TLV|2MLV	1RPLT|28FLTARM|38TLV|49DUST|56MLV|78VULN|8BPWR|aRCR
29	24112 21356	   	255.84	DCR|DCR|1VULN|1FLTARM|1DMG	1ERES|2VULN|3RAT|4TBNT|5ASPD|69RCR|7BBNT|8DMG|aFLTARM
30	24113 22612	   	255.14	DCR|DCR|2VULN|1FLTARM	1ERES|2aVULN|3RAT|4TBNT|5ZMB|69RCR|7CGEN|8FLTARM
31	54113 22612	   	255.14	DCR|DCR|2VULN|1FLTARM	1CGEN|2aVULN|3RAT|4TBNT|5ZMB|69RCR|7ERES|8FLTARM
32	12442 35113	   	251.58	DCR|DCR|1VULN|1TLV|1MLV	1RPLT|2ERES|3ASPD|4TLV|5MLV|6CGEN|7aRCR|8BOSS|9VULN
33	12442 42113	   	251.58	DCR|DCR|1VULN|1TLV|1MLV	1RPLT|2ERES|3ASPD|4TLV|5MLV|6aRCR|7RMIN|8BOSS|9VULN
34	12442 43213	   	251.58	DCR|DCR|1VULN|1TLV|1MLV	1RPLT|2ERES|3ASPD|4TLV|5MLV|6aRCR|7BOSS|8RMIN|9VULN
35	54112 23412	   	251.48	DCR|DCR|2VULN|1MLV	1CGEN|2aVULN|3RAT|4TBNT|5ASPD|69RCR|7LSRICY|8MLV
36	14221 22324	 * 	251.04	DCR|2VULN|2FLTARM|3TLV|1MLV	1RPLT|28FLTARM|378TLV|4BEXP|5MLV|68VULN|8BPWR|9AIRHEA|aRCR
37	14241 22324	   	251.04	DCR|2VULN|2FLTARM|3TLV|1MLV	1RPLT|28FLTARM|378TLV|4FEWX|5MLV|68VULN|8BPWR|9AIRHEA|aRCR
38	14211 22324	   	250.94	DCR|2VULN|2FLTARM|3TLV|1MLV	1RPLT|28FLTARM|378TLV|4DUST|5MLV|68VULN|8BPWR|9AIRHEA|aRCR
39	51542 46333	   	249.63	DCR|DCR|1VULN|1TLV|1CDMG	1CGEN|2TLV|3MBVNT|4ASPD|5CDMG|6VULN|7aRCR|8LWND|9LIT
40	14231 33165	 * 	249.56	DCR|2VULN|2DMG|1FLTARM|1TLV|1MLV	1RPLT|2FLTARM|3TLV|48DMG|5BBNT|6RCR|7MLV|9aVULN
41	12412 43513	   	249.53	DCR|DCR|1VULN|1TLV|1DUR	1RPLT|2ERES|3ASPD|4DUR|5AEFBLL|6aRCR|7BOSS|8TLV|9VULN
42	12413 43513	   	249.53	DCR|DCR|1VULN|1TLV|1DUR	1RPLT|25ERES|3ASPD|4DUR|6aRCR|7BOSS|8TLV|9VULN
43	21351 42622	   	249.53	DCR|DCR|1VULN|1TLV|1CDMG	1ERES|2TLV|3VULN|4RAT|5DUST|6CDMG|7BEXP|8aRCR|9ASPD
44	21542 46113	   	249.53	DCR|DCR|1VULN|1TLV|1CDMG	1ERES|2TLV|3MBVNT|4ASPD|5CDMG|6LHND|7aRCR|8BOSS|9VULN
45	21542 46733	   	249.53	DCR|DCR|1VULN|1TLV|1CDMG	1ERES|2TLV|3MBVNT|4ASPD|5CDMG|6LHND|7aRCR|8VULN|9LIT
46	21542 56113	   	249.53	DCR|DCR|1VULN|1TLV|1CDMG	1ERES|2TLV|3MBVNT|4ASPD|5CDMG|6LWND|7aRCR|8BOSS|9VULN
47	21542 66333	   	249.53	DCR|DCR|1VULN|1TLV|1CDMG	1ERES|2TLV|3MBVNT|4ASPD|5CDMG|6VULN|7aRCR|8LWND|9LIT
48	24112 22614	   	249.53	DCR|DCR|1VULN|1FLTARM|1DUR	1ERES|2VULN|3RAT|4TBNT|5ASPD|69RCR|7CGEN|8FLTARM|aDUR
49	32241 12345	   	249.29	DCR|DCR|2VULN|1DUR|1SELL	1LHND|2DUST|37VULN|4ASPD|5DUR|6LEGI|8SELL|9aRCR
50	32241 22345	   	249.29	DCR|DCR|2VULN|1DUR|1SELL	1LHND|2DUST|37VULN|4ASPD|5DUR|6AETHUN|8SELL|9aRCR
