0	Index      	 *	Score 	Summary	Detail	
1	31153 12526	 * 	255.04	DCR|DCR|2VULN|1TLV	1ZMB|2FEWX|39VULN|4LSRHEA|5ERES|6TLV|7MDPS|8aRCR
20	34133 65132	 * 	242.34	DCR|2VULN|2TLV|2MLV|1DMG|1DUR	18ZMB|23VULN|48TLV|5DMG|6FEWX|78MLV|8BPWR|9RCR|aDUR
21	34133 31323	   	241.66	DCR|3VULN|1TLV|1DMG|1MLV|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9LHND|aMLV
22	34133 31341	   	241.66	DCR|3VULN|1TLV|1DMG|1MLV|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9RAT|aMLV
23	46133 31323	   	241.66	DCR|3VULN|1TLV|1DMG|1MLV|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9LHND|aMLV
24	46133 31341	   	241.66	DCR|3VULN|1TLV|1DMG|1MLV|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9RAT|aMLV
25	34133 31333	   	241.56	DCR|3VULN|1TLV|1DMG|1MLV|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9MDPS|aMLV
26	46133 31333	   	241.56	DCR|3VULN|1TLV|1DMG|1MLV|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9MDPS|aMLV
27	34123 31322	   	241.56	DCR|4VULN|1DMG|1MLV|1AART	1ZMB|237aVULN|4ASPD|5DMG|6AART|8RCR|9MLV
28	46123 31322	   	241.56	DCR|4VULN|1DMG|1MLV|1AART|1AAC	137aVULN|2AAC|4ASPD|5DMG|6AART|8RCR|9MLV
29	41543 13113	 * 	240.42	DCR|3VULN|2DMG|2TLV	179VULN|2BBNT|39TLV|4RPLT|59DMG|6RCVC|8RMIN|9BPWR|aRCR
30	43543 13113	   	240.42	DCR|3VULN|2DMG|2TLV	179VULN|2TBNT|39TLV|4RPLT|59DMG|6RCVC|8RMIN|9BPWR|aRCR
31	34133 31322	   	239.70	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9LHND|aDUR
32	46133 31322	   	239.70	DCR|3VULN|1TLV|1DMG|1DUR|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9LHND|aDUR
33	34133 31332	   	239.60	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9MDPS|aDUR
34	34133 31355	   	239.60	DCR|3VULN|1TLV|1DMG|1AART|1CDMG	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9ERES|aCDMG
35	46133 31332	   	239.60	DCR|3VULN|1TLV|1DMG|1DUR|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9MDPS|aDUR
36	31156 13236	 * 	239.37	DCR|DCR|2TLV|1VULN	1ZMB|2FEWX|3VULN|4LSRHEA|56TLV|7CGEN|8BOSS|9aRCR
37	31266 13236	   	239.37	DCR|DCR|2TLV|1VULN	1ZMB|2FEWX|36TLV|4FLTHEA|5VULN|7CGEN|8BOSS|9aRCR
38	22161 34242	 * 	238.90	DCR|3FLTARM|2VULN|1DUR|1CDMG	1DUR|256LIT|3TBNT|456FLTARM|56BPWR|7CDMG|8aVULN|9RCR
39	34133 51232	   	238.24	DCR|3VULN|2TLV|1DMG|1MLV	1ZMB|237VULN|46TLV|5DMG|8MLV|9TBNT|aRCR
40	21213 56613	 * 	237.01	DCR|2VULN|2DMG|2DUR|1MLV|1AAC	19DUR|2BBNT|3AME|49DMG|5MLV|6LHND|79VULN|8RCR|9BPWR|aAAC
41	23213 56613	   	237.01	DCR|2VULN|2DMG|2DUR|1MLV|1AAC	19DUR|2TBNT|3AME|49DMG|5MLV|6LHND|79VULN|8RCR|9BPWR|aAAC
42	11642 31361	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2BBNT|3RMIN|4RPLT|5VULN|6LIT|7DMG|89RCR|aDUR
43	13642 31361	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2TBNT|3RMIN|4RPLT|5VULN|6LIT|7DMG|89RCR|aDUR
44	21642 31363	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2BBNT|3aRMIN|4RPLT|5VULN|6LIT|7DMG|89RCR
45	23642 31363	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2TBNT|3aRMIN|4RPLT|5VULN|6LIT|7DMG|89RCR
46	11242 31361	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2BBNT|3AME|4RPLT|5VULN|6LIT|7DMG|89RCR|aDUR
47	13242 31361	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2TBNT|3AME|4RPLT|5VULN|6LIT|7DMG|89RCR|aDUR
48	21242 31363	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2BBNT|3AME|4RPLT|5VULN|6LIT|7DMG|89RCR|aRMIN
49	21242 31364	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2BBNT|3AME|4RPLT|5VULN|6LIT|7DMG|89RCR|aCGEN
50	21242 31365	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2BBNT|3AME|4RPLT|5VULN|6aLIT|7DMG|89RCR
51	21242 31366	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2BBNT|3AME|4RPLT|5VULN|6LIT|7DMG|89RCR|aLWND
52	21642 31362	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2BBNT|3RMIN|4RPLT|5VULN|6LIT|7DMG|89RCR|aDUST
53	23242 31363	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2TBNT|3AME|4RPLT|5VULN|6LIT|7DMG|89RCR|aRMIN
54	23242 31364	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2TBNT|3AME|4RPLT|5VULN|6LIT|7DMG|89RCR|aCGEN
55	23242 31365	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2TBNT|3AME|4RPLT|5VULN|6aLIT|7DMG|89RCR
56	23242 31366	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2TBNT|3AME|4RPLT|5VULN|6LIT|7DMG|89RCR|aLWND
57	23642 31362	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2TBNT|3RMIN|4RPLT|5VULN|6LIT|7DMG|89RCR|aDUST
58	61242 31361	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1LWND|2BBNT|3AME|4RPLT|5VULN|6LIT|7DMG|89RCR|aDUR
59	63242 31361	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1LWND|2TBNT|3AME|4RPLT|5VULN|6LIT|7DMG|89RCR|aDUR
60	34133 31316	   	236.39	DCR|3VULN|2TLV|1DMG|1AART	1ZMB|237VULN|49TLV|5DMG|6AART|8RCR|aFEWX
61	46133 31316	   	236.39	DCR|3VULN|2TLV|1DMG|1AART|1AAC	137VULN|2AAC|49TLV|5DMG|6AART|8RCR|aFEWX
62	21242 31362	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2BBNT|3AME|4RPLT|5VULN|6LIT|7DMG|89RCR|aDUST
63	23242 31362	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2TBNT|3AME|4RPLT|5VULN|6LIT|7DMG|89RCR|aDUST
64	34133 31311	   	236.29	DCR|3VULN|2TLV|1DMG|1AART	1ZMB|237VULN|49TLV|5DMG|6AART|8RCR|aDUST
65	34133 31313	   	236.29	DCR|3VULN|2TLV|1DMG|1AART	1ZMB|237VULN|49TLV|5DMG|6AART|8RCR|aAEBURN
66	34133 31314	   	236.29	DCR|3VULN|2TLV|1DMG|1AART	1ZMB|237VULN|49TLV|5DMG|6AART|8RCR|aLEGI
67	46133 31311	   	236.29	DCR|3VULN|2TLV|1DMG|1AART|1AAC	137VULN|2AAC|49TLV|5DMG|6AART|8RCR|aDUST
68	46133 31313	   	236.29	DCR|3VULN|2TLV|1DMG|1AART|1AAC	137VULN|2AAC|49TLV|5DMG|6AART|8RCR|aAEBURN
69	46133 31314	   	236.29	DCR|3VULN|2TLV|1DMG|1AART|1AAC	137VULN|2AAC|49TLV|5DMG|6AART|8RCR|aLEGI
70	34123 31325	   	236.04	DCR|3VULN|1DMG|1MLV|1AART|1CDMG	1ZMB|237VULN|4ASPD|5DMG|6AART|8RCR|9MLV|aCDMG
71	46123 31325	   	236.04	DCR|3VULN|1DMG|1MLV|1AART|1CDMG|1AAC	137VULN|2AAC|4ASPD|5DMG|6AART|8RCR|9MLV|aCDMG
72	24631 61211	   	235.24	DCR|3VULN|1TLV|1MLV|1DUR|1AAC	1DUR|2BEXP|345VULN|6RPLT|7RCR|8MLV|9TLV|aAAC
73	45231 13153	 * 	233.74	DCR|3VULN|2MLV|1TLV|1AART|1SELL	158VULN|2SELL|38LWND|4AART|6MDPS|78MLV|8BPWR|9TLV|aRCR
74	42132 13513	 * 	233.46	DCR|2VULN|3TLV|2DUR|1DMG	19VULN|26LIT|369TLV|4RMIN|5RPLT|69BPWR|7RCR|89DUR|aDMG
75	34123 31311	   	232.99	DCR|3VULN|1TLV|1DMG|1AART	1ZMB|237VULN|4ASPD|5DMG|6AART|8RCR|9TLV|aRCVC
76	34123 31313	   	232.99	DCR|3VULN|1TLV|1DMG|1AART	1ZMB|237VULN|4ASPD|5DMG|6AART|8RCR|9TLV|aLWND
77	46123 31311	   	232.99	DCR|3VULN|1TLV|1DMG|1AART|1AAC	137VULN|2AAC|4ASPD|5DMG|6AART|8RCR|9TLV|aRCVC
78	46123 31313	   	232.99	DCR|3VULN|1TLV|1DMG|1AART|1AAC	137VULN|2AAC|4ASPD|5DMG|6AART|8RCR|9TLV|aLWND
79	46125 32123	 * 	232.95	DCR|3VULN|3DMG|2ASPD|1AAC|1SELL	138VULN|2AAC|48ASPD|5SELL|6BOSS|78aDMG|8BPWR|9RCR
80	34123 31314	   	232.89	DCR|3VULN|1TLV|1DMG|1AART|1MSE	1ZMB|237VULN|4ASPD|5DMG|6AART|8RCR|9TLV|aMSE
81	46123 31314	   	232.89	DCR|3VULN|1TLV|1DMG|1AART|1AAC|1MSE	137VULN|2AAC|4ASPD|5DMG|6AART|8RCR|9TLV|aMSE
82	34133 33543	 * 	231.87	DCR|2VULN|2AART|1TLV|1DMG|1MLV	1ZMB|23VULN|4TLV|5DMG|69AART|7DUST|8RCR|aMLV
83	26213 62216	 * 	231.83	DCR|2VULN|3DUR|2TLV|1AART|1AAC	15aDUR|2AAC|3aTLV|4AART|6ERES|7RCR|8LHND|9aVULN|aBPWR
84	34133 65232	   	231.81	DCR|2VULN|2MLV|1TLV|1DMG|1DUR	1ZMB|23VULN|4TLV|5DMG|6FEWX|78MLV|9RCR|aDUR
85	46123 16322	 * 	230.79	DCR|3VULN|2DMG|2CDMG|1AAC	13aVULN|2AAC|4ASPD|5aDMG|6ERES|7LIT|8aCDMG|9RCR|aBPWR
86	41511 12361	   	230.49	DCR|2VULN|2DMG|1TLV|1MLV	19VULN|2BBNT|3TLV|49DMG|5MLV|6ASPD|7RPLT|89ZMB|9BPWR|aRCR
87	43511 12361	   	230.49	DCR|2VULN|2DMG|1TLV|1MLV	19VULN|2TBNT|3TLV|49DMG|5MLV|6ASPD|7RPLT|89ZMB|9BPWR|aRCR
88	22334 21641	 * 	230.42	DCR|DCR|1TLV|1DMG|1DUR|1SELL	1DUR|28LIT|3SELL|4RPLT|5DMG|6BBNT|7aRCR|9TLV
89	34132 14511	   	230.19	DCR|3VULN|2DMG|1TLV	1ZMB|239VULN|4TLV|5LHND|69FEWX|7BEXP|89DMG|9BPWR|aRCR
90	22231 66341	   	230.04	DCR|DCR|1VULN|1DUR|1AART	1DUR|2LIT|3LWND|4AART|5BBNT|68RCR|7AME|9VULN|aCGEN
91	22231 66342	   	230.04	DCR|DCR|1VULN|1DUR|1AART	1DUR|2LIT|3aLWND|4AART|5BBNT|68RCR|7AME|9VULN
92	24631 34611	 * 	229.99	DCR|3VULN|2DMG|2DUR	19DUR|29BEXP|345VULN|6MBVNT|7LHND|89DMG|9BPWR|aRCR
93	34132 24511	   	229.99	DCR|3VULN|2DMG|1TLV	1ZMB|239VULN|4TLV|5LHND|69DUST|7BEXP|89DMG|9BPWR|aRCR
94	46134 31312	   	229.97	DCR|3VULN|2TLV|1DUR|1AART|1AAC	137VULN|2AAC|49TLV|5ZMB|6AART|8RCR|aDUR
95	22231 66335	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1DUR|2LIT|3LWND|4AART|5BBNT|68RCR|7AME|9ERES|aVULN
96	22231 66343	   	229.94	DCR|DCR|1VULN|1DUR|1AART|1SELL	1DUR|2LIT|3LWND|4AART|5BBNT|68RCR|7AME|9VULN|aSELL
97	34133 33542	   	229.92	DCR|2VULN|2AART|1TLV|1DMG|1DUR	1ZMB|23VULN|4TLV|5DMG|69AART|7DUST|8RCR|aDUR
98	34133 33552	   	229.92	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1ZMB|23VULN|4TLV|5DMG|6AART|7DUST|8RCR|9aDUR
99	24611 34611	   	229.89	DCR|3VULN|2DMG|2DUR	19DUR|2BEXP|359VULN|4AEFRZ|6MBVNT|7LHND|89DMG|9BPWR|aRCR
100	41543 33113	   	229.89	DCR|3VULN|2DMG|1TLV	179VULN|2BBNT|3TLV|4RPLT|59DMG|69AEPOI|8RMIN|9BPWR|aRCR
101	43543 33113	   	229.89	DCR|3VULN|2DMG|1TLV	179VULN|2TBNT|3TLV|4RPLT|59DMG|69AEPOI|8RMIN|9BPWR|aRCR
102	52233 32216	   	229.75	DCR|2VULN|2TLV|1DMG|1MLV|1AART	1LEGI|2aAEBURN|3MLV|4aTLV|5DMG|6AART|7RCR|8LHND|9aVULN|aBPWR
103	41512 36313	   	229.75	DCR|3VULN|2DMG|1TLV|1NUKE|1SELL	179VULN|2BBNT|3TLV|49DMG|59LWND|6NUKE|8SELL|9BPWR|aRCR
104	43512 36313	   	229.75	DCR|3VULN|2DMG|1TLV|1NUKE|1SELL	179VULN|2TBNT|3TLV|49DMG|59LWND|6NUKE|8SELL|9BPWR|aRCR
105	52233 32416	   	229.65	DCR|2VULN|2TLV|1DMG|1MLV|1AART	1LEGI|2aAEBURN|3MLV|4aTLV|5DMG|6AART|7RCR|8DUST|9aVULN|aBPWR
106	45231 31243	 * 	229.25	DCR|5VULN|1AART|1CDMG|1SELL	15789VULN|2SELL|3LWND|4AART|6CDMG|aRCR
107	31133 36136	   	229.04	DCR|DCR|2VULN	1ZMB|28FEWX|36VULN|4LWND|5BOSS|7TSLFST|9aRCR
108	31133 36336	   	229.04	DCR|DCR|2VULN	1ZMB|2FEWX|36VULN|4LWND|5BOSS|7TSLFST|8RCVC|9aRCR
109	31135 51236	   	229.04	DCR|DCR|2VULN	15ZMB|2FEWX|36VULN|4LWND|7SPLJET|8BOSS|9aRCR
110	34112 63236	   	229.04	DCR|DCR|2VULN	1ZMB|23VULN|4VENFST|5LWND|6RMIN|7CGEN|8BOSS|9aRCR
111	31156 23236	   	229.04	DCR|DCR|1VULN|1TLV	1ZMB|2FEWX|3VULN|4LSRHEA|5TLV|6RCVC|7CGEN|8BOSS|9aRCR
112	31266 23236	   	229.04	DCR|DCR|1VULN|1TLV	1ZMB|2FEWX|3TLV|4FLTHEA|5VULN|6RCVC|7CGEN|8BOSS|9aRCR
113	42132 13515	   	229.00	DCR|2VULN|3TLV|2DUR|1MLV	19VULN|26LIT|369TLV|4RMIN|5RPLT|69BPWR|7RCR|89DUR|aMLV
114	42132 33516	 * 	228.98	DCR|3VULN|2TLV|2DUR	19aVULN|2LIT|39TLV|4RMIN|5RPLT|6RCVC|7RCR|89DUR|9BPWR
115	31154 34633	   	228.94	DCR|DCR|2VULN	19ZMB|2FEWX|39VULN|49LSRHEA|5RCVC|6MBVNT|7TBNT|8aRCR|9BPWR
116	34113 34633	   	228.94	DCR|DCR|2VULN	19ZMB|23VULN|49VENFST|59BEXP|6MBVNT|7TBNT|8aRCR|9BPWR
117	16132 22526	   	228.94	DCR|DCR|2VULN|1AAC	1FEWX|2AAC|39VULN|4LWND|5DUST|6BEXP|7CANARM|8aRCR
118	31132 26526	   	228.94	DCR|DCR|2VULN	1ZMB|2FEWX|39VULN|4LWND|5DUST|6BEXP|7VENFST|8aRCR
119	31151 32526	   	228.94	DCR|DCR|2VULN	1ZMB|26FEWX|39VULN|4LSRHEA|5LHND|7MDPS|8aRCR
120	34112 24236	   	228.94	DCR|DCR|2VULN	17ZMB|23VULN|4VENFST|5LWND|6DUST|8BOSS|9aRCR
121	31153 14236	   	228.94	DCR|DCR|1VULN|1TLV	17ZMB|2FEWX|3VULN|4LSRHEA|5ERES|6TLV|8BOSS|9aRCR
122	31153 22526	   	228.84	DCR|DCR|2VULN	1ZMB|2FEWX|39VULN|4LSRHEA|5ERES|6CGEN|7MDPS|8aRCR
123	34151 23236	   	228.84	DCR|DCR|2VULN	1ZMB|23VULN|4DUST|5AEPOI|6SNIFST|7LWND|8BOSS|9aRCR
124	34152 23236	   	228.84	DCR|DCR|2VULN	1ZMB|23VULN|45DUST|6SNIFST|7LWND|8BOSS|9aRCR
125	31153 12536	   	228.84	DCR|DCR|1VULN|1TLV	19ZMB|2FEWX|3VULN|4LSRHEA|5ERES|6TLV|7MDPS|8aRCR
126	34133 65131	   	228.69	DCR|2VULN|2TLV|2MLV|1DMG	18ZMB|23VULN|48TLV|5DMG|6FEWX|78MLV|8BPWR|9RCR|aCGEN
127	34133 65133	   	228.69	DCR|2VULN|2TLV|2MLV|1DMG	18ZMB|23VULN|48TLV|5DMG|6FEWX|78MLV|8BPWR|9RCR|aRAT
128	34133 65122	   	228.59	DCR|2VULN|2TLV|2MLV|1DMG	18ZMB|23VULN|48TLV|5DMG|6FEWX|78MLV|8BPWR|9AEPOI|aRCR
129	24631 61213	   	228.53	DCR|3VULN|1TLV|1MLV|1DUR	1DUR|2BEXP|345VULN|6RPLT|7RCR|8MLV|9TLV|aASPD
130	41412 53313	 * 	227.91	DCR|2VULN|2DMG|1TLV|2CDMG	19VULN|2BBNT|3ZMB|49DMG|58LWND|6TLV|79CDMG|9BPWR|aRCR
131	43412 53313	   	227.91	DCR|2VULN|2DMG|1TLV|2CDMG	19VULN|2TBNT|3ZMB|49DMG|58LWND|6TLV|79CDMG|9BPWR|aRCR
132	34133 41232	   	227.81	DCR|3VULN|1TLV|1DMG|1MLV	1ZMB|237VULN|4TLV|5DMG|6AEFRZ|8MLV|9TBNT|aRCR
133	33233 15361	 * 	227.16	DCR|2VULN|3MLV|1TLV|1DMG	1ZMB|2ERES|378MLV|4TLV|5DMG|69VULN|aRCR
134	42111 26261	   	227.10	DCR|2VULN|1TLV|1DMG|1MSLTOX|1DUR	1aVULN|2LIT|3TLV|4ASPD|5DMG|6FEWX|7MSLTOX|8DUR|9RCR
135	46222 23532	   	226.33	DCR|3VULN|2DMG|1MLV|1AAC	167VULN|2AAC|3RAT|47DMG|57ERES|7BPWR|8ASPD|9RCR|aMLV
136	34133 64111	   	226.25	DCR|3VULN|1TLV|1DMG|1DUR	1ZMB|239VULN|4TLV|5DMG|69FEWX|7DUR|89LWND|9BPWR|aRCR
137	34133 64211	   	226.25	DCR|3VULN|1TLV|1DMG|1DUR	1ZMB|239VULN|4TLV|5DMG|69FEWX|7DUR|89LHND|9BPWR|aRCR
138	33234 14136	   	226.20	DCR|DCR|1TLV|1MLV|1DUR	1ZMB|2ERES|3MLV|4TLV|5BOSS|6CGEN|7FRZARM|8DUR|9aRCR
139	34133 31321	   	226.05	DCR|3VULN|1TLV|1DMG|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9LHND|aLWND
140	34133 31326	   	226.05	DCR|3VULN|1TLV|1DMG|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9LHND|aRMIN
141	34133 31342	   	226.05	DCR|3VULN|1TLV|1DMG|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9RAT|aLHND
142	34133 31343	   	226.05	DCR|3VULN|1TLV|1DMG|1AART	1aZMB|237VULN|4TLV|5DMG|6AART|8RCR|9RAT
143	46133 31321	   	226.05	DCR|3VULN|1TLV|1DMG|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9LHND|aLWND
144	46133 31326	   	226.05	DCR|3VULN|1TLV|1DMG|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9LHND|aRMIN
145	46133 31342	   	226.05	DCR|3VULN|1TLV|1DMG|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9RAT|aLHND
146	46133 31343	   	226.05	DCR|3VULN|1TLV|1DMG|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9RAT|aZMB
147	34133 31324	   	225.95	DCR|3VULN|1TLV|1DMG|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9LHND|aERES
148	34133 31325	   	225.95	DCR|3VULN|1TLV|1DMG|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9LHND|aMDPS
149	34133 31331	   	225.95	DCR|3VULN|1TLV|1DMG|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9MDPS|aRAT
150	34133 31334	   	225.95	DCR|3VULN|1TLV|1DMG|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9MDPS|aLWND
151	34133 31335	   	225.95	DCR|3VULN|1TLV|1DMG|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9MDPS|aFEWX
152	34133 31344	   	225.95	DCR|3VULN|1TLV|1DMG|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9RAT|aAETHUN
153	34133 31345	   	225.95	DCR|3VULN|1TLV|1DMG|1AART|1MSE	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9RAT|aMSE
154	34133 31346	   	225.95	DCR|3VULN|1TLV|1DMG|1AART|1SELL	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9RAT|aSELL
155	34133 31351	   	225.95	DCR|3VULN|1TLV|1DMG|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9ERES|aBELT
156	34133 31353	   	225.95	DCR|3VULN|1TLV|1DMG|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9ERES|aCGEN
157	46133 31324	   	225.95	DCR|3VULN|1TLV|1DMG|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9LHND|aERES
158	46133 31325	   	225.95	DCR|3VULN|1TLV|1DMG|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9LHND|aMDPS
159	46133 31331	   	225.95	DCR|3VULN|1TLV|1DMG|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9MDPS|aRAT
160	46133 31334	   	225.95	DCR|3VULN|1TLV|1DMG|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9MDPS|aLWND
161	46133 31335	   	225.95	DCR|3VULN|1TLV|1DMG|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9MDPS|aFEWX
162	46133 31351	   	225.95	DCR|3VULN|1TLV|1DMG|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9ERES|aBELT
163	46133 31353	   	225.95	DCR|3VULN|1TLV|1DMG|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9ERES|aCGEN
164	34133 62433	   	225.95	DCR|3VULN|1TLV|1DMG|1CDMG	1ZMB|23aVULN|4TLV|5DMG|6FEWX|7CDMG|8RCR|9AEFBLL
165	34133 31336	   	225.85	DCR|3VULN|1TLV|1DMG|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9MDPS|aLSRREG
166	34133 31352	   	225.85	DCR|3VULN|1TLV|1DMG|1AART	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9ERES|aDUST
167	34133 31354	   	225.85	DCR|3VULN|1TLV|1DMG|1AART|1MSE	1ZMB|237VULN|4TLV|5DMG|6AART|8RCR|9ERES|aMSE
168	46133 31336	   	225.85	DCR|3VULN|1TLV|1DMG|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9MDPS|aLSRREG
169	46133 31352	   	225.85	DCR|3VULN|1TLV|1DMG|1AART|1AAC	137VULN|2AAC|4TLV|5DMG|6AART|8RCR|9ERES|aDUST
