0	Index      	 *	Score 	Summary	Detail	
1	52513 22141	 * 	195.58	DCR|4VULN|2DMG|1AART|1CDMG|1ZMB|1MSE	1MSE|235aVULN|45DMG|5BPWR|6RCR|7AART|8CDMG|9ZMB
18	52513 22131	 * 	181.92	DCR|3VULN|2DMG|2AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|79AART|8CDMG|aLIT
19	52513 22132	 * 	181.92	DCR|3VULN|2DMG|2AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|79AART|8CDMG|aRMIN
20	52513 22136	 * 	181.92	DCR|3VULN|2DMG|2AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|79AART|8CDMG|aDMSP
21	52513 22135	 * 	181.82	DCR|3VULN|2DMG|2AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|79AART|8CDMG|aTLV
22	52513 22241	 * 	181.68	DCR|4VULN|2DMG|1AART|1ZMB|1SELL|1MSE	1MSE|235aVULN|45DMG|5BPWR|6RCR|7AART|8SELL|9ZMB
23	52513 22234	 * 	181.67	DCR|3VULN|2DMG|2AART|1CDMG|1SELL|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|79AART|8SELL|aCDMG
24	63135 12512	 * 	181.47	ACR|2AART|2VULN|2DMG|1DUR|1SELL	1SELL|2aAART|39LHND|49VULN|5RCR|6ERES|7DUR|89DMG|9BPWR
25	52513 22142	 * 	181.47	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|7AART|8CDMG|9ZMB|aLIT
26	52613 22141	 * 	181.37	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB|2MSE	13MSE|25aVULN|45DMG|5BPWR|6RCR|7AART|8CDMG|9ZMB
27	42524 22131	 * 	181.37	DCR|4VULN|1AART|1CDMG|1ZMB	1BEXP|234aVULN|5ZMB|6RCR|7AART|8CDMG|9MLV
28	52513 25331	 * 	181.32	DCR|3VULN|2DMG|2AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|7CDMG|89AART|aLIT
29	52513 25332	 * 	181.32	DCR|3VULN|2DMG|2AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|7CDMG|89AART|aRMIN
30	52513 22143	 * 	181.23	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB|1SELL|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|7AART|8CDMG|9ZMB|aSELL
31	13213 44622	   	180.52	DCR|4VULN|3DMG	19aDMG|29aLHND|3BEXP|4DUST|579aVULN|6RCVC|8RCR|9aBPWR
32	13213 54622	   	180.52	DCR|4VULN|3DMG	19aDMG|269aLHND|3BEXP|4DUST|579aVULN|8RCR|9aBPWR
33	14363 35221	 * 	180.37	DCR|3DMG|2AART|2CDMG|1ASPD	19aDMG|29VENICY|3ASPD|46AART|5LWND|7RCR|89CDMG|9BPWR
34	15363 35221	   	180.37	DCR|3DMG|2AART|2CDMG|1ASPD	19aDMG|29BASICY|3ASPD|46AART|5LWND|7RCR|89CDMG|9BPWR
35	13213 64622	   	179.87	DCR|3VULN|3DMG|1CDMG	169DMG|29LHND|3BEXP|4DUST|579VULN|8RCR|9BPWR|aCDMG
36	14361 21343	   	179.41	DCR|3VULN|2DMG|1AART|1ASPD	19DMG|29VENICY|3ASPD|4AART|5MGNSTR|679VULN|8RCVC|9BPWR|aRCR
37	15361 21343	   	179.41	DCR|3VULN|2DMG|1AART|1ASPD	19DMG|29BASICY|3ASPD|4AART|5MGNSTR|679VULN|8RCVC|9BPWR|aRCR
38	14512 33533	 * 	179.32	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DMG|2VENICY|38AART|4DUR|5ASPD|6ZMB|7RCR|9CDMG|aVULN
39	15512 33533	   	179.32	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DMG|2BASICY|38AART|4DUR|5ASPD|6ZMB|7RCR|9CDMG|aVULN
40	52513 22236	 * 	179.03	DCR|3VULN|2DMG|2AART|1ZMB|1SELL|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|79AART|8SELL|aZMB
41	13136 24228	   	178.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2LHND|3DUR|4MBVNT|59aVULN|6CDMG|7AART|8RCR
42	43342 24311	 * 	178.08	ACR|2VULN|2DMG|1AART|1CDMG	169BEXP|2CDMG|3RCR|47VULN|5aDMG|8AART
43	52513 22311	 * 	177.86	DCR|4VULN|2DMG|1AART|1DUR|1MSE	1MSE|235aVULN|45DMG|5BPWR|6RCR|7AART|8LIT|9DUR
44	52513 22253	 * 	177.62	DCR|4VULN|2DMG|1AART|1DUR|1SELL|1MSE	1MSE|2359VULN|45DMG|5BPWR|6RCR|7AART|8SELL|aDUR
45	11214 56222	 * 	177.41	DCR|3DMG|3ZMB|1VULN|1CDMG	148DMG|2ERES|38BEXP|568ZMB|7RCR|8BPWR|9CDMG|aVULN
46	52613 22153	 * 	177.31	DCR|3VULN|2DMG|1AART|1CDMG|1DUR|2MSE	13MSE|259VULN|45DMG|5BPWR|6RCR|7AART|8CDMG|aDUR
47	42512 22131	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|23aVULN|4DMG|5RCVC|6RCR|7AART|8CDMG|9MLV
48	42512 22151	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|239VULN|4DMG|5RCVC|6RCR|7AART|8CDMG|aLIT
49	42512 22152	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|239VULN|4DMG|5RCVC|6RCR|7AART|8CDMG|aRMIN
50	43342 24312	 * 	176.15	ACR|3VULN|1AART|1DMG|1CDMG	169BEXP|2CDMG|3RCR|47aVULN|5DMG|8AART
51	43342 24331	   	176.15	ACR|3VULN|1AART|1DMG|1CDMG	16BEXP|2CDMG|3RCR|47aVULN|5DMG|8AART|9MLV
52	43342 61331	   	176.15	ACR|3VULN|1AART|1DMG|1CDMG	1BEXP|2CDMG|3RCR|46aVULN|5DMG|7RCVC|8AART|9MLV
53	11112 53362	   	176.07	DCR|3VULN|2DMG|1AART	19DMG|29ERES|3RMIN|4CGEN|5LIT|6AART|79aVULN|8RCR|9BPWR
54	11162 53362	   	176.07	DCR|3VULN|2DMG|1AART	19DMG|29ERES|3RMIN|4MLV|5LIT|6AART|79aVULN|8RCR|9BPWR
55	11523 56312	   	176.07	DCR|3DMG|2VULN|1AART	137DMG|27ERES|4RCVC|57VULN|6AART|7BPWR|8RCR|9BEXP|aBELT
56	11523 56313	   	176.07	DCR|3DMG|2VULN|1AART	137DMG|27ERES|4RCVC|57VULN|6AART|7BPWR|8RCR|9BEXP|aLWND
57	11523 56322	   	176.07	DCR|3DMG|2VULN|1AART	137DMG|27ERES|4RCVC|57VULN|6AART|7BPWR|8RCR|9LWND|aFEWX
58	11523 56323	   	176.07	DCR|3DMG|2VULN|1AART	137DMG|27ERES|4RCVC|57VULN|6AART|7BPWR|8RCR|9LWND|aLHND
59	11523 56331	   	175.97	DCR|3DMG|2VULN|1AART	137DMG|27ERES|4RCVC|57VULN|6AART|7BPWR|8RCR|9TLV|aMLV
60	11523 56333	   	175.97	DCR|3DMG|2VULN|1AART	137DMG|27ERES|4RCVC|57VULN|6AART|7BPWR|8RCR|9TLV|aCGEN
61	42512 25331	   	175.73	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|23aVULN|4DMG|5RCVC|6RCR|7CDMG|8AART|9MLV
62	14363 35223	   	175.72	DCR|2AART|2DMG|2CDMG|1ZMB|1ASPD	19DMG|29VENICY|3ASPD|46AART|5LWND|7RCR|89CDMG|9BPWR|aZMB
63	15363 35223	   	175.72	DCR|2AART|2DMG|2CDMG|1ZMB|1ASPD	19DMG|29BASICY|3ASPD|46AART|5LWND|7RCR|89CDMG|9BPWR|aZMB
64	11422 13166	 * 	175.68	DCR|2VULN|2DMG|1AART|2CDMG	19DMG|2ERES|39LIT|4LHND|57VULN|6AART|89CDMG|9BPWR|aRCR
65	11553 21533	   	175.65	DCR|3DMG|2VULN|1CDMG|1ASPD	138DMG|2ERES|49VULN|5ASPD|6RCR|7CANHEL|aCDMG
66	63135 12511	   	175.32	ACR|2VULN|2DMG|1AART|2DUR|1SELL	1SELL|2AART|39LHND|49VULN|5RCR|6ERES|7aDUR|89DMG|9BPWR
67	52513 22233	 * 	174.96	DCR|3VULN|2DMG|2AART|1DUR|1SELL|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|79AART|8SELL|aDUR
68	52513 22314	   	174.76	DCR|3VULN|2DMG|1AART|1ZMB|1DUR|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|7AART|8LIT|9DUR|aZMB
69	63362 21135	 * 	174.70	ACR|2VULN|1AART|1DMG|2CDMG|1DUR|1SELL	1SELL|2AART|3DMSP|4RCR|5DUR|68CDMG|79VULN|aDMG
70	42524 22311	   	174.66	DCR|4VULN|1AART|1ZMB|1DUR	1BEXP|234aVULN|5ZMB|6RCR|7AART|8LIT|9DUR
71	43341 15211	 * 	174.37	ACR|2VULN|2AART|2ZMB|1CDMG|1DUR	19BEXP|2CDMG|3RCR|49VULN|5TLV|6DUR|7aAART|89ZMB|9BPWR
72	42524 22113	   	174.21	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	19BEXP|234VULN|5ZMB|6RCR|7AART|8CDMG|aDUR
73	14523 35221	   	174.13	DCR|3DMG|2AART|2CDMG	19aDMG|2VENICY|36AART|4RMIN|59LWND|7RCR|89CDMG|9BPWR
74	15523 35221	   	174.13	DCR|3DMG|2AART|2CDMG	19aDMG|2BASICY|36AART|4RMIN|59LWND|7RCR|89CDMG|9BPWR
75	42524 22332	   	173.68	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|234VULN|5ZMB|6RCR|7AART|8LIT|9RCVC|aDMG
76	14151 32132	   	173.67	DCR|3VULN|2DMG|1AART	17DMG|2VENICY|379VULN|4RPLT|57LWND|6LEGI|7BPWR|8RCR|aAART
77	15151 32132	   	173.67	DCR|3VULN|2DMG|1AART	17DMG|2BASICY|379VULN|4RPLT|57LWND|6LEGI|7BPWR|8RCR|aAART
78	14113 63333	 * 	173.58	ACR|3VULN|3DMG|1ASPD	19aDMG|2VENICY|37aVULN|4ASPD|5RCR|6LIT|8aMLV|aBPWR
79	15113 63333	   	173.58	ACR|3VULN|3DMG|1ASPD	19aDMG|2BASICY|37aVULN|4ASPD|5RCR|6LIT|8aMLV|aBPWR
80	13115 51122	   	173.55	DCR|3DMG|2VULN|1CDMG|1DUR	189DMG|269LHND|3DUR|4DUST|59VULN|7RCR|9BPWR|aCDMG
81	42512 22241	   	173.44	DCR|3VULN|1AART|1DMG|1ZMB|1SELL	1BEXP|23aVULN|4DMG|5RCVC|6RCR|7AART|8SELL|9ZMB
82	14113 63433	   	173.38	ACR|3VULN|3DMG|1ASPD	19aDMG|2VENICY|37aVULN|4ASPD|5RCR|6LIT|8aERES|aBPWR
83	15113 63433	   	173.38	ACR|3VULN|3DMG|1ASPD	19aDMG|2BASICY|37aVULN|4ASPD|5RCR|6LIT|8aERES|aBPWR
84	14113 11534	   	173.28	ACR|3VULN|3DMG|1ASPD	168DMG|2VENICY|39aVULN|4ASPD|5RCR|7ERES
85	15113 11534	   	173.28	ACR|3VULN|3DMG|1ASPD	168DMG|2BASICY|39aVULN|4ASPD|5RCR|7ERES
86	24113 12534	   	173.28	ACR|3VULN|3DMG|1ASPD	1ERES|2AIRHEA|39aVULN|4ASPD|5RCR|678DMG
87	25113 12534	   	173.28	ACR|3VULN|3DMG|1ASPD	1ERES|2CANHEL|39aVULN|4ASPD|5RCR|678DMG
88	13115 53622	   	173.26	DCR|3VULN|3DMG|1DUR	19aDMG|269aLHND|3DUR|47DUST|59aVULN|8RCR|9aBPWR
89	14521 21343	   	173.17	DCR|3VULN|2DMG|1AART	19DMG|2VENICY|3AART|4RMIN|59MGNSTR|679VULN|8RCVC|9BPWR|aRCR
90	15521 21343	   	173.17	DCR|3VULN|2DMG|1AART	19DMG|2BASICY|3AART|4RMIN|59MGNSTR|679VULN|8RCVC|9BPWR|aRCR
91	52613 22133	 * 	173.10	DCR|2VULN|2DMG|2AART|1CDMG|1DUR|2MSE	13MSE|25VULN|45DMG|5BPWR|6RCR|79AART|8CDMG|aDUR
92	11553 21531	   	173.01	DCR|3DMG|2VULN|1ZMB|1ASPD	138DMG|2ERES|49VULN|5ASPD|6RCR|7CANHEL|aZMB
93	43343 33211	 * 	173.00	ACR|3VULN|1AART|2CDMG|1ZMB	157BEXP|27CDMG|3RCR|47aVULN|6BELT|7BPWR|8ZMB|9AART
94	43365 33211	   	173.00	ACR|3VULN|1AART|2CDMG|1ZMB	147BEXP|27CDMG|3RCR|57aVULN|6BELT|7BPWR|8ZMB|9AART
95	14521 21423	   	172.97	DCR|3VULN|2DMG|1AART	19DMG|2VENICY|3AART|4RMIN|5MGNSTR|678VULN|aRCR
96	15521 21423	   	172.97	DCR|3VULN|2DMG|1AART	19DMG|2BASICY|3AART|4RMIN|5MGNSTR|678VULN|aRCR
97	43342 16221	   	172.73	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1BEXP|2CDMG|3RCR|49VULN|5DMG|6aDUR|7RPLT|8AART
98	11553 25121	   	172.65	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	13DMG|2ERES|4VULN|5ASPD|6RCR|7CDMG|8BELT|9DUR|aAART
99	52613 25333	 * 	172.50	DCR|2VULN|2DMG|2AART|1CDMG|1DUR|2MSE	13MSE|25VULN|45DMG|5BPWR|6RCR|7CDMG|89AART|aDUR
100	52613 22134	 * 	172.48	DCR|2VULN|2DMG|2AART|2CDMG|2MSE	13MSE|25VULN|45DMG|5BPWR|6RCR|79AART|8aCDMG
101	52513 22332	   	172.47	DCR|3VULN|3DMG|1AART|1MSE	1MSE|235VULN|45aDMG|5BPWR|6RCR|7AART|8LIT|9RCVC
102	52513 22511	   	172.47	DCR|3VULN|3DMG|1AART|1MSE	1MSE|235VULN|459DMG|5BPWR|6RCR|7AART|8RPLT|aLWND
103	52513 22342	   	172.37	DCR|3VULN|3DMG|1AART|2MSE	19MSE|235VULN|45aDMG|5BPWR|6RCR|7AART|8LIT
104	52513 22512	   	172.37	DCR|3VULN|3DMG|1AART|1MSE	1MSE|235VULN|459DMG|5BPWR|6RCR|7AART|8RPLT|aDUST
105	52613 22513	   	172.37	DCR|3VULN|3DMG|1AART|2MSE	13MSE|25aVULN|459DMG|5BPWR|6RCR|7AART|8RPLT
106	43315 33362	 * 	172.36	ACR|4VULN|1DMG|2CDMG	17BEXP|27CDMG|3RCR|4RCVC|579aVULN|6BELT|7BPWR|8DMG
107	14611 21343	   	172.27	DCR|3VULN|2DMG|1AART	19DMG|29VENICY|3AIRHEL|4AART|5TLV|679VULN|8RCVC|9BPWR|aRCR
108	15611 21343	   	172.27	DCR|3VULN|2DMG|1AART	19DMG|29BASICY|3AIRHEL|4AART|5TLV|679VULN|8RCVC|9BPWR|aRCR
109	14611 21423	   	172.17	DCR|3VULN|2DMG|1AART	19DMG|2VENICY|3AIRHEL|4AART|5TLV|678VULN|aRCR
110	15611 21423	   	172.17	DCR|3VULN|2DMG|1AART	19DMG|2BASICY|3AIRHEL|4AART|5TLV|678VULN|aRCR
111	14113 63343	 * 	172.02	ACR|4VULN|2DMG|1ASPD	1aDMG|2VENICY|379aVULN|4ASPD|5RCR|6LIT|8aMLV|aBPWR
112	15113 63343	   	172.02	ACR|4VULN|2DMG|1ASPD	1aDMG|2BASICY|379aVULN|4ASPD|5RCR|6LIT|8aMLV|aBPWR
113	14512 33122	   	171.81	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1aDMG|2VENICY|3AART|4DUR|5ASPD|6ZMB|7RCR|8BEXP|9VULN
114	14512 33422	   	171.81	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1aDMG|2VENICY|3AART|4DUR|5ASPD|6ZMB|7RCR|8LWND|9VULN
115	15512 33122	   	171.81	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1aDMG|2BASICY|3AART|4DUR|5ASPD|6ZMB|7RCR|8BEXP|9VULN
116	15512 33422	   	171.81	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1aDMG|2BASICY|3AART|4DUR|5ASPD|6ZMB|7RCR|8LWND|9VULN
117	42512 22142	   	171.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|23VULN|4DMG|5RCVC|6RCR|7AART|8CDMG|9ZMB|aLIT
118	12135 61334	 * 	171.57	ACR|3DMG|2VULN|1CDMG|1DUR	17aDMG|2DMSP|3DUR|47aLSRHEA|5RCR|67LWND|7aBPWR|8CDMG|9aVULN
119	43342 21341	   	171.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	16BEXP|2CDMG|3RCR|4aVULN|5DMG|7RCVC|8AART|9ZMB
120	63365 31123	 * 	171.48	ACR|2AART|2VULN|1DMG|2DUR|1SELL	1SELL|26AART|3DMSP|4RCR|57VULN|8aDUR|9DMG
121	42512 22143	   	171.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1BEXP|23VULN|4DMG|5RCVC|6RCR|7AART|8CDMG|9ZMB|aSELL
122	13233 26228	   	171.43	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2LHND|3BEXP|4MBVNT|59aVULN|6CDMG|7AART|8RCR
123	14113 21241	   	171.37	ACR|3DMG|2VULN|1CDMG|1ASPD	18aDMG|2VENICY|37VULN|4ASPD|5RCR|6BEXP|9CDMG
124	14213 51241	   	171.37	ACR|3DMG|2VULN|1CDMG|1ASPD	18aDMG|2VENICY|3FEWX|4ASPD|5RCR|67VULN|9CDMG
125	14313 51241	   	171.37	ACR|3DMG|2VULN|1CDMG|1ASPD	18aDMG|2VENICY|3ASPD|4FEWX|5RCR|67VULN|9CDMG
126	15113 21241	   	171.37	ACR|3DMG|2VULN|1CDMG|1ASPD	18aDMG|2BASICY|37VULN|4ASPD|5RCR|6BEXP|9CDMG
127	15213 51241	   	171.37	ACR|3DMG|2VULN|1CDMG|1ASPD	18aDMG|2BASICY|3FEWX|4ASPD|5RCR|67VULN|9CDMG
128	15313 51241	   	171.37	ACR|3DMG|2VULN|1CDMG|1ASPD	18aDMG|2BASICY|3ASPD|4FEWX|5RCR|67VULN|9CDMG
129	14525 13223	 * 	171.32	DCR|2DMG|1AART|2CDMG|2ASPD|1ZMB|1DUR	19DMG|2VENICY|3AART|4RMIN|59ASPD|6DUR|7ZMB|89CDMG|9BPWR|aRCR
130	15525 13223	   	171.32	DCR|2DMG|1AART|2CDMG|2ASPD|1ZMB|1DUR	19DMG|2BASICY|3AART|4RMIN|59ASPD|6DUR|7ZMB|89CDMG|9BPWR|aRCR
131	14113 11533	   	171.27	ACR|3DMG|2VULN|1CDMG|1ASPD	168DMG|2VENICY|39VULN|4ASPD|5RCR|7ERES|aCDMG
132	14113 31251	   	171.27	ACR|3DMG|2VULN|1CDMG|1ASPD	18aDMG|2VENICY|37VULN|4ASPD|5RCR|6MBVNT|9CDMG
133	14323 51241	   	171.27	ACR|3DMG|2VULN|1CDMG|1ASPD	18aDMG|2VENICY|3ASPD|4DUST|5RCR|67VULN|9CDMG
134	15113 11533	   	171.27	ACR|3DMG|2VULN|1CDMG|1ASPD	168DMG|2BASICY|39VULN|4ASPD|5RCR|7ERES|aCDMG
135	15113 31251	   	171.27	ACR|3DMG|2VULN|1CDMG|1ASPD	18aDMG|2BASICY|37VULN|4ASPD|5RCR|6MBVNT|9CDMG
136	15323 51241	   	171.27	ACR|3DMG|2VULN|1CDMG|1ASPD	18aDMG|2BASICY|3ASPD|4DUST|5RCR|67VULN|9CDMG
137	24113 12533	   	171.27	ACR|3DMG|2VULN|1CDMG|1ASPD	1ERES|2AIRHEA|39VULN|4ASPD|5RCR|678DMG|aCDMG
138	24353 12533	   	171.27	ACR|3DMG|2VULN|1CDMG|1ASPD	1ERES|2AIRHEA|3ASPD|49VULN|5RCR|678DMG|aCDMG
139	25113 12533	   	171.27	ACR|3DMG|2VULN|1CDMG|1ASPD	1ERES|2CANHEL|39VULN|4ASPD|5RCR|678DMG|aCDMG
140	25353 12533	   	171.27	ACR|3DMG|2VULN|1CDMG|1ASPD	1ERES|2CANHEL|3ASPD|49VULN|5RCR|678DMG|aCDMG
141	11433 53341	   	171.22	DCR|2VULN|2DMG|1AART|1ZMB	14DMG|2ERES|3LIT|5DUST|6AART|7aVULN|8RCR|9ZMB
142	63365 22233	 * 	171.04	ACR|4VULN|1AART|1CDMG|1SELL	1SELL|2AART|3DMSP|4RCR|579aVULN|6CDMG|8MBVNT
143	52513 22351	 * 	170.92	DCR|4VULN|2DMG|1AART|1MSE	1MSE|235aVULN|45DMG|5BPWR|6RCR|7AART|8LIT|9LHND
144	15163 26131	   	170.85	DCR|3VULN|2DMG|1CDMG|1DUR	1aDMG|2BASICY|379VULN|4CDMG|5DUR|6ERES|8RCR
145	14113 42234	 * 	170.85	ACR|3DMG|2VULN|3ASPD	17aDMG|2VENICY|3aVULN|48aASPD|5RCR|6RMIN|9RPLT|aBPWR
146	15113 42234	   	170.85	ACR|3DMG|2VULN|3ASPD	17aDMG|2BASICY|3aVULN|48aASPD|5RCR|6RMIN|9RPLT|aBPWR
147	14135 38421	 * 	170.85	ACR|3VULN|2DMG|2CDMG	19DMG|2VENICY|39aVULN|4RCVC|5RCR|6MBVNT|79CDMG|8BELT|9BPWR
148	15135 38421	   	170.85	ACR|3VULN|2DMG|2CDMG	19DMG|2BASICY|39aVULN|4RCVC|5RCR|6MBVNT|79CDMG|8BELT|9BPWR
149	52513 22321	 * 	170.82	DCR|4VULN|2DMG|1AART|1MSE	1MSE|235aVULN|45DMG|5BPWR|6RCR|7AART|8LIT|9DUST
150	14366 13223	   	170.72	DCR|2DMG|1AART|2CDMG|2ASPD|1ZMB|1DUR	19DMG|2VENICY|39ASPD|4AART|5RMIN|6DUR|7ZMB|89CDMG|9BPWR|aRCR
151	15366 13223	   	170.72	DCR|2DMG|1AART|2CDMG|2ASPD|1ZMB|1DUR	19DMG|2BASICY|39ASPD|4AART|5RMIN|6DUR|7ZMB|89CDMG|9BPWR|aRCR
152	52513 22251	 * 	170.68	DCR|4VULN|2DMG|1AART|1SELL|1MSE	1MSE|2359VULN|45DMG|5BPWR|6RCR|7AART|8SELL|aLIT
153	52513 22252	 * 	170.68	DCR|4VULN|2DMG|1AART|1SELL|1MSE	1MSE|2359VULN|45DMG|5BPWR|6RCR|7AART|8SELL|aRMIN
154	11235 21156	   	170.67	ACR|2VULN|2DMG|1AART|2DUR	18DMG|28ERES|39BEXP|47DUR|5RCR|68VULN|8BPWR|aAART
155	52513 22112	 * 	170.47	DCR|3VULN|2DMG|1AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|7AART|8CDMG|9BEXP|aMLV
156	52513 22113	 * 	170.47	DCR|3VULN|2DMG|1AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|7AART|8CDMG|9BEXP|aLHND
157	52513 22114	 * 	170.47	DCR|3VULN|2DMG|1AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|7AART|8CDMG|9BEXP|aLIT
158	52513 22116	 * 	170.47	DCR|3VULN|2DMG|1AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|7AART|8CDMG|9BEXP|aRPLT
159	12213 26662	 * 	170.42	DCR|3DMG|2VULN|2ZMB	15aDMG|2DMSP|35MLV|4RMIN|5aBPWR|6RCR|7aZMB|8aVULN|9BELT
160	63363 21161	   	170.39	ACR|3VULN|1AART|1DMG|1ASPD|1SELL	1SELL|2AART|3DMSP|4RCR|5ASPD|6DMG|79aVULN|8LWND
161	52513 22111	 * 	170.37	DCR|3VULN|2DMG|1AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|7AART|8CDMG|9BEXP|aERES
162	52513 22115	 * 	170.37	DCR|3VULN|2DMG|1AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|7AART|8CDMG|9BEXP|aMBVNT
163	52513 22122	 * 	170.37	DCR|3VULN|2DMG|1AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|7AART|8CDMG|9DUST|aMLV
164	52513 22123	 * 	170.37	DCR|3VULN|2DMG|1AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|7AART|8CDMG|9DUST|aLHND
165	52513 22124	 * 	170.37	DCR|3VULN|2DMG|1AART|1CDMG|1MSE	1MSE|235VULN|45DMG|5BPWR|6RCR|7AART|8CDMG|9DUST|aLIT
