0	Index      	 *	Score 	Summary	Detail	
1	26532 23126	 * 	197.24	DCR|3DMG|2VULN|1AART|1DUR|1ASPD	19LIT|2AART|3DUR|49VULN|5DUST|6RCR|7ASPD|89aDMG|9BPWR
15	26532 23123	   	181.59	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	19LIT|2AART|3DUR|49VULN|5DUST|6RCR|7ASPD|89DMG|9BPWR|aFEWX
16	26532 23124	   	181.59	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	19LIT|2AART|3DUR|49VULN|5DUST|6RCR|7ASPD|89DMG|9BPWR|aCGEN
17	26123 23136	   	181.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1LIT|2AART|39VULN|4BEXP|5DUR|6RCR|7ASPD|8aDMG
18	26123 25136	   	181.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1LIT|2AART|39VULN|4BEXP|5DUR|6RCR|7aDMG|8ASPD
19	26532 23122	   	181.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	19LIT|2AART|3DUR|49VULN|5DUST|6RCR|7ASPD|89DMG|9BPWR|aLEGI
20	26532 23125	   	181.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	19LIT|2AART|3DUR|49VULN|5DUST|6RCR|7ASPD|89DMG|9BPWR|aCANSTR
21	26532 23136	   	181.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1LIT|2AART|3DUR|49VULN|5DUST|6RCR|7ASPD|8aDMG
22	61312 61263	   	181.22	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	13DUR|23aVULN|3BPWR|49FEWX|5ZMB|6DMG|7AART|8RCR
23	61312 61233	   	181.12	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	13DUR|23aVULN|3BPWR|4FEWX|5ZMB|6DMG|7AART|8RCR|9ERES
24	26132 52141	   	180.93	ACR|2VULN|2DMG|1AART|1ZMB|1DUR|1SELL	1LIT|2AART|34VULN|5RCR|68DMG|7SELL|9DUR|aZMB
25	26135 21521	   	180.64	DCR|2AART|2VULN|1DMG|2DUR|1ASPD	1LIT|27AART|34VULN|5aDUR|6RCR|8ASPD|9DMG
26	11312 53513	   	180.02	DCR|3VULN|2DMG|1CDMG|1ZMB	13FEWX|235VULN|3BPWR|4BELT|6RCR|78DMG|9CDMG|aZMB
27	26123 25211	   	179.85	DCR|2VULN|2DMG|1AART|2DUR	1LIT|2AART|3aVULN|4BEXP|59DUR|6RCR|78DMG
28	26633 25211	   	179.85	DCR|2VULN|2DMG|1AART|2DUR	1LIT|2AART|3FEWX|4aVULN|59DUR|6RCR|78DMG
29	26123 23126	   	179.76	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	19LIT|2AART|3VULN|49BEXP|5DUR|6RCR|7ASPD|89aDMG|9BPWR
30	26532 25211	   	179.75	DCR|2VULN|2DMG|1AART|2DUR	1LIT|2AART|39DUR|4aVULN|5DUST|6RCR|78DMG
31	11312 53562	   	179.17	DCR|3VULN|2DMG|1AART	13FEWX|235VULN|3BPWR|4BELT|6RCR|78DMG|9AART|aDMSP
32	61312 61214	 * 	179.11	DCR|2VULN|1AART|1DMG|2ASPD|2DUR|1ZMB	13DUR|23VULN|3BPWR|4FEWX|5ZMB|6DMG|7AART|8RCR|9aASPD
33	11112 53563	   	179.07	DCR|3VULN|2DMG|1AART	1FEWX|25aVULN|3RCVC|4BELT|6RCR|78DMG|9AART
34	26132 51623	   	178.89	ACR|3DMG|2VULN|1AART	1LIT|2AART|34VULN|5RCR|679DMG|8LHND|aFEWX
35	26132 51138	   	178.79	ACR|3DMG|2VULN|1AART	1LIT|2AART|34VULN|5RCR|67aDMG|8RMIN|9MBVNT
36	26132 51238	   	178.79	ACR|3DMG|2VULN|1AART	1LIT|2AART|34VULN|5RCR|67aDMG|8CGEN|9MBVNT
37	26132 51338	   	178.79	ACR|3DMG|2VULN|1AART	1LIT|2AART|34VULN|5RCR|67aDMG|8MLV|9MBVNT
38	26132 51522	   	178.79	ACR|3DMG|2VULN|1AART	1LIT|2AART|34VULN|5RCR|679DMG|8DUST|aLHND
39	26132 51621	   	178.79	ACR|3DMG|2VULN|1AART	1LIT|2AART|34VULN|5RCR|679DMG|8LHND|aERES
40	26132 51622	   	178.79	ACR|3DMG|2VULN|1AART	1LIT|2AART|34VULN|5RCR|679DMG|8LHND|aLEGI
41	26132 55121	 * 	178.79	ACR|3VULN|2DMG|1AART	1LIT|2AART|34aVULN|5RCR|69DMG|7DUST|8RPLT
42	26132 51521	   	178.69	ACR|3DMG|2VULN|1AART	1LIT|2AART|34VULN|5RCR|679DMG|8DUST|aERES
43	26132 52162	   	178.64	ACR|3VULN|2DMG|1AART|1SELL	1LIT|2AART|349VULN|5RCR|68DMG|7SELL|aDMSP
44	26132 52163	   	178.64	ACR|3VULN|2DMG|1AART|1SELL	1LIT|2AART|349VULN|5RCR|68DMG|7SELL|aMLV
45	26531 21226	   	178.11	DCR|3DMG|1AART|1VULN|2DUR	19LIT|2AART|39DUR|4VULN|5LWND|6RCR|7RMIN|89aDMG|9BPWR
46	26532 21226	   	178.01	DCR|3DMG|1AART|1VULN|2DUR	19LIT|2AART|39DUR|4VULN|5DUST|6RCR|7RMIN|89aDMG|9BPWR
47	26123 25215	   	177.91	DCR|3DMG|1AART|1VULN|2DUR	1LIT|2AART|3VULN|4BEXP|59DUR|6RCR|78aDMG
48	26123 25611	   	177.91	DCR|3VULN|1AART|1DMG|2DUR	1LIT|2AART|38aVULN|4BEXP|59DUR|6RCR|7DMG
49	11324 61212	   	177.76	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	13FEWX|23VULN|3BPWR|4ASPD|5DUST|69DMG|7AART|8RCR|aZMB
50	21252 53125	   	177.69	ACR|3DMG|2VULN|1AART	1aLIT|23DUST|4AART|5RCR|69aDMG|7aVULN|8RPLT|aBPWR
51	11263 22151	 * 	177.42	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|1DUR	1FEWX|2VULN|3BEXP|4FLTHEA|5ZMB|6RCR|7aDMG|8DUR|9AART
52	11663 22151	   	177.42	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|1DUR	1FEWX|2VULN|3LHND|4FLTHEA|5ZMB|6RCR|7aDMG|8DUR|9AART
53	26133 53326	 * 	177.28	DCR|4VULN|1AART|2CDMG	15LIT|2AART|346aVULN|7RCR|89CDMG
54	26133 53224	 * 	177.09	DCR|5VULN|1AART|1ASPD	15LIT|2AART|3469aVULN|7RCR|8ASPD
55	61312 61236	   	176.91	DCR|2VULN|2AART|1DMG|2DUR|1ZMB	13DUR|23VULN|3BPWR|4FEWX|5ZMB|6DMG|7aAART|8RCR|9ERES
56	61263 22214	 * 	176.82	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DUR|29VULN|3BEXP|4FLTHEA|5ZMB|6RCR|7DMG|8LIT|aAART
57	26132 51234	 * 	176.78	ACR|2VULN|2DMG|1AART|1CDMG	1LIT|2AART|34VULN|5RCR|67DMG|8CGEN|9MBVNT|aCDMG
58	26132 51334	   	176.78	ACR|2VULN|2DMG|1AART|1CDMG	1LIT|2AART|34VULN|5RCR|67DMG|8MLV|9MBVNT|aCDMG
59	26132 55221	 * 	176.51	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1LIT|2AART|34VULN|5RCR|6DMG|7DUST|89CDMG|aZMB
60	11312 53541	   	176.40	DCR|4VULN|2DMG|1DUR	13FEWX|235aVULN|3BPWR|4BELT|6RCR|78DMG|9DUR
61	11312 53543	   	175.95	DCR|3VULN|2DMG|1CDMG|1DUR	13FEWX|235VULN|3BPWR|4BELT|6RCR|78DMG|9DUR|aCDMG
62	26122 11326	   	175.61	DCR|3VULN|1AART|1DMG|2DUR	19LIT|2AART|389VULN|4BEXP|5DUST|69DUR|7RCR|9BPWR|aDMG
63	11112 53511	   	175.43	DCR|3DMG|2VULN|2CDMG	1aFEWX|25VULN|3RCVC|4BELT|6RCR|78aDMG|9aCDMG|aBPWR
64	26126 21221	   	175.35	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1LIT|27AART|35VULN|4BEXP|6RCR|8ASPD|9DMG|aDUR
65	26135 21522	   	175.25	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1LIT|27AART|34VULN|5DUR|6RCR|8ASPD|9DMG|aERES
66	26132 16621	   	175.18	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1LIT|2AART|348VULN|5RCR|6FEWX|7ASPD|9DMG|aDUR
67	26126 21324	   	175.12	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|27AART|35VULN|4BEXP|6RCR|8CDMG|9LWND|aDMG
68	26126 21334	   	175.12	DCR|2AART|2VULN|1DMG|1CDMG	1aLIT|27AART|35VULN|4BEXP|6RCR|8CDMG|9DMG
69	26126 21335	   	175.12	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|27AART|35VULN|4BEXP|6RCR|8CDMG|9DMG|aFEWX
70	26126 21336	   	175.12	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|27AART|35VULN|4BEXP|6RCR|8CDMG|9DMG|aCGEN
71	26135 21523	   	175.11	DCR|2AART|2VULN|1DMG|1ASPD|1DUR|1SELL	1LIT|27AART|34VULN|5DUR|6RCR|8ASPD|9DMG|aSELL
72	26126 21332	   	175.02	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|27AART|35VULN|4BEXP|6RCR|8CDMG|9DMG|aDUST
73	16652 31311	   	174.79	ACR|3VULN|2DMG|1AART	1aFEWX|2CGEN|3MBVNT|4aDMG|5RCR|68aVULN|7BELT|9AART|aBPWR
74	26123 21223	   	174.75	DCR|2VULN|2DMG|1AART|1DUR	19LIT|2AART|39VULN|4BEXP|5DUR|6RCR|7RMIN|89DMG|9BPWR|aFEWX
75	26123 21224	   	174.75	DCR|2VULN|2DMG|1AART|1DUR	19LIT|2AART|39VULN|4BEXP|5DUR|6RCR|7RMIN|89DMG|9BPWR|aCGEN
76	26143 21222	   	174.75	DCR|2VULN|2DMG|1AART|1DUR	19LIT|2AART|39VULN|4LHND|5DUR|6RCR|7RMIN|89DMG|9BPWR|aDMSP
77	26143 21224	   	174.75	DCR|2VULN|2DMG|1AART|1DUR	19LIT|2AART|39VULN|4LHND|5DUR|6RCR|7RMIN|89DMG|9BPWR|aCGEN
78	26132 51631	 * 	174.68	ACR|2AART|2VULN|2DMG	1LIT|29AART|34VULN|5RCR|67DMG|8LHND|aRCVC
79	26132 51632	   	174.68	ACR|2AART|2VULN|2DMG	1LIT|29AART|34VULN|5RCR|67DMG|8aLHND
80	26126 23331	   	174.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2AART|35VULN|47BEXP|6RCR|8CDMG|9DMG|aZMB
81	26126 24331	   	174.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2AART|35VULN|4BEXP|6RCR|7RCVC|8CDMG|9DMG|aZMB
82	26123 21222	   	174.65	DCR|2VULN|2DMG|1AART|1DUR	19LIT|2AART|39VULN|4BEXP|5DUR|6RCR|7RMIN|89DMG|9BPWR|aLEGI
83	26123 21225	   	174.65	DCR|2VULN|2DMG|1AART|1DUR	19LIT|2AART|39VULN|4BEXP|5DUR|6RCR|7RMIN|89DMG|9BPWR|aCANSTR
84	26143 21223	   	174.65	DCR|2VULN|2DMG|1AART|1DUR	19LIT|2AART|39VULN|4LHND|5DUR|6RCR|7RMIN|89DMG|9BPWR|aDUST
85	26143 21225	   	174.65	DCR|2VULN|2DMG|1AART|1DUR	19LIT|2AART|39VULN|4LHND|5DUR|6RCR|7RMIN|89DMG|9BPWR|aCANSTR
86	26132 51531	   	174.58	ACR|2AART|2VULN|2DMG	1LIT|29AART|34VULN|5RCR|67DMG|8DUST|aRCVC
87	26132 51532	   	174.58	ACR|2AART|2VULN|2DMG	1LIT|29AART|34VULN|5RCR|67DMG|8DUST|aLHND
88	26132 51533	   	174.58	ACR|2AART|2VULN|2DMG	1LIT|29AART|34VULN|5RCR|67DMG|8DUST|aBEXP
89	26132 51633	   	174.58	ACR|2AART|2VULN|2DMG	1LIT|29AART|34VULN|5RCR|67DMG|8LHND|aERES
90	26123 21236	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	1LIT|2AART|39VULN|4BEXP|5DUR|6RCR|7RMIN|8aDMG
91	26123 25221	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	19LIT|2AART|3aVULN|4BEXP|5DUR|6RCR|78DMG
92	26143 21236	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	1LIT|2AART|39VULN|4LHND|5DUR|6RCR|7RMIN|8aDMG
93	26531 21236	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	1LIT|2AART|3DUR|49VULN|5LWND|6RCR|7RMIN|8aDMG
94	26531 25211	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	1LIT|2AART|3DUR|4aVULN|5LWND|6RCR|78DMG|9RCVC
95	26531 25221	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	19LIT|2AART|3DUR|4aVULN|5LWND|6RCR|78DMG
96	26531 25232	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	1aLIT|2AART|3DUR|49VULN|5LWND|6RCR|78DMG
97	26633 25221	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	19LIT|2AART|3FEWX|4aVULN|5DUR|6RCR|78DMG
98	11312 52561	 * 	174.53	DCR|3VULN|1AART|1DMG|1CDMG	13FEWX|235VULN|3BPWR|4BELT|6RCR|7ERES|8DMG|9CDMG|aAART
99	26532 25221	   	174.45	DCR|2VULN|2DMG|1AART|1DUR	19LIT|2AART|3DUR|4aVULN|5DUST|6RCR|78DMG
100	26531 25233	   	174.45	DCR|2VULN|2DMG|1AART|1DUR	1LIT|2AART|3DUR|49VULN|5LWND|6RCR|78DMG|aTLV
101	26532 21236	   	174.45	DCR|2VULN|2DMG|1AART|1DUR	1LIT|2AART|3DUR|49VULN|5DUST|6RCR|7RMIN|8aDMG
102	26132 51132	   	174.14	ACR|2VULN|2DMG|1AART|1ZMB	1LIT|2AART|34VULN|5RCR|67DMG|8RMIN|9MBVNT|aZMB
103	26132 51232	   	174.14	ACR|2VULN|2DMG|1AART|1ZMB	1LIT|2AART|34VULN|5RCR|67DMG|8CGEN|9MBVNT|aZMB
104	26132 51332	   	174.14	ACR|2VULN|2DMG|1AART|1ZMB	1LIT|2AART|34VULN|5RCR|67DMG|8MLV|9MBVNT|aZMB
105	26132 54321	   	174.14	ACR|2VULN|2DMG|1AART|1ZMB	1LIT|2AART|34VULN|5RCR|69DMG|7ZMB|8ERES|aRCVC
106	26132 54322	   	174.14	ACR|2VULN|2DMG|1AART|1ZMB	1LIT|2AART|34VULN|5RCR|69DMG|7ZMB|8ERES|aLHND
107	26132 54323	   	174.14	ACR|2VULN|2DMG|1AART|1ZMB	1LIT|2AART|34VULN|5RCR|69DMG|7ZMB|8ERES|aBEXP
108	26132 52112	   	173.99	ACR|2VULN|2DMG|1AART|1ZMB|1SELL	1LIT|2AART|34VULN|5RCR|68DMG|7SELL|9RPLT|aZMB
109	26132 52121	   	173.99	ACR|2VULN|2DMG|1AART|1ZMB|1SELL	1LIT|2AART|34VULN|5RCR|68DMG|7SELL|9LWND|aZMB
110	26233 23126	   	173.80	DCR|3DMG|2VULN|1AART|1DUR|1ASPD|1MSE	19LIT|2AART|3MSE|49VULN|5DUR|6RCR|7ASPD|89aDMG|9BPWR
111	11323 61214	   	173.79	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	13FEWX|23VULN|3BPWR|4ASPD|5LHND|69DMG|7AART|8RCR|aDUR
112	26123 25311	   	173.71	DCR|2AART|2VULN|1DMG|2DUR	1LIT|28AART|3aVULN|4BEXP|59DUR|6RCR|7DMG
113	26123 25315	 * 	173.71	DCR|2AART|2DMG|1VULN|2DUR	1LIT|28AART|3VULN|4BEXP|59DUR|6RCR|7aDMG
114	26633 25311	   	173.71	DCR|2AART|2VULN|1DMG|2DUR	1LIT|28AART|3FEWX|4aVULN|59DUR|6RCR|7DMG
115	11324 61214	   	173.69	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	13FEWX|23VULN|3BPWR|4ASPD|5DUST|69DMG|7AART|8RCR|aDUR
116	26532 25311	   	173.61	DCR|2AART|2VULN|1DMG|2DUR	1LIT|28AART|39DUR|4aVULN|5DUST|6RCR|7DMG
117	25336 35133	 * 	173.60	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1DUR|1SELL	1LIT|29VULN|3SELL|4DUR|5FLTHEA|6RCR|7aDMG|8CDMG
118	11663 22153	 * 	173.48	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1DUR	1FEWX|2VULN|3LHND|4FLTHEA|5ZMB|6RCR|7DMG|8DUR|9AART|aCDMG
119	41643 33211	 * 	173.42	DCR|4VULN|2DMG|1CDMG	17ERES|2LHND|3567VULN|47DMG|7BPWR|8RMIN|9CDMG|aRCR
120	26126 21261	   	173.00	DCR|2AART|2VULN|1CDMG|1ZMB|1ASPD	1LIT|27AART|35VULN|4BEXP|6RCR|8ASPD|9CDMG|aZMB
121	26135 21361	   	172.90	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	1LIT|27AART|34VULN|5DUR|6RCR|8ERES|9CDMG|aZMB
122	26132 16261	 * 	172.83	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1LIT|2AART|349VULN|5RCR|6FEWX|7ASPD|8CDMG|aZMB
123	26135 23226	   	172.62	DCR|3VULN|1AART|1DMG|1DUR	19LIT|2AART|349VULN|5DUR|6RCR|7BEXP|89DUST|9BPWR|aDMG
124	26123 25225	   	172.62	DCR|3DMG|1AART|1VULN|1DUR	19LIT|2AART|3VULN|4BEXP|5DUR|6RCR|78aDMG
125	26123 25235	   	172.62	DCR|3DMG|1AART|1VULN|1DUR	1LIT|2AART|3VULN|4BEXP|5DUR|6RCR|78aDMG|9CGEN
126	26123 25621	   	172.62	DCR|3VULN|1AART|1DMG|1DUR	19LIT|2AART|38aVULN|4BEXP|5DUR|6RCR|7DMG
127	26132 21562	   	172.55	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1LIT|2AART|34VULN|5RCR|6RMIN|7DMG|8ASPD|9aCDMG
128	26135 22621	   	172.52	DCR|3VULN|1AART|1DMG|1DUR	1LIT|2AART|348VULN|5DUR|6RCR|7ERES|9DMG|aRCVC
129	26135 22622	   	172.52	DCR|3VULN|1AART|1DMG|1DUR	1LIT|2AART|348VULN|5DUR|6RCR|7ERES|9DMG|aCGEN
130	26135 22623	   	172.52	DCR|3VULN|1AART|1DMG|1DUR	1LIT|2AART|348VULN|5DUR|6RCR|7ERES|9DMG|aFEWX
131	26135 23236	   	172.52	DCR|3VULN|1AART|1DMG|1DUR	1LIT|2AART|349VULN|5DUR|6RCR|7BEXP|8DUST|aDMG
132	26135 23335	   	172.52	DCR|3VULN|1AART|1DMG|1DUR	1LIT|2AART|349VULN|5DUR|6RCR|7BEXP|8ERES|aDMG
133	26126 22621	   	172.52	DCR|3VULN|1AART|1DMG|1DUR	1LIT|2AART|358VULN|4BEXP|6RCR|7ERES|9DMG|aDUR
134	61312 61211	   	172.50	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	13DUR|23VULN|3BPWR|4FEWX|5ZMB|6DMG|7AART|8RCR|9ASPD|aRCVC
135	61312 61216	   	172.50	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	13DUR|23VULN|3BPWR|4FEWX|5ZMB|6DMG|7AART|8RCR|9ASPD|aMLV
136	64212 61213	   	172.40	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	12DUR|3aVULN|4FEWX|5ZMB|6DMG|7AART|8RCR|9ASPD
137	61312 61212	   	172.40	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	13DUR|23VULN|3BPWR|4FEWX|5ZMB|6DMG|7AART|8RCR|9ASPD|aDUST
138	61312 61234	   	172.40	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	13DUR|23VULN|3BPWR|4FEWX|5ZMB|6DMG|7AART|8RCR|9ERES|aASPD
139	26136 81431	   	172.36	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LIT|27AART|34VULN|5MBVNT|6DUR|8CDMG|9DMG|aRCR
140	26132 54131	   	172.20	ACR|3VULN|1AART|1DMG|1ZMB	1LIT|2AART|34aVULN|5RCR|6DMG|7ZMB|8BEXP|9TLV
141	26132 52512	   	172.06	ACR|3VULN|1AART|1DMG|1ZMB|1SELL	1LIT|2AART|348VULN|5RCR|6DMG|7SELL|9RPLT|aZMB
142	26132 52521	   	172.06	ACR|3VULN|1AART|1DMG|1ZMB|1SELL	1LIT|2AART|348VULN|5RCR|6DMG|7SELL|9LWND|aZMB
143	26134 61131	   	172.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2AART|34VULN|5CDMG|6ZMB|7ASPD|8BEXP|9DMG|aRCR
144	11263 22153	 * 	171.28	DCR|2AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1FEWX|2VULN|3BEXP|4FLTHEA|5ZMB|6RCR|7DMG|8DUR|9aAART
145	31112 53562	 * 	171.27	DCR|3VULN|3DMG|1AART|2MSE	1aMSE|25aVULN|3RCVC|4BELT|6RCR|78aDMG|9AART|aBPWR
146	61313 61213	   	171.09	DCR|4VULN|1AART|2DUR|1ASPD	13DUR|235aVULN|3BPWR|4FEWX|6MBVNT|7AART|8RCR|9ASPD
147	26132 11521	   	170.97	ACR|2AART|2VULN|1DMG|1ASPD|1DUR	1LIT|27AART|34VULN|5RCR|6FEWX|8ASPD|9DMG|aDUR
148	26135 21531	   	170.94	DCR|3VULN|2AART|1ASPD|1DUR	1LIT|27AART|349VULN|5DUR|6RCR|8ASPD|aRCVC
149	26135 21532	   	170.94	DCR|3VULN|2AART|1ASPD|1DUR	1LIT|27AART|349VULN|5DUR|6RCR|8ASPD|aLHND
150	26135 21533	   	170.94	DCR|3VULN|2AART|1ASPD|1DUR	1LIT|27AART|349VULN|5DUR|6RCR|8ASPD|aBEXP
151	26133 53314	   	170.87	DCR|4VULN|1AART|1CDMG	15LIT|2AART|346aVULN|7RCR|8CDMG|9TLV
152	61451 21213	 * 	170.86	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD|1DUR	1DUR|2aVULN|3DUST|4ASPD|56ZMB|7AART|8RCR|9DMG
153	23154 12131	   	170.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LIT|2ZMB|3RMIN|4AART|5CDMG|68VULN|7DUR|9DMG|aRCR
154	26132 11434	 * 	170.74	ACR|2AART|2VULN|1DMG|1CDMG	1LIT|27AART|34VULN|5RCR|6FEWX|8LHND|9CDMG|aDMG
155	26133 53334	   	170.72	DCR|4VULN|1AART|1CDMG|1SELL	15LIT|2AART|346aVULN|7RCR|8CDMG|9SELL
156	26531 25122	   	170.71	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	19LIT|2AART|3DUR|49VULN|5LWND|6RCR|7DMG|89ASPD|9BPWR|aDMSP
157	26123 21126	   	170.71	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	19LIT|2AART|39VULN|4BEXP|5DUR|6RCR|7RMIN|89ASPD|9BPWR|aDMG
158	26123 25126	 * 	170.71	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	19LIT|2AART|3VULN|49BEXP|5DUR|6RCR|7aDMG|89ASPD|9BPWR
159	26143 21126	   	170.71	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	19LIT|2AART|39VULN|4LHND|5DUR|6RCR|7RMIN|89ASPD|9BPWR|aDMG
160	26126 21136	 * 	170.71	DCR|3VULN|2AART|1CDMG	1LIT|27AART|35aVULN|48BEXP|6RCR|9CDMG
161	26531 25123	   	170.61	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	19LIT|2AART|3DUR|49VULN|5LWND|6RCR|7DMG|89ASPD|9BPWR|aDUST
162	26532 25123	   	170.61	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	19LIT|2AART|3DUR|49VULN|5DUST|6RCR|7DMG|89ASPD|9BPWR|aFEWX
163	42315 36311	 * 	170.54	DCR|2DMG|3ZMB|1AART|1CDMG|1DUR	18ERES|2CDMG|38aZMB|4AART|5FEWX|6DUR|78DMG|8BPWR|9RCR
164	26132 24521	   	170.53	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LIT|2AART|34VULN|5RCR|6RMIN|7ZMB|8ASPD|9DMG|aDUR
165	26532 25122	   	170.51	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	19LIT|2AART|3DUR|49VULN|5DUST|6RCR|7DMG|89ASPD|9BPWR|aLEGI
166	11263 22251	   	170.48	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1FEWX|2VULN|3BEXP|4FLTHEA|5ZMB|6RCR|7aDMG|8LHND|9AART
167	61313 31214	   	170.45	DCR|4VULN|1AART|2DUR|1ZMB	13DUR|2359VULN|3BPWR|4FEWX|6BEXP|7AART|8ZMB|aRCR
168	26135 22214	   	170.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2AART|34VULN|5DUR|6RCR|7ERES|8CDMG|9NUKE|aDMG
