0	Index      	 *	Score 	Summary	Detail	
1	12625 11511	 * 	185.95	DCR|2VULN|3ZMB|1AART|1DMG|2DUR	134ZMB|24DUR|4BPWR|59VULN|6RCR|7LIT|8DMG|aAART
38	13643 18132	   	171.83	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	13ZMB|2BEXP|4MBVNT|5aVULN|6DMG|7RCR|8CDMG|9AART
39	43543 18132	   	171.83	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1MBVNT|2FEWX|34ZMB|5aVULN|6DMG|7RCR|8CDMG|9AART
40	42123 44534	   	171.78	DCR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2RMIN|358VULN|4RCVC|6AART|7RCR|9DMG|aZMB
41	41543 18132	   	171.73	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1MBVNT|2DUST|34ZMB|5aVULN|6DMG|7RCR|8CDMG|9AART
42	15513 12214	   	171.45	DCR|2DMG|3ZMB|1AART|1VULN|1DUR	145ZMB|2VULN|36DMG|7DUR|8VENICY|9AART|aRCR
43	23115 23361	   	171.43	ACR|3VULN|2DMG|1ZMB|1DUR	17LWND|2DUR|37aVULN|4RCR|5BELT|67DMG|7BPWR|8FEWX|9ZMB
44	42116 43483	   	171.37	DCR|3VULN|2DMG|1AART	1MBVNT|2RMIN|358VULN|48BEXP|6AART|78DMG|8BPWR|9LHND|aRCR
45	43116 43483	   	171.37	DCR|3VULN|2DMG|1AART	1MBVNT|28FEWX|358VULN|4RMIN|6AART|78DMG|8BPWR|9LHND|aRCR
46	44514 43315	   	171.33	ACR|3VULN|2DMG|1ZMB|1DUR	1MBVNT|2aLIT|3DUR|4RCR|5aDMG|6ZMB|7FEWX|89aVULN|aBPWR
47	13621 13621	   	171.31	DCR|2DMG|3ZMB|1AART|1VULN	134ZMB|24BEXP|4BPWR|56DMG|7RCR|8VULN|9LIT|aAART
48	42156 43413	   	171.27	DCR|3VULN|2DMG|1AART	1MBVNT|2RMIN|358VULN|48LHND|6AART|78DMG|8BPWR|9DUST|aRCR
49	48116 43413	   	171.27	DCR|3VULN|2DMG|1AART	1MBVNT|28LWND|358VULN|4RMIN|6AART|78DMG|8BPWR|9DUST|aRCR
50	43144 15172	   	171.16	DCR|2VULN|2DMG|2AART	1MBVNT|2FEWX|35VULN|4LHND|6aDMG|79AART|8RCR
51	12621 13631	   	171.10	DCR|2DMG|3ZMB|1VULN|3DUR|1ASPD	134ZMB|24aDUR|4BPWR|56DMG|7RCR|8VULN|9ASPD
52	12561 21231	   	170.95	DCR|2DMG|3ZMB|1VULN|1CDMG|1DUR|1SELL	178ZMB|2DUR|37DMG|4SELL|57CGEN|6RCR|7BPWR|9VULN|aCDMG
53	63323 26312	 * 	170.92	ACR|2AART|2VULN|1CDMG|1ZMB|1DUR	1BEXP|26AART|3ERES|4RCR|5ZMB|7aVULN|8DUR|9CDMG
54	48111 13461	   	170.77	DCR|3DMG|2VULN|1AART	1MBVNT|28LWND|38VULN|4RMIN|568DMG|7AART|8BPWR|9LIT|aRCR
55	12343 18416	   	170.71	DCR|3VULN|2DMG|1ZMB|1DUR	1ZMB|2DUR|3RCVC|4MBVNT|59aVULN|68DMG|7RCR
56	12343 18417	   	170.71	DCR|3DMG|2VULN|1ZMB|1DUR	1ZMB|2DUR|3RCVC|4MBVNT|59VULN|68aDMG|7RCR
57	21325 12254	 * 	170.67	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2CDMG|3DUST|4DUR|5RCR|6AART|7ASPD|8aVULN|9DMG
58	48116 13413	   	170.67	DCR|3VULN|2DMG|1AART	1MBVNT|28LWND|358VULN|4RMIN|68DMG|7AART|8BPWR|9DUST|aRCR
59	12621 13531	   	170.42	DCR|2DMG|3ZMB|1AART|2DUR|1ASPD	134ZMB|24DUR|4BPWR|56DMG|7RCR|8FEWX|9ASPD|aAART
60	63323 26162	   	170.40	ACR|2AART|2DMG|1VULN|1ZMB	1BEXP|26AART|3ERES|4RCR|5ZMB|7VULN|8aDMG|9LHND
61	63323 26252	   	170.40	ACR|2AART|2DMG|1VULN|1ZMB	1BEXP|26AART|3ERES|4RCR|5ZMB|7VULN|8FEWX|9aDMG
62	35541 31121	   	170.32	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1TLV|2aVULN|3DMG|4RPLT|56AART|7DUR|8ZMB|9RCR
63	63323 26142	   	170.30	ACR|2AART|2DMG|1VULN|1ZMB	1BEXP|26AART|3ERES|4RCR|5ZMB|7VULN|8aDMG|9DUST
64	52321 25263	 * 	170.16	DCR|2VULN|1DMG|2ASPD|1CDMG|2DUR|1ZMB	14ASPD|24DUR|3RCVC|4BPWR|5aVULN|6ZMB|7RCR|8CDMG|9DMG
65	13625 11321	 * 	169.90	DCR|3VULN|3ZMB|1AART	134ZMB|24BEXP|4BPWR|58aVULN|6RCR|7LIT|9AART
66	12625 13612	 * 	169.90	DCR|2VULN|3ZMB|1AART|3DUR	134ZMB|248DUR|48BPWR|58VULN|6RCR|78CGEN|9BEXP|aAART
67	48543 13413	 * 	169.87	DCR|2VULN|2DMG|1AART|2ZMB	1MBVNT|28LWND|34ZMB|58VULN|68DMG|7AART|8BPWR|9DUST|aRCR
68	26115 14112	   	169.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2BEXP|3aVULN|4RCR|5RCVC|6DMG|7AART|8ZMB|9CDMG
69	26116 14112	   	169.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|25BEXP|3aVULN|4RCR|6DMG|7AART|8ZMB|9CDMG
70	45321 44532	   	169.68	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	1MBVNT|2RCVC|34ASPD|4BPWR|58VULN|6AART|7RCR|9DMG|aZMB
71	12621 13151	 * 	169.58	DCR|3DMG|3ZMB|1CDMG|2DUR	134ZMB|24DUR|4BPWR|56aDMG|7RCR|8CDMG|9FEWX
72	43572 41243	 * 	169.53	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1MBVNT|27FEWX|37ZMB|4ERES|5CDMG|67DMG|7BPWR|8RCR|9AART|aVULN
73	23115 23366	 * 	169.42	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	17LWND|2DUR|37VULN|4RCR|5BELT|67DMG|7BPWR|8FEWX|9ZMB|aCDMG
74	12542 41323	   	169.16	DCR|3DMG|1AART|2ZMB|2ASPD|1DUR	17ZMB|2DUR|378DMG|4RPLT|57ASPD|6RCVC|7BPWR|9RCR|aAART
75	48122 44484	 * 	169.10	DCR|4VULN|2DMG|1DUR	1MBVNT|2aLWND|367aVULN|4DUR|5DUST|8aDMG|9RCR|aBPWR
76	48124 24484	   	169.10	DCR|4VULN|2DMG|1DUR	1MBVNT|2aLWND|357aVULN|4DUR|6DUST|8aDMG|9RCR|aBPWR
77	15631 13351	 * 	169.04	DCR|3VULN|1AART|1DMG|2ZMB	13ZMB|268VULN|4CGEN|5AART|7LSRHEA|9DMG|aRCR
78	44217 22644	   	168.94	ACR|3VULN|3DMG	1MBVNT|29LIT|3BEXP|4RCR|579VULN|6LEGI|89aDMG|9BPWR
79	41171 18344	 * 	168.81	DCR|3DMG|2VULN|3DUR	1MBVNT|29aDUST|3aVULN|4NUKE|569DMG|7RCR|89aDUR|9aBPWR
80	45321 25341	 * 	168.80	DCR|3VULN|3ZMB|3ASPD|2DUR	1MBVNT|2RCVC|347ASPD|479BPWR|579VULN|679ZMB|89DUR|aRCR
81	55343 44231	   	168.70	DCR|4VULN|1AART|1ASPD|1DUR	1ASPD|259aVULN|3RCVC|4MBVNT|6AART|7RCR|8DUR
82	13643 18334	 * 	168.60	DCR|2VULN|3ZMB|1DMG|2ASPD|1DUR	13aZMB|2BEXP|4MBVNT|5aVULN|6DMG|7RCR|8DUR|9aASPD|aBPWR
83	23115 23343	   	168.57	ACR|2VULN|2DMG|1AART|1DUR	17LWND|2DUR|37VULN|4RCR|5BELT|67DMG|7BPWR|8aFEWX|9AART
84	23115 23345	   	168.57	ACR|2VULN|2DMG|1AART|1DUR	17LWND|2DUR|37VULN|4RCR|5BELT|67DMG|7BPWR|8FEWX|9AART|aLIT
85	23115 23346	   	168.57	ACR|2VULN|2DMG|1AART|1DUR	17LWND|2DUR|37VULN|4RCR|5BELT|67DMG|7BPWR|8FEWX|9AART|aBEXP
86	48136 13413	   	168.56	DCR|2VULN|2DMG|1AART|2ASPD	1MBVNT|28LWND|35VULN|48ASPD|68DMG|7AART|8BPWR|9DUST|aRCR
87	23115 23341	   	168.47	ACR|2VULN|2DMG|1AART|1DUR	17LWND|2DUR|37VULN|4RCR|5BELT|67DMG|7BPWR|8FEWX|9AART|aERES
88	23115 23342	   	168.47	ACR|2VULN|2DMG|1AART|1DUR	17LWND|2DUR|37VULN|4RCR|5BELT|67DMG|7BPWR|8FEWX|9AART|aDLOT
89	43144 18435	   	168.45	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2FEWX|35VULN|4LHND|6aDMG|7RCR|8AART|9ASPD
90	12625 12231	   	168.36	DCR|3ZMB|1AART|1DMG|1VULN|2DUR	134ZMB|24DUR|4BPWR|5VULN|6RCR|7LHND|8DMG|9CGEN|aAART
91	43382 41252	 * 	168.33	DCR|3DMG|2VULN|2CDMG	1MBVNT|247FEWX|3aLHND|57CDMG|67aDMG|7aBPWR|8aVULN|9RCR
92	24321 25232	   	168.28	DCR|2VULN|2DMG|2CDMG|1ZMB	14LWND|24DMG|3RCVC|4BPWR|5aVULN|6ZMB|7RCR|89CDMG
93	44514 22621	   	168.27	ACR|2VULN|2DMG|1AART|1DUR	1MBVNT|2LIT|3DUR|4RCR|58DMG|6BEXP|7aVULN|9AART
94	12625 12261	   	168.26	DCR|3ZMB|1AART|1DMG|1VULN|2DUR	134ZMB|24DUR|4BPWR|5VULN|6RCR|7LHND|8DMG|9ERES|aAART
95	13343 18132	   	167.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2BEXP|3RCVC|4MBVNT|5aVULN|6DMG|7RCR|8CDMG|9AART
96	43523 18132	   	167.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|2FEWX|3ZMB|4RCVC|5aVULN|6DMG|7RCR|8CDMG|9AART
97	42132 43483	   	167.95	DCR|2VULN|2DMG|1AART|2DUR	1MBVNT|2RMIN|38VULN|48DUR|5DMSP|6AART|78DMG|8BPWR|9LHND|aRCR
98	13625 11322	   	167.90	DCR|2VULN|3ZMB|1AART|1CDMG	134ZMB|24BEXP|4BPWR|58VULN|6RCR|7LIT|9AART|aCDMG
99	13625 13262	   	167.90	DCR|2VULN|3ZMB|1AART|1CDMG	134ZMB|24BEXP|4BPWR|5aVULN|6RCR|7CGEN|8CDMG|9AART
100	41523 18132	   	167.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|2DUST|3ZMB|4RCVC|5aVULN|6DMG|7RCR|8CDMG|9AART
101	45213 18132	   	167.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|2RCVC|3DUST|4ZMB|5aVULN|6DMG|7RCR|8CDMG|9AART
102	14231 13256	 * 	167.87	DCR|4VULN|1AART|2ZMB	1aZMB|2ERES|3RCVC|469aVULN|5AART|7aLSRHEA|8RCR|aBPWR
103	43131 18142	   	167.85	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2FEWX|3aVULN|4ASPD|56DMG|7RCR|8RPLT|9AART
104	46131 18142	   	167.85	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2BEXP|3aVULN|4ASPD|56DMG|7RCR|8RPLT|9AART
105	42148 11484	   	167.84	DCR|2VULN|2DMG|3ZMB|1DUR	1MBVNT|2RMIN|3aVULN|45aZMB|6DUR|7LWND|8aDMG|9RCR|aBPWR
106	42148 13484	   	167.84	DCR|2VULN|2DMG|3ZMB|1DUR	1MBVNT|2RMIN|3aVULN|45aZMB|6DUR|7LHND|8aDMG|9RCR|aBPWR
107	41131 18142	   	167.75	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2DUST|3aVULN|4ASPD|56DMG|7RCR|8RPLT|9AART
108	43131 18213	   	167.75	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2FEWX|3aVULN|4ASPD|56DMG|7RCR|8VENICY|9AART
109	46131 18213	   	167.75	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2BEXP|3aVULN|4ASPD|56DMG|7RCR|8VENICY|9AART
110	15213 15114	   	167.74	DCR|2VULN|2DMG|3ZMB|1DUR	145ZMB|2aVULN|3RMIN|67DMG|8DUR|9RCR
111	15513 13114	   	167.74	DCR|2VULN|2DMG|3ZMB|1DUR	145ZMB|2aVULN|36DMG|7CGEN|8DUR|9RCR
112	42123 44537	   	167.72	DCR|3VULN|1AART|1DMG|1ASPD	1MBVNT|2RMIN|358VULN|4RCVC|6AART|7RCR|9DMG|aASPD
113	42123 44574	   	167.72	DCR|3VULN|1AART|1DMG|1DUR	1MBVNT|2RMIN|358VULN|4RCVC|6AART|7RCR|9DUR|aDMG
114	42123 44234	   	167.72	DCR|3VULN|1AART|1DMG|1DUR	1MBVNT|2RMIN|359VULN|4RCVC|6AART|7RCR|8DUR|aDMG
115	41131 18218	   	167.65	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2DUST|3aVULN|4ASPD|56DMG|7RCR|8VENICY|9AART
116	12633 15314	   	167.64	DCR|2VULN|2DMG|3ZMB|1DUR	135ZMB|2DUR|4TLV|67DMG|8aVULN|9RCR
117	32613 15314	   	167.64	DCR|2VULN|2DMG|3ZMB|1DUR	1TLV|2DUR|345ZMB|67DMG|8aVULN|9RCR
118	15631 13252	 * 	167.42	DCR|3VULN|1AART|2ZMB|1CDMG	13ZMB|269VULN|4CGEN|5AART|7LSRHEA|8RCR|aCDMG
119	44217 22642	 * 	167.38	ACR|4VULN|2DMG	1MBVNT|29LIT|3BEXP|4RCR|579aVULN|6LEGI|89DMG|9BPWR
120	12621 13534	   	167.28	DCR|2DMG|3ZMB|1VULN|2DUR|1ASPD	134ZMB|24DUR|4BPWR|56DMG|7RCR|8FEWX|9ASPD|aVULN
121	12621 13632	   	167.28	DCR|2DMG|3ZMB|1VULN|2DUR|1ASPD	134ZMB|24DUR|4BPWR|56DMG|7RCR|8VULN|9ASPD|aFEWX
122	12621 13636	   	167.28	DCR|2DMG|3ZMB|1VULN|2DUR|1ASPD	134ZMB|24DUR|4BPWR|56DMG|7RCR|8VULN|9ASPD|aLIT
123	42663 41221	   	167.25	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1MBVNT|2RMIN|3DMG|4DUR|5CDMG|6aVULN|7AART|8ASPD|9RCR
124	12621 13633	   	167.18	DCR|2DMG|3ZMB|1VULN|2DUR|1ASPD	134ZMB|24DUR|4BPWR|56DMG|7RCR|8VULN|9ASPD|aMBVNT
125	12621 13635	   	167.18	DCR|2DMG|3ZMB|1VULN|2DUR|1ASPD	134ZMB|24DUR|4BPWR|56DMG|7RCR|8VULN|9ASPD|aERES
126	43131 18283	   	167.15	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2FEWX|39VULN|4ASPD|56DMG|7RCR|8VENICY|aAART
127	43136 18243	   	167.15	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2FEWX|35VULN|4ASPD|69DMG|7RCR|8VENICY|aAART
128	42123 16841	   	167.07	DCR|4VULN|2DMG	1MBVNT|2RMIN|358aVULN|4RCVC|6aMLV|7RCR|9aDMG|aBPWR
129	41131 18283	   	167.05	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2DUST|39VULN|4ASPD|56DMG|7RCR|8VENICY|aAART
130	32513 24134	   	167.01	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1TLV|2DUR|3aDMG|4ZMB|5VULN|6FEWX|7AART|8RCR|9ASPD
131	32513 34134	   	167.01	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1TLV|2DUR|3aDMG|4ZMB|5VULN|6BEXP|7AART|8RCR|9ASPD
132	24321 25263	   	166.97	DCR|3DMG|1VULN|1CDMG|1ZMB|1DUR	14LWND|249DMG|3RCVC|4BPWR|5VULN|6ZMB|7RCR|8CDMG|aDUR
133	48124 31181	   	166.91	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1MBVNT|2LWND|35aVULN|4DUR|6CDMG|7AART|8ZMB|9RCR
134	44422 71224	   	166.84	ACR|3VULN|3DMG	1MBVNT|289LIT|3aLHND|4RPLT|5RCR|69aVULN|79aDMG|9aBPWR
135	42142 43748	 * 	166.77	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1MBVNT|2RMIN|368VULN|4ZMB|5CDMG|7RCR|9DMG|aASPD
136	48131 13418	   	166.73	DCR|3DMG|1AART|1VULN|2ASPD	1MBVNT|28LWND|3VULN|48ASPD|568DMG|7AART|8BPWR|9RCVC|aRCR
137	48131 13461	   	166.73	DCR|3DMG|1AART|1VULN|2ASPD	1MBVNT|28LWND|3VULN|48ASPD|568DMG|7AART|8BPWR|9LIT|aRCR
138	63323 21412	   	166.69	ACR|2AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1BEXP|26AART|3ERES|4RCR|5ZMB|7ASPD|8VULN|9DUR|aDMG
139	41511 12412	   	166.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1MBVNT|2DUST|3ZMB|4BEXP|56DMG|7AART|8RCR|9CDMG|aVULN
140	46541 12412	   	166.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1MBVNT|2BEXP|3ZMB|4DUST|56DMG|7AART|8RCR|9CDMG|aVULN
141	43144 15135	   	166.65	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2FEWX|35VULN|4LHND|6aDMG|7AART|8RCR|9ASPD
142	44222 71523	   	166.64	ACR|3VULN|3DMG	1MBVNT|29LIT|3BEXP|4RPLT|5RCR|689VULN|79aDMG|9BPWR
143	44422 71523	   	166.64	ACR|3VULN|3DMG	1MBVNT|29LIT|3LHND|4RPLT|5RCR|689VULN|79aDMG|9BPWR
144	24321 15262	 * 	166.61	DCR|3VULN|2DMG|1CDMG	14LWND|24DMG|3RCVC|4BPWR|59aVULN|6MLV|7RCR|8CDMG
145	12625 11413	   	166.56	DCR|2VULN|3ZMB|1DMG|3DUR	134ZMB|248DUR|4BPWR|59VULN|6RCR|7LIT|aDMG
146	43131 18614	   	166.51	DCR|3DMG|2VULN|2ASPD	1MBVNT|28aFEWX|39VULN|4aASPD|56aDMG|7RCR|aBPWR
147	12643 18134	   	166.48	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|2DUR	13ZMB|2aDUR|4MBVNT|5VULN|6DMG|7RCR|8CDMG|9AART
148	63322 33342	   	166.33	ACR|2AART|2VULN|1DMG|1ASPD	15BEXP|26AART|35ERES|4RCR|5BPWR|79VULN|8ASPD|aDMG
149	63322 33351	   	166.33	ACR|2AART|2VULN|1DMG|1ASPD	15BEXP|26AART|35ERES|4RCR|5BPWR|7aVULN|8ASPD|9DMG
150	63324 21341	   	166.33	ACR|2AART|2VULN|1DMG|1ASPD	1BEXP|26AART|3ERES|4RCR|5RMIN|7ASPD|8DMG|9aVULN
151	63324 26112	   	166.33	ACR|2AART|2DMG|1VULN|1DUR	1BEXP|26AART|3ERES|4RCR|5RMIN|7VULN|8aDMG|9DUR
152	63324 26121	   	166.33	ACR|2AART|2VULN|1DMG|1ASPD	1BEXP|26AART|3ERES|4RCR|5RMIN|7aVULN|8DMG|9ASPD
153	63325 33342	   	166.33	ACR|2AART|2VULN|1DMG|1ASPD	15BEXP|26AART|3ERES|4RCR|79VULN|8ASPD|aDMG
154	63325 33351	   	166.33	ACR|2AART|2VULN|1DMG|1ASPD	15BEXP|26AART|3ERES|4RCR|7aVULN|8ASPD|9DMG
155	63322 33442	   	166.33	ACR|2AART|2VULN|1DMG|1ASPD	15BEXP|26AART|35ERES|4RCR|5BPWR|78VULN|9ASPD|aDMG
156	21325 12261	 * 	166.26	ACR|3VULN|1AART|1CDMG|1DUR|1ASPD	1LWND|2CDMG|3DUST|4DUR|5RCR|6AART|7ASPD|89aVULN
157	61325 12261	   	166.26	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1BEXP|2CDMG|3DUST|4DUR|5RCR|6AART|7ASPD|89aVULN
158	12625 13162	   	166.24	DCR|2VULN|3ZMB|1AART|2DUR|1SELL	134ZMB|24DUR|4BPWR|5aVULN|6RCR|7CGEN|8SELL|9AART
159	61335 63332	   	166.21	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2CDMG|37DUST|4ASPD|5aVULN|6RCR|8DMG|9AART
160	42124 37448	   	166.17	DCR|3VULN|2DMG|1ZMB	1MBVNT|2RMIN|389VULN|4RCVC|59BASHEA|6RCR|79DMG|9BPWR|aZMB
161	42641 13384	   	166.11	DCR|3DMG|2VULN|1ZMB|1DUR	1MBVNT|2RMIN|36aDMG|4aBEXP|5DUR|7ZMB|8aVULN|9RCR|aBPWR
162	43182 42248	 * 	166.02	DCR|2VULN|2AART|1DMG|1CDMG	1MBVNT|24FEWX|37VULN|5CDMG|6DMG|8RCR|9aAART
163	48523 13413	   	166.02	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|28LWND|3ZMB|4RCVC|58VULN|68DMG|7AART|8BPWR|9DUST|aRCR
