0	Index      	 *	Score 	Summary	Detail	
1	15611 12621	 * 	189.49	DCR|2VULN|1AART|1DMG|2ASPD|2DUR|1ZMB|2RCVC	18ASPD|26RCVC|38VULN|4AART|58DUR|7RCR|8BPWR|9DMG|aZMB
18	14562 12123	 * 	182.95	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1ASPD|2AART|35VULN|49DUR|6RCVC|7RCR|8CDMG|aDMG
19	33215 22154	   	182.89	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1DUR	1ERES|2DUR|37VULN|4RCR|5AART|6RCVC|8CDMG|9DMG|aFLTHEA
20	55611 12322	 * 	182.62	DCR|2VULN|2DMG|1AART|2DUR|2RCVC	16RCVC|29DMG|3aVULN|4AART|58DUR|7RCR
21	11211 52512	 * 	182.52	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1ASPD|2DUST|36VULN|4RCR|5LIT|7CDMG|8AART|9aDMG
22	23215 22521	   	182.35	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1MLV|2DUR|378VULN|4RCR|5AART|6RCVC|9DMG|aZMB
23	43215 22521	   	182.35	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2DUR|378VULN|4RCR|5AART|6RCVC|9DMG|aZMB
24	33215 22521	   	182.25	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2DUR|378VULN|4RCR|5AART|6RCVC|9DMG|aZMB
25	13453 32362	   	181.96	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1ASPD|2RPLT|3LWND|4AART|5ZMB|68VULN|7RCR|9aDMG
26	14362 11412	   	181.76	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	13ASPD|2AART|4DUR|59DMG|6BEXP|7RCR|8CDMG|aVULN
27	14362 31412	   	181.66	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	13ASPD|2AART|4DUR|59DMG|6DUST|7RCR|8CDMG|aVULN
28	12611 12616	 * 	181.23	DCR|2VULN|1AART|3ASPD|1DMG|2DUR	128ASPD|38VULN|4AART|58DUR|6RCVC|7RCR|8BPWR|9RMIN|aDMG
29	12611 12636	   	181.23	DCR|2VULN|1AART|3ASPD|1DMG|2DUR	128ASPD|38VULN|4AART|58DUR|6RCVC|7RCR|8BPWR|9CGEN|aDMG
30	55111 52333	   	180.45	DCR|2VULN|2DMG|1AART|2DUR	1RCVC|2aDMG|3LHND|4AART|5aDUR|6BEXP|7RCR|8LIT|9aVULN|aBPWR
31	14562 22113	   	180.45	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1ASPD|2AART|35VULN|46DUR|7RCR|8CDMG|9RPLT|aDMG
32	12611 12521	   	180.42	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	12ASPD|38VULN|4AART|5DUR|6RCVC|7RCR|9DMG|aZMB
33	15611 22521	   	180.30	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	1ASPD|2RCVC|38VULN|4AART|56DUR|7RCR|9DMG|aZMB
34	14562 12321	   	180.30	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	1ASPD|2AART|35VULN|48DUR|6RCVC|7RCR|9DMG|aZMB
35	55611 22121	 * 	180.13	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1RCVC|2DMG|3aVULN|4AART|569DUR|7RCR|8CDMG
36	14562 22121	 * 	179.86	DCR|3VULN|1AART|3DUR|1CDMG|1ASPD	1ASPD|2AART|35aVULN|469DUR|7RCR|8CDMG
37	33135 33312	   	179.43	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1ERES|29DUR|3ZMB|4CDMG|5RCR|6aDMG|7AART|8VULN
38	14361 32613	 * 	179.33	DCR|3VULN|1AART|3ASPD|3DUR	138ASPD|2AART|458DUR|68aVULN|7RCR|8BPWR|9LIT
39	23215 53412	   	179.07	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1MLV|26DUR|3VULN|4RCR|5AART|7ASPD|8CDMG|9aDMG
40	33215 53412	   	178.97	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1ERES|26DUR|3VULN|4RCR|5AART|7ASPD|8CDMG|9aDMG
41	65611 12322	   	178.75	DCR|2VULN|2DMG|1AART|2DUR	1DMSP|29DMG|3aVULN|4AART|58DUR|6RCVC|7RCR
42	15611 12622	   	178.49	DCR|2VULN|1AART|1DMG|2ASPD|2DUR|2RCVC	18ASPD|26RCVC|38VULN|4AART|58DUR|7RCR|8BPWR|9DMG|aFEWX
43	15611 12623	   	178.39	DCR|2VULN|1AART|1DMG|2ASPD|2DUR|2RCVC	18ASPD|26RCVC|38VULN|4AART|58DUR|7RCR|8BPWR|9DMG|aERES
44	12611 22613	   	178.13	DCR|3VULN|1AART|3ASPD|3DUR	128ASPD|38aVULN|4AART|568DUR|7RCR|8BPWR|9LIT
45	23411 32526	   	177.72	DCR|3VULN|1AART|1DMG|2DUR	1MLV|25DUR|3RCVC|4AART|68aVULN|7RCR|9DMG
46	14562 12113	   	177.66	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2AART|35VULN|4DUR|6RCVC|7RCR|8CDMG|9RPLT|aDMG
47	11212 31644	 * 	177.66	ACR|2VULN|2DMG|3ASPD|2CDMG	18aASPD|28DUST|3aVULN|4RCR|56FEWX|78CDMG|8aBPWR|9aDMG
48	33411 32526	   	177.62	DCR|3VULN|1AART|1DMG|2DUR	1ERES|25DUR|3RCVC|4AART|68aVULN|7RCR|9DMG
49	15611 12521	   	177.38	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR|2RCVC	1ASPD|26RCVC|38VULN|4AART|5DUR|7RCR|9DMG|aZMB
50	25233 24342	 * 	176.92	DCR|3VULN|3DMG|1ASPD|1SELL	179MLV|2RCVC|3RMIN|4SELL|579VULN|679DMG|79BPWR|8RCR|aASPD
51	53233 24342	 * 	176.92	DCR|3VULN|3DMG|1ASPD|1SELL	1RCVC|279TLV|3RMIN|4SELL|579VULN|679DMG|79BPWR|8RCR|aASPD
52	12632 62521	   	176.72	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	12ASPD|38VULN|4DUR|5DMSP|6AART|7RCR|9DMG|aZMB
53	23215 22326	   	176.64	ACR|3VULN|1AART|1DMG|2DUR	1MLV|28DUR|37aVULN|4RCR|5AART|6RCVC|9DMG
54	43215 22326	   	176.64	ACR|3VULN|1AART|1DMG|2DUR	1CGEN|28DUR|37aVULN|4RCR|5AART|6RCVC|9DMG
55	14323 32526	   	176.63	DCR|3VULN|1AART|1DMG|2ASPD	13ASPD|2AART|4TLV|5ERES|68aVULN|7RCR|9DMG
56	33215 22326	   	176.54	ACR|3VULN|1AART|1DMG|2DUR	1ERES|28DUR|37aVULN|4RCR|5AART|6RCVC|9DMG
57	65111 52333	   	176.45	DCR|2VULN|2DMG|1AART|2DUR	1DMSP|2aDMG|3LHND|4AART|5aDUR|6BEXP|7RCR|8LIT|9aVULN|aBPWR
58	23215 53113	   	176.42	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	1MLV|26DUR|3VULN|4RCR|5AART|7ASPD|8ZMB|9aDMG
59	43215 53113	   	176.42	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	1CGEN|26DUR|3VULN|4RCR|5AART|7ASPD|8ZMB|9aDMG
60	55611 22113	   	176.31	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1RCVC|2aDMG|3VULN|4AART|56DUR|7RCR|8CDMG|9RPLT
61	23215 23412	   	176.28	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1MLV|2DUR|3VULN|4RCR|5AART|6RCVC|7ASPD|8CDMG|9aDMG
62	43215 23412	   	176.28	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1CGEN|2DUR|3VULN|4RCR|5AART|6RCVC|7ASPD|8CDMG|9aDMG
63	55131 34233	   	176.25	DCR|2VULN|2DMG|1AART|2DUR	1RCVC|2aDMG|3LHND|4aDUR|5FEWX|6LIT|7AART|8RCR|9aVULN|aBPWR
64	33215 23412	   	176.18	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1ERES|2DUR|3VULN|4RCR|5AART|6RCVC|7ASPD|8CDMG|9aDMG
65	65611 22121	   	176.13	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1DMSP|2DMG|3aVULN|4AART|569DUR|7RCR|8CDMG
66	23215 52613	   	176.07	ACR|2VULN|2DMG|1AART|2DUR	1MLV|26DUR|37VULN|4RCR|5AART|8LWND|9aDMG
67	21215 22154	   	175.95	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1MLV|2DUST|37VULN|4RCR|5AART|6RCVC|8CDMG|9DMG|aFLTHEA
68	23215 52151	 * 	175.94	ACR|2VULN|1AART|1DMG|3DUR|1CDMG	1MLV|26aDUR|37VULN|4RCR|5AART|8CDMG|9DMG
69	11211 52514	   	175.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DUST|36VULN|4RCR|5LIT|7CDMG|8AART|9DMG|aZMB
70	11211 52532	   	175.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DUST|36VULN|4RCR|5LIT|7CDMG|8AART|9ZMB|aDMG
71	31215 22154	   	175.85	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1ERES|2DUST|37VULN|4RCR|5AART|6RCVC|8CDMG|9DMG|aFLTHEA
72	33215 52151	   	175.84	ACR|2VULN|1AART|1DMG|3DUR|1CDMG	1ERES|26aDUR|37VULN|4RCR|5AART|8CDMG|9DMG
73	23411 32156	   	175.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1MLV|25DUR|3RCVC|4AART|6aVULN|7RCR|8CDMG|9DMG
74	51843 11512	   	175.61	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1RCVC|2MBVNT|36DUR|4VULN|5AART|7RCR|8CDMG|9aDMG
75	33411 32156	   	175.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1ERES|25DUR|3RCVC|4AART|6aVULN|7RCR|8CDMG|9DMG
76	23212 32325	   	175.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MLV|2DUR|38VULN|4RCR|5FEWX|6DMG|7ZMB|9AART|aCDMG
77	23212 32425	   	175.44	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1MLV|2DUR|3VULN|4RCR|5FEWX|68DMG|7ZMB|9AART|aCDMG
78	43212 32325	   	175.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2DUR|38VULN|4RCR|5FEWX|6DMG|7ZMB|9AART|aCDMG
79	43212 32425	   	175.44	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CGEN|2DUR|3VULN|4RCR|5FEWX|68DMG|7ZMB|9AART|aCDMG
80	33212 32325	   	175.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ERES|2DUR|38VULN|4RCR|5FEWX|6DMG|7ZMB|9AART|aCDMG
81	33212 32425	   	175.34	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ERES|2DUR|3VULN|4RCR|5FEWX|68DMG|7ZMB|9AART|aCDMG
82	14562 22122	   	175.20	DCR|2VULN|1AART|3DUR|1CDMG|1ZMB|1ASPD	1ASPD|2AART|35VULN|469DUR|7RCR|8CDMG|aZMB
83	14362 11125	   	175.18	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB|1DUR	13ASPD|2AART|4DUR|5DMG|6BEXP|7RCR|8ZMB|9VULN|aCDMG
84	55112 12333	   	175.16	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|2aDMG|3LHND|4AART|5aBEXP|6DUR|7RCR|8LIT|9aVULN|aBPWR
85	14362 31125	   	175.08	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB|1DUR	13ASPD|2AART|4DUR|5DMG|6DUST|7RCR|8ZMB|9VULN|aCDMG
86	11214 51235	 * 	174.85	ACR|3VULN|1AART|3ASPD|3DUR	158ASPD|2DUST|368VULN|4RCR|789DUR|8BPWR|aAART
87	12533 24111	   	174.84	DCR|2VULN|2DMG|3ASPD|2CDMG	127ASPD|37CDMG|4MLV|5aVULN|67DMG|7BPWR|8RCR|9LIT
88	12553 24111	   	174.84	DCR|2VULN|2DMG|3ASPD|2CDMG	127ASPD|37CDMG|4CGEN|5aVULN|67DMG|7BPWR|8RCR|9LIT
89	12553 24133	   	174.84	DCR|2VULN|2DMG|3ASPD|2CDMG	127ASPD|37CDMG|4CGEN|59VULN|67DMG|7BPWR|8RCR|aFEWX
90	12611 12326	   	174.71	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	12ASPD|3aVULN|4AART|58DUR|6RCVC|7RCR|9DMG
91	12611 12626	   	174.71	DCR|2VULN|1AART|3ASPD|1CDMG|2DUR	128ASPD|38VULN|4AART|58DUR|6RCVC|7RCR|8BPWR|9DUST|aCDMG
92	23215 22151	   	174.63	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1MLV|2aDUR|37VULN|4RCR|5AART|6RCVC|8CDMG|9DMG
93	23215 22344	   	174.63	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	1MLV|28DUR|37VULN|4RCR|5AART|6RCVC|9FLTHEA|aDMG
94	43215 22151	   	174.63	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CGEN|2aDUR|37VULN|4RCR|5AART|6RCVC|8CDMG|9DMG
95	43215 22342	   	174.63	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	1CGEN|28DUR|37VULN|4RCR|5AART|6RCVC|9FLTHEA|aDMG
96	12553 24132	   	174.59	DCR|2VULN|2DMG|3ASPD|2CDMG|1SELL	127ASPD|37CDMG|4CGEN|59VULN|67DMG|7BPWR|8RCR|aSELL
97	33215 22151	   	174.53	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1ERES|2aDUR|37VULN|4RCR|5AART|6RCVC|8CDMG|9DMG
98	33215 22344	   	174.53	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR	1ERES|28DUR|37VULN|4RCR|5AART|6RCVC|9FLTHEA|aDMG
99	14311 32614	   	174.53	DCR|3VULN|1AART|3ASPD|3DUR	138ASPD|2AART|4BEXP|58aDUR|678VULN|8BPWR|9RCR
100	11211 11133	 * 	174.48	ACR|2VULN|2DMG|1AART|2ASPD	19ASPD|2DUST|39VULN|4RCR|5LIT|6MLV|79DMG|8BELT|9BPWR|aAART
101	33535 33512	   	174.14	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ERES|2DUR|3RMIN|4CDMG|5RCR|69DMG|7AART|8ZMB|aVULN
102	23215 52522	   	174.13	ACR|3VULN|1AART|1DMG|2DUR	1MLV|26DUR|378VULN|4RCR|5AART|9DMG|aFEWX
103	15611 12611	   	174.08	DCR|3VULN|1AART|2ASPD|2DUR|2RCVC	18ASPD|26RCVC|38aVULN|4AART|58DUR|7RCR|8BPWR|9BELT
104	33135 33366	   	174.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ERES|2DUR|3ZMB|4CDMG|5RCR|6aDMG|7AART|8VULN|9DUST
105	23215 52523	   	174.03	ACR|3VULN|1AART|1DMG|2DUR	1MLV|26DUR|378VULN|4RCR|5AART|9DMG|aERES
106	33215 52522	   	174.03	ACR|3VULN|1AART|1DMG|2DUR	1ERES|26DUR|378VULN|4RCR|5AART|9DMG|aFEWX
107	33215 52523	   	173.93	ACR|3VULN|1AART|1DMG|2DUR	1aERES|26DUR|378VULN|4RCR|5AART|9DMG
108	23215 12562	   	173.77	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1MLV|2DUR|3VULN|4RCR|5AART|6FEWX|7CDMG|8ASPD|9aDMG
109	21215 22152	 * 	173.75	ACR|2AART|2VULN|1DMG|1CDMG	1MLV|2DUST|37VULN|4RCR|5aAART|6RCVC|8CDMG|9DMG
110	41215 22152	   	173.75	ACR|2VULN|2AART|1DMG|1CDMG	1CGEN|2DUST|37VULN|4RCR|5aAART|6RCVC|8CDMG|9DMG
111	33215 12562	   	173.67	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1ERES|2DUR|3VULN|4RCR|5AART|6FEWX|7CDMG|8ASPD|9aDMG
112	31215 22152	   	173.65	ACR|2AART|2VULN|1DMG|1CDMG	1ERES|2DUST|37VULN|4RCR|5aAART|6RCVC|8CDMG|9DMG
113	23215 23113	   	173.63	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1MLV|2DUR|3VULN|4RCR|5AART|6RCVC|7ASPD|8ZMB|9aDMG
114	43215 23113	   	173.63	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1CGEN|2DUR|3VULN|4RCR|5AART|6RCVC|7ASPD|8ZMB|9aDMG
115	53611 22521	   	173.57	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1RCVC|2TLV|38VULN|4AART|56DUR|7RCR|9DMG|aZMB
116	55611 22122	   	173.55	DCR|1AART|1VULN|1DMG|3DUR|1CDMG|1ZMB	1RCVC|2DMG|3VULN|4AART|569DUR|7RCR|8CDMG|aZMB
117	12611 22661	   	173.48	DCR|2VULN|1AART|3ASPD|3DUR|1ZMB	128ASPD|38VULN|4AART|568DUR|7RCR|8BPWR|9ZMB|aLIT
118	12611 22662	   	173.48	DCR|2VULN|1AART|3ASPD|3DUR|1ZMB	128ASPD|38VULN|4AART|568DUR|7RCR|8BPWR|9ZMB|aBEXP
119	12611 22663	   	173.48	DCR|2VULN|1AART|3ASPD|3DUR|1ZMB	128ASPD|38VULN|4AART|568DUR|7RCR|8BPWR|9ZMB|aCGEN
120	14311 12513	   	173.41	DCR|2DMG|1AART|1VULN|2ASPD|2DUR	13ASPD|2AART|4BEXP|56DUR|7RCR|8VULN|9aDMG
121	14351 22513	   	173.41	DCR|2DMG|1AART|1VULN|2ASPD|2DUR	13ASPD|2AART|4LHND|56DUR|7RCR|8VULN|9aDMG
122	14361 32522	   	173.41	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	13ASPD|2AART|45DUR|68VULN|7RCR|9DMG|aFEWX
123	55611 12113	   	173.39	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|2RCVC	16RCVC|2aDMG|3VULN|4AART|5DUR|7RCR|8CDMG|9RPLT
124	25611 22521	   	173.37	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1MLV|2RCVC|38VULN|4AART|56DUR|7RCR|9DMG|aZMB
125	21215 61412	 * 	173.35	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	1MLV|2DUST|3VULN|4RCR|5AART|67ASPD|8CDMG|9aDMG
126	14361 32523	   	173.31	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	13ASPD|2AART|45DUR|68VULN|7RCR|9DMG|aERES
127	14361 32151	 * 	173.29	DCR|1AART|1VULN|1DMG|3DUR|2ASPD|1CDMG	13ASPD|2AART|45aDUR|6VULN|7RCR|8CDMG|9DMG
128	23215 22613	   	173.28	ACR|2VULN|2DMG|1AART|1DUR	1MLV|2DUR|37VULN|4RCR|5AART|6RCVC|8LWND|9aDMG
129	43215 22613	   	173.28	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2DUR|37VULN|4RCR|5AART|6RCVC|8LWND|9aDMG
130	35611 22521	   	173.27	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1ERES|2RCVC|38VULN|4AART|56DUR|7RCR|9DMG|aZMB
131	21215 62632	 * 	173.25	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	19MLV|2DUST|39VULN|4RCR|5AART|6ASPD|7CGEN|89CDMG|9BPWR|aDMG
132	31215 61412	   	173.25	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	1ERES|2DUST|3VULN|4RCR|5AART|67ASPD|8CDMG|9aDMG
133	43212 32323	   	173.23	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1CGEN|2DUR|38VULN|4RCR|5FEWX|6DMG|7ZMB|9aAART
134	43212 32423	 * 	173.23	ACR|2DMG|2AART|1VULN|1ZMB|1DUR	1CGEN|2DUR|3VULN|4RCR|5FEWX|68DMG|7ZMB|9aAART
135	21215 22313	   	173.18	ACR|2VULN|2DMG|1AART|1DUR	1MLV|2DUST|37VULN|4RCR|5AART|6RCVC|8DUR|9aDMG
136	41215 22313	   	173.18	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2DUST|37VULN|4RCR|5AART|6RCVC|8DUR|9aDMG
137	21215 63632	   	173.15	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	19MLV|2DUST|39VULN|4RCR|5AART|6ASPD|7ERES|89CDMG|9BPWR|aDMG
138	21215 64112	 * 	173.15	ACR|2DMG|1AART|1VULN|2CDMG|1ASPD	18MLV|28DUST|3VULN|4RCR|5AART|6ASPD|78CDMG|8BPWR|9aDMG
139	33212 32323	   	173.13	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1ERES|2DUR|38VULN|4RCR|5FEWX|6DMG|7ZMB|9aAART
140	33212 32423	   	173.13	ACR|2DMG|2AART|1VULN|1ZMB|1DUR	1ERES|2DUR|3VULN|4RCR|5FEWX|68DMG|7ZMB|9aAART
141	23411 32521	   	173.07	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1MLV|25DUR|3RCVC|4AART|68VULN|7RCR|9DMG|aZMB
142	43411 32521	   	173.07	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1CGEN|25DUR|3RCVC|4AART|68VULN|7RCR|9DMG|aZMB
143	31215 62632	   	173.05	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	19ERES|2DUST|39VULN|4RCR|5AART|6ASPD|7CGEN|89CDMG|9BPWR|aDMG
144	55112 12511	 * 	173.02	DCR|3DMG|1AART|1VULN|1DUR	1RCVC|289DMG|3LHND|4AART|5BEXP|6DUR|7RCR|aVULN
145	14362 11123	 * 	172.98	DCR|2AART|1VULN|1DMG|2ASPD|1ZMB|1DUR	13ASPD|2aAART|4DUR|5DMG|6BEXP|7RCR|8ZMB|9VULN
146	14362 41123	   	172.98	DCR|2AART|1VULN|1DMG|2ASPD|1ZMB|1DUR	13ASPD|2aAART|4DUR|5DMG|6FEWX|7RCR|8ZMB|9VULN
147	51843 11113	   	172.97	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1RCVC|2MBVNT|36DUR|4VULN|5AART|7RCR|8ZMB|9aDMG
148	33411 32521	   	172.97	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1ERES|25DUR|3RCVC|4AART|68VULN|7RCR|9DMG|aZMB
149	31215 64112	   	172.95	ACR|2DMG|1AART|1VULN|2CDMG|1ASPD	18ERES|28DUST|3VULN|4RCR|5AART|6ASPD|78CDMG|8BPWR|9aDMG
150	55111 32511	   	172.92	DCR|3DMG|1AART|1VULN|1DUR	1RCVC|289DMG|3LHND|4AART|5DUR|6DUST|7RCR|aVULN
151	55113 12511	   	172.92	DCR|3DMG|1AART|1VULN|1DUR	1RCVC|289DMG|3LHND|4AART|5DUST|6DUR|7RCR|aVULN
152	63233 24342	 * 	172.91	DCR|3VULN|3DMG|1ASPD|1SELL	1DMSP|279TLV|3RMIN|4SELL|579VULN|679DMG|79BPWR|8RCR|aASPD
153	14362 31123	   	172.88	DCR|2AART|1VULN|1DMG|2ASPD|1ZMB|1DUR	13ASPD|2aAART|4DUR|5DMG|6DUST|7RCR|8ZMB|9VULN
154	11413 13562	   	172.47	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1ASPD|2DUST|3DUR|4RCR|5CGEN|6CDMG|7AART|8VULN|9aDMG
155	65611 22113	   	172.31	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1DMSP|2aDMG|3VULN|4AART|56DUR|7RCR|8CDMG|9RPLT
156	65131 34233	   	172.25	DCR|2VULN|2DMG|1AART|2DUR	1DMSP|2aDMG|3LHND|4aDUR|5FEWX|6LIT|7AART|8RCR|9aVULN|aBPWR
157	23215 53613	   	172.23	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	18MLV|26DUR|38VULN|4RCR|5AART|78ASPD|8BPWR|9FEWX|aDMG
158	12611 22522	   	172.21	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	12ASPD|38VULN|4AART|56DUR|7RCR|9DMG|aFEWX
159	12611 22524	   	172.21	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	12ASPD|38VULN|4AART|56DUR|7RCR|9DMG|aCGEN
