0	Index      	 *	Score 	Summary	Detail	
1	31417 12842	 * 	280.46	橙橙2矿等1易伤1伤害1全技能	1全技能2金币生成3伤害4加一5易伤6a核79矿等8技能
20	22343 14121	   	253.09	橙橙1易伤1矿等1平台	1时间2低血量敌人3等级4散射对绿5额外掉落6易伤78核9平台a矿等
21	24613 24121	   	252.99	橙橙1易伤1矿等1平台	1时间2额外掉落3低血量敌人4易伤5散射对喷气6技能点78核9平台a矿等
22	24622 14121	   	252.99	橙橙1易伤1矿等1平台	1时间2额外掉落3低血量敌人4技能点5电塔对黄6易伤78核9平台a矿等
23	31434 52333	 * 	252.98	橙4易伤3暴击1伤害1全技能	1全技能289金币生成3伤害489暴击5赏金塔6核789a易伤89序列升级
24	21136 12116	   	252.61	橙橙1易伤2暴击2时间	19时间2赏金邻近3双倍秒伤49暴击59等级68核7技能9序列升级a易伤
25	22243 14132	   	252.10	橙橙2易伤	1时间2a低血量敌人3多重对愈4金币生成5额外掉落69易伤78核
26	22243 14133	   	252.10	橙橙2易伤	1时间2低血量敌人3多重对愈4金币生成5a额外掉落69易伤78核
27	22243 14136	   	252.10	橙橙2易伤	1时间2低血量敌人3多重对愈4金币生成5额外掉落69易伤78核a技能
28	22243 14141	   	252.10	橙橙2易伤	1时间2低血量敌人3多重对愈4金币生成5额外掉落6a易伤78核9雷电
29	22312 14132	   	252.10	橙橙2易伤	1时间2a低血量敌人3等级4额外掉落5电塔对黄69易伤78核
30	22312 14133	   	252.10	橙橙2易伤	1时间2低血量敌人3等级4a额外掉落5电塔对黄69易伤78核
31	22312 14136	   	252.10	橙橙2易伤	1时间2低血量敌人3等级4额外掉落5电塔对黄69易伤78核a技能
32	22312 14141	   	252.10	橙橙2易伤	1时间2低血量敌人3等级4额外掉落5电塔对黄6a易伤78核9雷电
33	22343 14132	   	252.10	橙橙2易伤	1时间2a低血量敌人3等级4散射对绿5额外掉落69易伤78核
34	22343 14133	   	252.10	橙橙2易伤	1时间2低血量敌人3等级4散射对绿5a额外掉落69易伤78核
35	22343 14136	   	252.10	橙橙2易伤	1时间2低血量敌人3等级4散射对绿5额外掉落69易伤78核a技能
36	22343 14141	   	252.10	橙橙2易伤	1时间2低血量敌人3等级4散射对绿5额外掉落6a易伤78核9雷电
37	24613 24132	   	252.00	橙橙2易伤	1时间2额外掉落3a低血量敌人49易伤5散射对喷气6技能点78核
38	24613 24133	   	252.00	橙橙2易伤	1时间2a额外掉落3低血量敌人49易伤5散射对喷气6技能点78核
39	24622 14132	   	252.00	橙橙2易伤	1时间2额外掉落3a低血量敌人4技能点5电塔对黄69易伤78核
40	24622 14133	   	252.00	橙橙2易伤	1时间2a额外掉落3低血量敌人4技能点5电塔对黄69易伤78核
41	22243 14131	   	252.00	橙橙2易伤	1时间2低血量敌人3多重对愈4金币生成5额外掉落69易伤78核a掉矿
42	22243 14134	   	252.00	橙橙2易伤1卖塔	1时间2低血量敌人3多重对愈4金币生成5额外掉落69易伤78核a卖塔
43	22243 14135	   	252.00	橙橙2易伤	1时间2低血量敌人3多重对愈4金币生成5额外掉落69易伤78核a技能点
44	22312 14131	   	252.00	橙橙2易伤	1时间2低血量敌人3等级4额外掉落5电塔对黄69易伤78核a掉矿
45	22312 14134	   	252.00	橙橙2易伤1卖塔	1时间2低血量敌人3等级4额外掉落5电塔对黄69易伤78核a卖塔
46	22312 14135	   	252.00	橙橙2易伤	1时间2低血量敌人3等级4额外掉落5电塔对黄69易伤78核a技能点
47	22343 14131	   	252.00	橙橙2易伤	1时间2低血量敌人3等级4散射对绿5额外掉落69易伤78核a掉矿
48	22343 14134	   	252.00	橙橙2易伤1卖塔	1时间2低血量敌人3等级4散射对绿5额外掉落69易伤78核a卖塔
49	22343 14135	   	252.00	橙橙2易伤	1时间2低血量敌人3等级4散射对绿5额外掉落69易伤78核a技能点
50	24613 24131	   	251.90	橙橙2易伤	1时间2额外掉落3低血量敌人49易伤5散射对喷气6技能点78核a掉矿
51	24622 14131	   	251.90	橙橙2易伤	1时间2额外掉落3低血量敌人4技能点5电塔对黄69易伤78核a掉矿
52	21225 31244	 * 	251.25	橙3易伤3伤害3时间	179时间2赏金邻近38随机矿479伤害5赏金塔679易伤79序列升级a核
53	53132 22261	   	251.21	橙橙1易伤2暴击1攻速	12暴击3额外掉落4基地爆炸5攻速6赏金塔7狙击对黄8a核9易伤
54	53132 24261	   	251.21	橙橙1易伤2暴击1攻速	12暴击3额外掉落4基地爆炸5攻速6赏金塔7散射对绿8a核9易伤
55	53132 62261	   	251.21	橙橙1易伤2暴击1攻速	12暴击3额外掉落4基地爆炸5攻速6赏金邻近7狙击对黄8a核9易伤
56	53142 22261	   	251.21	橙橙1易伤2暴击1攻速	12暴击3额外掉落4敌人爆炸5攻速6赏金塔7狙击对黄8a核9易伤
57	56232 11632	   	250.67	橙橙1易伤1暴击1全技能1平台	1暴击2技能3全技能4平台578低血量敌人6a核9易伤
58	35162 32236	   	250.67	橙橙1易伤1攻速1全技能1平台	1全技能2易伤3立即金币4攻速5赏金塔6平台7技能8a核9敌人爆炸
59	32324 15133	   	250.57	橙橙1易伤1攻速1全技能1平台	1全技能2平台3赏金塔4寒冰对黄5攻速6赏金邻近7金币生成89核a易伤
