0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14263 12225	6	 * 	292.17	橙5易伤3时间2等级	137敌人爆炸2379a易伤379序列升级4基地爆炸59等级679时间8核
30	34253 14323	3	   	266.83	橙5易伤3伤害	138基地爆炸23568易伤38序列升级478伤害9核a赏金塔
31	14234 12225	5	   	265.75	橙4易伤3时间1等级	137敌人爆炸2379易伤379序列升级4等级59a时间679低血量敌人8核
32	34233 12221	6	   	265.75	橙4易伤3时间1等级	137基地爆炸2379易伤379序列升级4等级59敌人爆炸679时间8核a低血量敌人
33	34233 12222	6	   	265.75	橙4易伤3时间1等级	137基地爆炸2379易伤379序列升级4等级59a敌人爆炸679时间8核
34	34233 12223	6	   	265.75	橙4易伤3时间1等级	137基地爆炸2379易伤379序列升级4等级59敌人爆炸679时间8核a金币生成
35	34233 12226	6	   	265.75	橙4易伤3时间1等级	137基地爆炸2379易伤379序列升级4等级59敌人爆炸679时间8核a最后敌人
36	34234 12225	5	   	265.75	橙4易伤3时间1等级	137基地爆炸2379易伤379序列升级4等级59a时间679低血量敌人8核
37	54233 12221	6	   	265.45	橙4易伤3时间1等级	137挖尘2379易伤379序列升级4等级59敌人爆炸679时间8核a低血量敌人
38	54233 12222	6	   	265.45	橙4易伤3时间1等级	137挖尘2379易伤379序列升级4等级59a敌人爆炸679时间8核
39	54233 12223	6	   	265.45	橙4易伤3时间1等级	137挖尘2379易伤379序列升级4等级59敌人爆炸679时间8核a金币生成
40	54233 12226	6	   	265.45	橙4易伤3时间1等级	137挖尘2379易伤379序列升级4等级59敌人爆炸679时间8核a最后敌人
41	14213 12223	5	   	264.36	橙5易伤2等级1时间	137敌人爆炸2379a易伤379序列升级4时间59等级679低血量敌人8核
42	34213 12223	5	   	264.36	橙5易伤2等级1时间	137基地爆炸2379a易伤379序列升级4时间59等级679低血量敌人8核
43	34213 62225	6	   	264.36	橙5易伤2等级1时间	137基地爆炸2379a易伤379序列升级4时间59等级679敌人爆炸8核
44	14213 52225	5	   	264.06	橙5易伤2等级1时间	137敌人爆炸2379a易伤379序列升级4时间59等级679挖尘8核
45	34213 52225	5	   	264.06	橙5易伤2等级1时间	137基地爆炸2379a易伤379序列升级4时间59等级679挖尘8核
46	54213 12223	5	   	264.06	橙5易伤2等级1时间	137挖尘2379a易伤379序列升级4时间59等级679低血量敌人8核
47	14213 32334	5	   	262.66	橙3易伤2等级2时间1暴击1全技能	137敌人爆炸238易伤37序列升级47时间57等级6核9全技能a暴击
48	14234 32334	5	   	262.66	橙3易伤2等级2时间1暴击1全技能	137敌人爆炸238易伤37序列升级47等级57时间6核9全技能a暴击
49	34213 32334	5	   	262.66	橙3易伤2等级2时间1暴击1全技能	137基地爆炸238易伤37序列升级47时间57等级6核9全技能a暴击
50	34234 32334	5	   	262.66	橙3易伤2等级2时间1暴击1全技能	137基地爆炸238易伤37序列升级47等级57时间6核9全技能a暴击
51	34213 33632	5	   	262.42	橙3易伤2伤害2等级1时间	139基地爆炸23a易伤3a序列升级4时间5a等级6核7立即金币8a伤害
52	34213 53632	7	   	262.42	橙3易伤2伤害2等级1时间	139基地爆炸23a易伤3a序列升级4时间5a等级6a伤害7立即金币8核
53	54213 32334	5	   	262.36	橙3易伤2等级2时间1暴击1全技能	137挖尘238易伤37序列升级47时间57等级6核9全技能a暴击
54	34221 24321	10	 * 	262.32	橙3易伤2伤害3等级1时间	138基地爆炸234易伤38序列升级578等级68伤害9时间a核
