0	Code 	Date      	Index      	 *	Score 	Summary	Detail	
1	24ZM7	8072_08_13	25623 13311	 * 	456.65	DCR|DCR|3VULN|3MLV|3TLV|3ASPD|1AAC	138ASPD|23aTLV|38aBPWR|48aMLV|58aVULN|67RCR|9AAC
13	J65F3	57070_10_21	51122 26431	   	441.66	DCR|DCR|3VULN|3MLV|3ASPD|1TLV|1AAC	1AART|28aVULN|3AAC|4TLV|58aMLV|69RCR|78aASPD|8aBPWR
14	6TU9H	21882_02_14	62335 36311	   	440.38	DCR|DCR|3VULN|3MLV|2TLV|2DMG|1ASPD	158MLV|289VULN|3ASPD|45DMG|58BPWR|6aRCR|78TLV
15	GZ4BQ	47916_09_16	24341 52131	   	439.96	DCR|DCR|4VULN|3MLV|3TLV|1AAC	1AAC|2378VULN|478TLV|578MLV|69RCR|78BPWR|aDUR
16	3VB7O	13395_06_02	14135 33362	   	439.96	DCR|DCR|4VULN|3MLV|3TLV|1AAC	19aTLV|289aVULN|3AAC|49aMLV|5AART|67RCR|9aBPWR
17	9TLT5	30471_04_27	51112 43334	   	439.88	DCR|DCR|3VULN|3MLV|3DMG|2TLV	17aMLV|23TLV|47aDMG|57aVULN|69RCR|7aBPWR|8TBNT
18	24ZM7	8072_08_13	25623 13324	   	439.75	DCR|DCR|3VULN|3MLV|3TLV|3ASPD	138ASPD|23aTLV|38aBPWR|48aMLV|58aVULN|67RCR|9RPLT
19	24ZM7	8072_08_13	25623 13361	   	439.75	DCR|DCR|3VULN|3MLV|3TLV|3ASPD	138ASPD|23aTLV|38aBPWR|48aMLV|58aVULN|67RCR|9BBNT
20	IJGTZ	55398_04_06	12435 36322	   	439.43	DCR|DCR|5VULN|3MLV|2TLV|1AAC	17TLV|257MLV|34579VULN|57BPWR|6AAC|8aRCR
21	IJGTZ	55398_04_06	13235 36322	   	439.43	DCR|DCR|5VULN|3MLV|2TLV|1AAC	17TLV|24579VULN|357MLV|57BPWR|6AAC|8aRCR
22	BF4TA	34909_06_17	31362 21211	 * 	439.00	ACR|DCR|5VULN|3MLV|3DMG|2TLV	178MLV|2aTLV|3789aVULN|46RCR|578DMG|78aBPWR
23	MKN95	66989_06_24	35332 33146	   	438.95	DCR|DCR|3VULN|3MLV|2TLV|3ASPD	1AART|279VULN|39TLV|478MLV|579ASPD|6aRCR|79BPWR
24	QBU59	77684_12_08	21341 41116	 * 	437.68	DCR|DCR|3VULN|3MLV|3DMG|3ASPD	156ASPD|279DMG|379VULN|479MLV|79BPWR|8aRCR
25	EAZES	43061_02_10	35542 23113	   	437.43	DCR|DCR|4VULN|3MLV|2DMG|1TLV	157MLV|2DUR|37DMG|4578VULN|57BPWR|6aRCR|9TLV
26	9CUH4	28970_05_01	22433 52111	   	436.85	DCR|DCR|3VULN|3MLV|1TLV|2ASPD|1DMG	139VULN|239MLV|39BPWR|4CDMG|5DMG|68RCR|79ASPD|aTLV
27	J5Z4B	56966_02_16	33335 11434	   	436.53	DCR|DCR|3VULN|3MLV|3ASPD|1TLV|1DMG	18aVULN|2ZMB|38aMLV|4TLV|5DMG|69RCR|78aASPD|8aBPWR
28	J6T43	57137_02_16	34123 63235	   	434.72	DCR|DCR|4VULN|3MLV|3TLV|1DMG	149aVULN|29aMLV|3DUST|5DMG|67RCR|89aTLV|9aBPWR
29	RNZTA	81550_06_06	41321 54213	   	434.41	DCR|DCR|3MLV|2VULN|3TLV|3ASPD|1AAC	179TLV|2AAC|34VULN|579ASPD|679MLV|79BPWR|8aRCR
30	EK6ZF	43973_10_30	12112 45223	   	434.02	DCR|DCR|3VULN|3MLV|3DMG|1TLV	19aDMG|2AART|3TLV|49aVULN|59aMLV|6BELT|78RCR|9aBPWR
31	2VRER	10569_12_29	55631 21233	   	434.02	DCR|DCR|3VULN|3MLV|3DMG|1TLV	178DMG|2TLV|378MLV|4RCVC|578VULN|6aRCR|78BPWR|9DUR
32	39CZN	11423_11_11	32132 33515	   	434.02	DCR|DCR|3VULN|3MLV|3DMG|1TLV	179DMG|2TLV|379MLV|4DUR|5LWND|679VULN|79BPWR|8aRCR
33	39CZN	11423_11_11	32134 33515	   	434.02	DCR|DCR|3VULN|3MLV|3DMG|1TLV	179DMG|2TLV|379MLV|4DUR|5FEWX|679VULN|79BPWR|8aRCR
34	RK6F7	81296_11_12	22322 53623	   	433.36	DCR|DCR|3VULN|3MLV|3ASPD|1TLV|1AAC	1AAC|279VULN|3LIT|479ASPD|579MLV|68RCR|79BPWR|aTLV
35	AUMS7	33434_08_30	61613 32336	   	433.26	DCR|DCR|3VULN|3MLV|3ASPD|1TLV|1AAC	178ASPD|2AAC|3TLV|478VULN|578MLV|6aRCR|78BPWR|9ERES
36	IBNR6	54700_01_02	12413 51315	   	433.26	DCR|DCR|3VULN|3MLV|3ASPD|1TLV|1AAC	19aMLV|29aVULN|3AEBURN|4TLV|5AAC|67RCR|89aASPD|9aBPWR
37	2AOA6	8677_02_22	32223 22146	   	433.24	DCR|DCR|3VULN|3MLV|3TLV|2DMG	1DMSP|279VULN|39DMG|467MLV|579TLV|79BPWR|8aRCR
38	K6CVU	59962_10_23	36363 13114	   	433.14	DCR|DCR|3VULN|3MLV|3TLV|2DMG	178VULN|28DMG|347MLV|578TLV|6aRCR|78BPWR|9DUST
39	K5E4H	59876_04_19	12234 41143	   	432.75	DCR|DCR|4VULN|3MLV|3DMG|2CDMG	18aDMG|25CDMG|389aVULN|48aMLV|67RCR|8aBPWR
40	MOR8L	67359_07_07	42111 32111	   	432.58	DCR|DCR|3VULN|2MLV|2TLV|2DMG|2AAC	18TLV|29AAC|35MLV|458VULN|58BPWR|68DMG|7aRCR
41	H1EH6	50905_11_01	12116 14341	   	432.45	DCR|DCR|3VULN|3MLV|3TLV|1DMG|1AAC	1NUKE|2AAC|378MLV|478TLV|578VULN|6aRCR|78BPWR|9DMG
42	JRN9I	59004_10_25	41151 12315	   	432.13	DCR|DCR|3MLV|2VULN|2TLV|2ASPD|2CDMG|1AAC	179MLV|29VULN|37TLV|4AAC|57CDMG|6aRCR|79BPWR|89ASPD
43	U3ZF5	88367_08_02	13333 22242	 * 	431.88	DCR|DCR|3MLV|2VULN|3ASPD|2DMG|1TLV	15aASPD|2TLV|3aVULN|459MLV|5aBPWR|6aDMG|78RCR
44	FB7N8	46042_02_02	31361 61322	   	431.65	DCR|DCR|5VULN|3MLV|3TLV	179MLV|24579VULN|379TLV|68RCR|79BPWR|aLIT
45	FB7N8	46042_02_02	31361 61326	   	431.65	DCR|DCR|5VULN|3MLV|3TLV	179MLV|24579VULN|379TLV|68RCR|79BPWR|aLHND
46	GZ4BQ	47916_09_16	24341 52132	   	431.65	DCR|DCR|4VULN|3MLV|3TLV|1AAC	1AAC|2378VULN|478TLV|578MLV|69RCR|78BPWR|aFEWX
47	GZ4BQ	47916_09_16	24341 52133	   	431.65	DCR|DCR|4VULN|3MLV|3TLV|1AAC	1AAC|2378VULN|478TLV|578MLV|69RCR|78BPWR|aCGEN
48	SQ738	84707_10_28	34521 13136	   	431.65	DCR|DCR|4VULN|3MLV|3TLV|1AAC	179TLV|2RPLT|3579VULN|457MLV|579BPWR|6AAC|8aRCR
49	2FONR	9126_12_03	11211 23234	   	431.65	DCR|DCR|5VULN|3MLV|3TLV	1BBNT|23489VULN|589MLV|689TLV|7aRCR|89BPWR
50	313V4	10683_07_26	33151 55132	   	431.65	DCR|DCR|4VULN|3MLV|3TLV|1AAC	149aVULN|29aTLV|3RCVC|5AAC|67RCR|89aMLV|9aBPWR
51	9DF4K	29016_11_24	42333 24113	   	431.65	DCR|DCR|4VULN|3MLV|3TLV|1AAC	178aVULN|278TLV|3AAC|478MLV|5RCVC|69RCR|78BPWR
52	JMZHB	58492_06_07	26331 11222	   	431.65	DCR|DCR|4VULN|3MLV|3TLV|1AAC	1AAC|2689VULN|389MLV|4RCVC|589TLV|7aRCR|89BPWR
53	T7JM6	85909_06_06	23151 61214	   	431.65	DCR|DCR|5VULN|3MLV|3TLV	1278aVULN|3LHND|47aTLV|57aMLV|69RCR|7aBPWR
54	FB7N8	46042_02_02	31361 61321	   	431.55	DCR|DCR|5VULN|3MLV|3TLV	179MLV|24579VULN|379TLV|68RCR|79BPWR|aAEPOI
55	FB7N8	46042_02_02	31361 61324	   	431.55	DCR|DCR|5VULN|3MLV|3TLV	179MLV|24579VULN|379TLV|68RCR|79BPWR|aDUST
56	FGOC4	46537_05_10	23722 25743	   	431.55	DCR|DCR|5VULN|3MLV|3TLV	1MBVNT|24678VULN|378MLV|578TLV|78BPWR|9aRCR
57	9DF4K	29016_11_24	42335 26113	   	431.55	DCR|DCR|4VULN|3MLV|3TLV|1AAC	178aVULN|258TLV|3AAC|458MLV|58BPWR|69RCR
58	G1HDO	48043_01_15	45135 22231	   	431.55	DCR|DCR|4VULN|3MLV|3TLV|1AAC	148aVULN|2BEXP|38aMLV|58aTLV|67RCR|8aBPWR|9AAC
59	NGHRB	69486_04_17	56413 14336	   	431.55	DCR|DCR|4VULN|3MLV|3TLV|1AAC	1MBVNT|2AAC|3589VULN|489TLV|689MLV|7aRCR|89BPWR
60	P5D8A	74228_05_06	62332 12252	   	431.55	DCR|DCR|4VULN|3MLV|3TLV|1AAC	15aMLV|235aVULN|4AAC|5aBPWR|67aTLV|89RCR
61	E841I	42891_09_23	33115 16151	   	431.55	DCR|DCR|4VULN|3MLV|3TLV|1AAC	178aVULN|2AAC|38aMLV|48aTLV|5LEGI|69RCR|8aBPWR
62	ER476	44596_10_26	21681 13844	   	431.55	DCR|DCR|4VULN|3MLV|3TLV|1AAC	1MBVNT|239aVULN|4AAC|59aTLV|68RCR|79aMLV|9aBPWR
63	SON8L	84573_09_20	31613 11515	   	431.51	DCR|DCR|3VULN|3MLV|1TLV|2ASPD|1DMG	157MLV|2TLV|37ASPD|457VULN|57BPWR|6aRCR|8DMG|9AART
64	H9Q1S	51655_11_11	51211 32343	   	431.30	DCR|DCR|3MLV|2VULN|3DMG|2TLV	157MLV|27TLV|3CDMG|458DMG|57BPWR|67VULN|9aRCR
65	HNIT5	52891_11_04	31132 14345	   	431.07	DCR|DCR|3VULN|3MLV|2TLV|2DMG	15aMLV|28aVULN|3RAT|45DMG|5aBPWR|67RCR|9aTLV
66	PDH2A	74956_10_04	33513 21231	   	431.07	DCR|DCR|3VULN|3MLV|2TLV|2DMG	19DMG|246MLV|349VULN|49BPWR|59TLV|78RCR|aRAT
67	17HJQ	5518_04_25	15634 33122	   	430.64	DCR|DCR|3VULN|3MLV|2TLV|3ASPD	189VULN|2RCVC|39TLV|458MLV|6aRCR|789ASPD|89BPWR
68	HDAP1	51971_11_24	33144 31325	   	430.54	DCR|DCR|3VULN|3MLV|2TLV|3ASPD	19aVULN|24TLV|3AETHUN|59aMLV|69aASPD|78RCR|9aBPWR
69	779SZ	22722_01_09	14211 14132	   	430.12	DCR|DCR|3VULN|3MLV|3ASPD|1TLV	178MLV|278VULN|3CDMG|4RCVC|5TLV|678ASPD|78BPWR|9aRCR
70	EUFHI	44897_09_18	22311 15263	   	430.02	DCR|DCR|3VULN|3MLV|3ASPD|1TLV	127MLV|278BPWR|38RAT|478ASPD|578VULN|6aRCR|9TLV
71	6MMV3	21233_07_28	62343 13521	 * 	429.83	DCR|DCR|5VULN|2MLV|2TLV|2ASPD	1378aVULN|23ASPD|37BPWR|47TLV|57MLV|69RCR
72	6MMV3	21233_07_28	62343 13523	   	429.83	DCR|DCR|4VULN|2MLV|2TLV|2ASPD|1AAC	1378VULN|23ASPD|37BPWR|47TLV|57MLV|69RCR|aAAC
73	ILC5G	55564_06_03	33225 21523	 * 	429.67	DCR|DCR|5VULN|3MLV|3DMG	17aDMG|2457aVULN|37aMLV|68RCR|7aBPWR|9TBNT
74	VI5QL	92599_04_01	53132 13341	   	429.67	DCR|DCR|5VULN|3MLV|3DMG	12589VULN|3FEWX|489MLV|6aRCR|789DMG|89BPWR
75	2JJ4D	9470_01_23	36114 41133	   	429.67	DCR|DCR|4VULN|3MLV|3DMG|1AAC	178aVULN|28aDMG|3AAC|48aMLV|5TBNT|69RCR|8aBPWR
76	2RFJF	10177_11_22	12131 12452	   	429.67	DCR|DCR|4VULN|3MLV|3DMG|1AAC	17aMLV|2AAC|357aVULN|47aDMG|6RPLT|7aBPWR|89RCR
77	ONI9J	72986_06_15	23432 42533	   	429.61	DCR|DCR|4VULN|3MLV|3TLV	1289VULN|37DUR|489TLV|589MLV|6aRCR|89BPWR
78	7NB26	24160_10_26	33153 13364	   	429.57	DCR|DCR|4VULN|3MLV|3DMG|1AAC	178MLV|278aVULN|378DMG|4MDPS|5AAC|69RCR|78BPWR
79	KJSUS	61173_11_17	23113 45433	   	429.57	DCR|DCR|4VULN|3MLV|3DMG|1AAC	1AAC|267DMG|39ERES|479MLV|5679VULN|679BPWR|8aRCR
80	OAL6I	71828_04_18	24334 24715	   	429.57	DCR|DCR|5VULN|3MLV|3DMG	12589VULN|3MBVNT|489DMG|689MLV|7aRCR|89BPWR
81	LOD5T	64449_02_12	11233 66335	   	429.57	DCR|DCR|5VULN|3MLV|3DMG	1278aVULN|37aDMG|457MLV|69RCR|7aBPWR
82	CZBQ6	36453_12_23	32621 23433	   	429.43	DCR|DCR|4VULN|3MLV|3DMG|1AAC|1SELL	189MLV|289DMG|3589VULN|4SELL|6AAC|7aRCR|89BPWR
83	LK5VL	64070_01_30	22221 35254	   	429.12	DCR|DCR|4VULN|3MLV|2DMG|1TLV	137aVULN|23aMLV|3aBPWR|4TLV|5CGEN|69RCR|8aDMG
84	QTD7D	79252_05_06	64333 22352	   	429.03	DCR|DCR|4VULN|3MLV|3DMG|1ASPD	17aMLV|237aVULN|4ASPD|5LIT|67aDMG|7aBPWR|89RCR
85	ILC5G	55564_06_03	33225 21553	   	429.02	DCR|DCR|4VULN|3MLV|2DMG|1TLV	17DMG|2457VULN|37aMLV|68RCR|7BPWR|9TLV
86	B2QC1	33803_04_28	52251 43132	   	429.02	DCR|DCR|4VULN|3MLV|2DMG|1TLV	1289VULN|3TLV|469MLV|59DMG|7aRCR|9BPWR
87	LOD5T	64449_02_12	11233 66333	   	429.02	DCR|DCR|4VULN|3MLV|2DMG|1TLV	1278VULN|37DMG|457MLV|69RCR|7BPWR|aTLV
88	BL57C	35448_08_20	33214 16251	   	428.83	DCR|DCR|4VULN|3MLV|2TLV|1ASPD	134MLV|2346VULN|346BPWR|56TLV|78RCR|9ASPD|aRAT
89	NHKMI	69584_01_01	36163 32321	 * 	428.77	DCR|DCR|4VULN|3TLV|2MLV|2DMG	1348VULN|234TLV|348BPWR|58MLV|6aRCR|78DMG|9MDPS
90	AEHOO	31984_11_20	12222 21111	 * 	428.74	DCR|DCR|4VULN|3MLV|3ASPD|1AAC	19aMLV|2AAC|3DUR|479aVULN|59aASPD|68RCR|9aBPWR
91	OOQSN	73100_04_11	56131 11423	   	428.33	DCR|DCR|4VULN|3MLV|1TLV|3RAT|1AAC	1478VULN|2AAC|3TLV|578MLV|678RAT|78BPWR|9aRCR
92	7QIPA	24451_08_14	23134 35151	   	427.93	DCR|DCR|3VULN|3MLV|2TLV|1AAC|1ASPD	18TLV|248VULN|348MLV|48BPWR|5AAC|67RCR|9DUR|aASPD
93	UIU94	89796_11_24	23314 43161	   	426.96	DCR|DCR|3MLV|2VULN|2DMG|1TLV|2ASPD	18DMG|24ASPD|348MLV|48BPWR|5AART|68VULN|7aRCR|9TLV
94	2CRUP	8866_10_16	53624 23213	   	426.75	DCR|DCR|3VULN|3MLV|2DMG|1TLV|1AAC	13DMG|235MLV|35BPWR|457VULN|6TLV|8AAC|9aRCR
95	3NKBS	12703_04_16	14226 31234	   	426.75	DCR|DCR|3VULN|3MLV|2DMG|1TLV|1AAC	127MLV|37DMG|4AAC|57aVULN|69RCR|7BPWR|8TLV
96	BUN98	36306_09_16	33163 12332	   	426.75	DCR|DCR|3VULN|3MLV|2DMG|1TLV|1AAC	129MLV|3TLV|4AAC|579VULN|6aRCR|89DMG|9BPWR
97	SIHGM	84019_04_23	65135 32232	   	426.75	DCR|DCR|3VULN|3MLV|2DMG|1TLV|1AAC	13aVULN|2TLV|47aMLV|5aDMG|6AAC|89RCR|aBPWR
98	71VA2	22243_11_02	12243 53342	   	426.66	DCR|DCR|3MLV|2VULN|3TLV|3DMG	1MDPS|278TLV|36VULN|478DMG|578MLV|78BPWR|9aRCR
99	SUTTU	85130_09_14	63333 62313	   	426.66	DCR|DCR|3MLV|2VULN|3TLV|3DMG	19aMLV|29aTLV|35VULN|4ERES|67RCR|89aDMG|9aBPWR
100	Q3FZ8	76924_09_19	33433 51242	   	426.66	DCR|DCR|3VULN|3MLV|3DMG|1AAC|1ASPD	148MLV|248DMG|3AAC|48BPWR|58aVULN|67RCR|9ASPD
