0	Code 	Date      	Index      	 *	Score 	Summary	Detail	
1	LV4RO	65053_10_23	33526 16312	 * 	286.06	ACR|5VULN|3DMG|3ZMB|1AART|3CDMG	1RCR|2AART|379ZMB|47aDMG|5679aVULN|79aBPWR|89aCDMG
73	FCS89	46189_05_15	41435 32312	 * 	270.20	ACR|5VULN|3DMG|1AART|2FLTHEA|3ASPD	1RCR|289DMG|3aFLTHEA|4AART|589ASPD|6789aVULN|89aBPWR
74	4VHE9	16283_09_19	21212 52512	   	270.13	ACR|4VULN|3DMG|3ZMB|3CDMG|1AART	1RCR|29aCDMG|346aVULN|569DMG|69aBPWR|7AART|89aZMB
75	BS7NV	36083_09_15	33352 53211	   	270.13	ACR|4VULN|3DMG|3ZMB|1AART|3CDMG	179DMG|2RCR|3AART|4RPLT|57aCDMG|679aVULN|79aBPWR|89aZMB
76	DZOCP	39360_02_26	33334 43214	   	270.11	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|2389aVULN|47AART|589DMG|689ZMB|89aBPWR
77	6LPM5	21151_06_27	13162 42232	   	270.11	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|2379aVULN|48AART|59aDMG|69aZMB|9aBPWR
78	9UQJK	30574_03_21	44226 23233	   	270.11	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|26789VULN|379ZMB|4aAART|579DMG|79BPWR
79	RSJVS	82052_07_01	16221 52242	   	269.92	ACR|5VULN|3DMG|1AART|3CDMG|1FLTHEA	1RCR|2589aVULN|3FLTHEA|4AART|689DMG|789CDMG|89BPWR
80	ECK66	43295_11_08	23341 31146	   	269.91	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1378aVULN|2RCR|4AART|578ZMB|678DMG|78BPWR|9CDMG
81	JDCEV	57718_06_06	21212 13513	   	269.91	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1789aVULN|2RCR|3CDMG|4AART|59aDMG|69aZMB|9aBPWR
82	STCU9	84993_05_09	61241 11224	   	269.90	DCR|5VULN|3DMG|3ZMB|1AART|2CDMG	178ZMB|29CDMG|34789VULN|578DMG|6RCR|789BPWR|aAART
83	VLAB7	92881_01_22	31615 12121	   	269.88	ACR|3VULN|3DMG|2AART|3ZMB|1FLTHEA|1CDMG	16AART|2RCR|39aDMG|49aZMB|5CDMG|7FLTHEA|89aVULN|9aBPWR
84	TQEDI	87599_04_03	22452 23532	   	269.74	ACR|4VULN|3DMG|2AART|3CDMG|1FLTHEA	1RCR|24AART|39aCDMG|5FLTHEA|689aVULN|79aDMG|9aBPWR
85	IMJMD	55675_03_30	22163 13236	   	269.73	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	1RCR|278DMG|3578VULN|478ZMB|6aAART|78BPWR|9CDMG
86	IQPH5	56050_06_20	22326 21411	   	269.53	ACR|4VULN|3DMG|3ZMB|1AART|3FLTHEA	158aVULN|2RCR|35aZMB|4AART|58aBPWR|68aFLTHEA|789DMG
87	7I7SD	23703_04_29	36251 26233	   	269.53	ACR|4VULN|3DMG|3ZMB|1AART|1FLTHEA|1CDMG	1RCR|289DMG|3589VULN|4FLTHEA|6CDMG|789ZMB|89BPWR|aAART
88	FCVKO	46198_11_15	25123 12432	   	269.51	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|24789VULN|378DMG|5aAART|678ZMB|78BPWR
89	MPRM9	67450_06_04	15641 23231	   	269.51	ACR|5VULN|3DMG|2AART|3ZMB	15AART|2RCR|378ZMB|478DMG|6789aVULN|78BPWR
90	BN2Q5	35621_04_20	61251 13341	   	269.51	ACR|5VULN|3DMG|2AART|3ZMB	14AART|2RCR|38aZMB|5689aVULN|78aDMG|8aBPWR
91	M8SV4	65928_11_01	62213 62114	   	269.51	ACR|5VULN|3DMG|2AART|3ZMB	15AART|2RCR|378DMG|4789aVULN|678ZMB|78BPWR
92	U59QS	88573_04_10	15333 15321	   	269.51	ACR|5VULN|3DMG|2AART|3ZMB	13AART|2RCR|48aZMB|5689aVULN|78aDMG|8aBPWR
93	9QCJU	30176_02_18	31644 32322	   	269.41	DCR|4VULN|3DMG|3ZMB|1AART|2CDMG|2DUR	189aVULN|289DMG|3aCDMG|4aDUR|589ZMB|6AART|7RCR|89aBPWR
94	BTZTD	36154_04_10	21313 33314	   	269.32	ACR|5VULN|3DMG|1AART|3CDMG|2ASPD	1AART|2RCR|379DMG|4679aVULN|567CDMG|679BPWR|89ASPD
95	95KDK	28313_12_24	35312 34113	   	269.31	ACR|5VULN|3DMG|1AART|3ZMB|1FLTHEA	1AART|2689aVULN|3RCR|4FLTHEA|589DMG|789ZMB|89BPWR
96	9RVTP	30319_12_25	22215 63233	   	269.31	ACR|5VULN|3DMG|1AART|3ZMB|1CDMG	1AART|278ZMB|3RCR|478DMG|5678aVULN|78BPWR|9CDMG
97	CJL3L	38184_08_21	23411 12531	   	269.31	ACR|5VULN|3DMG|1AART|3ZMB|1CDMG	1AART|28aDMG|3RCR|4CDMG|5689aVULN|78aZMB|8aBPWR
98	CN5AS	38499_04_11	23224 32353	   	269.31	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1489aVULN|2RCR|3CDMG|5AART|68aDMG|78aZMB|8aBPWR
99	ELQ1J	44119_09_19	61413 13153	   	269.31	ACR|5VULN|3DMG|3ZMB|1AART|1FLTHEA	18aZMB|2RCR|3FLTHEA|4789aVULN|5AART|68aDMG|8aBPWR
100	HOGBF	52974_05_27	33152 31635	   	269.31	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	14789VULN|2RCR|378DMG|5AART|678ZMB|78BPWR|aCDMG
101	I3KKR	53973_04_24	11346 34331	   	269.31	ACR|5VULN|3DMG|1AART|3ZMB|2ASPD	1AART|278ZMB|3RCR|4aASPD|5789aVULN|678DMG|78aBPWR
102	IS2N5	56165_12_10	32325 21425	   	269.31	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	178DMG|2RCR|34789VULN|5AART|678ZMB|78BPWR|aCDMG
103	O96ZU	71696_01_12	21251 35243	   	269.31	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1389aVULN|2RCR|4CDMG|5AART|68aDMG|78aZMB|8aBPWR
104	1A9FI	5764_08_28	43223 12536	   	269.31	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1489aVULN|2RCR|3CDMG|5AART|689ZMB|789DMG|89BPWR
105	E465E	42538_10_24	53212 44322	   	269.30	DCR|5VULN|3DMG|3ZMB|1AART|2CDMG	147DMG|2457aVULN|3AART|47aBPWR|67aZMB|8RCR|9aCDMG
106	HSUT9	53374_01_28	53523 31622	   	269.30	ACR|4VULN|3DMG|1AART|3FLTHEA|1CDMG|1ZMB	1RCR|2AART|3689VULN|4CDMG|589FLTHEA|789DMG|89BPWR|aZMB
107	17KR7	5527_05_17	42132 22532	   	269.23	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	147DMG|2RCR|3479VULN|479BPWR|579ZMB|6AART|89CDMG|aASPD
108	61O75	19353_01_19	31124 16621	   	269.14	ACR|4VULN|3DMG|2AART|3CDMG|1FLTHEA	1RCR|278CDMG|34AART|578aVULN|678DMG|78BPWR|9FLTHEA
109	467KI	14013_05_03	11324 22146	   	269.13	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	1789VULN|2RCR|36AART|489ZMB|589DMG|89BPWR|aCDMG
110	F9O8J	45909_01_14	53116 22341	   	269.12	DCR|5VULN|3DMG|3ZMB|1AART|2CDMG	179DMG|2aCDMG|3789aVULN|4AART|5RCR|679ZMB|79aBPWR
111	H765V	51420_09_19	12341 33541	 * 	269.10	DCR|5VULN|3DMG|1AART|3CDMG|3DUR	1AART|2579aVULN|37aDUR|479DMG|6RCR|79aBPWR|89aCDMG
112	HFDIG	52159_03_02	35222 52411	   	268.93	ACR|4VULN|3DMG|3ZMB|3FLTHEA|1AART	179aVULN|2RCR|379ZMB|467DMG|5AART|79aBPWR|89aFLTHEA
113	1ASBZ	5817_07_12	16323 56312	   	268.93	ACR|4VULN|3DMG|1AART|3ZMB|3CDMG	1AART|2789VULN|3RCR|49aDMG|578ZMB|678CDMG|789BPWR
114	HFDIG	52159_03_02	35132 52411	   	268.93	ACR|4VULN|3DMG|3ZMB|3FLTHEA|1AART	179aVULN|2RCR|367DMG|479ZMB|5AART|79aBPWR|89aFLTHEA
115	O7VAV	71587_07_28	33133 16336	   	268.93	ACR|4VULN|3DMG|3ZMB|1AART|3CDMG	179CDMG|2RCR|347DMG|5AART|679aVULN|79aBPWR|89aZMB
116	7IRKI	23758_09_16	51643 22321	 * 	268.93	ACR|4VULN|2AART|2DMG|3ZMB|3CDMG	1RCR|25AART|378ZMB|478aVULN|678CDMG|78aBPWR|9aDMG
117	7IRKI	23758_09_16	51111 22321	   	268.93	ACR|4VULN|2AART|2DMG|3ZMB|3CDMG	1RCR|23AART|478ZMB|578aVULN|678CDMG|78aBPWR|9aDMG
118	6C2QO	20279_12_18	31223 24116	 * 	268.92	ACR|5VULN|3DMG|2AART|3CDMG	1RCR|26AART|39aDMG|49aCDMG|5789aVULN|9aBPWR
119	Z2E92	2189_06_23	14322 23563	   	268.91	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|278DMG|378ZMB|4578aVULN|69AART|78BPWR
120	ZIJMQ	3640_02_25	34315 32136	   	268.91	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|28aZMB|38aDMG|4589aVULN|67AART|8aBPWR
121	RU4ZQ	82187_02_26	43522 13322	   	268.91	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|247ZMB|3478aVULN|47aBPWR|57aDMG|69AART
122	PQDTG	76114_03_26	12413 26611	   	268.89	DCR|5VULN|3DMG|1AART|3ZMB|1CDMG	1AART|279DMG|357ZMB|45789VULN|579BPWR|6RCR|aCDMG
123	88PIP	25726_09_10	52222 32422	   	268.89	DCR|5VULN|3DMG|1AART|3ZMB|1CDMG	1AART|278ZMB|378DMG|45789VULN|6RCR|78BPWR|aCDMG
124	O24CQ	71063_06_16	36363 21433	   	268.81	ACR|4VULN|3DMG|3ZMB|1AART|2ASPD|2DUR	189aVULN|2RCR|389DMG|4aASPD|5AART|6aDUR|789ZMB|89aBPWR
125	44537	13826_10_12	13525 21512	   	268.73	ACR|4VULN|3DMG|1AART|2CDMG|3ASPD|2ZMB	1RCR|2789VULN|378DMG|49CDMG|59ZMB|678ASPD|789BPWR|aAART
126	AO5O3	32848_05_05	21363 11635	   	268.71	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1RCR|25789VULN|3CDMG|478DMG|678ZMB|78BPWR|aAART
127	V54GI	91429_04_04	24316 23353	   	268.70	ACR|4VULN|3DMG|1AART|3CDMG|1FLTHEA|1ZMB	1RCR|29aDMG|3AART|469aVULN|5ZMB|7FLTHEA|89aCDMG|9aBPWR
128	RSJVS	82052_07_01	16222 52242	   	268.54	ACR|4VULN|3DMG|2AART|3CDMG|1FLTHEA	1RCR|289aVULN|3FLTHEA|45AART|689DMG|789CDMG|89BPWR
129	F24BH	45225_03_18	25114 33322	   	268.53	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	1579VULN|2RCR|379ZMB|48AART|679DMG|79BPWR|aCDMG
130	KVRDQ	62246_03_03	13263 13345	   	268.53	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	178ZMB|2RCR|3678VULN|49AART|578DMG|78BPWR|aCDMG
131	BDA73	34744_11_26	33165 23115	   	268.52	ACR|5VULN|3DMG|3ZMB|1AART|2CDMG	1678aVULN|2aCDMG|378ZMB|4RCR|578DMG|78aBPWR|9AART
132	ZRBFU	4424_07_24	22131 26163	   	268.48	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1RCR|2AART|3689aVULN|4ZMB|589CDMG|789DMG|89BPWR
133	EO6J1	44334_04_27	13321 15352	   	268.48	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1RCR|2AART|37aDMG|4ZMB|5789aVULN|67aCDMG|7aBPWR
134	Q9O99	77489_01_13	36543 13223	   	268.48	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1RCR|2AART|378DMG|478CDMG|5678aVULN|78BPWR|9ZMB
135	R28OG	79688_05_27	34133 51531	   	268.39	DCR|4VULN|3DMG|1AART|3ZMB|2ASPD|2DUR	1AART|289aVULN|389DMG|4aASPD|5aDUR|6RCR|789ZMB|89aBPWR
136	OBIBC	71910_01_09	11523 34431	   	268.33	ACR|4VULN|3DMG|3ZMB|3CDMG|1AART	1RCR|2689VULN|389CDMG|489ZMB|567DMG|689BPWR|aAART
137	31O2A	10739_12_02	15243 33521	   	268.33	ACR|4VULN|3DMG|3ZMB|1AART|1FLTHEA|1CDMG	1578VULN|257ZMB|3RCR|4AART|578BPWR|678DMG|9FLTHEA|aCDMG
138	8K7DK	26752_05_13	31252 22622	   	268.32	ACR|5VULN|3DMG|2AART|3CDMG	1RCR|29aDMG|34AART|59aCDMG|6789aVULN|9aBPWR
139	4A2HT	14357_12_13	21641 12216	   	268.32	ACR|5VULN|3DMG|2AART|3CDMG	1RCR|268DMG|39AART|4568aVULN|68aBPWR|78aCDMG
140	5QVJ6	18745_09_21	26133 33652	   	268.32	ACR|5VULN|3DMG|2AART|3CDMG	1RCR|25789VULN|3aAART|489DMG|689CDMG|89BPWR
141	TKIJU	87072_09_24	31353 22344	   	268.32	ACR|5VULN|3DMG|2AART|3CDMG	1RCR|2789aVULN|35AART|49aCDMG|69aDMG|9aBPWR
142	E2RO2	42419_11_21	24333 21462	   	268.31	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|2359aVULN|49aZMB|69aDMG|78AART|9aBPWR
143	LEANN	63545_02_10	46223 43122	   	268.31	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|289ZMB|34689VULN|589DMG|7aAART|89BPWR
