0	Index      	 *	Score 	Summary	Detail	
1	21213 16434	 * 	196.09	ACR|4VULN|2DMG|1AART	1AART|257aVULN|3DLOT|4RCR|6LHND|8aLWND|9aDMG|aBPWR
19	21344 21321	   	186.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|26VULN|3ERES|4RPLT|5aDMG|7RCR|8DUR|9CDMG
20	21211 54134	   	186.20	ACR|2VULN|2DMG|1AART|2CDMG	1AART|2aVULN|3DLOT|4RCR|5RPLT|6aDMG|7aCDMG|8RCVC|9NUKE|aBPWR
21	21417 16123	   	186.18	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	1AART|23aVULN|3aBPWR|4MBVNT|5aERES|6CDMG|7DMG|8aASPD|9RCR
22	21245 12136	   	185.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2aVULN|3DLOT|4ZMB|5CDMG|6LEGI|78DMG|9RCR
23	21335 41323	   	185.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|27VULN|3ERES|4ZMB|5aDMG|6MBVNT|8CDMG|9RCR
24	21213 26651	 * 	184.94	ACR|5VULN|1AART|1ASPD|1DUR	1AART|25789VULN|3DLOT|4RCR|6DUR|aASPD
25	21215 33335	 * 	184.86	ACR|3VULN|1AART|3ZMB|2DUR	1AART|27aVULN|3DLOT|4RCR|58aZMB|6aDUR|9MBVNT|aBPWR
26	21215 33344	   	184.86	ACR|3VULN|1AART|3ZMB|2DUR	1AART|27aVULN|3DLOT|4RCR|58aZMB|6aDUR|9LEGI|aBPWR
27	21344 21333	   	184.82	DCR|4VULN|1AART|1DMG|1DUR	1AART|269aVULN|3ERES|4RPLT|5DMG|7RCR|8DUR
28	21418 41328	 * 	184.77	DCR|4VULN|1AART|1CDMG|1ZMB	1AART|235aVULN|3BPWR|4MBVNT|6RCR|7TLV|8CDMG|9ZMB
29	21418 43328	   	184.77	DCR|4VULN|1AART|1CDMG|1ZMB	1AART|235aVULN|3BPWR|4MBVNT|6RCR|7ERES|8CDMG|9ZMB
30	21211 23342	 * 	184.72	ACR|2AART|2VULN|2DMG|1DUR	1aAART|29VULN|3DLOT|4RCR|5RPLT|6DUR|79DMG|89CGEN|9BPWR
31	21161 14323	   	184.42	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|27VULN|3ASPD|4LHND|5RCR|6CDMG|8FEWX|9aDMG
32	21161 14623	   	184.42	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|27VULN|3ASPD|4LHND|5RCR|6CDMG|8LWND|9aDMG
33	21344 21322	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|26aVULN|3ERES|4RPLT|5DMG|7RCR|8DUR|9CDMG
34	21344 21332	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|269VULN|3ERES|4RPLT|5DMG|7RCR|8DUR|aCDMG
35	21161 13126	   	184.32	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|2aVULN|3ASPD|4LHND|5RCR|6CDMG|79DMG|8ERES
36	21418 47443	   	184.12	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|235VULN|3BPWR|4MBVNT|6RCR|7ASPD|8RPLT|9ZMB|aDMG
37	21215 33256	   	184.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|27VULN|3DLOT|4RCR|5ZMB|6DUR|8RPLT|9aDMG
38	21418 42834	 * 	184.05	DCR|5VULN|1AART|1ZMB	1AART|2358aVULN|3BPWR|4MBVNT|6RCR|7LWND|9ZMB
39	21418 42318	   	183.77	DCR|3VULN|2DMG|1AART	1AART|235VULN|3BPWR|4MBVNT|6RCR|7LWND|8RPLT|9aDMG
40	21418 44318	   	183.77	DCR|3VULN|2DMG|1AART	1AART|235VULN|3BPWR|4MBVNT|6RCR|7LHND|8RPLT|9aDMG
41	21344 21353	   	183.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|26VULN|3ERES|4RPLT|5aDMG|7RCR|8DUR|9ZMB
42	21215 33135	 * 	182.77	ACR|3VULN|2AART|2ZMB|2DUR	18AART|27aVULN|3DLOT|4RCR|5aZMB|6aDUR|9MBVNT|aBPWR
43	21215 33144	   	182.77	ACR|3VULN|2AART|2ZMB|2DUR	18AART|27aVULN|3DLOT|4RCR|5aZMB|6aDUR|9LEGI|aBPWR
44	21531 15313	 * 	182.39	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1AART|2VULN|3BEXP|4ERES|5RCR|6CDMG|79aDMG|8DUR
45	24631 15313	   	182.39	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1AART|2LWND|3VULN|4ERES|5RCR|6CDMG|79aDMG|8DUR
46	21361 15313	   	182.29	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1AART|2VULN|3ERES|4DUST|5RCR|6CDMG|79aDMG|8DUR
47	21121 16515	 * 	182.22	DCR|3VULN|2AART|2ASPD|1ZMB	19AART|258VULN|37ASPD|4LIT|6RCR|aZMB
48	21213 42415	   	182.14	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|257VULN|3DLOT|4RCR|6ZMB|8BEXP|9DUR|aDMG
49	21213 42615	   	182.14	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|257VULN|3DLOT|4RCR|6ZMB|8LHND|9DUR|aDMG
50	21213 43215	   	182.14	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|258VULN|3DLOT|4RCR|6ZMB|7LHND|9DUR|aDMG
51	21653 11611	 * 	182.13	DCR|4VULN|2AART|1DMG	19AART|2567VULN|35CANHEL|4RMIN|5BPWR|8DMG|aRCR
52	25253 11611	   	182.13	DCR|4VULN|2AART|1DMG	19AART|25BASHEA|3567VULN|4RMIN|5BPWR|8DMG|aRCR
53	21213 26355	   	182.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|257VULN|3DLOT|4RCR|6DUR|8SNIHEL|9DMG|aZMB
54	21213 11134	   	181.99	ACR|3VULN|2DMG|1AART	1AART|25aVULN|3DLOT|4RCR|6LHND|7aFEWX|8RCVC|9aDMG|aBPWR
55	21213 11634	   	181.99	ACR|3VULN|2DMG|1AART	1AART|25aVULN|3DLOT|4RCR|6LHND|78aFEWX|9aDMG|aBPWR
56	21213 16435	   	181.79	ACR|3VULN|2DMG|1AART	1AART|257VULN|3DLOT|4RCR|6LHND|8LWND|9aDMG
57	21213 13134	   	181.79	ACR|3VULN|2DMG|1AART	1AART|25aVULN|3DLOT|4RCR|6LHND|7aDUST|8RCVC|9aDMG|aBPWR
58	23225 45132	 * 	181.74	DCR|2VULN|1AART|1DMG|2CDMG|2ASPD	1AART|25ASPD|35CDMG|4LEGI|5BPWR|6MGNLIT|7RCR|8DMG|9aVULN
59	21414 16823	 * 	181.68	DCR|3VULN|2AART|1DMG|1CDMG	18AART|239VULN|3BPWR|4MBVNT|5RMIN|6CDMG|7DMG|aRCR
60	21213 42414	   	181.67	ACR|4VULN|1AART|2DUR|1ZMB	1AART|257aVULN|3DLOT|4RCR|6ZMB|8aBEXP|9aDUR|aBPWR
61	21213 42614	   	181.67	ACR|4VULN|1AART|2DUR|1ZMB	1AART|257aVULN|3DLOT|4RCR|6ZMB|8aLHND|9aDUR|aBPWR
62	21213 43214	   	181.67	ACR|4VULN|1AART|2DUR|1ZMB	1AART|258aVULN|3DLOT|4RCR|6ZMB|7aLHND|9aDUR|aBPWR
63	21165 13224	   	181.63	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	1AART|25VULN|3aASPD|4LHND|6CDMG|7DMG|8ZMB|9RCR
64	21165 13223	   	181.33	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1ASPD	1AART|25VULN|3ASPD|4LHND|6aCDMG|7DMG|8ZMB|9RCR
65	21416 11833	   	181.27	DCR|3DMG|2VULN|1AART	1AART|23VULN|3BPWR|4MBVNT|5LHND|6LSRHEA|7RCR|89aDMG
66	24242 22262	   	181.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2LWND|3DLOT|4ZMB|5aDMG|6DUR|79VULN|8RCR
67	21215 52115	 * 	180.65	ACR|2AART|2VULN|3ZMB|2DUR	18AART|2aVULN|3DLOT|4RCR|57aZMB|6MBVNT|9aDUR|aBPWR
68	21121 16541	   	180.36	DCR|3VULN|1AART|2ASPD|1CDMG|1DUR	1AART|258VULN|37ASPD|4LIT|6RCR|9DUR|aCDMG
69	21418 41316	 * 	180.08	DCR|4VULN|1AART|2CDMG	1AART|235aVULN|3BPWR|4MBVNT|6RCR|7TLV|89CDMG
70	21418 43316	   	180.08	DCR|4VULN|1AART|2CDMG	1AART|235aVULN|3BPWR|4MBVNT|6RCR|7ERES|89CDMG
71	21418 47421	   	180.06	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1AART|235VULN|3BPWR|4MBVNT|6RCR|7ASPD|8RPLT|9DMG|aDUR
72	21418 47124	   	179.99	DCR|5VULN|1AART|1ASPD	1AART|2359aVULN|3BPWR|4MBVNT|6RCR|7ASPD|8LWND
73	21418 41438	   	179.94	DCR|4VULN|1AART|1DMG|1SELL	1AART|235aVULN|3BPWR|4MBVNT|6RCR|7TLV|8SELL|9DMG
74	21418 43438	   	179.94	DCR|4VULN|1AART|1DMG|1SELL	1AART|235aVULN|3BPWR|4MBVNT|6RCR|7ERES|8SELL|9DMG
75	21418 42341	   	179.83	DCR|3VULN|1AART|1DMG|1CDMG	1AART|235VULN|3BPWR|4MBVNT|6RCR|7LWND|8RPLT|9CDMG|aDMG
76	21418 44341	   	179.83	DCR|3VULN|1AART|1DMG|1CDMG	1AART|235VULN|3BPWR|4MBVNT|6RCR|7LHND|8RPLT|9CDMG|aDMG
77	21418 44821	   	179.83	DCR|3VULN|1AART|1DMG|1CDMG	1AART|235VULN|3BPWR|4MBVNT|6RCR|7LHND|8CDMG|9RPLT|aDMG
78	21418 44843	   	179.83	DCR|3VULN|1AART|1DMG|1CDMG	1AART|235VULN|3BPWR|4MBVNT|6RCR|7LHND|8CDMG|9FEWX|aDMG
79	21418 46341	   	179.83	DCR|3VULN|1AART|1DMG|1CDMG	1AART|235VULN|3BPWR|4MBVNT|6RCR|7BEXP|8RPLT|9CDMG|aDMG
80	24213 64122	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2LWND|3DLOT|4RCR|57VULN|6CDMG|8aDMG|9RPLT
81	26213 64122	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2LHND|3DLOT|4RCR|57VULN|6CDMG|8aDMG|9RPLT
82	21418 42633	   	179.73	DCR|3VULN|1AART|1DMG|1CDMG	1AART|235VULN|3BPWR|4MBVNT|6RCR|7LWND|8DUST|9CDMG|aDMG
83	21418 44833	   	179.73	DCR|3VULN|1AART|1DMG|1CDMG	1AART|235VULN|3BPWR|4MBVNT|6RCR|7LHND|8CDMG|9DUST|aDMG
84	21418 45341	   	179.73	DCR|3VULN|1AART|1DMG|1CDMG	1AART|235VULN|3BPWR|4MBVNT|6RCR|7LEGI|8RPLT|9CDMG|aDMG
85	23246 61123	   	179.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1AART|2ASPD|3CDMG|4LHND|5ZMB|6VULN|7RCR|8ERES|9aDMG
86	23266 61123	   	179.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1AART|2ASPD|3CDMG|4FEWX|5ZMB|6VULN|7RCR|8ERES|9aDMG
87	21216 64122	   	179.68	ACR|2VULN|2DMG|1AART|1CDMG	1AART|27VULN|3DLOT|4RCR|5DUST|6CDMG|8aDMG|9RPLT
88	23226 61123	   	179.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1AART|2ASPD|3CDMG|4LEGI|5ZMB|6VULN|7RCR|8ERES|9aDMG
89	21165 41323	   	179.57	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|257VULN|3ASPD|4LHND|6MBVNT|8CDMG|9RCR|aDMG
90	21416 21323	   	179.57	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|237VULN|3BPWR|4MBVNT|5LHND|6ASPD|8CDMG|9RCR|aDMG
91	21632 11351	 * 	179.36	DCR|2VULN|2DMG|1AART|2ASPD	1AART|2aVULN|3CANHEL|4aASPD|5DUST|68DMG|7RCR|9aCGEN|aBPWR
92	21413 68412	   	179.32	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|236VULN|3BPWR|4MBVNT|5BELT|7DMG|8RCR|9DUR|aZMB
93	21632 11321	   	179.16	DCR|2VULN|2DMG|1AART|2ASPD	1AART|2aVULN|3CANHEL|4aASPD|5DUST|68DMG|7RCR|9aTLV|aBPWR
94	21632 31341	   	179.16	DCR|2VULN|2DMG|1AART|2ASPD	1AART|2aVULN|3CANHEL|4aASPD|59DUST|6ERES|7RCR|8aDMG|aBPWR
95	21215 33124	   	179.02	ACR|3VULN|2AART|2DUR|1ZMB	18AART|27aVULN|3DLOT|4RCR|5ZMB|6aDUR|9aBEXP|aBPWR
96	21213 26632	   	178.83	ACR|4VULN|1AART|1CDMG|1DUR	1AART|2578VULN|3DLOT|4RCR|6DUR|9RMIN|aCDMG
97	21215 43114	   	178.82	ACR|3VULN|2AART|2DUR|1ZMB	18AART|27aVULN|3DLOT|4RCR|5ZMB|6aDUST|9aDUR|aBPWR
98	21215 33154	   	178.82	ACR|3VULN|2AART|2DUR|1ZMB	18AART|27aVULN|3DLOT|4RCR|5ZMB|6aDUR|9aDUST|aBPWR
99	21211 23345	   	178.57	ACR|2VULN|2DMG|1AART|2DUR	1AART|29VULN|3DLOT|4RCR|5RPLT|6aDUR|79DMG|89CGEN|9BPWR
100	21213 16134	   	178.40	ACR|4VULN|1AART|2CDMG	1AART|257aVULN|3DLOT|4RCR|6aLHND|8RPLT|9aCDMG|aBPWR
101	21213 62164	   	178.30	ACR|4VULN|1AART|2CDMG	1AART|257aVULN|3DLOT|4RCR|68RMIN|9aCDMG|aBPWR
102	21161 23323	 * 	178.28	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD	16AART|2VULN|3ASPD|4LHND|5RCR|7CDMG|8FEWX|9aDMG
103	21161 23623	   	178.28	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD	16AART|2VULN|3ASPD|4LHND|5RCR|7CDMG|8LWND|9aDMG
104	24161 21323	   	178.28	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD	16AART|2LWND|3ASPD|4LHND|5RCR|7VULN|8CDMG|9aDMG
105	21161 24323	   	178.28	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD	16AART|2VULN|3ASPD|4LHND|5RCR|7FEWX|8CDMG|9aDMG
106	21161 13136	 * 	178.18	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	19AART|2aVULN|3ASPD|4LHND|5RCR|6CDMG|7DMG|8ERES
107	21161 21363	   	178.18	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	16AART|27VULN|3ASPD|4LHND|5RCR|8CDMG|9MBVNT|aDMG
108	21418 42822	   	178.16	DCR|4VULN|1AART|1ZMB|1DUR	1AART|2358VULN|3BPWR|4MBVNT|6RCR|7LWND|9DUR|aZMB
109	21418 47223	   	178.16	DCR|4VULN|1AART|1ZMB|1ASPD	1AART|2359VULN|3BPWR|4MBVNT|6RCR|7ASPD|8BELT|aZMB
110	21121 16514	   	178.15	DCR|3VULN|2AART|2ASPD|1DUR	19AART|258VULN|37ASPD|4LIT|6RCR|aDUR
111	21121 11212	   	178.15	DCR|3VULN|2AART|1CDMG|1ASPD	19AART|25aVULN|3ASPD|4LIT|6RCR|7DUST|8CDMG
112	21423 62325	 * 	178.12	DCR|4VULN|2AART|1CDMG	17AART|236aVULN|3BPWR|4CDMG|5FEWX|8ERES|9RCR
113	21213 26166	   	178.00	ACR|5VULN|1AART|1DUR	1AART|2579aVULN|3DLOT|4RCR|6DUR|8RPLT
114	21213 26652	   	178.00	ACR|5VULN|1AART|1DUR	1AART|25789VULN|3DLOT|4RCR|6DUR|aMLV
115	21344 21311	   	177.95	DCR|2VULN|2DMG|1AART|2DUR	1AART|26VULN|3ERES|4RPLT|59DMG|7RCR|8aDUR
116	21213 44352	   	177.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1aAART|25VULN|3DLOT|4RCR|6ZMB|7RPLT|8DUR|9DMG
117	21215 33125	   	177.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	18AART|27VULN|3DLOT|4RCR|5ZMB|6DUR|9BEXP|aDMG
118	21215 33252	   	177.93	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1aAART|27VULN|3DLOT|4RCR|5ZMB|6DUR|8RPLT|9DMG
119	21213 26653	   	177.90	ACR|5VULN|1AART|1DUR	1AART|25789VULN|3DLOT|4RCR|6DUR|aDUST
120	21213 16135	 * 	177.85	ACR|3VULN|1AART|1DMG|1CDMG	1AART|257VULN|3DLOT|4RCR|6LHND|8RPLT|9CDMG|aDMG
121	21213 16432	   	177.85	ACR|3VULN|1AART|1DMG|1CDMG	1AART|257VULN|3DLOT|4RCR|6LHND|8LWND|9DMG|aCDMG
122	21161 14353	   	177.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|27VULN|3ASPD|4LHND|5RCR|6CDMG|8FEWX|9ZMB|aDMG
123	21122 16515	 * 	177.84	ACR|3VULN|2AART|2ASPD|1ZMB	19AART|268VULN|37ASPD|4LIT|5RCR|aZMB
124	21215 43115	   	177.83	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	18AART|27VULN|3DLOT|4RCR|5ZMB|6DUST|9DUR|aDMG
125	21215 33136	   	177.83	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	18AART|27VULN|3DLOT|4RCR|5ZMB|6DUR|9MBVNT|aDMG
126	21215 33145	   	177.83	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	18AART|27VULN|3DLOT|4RCR|5ZMB|6DUR|9LEGI|aDMG
127	21215 33155	   	177.83	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	18AART|27VULN|3DLOT|4RCR|5ZMB|6DUR|9DUST|aDMG
128	21211 46632	   	177.75	ACR|3VULN|1AART|1DMG|1CDMG	1AART|27aVULN|3DLOT|4RCR|5RPLT|6TLV|8CDMG|9DMG
129	21161 11123	   	177.74	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1AART|2VULN|3ASPD|4LHND|5RCR|6CDMG|7ZMB|8ERES|9aDMG
130	21161 13153	   	177.74	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1AART|2VULN|3ASPD|4LHND|5RCR|6CDMG|7aDMG|8ERES|9ZMB
131	21161 14253	   	177.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|27VULN|3ASPD|4LHND|5RCR|6CDMG|8DUST|9ZMB|aDMG
132	21121 16245	   	177.71	DCR|3VULN|1AART|2ASPD|1ZMB|1DUR	1AART|25aVULN|37ASPD|4LIT|6RCR|8ZMB|9DUR
133	21211 53222	   	177.58	ACR|2AART|2VULN|2DMG	17AART|29VULN|3DLOT|4RCR|5RPLT|6aDMG|8LIT
134	21621 16224	 * 	177.35	DCR|3VULN|1AART|3CDMG|2DUR	1AART|28aVULN|3CANHEL|48DUR|5RPLT|678CDMG|8BPWR|9RCR
135	21222 56232	   	177.33	DCR|3VULN|1AART|1DMG|1CDMG	1AART|289VULN|3DLOT|4ERES|5DMG|6CGEN|7RCR|aCDMG
136	21241 64323	   	177.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|29VULN|3DLOT|4ZMB|5LIT|6CDMG|7DUR|8RCR|aDMG
137	21418 44312	   	177.18	DCR|3VULN|1AART|1DMG|1ZMB	1AART|235VULN|3BPWR|4MBVNT|6RCR|7LHND|8RPLT|9DMG|aZMB
138	21418 46312	   	177.18	DCR|3VULN|1AART|1DMG|1ZMB	1AART|235VULN|3BPWR|4MBVNT|6RCR|7BEXP|8RPLT|9DMG|aZMB
139	23226 51511	 * 	177.16	DCR|2DMG|1AART|2ZMB|2ASPD|1CDMG|1DUR	1AART|2aASPD|3CDMG|4LEGI|5aZMB|6DUST|7RCR|8DUR|9aDMG|aBPWR
140	12325 43122	   	177.11	DCR|3DMG|2VULN|1AART|1DUR	1RCVC|24VULN|36CGEN|567DMG|6BPWR|8AART|9DUR|aRCR
141	21418 45312	   	177.08	DCR|3VULN|1AART|1DMG|1ZMB	1AART|235VULN|3BPWR|4MBVNT|6RCR|7LEGI|8RPLT|9DMG|aZMB
142	21121 43235	   	176.92	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|25aVULN|3ASPD|4LIT|6ERES|7DMG|8ZMB|9RCR
143	12625 43122	   	176.91	DCR|3DMG|2VULN|1AART|1DUR	1RCVC|24VULN|36TLV|567DMG|6BPWR|8AART|9DUR|aRCR
144	21215 33112	   	176.82	ACR|2AART|2VULN|1CDMG|2DUR|1ZMB	18AART|27VULN|3DLOT|4RCR|5ZMB|69DUR|aCDMG
145	21344 21253	   	176.72	DCR|2VULN|2DMG|1AART|1ZMB	1AART|26VULN|3ERES|4RPLT|5aDMG|7RCR|8CGEN|9ZMB
146	21213 26642	 * 	176.62	ACR|4VULN|2AART|1DUR	1aAART|2578VULN|3DLOT|4RCR|6DUR|9LWND
147	21213 26426	   	176.43	ACR|3VULN|1AART|1DMG|2DUR	1AART|257VULN|3DLOT|4RCR|69DUR|8LWND|aDMG
148	21213 42412	   	176.18	ACR|4VULN|1AART|1ZMB|1DUR	1AART|257aVULN|3DLOT|4RCR|6ZMB|8BEXP|9DUR
149	21213 42612	   	176.18	ACR|4VULN|1AART|1ZMB|1DUR	1AART|257aVULN|3DLOT|4RCR|6ZMB|8LHND|9DUR
150	21213 43212	   	176.18	ACR|4VULN|1AART|1ZMB|1DUR	1AART|258aVULN|3DLOT|4RCR|6ZMB|7LHND|9DUR
151	21212 63163	   	176.07	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2aVULN|3DLOT|4RCR|5DUR|6CDMG|7LIT|8DMG|9ASPD
152	21212 63126	   	176.07	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|29VULN|3DLOT|4RCR|5DUR|6CDMG|7LIT|8DMG|aASPD
153	21212 64226	 * 	176.07	ACR|3VULN|2AART|1CDMG|1DUR	18AART|27aVULN|3DLOT|4RCR|5DUR|6CDMG|9LEGI
154	21344 21331	   	176.01	DCR|3VULN|1AART|1DMG|2DUR	1AART|269VULN|3ERES|4RPLT|5DMG|7RCR|8aDUR
155	21321 31311	   	176.01	DCR|4VULN|1AART|1CDMG|1DUR	1AART|2567VULN|3ERES|4LIT|8RCR|9DUR|aCDMG
156	21122 16541	 * 	175.97	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	1AART|268VULN|37ASPD|4LIT|5RCR|9DUR|aCDMG
157	21213 42365	   	175.73	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1AART|257VULN|3DLOT|4RCR|6ZMB|8RCVC|9CDMG|aASPD
158	25234 11111	 * 	175.72	DCR|4VULN|2AART|2ASPD	19AART|2BASHEA|3567VULN|45ASPD|5BPWR|8CGEN|aRCR
159	21551 15213	   	175.55	ACR|3DMG|1AART|1VULN|1CDMG	1AART|2VULN|3BEXP|4CGEN|5RCR|6CDMG|79aDMG|8LHND
160	21413 68421	   	175.48	DCR|4VULN|1AART|1DMG	1AART|2369VULN|3BPWR|4MBVNT|5BELT|7DMG|8RCR|aFEWX
161	21413 68422	   	175.48	DCR|4VULN|1AART|1DMG	1AART|2369VULN|3BPWR|4MBVNT|5BELT|7DMG|8RCR|aDMSP
162	21413 68424	   	175.48	DCR|4VULN|1AART|1DMG	1AART|2369VULN|3BPWR|4MBVNT|5BELT|7DMG|8RCR|aLIT
163	21212 64125	   	175.45	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|27VULN|3DLOT|4RCR|5DUR|6aCDMG|8DMG|9RPLT
164	21212 64131	   	175.45	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|27VULN|3DLOT|4RCR|5DUR|69CDMG|8DMG|aRPLT
165	21212 64132	   	175.45	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|27VULN|3DLOT|4RCR|5DUR|69CDMG|8DMG|aFEWX
