0	Index      	 *	Score 	Summary	Detail	
1	13112 61626	 * 	220.42	DCR|3VULN|3DMG|3CDMG|1AART	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9RPLT|aAART
23	13112 61623	   	197.12	DCR|3VULN|3DMG|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9RPLT|aTLV
24	13112 61631	   	197.12	DCR|3VULN|3DMG|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9BELT|aDUST
25	13112 61632	   	197.12	DCR|3VULN|3DMG|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9BELT|aAIRHEL
26	13112 61651	   	197.12	DCR|3VULN|3DMG|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9DUST|aBEXP
27	13112 61652	   	197.12	DCR|3VULN|3DMG|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9DUST|aMGNSTR
28	13112 61653	   	197.12	DCR|3VULN|3DMG|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9DUST|aFEWX
29	13112 61661	   	197.12	DCR|3DMG|3VULN|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9ERES|aBEXP
30	13112 61662	   	197.12	DCR|3VULN|3DMG|3CDMG	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9ERES|aCGEN
31	13112 61663	   	197.12	DCR|3DMG|3VULN|3CDMG	178CDMG|2aLWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9ERES
32	13112 61633	   	196.98	DCR|3VULN|3DMG|3CDMG|1SELL	178CDMG|2LWND|3LEGI|478VULN|578DMG|6RCR|78BPWR|9BELT|aSELL
33	12234 21433	   	195.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2ZMB|35VULN|4aDMG|6RCR|7RPLT|8AART|9DUR
34	56313 42733	 * 	195.54	ACR|3VULN|2DMG|1AART|1CDMG	1MBVNT|2RCR|3CDMG|46aVULN|56LHND|6BPWR|78DMG|9AART
35	13116 61624	 * 	195.41	DCR|3VULN|3ZMB|3CDMG|1AART	178CDMG|2LWND|3LEGI|478VULN|578ZMB|6RCR|78BPWR|9MBVNT|aAART
36	56832 13211	 * 	193.80	ACR|3VULN|3DMG|3ASPD	1MBVNT|2RCR|35aASPD|458DMG|5aBPWR|69aVULN|7aMLV
37	56832 41211	   	193.60	ACR|3VULN|3DMG|3ASPD	1MBVNT|2RCR|35aASPD|458DMG|5aBPWR|6aERES|79aVULN
38	56832 13444	   	193.43	ACR|2VULN|2DMG|1AART|2ASPD|1CDMG	1MBVNT|2RCR|35ASPD|45DMG|5BPWR|68VULN|7MLV|9AART|aCDMG
39	35314 22331	   	193.40	DCR|5VULN|2DMG|1ZMB	1RPLT|23459VULN|6RCR|79CGEN|89DMG|9BPWR|aZMB
40	35314 25331	   	193.40	DCR|5VULN|2DMG|1ZMB	1RPLT|23459VULN|6RCR|79MLV|89DMG|9BPWR|aZMB
41	35414 22331	   	193.40	DCR|5VULN|2DMG|1ZMB	1RPLT|23459VULN|39BPWR|6RCR|79CGEN|89DMG|aZMB
42	12213 22621	   	193.37	DCR|3VULN|2DMG|2CDMG|1ZMB	18CDMG|2ZMB|38aVULN|4ASPD|5LWND|6RCR|78DMG|8BPWR|9LHND
43	12215 22621	   	193.37	DCR|3VULN|2DMG|2CDMG|1ZMB	18CDMG|2ZMB|38aVULN|4ASPD|5FEWX|6RCR|78DMG|8BPWR|9LHND
44	12215 22641	   	193.27	DCR|3VULN|2DMG|2CDMG|1ZMB	18CDMG|2ZMB|38aVULN|4ASPD|5FEWX|6RCR|78DMG|8BPWR|9LEGI
45	12215 22661	   	193.27	DCR|3VULN|2DMG|2CDMG|1ZMB	18CDMG|2ZMB|38aVULN|4ASPD|5FEWX|6RCR|78DMG|8BPWR|9MBVNT
46	56312 84341	 * 	192.25	ACR|4VULN|2DMG|2CDMG	1MBVNT|2RCR|3aCDMG|469aVULN|5aDMG|7RPLT|8BELT|aBPWR
47	12213 22663	   	191.72	DCR|3VULN|3DMG|3CDMG|1ZMB|1MSE	189CDMG|2ZMB|389VULN|4ASPD|5LWND|6RCR|789DMG|89BPWR|aMSE
48	56434 51324	   	191.52	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1MBVNT|2RCR|35DUR|45VULN|5BPWR|67DMG|8CDMG|9LHND|aAART
49	56434 51344	   	191.52	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1MBVNT|2RCR|35DUR|45VULN|5BPWR|67DMG|8CDMG|9LWND|aAART
50	56312 31721	 * 	191.33	ACR|3DMG|2VULN|3CDMG	1MBVNT|2RCR|378CDMG|49VULN|578DMG|678BEXP|78BPWR|aDUR
51	56832 13442	 * 	191.23	ACR|2VULN|2DMG|2AART|2ASPD	1MBVNT|2RCR|35ASPD|45DMG|5BPWR|68VULN|7MLV|9aAART
52	56832 13441	   	190.79	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	1MBVNT|2RCR|35ASPD|45DMG|5BPWR|68VULN|7MLV|9AART|aZMB
53	12211 44225	   	190.72	DCR|3VULN|2DMG|2CDMG|1ZMB|1SELL	1aCDMG|2ZMB|38aVULN|4ASPD|5LIT|6aDMG|7RCR|9SELL|aBPWR
