0	Index      	 *	Score 	Summary	Detail	
1	21252 13536	 * 	207.13	ACR|2AART|2VULN|2DMG|1CDMG|1ZMB	1aAART|2RCR|3MLV|46VULN|5ZMB|78DMG|9CDMG
34	26324 33684	   	190.83	ACR|3VULN|2AART|2DMG	12AART|3RCVC|4MBVNT|5RCR|69aVULN|78DMG
35	21252 11412	   	190.33	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR|1ZMB	1AART|2RCR|3MLV|46VULN|5ZMB|79DUR|8FLTHEA|aDMG
36	21452 11412	   	190.33	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR|1ZMB	1AART|2RCR|3CGEN|46VULN|5ZMB|79DUR|8FLTHEA|aDMG
37	21252 13236	   	189.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1aAART|2RCR|3MLV|46VULN|5ZMB|7DMG|8RCVC|9CDMG
38	21113 23334	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	13AART|2RCR|4LWND|5CGEN|67DMG|8ZMB|9CDMG|aVULN
39	21165 23334	   	189.55	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	13AART|2RCR|4CGEN|5LWND|67DMG|8ZMB|9CDMG|aVULN
40	21412 11462	   	189.55	ACR|2AART|2VULN|1DMG|1FLTHEA|1ZMB	19AART|2RCR|3CGEN|4LWND|5ZMB|67VULN|8FLTHEA|aDMG
41	21151 26333	   	189.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	13AART|2RCR|4aVULN|5LIT|6ZMB|7DMG|8DUST|9CDMG
42	21151 26531	   	189.45	ACR|2AART|2VULN|1DMG|2ASPD|1ZMB	13AART|2RCR|49VULN|5LIT|6ZMB|7DMG|8aASPD
43	21112 13216	   	189.42	ACR|2AART|2DMG|2VULN|1DUR	13AART|2RCR|4LWND|5LHND|6aVULN|79DMG|8DUR
44	21114 13216	   	189.42	ACR|2AART|2VULN|2DMG|1DUR	13AART|2RCR|4LWND|5FEWX|6aVULN|79DMG|8DUR
45	21152 13514	   	189.42	ACR|2AART|2VULN|2DMG|1DUR	13AART|2RCR|46VULN|5LHND|78DMG|9DUR|aRPLT
46	21152 13515	   	189.42	ACR|2AART|2DMG|2VULN|1DUR	13AART|2RCR|46VULN|5LHND|78DMG|9DUR|aCGEN
47	21152 13516	   	189.42	ACR|2AART|2VULN|2DMG|1DUR	13AART|2RCR|46VULN|5LHND|78DMG|9DUR|aRMIN
48	21152 13562	   	189.42	ACR|2AART|2VULN|2DMG|1DUR	13AART|2RCR|46VULN|59LHND|78DMG|aDUR
49	21156 31222	   	189.32	ACR|2AART|2VULN|2DMG|1ASPD	13AART|2RCR|46VULN|5NUKE|6BPWR|79DMG|8BEXP|aASPD
50	21156 31512	   	189.32	ACR|2AART|2DMG|2VULN|1DUR	13AART|2RCR|46VULN|5NUKE|6BPWR|78DMG|9CGEN|aDUR
51	21152 63216	   	189.32	ACR|2AART|2VULN|2DMG|1DUR	13AART|2RCR|4aVULN|5LHND|6DUST|79DMG|8DUR
52	21152 13511	   	189.32	ACR|2AART|2VULN|2DMG|1DUR	13AART|2RCR|46VULN|5LHND|78DMG|9DUR|aBASHEA
53	21152 13513	   	189.32	ACR|2AART|2VULN|2DMG|1DUR	13AART|2RCR|46VULN|5LHND|78DMG|9DUR|aMBVNT
54	21154 13511	   	189.32	ACR|2AART|2VULN|2DMG|1DUR	13AART|2RCR|46VULN|5FEWX|78DMG|9DUR|aBASHEA
55	21154 13513	   	189.32	ACR|2AART|2VULN|2DMG|1DUR	13AART|2RCR|46VULN|5FEWX|78DMG|9DUR|aMBVNT
56	21214 11432	   	189.26	ACR|3VULN|1AART|1DMG|2FLTHEA	1AART|2RCR|39MLV|4LWND|5RMIN|679VULN|89FLTHEA|9BPWR|aDMG
57	21414 11432	   	189.26	ACR|3VULN|1AART|1DMG|2FLTHEA	1AART|2RCR|39CGEN|4LWND|5RMIN|679VULN|89FLTHEA|9BPWR|aDMG
58	21434 11432	   	189.26	ACR|3VULN|1AART|1DMG|2FLTHEA	1AART|2RCR|39CGEN|4FEWX|5RMIN|679VULN|89FLTHEA|9BPWR|aDMG
59	21634 11432	   	189.16	ACR|3VULN|1AART|2FLTHEA|1DMG	1AART|2RCR|39FEWX|4ERES|5RMIN|679VULN|89FLTHEA|9BPWR|aDMG
60	21663 11432	   	189.16	ACR|3VULN|1AART|1DMG|2FLTHEA	1AART|2RCR|39FEWX|4NUKE|5MLV|679VULN|89FLTHEA|9BPWR|aDMG
61	21252 13514	   	188.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3MLV|46VULN|5ZMB|78DMG|9DUR|aRPLT
62	21252 13515	   	188.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3MLV|46VULN|5ZMB|78DMG|9DUR|aCGEN
63	21252 13516	   	188.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3MLV|46VULN|5ZMB|78DMG|9DUR|aRMIN
64	21212 13216	   	188.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3MLV|4LWND|5ZMB|6aVULN|79DMG|8DUR
65	21252 43216	   	188.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3MLV|4aVULN|5ZMB|6BEXP|79DMG|8DUR
66	21352 13216	   	188.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3LHND|4CGEN|5ZMB|6aVULN|79DMG|8DUR
67	21412 13216	   	188.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3CGEN|4LWND|5ZMB|6aVULN|79DMG|8DUR
68	21432 13216	   	188.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3CGEN|4FEWX|5ZMB|6aVULN|79DMG|8DUR
69	21252 13511	   	188.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3MLV|46VULN|5ZMB|78DMG|9DUR|aCANHEL
70	21252 13513	   	188.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3MLV|46VULN|5ZMB|78DMG|9DUR|aMBVNT
71	21452 13511	   	188.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3CGEN|46VULN|5ZMB|78DMG|9DUR|aCANHEL
72	21452 13513	   	188.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3CGEN|46VULN|5ZMB|78DMG|9DUR|aMBVNT
73	21252 63216	   	188.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3MLV|4aVULN|5ZMB|6DUST|79DMG|8DUR
74	21332 13216	   	188.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3LHND|4ERES|5ZMB|6aVULN|79DMG|8DUR
75	21632 13216	   	188.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3FEWX|4ERES|5ZMB|6aVULN|79DMG|8DUR
76	21652 13216	   	188.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2RCR|3FEWX|4TLV|5ZMB|6aVULN|79DMG|8DUR
77	21151 22316	 * 	188.87	ACR|3VULN|2AART|3ZMB	13AART|2RCR|49aVULN|5LIT|679ZMB|89TLV|9BPWR
78	21152 13436	   	187.49	ACR|3VULN|2AART|1DMG|1DUR	13AART|2RCR|46aVULN|5LHND|7DMG|8BEXP|9DUR
79	21152 13336	   	187.39	ACR|3VULN|2AART|1DMG|1DUR	13AART|2RCR|46aVULN|5LHND|7DMG|8DUST|9DUR
80	21252 13436	   	187.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|2RCR|3MLV|46aVULN|5ZMB|7DMG|8BEXP|9DUR
81	21452 13262	   	187.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|2RCR|3CGEN|469VULN|5ZMB|7DMG|8RCVC|aDUR
82	21662 13236	   	186.94	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|2RCR|3FEWX|4NUKE|5ZMB|68aVULN|7DMG|9DUR
83	21623 21442	   	186.89	ACR|3VULN|2DMG|1AART	1AART|2RCR|39aFEWX|46LIT|569VULN|69BPWR|7LEGI|89DMG
84	21623 21443	   	186.89	ACR|3VULN|2DMG|1AART	1AART|2RCR|39FEWX|46LIT|569VULN|69BPWR|7LEGI|89DMG|aMLV
85	21623 21441	   	186.79	ACR|3VULN|2DMG|1AART	1AART|2RCR|39FEWX|46LIT|569VULN|69BPWR|7LEGI|89DMG|aDUST
86	21152 13551	   	186.75	ACR|3AART|2VULN|2DMG	13aAART|2RCR|46VULN|5LHND|78DMG|9RPLT
87	21112 13151	   	186.71	ACR|3AART|2DMG|2VULN|1SELL	13aAART|2RCR|49LWND|5LHND|69VULN|79DMG|8SELL|9BPWR
88	21114 13151	   	186.71	ACR|3AART|2DMG|2VULN|1SELL	13aAART|2RCR|49LWND|5FEWX|69VULN|79DMG|8SELL|9BPWR
89	21151 22121	   	186.69	ACR|2AART|2VULN|1DMG|2ZMB|1ASPD	13AART|2RCR|48VULN|5LIT|67ZMB|9ASPD|aDMG
90	21344 13152	   	186.64	ACR|3VULN|2DMG|1AART|1SELL	1AART|2RCR|349LHND|5FEWX|69aVULN|79DMG|8SELL|9BPWR
91	21642 13152	   	186.64	ACR|3VULN|2DMG|1AART|1SELL	1AART|2RCR|39FEWX|45LHND|69aVULN|79DMG|8SELL|9BPWR
92	21343 13152	   	186.54	ACR|3VULN|2DMG|1AART|1SELL	1AART|2RCR|349LHND|5DUST|69aVULN|79DMG|8SELL|9BPWR
93	21152 63151	   	186.51	ACR|3AART|2DMG|2VULN|1SELL	13aAART|2RCR|49VULN|5LHND|69DUST|79DMG|8SELL|9BPWR
94	15625 22231	   	185.72	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	19ASPD|29DMG|3RCR|4LHND|5RMIN|6DUR|7AART|89VULN|9BPWR|aRCVC
95	15625 22233	   	185.72	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	19ASPD|29DMG|3RCR|4aLHND|5RMIN|6DUR|7AART|89VULN|9BPWR
96	16323 14126	 * 	185.56	DCR|2VULN|2DMG|2CDMG|2ASPD|2DUR	18ASPD|28CDMG|37DUR|4CGEN|58DMG|6RCR|8BPWR|9aVULN
97	21151 62422	   	185.48	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	13AART|2RCR|4aVULN|5LIT|6DUR|7LWND|8DMG|9CDMG
98	21151 63422	   	185.48	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	13AART|2RCR|4aVULN|5LIT|6DUR|7BEXP|8DMG|9CDMG
99	21152 13223	   	185.48	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	13AART|2RCR|46VULN|5LHND|7DMG|8BELT|9DUR|aCDMG
100	21152 13461	   	185.48	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2RCR|46VULN|5LHND|7DMG|8BEXP|9FLTHEA|aDUR
101	21112 13561	   	185.48	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2RCR|4LWND|5LHND|68VULN|7DMG|9FLTHEA|aDUR
102	21156 31161	   	185.38	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2RCR|46VULN|5NUKE|6BPWR|7DMG|8RPLT|9FLTHEA|aDUR
103	21156 31331	   	185.38	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	13AART|2RCR|46VULN|5NUKE|6BPWR|7DMG|8ASPD|9CDMG|aBEXP
104	21156 31332	   	185.38	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	13AART|2RCR|46VULN|5NUKE|6BPWR|7DMG|8ASPD|9CDMG|aFEWX
105	21156 31335	   	185.38	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	13AART|2RCR|46VULN|5NUKE|6BPWR|7DMG|8ASPD|9CDMG|aCGEN
106	21156 31336	   	185.38	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	13AART|2RCR|46VULN|5NUKE|6BPWR|7DMG|8ASPD|9CDMG|aDMSP
107	21151 61422	   	185.38	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	13AART|2RCR|4aVULN|5LIT|6DUR|7LEGI|8DMG|9CDMG
108	21152 13361	   	185.38	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2RCR|46VULN|5LHND|7DMG|8DUST|9FLTHEA|aDUR
109	21156 31333	   	185.28	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	13AART|2RCR|46VULN|5NUKE|6BPWR|7DMG|8ASPD|9CDMG|aDUST
110	21156 31334	   	185.28	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	13AART|2RCR|46VULN|5NUKE|6BPWR|7DMG|8ASPD|9CDMG|aERES
111	15625 12232	   	185.10	ACR|2VULN|2DMG|1AART|3ASPD	19aASPD|29DMG|3RCR|4LHND|5RMIN|6BEXP|7AART|89VULN|9BPWR
112	15625 32232	   	185.10	ACR|2VULN|2DMG|1AART|3ASPD	19aASPD|29DMG|3RCR|4LHND|5RMIN|6FEWX|7AART|89VULN|9BPWR
113	15636 22232	   	185.10	ACR|2VULN|2DMG|1AART|3ASPD	19aASPD|29DMG|3RCR|4RMIN|5BEXP|6LWND|7AART|89VULN|9BPWR
114	21252 11431	   	185.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3MLV|46VULN|5ZMB|7DUR|8FLTHEA|9BEXP|aDMG
115	21252 11462	   	185.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|39MLV|46VULN|5ZMB|7DUR|8FLTHEA|aDMG
116	21452 11431	   	185.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3CGEN|46VULN|5ZMB|7DUR|8FLTHEA|9BEXP|aDMG
117	21452 13236	   	185.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2RCR|3CGEN|46VULN|5ZMB|7DMG|8RCVC|9CDMG|aDUR
118	21252 41411	   	185.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3MLV|47VULN|5ZMB|6BEXP|8FLTHEA|9DUR|aDMG
119	21252 41421	   	185.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3MLV|47VULN|5ZMB|6BEXP|8FLTHEA|9DMG|aDUR
120	21212 11411	   	185.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3MLV|4LWND|5ZMB|67VULN|8FLTHEA|9DUR|aDMG
121	21212 11421	   	185.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3MLV|4LWND|5ZMB|67VULN|8FLTHEA|9DMG|aDUR
122	21352 11411	   	185.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3LHND|4CGEN|5ZMB|67VULN|8FLTHEA|9DUR|aDMG
123	21352 11421	   	185.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3LHND|4CGEN|5ZMB|67VULN|8FLTHEA|9DMG|aDUR
124	21412 11411	   	185.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3CGEN|4LWND|5ZMB|67VULN|8FLTHEA|9DUR|aDMG
125	21412 11421	   	185.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3CGEN|4LWND|5ZMB|67VULN|8FLTHEA|9DMG|aDUR
126	21432 11411	   	185.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3CGEN|4FEWX|5ZMB|67VULN|8FLTHEA|9DUR|aDMG
127	21432 11421	   	185.04	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3CGEN|4FEWX|5ZMB|67VULN|8FLTHEA|9DMG|aDUR
128	21252 61411	   	184.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3MLV|47VULN|5ZMB|6DUST|8FLTHEA|9DUR|aDMG
129	21252 61421	   	184.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3MLV|47VULN|5ZMB|6DUST|8FLTHEA|9DMG|aDUR
130	21332 11411	   	184.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3LHND|4ERES|5ZMB|67VULN|8FLTHEA|9DUR|aDMG
131	21332 11421	   	184.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3LHND|4ERES|5ZMB|67VULN|8FLTHEA|9DMG|aDUR
132	21632 11411	   	184.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3FEWX|4ERES|5ZMB|67VULN|8FLTHEA|9DUR|aDMG
133	21632 11421	   	184.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3FEWX|4ERES|5ZMB|67VULN|8FLTHEA|9DMG|aDUR
134	21652 11411	   	184.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3FEWX|4TLV|5ZMB|67VULN|8FLTHEA|9DUR|aDMG
135	21652 11421	   	184.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3FEWX|4TLV|5ZMB|67VULN|8FLTHEA|9DMG|aDUR
136	21662 13261	   	184.94	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2RCR|3FEWX|4NUKE|5ZMB|68VULN|7DMG|9FLTHEA|aDUR
137	15631 42232	   	184.90	ACR|2VULN|2DMG|1AART|3ASPD	19aASPD|29DMG|3RCR|4RMIN|5LEGI|6MBVNT|7AART|89VULN|9BPWR
138	21344 13153	   	184.64	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	1AART|2RCR|349LHND|5FEWX|69VULN|79DMG|8SELL|9BPWR|aCDMG
139	21642 13153	   	184.64	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	1AART|2RCR|39FEWX|45LHND|69VULN|79DMG|8SELL|9BPWR|aCDMG
140	21212 11432	   	184.61	ACR|2VULN|1AART|2FLTHEA|1DMG|1ZMB	1AART|2RCR|39MLV|49LWND|5ZMB|67VULN|89FLTHEA|9BPWR|aDMG
141	21412 11432	   	184.61	ACR|2VULN|1AART|1DMG|2FLTHEA|1ZMB	1AART|2RCR|39CGEN|49LWND|5ZMB|67VULN|89FLTHEA|9BPWR|aDMG
142	21432 11432	   	184.61	ACR|2VULN|1AART|1DMG|2FLTHEA|1ZMB	1AART|2RCR|39CGEN|49FEWX|5ZMB|67VULN|89FLTHEA|9BPWR|aDMG
143	21343 13153	   	184.54	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	1AART|2RCR|349LHND|5DUST|69VULN|79DMG|8SELL|9BPWR|aCDMG
144	21632 11432	   	184.41	ACR|2VULN|1AART|2FLTHEA|1DMG|1ZMB	1AART|2RCR|39FEWX|49ERES|5ZMB|67VULN|89FLTHEA|9BPWR|aDMG
145	21652 11432	   	184.41	ACR|2VULN|1AART|2FLTHEA|1DMG|1ZMB	1AART|2RCR|39FEWX|49TLV|5ZMB|67VULN|89FLTHEA|9BPWR|aDMG
146	22154 12432	 * 	183.74	DCR|3VULN|1AART|1DMG|2FLTHEA	1AART|29DUST|3TLV|469VULN|5RMIN|7RCR|89FLTHEA|9BPWR|aDMG
147	21623 22422	   	182.85	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3FEWX|46LIT|56aVULN|6BPWR|7LWND|8DMG|9CDMG
148	21623 23422	   	182.85	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3FEWX|46LIT|56aVULN|6BPWR|7BEXP|8DMG|9CDMG
149	21151 26532	   	182.83	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	13AART|2RCR|49VULN|5LIT|6ZMB|7DMG|8ASPD|aRCVC
150	21151 26533	   	182.83	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	13AART|2RCR|49VULN|5LIT|6ZMB|7DMG|8ASPD|aLHND
151	21212 13236	   	182.83	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	19AART|2RCR|3MLV|4LWND|5ZMB|6aVULN|7DMG|8DUR
152	21252 43336	   	182.83	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	18AART|2RCR|3MLV|4aVULN|5ZMB|6BEXP|7DMG|9DUR
153	21412 13236	   	182.83	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	19AART|2RCR|3CGEN|4LWND|5ZMB|6aVULN|7DMG|8DUR
154	21152 11536	   	182.81	ACR|3AART|2VULN|1DMG|1CDMG	13aAART|2RCR|46VULN|5LHND|7RCVC|8DMG|9CDMG
155	21623 21422	   	182.75	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3FEWX|46LIT|56aVULN|6BPWR|7LEGI|8DMG|9CDMG
156	21623 62422	   	182.75	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3FEWX|4LIT|56aVULN|7LWND|8DMG|9CDMG
157	21623 63422	   	182.75	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2RCR|3FEWX|4LIT|56aVULN|7BEXP|8DMG|9CDMG
158	21151 26231	   	182.73	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	13AART|2RCR|49VULN|5LIT|6ZMB|7DMG|8ERES|aASPD
159	21156 31351	   	182.73	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	13AART|2RCR|46VULN|5NUKE|6BPWR|7DMG|8ASPD|9ZMB|aBEXP
160	21156 31352	   	182.73	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	13AART|2RCR|46VULN|5NUKE|6BPWR|7DMG|8ASPD|9ZMB|aFEWX
161	21116 23356	   	182.73	ACR|2AART|2DMG|1VULN|1ZMB|1ASPD	13AART|2RCR|4LWND|5NUKE|67DMG|8ASPD|9ZMB|aVULN
