0	Index      	 *	Score 	Summary	Detail	
1	12456 13121	 * 	197.43	DCR|2AART|2DMG|1VULN|2CDMG|2ZMB|1DUR	17CDMG|27ZMB|37DMG|45AART|6RPLT|7BPWR|8RCR|9DUR|aVULN
29	25263 12124	 * 	185.02	DCR|4VULN|3DMG	1LIT|248DMG|3LHND|579aVULN|6RCR
30	66324 12311	   	184.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1ZMB|2RCR|3BEXP|45DMG|6aVULN|7ASPD|8AART|9CGEN
31	42112 14335	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|26LHND|3DUST|4ASPD|568VULN|6BPWR|7RCR|9CDMG|aDMG
32	42312 14335	   	184.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|26LHND|3ASPD|4DUST|568VULN|6BPWR|7RCR|9CDMG|aDMG
33	43521 62322	 * 	184.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2LIT|3MLV|46VULN|5RCR|7DUR|89DMG|aCDMG
34	13322 23723	 * 	183.82	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19CDMG|29DMG|3LWND|4AART|5MBVNT|6DUR|79VULN|8RMIN|9BPWR|aRCR
35	66324 12132	   	183.57	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1ZMB|2RCR|38BEXP|45DMG|69VULN|7ASPD|aAART
36	25663 12123	   	183.15	DCR|3VULN|3DMG|2DUR	1LIT|238DMG|4aDUR|579VULN|6RCR
37	24121 62522	   	183.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1LIT|2TLV|3AART|46VULN|5RCR|7DUR|89DMG|aCDMG
38	12456 13122	   	182.66	DCR|2AART|2DMG|2CDMG|2ZMB|2DUR	17CDMG|27ZMB|37DMG|45AART|6RPLT|7BPWR|8RCR|9aDUR
39	66221 61221	   	182.39	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1ZMB|2RCR|3LWND|4DMG|5AART|6CDMG|7aVULN|8SELL|9ASPD
40	36232 21643	   	182.38	ACR|2VULN|2DMG|1AART|2ASPD	1aASPD|2RCR|3LWND|4aVULN|5AART|6BELT|7FEWX|8MLV|9aDMG|aBPWR
41	13456 13121	   	182.38	DCR|2AART|2DMG|1VULN|2CDMG|1DUR	17CDMG|27DMG|3NUKE|45AART|6RPLT|7BPWR|8RCR|9DUR|aVULN
42	36232 21543	   	182.28	ACR|2VULN|2DMG|1AART|2ASPD	1aASPD|2RCR|3LWND|4aVULN|5AART|6BELT|7FEWX|8TLV|9aDMG|aBPWR
43	13325 22434	 * 	182.04	DCR|3DMG|1AART|1VULN|2CDMG	1aCDMG|256DMG|3LWND|4AART|7RCR|8BEXP|9VULN
44	41322 14334	   	182.02	DCR|3VULN|1AART|2ASPD|1CDMG|1ZMB	1AART|26ASPD|3DUST|4LWND|568VULN|6BPWR|7RCR|9CDMG|aZMB
45	41332 14334	   	182.02	DCR|3VULN|1AART|2ASPD|1CDMG|1ZMB	1AART|26ASPD|3DUST|4LHND|568VULN|6BPWR|7RCR|9CDMG|aZMB
46	13352 12364	 * 	181.91	DCR|2VULN|2DMG|2AART|1CDMG	1CDMG|26DMG|3LWND|45VULN|7BELT|8aAART|9RCR
47	13325 26533	   	181.83	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|256DMG|3LWND|4AART|7VULN|8AIRHEL|9RCR|aZMB
48	43521 62321	   	181.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2LIT|3MLV|46VULN|5RCR|7DUR|89DMG|aZMB
49	61162 16233	 * 	181.69	ACR|3DMG|2VULN|2ZMB|1CDMG	19ZMB|2DUST|39BASHEA|4RCR|5CDMG|6aVULN|789DMG|9BPWR
50	13352 12361	   	181.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|26DMG|3LWND|45VULN|7BELT|8AART|9RCR|aZMB
51	25111 22243	 * 	181.35	DCR|2AART|2DMG|2ASPD|1CDMG|1ZMB|1DUR	19LIT|29DMG|36AART|4ZMB|5DUR|79ASPD|8RCR|9BPWR|aCDMG
52	36232 16121	 * 	181.33	ACR|4VULN|1AART|2ASPD|1DUR	18ASPD|2RCR|36LWND|467aVULN|5AART|6BPWR|9DUR
53	36232 16221	   	181.33	ACR|4VULN|1AART|2ASPD|1DUR	19ASPD|2RCR|36LWND|467aVULN|5AART|6BPWR|8DUR
54	36232 16122	 * 	180.87	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	18ASPD|2RCR|36LWND|467VULN|5AART|6BPWR|9DUR|aCDMG
55	36232 16222	   	180.87	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	19ASPD|2RCR|36LWND|467VULN|5AART|6BPWR|8DUR|aCDMG
56	66324 12332	   	180.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ZMB|2RCR|3BEXP|45DMG|6VULN|7ASPD|8AART|9CDMG|aRMIN
57	66324 12333	   	180.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ZMB|2RCR|3aBEXP|45DMG|6VULN|7ASPD|8AART|9CDMG
58	24121 62521	   	180.47	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1LIT|2TLV|3AART|46VULN|5RCR|7DUR|89DMG|aZMB
59	66221 23131	 * 	180.33	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	1ZMB|2RCR|3LWND|4DMG|56AART|7ERES|8ASPD|9aVULN
60	66321 23131	   	180.33	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	1ZMB|2RCR|3BEXP|4DMG|56AART|7ERES|8ASPD|9aVULN
61	36212 16225	   	180.24	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ASPD|2RCR|3LWND|4CDMG|5VULN|6ZMB|7CGEN|8aDMG|9AART
62	36312 16225	   	180.24	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ASPD|2RCR|3BEXP|4CDMG|5VULN|6ZMB|7CGEN|8aDMG|9AART
63	36633 21225	   	180.14	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ASPD|2RCR|3ERES|4FEWX|5CDMG|6VULN|7ZMB|8aDMG|9AART
64	25231 12125	   	179.92	DCR|3VULN|2DMG|1CDMG|1ZMB	1LIT|28DMG|3LHND|457VULN|6RCR|9CDMG|aZMB
65	25231 12142	   	179.92	DCR|3VULN|2DMG|1CDMG|1ZMB	1LIT|28DMG|3LHND|457VULN|6RCR|9ZMB|aCDMG
66	36236 83322	   	179.73	ACR|2VULN|2AART|1DMG|1ZMB|1ASPD	1ASPD|2RCR|3LWND|48VULN|5MBVNT|6aAART|7DMG|9ZMB
67	31232 14334	   	179.62	DCR|3VULN|1AART|2ASPD|1CDMG|1ZMB	16ASPD|2DUST|3LWND|468VULN|5AART|6BPWR|7RCR|9CDMG|aZMB
68	36213 61262	 * 	179.34	ACR|2VULN|3CDMG|1AART|2ASPD|1ZMB	18ASPD|2RCR|3LWND|478CDMG|5RPLT|68VULN|8BPWR|9AART|aZMB
69	36232 16411	   	179.22	ACR|4VULN|2AART|1ASPD	1ASPD|2RCR|36LWND|467aVULN|58AART|6BPWR|9FEWX
70	36232 16431	   	179.12	ACR|4VULN|2AART|1ASPD	1ASPD|2RCR|36LWND|467aVULN|58AART|6BPWR|9DUST
71	11251 51125	 * 	179.08	DCR|2AART|2VULN|3CDMG|1DMG	137CDMG|27DUST|48AART|57VULN|6RMIN|7BPWR|9RCR|aDMG
72	12454 33111	   	179.04	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	17CDMG|27ZMB|37DMG|4AART|5RPLT|6RCVC|7BPWR|8RCR|9FEWX|aVULN
73	13533 11435	 * 	179.01	DCR|3DMG|3CDMG|1AART|2DUR|1SELL	158CDMG|258DMG|3DMSP|4SELL|58BPWR|6RCR|78DUR|9ERES|aAART
74	36232 16412	   	178.77	ACR|3VULN|2AART|1CDMG|1ASPD	1ASPD|2RCR|36LWND|467VULN|58AART|6BPWR|9FEWX|aCDMG
75	36232 11235	   	178.67	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2RCR|36LWND|46VULN|5AART|6BPWR|7RCVC|8DUR|9CDMG|aDMG
76	36232 16432	   	178.67	ACR|3VULN|2AART|1CDMG|1ASPD	1ASPD|2RCR|36LWND|467VULN|58AART|6BPWR|9DUST|aCDMG
77	36242 14111	 * 	178.57	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1ASPD|2RCR|3LWND|4LHND|5AART|6FLTHEA|7DUR|8aVULN|9DMG
78	36232 16334	   	178.33	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ASPD|2RCR|36LWND|467VULN|5AART|6BPWR|8BEXP|9CDMG|aZMB
79	25123 63112	   	178.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LIT|28DMG|3AART|47VULN|5DUR|6CDMG|9MLV|aRCR
80	25663 12122	   	177.86	DCR|3VULN|3DMG|1DUR	1LIT|238DMG|4DUR|579VULN|6RCR|aFEWX
81	25663 12131	   	177.86	DCR|3VULN|3DMG|1DUR	1LIT|238DMG|4DUR|57aVULN|6RCR|9BEXP
82	25263 12123	   	177.86	DCR|3VULN|3DMG|1DUR	1LIT|248DMG|3LHND|579VULN|6RCR|aDUR
83	66324 13121	   	177.84	ACR|2VULN|2DMG|1AART|1ZMB	1ZMB|2RCR|37BEXP|45DMG|6aVULN|8AART|9MLV
84	66324 13131	   	177.74	ACR|2VULN|2DMG|1AART|1ZMB	1ZMB|2RCR|37BEXP|45DMG|6aVULN|8AART|9TLV
85	66221 34331	   	177.70	ACR|3VULN|1AART|1DMG|1ZMB	1ZMB|2RCR|3LWND|4DMG|5AART|6CGEN|7RMIN|89aVULN
86	66221 36231	   	177.70	ACR|3VULN|1AART|1DMG|1ZMB	1ZMB|2RCR|3LWND|4DMG|5AART|6CGEN|79aVULN|8RMIN
87	66321 34331	   	177.70	ACR|3VULN|1AART|1DMG|1ZMB	1ZMB|2RCR|3BEXP|4DMG|5AART|6CGEN|7RMIN|89aVULN
88	66321 36231	   	177.70	ACR|3VULN|1AART|1DMG|1ZMB	1ZMB|2RCR|3BEXP|4DMG|5AART|6CGEN|79aVULN|8RMIN
89	66221 32331	   	177.60	ACR|3VULN|1AART|1DMG|1ZMB	1ZMB|2RCR|3LWND|4DMG|5AART|6CGEN|7TLV|89aVULN
90	66221 43331	   	177.60	ACR|3VULN|1AART|1DMG|1ZMB	1ZMB|2RCR|3LWND|4DMG|5AART|6TLV|7CGEN|89aVULN
91	11251 11513	   	177.48	DCR|2AART|2VULN|1DMG|2CDMG|1DUR	13CDMG|2DUST|48AART|57VULN|6DUR|9DMG|aRCR
92	12456 13112	   	177.37	DCR|2AART|2DMG|2CDMG|2ZMB|1DUR	17CDMG|27ZMB|37DMG|45AART|6RPLT|7BPWR|8RCR|9FEWX|aDUR
93	36211 62235	 * 	177.35	ACR|3DMG|1AART|3ASPD|1CDMG	178ASPD|2RCR|38LWND|4CDMG|5MLV|689DMG|8BPWR|aAART
94	66321 53321	 * 	177.35	ACR|2AART|2VULN|1DMG|2ZMB	19ZMB|2RCR|3BEXP|4DMG|57AART|6LWND|8aVULN
95	41322 14324	 * 	177.33	DCR|3VULN|1AART|3ASPD|1CDMG	1AART|269ASPD|3DUST|4LWND|568VULN|6BPWR|7RCR|aCDMG
96	41332 14324	   	177.33	DCR|3VULN|1AART|3ASPD|1CDMG	1AART|269ASPD|3DUST|4LHND|568VULN|6BPWR|7RCR|aCDMG
97	12456 13123	   	177.27	DCR|2AART|2DMG|2CDMG|2ZMB|1DUR	17CDMG|27ZMB|37DMG|45AART|6RPLT|7BPWR|8RCR|9DUR|aTLV
98	25111 22253	   	177.02	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2DMG|36AART|4ZMB|5DUR|7ASPD|8RCR|9CDMG|aVULN
99	13322 63723	   	176.88	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|29DMG|3LWND|4AART|5MBVNT|6FEWX|79VULN|8RMIN|9BPWR|aRCR
100	23271 81128	   	176.87	DCR|3DMG|2VULN|1AART	1aLIT|2MBVNT|36aMLV|469DMG|5AART|6aBPWR|7aVULN|8RCR
101	41211 23243	   	176.84	DCR|2AART|2DMG|2ASPD|1CDMG|2DUR	16AART|29ASPD|3RMIN|4LIT|59DUR|79DMG|8RCR|9BPWR|aCDMG
102	44241 31213	   	176.84	DCR|3VULN|1AART|1DMG|2CDMG	1AART|28CDMG|3LWND|4DMSP|578VULN|68LHND|8BPWR|9DMG|aRCR
103	44311 31213	   	176.84	DCR|3VULN|1AART|1DMG|2CDMG	1AART|28CDMG|34FEWX|578VULN|68LHND|8BPWR|9DMG|aRCR
104	25421 81143	   	176.47	DCR|3VULN|2DMG|1AART	1LIT|26DMG|36ERES|4MBVNT|5AART|6BPWR|79aVULN|8RCR
105	64621 22222	   	176.42	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|2DMG|3RPLT|48VULN|5DUR|6RCR|7aAART|9LHND
106	25123 63512	   	176.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2DMG|3AART|478VULN|5DUR|6CDMG|9MLV|aRCR
107	13533 11421	 * 	175.97	DCR|3DMG|3CDMG|1VULN|2DUR|1SELL	158CDMG|258DMG|3DMSP|4SELL|58BPWR|6RCR|78DUR|9MGNSTR|aVULN
108	13533 11463	 * 	175.97	DCR|3DMG|3CDMG|1VULN|2DUR|1SELL	158CDMG|258DMG|39DMSP|4SELL|58BPWR|6RCR|78DUR|aVULN
109	43321 42523	   	175.97	ACR|2VULN|2DMG|1AART|2DUR	1AART|2LIT|3ERES|4aVULN|5RCR|67DUR|89DMG
110	44241 11223	   	175.95	DCR|3VULN|1AART|2CDMG|2DUR|1ASPD	1AART|28CDMG|3LWND|4DMSP|578VULN|68DUR|8BPWR|9ASPD|aRCR
111	44311 11223	   	175.95	DCR|3VULN|1AART|2CDMG|2DUR|1ASPD	1AART|28CDMG|34FEWX|578VULN|68DUR|8BPWR|9ASPD|aRCR
112	36631 22631	 * 	175.94	ACR|2AART|2VULN|3ASPD|1CDMG	19aASPD|2RCR|3aERES|4FEWX|56AART|7CDMG|8aVULN|aBPWR
113	13533 11432	 * 	175.87	DCR|3DMG|3CDMG|1VULN|2DUR|1SELL	158CDMG|258DMG|3DMSP|4SELL|58BPWR|6RCR|78DUR|9ERES|aVULN
114	66321 61332	   	175.83	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1ZMB|2RCR|3BEXP|49DMG|5AART|6ASPD|7DUR|8SNIHEL|aVULN
115	41322 14362	 * 	175.75	DCR|3VULN|2AART|2ASPD|1DUR	1aAART|26ASPD|3DUST|4LWND|568VULN|6BPWR|7RCR|9DUR
116	41332 14362	   	175.75	DCR|3VULN|2AART|2ASPD|1DUR	1aAART|26ASPD|3DUST|4LHND|568VULN|6BPWR|7RCR|9DUR
117	13325 22432	   	175.73	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|256DMG|3LWND|4AART|7RCR|8BEXP|9VULN|aRMIN
118	13325 22433	   	175.73	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|256DMG|3LWND|4AART|7RCR|8BEXP|9VULN|aLHND
119	66321 33321	   	175.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2RCR|3BEXP|47DMG|5AART|6CGEN|8RPLT|9CDMG|aVULN
120	13325 22223	   	175.63	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|256DMG|3LWND|4AART|7RCR|8DUST|9RPLT|aVULN
121	13325 22436	   	175.63	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|256DMG|3LWND|4AART|7RCR|8BEXP|9VULN|aERES
122	13325 22536	   	175.63	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|256DMG|3LWND|4AART|7RCR|8CANSTR|9RMIN|aVULN
123	66321 43321	   	175.60	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2RCR|3BEXP|47DMG|5AART|6TLV|8RPLT|9CDMG|aVULN
124	66221 61112	   	175.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2RCR|3LWND|4DMG|5AART|6CDMG|79VULN|8ERES|aRMIN
125	66221 61113	   	175.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2RCR|3LWND|4DMG|5AART|6CDMG|79VULN|8ERES|aBEXP
126	62621 63331	   	175.53	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	1ZMB|2FEWX|3ERES|4RCR|58AART|6ASPD|7DMG|9aVULN
127	13325 22526	   	175.53	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|256DMG|3LWND|4AART|7RCR|8CANSTR|9NUKE|aVULN
128	66221 61211	   	175.45	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1ZMB|2RCR|3LWND|4DMG|5AART|6CDMG|7aVULN|8SELL|9CGEN
129	13456 13111	   	175.44	DCR|2AART|2DMG|1VULN|2CDMG	17CDMG|27DMG|3NUKE|45AART|6RPLT|7BPWR|8RCR|9FEWX|aVULN
130	42112 14334	   	175.41	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1AART|26LHND|3DUST|4ASPD|568VULN|6BPWR|7RCR|9CDMG|aZMB
131	42312 14334	   	175.41	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1AART|26LHND|3ASPD|4DUST|568VULN|6BPWR|7RCR|9CDMG|aZMB
132	36232 53321	 * 	175.37	ACR|3VULN|1AART|2ZMB|1DUR|1ASPD	1ASPD|2RCR|3LWND|48aVULN|5AART|69ZMB|7DUR
133	66221 61231	   	175.35	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1ZMB|2RCR|3LWND|4DMG|5AART|6CDMG|7aVULN|8SELL|9TLV
134	32623 21225	   	175.34	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ASPD|2FEWX|3ERES|4RCR|5CDMG|6VULN|7ZMB|8aDMG|9AART
135	41322 14135	   	175.33	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1AART|26ASPD|38DUST|4LWND|56VULN|6BPWR|7RCR|9CDMG|aDMG
136	41332 14135	   	175.33	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1AART|26ASPD|38DUST|4LHND|56VULN|6BPWR|7RCR|9CDMG|aDMG
137	66224 32211	 * 	175.30	ACR|3DMG|1AART|1VULN|1ZMB	1ZMB|2RCR|3LWND|457DMG|6CGEN|8VULN|9AART|aRMIN
138	66224 32212	   	175.30	ACR|3DMG|1AART|1VULN|1ZMB	1ZMB|2RCR|3LWND|457DMG|6CGEN|8VULN|9AART|aFEWX
139	66224 32213	   	175.30	ACR|3DMG|1AART|1VULN|1ZMB	1ZMB|2RCR|3LWND|457DMG|6aCGEN|8VULN|9AART
140	13651 31263	   	175.04	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|2DMG|3RMIN|4AART|578VULN|68LHND|8BPWR|9MLV|aRCR
141	13651 31241	   	174.94	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|2DMG|3RMIN|4AART|578VULN|68LHND|8BPWR|9LSRHEA|aRCR
142	31232 14324	   	174.93	DCR|3VULN|1AART|3ASPD|1CDMG	169ASPD|2DUST|3LWND|468VULN|5AART|6BPWR|7RCR|aCDMG
143	11351 31213	   	174.84	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|23DUST|4AART|578VULN|68LHND|8BPWR|9DMG|aRCR
144	11351 61213	   	174.84	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|23DUST|4AART|578VULN|68BEXP|8BPWR|9DMG|aRCR
145	13451 31241	   	174.84	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|2DMG|3NUKE|4AART|578VULN|68LHND|8BPWR|9LSRHEA|aRCR
146	13623 51433	 * 	174.84	DCR|2VULN|2DMG|2CDMG|2FLTHEA	19CDMG|29DMG|35RMIN|4DUST|6aVULN|79FLTHEA|8RCR|9BPWR
147	36232 14311	   	174.71	ACR|4VULN|1AART|1ASPD|1DUR	1ASPD|2RCR|36LWND|468aVULN|5AART|6BPWR|7RMIN|9DUR
148	36232 16211	   	174.71	ACR|4VULN|1AART|1ASPD|1DUR	1ASPD|2RCR|36LWND|467aVULN|5AART|6BPWR|8DUR|9CGEN
149	36232 16261	   	174.71	ACR|4VULN|1AART|1ASPD|1DUR	1ASPD|2RCR|36LWND|467aVULN|5AART|6BPWR|8DUR|9RCVC
150	41322 14325	   	174.68	DCR|3VULN|1AART|3ASPD|1ZMB	1AART|269ASPD|3DUST|4LWND|568VULN|6BPWR|7RCR|aZMB
151	41332 14325	   	174.68	DCR|3VULN|1AART|3ASPD|1ZMB	1AART|269ASPD|3DUST|4LHND|568VULN|6BPWR|7RCR|aZMB
152	23271 81142	   	174.66	DCR|2VULN|2DMG|1AART|1CDMG	1LIT|2MBVNT|36MLV|46DMG|5AART|6BPWR|79VULN|8RCR|aCDMG
153	36232 12311	   	174.61	ACR|4VULN|1AART|1DUR|1ASPD	1ASPD|2RCR|36LWND|468aVULN|5AART|6BPWR|7TLV|9DUR
154	36232 33331	   	174.61	ACR|4VULN|1AART|1DUR|1ASPD	1ASPD|2RCR|3LWND|489aVULN|5AART|6MLV|7DUR
155	36232 26241	   	174.49	ACR|4VULN|1AART|2ASPD	19ASPD|2RCR|3LWND|479aVULN|5AART|6BELT|89LHND|9BPWR
156	36232 26125	   	174.49	ACR|4VULN|1AART|2ASPD	1aASPD|2RCR|3aLWND|478aVULN|5AART|6BELT|9DMSP|aBPWR
157	36232 21241	   	174.49	ACR|4VULN|1AART|2ASPD	19ASPD|2RCR|3LWND|489aVULN|5AART|6BELT|79FEWX|9BPWR
158	24621 81142	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1LIT|26TLV|36DMG|4MBVNT|5AART|6BPWR|79VULN|8RCR|aCDMG
159	25421 81142	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1LIT|26DMG|36ERES|4MBVNT|5AART|6BPWR|79VULN|8RCR|aCDMG
160	64611 32222	   	174.43	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|2DMG|3RPLT|4RCR|5DUR|68VULN|7aAART|9LHND
161	25116 22243	   	174.41	DCR|2AART|2DMG|2ASPD|1CDMG|1ZMB	19LIT|29DMG|36AART|4ZMB|5BEXP|79ASPD|8RCR|9BPWR|aCDMG
