0	Index      	 *	Score 	Summary	Detail	
1	23361 31344	 * 	188.28	DCR|2VULN|2DMG|1AART|3ASPD	1AART|2aCGEN|3RMIN|4aDMG|589ASPD|6RCR|7aVULN|aBPWR
14	23542 32323	   	185.16	DCR|3VULN|2AART|1DMG|2DUR	16AART|2CGEN|357VULN|49DUR|8RCR|aDMG
15	51231 23613	 * 	184.89	ACR|3VULN|2DMG|1AART	1BEXP|2RCR|3FEWX|4AART|589VULN|6aDMG|7LHND
16	51231 35613	   	184.89	ACR|3VULN|2DMG|1AART	1BEXP|2RCR|3FEWX|4AART|589VULN|6LHND|7aDMG
17	51231 25613	   	184.79	ACR|3VULN|2DMG|1AART	1BEXP|2RCR|3FEWX|4AART|589VULN|6aDMG|7DUST
18	16522 42323	   	184.56	DCR|3VULN|2AART|1DMG|2DUR	1CGEN|24AART|367VULN|59DUR|8RCR|aDMG
19	16542 32323	   	184.56	DCR|3VULN|2AART|1DMG|2DUR	1CGEN|26AART|357VULN|49DUR|8RCR|aDMG
20	22361 31636	   	184.12	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2ERES|3RMIN|4DMG|5ASPD|6RCR|789VULN|aZMB
21	23523 26513	 * 	183.40	DCR|2AART|2VULN|2DMG|1ASPD	14AART|2CGEN|35VULN|6aDMG|7ASPD|8RCR|9RCVC
22	22523 26513	   	183.30	DCR|2AART|2VULN|2DMG|1ASPD	14AART|2ERES|35VULN|6aDMG|7ASPD|8RCR|9RCVC
23	51631 26313	   	183.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2RCR|3DUR|4AART|5aVULN|6DMG|7CDMG|8RPLT|9ZMB
24	26435 23333	 * 	183.08	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD	17AART|24LHND|3RCR|4BPWR|56DMG|8VULN|9CDMG|aASPD
25	26435 23331	 * 	182.46	ACR|2AART|2DMG|2CDMG|1VULN	17AART|24LHND|3RCR|4BPWR|56DMG|8VULN|9aCDMG
26	25353 26323	 * 	182.30	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD|1DUR	15AART|2CDMG|3LEGI|4DUR|67VULN|8ASPD|9RCR|aDMG
27	15612 33331	   	180.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2DUR|3RCR|4AART|59VULN|6VENICY|7DMG|8CDMG|aZMB
28	23522 35531	 * 	180.13	DCR|3VULN|3AART|1CDMG|1DUR	146AART|2CGEN|38aVULN|5DUR|7RCR|9CDMG
29	26435 23311	 * 	180.08	ACR|2AART|2DMG|2VULN	17AART|24LHND|3RCR|4BPWR|56DMG|8aVULN|9BELT
30	23522 42315	   	179.87	DCR|3VULN|2AART|1DMG|1DUR	14AART|2CGEN|367VULN|5DUR|8RCR|9BELT|aDMG
31	23522 42353	   	179.87	DCR|3VULN|2AART|1DMG|1DUR	14AART|29CGEN|367VULN|5DUR|8RCR|aDMG
32	23542 32315	   	179.87	DCR|3VULN|2AART|1DMG|1DUR	16AART|2CGEN|357VULN|4DUR|8RCR|9BELT|aDMG
33	23542 32353	   	179.87	DCR|3VULN|2AART|1DMG|1DUR	16AART|29CGEN|357VULN|4DUR|8RCR|aDMG
34	23361 31331	 * 	179.83	DCR|3VULN|1AART|1DMG|2ASPD	1AART|2CGEN|3RMIN|4DMG|58ASPD|6RCR|79aVULN
35	23361 31641	   	179.83	DCR|3VULN|1AART|1DMG|2ASPD	1AART|2CGEN|3RMIN|4DMG|59ASPD|6RCR|78aVULN
36	22523 26523	   	179.77	DCR|3VULN|2AART|1DMG|1ASPD	14AART|2ERES|35aVULN|6DMG|7ASPD|8RCR|9LHND
37	21331 31641	   	179.73	DCR|3VULN|1AART|1DMG|2ASPD	1AART|2TLV|3RMIN|4DMG|59ASPD|6RCR|78aVULN
38	22361 31641	   	179.73	DCR|3VULN|1AART|1DMG|2ASPD	1AART|2ERES|3RMIN|4DMG|59ASPD|6RCR|78aVULN
39	51631 23613	   	179.53	ACR|3VULN|1AART|1DMG|2DUR	1BEXP|2RCR|3aDUR|4AART|589VULN|6DMG|7LHND
40	16361 31331	   	179.23	DCR|3VULN|1AART|1DMG|2ASPD	1CGEN|2AART|3RMIN|4DMG|58ASPD|6RCR|79aVULN
41	22523 26163	   	179.20	DCR|2AART|2VULN|2DMG|1ASPD	14AART|28ERES|35VULN|6aDMG|7ASPD|9RCR
42	51232 26251	   	179.17	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1BEXP|2RCR|3FEWX|4AART|5DUR|6aDMG|7CDMG|8ASPD|9VULN
43	51631 26231	   	179.17	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1BEXP|2RCR|3DUR|4AART|5VULN|6aDMG|7CDMG|8ASPD|9FEWX
44	51631 26211	   	179.07	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1BEXP|2RCR|3DUR|4AART|5VULN|6aDMG|7CDMG|8ASPD|9DUST
45	51522 11611	 * 	178.72	ACR|3VULN|3DMG	19aBEXP|2RCR|3DMSP|4MLV|59aDMG|67RCVC|89aVULN|9aBPWR
46	51152 11611	   	178.62	ACR|3VULN|3DMG	19aBEXP|2RCR|3TLV|4DMSP|59aDMG|67RCVC|89aVULN|9aBPWR
47	21333 33453	 * 	178.58	DCR|2VULN|2DMG|1AART|2CDMG	1AART|29TLV|3RMIN|49DMG|57VULN|6BEXP|89CDMG|9BPWR|aRCR
48	21333 43453	   	178.58	DCR|2VULN|2DMG|1AART|2CDMG	1AART|29TLV|3RMIN|49DMG|56VULN|7BEXP|89CDMG|9BPWR|aRCR
49	25232 23717	 * 	178.57	DCR|3VULN|1AART|3CDMG|2ASPD	1AART|258CDMG|3DUST|4MBVNT|68ASPD|78aVULN|8BPWR|9RCR
50	51132 11611	   	178.52	ACR|3VULN|3DMG	19aBEXP|2RCR|34TLV|59aDMG|67RCVC|89aVULN|9aBPWR
51	23361 31621	   	178.15	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2CGEN|3RMIN|4DMG|5ASPD|6RCR|78VULN|9CDMG|aDUR
52	21331 31621	   	178.05	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1AART|2TLV|3RMIN|4DMG|5ASPD|6RCR|78VULN|9CDMG|aDUR
53	22361 31621	   	178.05	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1AART|2ERES|3RMIN|4DMG|5ASPD|6RCR|78VULN|9CDMG|aDUR
54	21561 31621	   	177.95	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1AART|2TLV|3ERES|4DMG|5ASPD|6RCR|78VULN|9CDMG|aDUR
55	23361 31326	 * 	177.83	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1AART|2CGEN|3RMIN|4DMG|58ASPD|6RCR|7aVULN|9CDMG
56	16361 31621	   	177.55	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CGEN|2AART|3RMIN|4DMG|5ASPD|6RCR|78VULN|9CDMG|aDUR
57	23523 32333	   	177.52	DCR|3VULN|2AART|1CDMG|1ZMB	14AART|2CGEN|357VULN|6LHND|8RCR|9CDMG|aZMB
58	13111 31454	 * 	177.48	DCR|2VULN|1AART|1DMG|2CDMG|2ASPD|1DUR	19CGEN|2DMG|39ASPD|4DUR|57VULN|69CDMG|8AART|9BPWR|aRCR
59	66331 31621	   	177.45	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1TLV|2AART|3RMIN|4DMG|5ASPD|6RCR|78VULN|9CDMG|aDUR
60	15612 12313	   	177.33	ACR|3VULN|1AART|1DMG|2DUR	17CGEN|29DUR|3RCR|4AART|578VULN|67BEXP|7BPWR|aDMG
61	16361 31326	   	177.23	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1CGEN|2AART|3RMIN|4DMG|58ASPD|6RCR|7aVULN|9CDMG
62	25253 21361	   	177.18	DCR|3VULN|1AART|2CDMG|1ZMB	1AART|29CDMG|3DUST|49LIT|5ZMB|6RCR|7CANSTR|89aVULN|9BPWR
63	25352 26323	   	177.17	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	1AART|25CDMG|3LEGI|4DUR|67VULN|8ASPD|9RCR|aDMG
64	23622 42323	   	177.12	DCR|3VULN|1AART|1DMG|2DUR	1AART|2CGEN|3RCVC|467VULN|59DUR|8RCR|aDMG
65	16523 32333	   	176.92	DCR|3VULN|2AART|1CDMG|1ZMB	1CGEN|24AART|357VULN|6LHND|8RCR|9CDMG|aZMB
66	23512 42323	   	176.82	DCR|3VULN|1AART|1DMG|2DUR	1AART|2CGEN|367VULN|4RCVC|59DUR|8RCR|aDMG
67	22521 52513	   	176.72	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	14AART|2ERES|37VULN|5ASPD|6ZMB|8RCR|9RCVC|aDMG
68	51113 21216	 * 	176.54	ACR|2AART|2VULN|1DMG|1CDMG	1BEXP|2RCR|3TLV|4aAART|5CDMG|69VULN|7ERES|8DMG
69	16622 42323	   	176.52	DCR|3VULN|1AART|1DMG|2DUR	1CGEN|2AART|3RCVC|467VULN|59DUR|8RCR|aDMG
70	22363 22163	 * 	176.47	DCR|3DMG|2VULN|1AART	1AART|28ERES|3RMIN|46aDMG|57VULN|9RCR
71	22363 42163	 * 	176.47	DCR|3VULN|2DMG|1AART	1AART|28ERES|3RMIN|4aDMG|567VULN|9RCR
72	41623 11336	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|2aDMG|3aLIT|4CDMG|5DLOT|6AART|7RCR|8DUST|9aVULN|aBPWR
73	51152 12611	   	176.44	ACR|3VULN|3DMG	19aBEXP|2RCR|37TLV|4DMSP|59aDMG|6RCVC|89aVULN|9aBPWR
74	21563 22163	   	176.37	DCR|3DMG|2VULN|1AART	1AART|2TLV|38ERES|46aDMG|57VULN|9RCR
75	51231 26313	   	176.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2RCR|3FEWX|4AART|5aVULN|6DMG|7CDMG|8RPLT|9ZMB
76	16512 42323	   	176.22	DCR|3VULN|1AART|1DMG|2DUR	1CGEN|2AART|367VULN|4RCVC|59DUR|8RCR|aDMG
77	23542 62323	   	176.22	DCR|3VULN|1AART|1DMG|2DUR	1AART|2CGEN|357VULN|49DUR|6RCVC|8RCR|aDMG
78	51231 26153	   	176.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2RCR|3FEWX|4AART|5aVULN|6DMG|7CDMG|8DUST|9ZMB
79	26435 23332	   	176.14	ACR|2AART|2DMG|1VULN|1CDMG	17AART|24LHND|3RCR|4BPWR|56DMG|8VULN|9CDMG|aBEXP
80	51131 31453	 * 	175.80	ACR|3VULN|1AART|2CDMG|1ZMB	19BEXP|2RCR|34TLV|579VULN|69CDMG|8AART|9BPWR|aZMB
81	25342 22243	   	175.36	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	14AART|2CDMG|3LEGI|56VULN|7ASPD|8LIT|9RCR|aDMG
82	23542 42311	 * 	175.29	DCR|5VULN|1AART|1DUR	1AART|2CGEN|3567aVULN|4DUR|8RCR|9BELT
83	23542 42331	   	175.29	DCR|5VULN|1AART|1DUR	1AART|2CGEN|3567aVULN|4DUR|8RCR|9MLV
84	23361 33634	   	175.25	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2aCGEN|3RMIN|4aDMG|5ASPD|6RCR|7BEXP|8aVULN|9LEGI|aBPWR
85	23623 26513	   	175.23	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2CGEN|39RCVC|45VULN|6aDMG|7ASPD|8RCR
86	42422 32513	   	175.20	DCR|2AART|2VULN|1DMG|1CDMG	1RPLT|26AART|39RCVC|47VULN|5CDMG|8RCR|aDMG
87	21623 26513	   	175.13	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2TLV|39RCVC|45VULN|6aDMG|7ASPD|8RCR
88	22623 26513	   	175.13	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2ERES|39RCVC|45VULN|6aDMG|7ASPD|8RCR
89	23361 31431	   	175.12	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2CGEN|3RMIN|4DMG|5ASPD|6RCR|79aVULN|8RCVC
90	21331 33634	   	175.05	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2aTLV|3RMIN|4aDMG|5ASPD|6RCR|7BEXP|8aVULN|9LEGI|aBPWR
91	22361 33634	   	175.05	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2aERES|3RMIN|4aDMG|5ASPD|6RCR|7BEXP|8aVULN|9LEGI|aBPWR
92	21331 31431	   	175.02	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2TLV|3RMIN|4DMG|5ASPD|6RCR|79aVULN|8RCVC
93	22361 31431	   	175.02	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2ERES|3RMIN|4DMG|5ASPD|6RCR|79aVULN|8RCVC
94	23513 26513	   	174.93	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2CGEN|35VULN|49RCVC|6aDMG|7ASPD|8RCR
95	21561 31431	   	174.92	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2TLV|3ERES|4DMG|5ASPD|6RCR|79aVULN|8RCVC
96	51632 23241	   	174.88	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1BEXP|2RCR|35DUR|4AART|6LIT|78VULN|9DMG|aZMB
97	22513 26513	   	174.83	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2ERES|35VULN|49RCVC|6aDMG|7ASPD|8RCR
98	22523 21533	   	174.56	DCR|2AART|2VULN|2DMG	14AART|27ERES|35VULN|6aDMG|8RCR|9TLV
99	23523 62313	   	174.53	DCR|3VULN|2AART|1DMG	14AART|2CGEN|357VULN|6FEWX|8RCR|9RCVC|aDMG
100	16361 31431	   	174.52	DCR|3VULN|1AART|1DMG|1ASPD	1CGEN|2AART|3RMIN|4DMG|5ASPD|6RCR|79aVULN|8RCVC
101	66331 31431	   	174.42	DCR|3VULN|1AART|1DMG|1ASPD	1TLV|2AART|3RMIN|4DMG|5ASPD|6RCR|79aVULN|8RCVC
102	22522 42253	 * 	174.40	DCR|4VULN|2AART|2DUR	14AART|29ERES|3679VULN|59DUR|8RPLT|9BPWR|aRCR
103	22542 32253	   	174.40	DCR|4VULN|2AART|2DUR	16AART|29ERES|3579VULN|49DUR|8RPLT|9BPWR|aRCR
104	51631 23611	   	174.24	ACR|3VULN|1AART|1DMG|1DUR	1aBEXP|2RCR|3DUR|4AART|589VULN|6DMG|7LHND
105	51631 23612	   	174.24	ACR|3VULN|1AART|1DMG|1DUR	1BEXP|2RCR|3DUR|4AART|589VULN|6DMG|7LHND|aFEWX
106	51231 23614	   	174.24	ACR|3VULN|1AART|1DMG|1ASPD	1BEXP|2RCR|3FEWX|4AART|589VULN|6DMG|7LHND|aASPD
107	51231 43613	   	174.24	ACR|3VULN|1AART|1DMG|1DUR	1BEXP|2RCR|3FEWX|4AART|589VULN|6DUR|7RMIN|aDMG
108	51112 52133	   	174.14	ACR|3VULN|1AART|1DMG|1DUR	1BEXP|2RCR|3TLV|4AART|59aVULN|6DMG|7DUR|8RPLT
109	51235 22241	   	174.10	ACR|2AART|2VULN|1DMG|1ZMB	1BEXP|2RCR|3FEWX|45AART|6LIT|78VULN|9DMG|aZMB
110	16523 62313	   	173.93	DCR|3VULN|2AART|1DMG	1CGEN|24AART|357VULN|6FEWX|8RCR|9RCVC|aDMG
111	25232 23718	   	173.92	DCR|2VULN|1AART|3CDMG|2ASPD|1ZMB	1AART|258CDMG|3DUST|4MBVNT|68ASPD|78VULN|8BPWR|9RCR|aZMB
112	23522 42311	   	173.90	DCR|4VULN|2AART|1DUR	14AART|2CGEN|367aVULN|5DUR|8RCR|9BELT
113	23522 42331	   	173.90	DCR|4VULN|2AART|1DUR	14AART|2CGEN|367aVULN|5DUR|8RCR|9MLV
114	23542 32311	   	173.90	DCR|4VULN|2AART|1DUR	16AART|2CGEN|357aVULN|4DUR|8RCR|9BELT
115	23542 32331	   	173.90	DCR|4VULN|2AART|1DUR	16AART|2CGEN|357aVULN|4DUR|8RCR|9MLV
116	51216 36313	   	173.77	ACR|2VULN|2DMG|1AART|1ASPD	1BEXP|2RCR|3FEWX|49VULN|5CGEN|6aDMG|7ASPD|8AART
117	51214 36313	   	173.67	ACR|2VULN|2DMG|1AART|1ASPD	1BEXP|2RCR|3FEWX|49VULN|5ERES|6aDMG|7ASPD|8AART
118	23522 42342	   	173.45	DCR|3VULN|2AART|1CDMG|1DUR	14AART|2CGEN|367VULN|5DUR|8RCR|9LIT|aCDMG
119	23542 32342	   	173.45	DCR|3VULN|2AART|1CDMG|1DUR	16AART|2CGEN|357VULN|4DUR|8RCR|9LIT|aCDMG
120	23523 32336	   	173.45	DCR|3VULN|2AART|1CDMG|1DUR	14AART|2CGEN|357VULN|6LHND|8RCR|9CDMG|aDUR
121	23361 32436	 * 	173.32	DCR|3DMG|1AART|2CDMG|1ASPD	1AART|2aCGEN|3RMIN|49aDMG|5ASPD|6RCR|7LIT|8aCDMG|aBPWR
122	16522 42311	   	173.30	DCR|4VULN|2AART|1DUR	1CGEN|24AART|367aVULN|5DUR|8RCR|9BELT
123	16522 42331	   	173.30	DCR|4VULN|2AART|1DUR	1CGEN|24AART|367aVULN|5DUR|8RCR|9MLV
124	16542 32311	   	173.30	DCR|4VULN|2AART|1DUR	1CGEN|26AART|357aVULN|4DUR|8RCR|9BELT
125	16542 32331	   	173.30	DCR|4VULN|2AART|1DUR	1CGEN|26AART|357aVULN|4DUR|8RCR|9MLV
126	23361 31131	   	173.22	DCR|3VULN|1AART|1DMG|1ASPD	1AART|28CGEN|3RMIN|4DMG|5ASPD|6RCR|79aVULN
127	23361 31632	   	173.22	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2CGEN|3RMIN|4DMG|5ASPD|6RCR|789VULN|aLHND
128	23361 31634	   	173.22	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2CGEN|3RMIN|4DMG|5ASPD|6RCR|789VULN|aFEWX
129	23361 31661	   	173.22	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2CGEN|39RMIN|4DMG|5ASPD|6RCR|78aVULN
130	15612 12613	   	173.13	ACR|2AART|2VULN|1DMG|2DUR	17CGEN|29DUR|3RCR|48AART|57VULN|67BEXP|7BPWR|aDMG
131	23361 31426	   	173.12	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2CGEN|3RMIN|4DMG|5ASPD|6RCR|7aVULN|8RCVC|9CDMG
132	21331 31632	   	173.12	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2TLV|3RMIN|4DMG|5ASPD|6RCR|789VULN|aLHND
133	21331 31634	   	173.12	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2TLV|3RMIN|4DMG|5ASPD|6RCR|789VULN|aFEWX
134	21331 31661	   	173.12	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2TLV|39RMIN|4DMG|5ASPD|6RCR|78aVULN
135	21331 32436	   	173.12	DCR|3DMG|1AART|2CDMG|1ASPD	1AART|2aTLV|3RMIN|49aDMG|5ASPD|6RCR|7LIT|8aCDMG|aBPWR
136	22361 31632	   	173.12	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2ERES|3RMIN|4DMG|5ASPD|6RCR|789VULN|aLHND
137	22361 31634	   	173.12	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2ERES|3RMIN|4DMG|5ASPD|6RCR|789VULN|aFEWX
138	22361 31661	   	173.12	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2ERES|39RMIN|4DMG|5ASPD|6RCR|78aVULN
139	22361 32436	   	173.12	DCR|3DMG|1AART|2CDMG|1ASPD	1AART|2aERES|3RMIN|49aDMG|5ASPD|6RCR|7LIT|8aCDMG|aBPWR
140	23361 31633	   	173.12	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2CGEN|3RMIN|4DMG|5ASPD|6RCR|789VULN|aERES
141	23361 31653	   	173.12	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2CGEN|3RMIN|4DMG|5ASPD|6RCR|78aVULN|9DUST
142	21331 31426	   	173.02	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2TLV|3RMIN|4DMG|5ASPD|6RCR|7aVULN|8RCVC|9CDMG
143	22361 31426	   	173.02	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2ERES|3RMIN|4DMG|5ASPD|6RCR|7aVULN|8RCVC|9CDMG
144	21561 31632	   	173.02	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2TLV|3ERES|4DMG|5ASPD|6RCR|789VULN|aLHND
145	21331 31633	   	173.02	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2TLV|3RMIN|4DMG|5ASPD|6RCR|789VULN|aERES
146	21331 31653	   	173.02	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2TLV|3RMIN|4DMG|5ASPD|6RCR|78aVULN|9DUST
147	22361 31633	   	173.02	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2aERES|3RMIN|4DMG|5ASPD|6RCR|789VULN
148	22361 31653	   	173.02	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2ERES|3RMIN|4DMG|5ASPD|6RCR|78aVULN|9DUST
149	23523 32315	   	172.93	DCR|3VULN|2AART|1DMG	14AART|2CGEN|357VULN|6LHND|8RCR|9BELT|aDMG
150	23523 62353	   	172.93	DCR|3VULN|2AART|1DMG	14AART|29CGEN|357VULN|6FEWX|8RCR|aDMG
151	21561 31633	   	172.92	DCR|3VULN|1AART|1DMG|1ASPD	1AART|2TLV|3aERES|4DMG|5ASPD|6RCR|789VULN
152	23622 32323	   	172.91	DCR|2AART|2VULN|1DMG|2DUR	16AART|2CGEN|3RCVC|47VULN|59DUR|8RCR|aDMG
153	23622 45323	   	172.91	DCR|2AART|2VULN|1DMG|2DUR	17AART|2CGEN|3RCVC|46VULN|59DUR|8RCR|aDMG
154	16523 32336	   	172.85	DCR|3VULN|2AART|1CDMG|1DUR	1CGEN|24AART|357VULN|6LHND|8RCR|9CDMG|aDUR
155	22523 21521	   	172.73	DCR|3VULN|2AART|1DMG	14AART|27ERES|35aVULN|6DMG|8RCR|9LHND
156	22523 21541	   	172.73	DCR|3VULN|2AART|1DMG	14AART|27ERES|35aVULN|6DMG|8RCR|9BEXP
157	22523 21552	   	172.73	DCR|3VULN|2AART|1DMG	14AART|27ERES|359VULN|6DMG|8RCR|aLWND
158	25231 21563	   	172.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3DUST|4MBVNT|5BEXP|6aVULN|7RCR|8DMG|9ZMB
159	25413 23623	   	172.63	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3RMIN|478VULN|5LHND|6DUST|9RCR|aDMG
160	22523 21511	   	172.63	DCR|3VULN|2AART|1DMG	14AART|279ERES|35aVULN|6DMG|8RCR
161	22523 21551	   	172.63	DCR|3VULN|2AART|1DMG	14AART|27ERES|359VULN|6DMG|8RCR|aDUST
162	22523 21553	   	172.63	DCR|3VULN|2AART|1DMG	14AART|27aERES|359VULN|6DMG|8RCR
163	16361 31131	   	172.62	DCR|3VULN|1AART|1DMG|1ASPD	18CGEN|2AART|3RMIN|4DMG|5ASPD|6RCR|79aVULN
164	16361 31632	   	172.62	DCR|3VULN|1AART|1DMG|1ASPD	1CGEN|2AART|3RMIN|4DMG|5ASPD|6RCR|789VULN|aLHND
165	22521 52163	   	172.62	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	14AART|28ERES|37VULN|5ASPD|6ZMB|9RCR|aDMG
166	23512 32323	   	172.61	DCR|2AART|2VULN|1DMG|2DUR	16AART|2CGEN|37VULN|4RCVC|59DUR|8RCR|aDMG
167	23512 45323	   	172.61	DCR|2AART|2VULN|1DMG|2DUR	17AART|2CGEN|36VULN|4RCVC|59DUR|8RCR|aDMG
168	51631 11231	   	172.59	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1BEXP|2RCR|3DUR|4AART|5VULN|6CDMG|7ZMB|8ASPD|9FEWX|aDMG
169	51631 11262	   	172.59	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1BEXP|2RCR|3DUR|4AART|5VULN|6CDMG|7ZMB|8ASPD|9LIT|aDMG
170	51232 11251	   	172.59	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1BEXP|2RCR|3FEWX|4AART|5DUR|6CDMG|7ZMB|8ASPD|9VULN|aDMG
171	51313 31314	   	172.57	ACR|2VULN|2DMG|1AART|1ASPD	1BEXP|2RCR|3LWND|47VULN|5RPLT|69DMG|8ASPD|aAART
172	66331 31632	   	172.52	DCR|3VULN|1AART|1DMG|1ASPD	1TLV|2AART|3RMIN|4DMG|5ASPD|6RCR|789VULN|aLHND
173	16361 31633	   	172.52	DCR|3VULN|1AART|1DMG|1ASPD	1CGEN|2AART|3RMIN|4DMG|5ASPD|6RCR|789VULN|aERES
174	51631 11211	   	172.49	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1BEXP|2RCR|3DUR|4AART|5VULN|6CDMG|7ZMB|8ASPD|9DUST|aDMG
175	51631 11225	   	172.49	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1BEXP|2RCR|3DUR|4AART|5VULN|6CDMG|7ZMB|8ASPD|9ERES|aDMG
