0	Index      	 *	Score 	Summary	Detail	
1	33464 31312	 * 	197.97	ACR|4VULN|3DMG|2DUR	17aMLV|28DUR|3RCR|47aDMG|579aVULN|6LEGI|7aBPWR
14	52228 37412	   	183.96	DCR|3VULN|3DMG|1ZMB|1ASPD	1MBVNT|24aDMG|34aERES|4aBPWR|5ASPD|6ZMB|79aVULN|8RCR
15	52833 34251	   	183.93	DCR|3VULN|2DMG|2CDMG|1ZMB	1MBVNT|29DMG|359VULN|4LIT|6ZMB|7RCR|89CDMG|9BPWR|aBELT
16	52833 34253	   	183.93	DCR|3VULN|2DMG|2CDMG|1ZMB	1MBVNT|29DMG|359VULN|4LIT|6ZMB|7RCR|89CDMG|9BPWR|aLWND
17	52832 34251	   	183.93	DCR|3DMG|2VULN|2CDMG|1ZMB	1MBVNT|269DMG|39VULN|4LIT|5ZMB|7RCR|89CDMG|9BPWR|aCGEN
18	52832 34252	   	183.93	DCR|3DMG|2VULN|2CDMG|1ZMB	1MBVNT|269DMG|39VULN|4aLIT|5ZMB|7RCR|89CDMG|9BPWR
19	52832 34253	   	183.93	DCR|3DMG|2VULN|2CDMG|1ZMB	1MBVNT|269DMG|39VULN|4LIT|5ZMB|7RCR|89CDMG|9BPWR|aLWND
20	13161 51325	 * 	183.47	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	1SELL|23DMG|4FEWX|567VULN|8AART|9CDMG|aRCR
21	13141 51325	 * 	183.37	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	1SELL|23DMG|4DUST|567VULN|8AART|9CDMG|aRCR
22	52832 32184	   	183.37	DCR|3VULN|2DMG|1AART|1ZMB	1MBVNT|26DMG|37aVULN|4LIT|5ZMB|8AART|9RCR
23	52472 24135	 * 	183.31	DCR|3DMG|2AART|2VULN	1MBVNT|249DMG|3DUST|58AART|69VULN|79LWND|9BPWR|aRCR
24	52472 21135	   	183.11	DCR|3DMG|2AART|2VULN	1MBVNT|249DMG|39DUST|58AART|69VULN|7LEGI|9BPWR|aRCR
25	52853 43242	 * 	182.83	ACR|3VULN|2DMG|1AART|1DUR	1MBVNT|2aDMG|38aVULN|4ERES|5RCR|6DUR|7AART|9aCGEN|aBPWR
26	52853 43432	   	182.83	ACR|3VULN|2DMG|1AART|1DUR	1MBVNT|29DMG|39aVULN|4ERES|5RCR|6DUR|7AART|89FEWX|9BPWR
27	52853 43232	   	182.63	ACR|3VULN|2DMG|1AART|1DUR	1MBVNT|2aDMG|38aVULN|4ERES|5RCR|6DUR|7AART|9aTLV|aBPWR
28	33433 36222	 * 	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2DUR|3RCR|4LIT|57aVULN|6DMG|8CDMG|9AART
29	52853 31112	   	182.44	ACR|4VULN|3DMG	1MBVNT|27aDMG|379aVULN|47aERES|5RCR|6LEGI|7aBPWR|8RCVC
30	15133 31462	 * 	182.18	DCR|3DMG|2VULN|2ASPD|1CDMG|2SELL	14SELL|2aASPD|38aDMG|5CDMG|6RCR|7MLV|9aVULN|aBPWR
31	13233 31462	 * 	182.18	DCR|3DMG|2VULN|2ASPD|1CDMG|2SELL	14SELL|28aDMG|3aASPD|5CDMG|6RCR|7MLV|9aVULN|aBPWR
32	13233 35462	 * 	182.18	DCR|3DMG|2VULN|2ASPD|1CDMG|2SELL	14SELL|28aDMG|3aASPD|5CDMG|6RCR|7CGEN|9aVULN|aBPWR
33	13233 34462	 * 	182.08	DCR|3DMG|2VULN|2ASPD|1CDMG|2SELL	14SELL|28aDMG|3aASPD|5CDMG|6RCR|7TLV|9aVULN|aBPWR
34	42318 41227	 * 	181.25	DCR|4VULN|1AART|2DUR|1ZMB	19BEXP|2MBVNT|3789VULN|49DUR|5AART|6RCR|9BPWR|aZMB
35	51318 41227	   	181.25	DCR|4VULN|1AART|2DUR|1ZMB	1MBVNT|29BEXP|3789VULN|49DUR|5AART|6RCR|9BPWR|aZMB
36	23511 51522	 * 	180.55	DCR|2VULN|1AART|1DMG|2ZMB|2DUR|1ASPD	1ERES|2aDUR|3ASPD|4DMG|5aZMB|6RCR|7MLV|8AART|9aVULN|aBPWR
37	33511 51522	   	180.55	DCR|2VULN|1AART|1DMG|2ZMB|2DUR|1ASPD	1MLV|2aDUR|3ASPD|4DMG|5aZMB|6RCR|7TLV|8AART|9aVULN|aBPWR
38	52833 32184	 * 	179.88	DCR|4VULN|1AART|1DMG|1ZMB	1MBVNT|2DMG|357aVULN|4LIT|6ZMB|8AART|9RCR
39	13111 56221	   	179.76	DCR|3DMG|2VULN|1AART|1DUR|1SELL	1SELL|238DMG|4LHND|56VULN|7AART|9RCR|aDUR
40	13131 56221	   	179.76	DCR|3DMG|2VULN|1AART|1DUR|1SELL	1SELL|238DMG|4LWND|56VULN|7AART|9RCR|aDUR
41	13233 41462	 * 	179.68	DCR|3DMG|2VULN|2ASPD|1CDMG|2SELL	14SELL|28aDMG|3aASPD|5CDMG|6TLV|7RCR|9aVULN|aBPWR
42	13141 56221	   	179.66	DCR|3DMG|2VULN|1AART|1DUR|1SELL	1SELL|238DMG|4DUST|56VULN|7AART|9RCR|aDUR
43	43333 51215	 * 	179.06	ACR|3VULN|1AART|1DMG|2CDMG	1aBEXP|2LWND|38aVULN|4DMG|5RCR|6AART|7CGEN|9aCDMG|aBPWR
44	63333 51215	   	178.86	ACR|3VULN|1AART|1DMG|2CDMG	1aDUST|2LWND|38aVULN|4DMG|5RCR|6AART|7CGEN|9aCDMG|aBPWR
45	13152 31325	 * 	178.82	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1SELL|23DMG|46VULN|5RMIN|7ZMB|8AART|9CDMG|aRCR
46	22432 25332	 * 	178.55	ACR|3VULN|1AART|1DMG|1FLTHEA	1ERES|2LWND|3RCR|4RCVC|5FLTHEA|68aVULN|7DMG|9AART
47	52841 24227	   	177.71	DCR|3VULN|2DMG|1AART|1ASPD	1MBVNT|29DMG|389VULN|4FEWX|5ASPD|69BEXP|7AART|9BPWR|aRCR
48	52314 53613	   	177.66	DCR|3VULN|3DMG|1ASPD	1MBVNT|258DMG|3AIRHEL|48aVULN|6RCR|78TLV|8BPWR|9ASPD
49	66312 13612	 * 	177.39	DCR|5VULN|2DMG	1aDUST|2359aVULN|45DMG|5aBPWR|6TLV|7aBEXP|8RCR
50	54583 44132	   	177.22	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	1MBVNT|2BASICY|36DMG|46ASPD|5AART|6BPWR|7RCR|8VULN|9ZMB|aDUR
51	42318 41228	   	177.19	DCR|4VULN|1AART|2DUR|1ASPD	19BEXP|2MBVNT|3789VULN|49DUR|5AART|6RCR|9BPWR|aASPD
52	51318 41228	   	177.19	DCR|4VULN|1AART|2DUR|1ASPD	1MBVNT|29BEXP|3789VULN|49DUR|5AART|6RCR|9BPWR|aASPD
53	66312 33152	   	177.01	DCR|3VULN|2DMG|1AART|1ASPD	1DUST|235VULN|45DMG|5BPWR|6LIT|7ASPD|8AART|9BEXP|aRCR
54	33462 22522	   	176.87	ACR|2VULN|2DMG|1AART|2DUR	1aMLV|27DUR|3RCR|4aDMG|5CGEN|6FEWX|8AART|9aVULN|aBPWR
55	66312 33352	   	176.41	DCR|3VULN|2DMG|1AART|1ASPD	1DUST|235VULN|45DMG|5BPWR|6LIT|7ASPD|8FEWX|9AART|aRCR
56	22432 25224	 * 	175.95	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1ERES|2LWND|3RCR|4RCVC|5FLTHEA|69VULN|7DMG|8CDMG|aAART
57	52853 23242	   	175.89	ACR|3VULN|2DMG|1AART	1MBVNT|2aDMG|38aVULN|4ERES|5RCR|6BEXP|7AART|9aCGEN|aBPWR
58	11231 51236	 * 	175.77	DCR|4VULN|2DMG|1CDMG|1SELL	1SELL|28MLV|3CGEN|48DMG|5678VULN|8BPWR|9RCR|aCDMG
59	52853 23232	   	175.69	ACR|3VULN|2DMG|1AART	1MBVNT|2aDMG|38aVULN|4ERES|5RCR|6BEXP|7AART|9aTLV|aBPWR
60	22412 25332	   	175.45	ACR|3VULN|1AART|1DMG|1FLTHEA	1ERES|2LWND|3RCR|4DMSP|5FLTHEA|68aVULN|7DMG|9AART
61	52853 21442	   	175.39	ACR|3DMG|2VULN|1AART	1MBVNT|27aDMG|3aVULN|47ERES|5RCR|67BEXP|7aBPWR|8AART|9aCGEN
62	22442 25332	   	175.35	ACR|3VULN|1AART|1DMG|1FLTHEA	14ERES|2LWND|3RCR|5FLTHEA|68aVULN|7DMG|9AART
63	52853 21422	   	175.29	ACR|3DMG|2VULN|1AART	1MBVNT|279DMG|3aVULN|479ERES|5RCR|679BEXP|79BPWR|8AART
64	52871 33442	   	175.29	ACR|3DMG|2VULN|1AART	1MBVNT|24aDMG|3aVULN|5RCR|6ERES|7FEWX|8AART|9aCGEN|aBPWR
65	52871 34442	   	175.19	ACR|3DMG|2VULN|1AART	1MBVNT|24aDMG|3aVULN|5RCR|6ERES|7DUST|8AART|9aCGEN|aBPWR
66	52853 21432	   	175.19	ACR|3DMG|2VULN|1AART	1MBVNT|27aDMG|3aVULN|47ERES|5RCR|67BEXP|7aBPWR|8AART|9aTLV
67	52871 13432	   	175.19	ACR|3DMG|2VULN|1AART	1MBVNT|24aDMG|3aVULN|5RCR|6CGEN|7FEWX|8AART|9aTLV|aBPWR
68	52871 14432	   	175.09	ACR|3DMG|2VULN|1AART	1MBVNT|24aDMG|3aVULN|5RCR|6CGEN|7DUST|8AART|9aTLV|aBPWR
69	52871 33432	   	175.09	ACR|3DMG|2VULN|1AART	1MBVNT|24aDMG|3aVULN|5RCR|6ERES|7FEWX|8AART|9aTLV|aBPWR
70	52314 54228	   	175.03	DCR|3DMG|2VULN|2CDMG	1MBVNT|25aDMG|3aAIRHEL|49VULN|6RCR|7ERES|8aCDMG|aBPWR
71	52871 34432	   	174.99	ACR|3DMG|2VULN|1AART	1MBVNT|24aDMG|3aVULN|5RCR|6ERES|7DUST|8AART|9aTLV|aBPWR
72	33464 31313	   	174.95	ACR|3VULN|2DMG|2DUR|1ASPD	17MLV|28DUR|3RCR|47DMG|579VULN|6LEGI|7BPWR|aASPD
73	52672 34341	 * 	174.93	DCR|3DMG|1AART|1VULN|1CDMG	1MBVNT|248DMG|3BEXP|5AART|6DUST|7RCR|9VULN|aCDMG
74	53313 67434	 * 	174.55	ACR|3VULN|1AART|3ASPD|1CDMG	1MBVNT|279LHND|379VULN|4RCVC|5RCR|679ASPD|79BPWR|8AART|aCDMG
75	54583 44333	 * 	174.53	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	1MBVNT|2BASICY|36DMG|46ASPD|5AART|6BPWR|7RCR|8CDMG|9RCVC|aVULN
76	54553 44141	 * 	174.11	DCR|2DMG|3ZMB|1AART|1VULN	1MBVNT|2BASICY|36DMG|469ZMB|5AART|6BPWR|7RCR|8VULN|aCGEN
77	54553 44142	   	174.11	DCR|2DMG|3ZMB|1AART|1VULN	1MBVNT|2BASICY|36DMG|469ZMB|5AART|6BPWR|7RCR|8VULN|aLHND
78	54553 44143	   	174.11	DCR|2DMG|3ZMB|1AART|1VULN	1MBVNT|2BASICY|36DMG|469ZMB|5AART|6BPWR|7RCR|8VULN|aLWND
79	42318 41224	 * 	174.07	DCR|4VULN|1AART|3DUR	19BEXP|2MBVNT|3789VULN|49aDUR|5AART|6RCR|9BPWR
80	51318 41224	   	174.07	DCR|4VULN|1AART|3DUR	1MBVNT|29BEXP|3789VULN|49aDUR|5AART|6RCR|9BPWR
81	54553 44144	   	174.01	DCR|2DMG|3ZMB|1AART|1VULN	1MBVNT|2BASICY|36DMG|469ZMB|5AART|6BPWR|7RCR|8VULN|aBASHEA
82	42318 41822	   	174.01	DCR|2VULN|1AART|1DMG|1FLTHEA|2DUR	1BEXP|2MBVNT|37VULN|49DUR|5AART|6RCR|8DMG|aFLTHEA
83	51318 41822	   	174.01	DCR|2VULN|1AART|1DMG|1FLTHEA|2DUR	1MBVNT|2BEXP|37VULN|49DUR|5AART|6RCR|8DMG|aFLTHEA
84	52242 61622	   	173.96	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2aDMG|3aERES|4RCVC|5DUR|6RCR|7MLV|8AART|9aVULN|aBPWR
85	32461 36312	   	173.83	ACR|3VULN|2DMG|1ZMB|1ASPD	1aMLV|2LWND|3RCR|49aVULN|5ASPD|6DMSP|7ZMB|8aDMG|aBPWR
86	32463 53312	   	173.83	ACR|3VULN|2DMG|1ZMB|1ASPD	1aMLV|27LWND|3RCR|49aVULN|5ZMB|6ASPD|8aDMG|aBPWR
87	52853 41421	 * 	173.75	ACR|3DMG|1AART|1VULN|3DUR	1MBVNT|279DMG|3VULN|479ERES|5RCR|679DUR|79BPWR|8AART|aBELT
88	52853 41422	   	173.75	ACR|3DMG|1AART|1VULN|3DUR	1MBVNT|279DMG|3VULN|479ERES|5RCR|679DUR|79BPWR|8AART|aLHND
89	52853 41423	   	173.75	ACR|3DMG|1AART|1VULN|3DUR	1MBVNT|279DMG|3VULN|479ERES|5RCR|679DUR|79BPWR|8AART|aBEXP
90	52853 41424	   	173.75	ACR|3DMG|1AART|1VULN|3DUR	1MBVNT|279DMG|3VULN|479ERES|5RCR|679DUR|79BPWR|8AART|aDMSP
91	33512 25216	 * 	173.59	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1DUR|1ASPD	1MLV|2DUR|3ASPD|47DMG|5FLTHEA|6aVULN|8CDMG|9RCR
92	23512 25216	   	173.49	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1DUR|1ASPD	1ERES|2DUR|3ASPD|47DMG|5FLTHEA|6aVULN|8CDMG|9RCR
93	22432 25361	   	173.30	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1ERES|2LWND|3RCR|4RCVC|5FLTHEA|68VULN|7DMG|9ZMB|aAART
94	33433 36225	   	173.15	ACR|2VULN|1AART|2CDMG|1DMG|1DUR	1MLV|2DUR|3RCR|4LIT|57VULN|6DMG|8aCDMG|9AART
95	52846 41444	 * 	172.86	DCR|2VULN|2DMG|1AART|3DUR	1MBVNT|27DMG|37VULN|4FEWX|5TLV|67aDUR|7BPWR|8AART|9RCR
96	22412 25224	   	172.85	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1ERES|2LWND|3RCR|4DMSP|5FLTHEA|69VULN|7DMG|8CDMG|aAART
97	13111 56222	   	172.82	DCR|3DMG|2VULN|1AART|1SELL	1SELL|238DMG|4LHND|56VULN|7AART|9RCR|aCGEN
98	13111 56224	   	172.82	DCR|3DMG|2VULN|1AART|1SELL	1SELL|238DMG|4LHND|56VULN|7AART|9RCR|aBEXP
99	13111 56225	   	172.82	DCR|3DMG|2VULN|1AART|1SELL	1SELL|238DMG|4LHND|56VULN|7AART|9RCR|aRPLT
100	13131 56222	   	172.82	DCR|3DMG|2VULN|1AART|1SELL	1SELL|238DMG|4LWND|56VULN|7AART|9RCR|aCGEN
101	13131 56224	   	172.82	DCR|3DMG|2VULN|1AART|1SELL	1SELL|238DMG|4LWND|56VULN|7AART|9RCR|aBEXP
102	13131 56225	   	172.82	DCR|3DMG|2VULN|1AART|1SELL	1SELL|238DMG|4LWND|56VULN|7AART|9RCR|aRPLT
103	33411 53522	 * 	172.73	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	1aMLV|2aDUR|3RCR|4LEGI|57ASPD|6DMG|8AART|9aVULN|aBPWR
104	13111 56223	   	172.72	DCR|3DMG|2VULN|1AART|1SELL	1SELL|238DMG|4LHND|56VULN|7AART|9RCR|aERES
105	13111 56226	   	172.72	DCR|3DMG|2VULN|1AART|1SELL	1SELL|238DMG|4LHND|56VULN|7AART|9RCR|aMBVNT
106	13131 56223	   	172.72	DCR|3DMG|2VULN|1AART|1SELL	1SELL|238DMG|4LWND|56VULN|7AART|9RCR|aERES
107	13131 56226	   	172.72	DCR|3DMG|2VULN|1AART|1SELL	1SELL|238DMG|4LWND|56VULN|7AART|9RCR|aMBVNT
108	13141 56222	   	172.72	DCR|3DMG|2VULN|1AART|1SELL	1SELL|238DMG|4DUST|56VULN|7AART|9RCR|aCGEN
109	53333 67432	 * 	172.64	DCR|3DMG|1AART|3ASPD|1VULN	1MBVNT|279LHND|3VULN|479DMG|5RMIN|679ASPD|79BPWR|8AART|aRCR
110	13141 56223	   	172.62	DCR|3DMG|2VULN|1AART|1SELL	1SELL|238DMG|4DUST|56VULN|7AART|9RCR|aERES
111	66312 61211	   	172.62	DCR|3VULN|2DMG|1CDMG|1ZMB	1DUST|235VULN|45DMG|5BPWR|6LWND|7VENICY|8CDMG|9RCR|aZMB
112	52871 44222	 * 	172.58	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|24DMG|3aVULN|5RCR|6LIT|7CGEN|8CDMG|9AART
113	43333 51262	   	172.55	ACR|3VULN|1AART|1DMG|1FLTHEA	1BEXP|2LWND|38aVULN|4DMG|5RCR|6AART|7CGEN|9FLTHEA
114	23411 53522	   	172.53	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	1aERES|2aDUR|3RCR|4LEGI|57ASPD|6DMG|8AART|9aVULN|aBPWR
115	52832 34314	   	172.52	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|26DMG|3aVULN|4LIT|5ZMB|7RCR|8AART|9DMSP
116	43333 56132	 * 	172.48	ACR|2VULN|2DMG|2AART	19BEXP|27LWND|39VULN|49DMG|5RCR|68AART|9BPWR|aRPLT
117	43333 56133	   	172.48	ACR|2VULN|2DMG|2AART	19BEXP|27aLWND|39VULN|49DMG|5RCR|68AART|9BPWR
118	52853 43434	   	172.47	ACR|2VULN|2DMG|1AART|2DUR	1MBVNT|29DMG|39VULN|4ERES|5RCR|6aDUR|7AART|89FEWX|9BPWR
119	43333 56131	   	172.38	ACR|2VULN|2DMG|2AART	19BEXP|27LWND|39VULN|49DMG|5RCR|68AART|9BPWR|aTLV
120	52853 43221	   	172.37	ACR|2VULN|2DMG|1AART|2DUR	1MBVNT|29DMG|38VULN|49ERES|5RCR|69DUR|7AART|9BPWR|aRMIN
121	52853 43224	   	172.37	ACR|2VULN|2DMG|1AART|2DUR	1MBVNT|29DMG|38VULN|49ERES|5RCR|69DUR|7AART|9BPWR|aFEWX
122	53313 67433	 * 	172.35	ACR|3VULN|2AART|3ASPD	1MBVNT|279LHND|379VULN|4RCVC|5RCR|679ASPD|79BPWR|8aAART
123	63333 56132	   	172.28	ACR|2VULN|2DMG|2AART	19DUST|27LWND|39VULN|49DMG|5RCR|68AART|9BPWR|aRPLT
124	63333 56133	   	172.28	ACR|2VULN|2DMG|2AART	19DUST|27aLWND|39VULN|49DMG|5RCR|68AART|9BPWR
125	52853 43222	   	172.27	ACR|2VULN|2DMG|1AART|2DUR	1MBVNT|29DMG|38VULN|49aERES|5RCR|69DUR|7AART|9BPWR
126	52853 43223	   	172.27	ACR|2VULN|2DMG|1AART|2DUR	1MBVNT|29DMG|38VULN|49ERES|5RCR|69DUR|7AART|9BPWR|aTLV
127	13161 51363	   	172.22	DCR|3VULN|2DMG|1AART|1SELL	1SELL|23DMG|4FEWX|567VULN|8AART|9RCR|aCGEN
128	63333 56131	   	172.18	ACR|2VULN|2DMG|2AART	19DUST|27LWND|39VULN|49DMG|5RCR|68AART|9BPWR|aTLV
129	33433 34222	   	172.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1MLV|27DUR|3RCR|4LIT|5aVULN|6DMG|8CDMG|9AART
130	13141 51363	   	172.12	DCR|3VULN|2DMG|1AART|1SELL	1SELL|23DMG|4DUST|567VULN|8AART|9RCR|aBELT
131	13161 51362	   	172.12	DCR|3VULN|2DMG|1AART|1SELL	1SELL|23DMG|4FEWX|567VULN|8AART|9RCR|aDUST
132	13141 51362	   	172.02	DCR|3VULN|2DMG|1AART|1SELL	1SELL|23DMG|4aDUST|567VULN|8AART|9RCR
133	33464 23232	   	171.97	ACR|2VULN|2DMG|1AART|1DUR	1aMLV|2DUR|3RCR|4aDMG|58VULN|6BEXP|7AART|9aTLV|aBPWR
134	52472 24414	   	171.87	DCR|3DMG|2VULN|1AART	1MBVNT|249DMG|3DUST|5AART|69VULN|79LWND|8BELT|9BPWR|aRCR
135	52672 21414	   	171.87	DCR|3DMG|2VULN|1AART	1MBVNT|249DMG|39BEXP|5AART|69VULN|7LEGI|8BELT|9BPWR|aRCR
136	52872 31414	   	171.87	DCR|3DMG|2VULN|1AART	1MBVNT|249DMG|39VULN|5AART|69BEXP|7LEGI|8BELT|9BPWR|aRCR
137	53353 24842	   	171.85	ACR|3VULN|1AART|1DMG|1FLTHEA	1MBVNT|2LHND|349VULN|5RCR|6BEXP|7AART|8DMG|aFLTHEA
138	12131 56225	 * 	171.82	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1SELL|2BEXP|3RCVC|48DMG|56VULN|7AART|9CDMG|aRCR
139	52251 32612	   	171.77	ACR|2VULN|2DMG|1AART|2DUR	1MBVNT|2aDMG|36ERES|4RMIN|5RCR|7aVULN|8AART|9aDUR|aBPWR
140	52853 23433	   	171.68	ACR|2VULN|2DMG|2AART	1MBVNT|29DMG|39VULN|4ERES|5RCR|6BEXP|7aAART|89FEWX|9BPWR
141	52472 21414	   	171.67	DCR|3DMG|2VULN|1AART	1MBVNT|249DMG|39DUST|5AART|69VULN|7LEGI|8BELT|9BPWR|aRCR
142	33432 34421	   	171.62	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1MLV|2DUR|3RCR|4LIT|5ZMB|68DMG|7aVULN|9CDMG
143	52871 13423	 * 	171.45	ACR|3DMG|1AART|1VULN|1CDMG	1MBVNT|249DMG|3VULN|5RCR|69CGEN|79FEWX|8AART|9BPWR|aCDMG
144	52248 37412	   	171.41	DCR|3VULN|2DMG|1ZMB|1ASPD	1MBVNT|2aDMG|3aERES|4RCVC|5ASPD|6ZMB|79aVULN|8RCR|aBPWR
145	66312 13613	   	171.40	DCR|4VULN|2DMG|1ASPD	1DUST|2359VULN|45DMG|5BPWR|6TLV|7BEXP|8RCR|aASPD
146	52853 31442	 * 	171.27	ACR|3VULN|2DMG|1CDMG|1DUR	1MBVNT|27DMG|37aVULN|47ERES|5RCR|6LEGI|7BPWR|8DUR|9CDMG
147	52853 31444	 * 	171.27	ACR|3DMG|2VULN|1CDMG|1DUR	1MBVNT|27aDMG|37VULN|47ERES|5RCR|6LEGI|7BPWR|8DUR|9CDMG
148	52871 14423	   	171.25	ACR|3DMG|1AART|1VULN|1CDMG	1MBVNT|249DMG|3VULN|5RCR|69CGEN|79DUST|8AART|9BPWR|aCDMG
149	52871 33423	   	171.25	ACR|3DMG|1AART|1VULN|1CDMG	1MBVNT|249DMG|3VULN|5RCR|69ERES|79FEWX|8AART|9BPWR|aCDMG
150	42318 41272	   	171.24	DCR|3VULN|1AART|1FLTHEA|1DUR|1ASPD	1BEXP|2MBVNT|378VULN|4DUR|5AART|6RCR|9ASPD|aFLTHEA
151	51318 41272	   	171.24	DCR|3VULN|1AART|1FLTHEA|1DUR|1ASPD	1MBVNT|2BEXP|378VULN|4DUR|5AART|6RCR|9ASPD|aFLTHEA
152	33433 31213	   	171.13	ACR|2VULN|2AART|1DMG|2DUR	1MLV|2aDUR|3RCR|4LIT|58VULN|6DMG|79AART
153	52871 34423	   	171.05	ACR|3DMG|1AART|1VULN|1CDMG	1MBVNT|249DMG|3VULN|5RCR|69ERES|79DUST|8AART|9BPWR|aCDMG
154	52871 44314	   	170.98	ACR|2VULN|2DMG|2AART	1MBVNT|24DMG|3aVULN|5RCR|6LIT|7CGEN|89AART
155	52277 32314	   	170.88	ACR|2VULN|2DMG|2AART	1MBVNT|26DMG|3ERES|4LIT|5RCR|7aVULN|89AART
156	42323 48482	   	170.74	ACR|2VULN|2DMG|1AART|1ZMB	1aBEXP|2MBVNT|3aVULN|4CGEN|5RCR|6DMSP|7ZMB|8AART|9aDMG|aBPWR
157	51323 48482	   	170.74	ACR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2aBEXP|3aVULN|4CGEN|5RCR|6DMSP|7ZMB|8AART|9aDMG|aBPWR
158	42318 41283	   	170.72	DCR|3VULN|1AART|1DMG|1DUR	1BEXP|2MBVNT|378VULN|4DUR|5AART|6RCR|9DMG|aCGEN
159	42318 41284	   	170.72	DCR|3VULN|1AART|1DMG|1DUR	1BEXP|2MBVNT|378VULN|4DUR|5AART|6RCR|9DMG|aRMIN
160	42318 41832	   	170.72	DCR|3VULN|1AART|1DMG|1DUR	1BEXP|2MBVNT|37aVULN|4DUR|5AART|6RCR|8DMG|9CGEN
161	51318 41283	   	170.72	DCR|3VULN|1AART|1DMG|1DUR	1MBVNT|2BEXP|378VULN|4DUR|5AART|6RCR|9DMG|aCGEN
162	51318 41284	   	170.72	DCR|3VULN|1AART|1DMG|1DUR	1MBVNT|2BEXP|378VULN|4DUR|5AART|6RCR|9DMG|aRMIN
163	51318 41832	   	170.72	DCR|3VULN|1AART|1DMG|1DUR	1MBVNT|2BEXP|37aVULN|4DUR|5AART|6RCR|8DMG|9CGEN
164	52314 53633	   	170.72	DCR|3VULN|3DMG	1MBVNT|258DMG|3AIRHEL|48aVULN|6RCR|78TLV|8BPWR|9CGEN
165	52314 53644	   	170.72	DCR|3VULN|3DMG	1MBVNT|258DMG|3AIRHEL|48aVULN|6RCR|78TLV|8BPWR|9MLV
