0	Index      	 *	Score 	Summary	Detail	
1	11631 11651	 * 	199.65	ACR|3VULN|2DMG|1AART|2ZMB	19aVULN|2AART|3RCVC|4RCR|59ZMB|6AIRHEL|7LHND|89DMG|9BPWR
20	11633 32166	   	187.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	19aVULN|2AART|3RCVC|4RCR|5DUR|6TLV|7DMG|8CDMG
21	11631 31345	   	186.98	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|7FEWX|9aDMG
22	11631 61111	   	186.98	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	18VULN|2AART|3RCVC|4RCR|5ZMB|6ASPD|7aDMG|9LIT
23	11631 61213	   	186.98	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	19VULN|2AART|3RCVC|4RCR|5ZMB|6ASPD|7aDMG|8RPLT
24	58144 44235	 * 	186.90	ACR|3DMG|2VULN|3ASPD|1FLTHEA	1MBVNT|279ASPD|37ERES|4RCR|579DMG|6RPLT|79BPWR|89VULN|aFLTHEA
25	58144 44236	 * 	186.90	ACR|3DMG|2VULN|3ASPD|1CDMG	1MBVNT|279ASPD|37ERES|4RCR|579DMG|6RPLT|79BPWR|89VULN|aCDMG
26	54242 23163	 * 	186.67	DCR|3VULN|2AART|2DMG|1SELL	1MBVNT|2SELL|36AART|47DMG|57aVULN|7BPWR|8RMIN|9RCR
27	54242 13222	   	186.47	DCR|3DMG|2VULN|1AART|1CDMG|1SELL	1MBVNT|2SELL|3AART|467DMG|57VULN|7BPWR|8RPLT|9CDMG|aRCR
28	15123 53162	   	186.02	DCR|3DMG|2VULN|1AART|1CDMG	19VULN|2DMSP|36TLV|4AART|567DMG|6BPWR|8CDMG|aRCR
29	11211 15662	   	185.44	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	18VULN|2AART|3DUST|48AIRHEA|5ASPD|6DUR|78DMG|8BPWR|9CDMG|aRCR
30	11311 33375	 * 	185.18	DCR|2VULN|2DMG|1AART|2CDMG	1aVULN|2AART|3DLOT|4aDMG|5LIT|6CGEN|7RCR|8MBVNT|9aCDMG|aBPWR
31	11631 11652	   	185.17	ACR|2VULN|2DMG|1AART|2ZMB	19VULN|2AART|3aRCVC|4RCR|59ZMB|6AIRHEL|7LHND|89DMG|9BPWR
32	11311 43375	   	185.08	DCR|2VULN|2DMG|1AART|2CDMG	1aVULN|2AART|3DLOT|4aDMG|5LIT|6TLV|7RCR|8MBVNT|9aCDMG|aBPWR
33	11631 22615	 * 	185.05	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1VULN|2AART|3RCVC|4RCR|5ZMB|6LHND|79aDMG|8DUR
34	11631 32515	   	185.05	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|79aDMG|8BEXP
35	11631 36111	   	185.05	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	178VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|9LIT|aDMG
36	11631 61116	   	185.05	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	18aVULN|2AART|3RCVC|4RCR|5ZMB|6ASPD|7DMG|9LIT
37	11631 61151	   	185.05	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	189VULN|2AART|3RCVC|4RCR|5ZMB|6ASPD|7DMG|aRPLT
38	11631 61152	   	185.05	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	189VULN|2AART|3RCVC|4RCR|5ZMB|6ASPD|7DMG|aLHND
39	58123 22236	 * 	184.75	DCR|2VULN|2DMG|2ASPD|1CDMG|1ZMB|1DUR	1MBVNT|29ASPD|3ERES|49DMG|5DUR|6RCR|7CDMG|89VULN|9BPWR|aZMB
40	54242 23161	 * 	184.67	DCR|2AART|2VULN|2DMG|1CDMG|1SELL	1MBVNT|2SELL|36AART|47DMG|57VULN|7BPWR|8RMIN|9RCR|aCDMG
41	11633 24738	 * 	184.37	ACR|3VULN|2AART|1CDMG|2DUR	179VULN|28AART|3RCVC|4RCR|57DUR|6MBVNT|7BPWR|aCDMG
42	58144 44237	   	184.25	ACR|3DMG|2VULN|3ASPD|1ZMB	1MBVNT|279ASPD|37ERES|4RCR|579DMG|6RPLT|79BPWR|89VULN|aZMB
43	11661 22324	   	184.01	DCR|3VULN|2DMG|1AART|1ASPD	147VULN|2AART|3RCVC|57CANSTR|67DMG|7BPWR|8ASPD|9BELT|aRCR
44	11631 11653	   	183.89	ACR|2VULN|2DMG|1AART|2ZMB	19VULN|2AART|3RCVC|4RCR|59ZMB|6AIRHEL|7LHND|89DMG|9BPWR|aTLV
45	54242 15522	   	183.73	DCR|3DMG|2VULN|1AART|1ZMB|1SELL	1MBVNT|2SELL|3AART|468DMG|57VULN|9ZMB|aRCR
46	11112 52461	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	17VULN|2AART|37BEXP|4AIRHEA|5CANHEL|67DMG|7BPWR|8RCR|9CDMG|aASPD
47	11212 52461	   	183.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	17VULN|2AART|37DUST|4AIRHEA|5CANHEL|67DMG|7BPWR|8RCR|9CDMG|aASPD
48	11631 22442	   	183.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1VULN|2AART|3RCVC|4RCR|5ZMB|6LHND|79DMG|8ASPD|aCDMG
49	11631 32123	   	183.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|7aDMG|8CDMG|9RPLT
50	11631 32126	   	183.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1aVULN|2AART|3RCVC|4RCR|5ZMB|6DUR|7DMG|8CDMG|9RPLT
51	11631 32162	   	183.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	19VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|7DMG|8CDMG|aLWND
52	11631 32163	   	183.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	19VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|7DMG|8CDMG|aRPLT
53	11631 32165	   	183.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	19VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|7DMG|8CDMG|aLHND
54	11631 61122	   	183.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	18VULN|2AART|3RCVC|4RCR|5ZMB|6ASPD|7DMG|9LHND|aCDMG
55	11631 61342	   	183.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1VULN|2AART|3RCVC|4RCR|5ZMB|6ASPD|79DMG|8FEWX|aCDMG
56	11631 32112	   	182.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1aVULN|2AART|3RCVC|4RCR|5ZMB|6DUR|7DMG|8CDMG|9BASICY
57	11631 32115	   	182.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|7aDMG|8CDMG|9BASICY
58	11631 32342	   	182.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|79DMG|8ERES|aCDMG
59	13413 42848	   	182.67	DCR|3VULN|2DMG|1AART	14aVULN|2RCVC|3LWND|5MBVNT|6RCR|7aBASICY|8aDMG|9AART|aBPWR
60	52287 24211	   	182.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1MBVNT|2DUR|3CGEN|48VULN|59DMG|6RCR|7AART|aZMB
61	52487 24211	   	182.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1MBVNT|2DUR|3RMIN|48VULN|59DMG|6RCR|7AART|aZMB
62	52282 24213	   	182.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1MBVNT|2DUR|3CGEN|48VULN|5ZMB|6RCR|7AART|9aDMG
63	52482 24213	   	182.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1MBVNT|2DUR|3RMIN|48VULN|5ZMB|6RCR|7AART|9aDMG
64	21663 41222	 * 	182.36	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|2DUR	1RMIN|2AART|3DMG|4aVULN|58DUR|6FLTHEA|7CDMG|9RCR
65	52182 24213	   	182.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1MBVNT|2DUR|3TLV|48VULN|5ZMB|6RCR|7AART|9aDMG
66	52187 24211	   	182.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1MBVNT|2DUR|3TLV|48VULN|59DMG|6RCR|7AART|aZMB
67	53842 24213	   	182.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1MBVNT|2ERES|38VULN|4DUR|5ZMB|6RCR|7AART|9aDMG
68	53847 24211	   	182.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1MBVNT|2ERES|38VULN|4DUR|59DMG|6RCR|7AART|aZMB
69	53871 24211	   	182.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1MBVNT|2ERES|38VULN|49DMG|5DUR|6RCR|7AART|aZMB
70	55842 24213	   	182.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1MBVNT|2TLV|38VULN|4DUR|5ZMB|6RCR|7AART|9aDMG
71	11631 42161	   	182.32	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	19VULN|2AART|3RCVC|4RCR|5ZMB|6DUST|7DMG|8aCDMG
72	11225 41225	   	182.26	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|2DUR	14VULN|2AART|34DUST|4BPWR|58DUR|6FLTHEA|7CDMG|9RCR|aDMG
73	54242 13263	   	182.16	DCR|3DMG|2VULN|1AART|1ASPD|1SELL	1MBVNT|2SELL|3AART|467DMG|57VULN|7BPWR|8RPLT|9RCR|aASPD
74	54242 23162	 * 	182.02	DCR|2AART|2VULN|2DMG|1ZMB|1SELL	1MBVNT|2SELL|36AART|47DMG|57VULN|7BPWR|8RMIN|9RCR|aZMB
75	11631 32635	   	182.01	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	19VULN|28AART|3aRCVC|4RCR|5ZMB|6DUR|7DMG
76	11433 63362	 * 	181.82	DCR|4VULN|1AART|1DMG|1DUR	156aVULN|2AART|3LIT|4ERES|7DUR|8RCR|9DMG
77	11636 11153	 * 	181.73	ACR|4VULN|1AART|1CDMG|1ASPD	1589VULN|2AART|3RCVC|4RCR|6BEXP|7ASPD|aCDMG
78	11636 31153	   	181.63	ACR|4VULN|1AART|1CDMG|1ASPD	1589VULN|2AART|3RCVC|4RCR|6DUST|7ASPD|aCDMG
79	11633 24551	   	181.62	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	17VULN|2AART|3RCVC|4RCR|57DUR|6MBVNT|7BPWR|8ASPD|9DMG|aZMB
80	11633 24213	   	181.27	ACR|2VULN|2DMG|1AART|2DUR	17VULN|2AART|3RCVC|4RCR|57DUR|6MBVNT|7BPWR|8LHND|9aDMG
81	11633 24613	   	181.27	ACR|2VULN|2DMG|1AART|2DUR	17VULN|2AART|3RCVC|4RCR|57DUR|6MBVNT|7BPWR|8BEXP|9aDMG
82	11111 15652	 * 	180.90	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	18VULN|2AART|3BEXP|48AIRHEA|5aASPD|6DUR|78DMG|8BPWR|9RCR
83	11631 32631	   	180.84	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	19VULN|28AART|3RCVC|4RCR|5ZMB|6DUR|7DMG|aFEWX
84	11631 32636	   	180.84	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	19VULN|28AART|3RCVC|4RCR|5ZMB|6DUR|7DMG|aLIT
85	11631 61125	   	180.84	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	18VULN|2aAART|3RCVC|4RCR|5ZMB|6ASPD|7DMG|9LHND
86	11631 32632	   	180.74	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	19VULN|28AART|3RCVC|4RCR|5ZMB|6DUR|7DMG|aERES
87	11631 32633	   	180.74	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	19VULN|28AART|3RCVC|4RCR|5ZMB|6DUR|7DMG|aLEGI
88	12111 42264	 * 	180.62	DCR|4VULN|2DMG|2ASPD	1489VULN|29CGEN|3ERES|5aASPD|69DMG|7RCR|9BPWR
89	11632 32166	   	180.55	ACR|3VULN|1AART|1DMG|1CDMG	19aVULN|2AART|3RCVC|4RCR|5DUST|6TLV|7DMG|8CDMG
90	52282 24217	   	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1MBVNT|2DUR|3CGEN|48aVULN|5ZMB|6RCR|7AART|9DMG
91	52482 24217	   	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1MBVNT|2DUR|3RMIN|48aVULN|5ZMB|6RCR|7AART|9DMG
92	52182 24217	   	180.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1MBVNT|2DUR|3TLV|48aVULN|5ZMB|6RCR|7AART|9DMG
93	53842 24217	   	180.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1MBVNT|2ERES|38aVULN|4DUR|5ZMB|6RCR|7AART|9DMG
94	52325 12624	 * 	180.26	DCR|3DMG|2VULN|3DUR|2ASPD	1MBVNT|236DUR|46aDMG|5RPLT|6aBPWR|7aVULN|8RCR|9aASPD
95	22211 62323	 * 	180.06	DCR|3VULN|2DMG|2ASPD|1CDMG	1RMIN|28DMG|349VULN|56ASPD|7RCR|aCDMG
96	11631 21345	   	180.04	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|2AART|3RCVC|4RCR|5ZMB|6LHND|7FEWX|9aDMG
97	11631 11631	   	179.94	ACR|2VULN|2DMG|1AART|1ZMB	1aVULN|2AART|3RCVC|4RCR|5ZMB|6AIRHEL|7LHND|89DMG
98	11225 41231	   	179.86	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|2DUR	14VULN|2AART|34DUST|4BPWR|58DUR|6FLTHEA|7CDMG|9DMG|aRCR
99	52322 83184	   	179.75	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1MBVNT|23DUR|4aDMG|5ASPD|6RCR|7AART|8CDMG|9VULN
100	11126 22411	   	179.62	DCR|4VULN|1AART|1DMG|1ASPD	1457VULN|2AART|34BEXP|4BPWR|6ASPD|8LIT|9RCR|aDMG
101	11643 53132	 * 	179.55	DCR|3DMG|1AART|1VULN|2CDMG	1VULN|2AART|3RCVC|46MLV|567DMG|6BPWR|89CDMG|aRCR
102	11211 15653	   	179.48	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	18VULN|2AART|3DUST|48AIRHEA|5ASPD|6aDUR|78DMG|8BPWR|9RCR
103	11665 23311	   	179.47	DCR|3VULN|2DMG|1AART	147VULN|2AART|3RCVC|5LIT|6LWND|8aDMG|9RCR
104	11633 24217	   	179.34	ACR|3VULN|1AART|1DMG|2DUR	17aVULN|2AART|3RCVC|4RCR|57DUR|6MBVNT|7BPWR|8LHND|9DMG
105	11633 24871	 * 	179.24	ACR|3VULN|1AART|2CDMG|2DUR	179VULN|2AART|3RCVC|4RCR|57DUR|6MBVNT|7BPWR|8aCDMG
106	22513 43532	 * 	179.13	DCR|3VULN|2DMG|2FLTHEA|1ZMB	1RMIN|2aDMG|3BEXP|47aVULN|5AIRHEL|6ZMB|8aFLTHEA|9RCR|aBPWR
107	11633 32442	   	178.88	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1VULN|2AART|3RCVC|4RCR|5DUR|6TLV|79DMG|8ASPD|aCDMG
108	11633 32164	   	178.88	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	19VULN|2AART|3RCVC|4RCR|5DUR|6TLV|7DMG|8CDMG|aASPD
109	11131 43562	   	178.70	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	17VULN|2AART|37BEXP|4DUST|5ASPD|67DMG|7BPWR|8MGNLIT|9CDMG|aRCR
110	11631 26142	   	178.63	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	178VULN|2AART|3RCVC|4RCR|5ZMB|6LHND|9DUR|aCDMG
111	11631 36122	   	178.63	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	178VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|9LHND|aCDMG
112	11631 36162	   	178.63	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	178VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|9BEXP|aCDMG
113	11131 43112	   	178.60	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	17VULN|2AART|37BEXP|4DUST|5ASPD|67DMG|7BPWR|8CDMG|9BASICY|aRCR
114	11211 35662	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	18VULN|2AART|3DUST|48AIRHEA|5ASPD|6LWND|78DMG|8BPWR|9CDMG|aRCR
115	11112 52451	   	178.47	DCR|3VULN|2DMG|1AART	179VULN|2AART|37BEXP|4AIRHEA|5CANHEL|67DMG|7BPWR|8RCR|aLIT
116	13123 53132	   	178.45	DCR|3DMG|1AART|1VULN|2CDMG	1VULN|2RCVC|36TLV|4AART|567DMG|6BPWR|89CDMG|aRCR
117	11211 25662	   	178.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	18VULN|2AART|38DUST|4AIRHEA|5ASPD|6LEGI|78DMG|8BPWR|9CDMG|aRCR
118	11112 52423	   	178.37	DCR|3VULN|2DMG|1AART	17aVULN|2AART|37BEXP|4AIRHEA|5CANHEL|67DMG|7BPWR|8RCR|9ERES
119	11112 52443	   	178.37	DCR|3VULN|2DMG|1AART	17aVULN|2AART|37BEXP|4AIRHEA|5CANHEL|67DMG|7BPWR|8RCR|9TLV
120	11112 52452	   	178.37	DCR|3VULN|2DMG|1AART	179VULN|2AART|37BEXP|4AIRHEA|5CANHEL|67DMG|7BPWR|8RCR|aERES
121	11212 52451	   	178.27	DCR|3VULN|2DMG|1AART	179VULN|2AART|37DUST|4AIRHEA|5CANHEL|67DMG|7BPWR|8RCR|aLIT
122	11633 32161	   	178.25	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	19VULN|2AART|3RCVC|4RCR|5DUR|6TLV|7DMG|8aCDMG
123	11212 52423	   	178.17	DCR|3VULN|2DMG|1AART	17aVULN|2AART|37DUST|4AIRHEA|5CANHEL|67DMG|7BPWR|8RCR|9ERES
124	11212 52443	   	178.17	DCR|3VULN|2DMG|1AART	17aVULN|2AART|37DUST|4AIRHEA|5CANHEL|67DMG|7BPWR|8RCR|9TLV
125	11212 52452	   	178.17	DCR|3VULN|2DMG|1AART	179VULN|2AART|37DUST|4AIRHEA|5CANHEL|67DMG|7BPWR|8RCR|aERES
126	11631 22515	   	178.11	ACR|3DMG|1AART|1VULN|1ZMB	1VULN|2AART|3RCVC|4RCR|5ZMB|6LHND|79aDMG|8BEXP
127	11631 26111	   	178.11	ACR|3VULN|1AART|1DMG|1ZMB	178VULN|2AART|3RCVC|4RCR|5ZMB|6LHND|9LIT|aDMG
128	11631 56111	   	178.11	ACR|3VULN|1AART|1DMG|1ZMB	178VULN|2AART|3RCVC|4RCR|5ZMB|6LWND|9LIT|aDMG
129	11636 14111	   	178.11	ACR|3VULN|1AART|1DMG|1ZMB	158VULN|2AART|3RCVC|4RCR|6BEXP|7ZMB|9LIT|aDMG
130	11631 16432	   	178.01	ACR|3VULN|1AART|1DMG|1ZMB	18aVULN|2AART|3RCVC|4RCR|5ZMB|6AIRHEL|7DMG|9RPLT
131	11631 46111	   	178.01	ACR|3VULN|1AART|1DMG|1ZMB	178VULN|2AART|3RCVC|4RCR|5ZMB|6DUST|9LIT|aDMG
132	11636 34111	   	178.01	ACR|3VULN|1AART|1DMG|1ZMB	158VULN|2AART|3RCVC|4RCR|6DUST|7ZMB|9LIT|aDMG
133	54242 23165	 * 	177.96	DCR|2AART|2VULN|2DMG|1ASPD|1SELL	1MBVNT|2SELL|36AART|47DMG|57VULN|7BPWR|8RMIN|9RCR|aASPD
134	11633 24735	   	177.66	ACR|3VULN|2AART|2DUR|1ASPD	179VULN|28AART|3RCVC|4RCR|57DUR|6MBVNT|7BPWR|aASPD
135	54242 14522	 * 	177.59	DCR|3DMG|2AART|1VULN|1ZMB|1SELL	1MBVNT|2SELL|37AART|468DMG|5VULN|9ZMB|aRCR
136	26112 31125	   	177.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|2MGNLIT|37VULN|4aDMG|5CDMG|6DUR|8AART|9RCR
137	11633 24844	   	177.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	17VULN|2AART|3RCVC|4RCR|57DUR|6MBVNT|7BPWR|8CDMG|9LWND|aDMG
138	22225 31125	   	177.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RMIN|2aDMG|37VULN|4CDMG|5BASHEA|6DUR|8AART|9RCR
139	11633 24816	   	177.23	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	17VULN|2AART|3RCVC|4RCR|57DUR|6MBVNT|7BPWR|8CDMG|9BASICY|aDMG
140	11633 24854	   	177.23	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	17VULN|2AART|3RCVC|4RCR|57DUR|6MBVNT|7BPWR|8CDMG|9LEGI|aDMG
141	11125 41222	   	177.16	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	14VULN|2AART|34BEXP|4BPWR|5DUR|6FLTHEA|7CDMG|8LWND|9RCR|aDMG
142	11125 41322	   	177.16	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	14VULN|2AART|34BEXP|4BPWR|5DUR|6FLTHEA|7CDMG|8FEWX|9RCR|aDMG
143	11225 41142	   	176.96	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	14VULN|2AART|34DUST|4BPWR|5DUR|6FLTHEA|7CDMG|8BEXP|9RCR|aDMG
144	11225 41342	   	176.96	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	14VULN|2AART|34DUST|4BPWR|5DUR|6FLTHEA|7CDMG|8FEWX|9RCR|aDMG
145	11224 41242	   	176.96	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	14VULN|2AART|34DUST|4BPWR|5LHND|6FLTHEA|7CDMG|8DUR|9RCR|aDMG
146	11443 12261	 * 	176.93	DCR|3VULN|1AART|1DMG|2ASPD	159VULN|2AART|39LIT|4CGEN|6TLV|7RCR|89ASPD|9BPWR|aDMG
147	11631 32612	 * 	176.90	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|28AART|3RCVC|4RCR|5ZMB|6DUR|7DMG|9CGEN|aCDMG
148	11422 56112	   	176.68	DCR|3VULN|1AART|1DMG|1ZMB	15aVULN|2AART|3LIT|4aFEWX|6RCR|7DMG|8ZMB|9aCANSTR|aBPWR
149	11315 52334	 * 	176.57	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	157VULN|2AART|3DLOT|4DMG|6MLV|8CDMG|9ASPD|aRCR
150	11313 32334	   	176.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	167VULN|2AART|3DLOT|4DMG|5TLV|8CDMG|9ASPD|aRCR
151	11631 36125	   	176.43	ACR|3VULN|2AART|1ZMB|1DUR	178VULN|2aAART|3RCVC|4RCR|5ZMB|6DUR|9LHND
152	11112 52463	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|2AART|37BEXP|4AIRHEA|5CANHEL|67DMG|7BPWR|8RCR|9CDMG|aERES
153	11631 32433	   	176.33	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|7aDMG|8ASPD|9BEXP
154	11631 32443	   	176.33	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1VULN|2AART|3RCVC|4RCR|5ZMB|6DUR|79DMG|8ASPD|aCGEN
