0	Index      	 *	Score 	Summary	Detail	
1	15262 24321	 * 	190.35	DCR|2VULN|2DMG|1AART|2ASPD|1FLTHEA|1DUR	13ASPD|23DMG|3BPWR|4DUST|5AART|69VULN|7DUR|8FLTHEA|aRCR
50	15262 42232	   	173.12	DCR|2AART|2DMG|1VULN|2ASPD	13ASPD|23DMG|3BPWR|4DUST|5aAART|6RCR|7LEGI|8VULN|9BELT
51	22311 36255	 * 	173.06	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1RMIN|2DMG|3CGEN|4DUR|5aAART|67VULN|8CDMG|9RCR
52	16641 34225	 * 	172.96	DCR|2VULN|2DMG|2CDMG|2ASPD|1DUR	18ASPD|2DUR|3MBVNT|48CDMG|5MLV|6aVULN|78DMG|8BPWR|9RCR
53	52351 23412	 * 	172.83	DCR|3VULN|2AART|1DMG	19AART|2DUST|3LHND|47aVULN|5DMG|6CGEN|8RCR
54	15262 42233	   	172.68	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	13ASPD|23DMG|3BPWR|4DUST|5AART|6RCR|7LEGI|8VULN|9BELT|aZMB
55	15222 62112	 * 	172.65	ACR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|4CGEN|5RCR|6aVULN|7aLWND|9RCVC
56	15262 42322	   	172.58	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	13ASPD|23DMG|3BPWR|4DUST|5AART|6RCR|7LEGI|8ZMB|9ERES|aVULN
57	15321 36252	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2DMG|3CGEN|4DUST|5AART|67VULN|8CDMG|9RCR|aZMB
58	35326 31534	   	172.46	DCR|2AART|2VULN|2DMG	1aLHND|2aVULN|3MBVNT|4FEWX|57AART|6SNIHEL|8RCR|9aDMG|aBPWR
59	35348 11534	   	172.46	DCR|2AART|2VULN|2DMG	1aLHND|2aVULN|3MBVNT|4CANHEL|57AART|6FEWX|8RCR|9aDMG|aBPWR
60	35348 31534	   	172.36	DCR|2AART|2VULN|2DMG	1aLHND|2aVULN|3MBVNT|4CANHEL|57AART|6DUST|8RCR|9aDMG|aBPWR
61	35422 11413	 * 	172.27	DCR|4VULN|1DMG|1CDMG|1ASPD	1LHND|2389VULN|4TLV|5ASPD|6RCR|7CDMG|aDMG
62	22321 36254	   	172.16	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|2aDMG|3CGEN|4DUST|5AART|67VULN|8CDMG|9RCR
63	15211 63412	   	172.12	ACR|2VULN|2DMG|2ASPD|2DUR|1ZMB	13ASPD|23DMG|3BPWR|4DMSP|5RCR|67DUR|8aVULN|9ZMB
64	15262 16213	   	172.06	DCR|2VULN|2DMG|1AART|2ASPD	13ASPD|23DMG|3BPWR|4DUST|5AART|6LIT|78VULN|9RCR|aERES
65	13532 43224	   	171.92	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|2FEWX|3aDMG|4RCVC|5AART|6RCR|7CGEN|8CDMG|9VULN
66	13532 46221	   	171.92	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|2FEWX|3DMG|4RCVC|5AART|6RCR|7FLTHEA|89VULN|aRMIN
67	13532 46223	   	171.92	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|2FEWX|3DMG|4RCVC|5AART|6RCR|7FLTHEA|89VULN|aCGEN
68	11532 46221	   	171.82	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|2DUST|3DMG|4RCVC|5AART|6RCR|7FLTHEA|89VULN|aRMIN
69	11532 46223	   	171.82	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|2DUST|3DMG|4RCVC|5AART|6RCR|7FLTHEA|89VULN|aCGEN
70	11532 46233	   	171.82	DCR|2DMG|1AART|1VULN|1FLTHEA|1ASPD	1ASPD|2DUST|3aDMG|4RCVC|5AART|6RCR|7FLTHEA|8VULN|9FEWX
71	11532 46323	   	171.82	DCR|2DMG|1AART|1VULN|1FLTHEA|1ASPD	1ASPD|2DUST|3aDMG|4RCVC|5AART|6RCR|7FLTHEA|8LWND|9VULN
72	11532 43224	   	171.82	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|2DUST|3aDMG|4RCVC|5AART|6RCR|7CGEN|8CDMG|9VULN
73	13532 41224	   	171.82	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|2FEWX|3aDMG|4RCVC|5AART|6RCR|7ERES|8CDMG|9VULN
74	13532 46222	   	171.82	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|2FEWX|3DMG|4RCVC|5AART|6RCR|7FLTHEA|89VULN|aTLV
75	11532 41224	   	171.72	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|2DUST|3aDMG|4RCVC|5AART|6RCR|7ERES|8CDMG|9VULN
76	11532 46222	   	171.72	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|2DUST|3DMG|4RCVC|5AART|6RCR|7FLTHEA|89VULN|aTLV
77	35422 11412	 * 	171.54	DCR|5VULN|2CDMG|1ASPD	1aLHND|2389aVULN|4TLV|5ASPD|6RCR|7aCDMG|aBPWR
78	15222 36141	 * 	171.45	ACR|3DMG|1AART|3ASPD|2ZMB	138ASPD|238DMG|38BPWR|4CGEN|5RCR|69LHND|78ZMB|aAART
79	15222 13111	   	171.25	ACR|3DMG|1AART|1VULN|2ASPD	13ASPD|239DMG|3BPWR|4CGEN|5RCR|6AIRHEA|7VULN|8AART|aLWND
80	15222 13112	   	171.25	ACR|3DMG|1AART|1VULN|2ASPD	13ASPD|239DMG|3BPWR|4CGEN|5RCR|6AIRHEA|7VULN|8AART|aFEWX
81	35633 61111	   	171.16	DCR|2VULN|2DMG|2AART	1LHND|25VULN|3LIT|4aDMG|6DUST|79AART|8RCR
82	15222 13116	   	171.15	ACR|3DMG|1AART|1VULN|2ASPD	13ASPD|239DMG|3BPWR|4CGEN|5RCR|6AIRHEA|7VULN|8AART|aDUST
83	15212 11214	   	171.10	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	13ASPD|23DMG|3BPWR|4DMSP|5ERES|6RCR|78VULN|9DUR|aZMB
84	15211 11622	   	171.05	ACR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|4DMSP|5RCR|6CGEN|7aVULN|9aBEXP
85	15211 11632	   	171.05	ACR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|4DMSP|5RCR|6CGEN|7aVULN|9aLHND
86	15211 11652	   	171.05	ACR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|4DMSP|5RCR|6CGEN|7aVULN|9aLWND
87	15222 31562	   	171.05	ACR|3DMG|2VULN|3ASPD	13aASPD|239DMG|3aBPWR|4CGEN|5RCR|6aLHND|7DMSP|8aVULN
88	15222 61622	   	171.05	ACR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|4CGEN|5RCR|6aVULN|7DMSP|9aBEXP
89	15222 61632	   	171.05	ACR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|4CGEN|5RCR|6aVULN|7DMSP|9aLHND
90	15222 64122	   	171.05	ACR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|49CGEN|5RCR|6aVULN|7aBEXP
91	15211 11362	   	170.95	ACR|3DMG|2VULN|3ASPD	13aASPD|239DMG|3aBPWR|4DMSP|5RCR|6aCGEN|7aVULN|8LEGI
92	15222 61362	   	170.95	ACR|3DMG|2VULN|3ASPD	13aASPD|239DMG|3aBPWR|4aCGEN|5RCR|6aVULN|7DMSP|8LEGI
93	15211 11262	   	170.85	ACR|3DMG|2VULN|3ASPD	13aASPD|239DMG|3aBPWR|4DMSP|5RCR|6CGEN|7aVULN|8aDUST
94	15211 11612	   	170.85	ACR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|4DMSP|5RCR|6CGEN|7aVULN|9aDUST
95	15211 13562	   	170.85	ACR|3DMG|2VULN|3ASPD	13aASPD|239DMG|3aBPWR|4DMSP|5RCR|6CGEN|7aDUST|8aVULN
96	15222 22224	   	170.85	ACR|3DMG|2VULN|3ASPD	136ASPD|237DMG|3BPWR|4CGEN|5RCR|8aVULN|9LIT
97	15222 61262	   	170.85	ACR|3DMG|2VULN|3ASPD	13aASPD|239DMG|3aBPWR|4CGEN|5RCR|6aVULN|7DMSP|8aDUST
98	15222 61612	   	170.85	ACR|3DMG|2VULN|3ASPD	13aASPD|238DMG|3aBPWR|4CGEN|5RCR|6aVULN|7DMSP|9aDUST
99	22252 62214	   	170.85	ACR|3DMG|2VULN|2CDMG	1RMIN|23aDMG|3aBPWR|4NUKE|5RCR|6aVULN|7FEWX|8TLV|9aCDMG
100	22252 63214	   	170.85	ACR|3DMG|2VULN|2CDMG	1RMIN|23aDMG|3aBPWR|4NUKE|5RCR|6aVULN|7LHND|8TLV|9aCDMG
101	15311 31254	   	170.76	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1ASPD|2aDMG|3CGEN|4DUR|5AART|6VULN|7RCVC|8CDMG|9RCR
102	16212 66112	 * 	170.71	ACR|3VULN|3ZMB|2ASPD|2DUR	18ASPD|23DUR|4RCVC|5RCR|68aVULN|789ZMB|8BPWR
103	15121 66122	   	170.71	DCR|3VULN|2DMG|1ZMB|1ASPD	1ASPD|28DMG|3ZMB|4DUST|5DMSP|69aVULN|7RCR
104	53134 11211	   	170.58	DCR|2AART|2DMG|1VULN|1ZMB	13AART|2LHND|4ZMB|5ERES|6LIT|7RCR|8VULN|9aDMG
105	53155 11211	   	170.58	DCR|2AART|2DMG|1VULN|1ZMB	13AART|2LHND|4TLV|5ZMB|6LIT|7RCR|8VULN|9aDMG
106	52532 11211	   	170.48	DCR|2AART|2DMG|1VULN|1ZMB	13AART|2DUST|4ZMB|5TLV|6LIT|7RCR|8VULN|9aDMG
107	52534 11211	   	170.48	DCR|2AART|2DMG|1VULN|1ZMB	13AART|2DUST|4ZMB|5ERES|6LIT|7RCR|8VULN|9aDMG
108	16256 12121	 * 	170.42	DCR|3VULN|1AART|3DUR|2ASPD	19ASPD|237DUR|489VULN|59TLV|6RCR|9BPWR|aAART
109	35213 12354	   	170.36	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|26VULN|3CDMG|4BASICY|5aDMG|7LIT|8AART|9RCR
110	22222 23144	   	170.28	ACR|3DMG|1VULN|2ASPD|2DUR|1ZMB	1RMIN|238DMG|38BPWR|4CGEN|5RCR|68ASPD|78DUR|9ZMB|aVULN
111	51211 53121	   	170.25	DCR|2VULN|2DMG|1AART|1DUR	1AART|2CGEN|3ERES|4LIT|5DUR|69VULN|7aDMG|8RCR
112	15232 44232	   	169.92	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB|1DUR|1MSE	13ASPD|23DMG|3BPWR|4MSE|5AART|6RCR|7DUR|8VULN|9CDMG|aZMB
113	15261 33153	 * 	169.63	DCR|3DMG|1AART|1VULN|2ASPD	13ASPD|239DMG|3BPWR|4DUST|5VULN|6FEWX|7LIT|8RCR|aAART
114	15232 46221	   	169.57	DCR|2VULN|2DMG|1AART|2ASPD|1FLTHEA|1MSE	13ASPD|23DMG|3BPWR|4MSE|5AART|6RCR|7FLTHEA|89VULN|aRMIN
115	15232 46223	   	169.57	DCR|2VULN|2DMG|1AART|2ASPD|1FLTHEA|1MSE	13ASPD|23DMG|3BPWR|4MSE|5AART|6RCR|7FLTHEA|89VULN|aCGEN
116	15232 46222	   	169.47	DCR|2VULN|2DMG|1AART|2ASPD|1FLTHEA|1MSE	13ASPD|23DMG|3BPWR|4MSE|5AART|6RCR|7FLTHEA|89VULN|aTLV
117	15262 21252	   	169.43	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|23DMG|3BPWR|4DUST|5AART|6VULN|7ERES|8CDMG|9RCR|aRCVC
118	13532 24321	   	169.26	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1ASPD|2FEWX|3DMG|4RCVC|5AART|69VULN|7DUR|8FLTHEA|aRCR
119	15222 13121	   	169.25	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|23DMG|3BPWR|4CGEN|5RCR|6AIRHEA|7VULN|8AART|9LWND|aCDMG
120	15222 13151	   	169.25	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|23DMG|3BPWR|4CGEN|5RCR|6AIRHEA|7VULN|8AART|9FEWX|aCDMG
121	15211 34612	   	169.22	ACR|2VULN|2DMG|2ASPD|1CDMG|1DUR|1SELL	13ASPD|23DMG|3BPWR|4DMSP|5RCR|6SELL|7CDMG|8aVULN|9DUR
122	11532 24321	   	169.16	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1ASPD|2DUST|3DMG|4RCVC|5AART|69VULN|7DUR|8FLTHEA|aRCR
123	15222 13131	   	169.15	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|23DMG|3BPWR|4CGEN|5RCR|6AIRHEA|7VULN|8AART|9DUST|aCDMG
124	35331 81744	   	169.06	DCR|2VULN|2DMG|2AART	148LHND|24VULN|3MBVNT|48BPWR|58LIT|68DMG|7aAART|9RCR
125	22223 11454	   	169.01	DCR|3DMG|2VULN|2ASPD	15RMIN|23aDMG|3aBPWR|4CGEN|6RCR|7aVULN|8RPLT|9aASPD
126	22212 11454	   	168.91	DCR|3DMG|2VULN|2ASPD	1RMIN|23aDMG|3aBPWR|4DMSP|5ERES|6RCR|7aVULN|8RPLT|9aASPD
127	52511 33214	   	168.91	DCR|2AART|2DMG|1VULN|1DUR	13AART|2DUST|4LIT|5DUR|6RCR|7RPLT|8VULN|9aDMG
128	56111 33214	   	168.91	DCR|2AART|2DMG|1VULN|1DUR	13AART|2LIT|4DUST|5DUR|6RCR|7RPLT|8VULN|9aDMG
129	15222 13144	   	168.85	ACR|2DMG|1AART|3ASPD|1VULN|1DUR	13aASPD|23DMG|3BPWR|4CGEN|5RCR|6AIRHEA|7VULN|8AART|9DUR
130	15222 53116	   	168.83	ACR|3DMG|1AART|3ASPD|2DUR	138ASPD|238DMG|38BPWR|4CGEN|5RCR|6MLV|78DUR|9BEXP|aAART
131	15222 53141	   	168.83	ACR|3DMG|1AART|3ASPD|2DUR	138ASPD|238DMG|38BPWR|4CGEN|5RCR|6MLV|78DUR|9LHND|aAART
132	15222 53161	   	168.83	ACR|3DMG|1AART|3ASPD|2DUR	138ASPD|238DMG|38BPWR|49CGEN|5RCR|6MLV|78DUR|aAART
133	12522 43224	   	168.81	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|24BEXP|3aDMG|5AART|6RCR|7CGEN|8CDMG|9VULN
134	12522 46221	   	168.81	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|24BEXP|3DMG|5AART|6RCR|7FLTHEA|89VULN|aRMIN
135	12522 46223	   	168.81	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|24BEXP|3DMG|5AART|6RCR|7FLTHEA|89VULN|aCGEN
136	15212 11223	   	168.81	DCR|3DMG|2VULN|2ASPD	13ASPD|23aDMG|3BPWR|4DMSP|5ERES|6RCR|78VULN|9CGEN
137	15222 34533	   	168.75	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|23DMG|3BPWR|4CGEN|5RCR|6LHND|7BEXP|8VULN|9AART|aCDMG
138	15222 63214	   	168.74	ACR|2VULN|2DMG|2CDMG|2ASPD	13ASPD|23DMG|3BPWR|4CGEN|5RCR|69VULN|7TLV|8aCDMG
139	12522 41224	   	168.71	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|24BEXP|3aDMG|5AART|6RCR|7ERES|8CDMG|9VULN
140	12522 46222	   	168.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|24BEXP|3DMG|5AART|6RCR|7FLTHEA|89VULN|aTLV
141	45221 11413	   	168.71	DCR|3VULN|2DMG|1CDMG	14TLV|2aDMG|3LWND|589VULN|6RCR|7CDMG
142	22511 15112	   	168.67	DCR|3VULN|2DMG|1ZMB	1RMIN|28DMG|348LHND|58aVULN|6RCR|7RCVC|8BPWR|9ZMB
143	15222 13621	   	168.65	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|23DMG|3BPWR|4CGEN|5RCR|6AIRHEA|7VULN|8LHND|9AART|aCDMG
144	15311 36251	   	168.55	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DMG|3aCGEN|4DUR|5AART|67VULN|8CDMG|9RCR
145	15311 36253	   	168.55	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DMG|3CGEN|4DUR|5AART|67VULN|8CDMG|9RCR|aRMIN
146	15213 43252	   	168.55	DCR|3DMG|2VULN|2ASPD|1DUR	13ASPD|238DMG|3BPWR|4DMSP|5MBVNT|6aVULN|7DUR|9RCR
147	15262 41233	   	168.51	DCR|2DMG|1AART|2CDMG|2ASPD|1DUR	13ASPD|23DMG|3BPWR|4DUST|5AART|6RCR|7ERES|8aCDMG|9DUR
148	22222 66252	 * 	168.31	ACR|3DMG|1VULN|2CDMG|2ZMB	1RMIN|23aDMG|3aBPWR|4aCGEN|5RCR|6VULN|79ZMB|8aCDMG
149	15222 36123	 * 	168.21	ACR|3DMG|1VULN|3ASPD|2ZMB	138ASPD|238DMG|38BPWR|4CGEN|5RCR|6LHND|78ZMB|9AIRHEA|aVULN
150	15222 62211	   	168.15	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|23DMG|3BPWR|4CGEN|5RCR|6VULN|7LWND|8MLV|9CDMG|aAART
151	15213 42152	   	168.13	DCR|3VULN|2DMG|3ASPD	138ASPD|23DMG|38BPWR|4DMSP|5MBVNT|68aVULN|78LWND|9RCR
152	15213 45152	   	168.13	DCR|3VULN|2DMG|3ASPD	138ASPD|23DMG|38BPWR|4DMSP|5MBVNT|68aVULN|78BEXP|9RCR
153	15213 46152	   	168.13	DCR|3VULN|2DMG|3ASPD	138ASPD|23DMG|38BPWR|4DMSP|5MBVNT|68aVULN|78LHND|9RCR
154	11131 36254	 * 	168.13	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	14ASPD|2DUST|3LWND|5AART|67VULN|8CDMG|9RCR|aDMG
155	15262 21251	   	168.13	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|23DMG|3BPWR|4DUST|5AART|6VULN|7ERES|8CDMG|9RCR|aCGEN
156	15262 21432	   	168.13	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	13ASPD|23DMG|3BPWR|4DUST|5AART|6VULN|7ERES|8BELT|9RCR|aCDMG
