0	Index      	 *	Score 	Summary	Detail	
1	14552 33123	 * 	178.07	DCR|4VULN|3ZMB|2CDMG	13aLWND|236ZMB|36aBPWR|4DMSP|569aVULN|7RCR|8aCDMG
23	31152 13526	   	169.26	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUST|2DUR|3AART|457VULN|6CGEN|8DMG|9ASPD|aRCR
24	21536 31235	   	168.91	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1FEWX|2DUR|3VULN|4ASPD|59DMG|6LWND|7RCR|8AART|aZMB
25	31536 31235	   	168.81	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1DUST|2DUR|3VULN|4ASPD|59DMG|6LWND|7RCR|8AART|aZMB
26	11512 36214	 * 	168.75	DCR|3VULN|2DMG|1CDMG|1DUR	167LWND|2DUR|34aVULN|56DMG|6BPWR|8CDMG|9RCR
27	51161 32233	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1ERES|2CDMG|3FEWX|45DMG|68VULN|7RCR|9ZMB|aDUR
28	65621 32332	 * 	168.52	DCR|2DMG|2AART|1VULN|1CDMG	13CGEN|23DMG|3BPWR|4CDMG|5LWND|6VULN|7RCR|8DUST|9aAART
29	11513 12462	   	168.27	ACR|3VULN|1AART|1CDMG|1DUR|1ASPD	1LWND|2DUR|34aVULN|5RCR|6RCVC|7AART|8ASPD|9CDMG
30	21513 12462	   	168.27	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1FEWX|2DUR|34aVULN|5RCR|6RCVC|7AART|8ASPD|9CDMG
31	11513 11246	   	167.78	ACR|2VULN|2DMG|1AART|1DUR	1LWND|2DUR|34VULN|5RCR|6RCVC|7TLV|89DMG|aAART
32	11513 13246	   	167.78	ACR|2VULN|2DMG|1AART|1DUR	1LWND|2DUR|34VULN|5RCR|6RCVC|7ERES|89DMG|aAART
33	21513 52612	 * 	167.16	ACR|5VULN|1DMG|1DUR	1FEWX|2DUR|34789VULN|5RCR|6LIT|aDMG
34	31513 52612	   	167.06	ACR|5VULN|1DMG|1DUR	1DUST|2DUR|34789VULN|5RCR|6LIT|aDMG
35	36512 23126	   	166.98	DCR|3VULN|1AART|1DMG|1ZMB	1DUST|2FEWX|349VULN|5DMG|6BEXP|7ZMB|8RCR|aAART
36	21514 21233	   	166.52	DCR|3VULN|1AART|1DMG|1DUR	1FEWX|2DUR|34aVULN|5LHND|6MBVNT|7RCR|8AART|9DMG
37	31514 21233	   	166.42	DCR|3VULN|1AART|1DMG|1DUR	1DUST|2DUR|34aVULN|5LHND|6MBVNT|7RCR|8AART|9DMG
38	11152 36623	 * 	166.20	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	16LWND|28DUR|3AART|45VULN|7RCR|9ASPD|aDMG
39	41132 32526	 * 	165.95	DCR|2VULN|2DMG|1AART|2DUR	12DUR|36VULN|4LEGI|56DMG|6BPWR|7ERES|8CGEN|9AART|aRCR
40	11513 16236	 * 	165.94	ACR|3VULN|1AART|1DMG|1DUR	1LWND|2DUR|349VULN|5RCR|6RCVC|7CGEN|8DMG|aAART
41	11513 11236	   	165.84	ACR|3VULN|1AART|1DMG|1DUR	1LWND|2DUR|349VULN|5RCR|6RCVC|7TLV|8DMG|aAART
42	11513 13236	   	165.84	ACR|3VULN|1AART|1DMG|1DUR	1LWND|2DUR|349VULN|5RCR|6RCVC|7ERES|8DMG|aAART
43	11553 24133	   	165.74	ACR|3VULN|1AART|1DMG|1DUR	1LWND|2DUR|37aVULN|4CGEN|5RCR|6AART|8ERES|9DMG
44	14552 33133	   	165.57	DCR|3VULN|3ZMB|2CDMG	13aLWND|236ZMB|36aBPWR|4DMSP|56aVULN|7RCR|8aCDMG|9RCVC
45	11513 41123	 * 	165.44	ACR|4VULN|2CDMG|1ZMB|1DUR	1aLWND|2DUR|349aVULN|5RCR|6BEXP|7ZMB|8aCDMG|aBPWR
46	21513 31163	   	165.44	ACR|4VULN|2CDMG|1ZMB|1DUR	1aFEWX|2DUR|349aVULN|5RCR|6LHND|7ZMB|8aCDMG|aBPWR
47	31513 31163	   	165.24	ACR|4VULN|2CDMG|1ZMB|1DUR	1aDUST|2DUR|349aVULN|5RCR|6LHND|7ZMB|8aCDMG|aBPWR
48	63164 12322	 * 	164.62	ACR|2VULN|3ZMB|1AART|1CDMG	1CGEN|249ZMB|3aVULN|5RCR|6LWND|7AART|8CDMG
49	61161 32612	   	164.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|2CDMG|39FEWX|45DMG|6VULN|7RCR|8AART|aDUR
50	61161 32623	   	164.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|2CDMG|3FEWX|45DMG|6VULN|7RCR|8AART|9LWND|aDUR
51	21513 32233	   	164.54	ACR|3VULN|1AART|1DMG|1DUR	1FEWX|2DUR|34aVULN|5RCR|6LHND|7MBVNT|8AART|9DMG
52	46513 32233	   	164.54	ACR|3VULN|1AART|1DMG|1DUR	1DUR|2FEWX|34aVULN|5RCR|6LHND|7MBVNT|8AART|9DMG
53	11426 21234	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2DUR|39DMG|4ERES|5VULN|6FEWX|7RCR|8AART|aCDMG
54	21336 31234	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1FEWX|2DUR|3ERES|49DMG|5VULN|6LWND|7RCR|8AART|aCDMG
55	21426 31234	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1FEWX|2DUR|39DMG|4ERES|5VULN|6LWND|7RCR|8AART|aCDMG
56	51161 32623	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1ERES|2CDMG|3FEWX|45DMG|6VULN|7RCR|8AART|9LWND|aDUR
57	61161 32633	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|2CDMG|3FEWX|45DMG|6VULN|7RCR|8AART|9LEGI|aDUR
58	11512 23152	   	164.47	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|2DUR|34aVULN|5DMG|6BEXP|7ZMB|8RCR|9CDMG
59	21512 23121	   	164.47	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|349VULN|5DMG|6BEXP|7ZMB|8RCR|aCDMG
60	21512 23152	   	164.47	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|34aVULN|5DMG|6BEXP|7ZMB|8RCR|9CDMG
61	46512 23121	   	164.47	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2FEWX|349VULN|5DMG|6BEXP|7ZMB|8RCR|aCDMG
62	31513 32233	   	164.44	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2DUR|34aVULN|5RCR|6LHND|7MBVNT|8AART|9DMG
63	31336 31234	   	164.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2DUR|3ERES|49DMG|5VULN|6LWND|7RCR|8AART|aCDMG
64	31426 31234	   	164.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2DUR|39DMG|4ERES|5VULN|6LWND|7RCR|8AART|aCDMG
65	51161 32633	   	164.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1ERES|2CDMG|3FEWX|45DMG|6VULN|7RCR|8AART|9LEGI|aDUR
66	11512 43152	   	164.37	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|2DUR|34aVULN|5DMG|6DUST|7ZMB|8RCR|9CDMG
67	21512 43121	   	164.37	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|349VULN|5DMG|6DUST|7ZMB|8RCR|aCDMG
68	21512 43152	   	164.37	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|34aVULN|5DMG|6DUST|7ZMB|8RCR|9CDMG
69	31512 23121	   	164.37	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2DUR|349VULN|5DMG|6BEXP|7ZMB|8RCR|aCDMG
70	31512 23152	   	164.37	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2DUR|34aVULN|5DMG|6BEXP|7ZMB|8RCR|9CDMG
71	11513 12425	   	164.32	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1LWND|2aDUR|34VULN|5RCR|6RCVC|7AART|8ASPD|9DMG
72	11513 12623	   	164.32	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1LWND|28DUR|34VULN|5RCR|6RCVC|7AART|9ASPD|aDMG
73	21513 12425	   	164.32	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1FEWX|2aDUR|34VULN|5RCR|6RCVC|7AART|8ASPD|9DMG
74	21513 12623	   	164.32	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1FEWX|28DUR|34VULN|5RCR|6RCVC|7AART|9ASPD|aDMG
75	26163 33221	   	164.29	DCR|3VULN|3ZMB|1CDMG|1ASPD	12FEWX|369VULN|456ZMB|6BPWR|7RCR|8ASPD|aCDMG
76	26163 33252	   	164.29	DCR|3VULN|3ZMB|1CDMG|1ASPD	12FEWX|36aVULN|456ZMB|6BPWR|7RCR|8ASPD|9CDMG
77	31513 12425	   	164.22	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1DUST|2aDUR|34VULN|5RCR|6RCVC|7AART|8ASPD|9DMG
78	31513 12623	   	164.22	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1DUST|28DUR|34VULN|5RCR|6RCVC|7AART|9ASPD|aDMG
79	65621 32232	 * 	164.21	DCR|2VULN|2DMG|2CDMG|1ASPD	13CGEN|23DMG|3BPWR|48CDMG|5LWND|69VULN|7RCR|aASPD
80	65633 32232	   	164.21	DCR|2VULN|2DMG|2CDMG|1ASPD	13CGEN|23DMG|3BPWR|4BEXP|58CDMG|69VULN|7RCR|aASPD
81	61161 32232	   	164.11	DCR|2VULN|2DMG|2CDMG|1ASPD	1CGEN|28CDMG|3FEWX|45DMG|69VULN|7RCR|aASPD
82	31512 64121	   	164.01	DCR|2VULN|2DMG|2CDMG|1DUR	1DUST|2DUR|34VULN|5aDMG|69CDMG|7RCR|8LIT
83	55433 11133	 * 	164.00	ACR|2AART|1VULN|1DMG|1CDMG|1DUR	1ERES|2DMG|3RCVC|4RCR|57AART|6DUR|8CGEN|9CDMG|aVULN
84	61161 32335	   	163.91	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1CGEN|2CDMG|3FEWX|45DMG|6VULN|7RCR|8DUST|9AART|aASPD
85	11412 36422	 * 	163.77	DCR|2AART|1DMG|1VULN|1FLTHEA|2DUR	15LWND|24DUR|3DMG|6FLTHEA|7RCR|89AART|aVULN
86	41112 43126	   	163.56	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	12DUR|39VULN|4BEXP|5DMG|6DUST|7ZMB|8RCR|aAART
87	16531 24225	 * 	163.41	DCR|2VULN|1AART|2CDMG|1FLTHEA|1ASPD	1aLWND|2FEWX|3aVULN|4ASPD|5MBVNT|6AART|7FLTHEA|8RCR|9aCDMG|aBPWR
88	31232 34335	 * 	163.40	DCR|2DMG|1AART|1CDMG|1FLTHEA|2DUR	13DUST|23DUR|3BPWR|4LHND|59DMG|6FLTHEA|7RCR|8AART|aCDMG
89	31412 34335	   	163.40	DCR|2DMG|1AART|1CDMG|1FLTHEA|2DUR	1DUST|24DUR|39DMG|5LWND|6FLTHEA|7RCR|8AART|aCDMG
90	61161 32314	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|2CDMG|3FEWX|45DMG|6VULN|7RCR|8DUST|9DUR|aAART
91	61221 42424	   	163.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2CDMG|3TLV|49VULN|5DMG|6DUR|7RCR|8MBVNT|aAART
92	11152 36162	 * 	163.21	DCR|3VULN|1AART|1CDMG|1DUR	16LWND|2DUR|3AART|45aVULN|7RCR|8RMIN|9CDMG
93	63113 12426	   	163.09	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1CGEN|2ZMB|3VULN|4BEXP|5RCR|6RCVC|7AART|8ASPD|9aDMG
94	51161 32262	 * 	162.99	DCR|2VULN|2DMG|1CDMG|2DUR	1ERES|2CDMG|3FEWX|45DMG|68VULN|7RCR|9aDUR
95	53113 12426	   	162.99	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1ERES|2ZMB|3VULN|4BEXP|5RCR|6RCVC|7AART|8ASPD|9aDMG
96	31512 26126	   	162.92	DCR|3VULN|1AART|1DMG|1DUR	1DUST|2DUR|349VULN|5DMG|6BEXP|7RMIN|8RCR|aAART
97	41163 33213	   	162.87	DCR|3VULN|3ZMB|2DUR|1ASPD	12DUR|36aVULN|456ZMB|6BPWR|7RCR|8ASPD|9LHND
98	41163 33222	   	162.87	DCR|3VULN|3ZMB|2DUR|1ASPD	12DUR|369VULN|456ZMB|6BPWR|7RCR|8ASPD|aCGEN
99	41163 33223	   	162.87	DCR|3VULN|3ZMB|2DUR|1ASPD	12DUR|369VULN|456ZMB|6BPWR|7RCR|8ASPD|aRMIN
100	41163 33224	   	162.87	DCR|3VULN|3ZMB|2DUR|1ASPD	12DUR|369VULN|456ZMB|6BPWR|7RCR|8ASPD|aBEXP
101	41163 33225	   	162.87	DCR|3VULN|3ZMB|2DUR|1ASPD	12DUR|369VULN|456ZMB|6BPWR|7RCR|8ASPD|aLIT
102	41163 33226	   	162.87	DCR|3VULN|3ZMB|2DUR|1ASPD	12DUR|369VULN|456ZMB|6BPWR|7RCR|8ASPD|aRPLT
103	65621 32221	 * 	162.79	DCR|2DMG|1AART|1VULN|2CDMG	13CGEN|23DMG|3BPWR|48CDMG|5LWND|6VULN|7RCR|9ERES|aAART
104	16513 12126	   	162.74	ACR|2VULN|2DMG|1AART	1LWND|2FEWX|34VULN|5RCR|6RCVC|7AART|8RMIN|9aDMG
105	16513 12326	   	162.74	ACR|2VULN|2DMG|1AART	1LWND|2FEWX|34VULN|5RCR|6RCVC|7AART|8CGEN|9aDMG
106	35513 12126	   	162.64	ACR|2VULN|2DMG|1AART	1DUST|2BEXP|34VULN|5RCR|6RCVC|7AART|8RMIN|9aDMG
107	35513 12326	   	162.64	ACR|2VULN|2DMG|1AART	1DUST|2BEXP|34VULN|5RCR|6RCVC|7AART|8CGEN|9aDMG
108	36513 12126	   	162.64	ACR|2VULN|2DMG|1AART	1DUST|2FEWX|34VULN|5RCR|6RCVC|7AART|8RMIN|9aDMG
109	36513 12326	   	162.64	ACR|2VULN|2DMG|1AART	1DUST|2FEWX|34VULN|5RCR|6RCVC|7AART|8CGEN|9aDMG
110	31122 34178	   	162.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DUR|3AART|4CDMG|56VULN|7MBVNT|8CGEN|9RCR|aDMG
111	21513 23428	 * 	162.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2DUR|34VULN|5RCR|6MBVNT|7CGEN|8AART|9CDMG|aDMG
112	31513 23428	   	162.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DUR|34VULN|5RCR|6MBVNT|7CGEN|8AART|9CDMG|aDMG
113	11511 61236	 * 	162.31	DCR|2VULN|2AART|1DMG|1DUR	1LWND|2DUR|34VULN|5LHND|6MBVNT|7RCR|8aAART|9DMG
114	31512 64321	 * 	162.08	DCR|3VULN|1DMG|2CDMG|1DUR	1DUST|2DUR|349VULN|5DMG|6aCDMG|7RCR|8RPLT
115	11513 14333	   	162.00	ACR|3VULN|2DMG|1DUR	1aLWND|2DUR|34aVULN|5RCR|69RCVC|7RPLT|8aDMG|aBPWR
116	21513 23188	   	161.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2DUR|34VULN|5RCR|6MBVNT|7CGEN|8CDMG|9AART|aDMG
117	51221 63215	   	161.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2CDMG|3TLV|49VULN|5DMG|6CGEN|7AART|8ZMB|aRCR
118	11512 52126	   	161.85	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2DUR|34VULN|59DMG|6ERES|7AART|8RMIN|aRCR
119	11512 52326	   	161.85	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2DUR|34VULN|59DMG|6ERES|7AART|8CGEN|aRCR
120	21512 52126	   	161.85	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|2DUR|34VULN|59DMG|6ERES|7AART|8RMIN|aRCR
121	21512 52326	   	161.85	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|2DUR|34VULN|59DMG|6ERES|7AART|8CGEN|aRCR
122	31513 23188	   	161.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DUR|34VULN|5RCR|6MBVNT|7CGEN|8CDMG|9AART|aDMG
123	55433 13313	   	161.78	ACR|2VULN|1AART|1DMG|2DUR	1ERES|2DMG|3RCVC|4RCR|5AART|69DUR|7aVULN|8RPLT
124	51161 32232	   	161.76	DCR|2VULN|2DMG|1CDMG|1ZMB	1ERES|2CDMG|3FEWX|45DMG|68VULN|7RCR|9ZMB|aLHND
125	51161 32234	   	161.76	DCR|2VULN|2DMG|1CDMG|1ZMB	1ERES|2CDMG|3FEWX|45DMG|68VULN|7RCR|9ZMB|aBEXP
126	26132 34314	   	161.71	DCR|3VULN|2DMG|1CDMG	127FEWX|36aVULN|4LEGI|56DMG|6BPWR|8CDMG|9RCR
127	51161 32231	   	161.66	DCR|2DMG|2VULN|1CDMG|1ZMB	1ERES|2CDMG|3FEWX|45DMG|68VULN|7RCR|9ZMB|aLEGI
128	36512 33314	   	161.51	DCR|3VULN|2DMG|1CDMG	167DUST|2FEWX|34aVULN|56DMG|6BPWR|8CDMG|9RCR
129	21513 35163	   	161.37	ACR|4VULN|2CDMG|1DUR|1ASPD	1aFEWX|2DUR|349aVULN|5RCR|6LHND|7ASPD|8aCDMG|aBPWR
130	11513 12162	   	161.33	ACR|3VULN|1AART|1CDMG|1DUR	1LWND|2DUR|34aVULN|5RCR|6RCVC|7AART|8RMIN|9CDMG
131	21513 12162	   	161.33	ACR|3VULN|1AART|1CDMG|1DUR	1FEWX|2DUR|34aVULN|5RCR|6RCVC|7AART|8RMIN|9CDMG
132	43151 31332	   	161.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUR|2CANSTR|3VULN|4LIT|5ERES|6RCR|79AART|8DMG|aCDMG
133	31513 41226	   	161.22	ACR|3VULN|1AART|1ZMB|1ASPD|1DUR	1DUST|2DUR|349VULN|5RCR|6BEXP|7ZMB|8ASPD|aAART
134	31513 35163	   	161.17	ACR|4VULN|2CDMG|1DUR|1ASPD	1aDUST|2DUR|349aVULN|5RCR|6LHND|7ASPD|8aCDMG|aBPWR
135	53433 12512	   	161.08	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1ERES|2ZMB|3RCVC|4RCR|5AART|6DUR|7CGEN|8CDMG|9aVULN
136	16513 11216	   	161.04	ACR|2VULN|2DMG|1AART	19LWND|29FEWX|34VULN|5RCR|6RCVC|7TLV|89DMG|9BPWR|aAART
137	16513 13216	   	161.04	ACR|2VULN|2DMG|1AART	19LWND|29FEWX|34VULN|5RCR|6RCVC|7ERES|89DMG|9BPWR|aAART
138	11152 36421	   	160.90	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	16LWND|2DUR|3AART|45VULN|7RCR|8ASPD|9DMG|aLHND
139	21123 23464	   	160.88	DCR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1FEWX|2DUR|3AART|46CDMG|5BELT|7DMG|8RCR|9ASPD|aVULN
140	41163 33251	   	160.87	DCR|2VULN|3ZMB|1CDMG|2DUR|1ASPD	12DUR|36VULN|456ZMB|6BPWR|7RCR|8ASPD|9CDMG|aMLV
141	11152 36423	   	160.80	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	16LWND|2DUR|3AART|45VULN|7RCR|8ASPD|9DMG|aERES
142	31123 23464	   	160.78	DCR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1DUST|2DUR|3AART|46CDMG|5BELT|7DMG|8RCR|9ASPD|aVULN
143	11513 28443	 * 	160.77	ACR|3VULN|1AART|2DUR|1ZMB	1LWND|29DUR|34aVULN|5RCR|6MBVNT|7ZMB|8AART
144	41163 33253	   	160.77	DCR|2VULN|3ZMB|1CDMG|2DUR|1ASPD	12DUR|36VULN|456ZMB|6BPWR|7RCR|8ASPD|9CDMG|aTLV
145	11512 32526	   	160.75	DCR|2VULN|2DMG|1AART|1DUR	16LWND|2DUR|34VULN|56DMG|6BPWR|7ERES|8CGEN|9AART|aRCR
146	11513 26124	 * 	160.72	ACR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1LWND|2DUR|349VULN|5RCR|6MBVNT|7ASPD|8CDMG|aDMG
147	21132 24262	   	160.69	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1FEWX|2DUR|3AART|4BEXP|57VULN|6ASPD|8CDMG|9RCR|aZMB
148	31132 24262	   	160.59	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1DUST|2DUR|3AART|4BEXP|57VULN|6ASPD|8CDMG|9RCR|aZMB
149	31153 24262	   	160.59	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1DUST|2DUR|3AART|47VULN|5FEWX|6ASPD|8CDMG|9RCR|aZMB
150	63134 12633	   	160.59	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2ZMB|3aVULN|4DMSP|5RCR|6LWND|7AART|8DUR|9DMG
151	11512 51226	   	160.55	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2DUR|34VULN|58DMG|6ERES|7TLV|9AART|aRCR
152	53134 12633	   	160.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2ZMB|3aVULN|4DMSP|5RCR|6LWND|7AART|8DUR|9DMG
153	21513 36235	 * 	160.43	ACR|2VULN|2AART|1DMG|1DUR	1FEWX|2DUR|34VULN|5RCR|6LHND|7LWND|8aAART|9DMG
154	11152 32441	   	160.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16LWND|2DUR|3AART|45VULN|7DMG|8BELT|9CDMG|aRCR
155	21512 34141	 * 	160.40	DCR|3VULN|2DMG|2DUR	167FEWX|28DUR|34aVULN|56DMG|6BPWR|9RCR
156	41163 33316	 * 	160.34	DCR|2VULN|3ZMB|1DMG|2DUR	12DUR|36VULN|456ZMB|6BPWR|7RCR|8LWND|9CGEN|aDMG
157	11513 32236	   	160.33	ACR|2VULN|2AART|1DMG|1DUR	1LWND|2DUR|34VULN|5RCR|6LHND|7MBVNT|8aAART|9DMG
158	31513 36235	   	160.33	ACR|2VULN|2AART|1DMG|1DUR	1DUST|2DUR|34VULN|5RCR|6LHND|7LWND|8aAART|9DMG
159	31512 33141	   	160.10	DCR|3VULN|2DMG|2DUR	167DUST|28DUR|34aVULN|56DMG|6BPWR|9RCR
160	11513 31264	   	159.91	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1LWND|2DUR|34VULN|5RCR|6LHND|7ZMB|8ASPD|9AART|aCDMG
161	11513 28431	   	159.89	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LWND|2DUR|34VULN|5RCR|6MBVNT|7ZMB|8AART|9LIT|aDMG
162	21212 63154	 * 	159.82	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	13FEWX|23DUR|3BPWR|4BEXP|5DMG|6VULN|7ZMB|8RCR|9CDMG|aAART
163	11523 21362	   	159.72	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1LWND|29DUR|3VULN|4MGNLIT|5ZMB|6DMG|7CDMG|8RCR|aAART
164	43133 21362	   	159.62	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	19DUR|2CANSTR|3VULN|4LHND|5ZMB|6DMG|7CDMG|8RCR|aAART
