0	Index      	 *	Score 	Summary	Detail	
1	53223 23344	 * 	206.08	ACR|3VULN|3DMG|1AART|1ASPD	18ERES|2RCR|3ASPD|468VULN|589DMG|7RCVC|8BPWR|aAART
27	53223 23354	   	187.82	ACR|3VULN|2DMG|1CDMG|1DUR|1ASPD	18ERES|2RCR|3ASPD|468VULN|58DMG|7RCVC|8BPWR|9DUR|aCDMG
28	53232 36222	   	187.79	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2RCR|3ASPD|4AART|5DMG|69aVULN|7CDMG|8BEXP
29	53232 36322	   	187.79	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2RCR|3ASPD|4AART|5DMG|69aVULN|7CDMG|8FEWX
30	53232 26422	   	187.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2RCR|3ASPD|4AART|5DMG|6DUST|7CDMG|89aVULN
31	53232 36421	   	187.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2RCR|3ASPD|4AART|5DMG|68aVULN|7CDMG|9TLV
32	53232 15411	 * 	187.26	ACR|3DMG|1AART|3ASPD|2CDMG	17aERES|2RCR|367ASPD|4AART|567DMG|67aBPWR|8aCGEN|9aCDMG
33	53232 14141	   	187.16	ACR|3DMG|1AART|1VULN|3ASPD	1ERES|2RCR|36aASPD|4AART|569DMG|6BPWR|7MLV|8VULN
34	53232 15235	   	187.16	ACR|3DMG|1AART|1VULN|3ASPD	17ERES|2RCR|367ASPD|4AART|567DMG|67BPWR|8LIT|9TLV|aVULN
35	53232 15351	   	187.16	ACR|3DMG|1AART|1VULN|3ASPD	179ERES|2RCR|367ASPD|4AART|567DMG|67BPWR|8FEWX|aVULN
36	53223 21421	   	186.15	ACR|2VULN|1AART|1DMG|1FLTHEA|2ASPD|1ZMB	1ERES|2RCR|39ASPD|46VULN|5DMG|7ZMB|8FLTHEA|aAART
37	53223 24351	   	186.06	ACR|4VULN|2DMG|1DUR|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9DUR|aLHND
38	53223 24353	   	185.96	ACR|4VULN|2DMG|1DUR|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9DUR|aTLV
39	53232 14216	 * 	185.88	ACR|3DMG|2AART|2ASPD|1CDMG	1ERES|2RCR|36ASPD|49AART|568DMG|6BPWR|7MLV|aCDMG
40	53223 65231	   	185.74	ACR|4VULN|2DMG|2ASPD	1aERES|2RCR|37ASPD|489aVULN|5aDMG|6BELT|aBPWR
41	53232 36632	   	185.68	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1ERES|2RCR|38ASPD|4AART|5DMG|6aVULN|7CDMG|9DUR
42	53223 24143	   	185.64	ACR|4VULN|2DMG|2ASPD	1ERES|2RCR|38ASPD|467aVULN|59DMG
43	53123 24241	   	185.39	ACR|3VULN|1AART|1DMG|1FLTHEA|1ASPD	1ERES|2RCR|3MLV|467VULN|5DMG|8AART|9ASPD|aFLTHEA
44	53234 25232	 * 	185.07	ACR|2AART|2VULN|3ZMB|2ASPD	179ERES|2RCR|37ASPD|4aAART|5DMSP|679ZMB|79BPWR|89VULN
45	53232 11533	 * 	183.58	ACR|2AART|2DMG|1VULN|2ASPD|1DUR	1ERES|2RCR|36ASPD|48AART|56DMG|6BPWR|7LWND|9VULN|aDUR
46	53232 13535	   	183.58	ACR|2AART|2DMG|1VULN|2ASPD|1DUR	1ERES|2RCR|36ASPD|48AART|56DMG|6BPWR|7LHND|9VULN|aDUR
47	53232 14215	   	183.24	ACR|3DMG|2AART|2ASPD|1ZMB	1ERES|2RCR|36ASPD|49AART|568DMG|6BPWR|7MLV|aZMB
48	53232 36126	   	183.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2RCR|3ASPD|4AART|5DMG|6aVULN|7CDMG|8ZMB|9FEWX
49	53232 36136	   	183.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2RCR|3ASPD|4AART|5DMG|6aVULN|7CDMG|8ZMB|9LWND
50	53232 33254	   	183.01	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1ERES|2RCR|3ASPD|4AART|59DMG|6aVULN|7LHND|8DUR
51	53232 15136	 * 	182.92	ACR|3DMG|3AART|3ASPD	17ERES|2RCR|367ASPD|49aAART|567DMG|67BPWR|8DMSP
52	53223 23341	   	182.88	ACR|3VULN|3DMG|1ASPD	18ERES|2RCR|3ASPD|468VULN|589DMG|7RCVC|8BPWR|aLWND
53	53223 23343	   	182.88	ACR|3VULN|3DMG|1ASPD	18ERES|2RCR|3ASPD|468VULN|589DMG|7RCVC|8BPWR|aLIT
54	53223 63251	   	182.88	ACR|3VULN|3DMG|1ASPD	1aERES|2RCR|3ASPD|48aVULN|59aDMG|6BELT|7RCVC|aBPWR
55	53324 23323	   	182.86	ACR|3VULN|2DMG|1ZMB|1DUR|1ASPD	1ERES|2RCR|3DUR|4ZMB|5ASPD|68aVULN|79DMG
56	53232 14116	   	182.78	ACR|2VULN|2DMG|1AART|2ASPD	1ERES|2RCR|36ASPD|4AART|56DMG|6BPWR|7MLV|8aVULN|9RPLT
57	53223 23345	   	182.78	ACR|3VULN|3DMG|1ASPD	18aERES|2RCR|3ASPD|468VULN|589DMG|7RCVC|8BPWR
58	43232 36121	   	182.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3ASPD|4AART|5DMG|69VULN|7CDMG|8RCR|aLHND
59	43232 36123	   	182.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3ASPD|4AART|5DMG|69VULN|7CDMG|8RCR|aFEWX
60	43232 36124	   	182.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3ASPD|4AART|5DMG|69VULN|7CDMG|8RCR|aRPLT
61	67443 24522	   	182.54	ACR|3VULN|3DMG|1ZMB	1MBVNT|29aCGEN|3RCR|4TLV|59aDMG|6ZMB|7FEWX|89aVULN|9aBPWR
62	43232 26126	   	182.46	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3ASPD|4AART|5DMG|6DUST|7CDMG|8RCR|9aVULN
63	43232 36125	   	182.46	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3ASPD|4AART|5DMG|69VULN|7CDMG|8RCR|aDUST
64	16111 66132	 * 	182.42	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB|1SELL	1SELL|2AART|3MLV|46ASPD|56VULN|6BPWR|79DMG|8ZMB|aRCR
65	33232 36152	   	181.93	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1ASPD	1LHND|2ZMB|3ASPD|4AART|5DMG|6aVULN|79CDMG|8RCR
66	53223 23335	   	181.33	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|468aVULN|58DMG|7RCVC|8BPWR|9CGEN
67	53223 23362	   	181.33	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|468aVULN|58DMG|7RCVC|8BPWR|9BEXP
68	53223 63231	   	181.33	ACR|4VULN|2DMG|1ASPD	1aERES|2RCR|3ASPD|489aVULN|5aDMG|6BELT|7RCVC|aBPWR
69	53223 23312	   	181.23	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|468aVULN|58DMG|7RCVC|8BPWR|9DUST
70	53245 23312	   	181.23	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|48DMG|568aVULN|7RCVC|8BPWR|9DUST
71	53323 23462	   	181.22	ACR|3VULN|2DMG|2DUR|1ZMB	1ERES|2RCR|39DUR|4ZMB|57DMG|68aVULN
72	53223 23364	   	180.88	ACR|3VULN|2DMG|1CDMG|1ASPD	18ERES|2RCR|3ASPD|468VULN|58DMG|7RCVC|8BPWR|9BEXP|aCDMG
73	53232 14142	   	180.85	ACR|3DMG|1AART|1VULN|2ASPD	1ERES|2RCR|36ASPD|4AART|569DMG|6BPWR|7MLV|8VULN|aBEXP
74	53232 14232	   	180.85	ACR|3DMG|1AART|1VULN|2ASPD	1ERES|2RCR|36ASPD|4AART|568DMG|6BPWR|7MLV|9BELT|aVULN
75	53232 15412	   	180.85	ACR|3DMG|1AART|3ASPD|1CDMG	17ERES|2RCR|367ASPD|4AART|567DMG|67BPWR|8CGEN|9CDMG|aLWND
76	53232 15413	   	180.85	ACR|3DMG|1AART|3ASPD|1CDMG	17ERES|2RCR|367ASPD|4AART|567DMG|67BPWR|8CGEN|9CDMG|aRPLT
77	53223 23314	   	180.78	ACR|3VULN|2DMG|1CDMG|1ASPD	18ERES|2RCR|3ASPD|468VULN|58DMG|7RCVC|8BPWR|9DUST|aCDMG
78	53232 32241	   	180.75	ACR|3DMG|1AART|1VULN|2ASPD	1ERES|2RCR|3aASPD|4AART|589DMG|6VULN|7RMIN
79	53232 14143	   	180.75	ACR|3DMG|1AART|1VULN|2ASPD	1ERES|2RCR|36ASPD|4AART|569DMG|6BPWR|7MLV|8VULN|aDUST
80	53313 16322	   	180.68	ACR|3VULN|3DMG|1DUR	19aERES|2RCR|3DUR|4RMIN|59aDMG|6TLV|7LWND|89aVULN|9aBPWR
81	43242 33126	   	180.66	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3ASPD|4DMG|5CDMG|6DUST|7AART|8RCR|9aVULN
82	53232 15631	   	180.55	ACR|3DMG|2AART|3ASPD	17ERES|2RCR|367ASPD|49AART|567DMG|67BPWR|8RCVC|aRPLT
83	53232 15633	   	180.55	ACR|3DMG|2AART|3ASPD	17ERES|2RCR|367ASPD|49AART|567DMG|67BPWR|8RCVC|aLHND
84	53232 15632	   	180.45	ACR|3DMG|2AART|3ASPD	17aERES|2RCR|367ASPD|49AART|567DMG|67BPWR|8RCVC
85	53232 15126	   	180.25	ACR|3DMG|2AART|3ASPD	17ERES|2RCR|367ASPD|4aAART|567DMG|67BPWR|8DMSP|9RCVC
86	67232 37122	   	180.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1MBVNT|2CGEN|3ASPD|4AART|5DMG|69aVULN|7CDMG|8RCR
87	67238 34122	   	180.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1MBVNT|2CGEN|3ASPD|4AART|59aVULN|6CDMG|7DMG|8RCR
88	53234 25231	 * 	179.93	ACR|2VULN|3ZMB|1AART|3ASPD	179ERES|2RCR|37aASPD|4AART|5DMSP|679ZMB|79BPWR|89VULN
89	53323 23266	   	179.54	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ERES|2RCR|3DUR|4ZMB|57DMG|6VULN|8LIT|9CDMG|aAART
90	53223 21411	   	179.44	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1ASPD	19ERES|2RCR|3ASPD|46VULN|5DMG|7ZMB|8FLTHEA|aAART
91	53232 15511	   	179.43	ACR|3DMG|1AART|3ASPD|2DUR	17ERES|2RCR|367ASPD|4AART|567DMG|67BPWR|8aDUR|9CGEN
92	53232 15532	   	179.43	ACR|3DMG|1AART|3ASPD|2DUR	179ERES|2RCR|367ASPD|4AART|567DMG|679BPWR|89DUR|aMLV
93	66831 43141	 * 	179.41	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|267VULN|37DMG|4AART|5BELT|7BPWR|8DUR|9MLV|aRCR
94	53223 24323	   	179.12	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9LIT|aMLV
95	53223 24324	   	179.12	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9LIT|aFEWX
96	53223 24325	   	179.12	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9LIT|aRMIN
97	53223 24326	   	179.12	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9LIT|aLWND
98	53223 24331	   	179.12	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9CGEN|aRPLT
99	53223 24334	   	179.12	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9CGEN|aBEXP
100	53223 24336	   	179.12	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9CGEN|aMLV
101	53223 24361	   	179.12	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9BEXP|aLHND
102	53232 33256	   	179.07	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1ERES|2RCR|3ASPD|4AART|59DMG|6VULN|7LHND|8DUR|aCDMG
103	53232 36431	   	179.07	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1ERES|2RCR|3ASPD|4AART|5DMG|68VULN|7CDMG|9DUR|aLHND
104	53232 36433	   	179.07	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1ERES|2RCR|3ASPD|4AART|5DMG|68VULN|7CDMG|9DUR|aFEWX
105	53223 24311	   	179.02	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9DUST|aLHND
106	53223 24333	   	179.02	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9CGEN|aLEGI
107	53223 24363	   	179.02	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9BEXP|aTLV
108	53223 32241	   	178.95	ACR|3DMG|1AART|1VULN|2ASPD	1ERES|2RCR|3aASPD|4VULN|589DMG|6CGEN|7AART
109	53223 42241	   	178.95	ACR|3DMG|1AART|1VULN|2ASPD	1ERES|2RCR|3aASPD|4VULN|589DMG|6MLV|7AART
110	53351 14232	   	178.93	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2RCR|3DUR|4CDMG|5ZMB|69aVULN|7DMG|8ASPD
111	53223 24313	   	178.92	ACR|4VULN|2DMG|1ASPD	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9DUST|aTLV
112	53223 24332	   	178.88	ACR|4VULN|2DMG|1ASPD|1SELL	18ERES|2RCR|3ASPD|4678VULN|58DMG|8BPWR|9CGEN|aSELL
113	53223 12241	   	178.85	ACR|3DMG|1AART|1VULN|2ASPD	1ERES|2RCR|3aASPD|4VULN|589DMG|6TLV|7AART
114	53123 24215	   	178.80	ACR|4VULN|1AART|1DMG	1ERES|2RCR|3MLV|467aVULN|5DMG|8AART|9NUKE
115	53232 12322	   	178.75	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	1ERES|2RCR|36ASPD|4AART|56DMG|6BPWR|7FEWX|8DUST|9CDMG|aVULN
116	53232 14161	   	178.75	ACR|2DMG|1AART|1VULN|1FLTHEA|2ASPD	19ERES|2RCR|36ASPD|4AART|56DMG|6BPWR|7MLV|8VULN|aFLTHEA
117	53232 15131	   	178.65	ACR|3DMG|2AART|3ASPD	17ERES|2RCR|367ASPD|49AART|567DMG|67BPWR|8DMSP|aRPLT
118	53232 15133	   	178.65	ACR|3DMG|2AART|3ASPD	17ERES|2RCR|367ASPD|49AART|567DMG|67BPWR|8DMSP|aLHND
119	53232 15134	   	178.65	ACR|3DMG|2AART|3ASPD	17ERES|2RCR|367ASPD|49AART|567DMG|67BPWR|8DMSP|aLWND
120	53232 36621	   	178.65	ACR|2VULN|1AART|1DMG|1CDMG|2ASPD	1ERES|2RCR|38ASPD|4AART|5DMG|6aVULN|7CDMG|9TLV
121	53232 26622	   	178.65	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	1ERES|2RCR|38ASPD|4AART|5DMG|6DUST|7CDMG|9aVULN
122	53232 15132	   	178.55	ACR|3DMG|2AART|3ASPD	17aERES|2RCR|367ASPD|49AART|567DMG|67BPWR|8DMSP
123	53232 36252	 * 	178.45	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1ERES|2RCR|3ASPD|4AART|5DMG|6aVULN|79CDMG|8BEXP
124	53232 36352	   	178.45	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1ERES|2RCR|3ASPD|4AART|5DMG|6aVULN|79CDMG|8FEWX
125	53123 24211	   	178.35	ACR|3VULN|1AART|1DMG|1FLTHEA	1ERES|2RCR|3MLV|467VULN|5DMG|8AART|9NUKE|aFLTHEA
126	53232 15251	   	178.20	ACR|3DMG|1AART|3ASPD|1ZMB	17ERES|2RCR|367ASPD|4AART|567DMG|67BPWR|8LIT|9ZMB|aFEWX
127	53232 15253	   	178.20	ACR|3DMG|1AART|3ASPD|1ZMB	17ERES|2RCR|367ASPD|4AART|567DMG|67BPWR|8LIT|9ZMB|aBEXP
128	53232 15314	   	178.20	ACR|3DMG|1AART|3ASPD|1ZMB	17ERES|2RCR|367ASPD|4AART|567DMG|67BPWR|8FEWX|9CGEN|aZMB
129	43625 13323	   	178.16	ACR|3VULN|2DMG|1ZMB|1DUR|1ASPD	1DUR|2ZMB|38aVULN|4RCR|5ASPD|6CGEN|79DMG
130	23533 24221	 * 	178.13	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	19LIT|29ZMB|3AART|4CDMG|5BELT|6RCR|7CGEN|89DMG|9BPWR|aVULN
131	53232 15252	   	178.10	ACR|3DMG|1AART|3ASPD|1ZMB	17ERES|2RCR|367ASPD|4AART|567DMG|67BPWR|8LIT|9ZMB|aDUST
132	23533 23221	   	178.03	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	19LIT|29ZMB|3AART|4CDMG|5BELT|6RCR|7TLV|89DMG|9BPWR|aVULN
133	53232 13532	   	177.95	ACR|2AART|2DMG|1VULN|2ASPD	1ERES|2RCR|36ASPD|48AART|56DMG|6BPWR|7LHND|9VULN|aRCVC
134	43232 36412	   	177.76	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2ZMB|3ASPD|4AART|5DMG|68VULN|7CDMG|9CGEN|aRCR
135	53123 22322	   	177.75	ACR|3VULN|1AART|1DMG|1CDMG	1ERES|2RCR|3MLV|46aVULN|5DMG|7DUST|8CDMG|9AART
136	53145 22322	   	177.75	ACR|3VULN|1AART|1DMG|1CDMG	1ERES|2RCR|3MLV|4DMG|56aVULN|7DUST|8CDMG|9AART
137	43232 36422	   	177.66	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2ZMB|3ASPD|4AART|5DMG|68VULN|7CDMG|9TLV|aRCR
138	66343 14822	 * 	177.51	DCR|3VULN|3ZMB|1DMG|3DUR	1MBVNT|29aVULN|3MLV|49aZMB|5DMG|6TLV|79aDUR|8RCR|9aBPWR
139	66343 24822	   	177.51	DCR|3VULN|3ZMB|1DMG|3DUR	1MBVNT|29aVULN|3MLV|49aZMB|5DMG|6ERES|79aDUR|8RCR|9aBPWR
140	53232 14363	   	177.50	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	1ERES|2RCR|36ASPD|4AART|56DMG|6BPWR|7MLV|8ZMB|9VULN|aRCVC
141	53223 22264	   	177.38	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1ERES|2RCR|3ASPD|468VULN|5DMG|7DUST|9DUR|aAART
142	53232 32143	   	177.38	ACR|2VULN|2DMG|1AART|1ASPD	1ERES|2RCR|3ASPD|4AART|59DMG|68VULN|7RMIN|aRCVC
143	53223 24122	   	177.15	ACR|3VULN|1AART|1DMG|2ASPD	1ERES|2RCR|38ASPD|467VULN|5DMG|9LIT|aAART
144	53123 24225	   	177.03	ACR|3VULN|1AART|1DMG|2DUR	1ERES|2RCR|3MLV|467VULN|5DMG|8AART|9aDUR
145	53223 21433	   	176.92	ACR|2VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2RCR|3ASPD|46VULN|5DMG|7ZMB|8FLTHEA|9DUR|aCDMG
146	53223 21443	   	176.92	ACR|2VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2RCR|3ASPD|46VULN|5DMG|7ZMB|8FLTHEA|9CDMG|aDUR
147	53232 11525	   	176.64	ACR|2AART|2DMG|1VULN|2ASPD	1ERES|2RCR|36ASPD|48AART|56DMG|6BPWR|7LWND|9MLV|aVULN
148	53232 11531	   	176.64	ACR|2AART|2DMG|1VULN|2ASPD	1ERES|2RCR|36ASPD|48AART|56DMG|6BPWR|7LWND|9VULN|aLHND
149	53232 11532	   	176.64	ACR|2AART|2DMG|1VULN|2ASPD	1ERES|2RCR|36ASPD|48AART|56DMG|6BPWR|7aLWND|9VULN
150	53232 11534	   	176.64	ACR|2AART|2DMG|1VULN|2ASPD	1ERES|2RCR|36ASPD|48AART|56DMG|6BPWR|7LWND|9VULN|aBEXP
151	53232 12535	   	176.64	ACR|2AART|2DMG|1VULN|2ASPD	1ERES|2RCR|36ASPD|4aAART|56DMG|6BPWR|7FEWX|8DMSP|9VULN
152	53232 12635	   	176.64	ACR|2AART|2DMG|1VULN|2ASPD	1ERES|2RCR|36ASPD|4aAART|56DMG|6BPWR|78FEWX|9VULN
153	53232 13525	   	176.64	ACR|2AART|2DMG|1VULN|2ASPD	1ERES|2RCR|36ASPD|48AART|56DMG|6BPWR|7LHND|9MLV|aVULN
154	53232 13531	   	176.64	ACR|2AART|2DMG|1VULN|2ASPD	1ERES|2RCR|36ASPD|48AART|56DMG|6BPWR|7aLHND|9VULN
155	53232 13533	   	176.64	ACR|2AART|2DMG|1VULN|2ASPD	1ERES|2RCR|36ASPD|48AART|56DMG|6BPWR|7LHND|9VULN|aBEXP
156	53223 21425	   	176.60	ACR|2VULN|1DMG|1FLTHEA|2ASPD|1CDMG|1ZMB	1ERES|2RCR|39ASPD|46VULN|5DMG|7ZMB|8FLTHEA|aCDMG
157	53232 11536	   	176.54	ACR|2AART|2DMG|1VULN|2ASPD	1ERES|2RCR|36ASPD|48AART|56DMG|6BPWR|7LWND|9VULN|aAIRHEA
158	53232 13536	   	176.54	ACR|2AART|2DMG|1VULN|2ASPD	1ERES|2RCR|36ASPD|48AART|56DMG|6BPWR|7LHND|9VULN|aAIRHEA
159	53123 21321	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2RCR|3MLV|46VULN|59DMG|7ZMB|8LHND|aAART
160	53145 21321	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	1ERES|2RCR|3MLV|49DMG|56VULN|7ZMB|8LHND|aAART
161	53232 32364	   	176.43	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ERES|2RCR|3ASPD|4AART|5DMG|6aVULN|7RMIN|8ZMB|9DUR
162	53351 13522	   	176.33	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ERES|2RCR|3DUR|4CDMG|5ZMB|69aVULN|7RMIN|8AART
163	43232 36161	 * 	176.32	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2ZMB|3ASPD|4aAART|5DMG|6VULN|7CDMG|8RCR|9SNIHEL
