0	Index      	 *	Score 	Summary	Detail	
1	42331 33143	 * 	185.73	DCR|3VULN|2AART|1DMG|1CDMG|1SELL	1CDMG|29AART|3SELL|4DMG|56aVULN|7LSRICY|8RCR
35	12313 61431	 * 	171.20	DCR|1AART|1VULN|1DMG|2CDMG|2ZMB|1DUR	1RMIN|2DUR|38CDMG|45ZMB|6RCR|7AART|9DMG|aVULN
36	14313 61431	   	171.20	DCR|1AART|1VULN|1DMG|2CDMG|2ZMB|1DUR	1RMIN|28CDMG|3DUR|45ZMB|6RCR|7AART|9DMG|aVULN
37	42313 35314	 * 	171.06	DCR|1AART|1VULN|2CDMG|1DMG|2ZMB|2ASPD|1SELL	18CDMG|2AART|3SELL|48ASPD|5DUST|6VULN|78ZMB|8BPWR|9DMG|aRCR
38	41632 33612	 * 	170.63	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1CDMG|2DUST|37aDUR|46VULN|5AART|8DMG|9RCR
39	42513 32236	   	170.35	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1CDMG|2AART|3BELT|4DUR|5DMG|6aVULN|7MGNSTR|8ASPD|9RCR
40	42331 33141	 * 	170.08	DCR|2AART|2VULN|1DMG|1CDMG|1SELL	1CDMG|29AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|aBELT
41	42331 63143	 * 	170.08	DCR|2AART|2VULN|1DMG|1CDMG|1SELL	1CDMG|29AART|3SELL|4DMG|5aVULN|6DMSP|7LSRICY|8RCR
42	42332 13143	 * 	170.08	DCR|2AART|2VULN|1DMG|1CDMG|1SELL	1CDMG|29AART|3SELL|4DMG|5RCVC|6aVULN|7LSRICY|8RCR
43	43313 61632	   	170.08	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|2DUR	1CDMG|2ERES|3aDUR|45ZMB|6RCR|7AART|8DMG|9VULN
44	24323 41261	   	170.03	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	15ASPD|2LIT|3DUST|45DMG|5BPWR|6AART|7CDMG|8RCR|9VULN|aLWND
45	24323 41262	   	170.03	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	15ASPD|2LIT|3DUST|45DMG|5BPWR|6AART|7CDMG|8RCR|9VULN|aBEXP
46	42331 33142	 * 	169.98	DCR|2AART|2VULN|1DMG|1CDMG|1SELL	1CDMG|29AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|aERES
47	42331 33145	 * 	169.98	DCR|2AART|2VULN|1DMG|1CDMG|1SELL	1CDMG|29AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|aTLV
48	42331 33132	   	169.63	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9BEXP|aZMB
49	23313 67247	 * 	169.63	ACR|2DMG|1AART|3ASPD|2ZMB|2DUR	12aASPD|2aBPWR|3MBVNT|46DUR|5RCR|7AART|8aZMB|9aDMG
50	34511 21372	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	1LIT|2LHND|3ZMB|458VULN|6MBVNT|7RCR|9DMG|aAART
51	35511 21372	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	1LIT|2LWND|3ZMB|458VULN|6MBVNT|7RCR|9DMG|aAART
52	36511 21372	   	169.38	DCR|3VULN|1AART|1DMG|1ZMB	1LIT|2FEWX|3ZMB|458VULN|6MBVNT|7RCR|9DMG|aAART
53	23322 31878	 * 	169.33	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	12ASPD|2BPWR|3MBVNT|4CDMG|5FEWX|6DMG|7AART|8RCR|9aVULN
54	33351 21372	   	169.28	DCR|3VULN|1AART|1DMG|1ZMB	1LIT|2DUST|358VULN|4ZMB|6MBVNT|7RCR|9DMG|aAART
55	33511 21372	   	169.28	DCR|3VULN|1AART|1DMG|1ZMB	1LIT|2DUST|3ZMB|458VULN|6MBVNT|7RCR|9DMG|aAART
56	23212 14434	 * 	167.93	DCR|2VULN|1AART|3ASPD|1DMG|1DUR	126ASPD|26BPWR|3LHND|4DUR|56VULN|7DMSP|8RCR|9AART|aDMG
57	42321 36116	 * 	167.63	DCR|3VULN|1AART|1CDMG|1ZMB|1SELL	1CDMG|2AART|3SELL|48CGEN|56aVULN|7RCR|9ZMB
58	42321 36312	 * 	167.63	DCR|3VULN|1AART|1CDMG|1ZMB|1SELL	1CDMG|2AART|3SELL|4CGEN|568VULN|7RCR|9ZMB|aFEWX
59	42321 36315	 * 	167.63	DCR|3VULN|1AART|1CDMG|1ZMB|1SELL	1CDMG|2AART|3SELL|4CGEN|568VULN|7RCR|9ZMB|aLWND
60	42321 36324	 * 	167.63	DCR|3VULN|1AART|1CDMG|1ZMB|1SELL	1CDMG|2AART|3SELL|4CGEN|568VULN|7RCR|9FEWX|aZMB
61	42322 16316	 * 	167.63	DCR|3VULN|1AART|1CDMG|1ZMB|1SELL	1CDMG|2AART|3SELL|4CGEN|5RCVC|68aVULN|7RCR|9ZMB
62	42513 33252	   	167.53	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	19CDMG|2AART|3BELT|4DUR|59DMG|6VULN|7LWND|89BEXP|9BPWR|aRCR
63	42321 36311	 * 	167.53	DCR|3VULN|1AART|1CDMG|1ZMB|1SELL	1CDMG|2AART|3SELL|4CGEN|568VULN|7RCR|9ZMB|aERES
64	42321 36313	 * 	167.53	DCR|3VULN|1AART|1CDMG|1ZMB|1SELL	1CDMG|2AART|3SELL|4CGEN|568VULN|7RCR|9ZMB|aNUKE
65	42321 36314	 * 	167.53	DCR|3VULN|1AART|1CDMG|1ZMB|1SELL	1CDMG|2AART|3SELL|4CGEN|568VULN|7RCR|9ZMB|aDUST
66	42321 36334	 * 	167.53	DCR|3VULN|1AART|1CDMG|1ZMB|1SELL	1CDMG|2AART|3SELL|4CGEN|568VULN|7RCR|9DUST|aZMB
67	42412 31142	 * 	167.51	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2AART|3BEXP|4DUR|5CANSTR|678VULN|9ZMB|aRCR
68	42612 31142	   	167.51	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2AART|3FEWX|4DUR|5CANSTR|678VULN|9ZMB|aRCR
69	42125 15131	   	167.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2AART|3MLV|4LIT|58VULN|6DMG|7ZMB|9RCR|aLWND
70	42125 15133	   	167.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2AART|3MLV|4LIT|58VULN|6DMG|7ZMB|9RCR|aBEXP
71	42163 34232	   	167.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2AART|35MLV|4RPLT|6VULN|7aDMG|8ZMB|9RCR
72	42163 35132	   	167.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2AART|35MLV|4RPLT|6VULN|7ZMB|8aDMG|9RCR
73	42311 33153	 * 	167.47	DCR|3VULN|1AART|2CDMG|1ASPD|1SELL	19CDMG|2AART|3SELL|4ASPD|56aVULN|7LSRICY|8RCR
74	34511 21354	 * 	167.47	DCR|4VULN|1AART|2ZMB	19LIT|2LHND|39ZMB|4589VULN|6MBVNT|7RCR|9BPWR|aAART
75	35511 21354	   	167.47	DCR|4VULN|1AART|2ZMB	19LIT|2LWND|39ZMB|4589VULN|6MBVNT|7RCR|9BPWR|aAART
76	36511 21344	   	167.47	DCR|4VULN|1AART|2ZMB	19LIT|2FEWX|39ZMB|4589VULN|6MBVNT|7RCR|9BPWR|aAART
77	42125 15132	   	167.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2AART|3MLV|4LIT|58VULN|6DMG|7ZMB|9RCR|aBASHEA
78	33351 21354	   	167.37	DCR|4VULN|1AART|2ZMB	19LIT|2DUST|3589VULN|49ZMB|6MBVNT|7RCR|9BPWR|aAART
79	33511 21354	   	167.37	DCR|4VULN|1AART|2ZMB	19LIT|2DUST|39ZMB|4589VULN|6MBVNT|7RCR|9BPWR|aAART
80	42321 36263	 * 	167.34	DCR|2VULN|1AART|1DMG|2CDMG|1SELL	1aCDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8LWND|9DMG
81	42321 36523	 * 	167.34	DCR|2VULN|1AART|1DMG|2CDMG|1SELL	1aCDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8DMG|9FEWX
82	42321 36533	 * 	167.24	DCR|2VULN|1AART|1DMG|2CDMG|1SELL	1aCDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8DMG|9DUST
83	15223 33612	 * 	167.11	DCR|2VULN|2DMG|1AART	1RMIN|2RPLT|3AART|4aFEWX|5aVULN|6RCR|7LEGI|8aDMG|9RCVC|aBPWR
84	53166 22231	   	167.00	DCR|3VULN|1AART|1ZMB|1ASPD|1DUR	125MLV|25BPWR|35aVULN|4AART|6ASPD|7RCR|8ZMB|9DUR
85	41632 33611	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2DUST|37DUR|46VULN|5AART|8DMG|9RCR|aCGEN
86	41632 33613	   	166.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2DUST|37DUR|46VULN|5AART|8DMG|9RCR|aBASICY
87	23125 14253	 * 	166.28	DCR|3VULN|1DMG|2ASPD|1CDMG|1ZMB	12ASPD|2BPWR|379VULN|4CDMG|5LIT|6ZMB|8DMG|aRCR
88	23125 41152	 * 	166.08	DCR|3VULN|3ASPD|2ZMB|1CDMG	129ASPD|29BPWR|39aVULN|4CDMG|5LIT|6RCR|7MBVNT|89ZMB
89	24311 21354	   	165.97	DCR|4VULN|1AART|2ASPD	19ASPD|2LIT|39DUST|4589VULN|6MBVNT|7RCR|9BPWR|aAART
90	21335 34531	   	165.81	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2FEWX|3MBVNT|4aVULN|5DUR|6ZMB|7DMG|8RCR|9AART
91	23125 41148	   	165.74	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	12ASPD|2BPWR|3VULN|4CDMG|5LIT|6RCR|7MBVNT|8ZMB|9DMG|aAART
92	23326 16148	   	165.74	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	12ASPD|2BPWR|3MBVNT|4CDMG|5LIT|6RCR|7VULN|8ZMB|9DMG|aAART
93	53363 11631	 * 	165.63	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	12MLV|2BPWR|3CDMG|4RCR|5RMIN|6DUR|7AART|89DMG|aVULN
94	21353 24322	   	165.63	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1ASPD|2FEWX|3MBVNT|47DMG|5RCR|6DUR|8VULN|9ZMB|aAART
95	21353 27122	 * 	165.63	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2FEWX|3MBVNT|4DMG|5RCR|6DUR|78VULN|9ZMB|aAART
96	21353 27722	   	165.63	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1ASPD|2FEWX|3MBVNT|48DMG|5RCR|6DUR|7VULN|9ZMB|aAART
97	42331 33116	   	165.57	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9DMSP|aDUR
98	42331 33125	   	165.57	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9CGEN|aDUR
99	42331 33162	   	165.57	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9LHND|aASPD
100	24311 21372	   	165.22	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2LIT|3DUST|458VULN|6MBVNT|7RCR|9DMG|aAART
101	21335 34542	   	165.21	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2FEWX|3MBVNT|49VULN|5DUR|6ZMB|7DMG|8RCR|aAART
102	42331 33151	 * 	164.94	DCR|2VULN|1AART|1DMG|2CDMG|1SELL	19CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|aBELT
103	42331 63153	 * 	164.94	DCR|2VULN|1AART|1DMG|2CDMG|1SELL	19CDMG|2AART|3SELL|4DMG|5aVULN|6DMSP|7LSRICY|8RCR
104	42332 13153	 * 	164.94	DCR|2VULN|1AART|1DMG|2CDMG|1SELL	19CDMG|2AART|3SELL|4DMG|5RCVC|6aVULN|7LSRICY|8RCR
105	12313 61611	   	164.88	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	19RMIN|2DUR|3CDMG|45ZMB|6RCR|7AART|8DMG|aVULN
106	12313 61641	   	164.88	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1RMIN|2DUR|3CDMG|45ZMB|6RCR|7AART|8DMG|9DMSP|aVULN
107	14313 61611	   	164.88	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	19RMIN|2CDMG|3DUR|45ZMB|6RCR|7AART|8DMG|aVULN
108	12313 61231	   	164.88	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1RMIN|2DUR|3CDMG|45ZMB|6RCR|7AART|8RCVC|9DMG|aVULN
109	14313 61231	   	164.88	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1RMIN|2CDMG|3DUR|45ZMB|6RCR|7AART|8RCVC|9DMG|aVULN
110	42331 33152	 * 	164.84	DCR|2VULN|1AART|2CDMG|1DMG|1SELL	19CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|aERES
111	42331 33155	 * 	164.84	DCR|2VULN|1AART|1DMG|2CDMG|1SELL	19CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|aTLV
112	43313 61631	   	164.78	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1CDMG|2ERES|3DUR|45ZMB|6RCR|7AART|8DMG|9VULN|aCGEN
113	46113 24331	 * 	164.69	ACR|3VULN|1AART|1CDMG|1ZMB	1CDMG|2LWND|36RCVC|4AART|5RCR|79aVULN|8ZMB
114	46113 35331	   	164.69	ACR|3VULN|1AART|1CDMG|1ZMB	1CDMG|2LWND|37RCVC|4AART|5RCR|69aVULN|8ZMB
115	46213 24331	   	164.69	ACR|3VULN|1AART|1CDMG|1ZMB	1CDMG|23LWND|4AART|5RCR|6RCVC|79aVULN|8ZMB
116	46213 35331	   	164.69	ACR|3VULN|1AART|1CDMG|1ZMB	1CDMG|23LWND|4AART|5RCR|69aVULN|7RCVC|8ZMB
117	41632 33316	   	164.69	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB|1ASPD	1CDMG|2DUST|37DUR|46VULN|5AART|8ZMB|9RCR|aASPD
118	43313 61633	   	164.68	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1CDMG|2ERES|3DUR|45ZMB|6RCR|7AART|8DMG|9VULN|aCANSTR
119	46213 63311	 * 	164.61	ACR|2DMG|1AART|1VULN|2CDMG	18CDMG|238LWND|4AART|5RCR|68DMG|7RPLT|8BPWR|9BEXP|aVULN
120	46113 63323	   	164.51	ACR|2DMG|1AART|1VULN|2CDMG	18CDMG|28LWND|3RCVC|4AART|5RCR|68DMG|7RPLT|8BPWR|9TLV|aVULN
121	24423 54121	 * 	164.38	DCR|3DMG|1AART|2ZMB|2ASPD|1SELL	1aASPD|25LIT|3MBVNT|45aDMG|5aBPWR|6AART|7aZMB|8SELL|9RCR
122	34511 21352	 * 	164.33	DCR|4VULN|1DMG|2ZMB	19LIT|2LHND|39ZMB|4589VULN|6MBVNT|7RCR|9BPWR|aDMG
123	35511 21352	   	164.33	DCR|4VULN|1DMG|2ZMB	19LIT|2LWND|39ZMB|4589VULN|6MBVNT|7RCR|9BPWR|aDMG
124	36511 21342	   	164.33	DCR|4VULN|1DMG|2ZMB	19LIT|2FEWX|39ZMB|4589VULN|6MBVNT|7RCR|9BPWR|aDMG
125	24611 21254	   	164.30	DCR|3VULN|1AART|2ASPD|2DUR	19ASPD|28LIT|39DUR|459VULN|6MBVNT|7RCR|9BPWR|aAART
126	24424 54121	 * 	164.28	DCR|3DMG|1AART|2ZMB|2ASPD|1SELL	1aASPD|2LIT|3MBVNT|45aDMG|6AART|7aZMB|8SELL|9RCR|aBPWR
127	33351 21352	   	164.23	DCR|4VULN|1DMG|2ZMB	19LIT|2DUST|3589VULN|49ZMB|6MBVNT|7RCR|9BPWR|aDMG
128	33511 21352	   	164.23	DCR|4VULN|1DMG|2ZMB	19LIT|2DUST|39ZMB|4589VULN|6MBVNT|7RCR|9BPWR|aDMG
129	42311 33146	 * 	163.89	DCR|2AART|2VULN|1CDMG|1DUR|1ASPD|1SELL	1CDMG|29AART|3SELL|4ASPD|56VULN|7LSRICY|8RCR|aDUR
130	42111 44131	   	163.81	DCR|3VULN|1AART|1CDMG|1DUR	1CDMG|2AART|3MLV|48RCVC|5DUR|69aVULN|7RCR
131	42211 44131	   	163.81	DCR|3VULN|1AART|1CDMG|1DUR	1CDMG|2AART|3CGEN|48RCVC|5DUR|69aVULN|7RCR
132	42211 44331	   	163.81	DCR|3VULN|1AART|1CDMG|1DUR	1CDMG|2AART|38CGEN|4RCVC|5DUR|69aVULN|7RCR
133	23313 11278	 * 	163.79	ACR|1AART|1DMG|1VULN|2ASPD|1FLTHEA|2DUR	12ASPD|2BPWR|3MBVNT|47DUR|5RCR|6FLTHEA|8AART|9DMG|aVULN
134	44611 31231	 * 	163.71	DCR|2VULN|3CDMG|1AART|1ZMB|1ASPD	156CDMG|2ASPD|38VULN|4ZMB|7AART|9RCR|aCGEN
135	44611 31232	   	163.71	DCR|2VULN|3CDMG|1AART|1ZMB|1ASPD	156CDMG|2ASPD|38VULN|4ZMB|7AART|9RCR|aLWND
136	21353 31645	 * 	163.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2FEWX|3MBVNT|4DMG|5RCR|6AART|7ERES|8CDMG|9aVULN
137	44315 31231	   	163.59	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2ASPD|3DUR|4ZMB|5RCR|68RCVC|7AART|9DMG|aVULN
138	23512 16432	   	163.52	DCR|3VULN|1AART|3ASPD|1DUR	126ASPD|26BPWR|3BEXP|4DUR|567VULN|8RCR|9AART|aLWND
139	23116 16431	   	163.52	DCR|3VULN|1AART|3ASPD|1DUR	126ASPD|26BPWR|37aVULN|4DUR|56FEWX|8RCR|9AART
140	23212 14431	   	163.52	DCR|3VULN|1AART|3ASPD|1DUR	126ASPD|26BPWR|3LHND|4DUR|56aVULN|7DMSP|8RCR|9AART
141	42125 13225	   	163.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|3MLV|4LIT|5aVULN|6DMG|7DUR|8BELT|9RCR
142	42225 13225	   	163.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|3CGEN|4LIT|5aVULN|6DMG|7DUR|8BELT|9RCR
143	42513 33242	   	163.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|3BELT|4DUR|5DMG|6aVULN|7LWND|8BEXP|9RCR
144	23313 11188	   	163.19	ACR|1AART|1DMG|1VULN|2ASPD|1FLTHEA|2DUR	12ASPD|2BPWR|3MBVNT|47DUR|5RCR|6FLTHEA|8DMG|9AART|aVULN
145	42165 23232	   	163.14	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	17CDMG|2AART|3MLV|4RPLT|5ASPD|6VULN|8ZMB|9RCR|aDMG
146	42321 36422	 * 	163.04	DCR|3VULN|1AART|2CDMG|1SELL	1aCDMG|2AART|3SELL|4CGEN|56aVULN|7RCR|8MBVNT|9aMLV|aBPWR
147	42321 36326	 * 	162.93	DCR|3VULN|1AART|2CDMG|1SELL	1aCDMG|2AART|3SELL|4CGEN|568VULN|7RCR|9FEWX
148	23212 14453	   	162.92	DCR|3VULN|1AART|3ASPD|1DUR	126ASPD|26BPWR|3LHND|4DUR|569VULN|7DMSP|8RCR|aAART
149	23512 16412	   	162.92	DCR|3VULN|1AART|3ASPD|1DUR	126ASPD|26BPWR|3BEXP|4DUR|567VULN|8RCR|9RCVC|aAART
150	41616 12121	 * 	162.90	ACR|3VULN|2CDMG|3DUR|2ASPD	1aCDMG|2DUST|368DUR|4aASPD|5RCR|79aVULN|aBPWR
151	41616 22121	   	162.90	ACR|3VULN|2CDMG|3DUR|2ASPD	1aCDMG|2DUST|389DUR|4aASPD|5RCR|67aVULN|aBPWR
152	42321 36336	 * 	162.83	DCR|3VULN|1AART|2CDMG|1SELL	1aCDMG|2AART|3SELL|4CGEN|568VULN|7RCR|9DUST
153	24311 21352	   	162.83	DCR|4VULN|1DMG|2ASPD	19ASPD|2LIT|39DUST|4589VULN|6MBVNT|7RCR|9BPWR|aDMG
154	23322 31875	   	162.74	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	12ASPD|2BPWR|3MBVNT|4CDMG|5FEWX|6DMG|7AART|8RCR|9VULN|aZMB
155	43313 62323	 * 	162.66	DCR|2VULN|1DMG|2ZMB|1CDMG|2DUR	1CDMG|2ERES|39DUR|45ZMB|6RCR|78VULN|aDMG
156	21353 27223	 * 	162.66	ACR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1ASPD|2FEWX|3MBVNT|4aDMG|5RCR|6DUR|79VULN|8CDMG
