0	Index      	 *	Score 	Summary	Detail	
1	42222 14234	 * 	259.27	DCR|DCR|1VULN|1TLV|2RAT	1LIT|2BBNT|3VULN|4LHND|59RAT|6TLV|7aRCR|8FRZARM
27	33234 32452	   	240.17	DCR|3VULN|2TLV|3DUR	1BBNT|247DUR|3DUST|57aVULN|67TLV|7BPWR|8RCR|9CGEN
28	33534 32412	   	240.17	DCR|3VULN|2TLV|3DUR|1NUKE	1BBNT|247DUR|3LWND|57aVULN|67TLV|7BPWR|8RCR|9NUKE
29	36111 51363	   	240.09	DCR|2VULN|2DMG|1MLV|2RAT	1BBNT|2AART|3TBNT|4aRAT|5aVULN|6FEWX|7MLV|8aDMG|9RCR|aBPWR
30	33234 32412	   	240.07	DCR|3VULN|2TLV|3DUR|1NUKE	1BBNT|247DUR|3DUST|57aVULN|67TLV|7BPWR|8RCR|9NUKE
31	31244 22152	 * 	239.64	DCR|1VULN|1TLV|2AAC|1DMG|1ASPD|1CDMG	1BBNT|27AAC|3TBNT|4CDMG|5TLV|6ASPD|8RCR|9DMG|aVULN
32	31424 32152	   	239.64	DCR|1VULN|1TLV|2AAC|1DMG|1ASPD|1CDMG	1BBNT|27AAC|3DMG|4CDMG|5TBNT|6TLV|8RCR|9ASPD|aVULN
33	24111 54132	   	238.73	DCR|DCR|1TLV|1AAC	1CGEN|2CANSTR|3LIT|4AAC|5DUR|6TLV|7BELT|89RCR|aTBNT
34	44215 21132	   	238.73	DCR|DCR|1VULN|1AAC	1LIT|2VULN|37BELT|4AAC|5DUR|6MULHEA|89RCR|aTBNT
35	24111 54131	   	238.63	DCR|DCR|1TLV|1AAC	1CGEN|2CANSTR|3LIT|4AAC|5DUR|6TLV|7BELT|89RCR|aAEWIND
36	24111 54133	   	238.63	DCR|DCR|1TLV|1AAC	1CGEN|2CANSTR|3LIT|4AAC|5DUR|6TLV|7BELT|89RCR|aDUST
37	44215 21131	   	238.63	DCR|DCR|1VULN|1AAC	1LIT|2VULN|37BELT|4AAC|5DUR|6MULHEA|89RCR|aAEWIND
38	44215 21133	   	238.63	DCR|DCR|1VULN|1AAC	1LIT|2VULN|37BELT|4AAC|5DUR|6MULHEA|89RCR|aDUST
39	32421 32134	   	238.33	DCR|2VULN|2MLV|1AAC	1BBNT|27ERES|3DUR|47VULN|5AAC|67MLV|7BPWR|8LIT|9RAT|aRCR
40	44262 21132	   	238.08	DCR|DCR|1VULN|1ASPD	1LIT|2VULN|37BELT|4DUR|5ASPD|6MULHEA|89RCR|aTBNT
41	44262 21131	   	237.98	DCR|DCR|1VULN|1ASPD	1LIT|2VULN|37BELT|4DUR|5ASPD|6MULHEA|89RCR|aAEWIND
42	44262 21133	   	237.98	DCR|DCR|1VULN|1ASPD	1LIT|2VULN|37BELT|4DUR|5ASPD|6MULHEA|89RCR|aDUST
43	33254 32251	   	237.48	DCR|2VULN|2TLV|1ASPD|2DUR	1BBNT|27DUR|34DUST|57VULN|67TLV|7BPWR|8ASPD|9AART|aRCR
44	31463 11332	 * 	237.30	DCR|2TLV|1VULN|1MLV|1DMG|1AAC	1BBNT|2AAC|3DMG|4BELT|5VULN|6BEXP|78TLV|9RCR|aMLV
45	32533 14411	   	237.02	DCR|2TLV|1VULN|1MLV|1DMG	1BBNT|2ERES|3AART|4MLV|59TLV|6VULN|7DMG|8DUR|aRCR
46	33325 85124	 * 	236.40	DCR|2VULN|2DMG|1TLV|2DUR	1BBNT|26DUR|36VULN|4MBVNT|5DMSP|6BPWR|7RCR|8aDMG|9TLV
47	31325 33624	   	236.31	DCR|2VULN|1TLV|1MLV|1AAC	1BBNT|2AAC|3FEWX|49VULN|5TLV|6MLV|7RAT|8LIT|aRCR
48	31342 52136	   	235.22	DCR|DCR|1MLV|1AAC	1BBNT|2AAC|34FEWX|5AART|6MLV|7RPLT|8aRCR|9AEWIND
49	33134 32461	   	235.02	DCR|2VULN|2TLV|3DUR|1AAC	1BBNT|247DUR|3LHND|57VULN|67TLV|7BPWR|8RCR|9RCVC|aAAC
50	33234 32421	   	234.92	DCR|2VULN|2TLV|3DUR|1AAC	1BBNT|247DUR|3DUST|57VULN|67TLV|7BPWR|8RCR|9DMSP|aAAC
51	33234 32461	   	234.92	DCR|2VULN|2TLV|3DUR|1AAC	1BBNT|247DUR|3DUST|57VULN|67TLV|7BPWR|8RCR|9RCVC|aAAC
52	32533 11213	   	234.86	DCR|2VULN|2TLV|1MLV	1BBNT|2ERES|3AART|4MLV|58TLV|6aVULN|7RCR|9CGEN
53	32533 11233	   	234.86	DCR|2VULN|2TLV|1MLV	1BBNT|2ERES|3AART|4MLV|58TLV|6aVULN|7RCR|9AME
54	32513 11233	   	234.86	DCR|2VULN|2TLV|1MLV	1BBNT|2ERES|3AART|4CGEN|58TLV|6aVULN|7RCR|9MLV
55	33234 32425	   	234.28	DCR|2VULN|2TLV|3DUR|1ASPD	1BBNT|247DUR|3DUST|57VULN|67TLV|7BPWR|8RCR|9DMSP|aASPD
56	24153 34132	   	233.59	DCR|DCR|1VULN|1DMG	1CGEN|2CANSTR|3LIT|4VULN|5DMG|6RMIN|7BELT|89RCR|aTBNT
57	44221 21132	   	233.59	DCR|DCR|1VULN|1DMG	1LIT|2VULN|3BELT|4FEWX|5DMG|6MULHEA|7RCVC|89RCR|aTBNT
58	44221 21134	   	233.59	DCR|DCR|1VULN|1DMG	1LIT|2VULN|3BELT|4FEWX|5DMG|6MULHEA|7RCVC|89RCR|aLWND
59	44221 21135	   	233.59	DCR|DCR|1VULN|1DMG	1LIT|2VULN|3BELT|4FEWX|5DMG|6MULHEA|7RCVC|89RCR|aCGEN
60	44221 25132	   	233.59	DCR|DCR|1VULN|1DMG	1LIT|2VULN|3BELT|47FEWX|5DMG|6MULHEA|89RCR|aTBNT
61	24153 34131	   	233.49	DCR|DCR|1VULN|1DMG	1CGEN|2CANSTR|3LIT|4VULN|5DMG|6RMIN|7BELT|89RCR|aAETHUN
62	24153 34133	   	233.49	DCR|DCR|1VULN|1DMG	1CGEN|2CANSTR|3LIT|4VULN|5DMG|6RMIN|7BELT|89RCR|aDUST
63	44221 26132	   	233.49	DCR|DCR|1VULN|1DMG	1LIT|2VULN|3BELT|4FEWX|5DMG|6MULHEA|7AEFRZ|89RCR|aTBNT
64	44221 21131	   	233.49	DCR|DCR|1VULN|1DMG	1LIT|2VULN|3BELT|4FEWX|5DMG|6MULHEA|7RCVC|89RCR|aAEWIND
65	44221 21133	   	233.49	DCR|DCR|1VULN|1DMG	1LIT|2VULN|3BELT|4FEWX|5DMG|6MULHEA|7RCVC|89RCR|aDUST
66	44221 25131	   	233.49	DCR|DCR|1VULN|1DMG	1LIT|2VULN|3BELT|47FEWX|5DMG|6MULHEA|89RCR|aAEWIND
67	44221 25133	   	233.49	DCR|DCR|1VULN|1DMG	1LIT|2VULN|3BELT|47FEWX|5DMG|6MULHEA|89RCR|aDUST
68	44221 26131	   	233.39	DCR|DCR|1VULN|1DMG	1LIT|2VULN|3BELT|4FEWX|5DMG|6MULHEA|7AEFRZ|89RCR|aAEWIND
69	44221 26133	   	233.39	DCR|DCR|1VULN|1DMG	1LIT|2VULN|3BELT|4FEWX|5DMG|6MULHEA|7AEFRZ|89RCR|aDUST
70	44331 35124	   	233.25	DCR|DCR|1VULN|1DMG|1SELL	1LIT|2VULN|3DMG|4SELL|5MBVNT|6RPLT|7aRCR|8BBNT|9AEBURN
71	21542 52212	   	232.74	DCR|2VULN|1TLV|1MLV|1DMG	18CGEN|268LIT|3RMIN|4MLV|5TLV|78VULN|8BPWR|9DMG|aRCR
72	41235 11531	   	232.60	DCR|DCR|1DMG|1ASPD|2DUR	1LIT|25DUR|3BELT|4CGEN|69RCR|7ERES|8DMG|aASPD
73	33332 11442	 * 	232.34	DCR|2VULN|1TLV|1MLV|3DUR	1BBNT|245DUR|37VULN|6FEWX|8MLV|9TLV|aRCR
74	33332 31442	   	232.34	DCR|2VULN|1TLV|1MLV|3DUR	1BBNT|245DUR|37VULN|6LHND|8MLV|9TLV|aRCR
75	31321 31551	 * 	232.13	DCR|2VULN|1TLV|2AAC|1ASPD	1BBNT|25AAC|3FEWX|49VULN|6LIT|7RCR|8ASPD|aTLV
76	53336 16323	   	232.04	DCR|DCR|1DMG|1AAC|1CDMG	1FEWX|2ZMB|3LHND|4DUST|5DMG|6AME|7AAC|8aRCR|9CDMG
77	31634 63323	   	231.94	DCR|DCR|1DMG|1AAC|1CDMG	1BBNT|2AAC|3AEFRZ|4ZMB|5DMG|6AME|7AEBURN|8aRCR|9CDMG
78	31431 21126	   	231.91	DCR|2DMG|1VULN|1MLV|1AAC|1ASPD	1BBNT|2AAC|36DMG|4CGEN|5ASPD|7RAT|8VULN|9RCR|aMLV
79	31411 21126	   	231.81	DCR|2DMG|1VULN|1MLV|1AAC|1ASPD	1BBNT|2AAC|36DMG|4ERES|5ASPD|7RAT|8VULN|9RCR|aMLV
80	31244 21314	   	231.48	DCR|1VULN|1TLV|1DMG|1AAC|1ASPD|1CDMG	1BBNT|2AAC|3TBNT|4CDMG|5TLV|6ASPD|7DMG|8RCR|9RAT|aVULN
81	31424 31314	   	231.48	DCR|1VULN|1TLV|1DMG|1AAC|1ASPD|1CDMG	1BBNT|2AAC|3DMG|4CDMG|5TBNT|6TLV|7ASPD|8RCR|9RAT|aVULN
82	43353 21125	 * 	230.85	DCR|4VULN|2DMG	1aLIT|2LWND|3aDMG|459aVULN|6BBNT|7RCR|8AETHUN|aBPWR
83	43216 21132	   	230.42	DCR|DCR|1VULN|1AAC	1LIT|2LWND|37BELT|4AAC|5VULN|6MULHEA|89RCR|aTBNT
84	43216 21134	   	230.42	DCR|DCR|1VULN|1AAC	1LIT|2aLWND|37BELT|4AAC|5VULN|6MULHEA|89RCR
85	43216 21136	   	230.42	DCR|DCR|1VULN|1AAC	1LIT|2LWND|37BELT|4AAC|5VULN|6MULHEA|89RCR|aZMB
86	43216 23132	   	230.42	DCR|DCR|1VULN|1AAC	1LIT|27LWND|3BELT|4AAC|5VULN|6MULHEA|89RCR|aTBNT
87	43216 23134	   	230.42	DCR|DCR|1VULN|1AAC	1LIT|27aLWND|3BELT|4AAC|5VULN|6MULHEA|89RCR
88	43216 23136	   	230.42	DCR|DCR|1VULN|1AAC	1LIT|27LWND|3BELT|4AAC|5VULN|6MULHEA|89RCR|aZMB
89	24112 54132	   	230.32	DCR|DCR|1TLV|1AAC	1CGEN|2CANSTR|3LIT|4AAC|5AETHUN|6TLV|7BELT|89RCR|aTBNT
90	43216 21131	   	230.32	DCR|DCR|1VULN|1AAC	1LIT|2LWND|37BELT|4AAC|5VULN|6MULHEA|89RCR|aAEWIND
91	43216 21133	   	230.32	DCR|DCR|1VULN|1AAC	1LIT|2LWND|37BELT|4AAC|5VULN|6MULHEA|89RCR|aDUST
92	43216 21135	   	230.32	DCR|DCR|1VULN|1AAC|1SELL	1LIT|2LWND|37BELT|4AAC|5VULN|6MULHEA|89RCR|aSELL
93	43216 23131	   	230.32	DCR|DCR|1VULN|1AAC	1LIT|27LWND|3BELT|4AAC|5VULN|6MULHEA|89RCR|aAEWIND
94	43216 23133	   	230.32	DCR|DCR|1VULN|1AAC	1LIT|27LWND|3BELT|4AAC|5VULN|6MULHEA|89RCR|aDUST
95	43216 23135	   	230.32	DCR|DCR|1VULN|1AAC|1SELL	1LIT|27LWND|3BELT|4AAC|5VULN|6MULHEA|89RCR|aSELL
96	24112 54131	   	230.22	DCR|DCR|1TLV|1AAC	1CGEN|2CANSTR|3LIT|4AAC|5AETHUN|6TLV|7BELT|89RCR|aAEWIND
97	24112 54133	   	230.22	DCR|DCR|1TLV|1AAC	1CGEN|2CANSTR|3LIT|4AAC|5AETHUN|6TLV|7BELT|89RCR|aDUST
98	32321 32134	   	230.02	DCR|2VULN|2MLV|1AAC	1BBNT|27ERES|3LWND|47VULN|5AAC|67MLV|7BPWR|8LIT|9RAT|aRCR
99	44222 21132	   	229.78	DCR|DCR|1VULN|1ASPD	1LIT|2VULN|3BELT|4FEWX|5ASPD|6MULHEA|7RCVC|89RCR|aTBNT
100	44222 21134	   	229.78	DCR|DCR|1VULN|1ASPD	1LIT|2VULN|3BELT|4FEWX|5ASPD|6MULHEA|7RCVC|89RCR|aLWND
101	44222 21135	   	229.78	DCR|DCR|1VULN|1ASPD	1LIT|2VULN|3BELT|4FEWX|5ASPD|6MULHEA|7RCVC|89RCR|aCGEN
102	44222 25132	   	229.78	DCR|DCR|1VULN|1ASPD	1LIT|2VULN|3BELT|47FEWX|5ASPD|6MULHEA|89RCR|aTBNT
103	44222 21131	   	229.68	DCR|DCR|1VULN|1ASPD	1LIT|2VULN|3BELT|4FEWX|5ASPD|6MULHEA|7RCVC|89RCR|aAEWIND
104	44222 21133	   	229.68	DCR|DCR|1VULN|1ASPD	1LIT|2VULN|3BELT|4FEWX|5ASPD|6MULHEA|7RCVC|89RCR|aDUST
105	44222 25131	   	229.68	DCR|DCR|1VULN|1ASPD	1LIT|2VULN|3BELT|47FEWX|5ASPD|6MULHEA|89RCR|aAEWIND
106	44222 25133	   	229.68	DCR|DCR|1VULN|1ASPD	1LIT|2VULN|3BELT|47FEWX|5ASPD|6MULHEA|89RCR|aDUST
107	44222 26132	   	229.68	DCR|DCR|1VULN|1ASPD	1LIT|2VULN|3BELT|4FEWX|5ASPD|6MULHEA|7AEFRZ|89RCR|aTBNT
108	44222 26131	   	229.58	DCR|DCR|1VULN|1ASPD	1LIT|2VULN|3BELT|4FEWX|5ASPD|6MULHEA|7AEFRZ|89RCR|aAEWIND
109	44222 26133	   	229.58	DCR|DCR|1VULN|1ASPD	1LIT|2VULN|3BELT|4FEWX|5ASPD|6MULHEA|7AEFRZ|89RCR|aDUST
110	42363 11251	   	229.37	DCR|2VULN|1TLV|1MLV|1AAC	1LIT|2BBNT|3AAC|49VULN|5MLV|6CGEN|7RCR|8ZMB|aTLV
