0	Index      	 *	Score 	Summary	Detail	
1	56311 32531	 * 	186.49	ACR|4VULN|1AART|1CDMG|1ZMB	1DMSP|2RCR|3AART|4ERES|569aVULN|7ZMB|8CDMG
13	36381 22237	   	181.92	DCR|4VULN|2DMG|2ZMB	146aVULN|2aZMB|3MBVNT|5LWND|7RCR|8LIT|9aDMG|aBPWR
14	22353 42482	 * 	181.63	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	1CGEN|25VULN|3MBVNT|45ASPD|5BPWR|6DMG|7RCR|8CDMG|9AART|aZMB
15	36323 12237	 * 	181.35	DCR|3VULN|2DMG|3ZMB	15aVULN|26aZMB|3MBVNT|4FEWX|7RCR|8LIT|9aDMG|aBPWR
16	36343 12237	   	181.35	DCR|3VULN|2DMG|3ZMB	15aVULN|26aZMB|3MBVNT|4LHND|7RCR|8LIT|9aDMG|aBPWR
17	36381 12237	   	181.35	DCR|3VULN|2DMG|3ZMB	14aVULN|26aZMB|3MBVNT|5LWND|7RCR|8LIT|9aDMG|aBPWR
18	22233 62543	 * 	180.48	DCR|2VULN|2DMG|1AART|2CDMG	1CGEN|25VULN|3RPLT|45CDMG|5BPWR|69DMG|7RCR|8FEWX|aAART
19	32421 12563	 * 	180.07	DCR|3VULN|2DMG|1AART	159VULN|24ERES|3AART|6RPLT|7RCR|8aDMG
20	22353 42435	 * 	180.06	DCR|3VULN|2DMG|2ASPD|1CDMG	1CGEN|25aVULN|3MBVNT|45ASPD|5BPWR|69DMG|7RCR|8CDMG
21	22353 42436	 * 	180.06	DCR|3DMG|2VULN|2ASPD|1CDMG	1CGEN|25VULN|3MBVNT|45ASPD|5BPWR|69aDMG|7RCR|8CDMG
22	62324 84124	 * 	179.57	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1MLV|246VULN|3MBVNT|5AART|7FLTHEA|8RCR|9DUR|aDMG
23	36323 23137	   	179.52	DCR|4VULN|2DMG|2ZMB	156aVULN|2aZMB|3MBVNT|4FEWX|7LIT|8RCR|9aDMG|aBPWR
24	36323 36137	   	179.52	DCR|4VULN|2DMG|2ZMB	157aVULN|2aZMB|3MBVNT|4FEWX|6LIT|8RCR|9aDMG|aBPWR
25	36343 23137	   	179.52	DCR|4VULN|2DMG|2ZMB	156aVULN|2aZMB|3MBVNT|4LHND|7LIT|8RCR|9aDMG|aBPWR
26	36343 36137	   	179.52	DCR|4VULN|2DMG|2ZMB	157aVULN|2aZMB|3MBVNT|4LHND|6LIT|8RCR|9aDMG|aBPWR
27	36381 23137	   	179.52	DCR|4VULN|2DMG|2ZMB	146aVULN|2aZMB|3MBVNT|5LWND|7LIT|8RCR|9aDMG|aBPWR
28	22353 25543	 * 	179.13	DCR|3VULN|2DMG|3ASPD|1ZMB	18CGEN|256VULN|3MBVNT|458ASPD|58BPWR|78DMG|9RCR|aZMB
29	31353 25543	   	179.13	DCR|3VULN|2DMG|3ASPD|1ZMB	168VULN|25CGEN|3MBVNT|458ASPD|58BPWR|78DMG|9RCR|aZMB
30	62314 17216	   	179.07	DCR|3VULN|2DMG|1AART	146MLV|29aVULN|3MBVNT|5AART|7RCR|89DMG|9BPWR
31	36323 13137	   	178.95	DCR|3VULN|2DMG|3ZMB	15aVULN|26aZMB|3MBVNT|4FEWX|7LIT|8RCR|9aDMG|aBPWR
32	36343 13137	   	178.95	DCR|3VULN|2DMG|3ZMB	15aVULN|26aZMB|3MBVNT|4LHND|7LIT|8RCR|9aDMG|aBPWR
33	36381 13137	   	178.95	DCR|3VULN|2DMG|3ZMB	14aVULN|26aZMB|3MBVNT|5LWND|7LIT|8RCR|9aDMG|aBPWR
34	32353 25543	   	178.93	DCR|3VULN|2DMG|3ASPD|1ZMB	168VULN|25ERES|3MBVNT|458ASPD|58BPWR|78DMG|9RCR|aZMB
35	35622 11351	   	177.92	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1aVULN|2SELL|3AART|4aTLV|5LSRHEA|6CDMG|7RCR|8RPLT|9aDMG|aBPWR
36	32384 34161	 * 	177.57	DCR|4VULN|1AART|1FLTHEA|1ZMB	146aVULN|2ERES|3MBVNT|5AART|7FLTHEA|8RCR|9ZMB
37	22353 42484	   	177.56	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1CGEN|25VULN|3MBVNT|45ASPD|5BPWR|6DMG|7RCR|8CDMG|9AART|aDUR
38	32384 34165	 * 	177.12	DCR|3VULN|1AART|1FLTHEA|1CDMG|1ZMB	146VULN|2ERES|3MBVNT|5AART|7FLTHEA|8RCR|9ZMB|aCDMG
39	36323 81436	 * 	176.33	DCR|4VULN|1DMG|1CDMG|1ZMB	1579VULN|2ZMB|3MBVNT|4FEWX|6RCR|8CDMG|aDMG
40	36343 81436	   	176.33	DCR|4VULN|1DMG|1CDMG|1ZMB	1579VULN|2ZMB|3MBVNT|4LHND|6RCR|8CDMG|aDMG
41	32415 31413	   	176.32	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	18VULN|2ERES|36AART|4LIT|5DMG|7RCR|9ZMB|aASPD
42	33426 22135	   	175.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	19VULN|2DUST|3CDMG|4AART|58RCVC|6ZMB|7RCR|aDMG
43	22353 42424	   	175.41	DCR|2VULN|2DMG|2ASPD|1CDMG|1ZMB	1CGEN|25VULN|3MBVNT|45ASPD|5BPWR|6aDMG|7RCR|8CDMG|9ZMB
44	62324 54124	 * 	175.36	DCR|2AART|2VULN|1DMG|1FLTHEA|1DUR	1MLV|24VULN|3MBVNT|56AART|7FLTHEA|8RCR|9DUR|aDMG
45	36323 22477	 * 	175.02	DCR|3VULN|2AART|1CDMG|1ZMB	156VULN|2ZMB|3MBVNT|4FEWX|7RCR|8CDMG|9aAART
46	22356 42482	   	174.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CGEN|25VULN|3MBVNT|4ASPD|6DMG|7RCR|8CDMG|9AART|aZMB
47	22386 42482	   	174.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CGEN|24VULN|3MBVNT|5ASPD|6DMG|7RCR|8CDMG|9AART|aZMB
48	31356 42482	   	174.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	15VULN|2CGEN|3MBVNT|4ASPD|6DMG|7RCR|8CDMG|9AART|aZMB
49	31386 42482	   	174.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	14VULN|2CGEN|3MBVNT|5ASPD|6DMG|7RCR|8CDMG|9AART|aZMB
50	32384 54161	 * 	174.92	DCR|3VULN|2AART|1FLTHEA|1ZMB	14aVULN|2ERES|3MBVNT|56AART|7FLTHEA|8RCR|9ZMB
51	32356 42482	   	174.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	15VULN|2ERES|3MBVNT|4ASPD|6DMG|7RCR|8CDMG|9AART|aZMB
52	32386 42482	   	174.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	14VULN|2ERES|3MBVNT|5ASPD|6DMG|7RCR|8CDMG|9AART|aZMB
53	56133 16323	 * 	174.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DMSP|2RCR|3ZMB|4CGEN|5CDMG|6DMG|7AART|8BELT|9aVULN
54	36336 42448	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	15VULN|2ZMB|3MBVNT|4CGEN|6DMG|7RCR|8CDMG|9DUR|aAART
55	36383 42448	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	14VULN|2ZMB|3MBVNT|5CGEN|6DMG|7RCR|8CDMG|9DUR|aAART
56	36336 42484	   	174.29	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	15VULN|2ZMB|3MBVNT|4CGEN|6DMG|7RCR|8aCDMG|9AART
57	36383 42484	   	174.29	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	14VULN|2ZMB|3MBVNT|5CGEN|6DMG|7RCR|8aCDMG|9AART
58	36323 22436	   	173.93	DCR|4VULN|1DMG|1CDMG|1ZMB	1569VULN|2ZMB|3MBVNT|4FEWX|7RCR|8CDMG|aDMG
59	36343 22436	   	173.93	DCR|4VULN|1DMG|1CDMG|1ZMB	1569VULN|2ZMB|3MBVNT|4LHND|7RCR|8CDMG|aDMG
60	56343 33331	   	173.92	ACR|3VULN|1AART|1CDMG|2DUR	1DMSP|2RCR|3AART|47DUR|57MLV|678VULN|7BPWR|9CDMG|aLHND
61	56343 33332	   	173.92	ACR|3VULN|1AART|1CDMG|2DUR	1DMSP|2RCR|3AART|47DUR|57MLV|678VULN|7BPWR|9CDMG|aCGEN
62	56343 33333	   	173.92	ACR|3VULN|1AART|1CDMG|2DUR	1DMSP|2RCR|3AART|47DUR|57MLV|678VULN|7BPWR|9CDMG|aBEXP
63	46383 22442	   	173.71	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2ZMB|3MBVNT|456VULN|7RCR|8CDMG|9DMG|aASPD
64	22461 12532	   	173.68	DCR|3VULN|1AART|1DMG|1ZMB	1CGEN|245VULN|3AART|6RPLT|7RCR|8DMG|9MLV|aZMB
65	31461 12532	   	173.68	DCR|3VULN|1AART|1DMG|1ZMB	145VULN|2CGEN|3AART|6RPLT|7RCR|8DMG|9MLV|aZMB
66	32461 12532	   	173.58	DCR|3VULN|1AART|1DMG|1ZMB	145VULN|2ERES|3AART|6RPLT|7RCR|8DMG|9MLV|aZMB
67	22356 42435	   	173.35	DCR|3VULN|2DMG|1CDMG|1ASPD	1CGEN|25aVULN|3MBVNT|4ASPD|69DMG|7RCR|8CDMG
68	22356 42436	   	173.35	DCR|3DMG|2VULN|1CDMG|1ASPD	1CGEN|25VULN|3MBVNT|4ASPD|69aDMG|7RCR|8CDMG
69	22386 42435	   	173.35	DCR|3VULN|2DMG|1CDMG|1ASPD	1CGEN|24aVULN|3MBVNT|5ASPD|69DMG|7RCR|8CDMG
70	22386 42436	   	173.35	DCR|3DMG|2VULN|1CDMG|1ASPD	1CGEN|24VULN|3MBVNT|5ASPD|69aDMG|7RCR|8CDMG
71	31356 42435	   	173.35	DCR|3VULN|2DMG|1CDMG|1ASPD	15aVULN|2CGEN|3MBVNT|4ASPD|69DMG|7RCR|8CDMG
72	31356 42436	   	173.35	DCR|3DMG|2VULN|1CDMG|1ASPD	15VULN|2CGEN|3MBVNT|4ASPD|69aDMG|7RCR|8CDMG
73	31386 42435	   	173.35	DCR|3VULN|2DMG|1CDMG|1ASPD	14aVULN|2CGEN|3MBVNT|5ASPD|69DMG|7RCR|8CDMG
74	31386 42436	   	173.35	DCR|3DMG|2VULN|1CDMG|1ASPD	14VULN|2CGEN|3MBVNT|5ASPD|69aDMG|7RCR|8CDMG
75	32356 42435	   	173.25	DCR|3VULN|2DMG|1CDMG|1ASPD	15aVULN|2ERES|3MBVNT|4ASPD|69DMG|7RCR|8CDMG
76	32356 42436	   	173.25	DCR|3DMG|2VULN|1CDMG|1ASPD	15VULN|2ERES|3MBVNT|4ASPD|69aDMG|7RCR|8CDMG
77	32386 42435	   	173.25	DCR|3VULN|2DMG|1CDMG|1ASPD	14aVULN|2ERES|3MBVNT|5ASPD|69DMG|7RCR|8CDMG
78	32386 42436	   	173.25	DCR|3DMG|2VULN|1CDMG|1ASPD	14VULN|2ERES|3MBVNT|5ASPD|69aDMG|7RCR|8CDMG
79	62324 43527	 * 	172.83	DCR|3VULN|1AART|1DMG|3DUR	17MLV|247VULN|3MBVNT|5AART|678DUR|7BPWR|9RCR|aDMG
80	35633 23122	   	172.68	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	17VULN|2SELL|3AART|4FEWX|57LHND|67DMG|7BPWR|8RCVC|9RCR|aZMB
81	62324 84144	   	172.63	DCR|3VULN|1AART|1DMG|1FLTHEA	1MLV|246VULN|3MBVNT|5AART|7FLTHEA|8RCR|9BEXP|aDMG
82	36323 84473	   	172.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	15VULN|2ZMB|3MBVNT|4FEWX|6RCR|7RCVC|8CDMG|9AART|aDMG
83	62324 84134	   	172.53	DCR|3VULN|1AART|1DMG|1FLTHEA	1MLV|246VULN|3MBVNT|5AART|7FLTHEA|8RCR|9DUST|aDMG
84	36323 84237	   	172.42	DCR|3VULN|2DMG|2ZMB	15aVULN|2aZMB|3MBVNT|4FEWX|6RCR|7RCVC|8LIT|9aDMG|aBPWR
85	36343 84237	   	172.42	DCR|3VULN|2DMG|2ZMB	15aVULN|2aZMB|3MBVNT|4LHND|6RCR|7RCVC|8LIT|9aDMG|aBPWR
86	56311 32533	   	172.39	ACR|3VULN|1AART|1CDMG|1ZMB	1DMSP|2RCR|3AART|4ERES|569VULN|7ZMB|8CDMG|aFEWX
87	31345 13614	 * 	172.38	DCR|4VULN|1AART|2FLTHEA	1589VULN|2CGEN|3MBVNT|48FLTHEA|68TLV|7RCR|8BPWR|aAART
88	56311 32532	   	172.29	ACR|3VULN|1AART|1CDMG|1ZMB	1DMSP|2RCR|3AART|4ERES|569VULN|7ZMB|8CDMG|aAIRHEA
89	22415 31262	   	172.12	DCR|2AART|2VULN|1DMG|1CDMG	1CGEN|29VULN|36AART|4LIT|5DMG|7RCR|8LWND|aCDMG
90	31415 31262	   	172.12	DCR|2AART|2VULN|1DMG|1CDMG	19VULN|2CGEN|36AART|4LIT|5DMG|7RCR|8LWND|aCDMG
91	35123 23122	   	172.08	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	17VULN|2SELL|3FEWX|4AART|57LHND|67DMG|7BPWR|8RCVC|9RCR|aZMB
92	46383 22444	   	172.06	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	1aDUR|2ZMB|3MBVNT|456VULN|7RCR|8CDMG|9DMG
93	32415 31262	   	172.02	DCR|2AART|2VULN|1DMG|1CDMG	19VULN|2ERES|36AART|4LIT|5DMG|7RCR|8LWND|aCDMG
94	36343 84446	   	171.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	15VULN|2ZMB|3MBVNT|4LHND|6RCR|7RCVC|8CDMG|9DMG|aAART
95	36323 12473	 * 	171.83	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	15VULN|26ZMB|3MBVNT|4FEWX|7RCR|8CDMG|9AART|aDMG
96	36336 42482	   	171.83	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	15VULN|2aZMB|3MBVNT|4CGEN|6DMG|7RCR|8CDMG|9AART
97	36383 42482	   	171.83	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	14VULN|2aZMB|3MBVNT|5CGEN|6DMG|7RCR|8CDMG|9AART
98	25633 21533	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	14CGEN|2ZMB|3aDMG|5TLV|6RCR|7AART|8CDMG|9VULN
99	36327 84314	   	171.52	DCR|2VULN|2DMG|1AART|1ZMB	19VULN|2ZMB|3MBVNT|49FEWX|59DMG|6BELT|7RCR|8RMIN|9BPWR|aAART
100	56334 11321	 * 	171.52	ACR|3VULN|2AART|2DUR	1DMSP|2RCR|39AART|4aDUST|5BEXP|6aDUR|78aVULN|aBPWR
101	56336 11321	   	171.52	ACR|3VULN|2AART|2DUR	1DMSP|2RCR|39AART|4aDUST|5FEWX|6aDUR|78aVULN|aBPWR
102	36384 32314	 * 	171.44	DCR|3VULN|1AART|1DMG|2ZMB	146VULN|27ZMB|3MBVNT|5AART|8CGEN|9RCR|aDMG
103	62314 43422	   	171.41	DCR|3VULN|1AART|1DMG|2DUR	147MLV|279VULN|3MBVNT|5AART|67DUR|7BPWR|8RCR|aDMG
104	36343 12446	   	171.23	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	15VULN|26ZMB|3MBVNT|4LHND|7RCR|8CDMG|9DMG|aAART
105	36382 42226	   	171.22	DCR|2VULN|2DMG|1AART|1ZMB	14VULN|2ZMB|3MBVNT|5TLV|69DMG|7RCR|8BELT|aAART
106	22356 42484	   	170.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CGEN|25VULN|3MBVNT|4ASPD|6DMG|7RCR|8CDMG|9AART|aDUR
107	22386 42484	   	170.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CGEN|24VULN|3MBVNT|5ASPD|6DMG|7RCR|8CDMG|9AART|aDUR
108	31356 42484	   	170.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	15VULN|2CGEN|3MBVNT|4ASPD|6DMG|7RCR|8CDMG|9AART|aDUR
109	31386 42484	   	170.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	14VULN|2CGEN|3MBVNT|5ASPD|6DMG|7RCR|8CDMG|9AART|aDUR
110	32415 31224	   	170.81	DCR|2AART|2VULN|1DMG|2DUR	1aVULN|2ERES|36AART|4aLIT|5DMG|7RCR|8LWND|9aDUR|aBPWR
111	22353 42416	 * 	170.72	DCR|2VULN|2DMG|2CDMG|2ASPD	1CGEN|25VULN|3MBVNT|45ASPD|5BPWR|6aDMG|7RCR|89CDMG
112	33422 55123	   	170.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	19VULN|2DUST|3CDMG|4AART|5BEXP|6DMG|7ZMB|8DUR|aRCR
113	22353 42485	   	170.63	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1CGEN|25VULN|3MBVNT|45ASPD|5BPWR|6DMG|7RCR|8CDMG|9AART|aDMSP
114	22353 42486	   	170.63	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1CGEN|25VULN|3MBVNT|45ASPD|5BPWR|6DMG|7RCR|8CDMG|9AART|aFEWX
115	56332 12533	 * 	170.56	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1DMSP|2RCR|35AART|4DUST|6TLV|7ZMB|8CDMG|9VULN|aDMG
116	22353 42483	   	170.53	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1CGEN|25VULN|3MBVNT|45ASPD|5BPWR|6DMG|7RCR|8CDMG|9AART|aERES
117	36343 82421	 * 	170.50	DCR|3VULN|3ZMB|1AART	15aVULN|29aZMB|3MBVNT|4aLHND|6RCR|7RMIN|8AART|aBPWR
118	36233 11264	   	170.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|2ZMB|3RPLT|4CDMG|5LSRREG|6RCR|7FEWX|9AART|aDMG
119	62314 17214	   	170.35	DCR|2VULN|2DMG|1AART|1DUR	146MLV|29VULN|3MBVNT|5AART|7RCR|89DMG|9BPWR|aDUR
120	22353 42166	   	169.93	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1CGEN|25VULN|3MBVNT|45ASPD|5BPWR|6DMG|7RCR|8TLV|9CDMG|aAART
121	32382 44244	   	169.87	DCR|3VULN|2DMG|1AART	149VULN|2ERES|3MBVNT|59TLV|69DMG|7RPLT|8AART|9BPWR|aRCR
122	36323 81472	 * 	169.82	DCR|3VULN|1AART|2ZMB|1CDMG	157VULN|2aZMB|3MBVNT|4FEWX|6RCR|8CDMG|9AART
123	25113 22346	 * 	169.80	ACR|3VULN|1AART|1DMG|1ZMB	1CGEN|2ZMB|3LHND|4RCR|5AIRHEA|6DMG|789VULN|aAART
124	22411 15214	 * 	169.72	DCR|3VULN|1AART|2CDMG|1DUR	1aCGEN|29aVULN|3AART|4LIT|5DUR|6RPLT|7RCR|8aCDMG|aBPWR
125	31411 15214	   	169.72	DCR|3VULN|1AART|2CDMG|1DUR	19aVULN|2aCGEN|3AART|4LIT|5DUR|6RPLT|7RCR|8aCDMG|aBPWR
126	22415 31413	   	169.48	DCR|2AART|2VULN|1DMG|1ZMB	1CGEN|28VULN|36AART|4LIT|5DMG|7RCR|9ZMB|aRPLT
127	31415 31413	   	169.48	DCR|2AART|2VULN|1DMG|1ZMB	18VULN|2CGEN|36AART|4LIT|5DMG|7RCR|9ZMB|aRPLT
128	32421 12463	   	169.42	DCR|3VULN|1AART|1DMG|1ASPD	159VULN|24ERES|3AART|6RPLT|7RCR|8ASPD|aDMG
129	22415 31412	   	169.38	DCR|2AART|2VULN|1DMG|1ZMB	1CGEN|28VULN|36AART|4LIT|5DMG|7RCR|9ZMB|aERES
130	31415 31412	   	169.38	DCR|2AART|2VULN|1DMG|1ZMB	18VULN|2CGEN|36AART|4LIT|5DMG|7RCR|9ZMB|aERES
131	36382 42236	   	169.28	DCR|3VULN|1AART|1DMG|1ZMB	149VULN|2ZMB|3MBVNT|5TLV|6DMG|7RCR|8BELT|aAART
132	32415 31412	   	169.28	DCR|2AART|2VULN|1DMG|1ZMB	18VULN|2aERES|36AART|4LIT|5DMG|7RCR|9ZMB
133	36323 81442	   	169.17	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	157VULN|2ZMB|3MBVNT|4FEWX|6RCR|8CDMG|9DMG|aASPD
134	36323 81444	   	169.17	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	157VULN|2ZMB|3MBVNT|4FEWX|6RCR|8CDMG|9DMG|aDUR
135	36343 81442	   	169.17	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	157VULN|2ZMB|3MBVNT|4LHND|6RCR|8CDMG|9DMG|aASPD
136	36343 81447	   	169.17	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	157VULN|2ZMB|3MBVNT|4LHND|6RCR|8CDMG|9DMG|aDUR
137	36363 81442	   	169.17	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	157VULN|2ZMB|3MBVNT|4BEXP|6RCR|8CDMG|9DMG|aASPD
138	36363 81444	   	169.17	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	157VULN|2ZMB|3MBVNT|4BEXP|6RCR|8CDMG|9DMG|aDUR
139	36323 81435	 * 	169.10	DCR|5VULN|1CDMG|1ZMB	1579aVULN|2ZMB|3MBVNT|4FEWX|6RCR|8CDMG
140	36343 81435	   	169.10	DCR|5VULN|1CDMG|1ZMB	1579aVULN|2ZMB|3MBVNT|4LHND|6RCR|8CDMG
141	56126 21123	 * 	168.98	ACR|3VULN|3ZMB|1DMG	1DMSP|2RCR|379ZMB|48FEWX|579ERES|679VULN|79BPWR|aDMG
142	22353 42415	 * 	168.79	DCR|3VULN|1DMG|2CDMG|2ASPD	1CGEN|25aVULN|3MBVNT|45ASPD|5BPWR|6DMG|7RCR|89CDMG
143	22356 42424	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1CGEN|25VULN|3MBVNT|4ASPD|6aDMG|7RCR|8CDMG|9ZMB
144	22386 42424	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1CGEN|24VULN|3MBVNT|5ASPD|6aDMG|7RCR|8CDMG|9ZMB
145	31356 42424	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	15VULN|2CGEN|3MBVNT|4ASPD|6aDMG|7RCR|8CDMG|9ZMB
146	31386 42424	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	14VULN|2CGEN|3MBVNT|5ASPD|6aDMG|7RCR|8CDMG|9ZMB
147	56311 36323	   	168.68	ACR|4VULN|1AART|1DUR	1DMSP|2RCR|3AART|49ERES|568aVULN|7DUR
148	32356 42424	   	168.60	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	15VULN|2ERES|3MBVNT|4ASPD|6aDMG|7RCR|8CDMG|9ZMB
149	32386 42424	   	168.60	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	14VULN|2ERES|3MBVNT|5ASPD|6aDMG|7RCR|8CDMG|9ZMB
150	62324 54144	   	168.42	DCR|2AART|2VULN|1DMG|1FLTHEA	1MLV|24VULN|3MBVNT|56AART|7FLTHEA|8RCR|9BEXP|aDMG
151	36343 82441	 * 	168.42	DCR|3VULN|2AART|2ZMB	15aVULN|2aZMB|3MBVNT|4aLHND|6RCR|7RMIN|89AART|aBPWR
152	62324 54134	   	168.32	DCR|2AART|2VULN|1DMG|1FLTHEA	1MLV|24VULN|3MBVNT|56AART|7FLTHEA|8RCR|9DUST|aDMG
153	22353 25541	   	168.13	DCR|3VULN|2DMG|3ASPD	18CGEN|256VULN|3MBVNT|458ASPD|58BPWR|78DMG|9RCR|aLIT
154	31353 25541	   	168.13	DCR|3VULN|2DMG|3ASPD	168VULN|25CGEN|3MBVNT|458ASPD|58BPWR|78DMG|9RCR|aLIT
155	33422 34122	   	168.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	16VULN|2DUST|3CDMG|4AART|5BEXP|7DMG|8RCVC|9RCR|aZMB
156	33423 34122	   	168.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	16VULN|2DUST|3CDMG|4AART|5LHND|7DMG|8RCVC|9RCR|aZMB
157	36336 42416	   	168.08	DCR|2VULN|2DMG|2CDMG|1ZMB	15VULN|2ZMB|3MBVNT|4CGEN|6aDMG|7RCR|89CDMG
158	36383 42416	   	168.08	DCR|2VULN|2DMG|2CDMG|1ZMB	14VULN|2ZMB|3MBVNT|5CGEN|6aDMG|7RCR|89CDMG
159	22353 25544	   	168.03	DCR|3VULN|2DMG|3ASPD	18CGEN|256VULN|3MBVNT|458ASPD|58BPWR|78DMG|9RCR|aDUST
160	31353 25544	   	168.03	DCR|3VULN|2DMG|3ASPD	168VULN|25CGEN|3MBVNT|458ASPD|58BPWR|78DMG|9RCR|aDUST
161	56333 31335	   	168.00	ACR|2VULN|1AART|1DMG|1CDMG	1DMSP|2RCR|3AART|4DUST|5MLV|68VULN|7RCVC|9CDMG|aDMG
