0	Index      	 *	Score 	Summary	Detail	
1	41312 27327	 * 	208.40	DCR|4VULN|3DMG|3CDMG|2RCVC	15RCVC|279DMG|3MBVNT|479CDMG|6789VULN|79BPWR|aRCR
79	45321 31211	   	183.46	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCVC|2AART|358VULN|4ASPD|6RCR|7DUR|9LEGI|aDMG
80	45142 31131	   	183.42	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1RCVC|27AART|3DMG|4RMIN|5ASPD|6RCR|8ZMB|9aVULN
81	45312 36321	   	183.23	DCR|3VULN|1AART|1DMG|2ASPD	1RCVC|2AART|347VULN|57ASPD|6RCR|7BPWR|8DUST|9LWND|aDMG
82	45321 36321	   	183.23	DCR|3VULN|1AART|1DMG|2ASPD	1RCVC|2AART|357VULN|47ASPD|6RCR|7BPWR|8DUST|9LWND|aDMG
83	45312 36311	   	183.13	DCR|3VULN|1AART|1DMG|2ASPD	1RCVC|2AART|347VULN|57ASPD|6RCR|7BPWR|8DUST|9LEGI|aDMG
84	45321 36311	   	183.13	DCR|3VULN|1AART|1DMG|2ASPD	1RCVC|2AART|357VULN|47ASPD|6RCR|7BPWR|8DUST|9LEGI|aDMG
85	45151 11231	   	182.87	DCR|2AART|2VULN|2DMG	1RCVC|27AART|34DMG|5MBVNT|6RCR|8TLV|9aVULN
86	41142 31131	   	182.82	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1RCVC|2DMG|37AART|4RMIN|5ASPD|6RCR|8ZMB|9aVULN
87	44152 31131	   	182.82	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1RCVC|2CGEN|37AART|4DMG|5ASPD|6RCR|8ZMB|9aVULN
88	16326 36333	   	182.78	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2RCR|3FEWX|4AART|5LIT|6CDMG|7aDMG|89VULN
89	41151 13363	   	182.73	DCR|3DMG|1AART|1VULN|2ASPD	1RCVC|249DMG|3AART|5MBVNT|6RCR|79FEWX|89ASPD|9BPWR|aVULN
90	41151 11136	   	182.72	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1RCVC|24DMG|37AART|5MBVNT|6RCR|8ZMB|9VULN|aDUR
91	41151 11734	   	182.72	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	1RCVC|24DMG|37AART|5MBVNT|6RCR|8ASPD|9VULN|aZMB
92	16123 12651	   	182.68	ACR|2VULN|2DMG|1AART|2ASPD	1DUST|2RCR|38VULN|4AART|5MLV|6aDMG|79ASPD
93	61151 13271	   	182.57	DCR|3DMG|2VULN|1AART	1DMSP|24aDMG|3AART|5MBVNT|6RCR|7FEWX|89VULN
94	41151 12363	   	182.53	DCR|3DMG|1AART|1VULN|2ASPD	1RCVC|249DMG|3AART|5MBVNT|6RCR|79DUST|89ASPD|9BPWR|aVULN
95	61151 12271	   	182.47	DCR|3DMG|2VULN|1AART	1DMSP|24aDMG|3AART|5MBVNT|6RCR|7DUST|89VULN
96	45312 31242	   	182.44	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD	1RCVC|2AART|348VULN|5ASPD|6RCR|7aDUR|9CDMG
97	45312 33322	   	182.44	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD	1RCVC|2AART|349VULN|5ASPD|6RCR|7CDMG|8aDUR
98	45321 31242	   	182.44	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD	1RCVC|2AART|358VULN|4ASPD|6RCR|7aDUR|9CDMG
99	45321 33322	   	182.44	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD	1RCVC|2AART|359VULN|4ASPD|6RCR|7CDMG|8aDUR
100	42242 42131	   	182.42	DCR|4VULN|2DMG|1FLTHEA	1RCVC|237aVULN|47LWND|57DMG|6RPLT|7BPWR|8RCR|9FLTHEA
101	42313 62135	   	182.40	DCR|3VULN|3DMG|1ZMB	1aRCVC|279VULN|3RPLT|4ZMB|579DMG|679ERES|79BPWR|8RCR
102	41155 31231	   	182.37	DCR|2AART|2VULN|2DMG	1RCVC|24DMG|37AART|5BEXP|6RCR|8TLV|9aVULN
103	41151 11231	   	182.27	DCR|2AART|2VULN|2DMG	1RCVC|24DMG|37AART|5MBVNT|6RCR|8TLV|9aVULN
104	65312 33115	   	182.06	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1DMSP|2aAART|34VULN|5ASPD|6RCR|7CDMG|8CGEN|9DMG
105	65321 33115	   	182.06	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1DMSP|2aAART|35VULN|4ASPD|6RCR|7CDMG|8CGEN|9DMG
106	31362 22631	   	182.05	ACR|3DMG|2VULN|2CDMG|1ZMB	19CGEN|26VULN|369DMG|4LEGI|5RCR|69BPWR|7RMIN|89CDMG|aZMB
107	41221 11428	   	181.77	DCR|2AART|2VULN|2DMG	1RCVC|28DMG|3DMSP|47AART|5MBVNT|6RCR|8BPWR|9aVULN
108	31452 42133	 * 	181.73	DCR|3DMG|2VULN|3ASPD|1ZMB	179CGEN|24VULN|379ASPD|579DMG|6RPLT|79BPWR|8RCR|aZMB
109	45312 33225	 * 	181.66	DCR|3VULN|2AART|1CDMG|1ASPD	1RCVC|2aAART|349VULN|5ASPD|6RCR|7CDMG|8BEXP
110	45321 33225	   	181.66	DCR|3VULN|2AART|1CDMG|1ASPD	1RCVC|2aAART|359VULN|4ASPD|6RCR|7CDMG|8BEXP
111	65312 33251	   	181.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMSP|2AART|34VULN|5ASPD|6RCR|7CDMG|8BEXP|9DMG|aZMB
112	65321 33251	   	181.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMSP|2AART|35VULN|4ASPD|6RCR|7CDMG|8BEXP|9DMG|aZMB
113	45312 33114	   	181.56	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCVC|2AART|34VULN|5ASPD|6RCR|7CDMG|8CGEN|9DMG|aDUR
114	45312 33352	   	181.56	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCVC|2AART|34VULN|5ASPD|6RCR|7CDMG|8DUR|9DMG|aFEWX
115	45321 33114	   	181.56	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCVC|2AART|35VULN|4ASPD|6RCR|7CDMG|8CGEN|9DMG|aDUR
116	45321 33352	   	181.56	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCVC|2AART|35VULN|4ASPD|6RCR|7CDMG|8DUR|9DMG|aFEWX
117	42313 12131	   	181.53	DCR|3VULN|3DMG|1ZMB	1RCVC|279VULN|3RPLT|4ZMB|579DMG|679MLV|79BPWR|8RCR|aBEXP
118	42313 12134	   	181.53	DCR|3VULN|3DMG|1ZMB	1RCVC|279VULN|3RPLT|4ZMB|579DMG|679MLV|79BPWR|8RCR|aFEWX
119	45312 33353	   	181.46	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1RCVC|2AART|34VULN|5ASPD|6RCR|7CDMG|8DUR|9DMG|aBASICY
120	45321 33353	   	181.46	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1RCVC|2AART|35VULN|4ASPD|6RCR|7CDMG|8DUR|9DMG|aBASICY
121	42313 12132	   	181.43	DCR|3VULN|3DMG|1ZMB	1RCVC|279VULN|3RPLT|4ZMB|579DMG|679MLV|79BPWR|8RCR|aLEGI
122	42313 22134	   	181.33	DCR|3VULN|3DMG|1ZMB	1RCVC|29aVULN|3RPLT|4ZMB|569DMG|79MLV|8RCR|9BPWR
123	16125 34231	   	181.30	ACR|4VULN|1AART|1DMG	15DUST|2RCR|3578VULN|4AART|5BPWR|6MLV|9LHND|aDMG
124	16121 13432	   	181.27	ACR|2VULN|2DMG|1AART|2DUR	157DUST|2RCR|3aVULN|4AART|6CANSTR|8aDUR|9aDMG|aBPWR
125	45153 33121	 * 	181.23	DCR|3DMG|2AART|2CDMG	1RCVC|2aAART|349DMG|5LWND|6RCR|79CDMG|89CGEN|9BPWR
126	42311 22131	   	181.23	DCR|3VULN|3DMG|1ZMB	1RCVC|279VULN|3RPLT|4ZMB|579TLV|679DMG|79BPWR|8RCR|aBEXP
127	42311 22134	   	181.23	DCR|3VULN|3DMG|1ZMB	1RCVC|279VULN|3RPLT|4ZMB|579TLV|679DMG|79BPWR|8RCR|aFEWX
128	42313 62133	   	181.23	DCR|3VULN|3DMG|1ZMB	1RCVC|279VULN|3RPLT|4ZMB|579DMG|679ERES|79BPWR|8RCR|aRMIN
129	42313 62136	   	181.23	DCR|3VULN|3DMG|1ZMB	1RCVC|279VULN|3RPLT|4ZMB|579DMG|679ERES|79BPWR|8RCR|aLWND
130	45312 33223	   	181.21	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1RCVC|2AART|349VULN|5ASPD|6RCR|7CDMG|8BEXP|aZMB
131	45312 33623	   	181.21	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1RCVC|2AART|349VULN|5ASPD|6RCR|7CDMG|8LHND|aZMB
132	45321 33223	   	181.21	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1RCVC|2AART|359VULN|4ASPD|6RCR|7CDMG|8BEXP|aZMB
133	45321 33623	   	181.21	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1RCVC|2AART|359VULN|4ASPD|6RCR|7CDMG|8LHND|aZMB
134	42311 22132	   	181.13	DCR|3VULN|3DMG|1ZMB	1RCVC|279VULN|3RPLT|4ZMB|579TLV|679DMG|79BPWR|8RCR|aLEGI
135	42313 62131	   	181.13	DCR|3VULN|3DMG|1ZMB	1RCVC|279VULN|3RPLT|4ZMB|579DMG|679ERES|79BPWR|8RCR|aDUST
136	33352 25224	   	181.13	ACR|3VULN|2DMG|1AART|1DUR	16CGEN|2BEXP|38DMG|467VULN|5RCR|6BPWR|9DUR|aAART
137	45312 33523	   	181.11	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1RCVC|2AART|349VULN|5ASPD|6RCR|7CDMG|8MBVNT|aZMB
138	45321 33523	   	181.11	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1RCVC|2AART|359VULN|4ASPD|6RCR|7CDMG|8MBVNT|aZMB
139	61153 33326	   	181.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DMSP|24DMG|3AART|5LWND|6RCR|7CDMG|8DUR|9VULN|aZMB
140	16125 31241	   	180.85	ACR|3VULN|1AART|1DMG|1CDMG	15DUST|2RCR|358VULN|4AART|5BPWR|6MLV|7DMSP|9CDMG|aDMG
141	16122 34241	   	180.85	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2RCR|378VULN|4AART|5DMSP|6MLV|9CDMG|aDMG
142	16121 34241	   	180.75	ACR|3VULN|1AART|1DMG|1CDMG	15DUST|2RCR|378VULN|4AART|6MLV|9CDMG|aDMG
143	61223 31356	   	180.73	DCR|3DMG|1AART|3ASPD|3DUR	13DMSP|29aDMG|4AART|5LWND|6RCR|79aDUR|89aASPD|9aBPWR
144	31362 25263	   	180.64	ACR|4VULN|3DMG	1aCGEN|2679VULN|368DMG|4LEGI|5RCR|6BPWR
145	41153 33121	   	180.63	DCR|3DMG|2AART|2CDMG	1RCVC|249DMG|3aAART|5LWND|6RCR|79CDMG|89CGEN|9BPWR
146	41151 17114	   	180.63	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1RCVC|24DMG|3AART|5MBVNT|6RCR|7FLTHEA|8FEWX|9VULN|aCDMG
147	16122 24161	 * 	180.58	ACR|2AART|2VULN|2DMG	1DUST|2RCR|39VULN|47AART|5DMSP|6BEXP|8aDMG
148	16123 14161	   	180.58	ACR|2AART|2VULN|2DMG	1DUST|2RCR|3aVULN|47AART|59MLV|68DMG
149	16123 14433	   	180.58	ACR|2AART|2VULN|2DMG	1DUST|2RCR|39VULN|47AART|5MLV|6aDMG|8LIT
150	21242 31111	 * 	180.57	DCR|2DMG|1AART|3CDMG|1VULN|1DUR	19BASHEA|2AART|39aCDMG|4VULN|5BELT|6DUR|7RCR|89DMG|9BPWR
151	41312 27274	   	180.55	DCR|2VULN|2DMG|1AART|2CDMG|2RCVC	15RCVC|27DMG|3MBVNT|47CDMG|67VULN|7BPWR|8RPLT|9AART|aRCR
152	43222 42131	   	180.55	DCR|3VULN|2DMG|1FLTHEA|2DUR	1RCVC|2DMSP|37DUR|47aVULN|57DMG|6RPLT|7BPWR|8RCR|9FLTHEA
153	43235 22131	   	180.55	DCR|3VULN|2DMG|1FLTHEA|2DUR	1RCVC|2DMSP|37DUR|4RPLT|57aVULN|67DMG|7BPWR|8RCR|9FLTHEA
154	31362 25261	   	180.54	ACR|4VULN|3DMG	1CGEN|2679VULN|368DMG|4LEGI|5RCR|6BPWR|aNUKE
155	16121 24161	   	180.48	ACR|2AART|2VULN|2DMG	15DUST|2RCR|39VULN|47AART|6BEXP|8aDMG
156	41151 11461	   	180.43	DCR|3DMG|2AART|1VULN	1RCVC|248DMG|37AART|5MBVNT|6RCR|8BPWR|9VULN|aLIT
157	41151 11462	   	180.43	DCR|3DMG|2AART|1VULN	1RCVC|248DMG|37AART|5MBVNT|6RCR|8BPWR|9VULN|aLHND
158	41153 33421	   	180.43	DCR|3DMG|2AART|2CDMG	1RCVC|249DMG|3aAART|5LWND|6RCR|79CDMG|89TLV|9BPWR
159	45151 11134	 * 	180.23	DCR|2AART|2DMG|1VULN|2ZMB	1RCVC|27AART|34DMG|5MBVNT|6RCR|8aZMB|9VULN
160	65312 33524	   	180.21	DCR|4VULN|1AART|1CDMG|1ASPD	1DMSP|2AART|349aVULN|5ASPD|6RCR|7CDMG|8MBVNT
161	65321 33524	   	180.21	DCR|4VULN|1AART|1CDMG|1ASPD	1DMSP|2AART|359aVULN|4ASPD|6RCR|7CDMG|8MBVNT
162	31362 25211	   	180.19	ACR|3VULN|3DMG|1FLTHEA	1aCGEN|267VULN|368DMG|4LEGI|5RCR|6BPWR|9FLTHEA
163	31362 25214	   	180.19	ACR|3VULN|3DMG|1FLTHEA	1CGEN|267VULN|368DMG|4LEGI|5RCR|6BPWR|9FLTHEA|aRPLT
164	31362 25215	   	180.19	ACR|3VULN|3DMG|1FLTHEA	1CGEN|267VULN|368DMG|4LEGI|5RCR|6BPWR|9FLTHEA|aFEWX
165	31362 25221	   	180.19	ACR|3VULN|3DMG|1CDMG	1aCGEN|267VULN|368DMG|4LEGI|5RCR|6BPWR|9CDMG
166	31362 25225	   	180.19	ACR|3VULN|3DMG|1CDMG	1CGEN|267VULN|368DMG|4LEGI|5RCR|6BPWR|9CDMG|aRPLT
