0	Index      	 *	Score 	Summary	Detail	
1	52223 36133	 * 	196.94	ACR|3VULN|2DMG|1AART|1CDMG	1aCGEN|2RCR|38aVULN|4BELT|5LWND|6CDMG|7AART|9aDMG|aBPWR
16	42263 22531	   	179.25	ACR|4VULN|1DMG|1CDMG|1ZMB	1MLV|2RCR|367aVULN|4CDMG|5LIT|8DMG|9ZMB
17	52621 42331	 * 	177.75	ACR|2VULN|2AART|1DMG|1CDMG	19CGEN|2RCR|39BASHEA|4CDMG|5DMG|6aAART|7RCVC|89VULN|9BPWR
18	52432 43321	   	177.50	ACR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1DUR	18CGEN|2RCR|3DMG|4ZMB|5CDMG|6VULN|7AART|9DUR|aFLTHEA
19	42223 21443	   	176.74	ACR|2VULN|2DMG|1AART|1ZMB	19MLV|2RCR|39VULN|4BELT|5ZMB|6RMIN|7DUST|89DMG|9BPWR|aAART
20	42136 13224	   	176.43	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	14MLV|2RCR|34DUR|4BPWR|57VULN|6AART|8DMG|9LWND|aCDMG
21	42136 13234	   	176.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	14MLV|2RCR|34DUR|4BPWR|57VULN|6AART|8DMG|9DUST|aCDMG
22	42136 13262	   	176.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	14MLV|2RCR|34DUR|4BPWR|57VULN|6AART|8DMG|9LSRHEA|aCDMG
23	52122 11264	   	176.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CGEN|2RCR|35DUR|49VULN|6AART|7FEWX|8DMG|aCDMG
24	52122 13154	   	176.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CGEN|2RCR|35DUR|47VULN|6AART|8LWND|9DMG|aCDMG
25	52122 13224	   	176.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CGEN|2RCR|35DUR|47VULN|6AART|8DMG|9LWND|aCDMG
26	52122 13354	   	176.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CGEN|2RCR|35DUR|47VULN|6AART|8LHND|9DMG|aCDMG
27	52122 13234	   	176.23	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CGEN|2RCR|35DUR|47VULN|6AART|8DMG|9DUST|aCDMG
28	52122 13262	   	176.23	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CGEN|2RCR|35DUR|47VULN|6AART|8DMG|9LSRHEA|aCDMG
29	42136 13513	   	175.83	ACR|2VULN|2AART|1DMG|2DUR	14MLV|2RCR|34DUR|4BPWR|57VULN|68AART|9RCVC|aDMG
30	52221 16263	 * 	175.79	ACR|4VULN|1AART|3DUR	19CGEN|2RCR|369aVULN|4BELT|589DUR|7AART|9BPWR
31	52122 13513	   	175.73	ACR|2VULN|2AART|1DMG|2DUR	1CGEN|2RCR|35DUR|47VULN|68AART|9RCVC|aDMG
32	52621 41331	   	175.54	ACR|2VULN|2AART|1DMG|1CDMG	179CGEN|2RCR|39BASHEA|4CDMG|5DMG|6aAART|89VULN|9BPWR
33	52621 43331	   	175.54	ACR|2VULN|2AART|1DMG|1CDMG	189CGEN|2RCR|39BASHEA|4CDMG|5DMG|6aAART|79VULN|9BPWR
34	42122 43512	   	175.30	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1MLV|2RCR|3DUR|4ZMB|5CDMG|6DMG|78AART|9VULN|aLWND
35	52432 43231	   	175.20	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1CGEN|2RCR|3DMG|4ZMB|5CDMG|6VULN|7aAART|8ASPD|9DUST
36	52223 36134	   	174.94	ACR|2VULN|2AART|1DMG|1CDMG	1CGEN|2RCR|38VULN|4BELT|5LWND|6CDMG|7aAART|9DMG
37	42221 33633	   	174.73	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	1aMLV|2RCR|3VULN|4BELT|5aDUR|6CDMG|7BEXP|8aDMG|9AART|aBPWR
38	52221 33633	   	174.73	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	1aCGEN|2RCR|3VULN|4BELT|5aDUR|6CDMG|7BEXP|8aDMG|9AART|aBPWR
39	52432 43223	 * 	174.51	ACR|1AART|1DMG|1VULN|2ZMB|2ASPD|1CDMG	19aCGEN|2RCR|3DMG|4aZMB|5CDMG|6VULN|7AART|8aASPD|aBPWR
40	42432 41312	   	174.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2RCR|3DMG|4ZMB|5CDMG|68VULN|7ERES|9AART|aRCVC
41	52432 41312	   	174.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3DMG|4ZMB|5CDMG|68VULN|7ERES|9AART|aRCVC
42	52432 43311	   	174.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18CGEN|2RCR|3DMG|4ZMB|5CDMG|69VULN|7AART|aERES
43	42136 13251	   	174.23	ACR|2VULN|2AART|1DMG|2DUR	14MLV|2RCR|34DUR|4BPWR|57VULN|69AART|8DMG|aCGEN
44	42136 13252	   	174.23	ACR|2VULN|2AART|1DMG|2DUR	14MLV|2RCR|34DUR|4BPWR|57VULN|69AART|8DMG|aLWND
45	42136 13253	   	174.13	ACR|2VULN|2AART|1DMG|2DUR	14MLV|2RCR|34DUR|4BPWR|57VULN|69AART|8DMG|aAIRHEL
46	42136 13261	   	174.13	ACR|2VULN|2AART|1DMG|2DUR	14MLV|2RCR|34DUR|4BPWR|57VULN|6aAART|8DMG|9LSRHEA
47	52122 13251	   	174.13	ACR|2VULN|2AART|1DMG|2DUR	1aCGEN|2RCR|35DUR|47VULN|69AART|8DMG
48	52122 13252	   	174.13	ACR|2VULN|2AART|1DMG|2DUR	1CGEN|2RCR|35DUR|47VULN|69AART|8DMG|aBEXP
49	52122 13254	   	174.13	ACR|2VULN|2AART|1DMG|2DUR	1CGEN|2RCR|35DUR|47VULN|69AART|8DMG|aRPLT
50	52122 13256	   	174.13	ACR|2VULN|2AART|1DMG|2DUR	1CGEN|2RCR|35DUR|47VULN|69AART|8DMG|aLHND
51	52122 13551	   	174.13	ACR|2VULN|2AART|1DMG|2DUR	1aCGEN|2RCR|35DUR|47VULN|68AART|9DMG
52	52122 13552	   	174.13	ACR|2VULN|2AART|1DMG|2DUR	1CGEN|2RCR|35DUR|47VULN|68AART|9DMG|aBEXP
53	52122 13255	   	174.03	ACR|2VULN|2AART|1DMG|2DUR	1CGEN|2RCR|35DUR|47VULN|69AART|8DMG|aLSRREG
54	52122 13261	   	174.03	ACR|2VULN|2AART|1DMG|2DUR	1CGEN|2RCR|35DUR|47VULN|6aAART|8DMG|9LSRHEA
55	52122 12536	 * 	173.56	ACR|1AART|1VULN|1DMG|3DUR|1CDMG|1ZMB	1CGEN|2RCR|358DUR|4VULN|6AART|7CDMG|9DMG|aZMB
56	42136 13242	 * 	173.53	ACR|2VULN|1AART|1DMG|3DUR|1ASPD	14MLV|2RCR|349DUR|4BPWR|57VULN|6AART|8DMG|aASPD
57	52122 13242	   	173.43	ACR|2VULN|1AART|1DMG|3DUR|1ASPD	1CGEN|2RCR|359DUR|47VULN|6AART|8DMG|aASPD
58	42432 12523	 * 	173.40	ACR|2VULN|2DMG|2CDMG|1ZMB	18MLV|2RCR|38DMG|4ZMB|56CDMG|78ERES|8BPWR|9aVULN
59	52432 12523	   	173.40	ACR|2VULN|2DMG|2CDMG|1ZMB	18CGEN|2RCR|38DMG|4ZMB|56CDMG|78ERES|8BPWR|9aVULN
60	42432 35323	   	173.30	ACR|2VULN|2DMG|2CDMG|1ZMB	1MLV|2RCR|37DMG|4ZMB|58CDMG|6ERES|9aVULN
61	52432 35323	   	173.30	ACR|2VULN|2DMG|2CDMG|1ZMB	1CGEN|2RCR|37DMG|4ZMB|58CDMG|6ERES|9aVULN
62	42432 41313	   	173.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2RCR|3DMG|4ZMB|5CDMG|68VULN|7ERES|9AART|aLWND
63	52432 41313	   	173.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3DMG|4ZMB|5CDMG|68VULN|7ERES|9AART|aLWND
64	42421 42223	   	173.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2RCR|3DMG|4CDMG|5ERES|68VULN|7RPLT|9AART|aZMB
65	42221 16142	 * 	172.96	ACR|3VULN|1AART|1FLTHEA|1DUR|1ASPD	1MLV|2RCR|36aVULN|4BELT|5DUR|7AART|8FLTHEA|9ASPD
66	42221 22443	   	172.77	ACR|2VULN|2DMG|1AART|1DUR	19MLV|2RCR|39VULN|4BELT|5DUR|67BEXP|89DMG|9BPWR|aAART
67	52221 22443	   	172.77	ACR|2VULN|2DMG|1AART|1DUR	19CGEN|2RCR|39VULN|4BELT|5DUR|67BEXP|89DMG|9BPWR|aAART
68	52221 16261	   	172.69	ACR|3VULN|1AART|3DUR|1ZMB	19CGEN|2RCR|369VULN|4BELT|589DUR|7AART|9BPWR|aZMB
69	42432 31325	   	172.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2RCR|3DMG|4ZMB|5CDMG|6ERES|7LHND|89VULN|aAART
70	42432 33325	   	172.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2RCR|3DMG|4ZMB|5CDMG|6ERES|7LWND|89VULN|aAART
71	52432 31325	   	172.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3DMG|4ZMB|5CDMG|6ERES|7LHND|89VULN|aAART
72	52432 33325	   	172.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3DMG|4ZMB|5CDMG|6ERES|7LWND|89VULN|aAART
73	52432 41332	   	172.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3DMG|4ZMB|5CDMG|68VULN|7ERES|9MLV|aAART
74	42221 11463	   	172.47	ACR|2VULN|2DMG|1AART|1DUR	1MLV|2RCR|36VULN|4BELT|5DUR|7DUST|89DMG|aAART
75	52221 11463	   	172.47	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|36VULN|4BELT|5DUR|7DUST|89DMG|aAART
76	11433 13426	 * 	172.43	DCR|3DMG|1AART|1VULN|1CDMG	1NUKE|2DUST|347DMG|5AART|6ERES|8RCR|9VULN|aCDMG
77	42221 62136	   	172.09	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1MLV|2RCR|379VULN|4BELT|5DUR|6ZMB|8CDMG|aDMG
78	13621 43212	 * 	172.03	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1NUKE|28AIRHEA|3DUR|48CDMG|58DMG|6AART|7RCR|8BPWR|9BEXP|aVULN
79	13621 43262	   	172.03	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1NUKE|28AIRHEA|3DUR|48CDMG|58DMG|6AART|7RCR|8BPWR|9LHND|aVULN
80	42221 16263	   	171.77	ACR|4VULN|1AART|2DUR	1MLV|2RCR|369aVULN|4BELT|58DUR|7AART
81	42263 21421	   	171.73	ACR|3VULN|2DMG|1CDMG	1MLV|2RCR|36aVULN|4CDMG|5LIT|78DMG|9CGEN
82	52122 13515	 * 	171.32	ACR|3VULN|2AART|2DUR	1CGEN|2RCR|35DUR|47aVULN|68AART|9RCVC
83	42132 65311	   	171.29	ACR|1AART|1VULN|1DMG|1CDMG|1FLTHEA|2DUR	14MLV|2RCR|34DUR|4BPWR|5CDMG|6RMIN|7DMG|8AART|9VULN|aFLTHEA
84	52121 23351	 * 	171.24	ACR|3DMG|1AART|1VULN|1DUR	1CGEN|2RCR|3DUR|4VULN|5FEWX|68aDMG|7LIT|9AART
85	52126 23351	   	171.24	ACR|3DMG|1AART|1VULN|1DUR	1CGEN|2RCR|3DUR|4VULN|5BEXP|68aDMG|7LIT|9AART
86	52262 23351	   	171.24	ACR|3DMG|1AART|1VULN|1DUR	1CGEN|2RCR|3VULN|4BEXP|5DUR|68aDMG|7LIT|9AART
87	52322 23351	   	171.24	ACR|3DMG|1AART|1VULN|1DUR	1CGEN|2RCR|3BEXP|4VULN|5DUR|68aDMG|7LIT|9AART
88	42116 13224	   	171.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	14MLV|2RCR|3DUR|57VULN|6AART|8DMG|9LWND|aCDMG
89	42116 13234	   	170.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	14MLV|2RCR|3DUR|57VULN|6AART|8DMG|9DUST|aCDMG
90	42116 13262	   	170.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	14MLV|2RCR|3DUR|57VULN|6AART|8DMG|9LSRHEA|aCDMG
91	52621 43111	   	170.93	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|2RCR|3BASHEA|4CDMG|5aDMG|6AART|7VULN|8DUR|9LWND
92	61533 34211	 * 	170.81	DCR|3VULN|2DMG|1ZMB|1ASPD	1LIT|24DMG|36aVULN|5LWND|7RCR|8ZMB|9ASPD
93	42432 43233	   	170.79	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1MLV|2RCR|3DMG|4ZMB|5CDMG|6VULN|7AART|8ASPD|9DUR|aLHND
94	52432 43222	   	170.79	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	19CGEN|2RCR|3DMG|4ZMB|5CDMG|6VULN|7AART|8ASPD|aDUR
95	52413 23242	   	170.59	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	14CGEN|2RCR|37DMG|5AART|6ZMB|8ASPD|9RCVC|aVULN
96	42322 43611	   	170.56	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1MLV|2RCR|38BEXP|4ZMB|5CDMG|6DMG|7AART|9VULN|aFLTHEA
97	52432 53311	   	170.56	ACR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB	18CGEN|2RCR|3DMG|4ZMB|5CDMG|6LHND|7AART|9VULN|aFLTHEA
98	52432 63311	   	170.46	ACR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB	18CGEN|2RCR|3DMG|4ZMB|5CDMG|6DUST|7AART|9VULN|aFLTHEA
99	42116 13513	   	170.44	ACR|2VULN|2AART|1DMG|1DUR	14MLV|2RCR|3DUR|57VULN|68AART|9RCVC|aDMG
100	41633 11432	 * 	170.32	DCR|3VULN|2DMG|1CDMG|1ZMB	1MLV|2LIT|3CDMG|4ZMB|589VULN|67DMG|aRCR
101	61633 21432	   	170.32	DCR|3VULN|2DMG|1CDMG|1ZMB	1LIT|27DMG|3CDMG|4ZMB|589VULN|6RMIN|aRCR
102	61633 11432	   	170.22	DCR|3VULN|2DMG|1CDMG|1ZMB	1LIT|27DMG|3CDMG|4ZMB|589VULN|6NUKE|aRCR
103	42136 11142	   	169.82	ACR|3VULN|2AART|2DUR	14MLV|2RCR|34DUR|4BPWR|58aVULN|69AART|7FEWX
104	52223 36136	 * 	169.81	ACR|2VULN|1AART|1DMG|2CDMG	1CGEN|2RCR|38VULN|4BELT|5LWND|6aCDMG|7AART|9DMG
105	21326 13246	   	169.73	DCR|3VULN|1AART|1DMG|3DUR	1LHND|249DUR|347VULN|4BPWR|5NUKE|6AART|8DMG|aRCR
106	61532 62212	 * 	169.72	DCR|3DMG|2VULN|1AART|1SELL	1LIT|246DMG|36VULN|5NUKE|6BPWR|7SELL|8AART|9TLV|aRCR
107	42136 11242	   	169.72	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	14MLV|2RCR|34DUR|4BPWR|5aVULN|6AART|7FEWX|8DMG|9ASPD
108	52122 11142	   	169.72	ACR|3VULN|2AART|2DUR	1CGEN|2RCR|35DUR|48aVULN|69AART|7FEWX
109	52122 13535	   	169.72	ACR|3VULN|2AART|2DUR	1aCGEN|2RCR|35DUR|47aVULN|68AART|9aTLV|aBPWR
110	52122 11242	   	169.62	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1CGEN|2RCR|35DUR|4aVULN|6AART|7FEWX|8DMG|9ASPD
111	52122 12535	   	169.50	ACR|1AART|1VULN|1DMG|3DUR|1CDMG|1ASPD	1CGEN|2RCR|358DUR|4VULN|6AART|7CDMG|9DMG|aASPD
112	42263 21153	   	169.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2RCR|36VULN|4CDMG|5LIT|7DMG|8LHND|9AART|aDUR
113	42263 21353	   	169.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2RCR|36VULN|4CDMG|5LIT|7DMG|8LWND|9AART|aDUR
114	52413 22212	   	168.99	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	14CGEN|2RCR|38DMG|5AART|6ZMB|7BEXP|9DUR|aVULN
115	52413 23252	   	168.99	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	14CGEN|2RCR|37DMG|5AART|6ZMB|8ASPD|9RMIN|aVULN
116	52413 23262	   	168.99	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	149CGEN|2RCR|37DMG|5AART|6ZMB|8ASPD|aVULN
117	52413 26212	   	168.99	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	14CGEN|2RCR|38DMG|5AART|6ZMB|7FEWX|9DUR|aVULN
118	52413 23212	   	168.89	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	14CGEN|2RCR|37DMG|5AART|6ZMB|8ASPD|9ERES|aVULN
119	52413 23222	   	168.89	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	14CGEN|2RCR|37DMG|5AART|6ZMB|8ASPD|9TLV|aVULN
120	42116 13251	   	168.83	ACR|2VULN|2AART|1DMG|1DUR	14MLV|2RCR|3DUR|57VULN|69AART|8DMG|aCGEN
121	42116 13252	   	168.83	ACR|2VULN|2AART|1DMG|1DUR	14MLV|2RCR|3DUR|57VULN|69AART|8DMG|aLWND
122	42432 63233	   	168.78	ACR|2AART|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD	1MLV|2RCR|3DMG|4ZMB|5CDMG|6DUST|79AART|8ASPD|aFLTHEA
123	42116 13253	   	168.73	ACR|2VULN|2AART|1DMG|1DUR	14MLV|2RCR|3DUR|57VULN|69AART|8DMG|aAIRHEL
124	42116 13261	   	168.73	ACR|2VULN|2AART|1DMG|1DUR	14MLV|2RCR|3DUR|57VULN|6aAART|8DMG|9LSRHEA
125	52123 21462	   	168.63	ACR|2VULN|2AART|1DMG|1DUR	1CGEN|2RCR|3DUR|4aVULN|5LSRREG|67AART|8CANHEL|9DMG
126	52413 12262	   	168.53	ACR|2VULN|2DMG|1AART	14CGEN|2RCR|38DMG|5AART|6ERES|7BEXP|9aVULN
127	52413 13362	   	168.53	ACR|2VULN|2DMG|1AART	148CGEN|2RCR|37DMG|5AART|6ERES|9aVULN
128	42425 33312	   	168.51	ACR|2VULN|2DMG|1CDMG|2DUR	17MLV|2RCR|37DMG|4CDMG|58VULN|67DUR|7BPWR|9DMSP|aRPLT
129	42425 33311	   	168.41	ACR|2VULN|2DMG|1CDMG|2DUR	17MLV|2RCR|37DMG|4CDMG|58VULN|67DUR|7BPWR|9DMSP|aERES
130	42425 33321	   	168.41	ACR|2VULN|2DMG|1CDMG|2DUR	17MLV|2RCR|37DMG|4CDMG|58VULN|67DUR|7BPWR|9LIT|aERES
131	42425 33322	   	168.41	ACR|2VULN|2DMG|1CDMG|2DUR	17MLV|2RCR|37DMG|4CDMG|58VULN|67DUR|7BPWR|9LIT|aDUST
132	42425 33331	   	168.41	ACR|2VULN|2DMG|1CDMG|2DUR	17MLV|2RCR|37DMG|4CDMG|58VULN|67DUR|7BPWR|9DUST|aLHND
133	42263 21433	   	168.39	ACR|2VULN|2DMG|1CDMG|1ZMB	1MLV|2RCR|36VULN|4CDMG|5LIT|78DMG|9ZMB|aRCVC
134	42121 52512	   	168.39	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	15MLV|2RCR|3DUR|4ZMB|6AART|7FEWX|8DMG|9aVULN
135	42322 43512	   	168.36	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1MLV|2RCR|3BEXP|4ZMB|5CDMG|6DMG|78AART|9VULN|aLWND
136	42425 33332	   	168.31	ACR|2VULN|2DMG|1CDMG|2DUR	17MLV|2RCR|37DMG|4CDMG|58VULN|67DUR|7BPWR|9DUST|aMBVNT
137	42425 33333	   	168.31	ACR|2VULN|2DMG|1CDMG|2DUR	17MLV|2RCR|37DMG|4CDMG|58VULN|67DUR|7BPWR|9DUST|aLEGI
138	52123 22331	   	168.29	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|48VULN|5LSRREG|6AART|7ZMB|9RPLT|aDMG
139	42263 22521	   	168.25	ACR|4VULN|1DMG|1CDMG	1MLV|2RCR|367aVULN|4CDMG|5LIT|8DMG|9CGEN
140	42425 33221	   	168.17	ACR|2VULN|2DMG|1CDMG|2DUR|1SELL	17MLV|2RCR|37DMG|4CDMG|59VULN|67DUR|7BPWR|8SELL|aSNIHEL
141	42425 33223	   	168.17	ACR|2VULN|2DMG|1CDMG|2DUR|1SELL	17MLV|2RCR|37DMG|4CDMG|59VULN|67DUR|7BPWR|8SELL|aERES
142	52326 13261	   	168.03	ACR|2VULN|2DMG|1AART	1aCGEN|2RCR|35BEXP|47VULN|6AART|89DMG
143	52326 13262	   	168.03	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|35aBEXP|47VULN|6AART|89DMG
144	52326 13263	   	168.03	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|35BEXP|47VULN|6AART|89DMG|aLIT
145	52441 13222	   	168.03	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|38DMG|4LWND|5MLV|6AART|7aVULN|9FEWX
146	52451 13222	   	168.03	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|38DMG|4LHND|5MLV|6AART|7aVULN|9FEWX
147	52621 42333	   	167.47	ACR|2VULN|1AART|1DMG|1CDMG	19CGEN|2RCR|39BASHEA|4CDMG|5DMG|6AART|7aRCVC|89VULN|9BPWR
148	42122 43232	   	167.47	ACR|2AART|1DMG|1CDMG|2DUR|1ZMB|1ASPD	1MLV|2RCR|3aDUR|4ZMB|5CDMG|6DMG|79AART|8ASPD
149	42122 43532	   	167.47	ACR|2AART|1DMG|1CDMG|2DUR|1ZMB|1ASPD	1MLV|2RCR|3aDUR|4ZMB|5CDMG|6DMG|78AART|9ASPD
150	42432 12314	 * 	167.36	ACR|3CDMG|1AART|1VULN|1DMG|1ZMB	1MLV|2RCR|3DMG|4ZMB|568CDMG|7ERES|9VULN|aAART
151	52432 12314	   	167.36	ACR|3CDMG|1AART|1VULN|1DMG|1ZMB	1CGEN|2RCR|3DMG|4ZMB|568CDMG|7ERES|9VULN|aAART
152	42263 22431	 * 	167.33	ACR|5VULN|2CDMG	1MLV|2RCR|36789VULN|4aCDMG|5LIT
153	42263 21413	   	167.08	ACR|2VULN|2DMG|1CDMG|1ZMB	1MLV|2RCR|36VULN|4CDMG|5LIT|78DMG|9LHND|aZMB
154	42263 21432	   	167.08	ACR|2VULN|2DMG|1CDMG|1ZMB	1MLV|2RCR|36VULN|4CDMG|5LIT|78DMG|9ZMB|aLHND
