0	Index      	 *	Score 	Summary	Detail	
1	61131 73844	 * 	187.92	DCR|3DMG|2VULN|1AART|2ZMB	1aVULN|2CGEN|3MBVNT|45aDMG|6aZMB|7AART|8LEGI|9RCR|aBPWR
15	61261 31334	   	176.59	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	19VULN|2CGEN|3DUR|4ASPD|57DMG|6RCR|8TLV|aAART
16	61134 73844	   	175.07	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|2CGEN|3MBVNT|4aDMG|5RCVC|6aZMB|7AART|8LEGI|9RCR|aBPWR
17	43642 23321	 * 	174.93	ACR|3VULN|2AART|1ZMB|1ASPD	1CGEN|2RCVC|38aVULN|4RCR|57AART|6ASPD|9ZMB
18	13416 32134	 * 	174.78	DCR|4VULN|1AART|1DMG	1DUST|2LHND|3NUKE|4589VULN|6RCR|7DMG|aAART
19	44232 31134	   	174.76	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1CGEN|289VULN|3DUR|4DMG|5MLV|6RCR|7ASPD|aAART
20	61232 31134	   	174.76	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	189VULN|2CGEN|3DUR|4DMG|5MLV|6RCR|7ASPD|aAART
21	44211 31134	   	174.66	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1CGEN|289VULN|3DUR|4TLV|5DMG|6RCR|7ASPD|aAART
22	61211 31134	   	174.66	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	189VULN|2CGEN|3DUR|4TLV|5DMG|6RCR|7ASPD|aAART
23	61542 23321	   	174.63	ACR|3VULN|2AART|1ZMB|1ASPD	18aVULN|2CGEN|3RCVC|4RCR|57AART|6ASPD|9ZMB
24	66333 23135	 * 	173.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1aVULN|2DMSP|3ZMB|4CGEN|5CDMG|6DMG|7AART|8RCR|9ASPD
25	44311 32114	   	173.82	DCR|2VULN|2DMG|1AART|1ZMB	1CGEN|28VULN|3ZMB|4BEXP|57DMG|6RCR|9MLV|aAART
26	61311 32114	   	173.82	DCR|2VULN|2DMG|1AART|1ZMB	18VULN|2CGEN|3ZMB|4BEXP|57DMG|6RCR|9MLV|aAART
27	61351 32114	   	173.82	DCR|2VULN|2DMG|1AART|1ZMB	18VULN|2CGEN|3ZMB|4FEWX|57DMG|6RCR|9MLV|aAART
28	61311 32344	   	173.72	DCR|2VULN|2DMG|1AART|1ZMB	19VULN|2CGEN|3ZMB|4BEXP|57DMG|6RCR|8TLV|aAART
29	44311 32133	   	173.21	DCR|3DMG|2VULN|1ZMB|1DUR	1CGEN|28VULN|3ZMB|4BEXP|57aDMG|6RCR|9DUR
30	44351 32133	   	173.21	DCR|3DMG|2VULN|1ZMB|1DUR	1CGEN|28VULN|3ZMB|4FEWX|57aDMG|6RCR|9DUR
31	61311 32133	   	173.21	DCR|3DMG|2VULN|1ZMB|1DUR	18VULN|2CGEN|3ZMB|4BEXP|57aDMG|6RCR|9DUR
32	61311 36533	 * 	173.21	DCR|3VULN|2DMG|1ZMB|1DUR	179VULN|2CGEN|3ZMB|4BEXP|5aDMG|6RCR|8DUR
33	61351 32133	   	173.21	DCR|3DMG|2VULN|1ZMB|1DUR	18VULN|2CGEN|3ZMB|4FEWX|57aDMG|6RCR|9DUR
34	61361 32143	   	173.21	DCR|3DMG|2VULN|1ZMB|1DUR	18VULN|2CGEN|3ZMB|4LHND|57aDMG|6RCR|9DUR
35	44311 32533	   	173.21	DCR|3DMG|2VULN|1ZMB|1DUR	1CGEN|29VULN|3ZMB|4BEXP|57aDMG|6RCR|8DUR
36	44311 36133	   	173.21	DCR|3VULN|2DMG|1ZMB|1DUR	1CGEN|278VULN|3ZMB|4BEXP|5aDMG|6RCR|9DUR
37	61311 32533	   	173.21	DCR|3DMG|2VULN|1ZMB|1DUR	19VULN|2CGEN|3ZMB|4BEXP|57aDMG|6RCR|8DUR
38	61311 36133	   	173.21	DCR|3VULN|2DMG|1ZMB|1DUR	178VULN|2CGEN|3ZMB|4BEXP|5aDMG|6RCR|9DUR
39	61351 36133	   	173.21	DCR|3VULN|2DMG|1ZMB|1DUR	178VULN|2CGEN|3ZMB|4FEWX|5aDMG|6RCR|9DUR
40	61361 31135	   	173.21	DCR|3VULN|2DMG|1ZMB|1ASPD	189VULN|2CGEN|3ZMB|4LHND|5aDMG|6RCR|7ASPD
41	35143 62211	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2CGEN|37VULN|4CDMG|5AART|6RCR|8DMG|9LHND|aZMB
42	35143 62221	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2CGEN|37VULN|4CDMG|5AART|6RCR|8DMG|9FEWX|aZMB
43	61311 36114	   	171.88	DCR|3VULN|1AART|1DMG|1ZMB	178VULN|2CGEN|3ZMB|4BEXP|5DMG|6RCR|9MLV|aAART
44	33213 52426	 * 	171.43	DCR|2VULN|1AART|3CDMG|1DMG	1RPLT|2AART|3BELT|4aLWND|5DMG|69aCDMG|7aVULN|8RCR|aBPWR
45	33213 52434	 * 	171.31	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1RPLT|2AART|3BELT|4aLWND|5aDMG|6CDMG|7VULN|8RCR|9aDUR|aBPWR
46	44311 32136	 * 	171.20	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1CGEN|28VULN|3ZMB|4BEXP|57DMG|6RCR|9DUR|aCDMG
47	61311 32136	   	171.20	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18VULN|2CGEN|3ZMB|4BEXP|57DMG|6RCR|9DUR|aCDMG
48	61351 32136	   	171.20	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	18VULN|2CGEN|3ZMB|4FEWX|57DMG|6RCR|9DUR|aCDMG
49	61311 32536	   	171.20	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	19VULN|2CGEN|3ZMB|4BEXP|57DMG|6RCR|8DUR|aCDMG
50	45332 32113	 * 	170.97	ACR|2VULN|2DMG|1AART|1DUR	1aCGEN|2DUR|3RCR|4aDMG|5MLV|6RMIN|7LWND|8aVULN|9AART|aBPWR
51	45332 36113	   	170.97	ACR|2VULN|2DMG|1AART|1DUR	1aCGEN|2DUR|3RCR|4aDMG|5MLV|6RMIN|7LHND|8aVULN|9AART|aBPWR
52	61332 25253	   	170.71	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1VULN|2CGEN|3ZMB|4MLV|5AART|6ASPD|7RCR|89DMG|aDUR
53	61332 25263	   	170.71	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	19VULN|2CGEN|3ZMB|4MLV|5AART|6ASPD|7RCR|8DMG|aDUR
54	33633 43531	 * 	170.70	ACR|3AART|2VULN|1DMG|1DUR	1RPLT|268AART|3CGEN|4RCR|59VULN|7DUR|aDMG
55	61131 83251	   	170.57	DCR|3DMG|2VULN|1AART	18VULN|2CGEN|3MBVNT|459DMG|6MLV|7AART|aRCR
56	61131 53251	   	170.47	DCR|3DMG|2VULN|1AART	18VULN|2CGEN|3MBVNT|459DMG|6ERES|7AART|aRCR
57	51226 32421	 * 	170.45	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1AIRHEL|2DUST|3RCR|4CDMG|58VULN|6ZMB|7SELL|9AART|aDMG
58	34243 31321	 * 	170.33	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|278VULN|3MLV|4CDMG|5AART|6LSRICY|9RCR|aDMG
59	31143 31321	   	170.23	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|2TLV|378VULN|4CDMG|5AART|6LSRICY|9RCR|aDMG
60	34643 31321	   	170.23	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|278VULN|3ERES|4CDMG|5AART|6LSRICY|9RCR|aDMG
61	63217 32433	 * 	170.22	DCR|3VULN|2DMG|2ZMB	15aVULN|2LHND|3MBVNT|4RMIN|6RCR|7aDMG|8RPLT|9aZMB|aBPWR
62	66111 32334	   	169.75	DCR|2VULN|2DMG|1AART|1ASPD	19VULN|2DMSP|3LHND|4BEXP|57DMG|6RCR|8ASPD|aAART
63	66221 32334	   	169.75	DCR|2VULN|2DMG|1AART|1ASPD	19VULN|2DMSP|3BEXP|4LHND|57DMG|6RCR|8ASPD|aAART
64	61311 36136	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	178VULN|2CGEN|3ZMB|4BEXP|5DMG|6RCR|9DUR|aCDMG
65	63432 32136	 * 	169.27	DCR|4VULN|2DMG	189aVULN|2LHND|3NUKE|47DMG|5MLV|6RCR
66	62432 32136	   	169.17	DCR|4VULN|2DMG	189aVULN|2DUST|3NUKE|47DMG|5MLV|6RCR
67	44261 31123	   	169.14	DCR|3DMG|2VULN|1ASPD|1DUR	1CGEN|28VULN|3DUR|4ASPD|57aDMG|6RCR|9LHND
68	44261 31233	   	169.14	DCR|3DMG|2VULN|1ASPD|1DUR	1CGEN|29VULN|3DUR|4ASPD|57aDMG|6RCR|8BEXP
69	61261 31123	   	169.14	DCR|3DMG|2VULN|1ASPD|1DUR	18VULN|2CGEN|3DUR|4ASPD|57aDMG|6RCR|9LHND
70	61261 31233	   	169.14	DCR|3DMG|2VULN|1ASPD|1DUR	19VULN|2CGEN|3DUR|4ASPD|57aDMG|6RCR|8BEXP
71	61261 32433	   	169.14	DCR|3VULN|2DMG|1ASPD|1DUR	189VULN|2CGEN|3DUR|4ASPD|5aDMG|6RCR|7LWND
72	61261 33433	   	169.14	DCR|3VULN|2DMG|1ASPD|1DUR	189VULN|2CGEN|3DUR|4ASPD|5aDMG|6RCR|7BEXP
73	61261 36123	   	169.14	DCR|3VULN|2DMG|1ASPD|1DUR	178VULN|2CGEN|3DUR|4ASPD|5aDMG|6RCR|9LHND
74	61261 36233	   	169.14	DCR|3VULN|2DMG|1ASPD|1DUR	179VULN|2CGEN|3DUR|4ASPD|5aDMG|6RCR|8BEXP
75	45331 24233	 * 	169.12	ACR|2DMG|2AART|1CDMG|1ZMB|1DUR	1CGEN|2DUR|3RCR|45DMG|6DUST|7CDMG|8ZMB|9aAART
76	33133 35131	 * 	169.11	DCR|2AART|2VULN|1DMG|2DUR	1RPLT|24AART|3aVULN|5aDUR|6BEXP|7DMG|8RCR|9aLIT|aBPWR
77	45331 32114	 * 	168.94	ACR|3DMG|1AART|1VULN|1DUR	17CGEN|2DUR|3RCR|457DMG|67FEWX|7BPWR|8ERES|9AART|aVULN
78	63217 32742	   	168.92	DCR|3VULN|1AART|1DMG|1ASPD	159VULN|2LHND|3MBVNT|4RMIN|6RCR|7DMG|8AART|aASPD
79	63217 32443	 * 	168.91	DCR|3VULN|2DMG|2ASPD	15aVULN|2LHND|3MBVNT|4RMIN|6RCR|7aDMG|8RPLT|9aASPD|aBPWR
80	63217 31463	   	168.91	DCR|3VULN|2DMG|2ASPD	15aVULN|2LHND|3MBVNT|4RMIN|6RCR|7aASPD|8RPLT|9aDMG|aBPWR
81	45331 22114	   	168.74	ACR|3DMG|1AART|1VULN|1DUR	17CGEN|2DUR|3RCR|457DMG|67DUST|7BPWR|8ERES|9AART|aVULN
82	53242 61231	   	168.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AIRHEL|2ERES|3FEWX|4DMG|5AART|6RCR|7aVULN|8DUR|9CDMG
83	44131 73144	   	168.52	DCR|2VULN|2DMG|1AART|1ZMB	1aCGEN|2aVULN|3MBVNT|45DMG|6ZMB|7AART|8aBEXP|9RCR|aBPWR
84	61131 73144	   	168.52	DCR|2VULN|2DMG|1AART|1ZMB	1aVULN|2aCGEN|3MBVNT|45DMG|6ZMB|7AART|8aBEXP|9RCR|aBPWR
85	34333 35131	   	168.51	DCR|2AART|2VULN|1DMG|2DUR	1RPLT|2aVULN|34AART|5aDUR|6BEXP|7DMG|8RCR|9aLIT|aBPWR
86	61131 73744	   	168.32	DCR|2VULN|2DMG|1AART|1ZMB	1aVULN|2aCGEN|3MBVNT|45DMG|6ZMB|7AART|8aDUST|9RCR|aBPWR
87	62234 34131	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1aVULN|2DUST|3MBVNT|4aDUR|5CDMG|6DMG|7AART|8RCR|9aLIT|aBPWR
88	66111 31134	   	167.82	DCR|3VULN|1AART|1DMG|1ASPD	189VULN|2DMSP|3LHND|4BEXP|5DMG|6RCR|7ASPD|aAART
89	66221 31134	   	167.82	DCR|3VULN|1AART|1DMG|1ASPD	189VULN|2DMSP|3BEXP|4LHND|5DMG|6RCR|7ASPD|aAART
90	33143 63523	 * 	167.72	DCR|3VULN|1AART|3ASPD|1DUR	1RPLT|2AART|356VULN|469ASPD|6BPWR|7CGEN|8RCR|aDUR
91	62432 31134	   	167.62	DCR|3VULN|1AART|1DMG|1ASPD	189VULN|2DUST|3NUKE|4DMG|5MLV|6RCR|7ASPD|aAART
92	62511 31134	   	167.62	DCR|3VULN|1AART|1DMG|1ASPD	189VULN|23DUST|4BEXP|5DMG|6RCR|7ASPD|aAART
93	62411 31134	   	167.52	DCR|3VULN|1AART|1DMG|1ASPD	189VULN|2DUST|3NUKE|4TLV|5DMG|6RCR|7ASPD|aAART
94	61231 34226	 * 	167.21	DCR|2VULN|2DMG|2CDMG|2DUR	1aVULN|2CGEN|3aDUR|45DMG|69FEWX|7aCDMG|8RCR|aBPWR
95	61136 73144	   	166.58	DCR|3VULN|1AART|1DMG|1ZMB	15aVULN|2aCGEN|3MBVNT|4DMG|6ZMB|7AART|8aBEXP|9RCR|aBPWR
96	33633 44211	 * 	166.56	ACR|2AART|1DMG|1VULN|1CDMG|1ZMB	1RPLT|26AART|3CGEN|4RCR|5VULN|7CDMG|8DMG|9LHND|aZMB
97	33633 44221	   	166.56	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1RPLT|26AART|3CGEN|4RCR|5VULN|7CDMG|8DMG|9FEWX|aZMB
98	62243 46161	   	166.42	DCR|3VULN|1AART|1DMG|1DUR	15aVULN|2DUST|3MBVNT|4LIT|6DUR|7RCR|8AART|9DMG
99	61231 34253	   	166.40	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1aVULN|2CGEN|3DUR|45DMG|6FEWX|7CDMG|8RCR|9ZMB
100	61131 13136	 * 	166.32	DCR|3VULN|3DMG	17aVULN|2CGEN|3MBVNT|45aDMG|6RCVC|8aLIT|9RCR|aBPWR
101	44311 32123	   	166.27	DCR|3DMG|2VULN|1ZMB	1CGEN|28VULN|3ZMB|4BEXP|57aDMG|6RCR|9LHND
102	44311 32153	   	166.27	DCR|3DMG|2VULN|1ZMB	1CGEN|28VULN|3ZMB|4BEXP|57aDMG|6RCR|9FEWX
103	44311 32243	   	166.27	DCR|3DMG|2VULN|1ZMB	1CGEN|29VULN|3ZMB|4BEXP|57aDMG|6RCR|8FEWX
104	44311 36123	   	166.27	DCR|3VULN|2DMG|1ZMB	1CGEN|278VULN|3ZMB|4BEXP|5aDMG|6RCR|9LHND
105	44351 32123	   	166.27	DCR|3DMG|2VULN|1ZMB	1CGEN|28VULN|3ZMB|4FEWX|57aDMG|6RCR|9LHND
106	44361 32233	   	166.27	DCR|3DMG|2VULN|1ZMB	1CGEN|29VULN|3ZMB|4LHND|57aDMG|6RCR|8BEXP
107	61311 32123	   	166.27	DCR|3DMG|2VULN|1ZMB	18VULN|2CGEN|3ZMB|4BEXP|57aDMG|6RCR|9LHND
108	61311 32153	   	166.27	DCR|3DMG|2VULN|1ZMB	18VULN|2CGEN|3ZMB|4BEXP|57aDMG|6RCR|9FEWX
109	61311 32243	   	166.27	DCR|3DMG|2VULN|1ZMB	19VULN|2CGEN|3ZMB|4BEXP|57aDMG|6RCR|8FEWX
110	61311 36123	   	166.27	DCR|3VULN|2DMG|1ZMB	178VULN|2CGEN|3ZMB|4BEXP|5aDMG|6RCR|9LHND
111	61311 36153	   	166.27	DCR|3VULN|2DMG|1ZMB	178VULN|2CGEN|3ZMB|4BEXP|5aDMG|6RCR|9FEWX
112	61311 36243	   	166.27	DCR|3VULN|2DMG|1ZMB	179VULN|2CGEN|3ZMB|4BEXP|5aDMG|6RCR|8FEWX
113	61351 32123	   	166.27	DCR|3DMG|2VULN|1ZMB	18VULN|2CGEN|3ZMB|4FEWX|57aDMG|6RCR|9LHND
114	61351 32243	   	166.27	DCR|3DMG|2VULN|1ZMB	19VULN|2CGEN|3ZMB|4FEWX|57aDMG|6RCR|8BEXP
115	61351 36123	   	166.27	DCR|3VULN|2DMG|1ZMB	178VULN|2CGEN|3ZMB|4FEWX|5aDMG|6RCR|9LHND
116	61361 32115	   	166.27	DCR|3DMG|2VULN|1ZMB	18VULN|2CGEN|3ZMB|4LHND|57aDMG|6RCR|9MLV
117	61361 32153	   	166.27	DCR|3DMG|2VULN|1ZMB	18VULN|2CGEN|3ZMB|4LHND|57aDMG|6RCR|9FEWX
118	61361 32233	   	166.27	DCR|3DMG|2VULN|1ZMB	19VULN|2CGEN|3ZMB|4LHND|57aDMG|6RCR|8BEXP
119	61361 36233	   	166.27	DCR|3VULN|2DMG|1ZMB	179VULN|2CGEN|3ZMB|4LHND|5aDMG|6RCR|8BEXP
120	55236 11323	   	166.13	ACR|2VULN|2DMG|1AART	1AIRHEL|2LHND|3RCR|4RPLT|5AART|6LIT|7aDMG|89VULN
121	61311 31126	 * 	166.04	DCR|3VULN|1DMG|2ZMB|2ASPD|1SELL	18aVULN|2CGEN|3aZMB|4BEXP|5DMG|6RCR|7aASPD|9SELL|aBPWR
122	61351 31126	 * 	166.04	DCR|3VULN|1DMG|2ZMB|2ASPD|1SELL	18aVULN|2CGEN|3aZMB|4FEWX|5DMG|6RCR|7aASPD|9SELL|aBPWR
123	61361 31126	 * 	166.04	DCR|3VULN|1DMG|2ZMB|2ASPD|1SELL	18aVULN|2CGEN|3aZMB|4LHND|5DMG|6RCR|7aASPD|9SELL|aBPWR
124	35133 62242	   	165.92	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1SELL	1RPLT|2CGEN|37VULN|4SELL|5AART|6RCR|8DMG|9ZMB|aASPD
125	61131 73351	   	165.89	DCR|3DMG|1AART|1VULN|1ZMB	1VULN|2CGEN|3MBVNT|459DMG|6ZMB|7AART|8RCVC|aRCR
126	45332 21113	   	165.62	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1CGEN|2aDUR|3RCR|4DMG|5MLV|6aLWND|7ASPD|8aVULN|9AART|aBPWR
127	45311 21113	   	165.52	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1CGEN|2aDUR|3RCR|4TLV|5DMG|6aLWND|7ASPD|8aVULN|9AART|aBPWR
128	45341 21113	   	165.52	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1CGEN|2aDUR|3RCR|4ERES|5DMG|6aLWND|7ASPD|8aVULN|9AART|aBPWR
129	11131 47637	   	165.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2CGEN|3MBVNT|45DMG|6ZMB|7CDMG|8RCR|9AART|aVULN
130	63426 32133	 * 	165.33	DCR|4VULN|1DMG|1CDMG	1589VULN|2LHND|3NUKE|4BEXP|6RCR|7DMG|aCDMG
131	33523 62262	 * 	165.25	DCR|2VULN|2DMG|1AART|2ASPD|2DUR|1SELL	1RPLT|2AART|3SELL|4aASPD|57DUR|6RCR|8aDMG|9aVULN|aBPWR
132	13416 32133	   	165.23	DCR|4VULN|1DMG|1CDMG	1DUST|2LHND|3NUKE|4589VULN|6RCR|7DMG|aCDMG
133	21536 13234	   	165.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2CGEN|3AART|4CDMG|5DMG|6aVULN|7RPLT|8RCR|9DUR
134	33111 55421	   	165.19	DCR|2VULN|1AART|1DMG|2CDMG	1RPLT|2AART|3aVULN|4LWND|5BELT|69CDMG|7DMG|8RCR
135	33121 55421	   	165.19	DCR|2VULN|1AART|1DMG|2CDMG	1RPLT|2AART|3aVULN|4LHND|5BELT|69CDMG|7DMG|8RCR
136	33213 52421	   	165.19	DCR|2VULN|1AART|1DMG|2CDMG	1RPLT|2AART|3BELT|4LWND|5DMG|69CDMG|7aVULN|8RCR
137	16416 32133	   	165.13	DCR|4VULN|1DMG|1CDMG	1DUST|2LEGI|3NUKE|4589VULN|6RCR|7DMG|aCDMG
138	11536 13234	   	165.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2CGEN|3AART|4CDMG|5DMG|6aVULN|7RPLT|8RCR|9DUR
139	45611 31313	   	165.10	DCR|2DMG|1AART|1VULN|2DUR|1ASPD	1CGEN|2aDUR|3VULN|4TLV|5aDMG|6RCR|7ASPD|8aLWND|9AART|aBPWR
140	33243 53421	   	165.09	DCR|2VULN|1AART|1DMG|2CDMG	1RPLT|2AART|3BELT|4aVULN|5DMG|69CDMG|7DUST|8RCR
141	33263 52421	   	165.09	DCR|2VULN|1AART|1DMG|2CDMG	1RPLT|2AART|3BELT|4DUST|5DMG|69CDMG|7aVULN|8RCR
142	33111 53426	 * 	164.92	DCR|2VULN|1AART|3CDMG|2ASPD	1RPLT|2AART|3aVULN|4LWND|5BELT|69aCDMG|7aASPD|8RCR|aBPWR
143	33121 53426	   	164.92	DCR|2VULN|1AART|3CDMG|2ASPD	1RPLT|2AART|3aVULN|4LHND|5BELT|69aCDMG|7aASPD|8RCR|aBPWR
144	61311 31154	   	164.77	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	18VULN|2CGEN|3ZMB|4BEXP|5DMG|6RCR|7ASPD|9RCVC|aAART
145	61136 13136	   	164.77	DCR|4VULN|2DMG	157aVULN|2CGEN|3MBVNT|4aDMG|6RCVC|8aLIT|9RCR|aBPWR
146	61351 31611	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1aVULN|2CGEN|3ZMB|4FEWX|5DMG|6RCR|7ASPD|8AART|9BELT
147	44311 32126	   	164.26	DCR|2VULN|2DMG|1CDMG|1ZMB	1CGEN|28VULN|3ZMB|4BEXP|57DMG|6RCR|9LHND|aCDMG
148	61311 32126	   	164.26	DCR|2VULN|2DMG|1CDMG|1ZMB	18VULN|2CGEN|3ZMB|4BEXP|57DMG|6RCR|9LHND|aCDMG
149	61311 32156	   	164.26	DCR|2VULN|2DMG|1CDMG|1ZMB	18VULN|2CGEN|3ZMB|4BEXP|57DMG|6RCR|9FEWX|aCDMG
150	61311 32246	   	164.26	DCR|2VULN|2DMG|1CDMG|1ZMB	19VULN|2CGEN|3ZMB|4BEXP|57DMG|6RCR|8FEWX|aCDMG
151	61351 32126	   	164.26	DCR|2VULN|2DMG|1CDMG|1ZMB	18VULN|2CGEN|3ZMB|4FEWX|57DMG|6RCR|9LHND|aCDMG
152	61361 32236	   	164.26	DCR|2VULN|2DMG|1CDMG|1ZMB	19VULN|2CGEN|3ZMB|4LHND|57DMG|6RCR|8BEXP|aCDMG
153	61351 32632	   	164.16	DCR|2VULN|2DMG|2ASPD|1ZMB	19VULN|2CGEN|3ZMB|4FEWX|57DMG|6RCR|8aASPD
154	61131 63136	   	163.82	DCR|3VULN|3DMG	17aVULN|26CGEN|3MBVNT|45aDMG|8aLIT|9RCR|aBPWR
155	33135 25131	   	163.81	DCR|2AART|2VULN|1DMG|1DUR	1RPLT|24AART|3aVULN|5aLWND|6DUR|7DMG|8RCR|9aLIT|aBPWR
156	33135 33131	   	163.81	DCR|2AART|2VULN|1DMG|1DUR	1RPLT|24AART|3aVULN|5aLWND|6DMG|7DUR|8RCR|9aLIT|aBPWR
157	33136 25131	   	163.81	DCR|2AART|2VULN|1DMG|1DUR	1RPLT|24AART|3aVULN|5aLHND|6DUR|7DMG|8RCR|9aLIT|aBPWR
158	33136 33131	   	163.81	DCR|2AART|2VULN|1DMG|1DUR	1RPLT|24AART|3aVULN|5aLHND|6DMG|7DUR|8RCR|9aLIT|aBPWR
159	44311 33325	   	163.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2aVULN|3ZMB|4BEXP|5DMG|6RCR|7RPLT|8DUR|9AART
160	61311 33325	   	163.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1aVULN|2CGEN|3ZMB|4BEXP|5DMG|6RCR|7RPLT|8DUR|9AART
161	33333 31644	 * 	163.68	DCR|2VULN|1AART|2CDMG|3DUR	1RPLT|2AART|36aDUR|4DMSP|5DLOT|7RCR|8aCDMG|9aVULN|aBPWR
162	61332 25236	   	163.67	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1aVULN|2CGEN|3ZMB|4MLV|5AART|6ASPD|7RCR|8DMG|9ERES
163	61332 25252	   	163.67	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1VULN|2CGEN|3ZMB|4MLV|5AART|6ASPD|7RCR|89DMG|aDUST
164	61332 25262	   	163.67	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	19VULN|2CGEN|3ZMB|4MLV|5AART|6ASPD|7RCR|8DMG|aDUST
165	33133 35125	   	163.61	DCR|2AART|2VULN|1DMG|1DUR	1RPLT|24AART|3aVULN|5DUR|6BEXP|7DMG|8RCR|9FEWX
