0	Index      	 *	Score 	Summary	Detail	
1	26221 16215	 * 	210.50	DCR|4VULN|2DMG|1AART|2DUR|1ZMB	1aDUR|234aVULN|5DUST|6ZMB|7AART|8aDMG|9RCR|aBPWR
43	25451 31321	   	183.87	DCR|3VULN|2AART|1DMG|1DUR	1DUR|27AART|3DMG|49aVULN|5DUST|6RCR|8TLV
44	25451 32213	   	183.76	DCR|2VULN|2DMG|1AART|3DUR	18aDUR|2AART|38DMG|49VULN|5DUST|6RCR|78CGEN|8BPWR
45	52513 22811	   	183.47	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1aVULN|2CGEN|3RCR|4ASPD|5MBVNT|6AART|78DMG|9ZMB
46	51251 36222	   	183.21	DCR|3VULN|2AART|2DMG	139VULN|2LWND|469ERES|57AART|89DMG|9BPWR|aRCR
47	25344 32211	   	183.15	DCR|4VULN|1AART|2DUR|1ZMB	18DUR|2AART|389aVULN|4FEWX|5ZMB|6RCR|78CGEN|8BPWR
48	25361 32211	   	183.05	DCR|4VULN|1AART|2DUR|1ZMB	18DUR|2AART|389aVULN|4ZMB|5DUST|6RCR|78CGEN|8BPWR
49	25361 36221	   	183.05	DCR|4VULN|1AART|2DUR|1ZMB	18DUR|2AART|389aVULN|4ZMB|5DUST|6RCR|78MLV|8BPWR
50	25423 12111	   	183.01	DCR|3VULN|2DMG|1AART|1DUR	1DUR|2AART|37DMG|4CGEN|58aVULN|6LHND|9RCR
51	25453 12111	   	182.91	DCR|3VULN|2DMG|1AART|1DUR	1DUR|2AART|37DMG|48aVULN|5ERES|6LHND|9RCR
52	45423 32111	   	182.91	DCR|3VULN|2DMG|1AART|1DUR	1DUST|2AART|37DMG|4CGEN|58aVULN|6DUR|9RCR
53	25451 22111	   	182.81	DCR|3VULN|2DMG|1AART|1DUR	1DUR|2AART|37DMG|48aVULN|5DUST|6ERES|9RCR
54	25315 15132	   	182.40	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	19DUR|2AART|39VULN|4ERES|5RCR|6BEXP|79DMG|8MBVNT|9BPWR|aASPD
55	25333 51342	 * 	182.17	DCR|4VULN|1AART|3DUR|1ZMB	145DUR|2AART|3579VULN|59BPWR|69CGEN|8RCR|aZMB
56	25361 31513	 * 	182.03	DCR|2AART|2VULN|3ZMB|2DUR	18DUR|27AART|3aVULN|489ZMB|58DUST|6RCR|8BPWR
57	25451 31112	   	181.96	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|27AART|3DMG|4aVULN|5DUST|6RCR|8CDMG|9MLV
58	25451 31123	   	181.96	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|27AART|3DMG|4aVULN|5DUST|6RCR|8CDMG|9LHND
59	25353 16211	   	181.82	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	15DUR|2AART|35aVULN|4RCVC|5BPWR|6BEXP|7ZMB|8DMG|9RCR
60	25353 26211	   	181.82	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	15DUR|2AART|35aVULN|4RCVC|5BPWR|6LHND|7ZMB|8DMG|9RCR
61	33236 52111	   	181.81	DCR|3VULN|2DMG|1AART|1DUR	1MLV|2BEXP|37DMG|4AART|58aVULN|6DUR|9RCR
62	25336 16211	   	181.72	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	14DUR|2AART|35aVULN|6BEXP|7ZMB|8DMG|9RCR
63	25336 26211	   	181.72	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	14DUR|2AART|35aVULN|6LHND|7ZMB|8DMG|9RCR
64	36233 62111	   	181.71	DCR|3VULN|2DMG|1AART|1DUR	1MLV|25DUST|35DMG|4AART|5BPWR|68aVULN|7DUR|9RCR
65	36236 52111	   	181.71	DCR|3VULN|2DMG|1AART|1DUR	1MLV|2DUST|37DMG|4AART|58aVULN|6DUR|9RCR
66	53223 16215	   	181.66	DCR|4VULN|2DMG|1AART|1ZMB|1DUR|2MSE	134aVULN|2aMSE|5DUR|6ZMB|7AART|8aDMG|9RCR|aBPWR
67	52552 22131	   	181.29	ACR|3VULN|2DMG|1AART	18aVULN|2CGEN|3RCR|47DMG|5BEXP|6AART|9LHND
68	52552 22211	   	181.29	ACR|3VULN|2DMG|1AART	19aVULN|2CGEN|3RCR|47DMG|5BEXP|6AART|8FEWX
69	52552 22311	   	181.29	ACR|3VULN|2DMG|1AART	19aVULN|2CGEN|3RCR|47DMG|5BEXP|6AART|8LHND
70	26154 12111	   	181.21	DCR|3VULN|2DMG|1AART|1DUR	1DUR|28aVULN|3CGEN|47DMG|5AART|6LHND|9RCR
71	33224 52111	   	181.21	DCR|3VULN|2DMG|1AART|1DUR	1MLV|2BEXP|37DMG|48aVULN|5AART|6DUR|9RCR
72	52234 12111	   	181.21	DCR|3VULN|2DMG|1AART|1DUR	18aVULN|2CGEN|37DMG|4DUR|5AART|6LHND|9RCR
73	52354 32111	   	181.21	DCR|3VULN|2DMG|1AART|1DUR	18aVULN|2CGEN|3BEXP|47DMG|5AART|6DUR|9RCR
74	52553 21211	   	181.19	ACR|3VULN|2DMG|1AART	19aVULN|2CGEN|3RCR|48DMG|5MBVNT|6AART|7FEWX
75	52553 22121	   	181.19	ACR|3VULN|2DMG|1AART	18aVULN|2CGEN|3RCR|47DMG|5MBVNT|6AART|9BEXP
76	52553 22132	   	181.19	ACR|3VULN|2DMG|1AART	18aVULN|2CGEN|3RCR|47DMG|5MBVNT|6AART|9RPLT
77	52553 22211	   	181.19	ACR|3VULN|2DMG|1AART	19aVULN|2CGEN|3RCR|47DMG|5MBVNT|6AART|8FEWX
78	52553 22311	   	181.19	ACR|3VULN|2DMG|1AART	19aVULN|2CGEN|3RCR|47DMG|5MBVNT|6AART|8LHND
79	52553 23211	   	181.19	ACR|3VULN|2DMG|1AART	19aVULN|2CGEN|3RCR|48DMG|5MBVNT|6AART|7LHND
80	36224 52111	   	181.11	DCR|3VULN|2DMG|1AART|1DUR	1MLV|2DUST|37DMG|48aVULN|5AART|6DUR|9RCR
81	52264 32111	   	181.11	DCR|3VULN|2DMG|1AART|1DUR	18aVULN|2CGEN|37DMG|4DUST|5AART|6DUR|9RCR
82	31134 62311	   	181.07	DCR|3VULN|2DMG|1AART	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9aLWND
83	31134 62313	   	181.07	DCR|3VULN|2DMG|1AART	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9LWND|aBEXP
84	31134 62315	   	181.07	DCR|3VULN|2DMG|1AART	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9LWND|aFEWX
85	31134 62321	   	181.07	DCR|3VULN|2DMG|1AART	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9FEWX|aLWND
86	31134 62322	   	181.07	DCR|3VULN|2DMG|1AART	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9FEWX|aCGEN
87	31134 62323	   	181.07	DCR|3VULN|2DMG|1AART	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9FEWX|aDMSP
88	31134 62324	   	181.07	DCR|3VULN|2DMG|1AART	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9FEWX|aBEXP
89	31134 62325	   	181.07	DCR|3VULN|2DMG|1AART	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9aFEWX
90	31134 62361	   	181.07	DCR|3VULN|2DMG|1AART	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9LHND|aLWND
91	31134 62362	   	181.07	DCR|3VULN|2DMG|1AART	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9LHND|aCGEN
92	31134 62312	   	180.97	DCR|3VULN|2DMG|1AART	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9LWND|aMBVNT
93	31134 62316	   	180.97	DCR|3VULN|2DMG|1AART	18MLV|2AART|3LIT|48DMG|568VULN|7RCR|8BPWR|9LWND|aDUST
94	25453 23212	   	180.90	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1DUR|2AART|38DMG|47VULN|5ERES|6MLV|9RCR|aFLTHEA
95	52223 24211	 * 	180.82	DCR|4VULN|2DMG|3DUR	1469VULN|2CGEN|39DMG|579DUR|8RCR|9BPWR|aLIT
96	52223 24213	   	180.82	DCR|4VULN|2DMG|3DUR	1469VULN|2CGEN|39DMG|579DUR|8RCR|9BPWR|aLWND
97	52223 24214	   	180.82	DCR|4VULN|2DMG|3DUR	1469VULN|2aCGEN|39DMG|579DUR|8RCR|9BPWR
98	52223 24212	   	180.72	DCR|4VULN|2DMG|3DUR	1469VULN|2CGEN|39DMG|579DUR|8RCR|9BPWR|aSNIHEL
99	52223 24216	   	180.72	DCR|4VULN|2DMG|3DUR	1469VULN|2CGEN|39DMG|579DUR|8RCR|9BPWR|aERES
