0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35336 31162	7	 * 	300.51	DCR|4VULN|3DMG|1DUR|1CDMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9CDMG|aDUR
27	35336 31151	9	   	274.39	DCR|5VULN|2DMG	17ERES|2AART|37DMG|45789VULN|6RCR|7BPWR|aLWND
28	35336 31152	9	   	274.39	DCR|5VULN|2DMG	17ERES|2AART|37DMG|45789VULN|6RCR|7BPWR|aFEWX
29	35336 31153	10	   	274.39	DCR|5VULN|2DMG	17ERES|2AART|37DMG|45789VULN|6RCR|7BPWR|aCGEN
30	22235 52531	6	   	273.37	DCR|4VULN|2ASPD|1DMG|1TLV	1LIT|279aVULN|3TLV|45ASPD|6RCR|8DMG
31	22235 52531	7	   	273.37	DCR|4VULN|2ASPD|1DMG|1TLV	1LIT|279aVULN|3TLV|45ASPD|6RCR|8DMG
32	35336 31111	10	   	271.10	DCR|4VULN|2DMG|1DUR	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9DUR|aRPLT
33	35336 31111	9	   	271.10	DCR|4VULN|2DMG|1DUR	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9DUR|aCGEN
34	35336 31112	9	   	271.10	DCR|4VULN|2DMG|1DUR	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9DUR|aLWND
35	35336 31112	10	   	271.10	DCR|4VULN|2DMG|1DUR	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9DUR|aLWND
36	35336 31113	9	   	271.10	DCR|4VULN|2DMG|1DUR	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9DUR|aFEWX
37	35336 31113	10	   	271.10	DCR|4VULN|2DMG|1DUR	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9DUR|aMLV
38	35336 31114	10	   	271.10	DCR|4VULN|2DMG|1DUR	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9DUR|aLHND
39	35336 31115	10	   	271.10	DCR|4VULN|2DMG|1DUR	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9DUR|aCGEN
40	35336 31122	9	   	271.10	DCR|4VULN|2DMG|1TLV	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9RPLT|aTLV
41	35336 31133	10	   	271.10	DCR|4VULN|2DMG|1DUR	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9RMIN|aDUR
42	35336 31136	8	   	271.10	DCR|4VULN|2DMG|1DUR	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9RMIN|aDUR
43	35336 31136	9	   	271.10	DCR|4VULN|2DMG|1DUR	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9RMIN|aDUR
44	35336 31114	8	   	271.00	DCR|4VULN|2DMG|1DUR	17ERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9DUST|aDUR
45	35336 31116	9	   	271.00	DCR|4VULN|2DMG|1DUR	17aERES|2AART|37DMG|4578VULN|6RCR|7BPWR|9DUR
46	35336 31334	8	   	271.00	DCR|4VULN|2DMG|1DUR	17ERES|2AART|37DMG|4579VULN|6RCR|7BPWR|8DUST|aDUR
47	35336 31334	7	   	271.00	DCR|4VULN|2DMG|1DUR	17ERES|2AART|37DMG|4579VULN|6RCR|7BPWR|8DUST|aDUR
48	35336 31121	7	   	270.61	DCR|4VULN|3DMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9aFEWX
49	35336 31122	7	   	270.61	DCR|4VULN|3DMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9FEWX|aLHND
50	35336 31123	7	   	270.61	DCR|4VULN|3DMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9FEWX|aZMB
51	35336 31125	7	   	270.61	DCR|4VULN|3DMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9FEWX|aDMSP
52	35336 31126	7	   	270.61	DCR|4VULN|3DMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9FEWX|aLWND
53	35336 31131	7	   	270.61	DCR|4VULN|3DMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9MLV|aZMB
54	35336 31134	7	   	270.61	DCR|4VULN|3DMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9MLV|aLHND
55	35336 31135	7	   	270.61	DCR|4VULN|3DMG	178ERES|2AART|378DMG|4578VULN|6RCR|78BPWR|9MLV|aCGEN
