0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43221 41141	2	 * 	275.02	DCR|3VULN|3DUR|2DMG	1RMIN|25aVULN|34aDUR|6LIT|7DUST|8RCR|9aDMG|aBPWR
37	62463 11112	3	   	255.05	DCR|4VULN|2DMG|1AART	19CGEN|2AART|3RMIN|49DMG|5RPLT|679aVULN|8RCR|9BPWR
38	62563 11112	3	   	255.05	DCR|4VULN|2DMG|1AART	19CGEN|2AART|3ZMB|49DMG|5RPLT|679aVULN|8RCR|9BPWR
39	56125 11112	3	   	254.95	DCR|4VULN|2DMG|1NUKE|1AART	1NUKE|2AART|39DMG|4RPLT|59CGEN|679aVULN|8RCR|9BPWR
40	43631 52112	7	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1RMIN|2348VULN|3BPWR|5RPLT|6RCR|7DUR|9ASPD|aDMG
41	43631 53312	7	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1RMIN|2347VULN|3BPWR|5RPLT|6RCR|8DUR|9ASPD|aDMG
42	46122 11112	3	   	254.85	DCR|4VULN|2DMG|1AART	1RMIN|2AART|39DMG|4RPLT|59ERES|679aVULN|8RCR|9BPWR
43	46263 11112	3	   	254.85	DCR|4VULN|2DMG|1AART	1RMIN|2AART|39ERES|49DMG|5RPLT|679aVULN|8RCR|9BPWR
44	43226 32261	2	   	254.76	DCR|2VULN|3DUR|2DMG|2LIT	1RMIN|2aVULN|34aDUR|59LIT|6LWND|7RCR|8aDMG|aBPWR
45	56122 11112	3	   	254.75	DCR|4VULN|2DMG|1NUKE|1AART	1NUKE|2AART|39DMG|4RPLT|59ERES|679aVULN|8RCR|9BPWR
46	56263 11112	3	   	254.75	DCR|4VULN|2DMG|1NUKE|1AART	1NUKE|2AART|39ERES|49DMG|5RPLT|679aVULN|8RCR|9BPWR
47	64632 22132	8	   	254.72	DCR|4VULN|2DUR|1TLV	137CGEN|23DUR|37BPWR|4579VULN|67ERES|8RCR|aTLV
48	43314 13351	6	   	254.66	DCR|2VULN|3DUR|2DMG|2LIT	1RMIN|2aVULN|35LIT|4MBVNT|6RCR|78aDUR|9aDMG|aBPWR
49	53621 32341	4	   	254.66	DCR|4VULN|1DMG|1DUR|1ASPD|1NUKE	1NUKE|2359VULN|3BPWR|4DUR|6ASPD|7DUST|8DMG|aRCR
50	53622 32341	5	   	254.66	DCR|4VULN|1DMG|1DUR|1ASPD|1NUKE	1NUKE|2359VULN|3BPWR|4DUR|6ASPD|7DUST|8DMG|aRCR
51	53122 63152	8	   	254.62	DCR|4VULN|2DUR|1TLV|1NUKE	1NUKE|2569VULN|3DMSP|46DUR|6BPWR|7CGEN|8RCR|aTLV
52	53622 63123	9	   	254.62	DCR|4VULN|2DUR|1TLV|1NUKE	1NUKE|2356VULN|36BPWR|46DUR|7CGEN|8RCR|9BEXP|aTLV
53	53622 63131	6	   	254.28	DCR|4VULN|2DUR|1TLV|1NUKE|1SELL	1NUKE|2356VULN|36BPWR|46DUR|7SELL|8TBNT|9TLV|aRCR
54	53333 13511	10	   	253.85	DCR|3VULN|2DMG|1TLV|2LIT|1NUKE	1NUKE|259VULN|35LIT|4RCVC|59BPWR|69DMG|79LWND|8RCR|aTLV
55	53333 13512	10	   	253.85	DCR|3VULN|2DMG|1DUR|2LIT|1NUKE	1NUKE|259VULN|35LIT|4RCVC|59BPWR|69DMG|79LWND|8RCR|aDUR
56	53333 13516	9	   	253.85	DCR|3VULN|2DMG|1DUR|2LIT|1NUKE	1NUKE|259VULN|35LIT|4RCVC|59BPWR|69DMG|79LWND|8RCR|aDUR
57	43311 41141	2	   	253.60	DCR|4VULN|2DMG	1RMIN|235aVULN|3aBPWR|4aBEXP|6LIT|7DUST|8RCR|9aDMG
58	14331 62333	6	 * 	253.58	DCR|3VULN|2DMG|3ASPD	179FEWX|27aVULN|3BELT|4ERES|5aDMG|67aASPD|7aBPWR|8RCR
59	43165 23112	10	   	253.58	DCR|3VULN|2DMG|2DUR	16RMIN|27aVULN|3DMSP|4aDUR|5aDMG|8RCR|9RCVC|aBPWR
60	43636 11133	9	   	253.56	DCR|4VULN|2TLV|2LIT|1ASPD	1RMIN|2349VULN|39BPWR|5DMSP|69TLV|79LIT|8RCR|aASPD
61	43622 42121	7	 * 	253.51	DCR|4VULN|2ASPD|1DUR	1RMIN|235aVULN|3aBPWR|4aFEWX|6LIT|7DUR|8RCR|9aASPD
62	43632 42121	7	   	253.51	DCR|4VULN|2ASPD|1DUR	1RMIN|234aVULN|3aBPWR|5aFEWX|6LIT|7DUR|8RCR|9aASPD
63	43633 42121	7	   	253.51	DCR|4VULN|2ASPD|1DUR	1RMIN|234aVULN|3aBPWR|5aLWND|6LIT|7DUR|8RCR|9aASPD
64	43162 62232	9	   	253.48	DCR|3VULN|2DMG|2DUR	1RMIN|256VULN|3DMSP|46DUR|6BPWR|7RCR|8RPLT|9aDMG
65	43131 52163	10	   	253.48	DCR|3VULN|2DMG|2DUR|1NUKE	1RMIN|24aVULN|3DMSP|5RPLT|6RCR|7aDUR|8aDMG|9NUKE|aBPWR
66	24512 13151	8	   	253.44	DCR|4VULN|1TLV|1DUR|1CDMG|1SELL	1LHND|2579VULN|3SELL|4TLV|6CDMG|8RCR|aDUR
67	43331 16223	5	   	253.41	DCR|4VULN|3LIT|1TLV|1AART	1RMIN|2579VULN|357LIT|4DLOT|57BPWR|6AART|8RCR|aTLV
68	43631 52112	9	   	253.38	DCR|3VULN|2DMG|2DUR	1RMIN|234VULN|3BPWR|5RPLT|6RCR|79DUR|8aDMG
69	53612 62133	9	 * 	252.40	ACR|5VULN|2DMG|3LIT|1NUKE	1NUKE|23569VULN|369BPWR|4RCR|79aLIT|89DMG
70	43631 53332	10	   	252.16	DCR|4VULN|1DMG|1TLV	1RMIN|2347VULN|3BPWR|5RPLT|6RCR|8DMG|9LIT|aTLV
71	43635 23123	8	   	252.16	DCR|4VULN|1DMG|1CDMG|1ASPD	1RMIN|2347VULN|3BPWR|5DMG|6DUST|8RCR|9CDMG|aASPD
72	53122 61122	8	   	252.02	DCR|4VULN|2DUR|1CDMG|1NUKE	1NUKE|256aVULN|3DMSP|46DUR|6BPWR|7RMIN|8RCR|9CDMG
73	53622 63112	10	   	252.02	DCR|4VULN|2DUR|1CDMG|1NUKE	1NUKE|2356VULN|36BPWR|46DUR|7CGEN|8RCR|9BELT|aCDMG
74	53622 63122	8	   	251.92	DCR|4VULN|2DUR|1CDMG|1NUKE	1NUKE|2356VULN|36BPWR|46DUR|7CGEN|8RCR|9CDMG|aBBNT
75	53622 63123	8	   	251.92	DCR|4VULN|2DUR|1CDMG|1NUKE	1NUKE|2356VULN|36BPWR|46DUR|7CGEN|8RCR|9CDMG|aTBNT
76	43314 42521	8	   	251.90	DCR|3VULN|2DUR|2ASPD|2LIT	1RMIN|26aVULN|35LIT|4MBVNT|7aDUR|8RCR|9aASPD|aBPWR
77	43314 42531	9	   	251.90	DCR|3VULN|2DUR|2ASPD|2LIT	1RMIN|26aVULN|35LIT|4MBVNT|7aDUR|8RCR|9aASPD|aBPWR
78	53122 61133	10	   	251.80	DCR|4VULN|3DUR|1NUKE	1NUKE|256aVULN|3DMSP|46aDUR|6aBPWR|7RMIN|8RCR|9aLHND
79	64632 22131	8	   	251.70	DCR|4VULN|3DUR	137CGEN|23aDUR|37BPWR|4579VULN|67ERES|8RCR
80	53122 61151	8	   	251.60	DCR|4VULN|3DUR|1NUKE	1NUKE|2569VULN|3DMSP|46aDUR|6BPWR|7RMIN|8RCR
81	53122 61153	10	   	251.60	DCR|4VULN|3DUR|1NUKE	1NUKE|256aVULN|3DMSP|46aDUR|6aBPWR|7RMIN|8RCR|9aDUST
82	53122 63151	8	   	251.60	DCR|4VULN|3DUR|1NUKE	1NUKE|2569VULN|3DMSP|46aDUR|6BPWR|7CGEN|8RCR
83	53622 61111	9	   	251.60	DCR|4VULN|3DUR|1NUKE	1NUKE|2356VULN|36BPWR|46aDUR|7RMIN|8RCR|9RCVC
84	53622 61132	8	   	251.60	DCR|4VULN|3DUR|1NUKE	1NUKE|2356VULN|36BPWR|46aDUR|7RMIN|8RCR|9MLV
85	53622 63132	8	   	251.60	DCR|4VULN|3DUR|1NUKE	1NUKE|2356VULN|36BPWR|46aDUR|7CGEN|8RCR|9MLV
86	53622 61112	8	   	251.50	DCR|4VULN|3DUR|1NUKE	1NUKE|2356VULN|36BPWR|46aDUR|7RMIN|8RCR|9ERES
87	53622 63112	8	   	251.50	DCR|4VULN|3DUR|1NUKE	1NUKE|2356VULN|36BPWR|46aDUR|7CGEN|8RCR|9ERES
88	43512 14212	9	   	251.27	DCR|2VULN|2DMG|2ASPD|1TLV|1AART	1RMIN|29VULN|39ASPD|4LIT|5FEWX|6AART|7RCR|89DMG|9BPWR|aTLV
89	43511 14212	9	   	251.17	DCR|2VULN|2DMG|2ASPD|1TLV|1AART	1RMIN|29VULN|39ASPD|4LIT|5DUST|6AART|7RCR|89DMG|9BPWR|aTLV
90	53234 22713	2	   	251.16	DCR|2VULN|2DMG|2TLV|1DUR|1ASPD|1NUKE	1NUKE|27VULN|3DUR|47DMG|57TLV|6MBVNT|7BPWR|8LIT|9RCR|aASPD
91	53134 22711	2	   	250.75	DCR|3VULN|2DUR|2TLV|2LIT|1NUKE	1NUKE|27aVULN|3aMLV|47DUR|57TLV|6MBVNT|7aBPWR|8aLIT|9RCR
92	53334 32315	9	   	250.75	DCR|3VULN|2DUR|1DMG|2LIT|1NUKE	1NUKE|289VULN|39LIT|4RCVC|5FEWX|6DMG|79DUR|9BPWR|aRCR
93	53334 32316	10	   	250.75	DCR|3VULN|2DUR|1DMG|2LIT|1NUKE	1NUKE|289VULN|39LIT|4RCVC|5FEWX|6DMG|79DUR|9BPWR|aRCR
94	53335 32315	9	   	250.75	DCR|3VULN|2DUR|1DMG|2LIT|1NUKE	1NUKE|289VULN|39LIT|4RCVC|5LWND|6DMG|79DUR|9BPWR|aRCR
95	53335 32316	10	   	250.75	DCR|3VULN|2DUR|1DMG|2LIT|1NUKE	1NUKE|289VULN|39LIT|4RCVC|5LWND|6DMG|79DUR|9BPWR|aRCR
96	53336 32315	9	   	250.75	DCR|3VULN|2DUR|1DMG|2LIT|1NUKE	1NUKE|289VULN|39LIT|4RCVC|5LHND|6DMG|79DUR|9BPWR|aRCR
97	53336 32316	10	   	250.75	DCR|3VULN|2DUR|1DMG|2LIT|1NUKE	1NUKE|289VULN|39LIT|4RCVC|5LHND|6DMG|79DUR|9BPWR|aRCR
98	53612 22711	2	   	250.75	DCR|3VULN|2DUR|2TLV|2LIT|1NUKE	1NUKE|27aVULN|3aTLV|47MLV|57DUR|6MBVNT|7aBPWR|8aLIT|9RCR
99	53332 32315	9	   	250.65	DCR|3VULN|2DUR|1DMG|2LIT|1NUKE	1NUKE|289VULN|39LIT|4RCVC|5DUST|6DMG|79DUR|9BPWR|aRCR
100	53332 32316	10	   	250.65	DCR|3VULN|2DUR|1DMG|2LIT|1NUKE	1NUKE|289VULN|39LIT|4RCVC|5DUST|6DMG|79DUR|9BPWR|aRCR
101	53611 12371	8	 * 	250.37	ACR|4VULN|3DUR|3LIT|1ASPD|1NUKE	1NUKE|239aVULN|39aBPWR|4RCR|5MBVNT|6ASPD|79aDUR|89aLIT
102	12613 32315	9	   	249.67	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG|1SELL	19FEWX|2DUR|39LIT|4SELL|5CDMG|6DMG|789VULN|9BPWR|aRCR
103	12613 32316	10	   	249.67	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG|1SELL	19FEWX|2DUR|39LIT|4SELL|5CDMG|6DMG|789VULN|9BPWR|aRCR
104	43631 53333	10	   	249.56	DCR|4VULN|1DMG|1CDMG	1RMIN|2347VULN|3BPWR|5RPLT|6RCR|8DMG|9LIT|aCDMG
105	43211 12441	4	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1RMIN|269VULN|3RPLT|4DMG|57DUR|8CDMG|aRCR
106	53122 61161	10	   	249.38	DCR|4VULN|2DUR|1ASPD|1NUKE	1NUKE|256aVULN|3DMSP|46DUR|6BPWR|7RMIN|8RCR|9ASPD
107	53622 61113	10	   	249.38	DCR|4VULN|2DUR|1ASPD|1NUKE	1NUKE|2356VULN|36BPWR|46DUR|7RMIN|8RCR|9RCVC|aASPD
108	53221 25152	4	   	249.27	DCR|2VULN|3DUR|2ASPD|1TLV|1NUKE|1AART	1NUKE|28VULN|3RPLT|48ASPD|58aDUR|6RCR|7AART|8BPWR|9TLV
109	53622 63121	6	   	249.03	DCR|4VULN|2DUR|1ASPD|1NUKE|1SELL	1NUKE|2356VULN|36BPWR|46DUR|7SELL|8TBNT|9ASPD|aRCR
110	22321 36613	2	   	249.02	DCR|3VULN|3DUR|1DMG	1LHND|234DUR|5DMG|69aVULN|7RPLT|8RCR
111	22341 16613	2	   	249.02	DCR|3VULN|3DUR|1DMG	1LHND|236DUR|4DMG|59aVULN|7RPLT|8RCR
112	43221 13635	2	   	249.02	DCR|3VULN|3DUR|1DMG	1RMIN|258VULN|347DUR|6MLV|9DMG|aRCR
113	14123 23262	10	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1FEWX|28aVULN|3LHND|4DUR|56DMG|7AART|9RCR
114	24623 23262	10	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1LHND|28aVULN|3FEWX|4DUR|56DMG|7AART|9RCR
115	12566 33123	8	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	13FEWX|2DUR|4567VULN|8RCR|9CDMG|aASPD
116	43631 13211	8	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	1RMIN|2347VULN|3BPWR|5RPLT|6CDMG|8ASPD|9DUR|aRCR
117	43631 13241	9	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	1RMIN|2347VULN|3BPWR|5RPLT|6CDMG|8ASPD|9DUR|aRCR
118	43226 32141	2	   	248.21	DCR|2VULN|3DUR|2DMG	1RMIN|2aVULN|34aDUR|5LIT|68LWND|7RCR|9aDMG|aBPWR
119	24512 13161	10	   	248.20	DCR|4VULN|1TLV|1CDMG|1ASPD|1SELL	1LHND|257aVULN|3SELL|4TLV|6CDMG|8RCR|9ASPD
120	53122 61153	8	   	248.03	DCR|4VULN|2DUR|1NUKE|1AART	1NUKE|2569VULN|3DMSP|46DUR|6BPWR|7RMIN|8RCR|aAART
121	53622 61113	9	   	248.03	DCR|4VULN|2DUR|1NUKE|1AART	1NUKE|2356VULN|36BPWR|46DUR|7RMIN|8RCR|9RCVC|aAART
122	46122 11114	3	 * 	247.86	DCR|3VULN|3DMG|1AART	1RMIN|2AART|39aDMG|4RPLT|59ERES|679VULN|8RCR|9BPWR
123	56122 11114	3	   	247.76	DCR|3VULN|3DMG|1NUKE|1AART	1NUKE|2AART|39aDMG|4RPLT|59ERES|679VULN|8RCR|9BPWR
124	14123 22144	8	 * 	247.71	DCR|2VULN|3DMG|2CDMG|1DUR	1aFEWX|2aVULN|3LHND|4DUR|568DMG|7aCDMG|9RCR|aBPWR
125	14123 22144	9	   	247.71	DCR|2VULN|3DMG|2CDMG|1DUR	1aFEWX|2aVULN|3LHND|4DUR|568DMG|7aCDMG|9RCR|aBPWR
126	53612 62131	10	   	247.39	ACR|5VULN|2DMG|2LIT|1NUKE	1NUKE|23569VULN|369BPWR|4RCR|79LIT|89DMG|aRMIN
127	53612 62132	9	   	247.39	ACR|5VULN|2DMG|2LIT|1NUKE	1NUKE|23569VULN|369BPWR|4RCR|79LIT|89DMG|aCGEN
128	43633 62223	10	 * 	247.34	DCR|5VULN|2CDMG	1RMIN|2346aVULN|36aBPWR|56aLWND|7RCR|8RPLT|9aCDMG
129	25332 42141	7	   	247.31	DCR|3VULN|2DMG|1DUR	1aLHND|2DMSP|3RMIN|45aVULN|6LIT|7DUR|8RCR|9aDMG|aBPWR
130	43122 42141	7	   	247.31	DCR|3VULN|2DMG|1DUR	1RMIN|25aVULN|3DMSP|4aFEWX|6LIT|7DUR|8RCR|9aDMG|aBPWR
131	43132 42141	7	   	247.31	DCR|3VULN|2DMG|1DUR	1RMIN|24aVULN|3DMSP|5aFEWX|6LIT|7DUR|8RCR|9aDMG|aBPWR
132	43133 42141	7	   	247.31	DCR|3VULN|2DMG|1DUR	1RMIN|24aVULN|3DMSP|5aLWND|6LIT|7DUR|8RCR|9aDMG|aBPWR
133	53612 62131	9	   	247.29	ACR|5VULN|2DMG|2LIT|1NUKE	1NUKE|23569VULN|369BPWR|4RCR|79LIT|89DMG|aBBNT
134	53612 62132	10	   	247.29	ACR|5VULN|2DMG|2LIT|1NUKE	1NUKE|23569VULN|369BPWR|4RCR|79LIT|89DMG|aMBVNT
135	43622 62232	10	   	247.24	DCR|5VULN|1DMG	1RMIN|2356aVULN|36BPWR|46FEWX|7RCR|8RPLT|9DMG
136	43631 53223	10	   	247.24	DCR|5VULN|2CDMG	1RMIN|2347aVULN|3aBPWR|5RPLT|6RCR|8aBEXP|9aCDMG
137	43632 62232	10	   	247.24	DCR|5VULN|1DMG	1RMIN|2346aVULN|36BPWR|56FEWX|7RCR|8RPLT|9DMG
138	43633 62232	10	   	247.24	DCR|5VULN|1DMG	1RMIN|2346aVULN|36BPWR|56LWND|7RCR|8RPLT|9DMG
139	43631 53132	10	   	247.14	DCR|5VULN|1DMG	1RMIN|2347aVULN|3BPWR|5RPLT|6RCR|8FEWX|9DMG
140	43631 53232	10	   	247.14	DCR|5VULN|1DMG	1RMIN|2347aVULN|3BPWR|5RPLT|6RCR|8BEXP|9DMG
141	43631 53312	10	   	247.14	DCR|5VULN|1DMG	1RMIN|2347aVULN|3BPWR|5RPLT|6RCR|8DMG|9BEXP
142	43635 23133	10	   	247.14	DCR|5VULN|1DMG	1RMIN|2347aVULN|3aBPWR|5DMG|6aDUST|8RCR|9aLHND
143	62322 52224	10	   	247.13	DCR|3VULN|3DUR|1AART	17CGEN|2AART|3BEXP|467DUR|579VULN|7BPWR|8LIT|aRCR
144	62322 21142	8	   	247.10	DCR|4VULN|1DUR|1CDMG|1AART	1CGEN|2AART|3BEXP|4DUR|578aVULN|6CDMG|9RCR
145	62322 21642	6	   	247.10	DCR|4VULN|1DUR|1CDMG|1AART	1CGEN|2AART|3BEXP|4DUR|578aVULN|6CDMG|9RCR
146	62322 21642	7	   	247.10	DCR|4VULN|1DUR|1CDMG|1AART	1CGEN|2AART|3BEXP|4DUR|578aVULN|6CDMG|9RCR
147	43333 16112	2	   	247.10	DCR|4VULN|1DUR|1CDMG|1AART	1RMIN|2379VULN|3BPWR|4CGEN|5AART|6CDMG|8RCR|aDUR
148	43633 16112	3	   	247.10	DCR|4VULN|1DUR|1CDMG|1AART	1RMIN|2379VULN|3BPWR|4CGEN|5AART|6CDMG|8RCR|aDUR
149	62115 16112	2	   	247.10	DCR|4VULN|1DUR|1CDMG|1AART	1CGEN|2AART|3479VULN|5ZMB|6CDMG|8RCR|aDUR
150	62116 16112	2	   	247.10	DCR|4VULN|1DUR|1CDMG|1AART	1CGEN|2AART|3479VULN|5RMIN|6CDMG|8RCR|aDUR
151	53333 16112	2	   	247.00	DCR|4VULN|1DUR|1CDMG|1NUKE|1AART	1NUKE|2379VULN|3BPWR|4CGEN|5AART|6CDMG|8RCR|aDUR
152	53633 16112	4	   	247.00	DCR|4VULN|1DUR|1CDMG|1NUKE|1AART	1NUKE|2379VULN|3BPWR|4CGEN|5AART|6CDMG|8RCR|aDUR
153	53633 16112	3	   	247.00	DCR|4VULN|1DUR|1CDMG|1NUKE|1AART	1NUKE|2379VULN|3BPWR|4CGEN|5AART|6CDMG|8RCR|aDUR
154	43162 62212	8	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	1RMIN|256VULN|3DMSP|46DUR|6BPWR|7RCR|8RPLT|9ASPD|aDMG
155	53221 25111	4	   	246.71	DCR|3VULN|2DUR|2ASPD|1NUKE|1AART	1NUKE|28aVULN|3RPLT|48ASPD|58DUR|6RCR|7AART|8BPWR|9LWND
156	53221 25161	4	   	246.71	DCR|3VULN|2DUR|2ASPD|1NUKE|1AART	1NUKE|28aVULN|3RPLT|48ASPD|58DUR|6RCR|7AART|8BPWR|9FEWX
157	43661 13311	7	   	246.70	DCR|3VULN|2DUR|1DMG|1ASPD	1RMIN|237VULN|3BPWR|49DUR|5MBVNT|6ASPD|8DMG|aRCR
158	53233 15341	2	   	246.70	DCR|3VULN|2DUR|1DMG|1ASPD|1NUKE	1NUKE|279VULN|36DUR|4DMG|5ASPD|8BEXP|aRCR
159	53351 33411	2	   	246.70	DCR|3VULN|2DUR|1DMG|1ASPD|1NUKE	1NUKE|235VULN|3BPWR|4LWND|6ASPD|79DUR|8DMG|aRCR
160	53361 33411	2	   	246.70	DCR|3VULN|2DUR|1DMG|1ASPD|1NUKE	1NUKE|235VULN|3BPWR|4LHND|6ASPD|79DUR|8DMG|aRCR
161	53623 13411	7	   	246.70	DCR|3VULN|2DUR|1DMG|1ASPD|1NUKE	1NUKE|237VULN|3BPWR|49DUR|5LWND|6ASPD|8DMG|aRCR
162	53622 63112	9	   	246.68	DCR|4VULN|2DUR|1NUKE	1NUKE|2356VULN|36BPWR|46DUR|7CGEN|8RCR|9BELT|aLIT
163	53221 25131	4	   	246.61	DCR|3VULN|2DUR|2ASPD|1NUKE|1AART	1NUKE|28aVULN|3RPLT|48ASPD|58DUR|6RCR|7AART|8BPWR|9DUST
164	53221 32341	2	   	246.60	DCR|3VULN|2DUR|1DMG|1ASPD|1NUKE	1NUKE|259VULN|34DUR|6ASPD|7DUST|8DMG|aRCR
165	53233 15241	2	   	246.60	DCR|3VULN|2DUR|1DMG|1ASPD|1NUKE	1NUKE|279VULN|36DUR|4DMG|5ASPD|8DUST|aRCR
